ward,precinct,total,Joanne F. Rosado,Joanne F. Rosado Percent,Scott J. Frankel,Scott J. Frankel Percent,precinct_id
38,19,182,130,71.43,52,28.57,38019
38,20,143,101,70.63,42,29.37,38020
38,21,130,103,79.23,27,20.77,38021
38,22,164,119,72.56,45,27.44,38022
38,23,159,111,69.81,48,30.19,38023
38,24,135,101,74.81,34,25.19,38024
38,25,117,95,81.2,22,18.8,38025
38,26,138,102,73.91,36,26.09,38026
38,27,132,101,76.52,31,23.48,38027
38,28,153,103,67.32,50,32.68,38028
38,29,146,107,73.29,39,26.71,38029
38,30,128,91,71.09,37,28.91,38030
38,33,146,106,72.6,40,27.4,38033
38,34,137,109,79.56,28,20.44,38034
38,35,142,118,83.1,24,16.9,38035
38,36,125,87,69.6,38,30.4,38036
38,37,146,120,82.19,26,17.81,38037
38,38,126,92,73.02,34,26.98,38038
38,39,175,126,72.0,49,28.0,38039
38,40,169,126,74.56,43,25.44,38040
41,25,78,54,69.23,24,30.77,41025
41,27,98,70,71.43,28,28.57,41027
41,28,105,76,72.38,29,27.62,41028
41,29,77,50,64.94,27,35.06,41029
45,4,31,26,83.87,5,16.13,45004
45,5,170,128,75.29,42,24.71,45005
45,6,251,186,74.1,65,25.9,45006
45,7,16,13,81.25,3,18.75,45007
45,8,10,6,60.0,4,40.0,45008
45,9,102,82,80.39,20,19.61,45009
45,10,69,52,75.36,17,24.64,45010
