ward,precinct,total,Marcelino Garcia,Marcelino Garcia Percent,Debra Shore,Debra Shore Percent,Kari K. Steele,Kari K. Steele Percent,Martin J. Durkan,Martin J. Durkan Percent,precinct_id
1,43,243,67,27.57,76,31.28,62,25.51,38,15.64,01043
1,44,411,79,19.22,136,33.09,127,30.9,69,16.79,01044
2,1,385,86,22.34,128,33.25,115,29.87,56,14.55,02001
2,2,383,73,19.06,142,37.08,114,29.77,54,14.1,02002
2,3,442,97,21.95,154,34.84,124,28.05,67,15.16,02003
2,4,288,49,17.01,100,34.72,88,30.56,51,17.71,02004
2,5,432,93,21.53,135,31.25,130,30.09,74,17.13,02005
2,6,311,71,22.83,107,34.41,84,27.01,49,15.76,02006
2,7,330,74,22.42,109,33.03,95,28.79,52,15.76,02007
2,8,397,82,20.65,131,33.0,121,30.48,63,15.87,02008
2,9,254,50,19.69,91,35.83,72,28.35,41,16.14,02009
2,10,399,80,20.05,142,35.59,113,28.32,64,16.04,02010
2,11,440,92,20.91,158,35.91,124,28.18,66,15.0,02011
2,12,403,74,18.36,143,35.48,129,32.01,57,14.14,02012
2,13,430,84,19.53,150,34.88,122,28.37,74,17.21,02013
2,14,451,100,22.17,145,32.15,134,29.71,72,15.96,02014
2,15,401,72,17.96,137,34.16,117,29.18,75,18.7,02015
2,16,345,78,22.61,120,34.78,99,28.7,48,13.91,02016
2,17,584,111,19.01,197,33.73,174,29.79,102,17.47,02017
2,18,396,73,18.43,136,34.34,117,29.55,70,17.68,02018
2,19,300,74,24.67,112,37.33,84,28.0,30,10.0,02019
2,20,311,63,20.26,111,35.69,91,29.26,46,14.79,02020
2,21,461,88,19.09,158,34.27,142,30.8,73,15.84,02021
2,22,388,66,17.01,131,33.76,126,32.47,65,16.75,02022
2,23,309,51,16.5,117,37.86,87,28.16,54,17.48,02023
2,24,377,84,22.28,134,35.54,109,28.91,50,13.26,02024
2,25,406,88,21.67,131,32.27,116,28.57,71,17.49,02025
2,26,230,51,22.17,79,34.35,65,28.26,35,15.22,02026
2,27,334,71,21.26,114,34.13,98,29.34,51,15.27,02027
2,28,388,70,18.04,133,34.28,116,29.9,69,17.78,02028
2,29,438,88,20.09,142,32.42,129,29.45,79,18.04,02029
2,30,351,68,19.37,118,33.62,108,30.77,57,16.24,02030
2,31,539,120,22.26,185,34.32,162,30.06,72,13.36,02031
2,32,298,61,20.47,99,33.22,93,31.21,45,15.1,02032
2,33,674,127,18.84,226,33.53,192,28.49,129,19.14,02033
2,34,546,120,21.98,186,34.07,166,30.4,74,13.55,02034
2,35,372,71,19.09,131,35.22,114,30.65,56,15.05,02035
2,36,325,70,21.54,120,36.92,90,27.69,45,13.85,02036
2,37,384,88,22.92,135,35.16,109,28.39,52,13.54,02037
2,38,334,56,16.77,116,34.73,101,30.24,61,18.26,02038
2,39,234,57,24.36,87,37.18,59,25.21,31,13.25,02039
2,40,363,78,21.49,127,34.99,111,30.58,47,12.95,02040
2,41,234,60,25.64,73,31.2,68,29.06,33,14.1,02041
2,42,299,67,22.41,110,36.79,88,29.43,34,11.37,02042
2,43,395,77,19.49,139,35.19,120,30.38,59,14.94,02043
2,44,238,51,21.43,77,32.35,70,29.41,40,16.81,02044
2,45,400,72,18.0,141,35.25,119,29.75,68,17.0,02045
2,46,209,32,15.31,68,32.54,64,30.62,45,21.53,02046
3,1,538,84,15.61,173,32.16,168,31.23,113,21.0,03001
3,2,668,101,15.12,225,33.68,202,30.24,140,20.96,03002
3,3,393,72,18.32,132,33.59,115,29.26,74,18.83,03003
3,4,524,77,14.69,174,33.21,183,34.92,90,17.18,03004
3,5,228,31,13.6,90,39.47,58,25.44,49,21.49,03005
3,6,498,115,23.09,167,33.53,143,28.71,73,14.66,03006
3,7,353,74,20.96,113,32.01,100,28.33,66,18.7,03007
3,8,276,51,18.48,93,33.7,88,31.88,44,15.94,03008
3,9,460,74,16.09,149,32.39,146,31.74,91,19.78,03009
3,10,208,33,15.87,68,32.69,58,27.88,49,23.56,03010
3,11,423,60,14.18,139,32.86,140,33.1,84,19.86,03011
3,12,550,94,17.09,191,34.73,174,31.64,91,16.55,03012
3,13,633,136,21.48,201,31.75,183,28.91,113,17.85,03013
3,14,398,94,23.62,133,33.42,114,28.64,57,14.32,03014
3,15,345,51,14.78,116,33.62,119,34.49,59,17.1,03015
3,16,344,51,14.83,118,34.3,103,29.94,72,20.93,03016
3,17,441,85,19.27,143,32.43,138,31.29,75,17.01,03017
3,18,575,95,16.52,194,33.74,170,29.57,116,20.17,03018
3,19,490,114,23.27,165,33.67,141,28.78,70,14.29,03019
3,20,386,54,13.99,139,36.01,123,31.87,70,18.13,03020
3,21,626,128,20.45,207,33.07,181,28.91,110,17.57,03021
3,22,478,106,22.18,160,33.47,150,31.38,62,12.97,03022
3,23,317,49,15.46,110,34.7,95,29.97,63,19.87,03023
3,24,352,69,19.6,118,33.52,108,30.68,57,16.19,03024
3,25,764,175,22.91,254,33.25,229,29.97,106,13.87,03025
3,26,665,144,21.65,223,33.53,198,29.77,100,15.04,03026
3,27,491,117,23.83,172,35.03,140,28.51,62,12.63,03027
3,28,338,57,16.86,111,32.84,109,32.25,61,18.05,03028
3,29,348,57,16.38,125,35.92,102,29.31,64,18.39,03029
3,30,449,62,13.81,150,33.41,146,32.52,91,20.27,03030
3,31,466,62,13.3,152,32.62,152,32.62,100,21.46,03031
3,32,494,112,22.67,170,34.41,145,29.35,67,13.56,03032
3,33,468,94,20.09,157,33.55,141,30.13,76,16.24,03033
3,34,512,91,17.77,170,33.2,150,29.3,101,19.73,03034
3,35,164,23,14.02,50,30.49,59,35.98,32,19.51,03035
3,36,203,34,16.75,71,34.98,59,29.06,39,19.21,03036
3,37,357,53,14.85,123,34.45,104,29.13,77,21.57,03037
3,38,443,59,13.32,169,38.15,118,26.64,97,21.9,03038
3,39,579,116,20.03,202,34.89,164,28.32,97,16.75,03039
3,40,453,89,19.65,149,32.89,126,27.81,89,19.65,03040
3,41,429,83,19.35,134,31.24,119,27.74,93,21.68,03041
4,1,744,132,17.74,242,32.53,253,34.01,117,15.73,04001
4,2,581,120,20.65,191,32.87,180,30.98,90,15.49,04002
4,3,405,64,15.8,136,33.58,121,29.88,84,20.74,04003
4,4,613,103,16.8,213,34.75,194,31.65,103,16.8,04004
4,5,492,74,15.04,172,34.96,163,33.13,83,16.87,04005
4,6,666,121,18.17,214,32.13,217,32.58,114,17.12,04006
4,7,728,109,14.97,235,32.28,262,35.99,122,16.76,04007
4,8,649,114,17.57,210,32.36,226,34.82,99,15.25,04008
4,9,744,119,15.99,256,34.41,263,35.35,106,14.25,04009
4,10,618,94,15.21,207,33.5,223,36.08,94,15.21,04010
4,11,434,63,14.52,149,34.33,140,32.26,82,18.89,04011
4,12,554,98,17.69,174,31.41,195,35.2,87,15.7,04012
4,13,342,72,21.05,112,32.75,111,32.46,47,13.74,04013
4,14,579,103,17.79,192,33.16,191,32.99,93,16.06,04014
4,15,601,106,17.64,190,31.61,216,35.94,89,14.81,04015
4,16,637,127,19.94,220,34.54,197,30.93,93,14.6,04016
4,17,599,122,20.37,209,34.89,182,30.38,86,14.36,04017
4,18,507,84,16.57,162,31.95,164,32.35,97,19.13,04018
4,19,298,59,19.8,101,33.89,83,27.85,55,18.46,04019
4,20,557,106,19.03,195,35.01,171,30.7,85,15.26,04020
4,21,525,100,19.05,178,33.9,151,28.76,96,18.29,04021
4,22,570,95,16.67,192,33.68,189,33.16,94,16.49,04022
4,23,845,152,17.99,293,34.67,266,31.48,134,15.86,04023
4,24,530,91,17.17,179,33.77,172,32.45,88,16.6,04024
4,25,513,108,21.05,174,33.92,159,30.99,72,14.04,04025
4,26,492,75,15.24,158,32.11,156,31.71,103,20.93,04026
4,27,652,115,17.64,221,33.9,216,33.13,100,15.34,04027
4,28,459,75,16.34,152,33.12,156,33.99,76,16.56,04028
4,29,448,75,16.74,151,33.71,156,34.82,66,14.73,04029
4,30,552,77,13.95,184,33.33,186,33.7,105,19.02,04030
4,31,719,107,14.88,237,32.96,251,34.91,124,17.25,04031
4,32,577,104,18.02,181,31.37,195,33.8,97,16.81,04032
4,33,540,96,17.78,166,30.74,180,33.33,98,18.15,04033
4,34,446,72,16.14,138,30.94,153,34.3,83,18.61,04034
4,35,707,120,16.97,228,32.25,234,33.1,125,17.68,04035
4,36,617,101,16.37,202,32.74,213,34.52,101,16.37,04036
4,37,730,133,18.22,261,35.75,217,29.73,119,16.3,04037
4,38,661,101,15.28,227,34.34,215,32.53,118,17.85,04038
5,1,314,52,16.56,124,39.49,90,28.66,48,15.29,05001
5,2,246,40,16.26,88,35.77,83,33.74,35,14.23,05002
5,3,498,98,19.68,172,34.54,159,31.93,69,13.86,05003
5,4,614,128,20.85,207,33.71,193,31.43,86,14.01,05004
5,5,360,76,21.11,122,33.89,106,29.44,56,15.56,05005
5,6,380,57,15.0,132,34.74,125,32.89,66,17.37,05006
5,7,488,94,19.26,168,34.43,155,31.76,71,14.55,05007
5,8,718,146,20.33,243,33.84,220,30.64,109,15.18,05008
5,9,643,122,18.97,213,33.13,220,34.21,88,13.69,05009
5,10,309,52,16.83,104,33.66,101,32.69,52,16.83,05010
5,11,637,111,17.43,237,37.21,194,30.46,95,14.91,05011
5,12,245,45,18.37,81,33.06,78,31.84,41,16.73,05012
5,13,354,68,19.21,121,34.18,107,30.23,58,16.38,05013
5,14,466,44,9.44,167,35.84,173,37.12,82,17.6,05014
5,15,447,69,15.44,161,36.02,143,31.99,74,16.55,05015
5,16,349,69,19.77,112,32.09,111,31.81,57,16.33,05016
5,17,304,51,16.78,108,35.53,89,29.28,56,18.42,05017
5,18,502,99,19.72,175,34.86,164,32.67,64,12.75,05018
5,19,615,113,18.37,229,37.24,195,31.71,78,12.68,05019
5,20,633,115,18.17,211,33.33,214,33.81,93,14.69,05020
5,21,523,98,18.74,175,33.46,175,33.46,75,14.34,05021
5,22,730,147,20.14,252,34.52,235,32.19,96,13.15,05022
5,23,933,197,21.11,316,33.87,303,32.48,117,12.54,05023
5,24,597,122,20.44,213,35.68,188,31.49,74,12.4,05024
5,25,514,85,16.54,169,32.88,183,35.6,77,14.98,05025
5,26,461,83,18.0,160,34.71,147,31.89,71,15.4,05026
5,27,505,96,19.01,176,34.85,162,32.08,71,14.06,05027
5,28,571,95,16.64,188,32.92,198,34.68,90,15.76,05028
5,29,487,75,15.4,172,35.32,160,32.85,80,16.43,05029
5,30,287,51,17.77,104,36.24,93,32.4,39,13.59,05030
5,31,326,46,14.11,107,32.82,113,34.66,60,18.4,05031
5,32,620,102,16.45,212,34.19,220,35.48,86,13.87,05032
5,33,438,80,18.26,155,35.39,140,31.96,63,14.38,05033
5,34,610,124,20.33,216,35.41,183,30.0,87,14.26,05034
5,35,645,138,21.4,217,33.64,210,32.56,80,12.4,05035
5,36,241,42,17.43,84,34.85,72,29.88,43,17.84,05036
5,37,658,133,20.21,241,36.63,201,30.55,83,12.61,05037
5,38,371,57,15.36,128,34.5,127,34.23,59,15.9,05038
5,39,536,97,18.1,185,34.51,171,31.9,83,15.49,05039
5,40,340,57,16.76,116,34.12,108,31.76,59,17.35,05040
5,41,385,66,17.14,125,32.47,129,33.51,65,16.88,05041
6,1,527,87,16.51,165,31.31,186,35.29,89,16.89,06001
6,2,469,81,17.27,146,31.13,169,36.03,73,15.57,06002
6,3,524,74,14.12,171,32.63,179,34.16,100,19.08,06003
6,4,242,43,17.77,78,32.23,79,32.64,42,17.36,06004
6,5,192,34,17.71,63,32.81,64,33.33,31,16.15,06005
6,6,476,67,14.08,158,33.19,165,34.66,86,18.07,06006
6,7,404,56,13.86,128,31.68,141,34.9,79,19.55,06007
6,8,436,67,15.37,138,31.65,153,35.09,78,17.89,06008
6,9,304,53,17.43,100,32.89,104,34.21,47,15.46,06009
6,10,206,29,14.08,68,33.01,70,33.98,39,18.93,06010
6,11,293,56,19.11,89,30.38,100,34.13,48,16.38,06011
6,12,199,37,18.59,72,36.18,57,28.64,33,16.58,06012
6,13,302,47,15.56,93,30.79,107,35.43,55,18.21,06013
6,14,371,54,14.56,111,29.92,142,38.27,64,17.25,06014
6,15,198,28,14.14,67,33.84,66,33.33,37,18.69,06015
6,16,503,66,13.12,160,31.81,185,36.78,92,18.29,06016
6,17,232,46,19.83,76,32.76,72,31.03,38,16.38,06017
6,18,192,36,18.75,60,31.25,56,29.17,40,20.83,06018
6,19,335,48,14.33,111,33.13,116,34.63,60,17.91,06019
6,20,171,30,17.54,56,32.75,52,30.41,33,19.3,06020
6,21,154,25,16.23,53,34.42,44,28.57,32,20.78,06021
6,22,189,36,19.05,75,39.68,49,25.93,29,15.34,06022
6,23,136,25,18.38,38,27.94,48,35.29,25,18.38,06023
6,24,176,37,21.02,51,28.98,51,28.98,37,21.02,06024
6,25,185,28,15.14,65,35.14,56,30.27,36,19.46,06025
6,26,213,39,18.31,70,32.86,63,29.58,41,19.25,06026
6,27,175,29,16.57,62,35.43,47,26.86,37,21.14,06027
6,28,156,29,18.59,43,27.56,51,32.69,33,21.15,06028
6,29,533,66,12.38,172,32.27,202,37.9,93,17.45,06029
6,30,290,48,16.55,99,34.14,88,30.34,55,18.97,06030
6,31,524,70,13.36,178,33.97,195,37.21,81,15.46,06031
6,32,415,66,15.9,136,32.77,138,33.25,75,18.07,06032
6,33,413,65,15.74,127,30.75,148,35.84,73,17.68,06033
6,34,471,75,15.92,149,31.63,163,34.61,84,17.83,06034
6,35,398,64,16.08,118,29.65,145,36.43,71,17.84,06035
6,36,565,90,15.93,190,33.63,191,33.81,94,16.64,06036
6,37,515,65,12.62,158,30.68,205,39.81,87,16.89,06037
6,38,515,72,13.98,150,29.13,204,39.61,89,17.28,06038
6,39,300,52,17.33,106,35.33,95,31.67,47,15.67,06039
6,40,341,64,18.77,107,31.38,118,34.6,52,15.25,06040
6,41,445,75,16.85,145,32.58,150,33.71,75,16.85,06041
6,42,356,63,17.7,115,32.3,115,32.3,63,17.7,06042
6,43,348,43,12.36,119,34.2,130,37.36,56,16.09,06043
6,44,344,56,16.28,118,34.3,117,34.01,53,15.41,06044
6,45,453,60,13.25,142,31.35,167,36.87,84,18.54,06045
6,46,269,46,17.1,87,32.34,92,34.2,44,16.36,06046
6,47,273,60,21.98,80,29.3,90,32.97,43,15.75,06047
6,48,397,68,17.13,132,33.25,122,30.73,75,18.89,06048
7,1,338,51,15.09,121,35.8,104,30.77,62,18.34,07001
7,2,287,40,13.94,108,37.63,83,28.92,56,19.51,07002
7,3,472,62,13.14,168,35.59,155,32.84,87,18.43,07003
7,4,429,59,13.75,148,34.5,148,34.5,74,17.25,07004
7,5,264,31,11.74,113,42.8,78,29.55,42,15.91,07005
7,6,451,74,16.41,149,33.04,151,33.48,77,17.07,07006
7,7,252,31,12.3,99,39.29,68,26.98,54,21.43,07007
7,8,266,53,19.92,89,33.46,80,30.08,44,16.54,07008
7,9,604,93,15.4,230,38.08,187,30.96,94,15.56,07009
7,10,471,80,16.99,154,32.7,147,31.21,90,19.11,07010
7,11,259,39,15.06,93,35.91,89,34.36,38,14.67,07011
7,12,261,40,15.33,98,37.55,79,30.27,44,16.86,07012
7,13,263,53,20.15,85,32.32,80,30.42,45,17.11,07013
7,14,326,46,14.11,118,36.2,100,30.67,62,19.02,07014
7,15,418,57,13.64,142,33.97,147,35.17,72,17.22,07015
7,16,256,32,12.5,88,34.38,95,37.11,41,16.02,07016
7,17,226,40,17.7,81,35.84,62,27.43,43,19.03,07017
7,18,273,45,16.48,86,31.5,90,32.97,52,19.05,07018
7,19,401,70,17.46,136,33.92,128,31.92,67,16.71,07019
7,20,250,41,16.4,86,34.4,77,30.8,46,18.4,07020
7,21,277,53,19.13,89,32.13,83,29.96,52,18.77,07021
7,22,273,62,22.71,89,32.6,79,28.94,43,15.75,07022
7,23,486,77,15.84,164,33.74,162,33.33,83,17.08,07023
7,24,303,59,19.47,105,34.65,95,31.35,44,14.52,07024
7,25,233,54,23.18,79,33.91,57,24.46,43,18.45,07025
7,26,356,42,11.8,124,34.83,123,34.55,67,18.82,07026
7,27,327,44,13.46,108,33.03,114,34.86,61,18.65,07027
7,28,214,45,21.03,70,32.71,61,28.5,38,17.76,07028
7,29,336,44,13.1,110,32.74,108,32.14,74,22.02,07029
7,30,250,46,18.4,86,34.4,71,28.4,47,18.8,07030
7,31,191,44,23.04,55,28.8,58,30.37,34,17.8,07031
7,32,672,95,14.14,233,34.67,225,33.48,119,17.71,07032
7,33,652,105,16.1,220,33.74,212,32.52,115,17.64,07033
7,34,470,64,13.62,158,33.62,176,37.45,72,15.32,07034
7,35,399,71,17.79,129,32.33,126,31.58,73,18.3,07035
7,36,586,80,13.65,194,33.11,201,34.3,111,18.94,07036
7,37,419,83,19.81,135,32.22,134,31.98,67,15.99,07037
7,38,343,54,15.74,109,31.78,113,32.94,67,19.53,07038
7,39,342,51,14.91,118,34.5,111,32.46,62,18.13,07039
7,40,379,45,11.87,134,35.36,116,30.61,84,22.16,07040
7,41,373,64,17.16,128,34.32,113,30.29,68,18.23,07041
7,42,404,62,15.35,134,33.17,123,30.45,85,21.04,07042
7,43,400,71,17.75,133,33.25,122,30.5,74,18.5,07043
7,44,310,45,14.52,108,34.84,95,30.65,62,20.0,07044
7,45,264,40,15.15,89,33.71,82,31.06,53,20.08,07045
7,46,163,46,28.22,55,33.74,39,23.93,23,14.11,07046
8,1,287,42,14.63,93,32.4,100,34.84,52,18.12,08001
8,2,328,54,16.46,118,35.98,105,32.01,51,15.55,08002
8,3,630,84,13.33,183,29.05,236,37.46,127,20.16,08003
8,4,565,70,12.39,181,32.04,206,36.46,108,19.12,08004
8,5,573,76,13.26,167,29.14,217,37.87,113,19.72,08005
8,6,453,58,12.8,135,29.8,162,35.76,98,21.63,08006
8,7,573,80,13.96,189,32.98,201,35.08,103,17.98,08007
8,8,530,75,14.15,146,27.55,197,37.17,112,21.13,08008
8,9,315,51,16.19,105,33.33,107,33.97,52,16.51,08009
8,10,699,102,14.59,220,31.47,252,36.05,125,17.88,08010
8,11,385,49,12.73,118,30.65,131,34.03,87,22.6,08011
8,12,339,55,16.22,111,32.74,109,32.15,64,18.88,08012
8,13,388,67,17.27,125,32.22,131,33.76,65,16.75,08013
8,14,192,25,13.02,61,31.77,64,33.33,42,21.88,08014
8,15,360,65,18.06,111,30.83,111,30.83,73,20.28,08015
8,16,103,14,13.59,34,33.01,34,33.01,21,20.39,08016
8,17,424,56,13.21,123,29.01,158,37.26,87,20.52,08017
8,18,246,46,18.7,82,33.33,76,30.89,42,17.07,08018
8,19,594,86,14.48,193,32.49,212,35.69,103,17.34,08019
8,20,491,61,12.42,152,30.96,167,34.01,111,22.61,08020
8,21,492,57,11.59,161,32.72,176,35.77,98,19.92,08021
8,22,402,52,12.94,124,30.85,138,34.33,88,21.89,08022
8,23,327,53,16.21,105,32.11,108,33.03,61,18.65,08023
8,24,301,59,19.6,91,30.23,100,33.22,51,16.94,08024
8,25,360,58,16.11,115,31.94,114,31.67,73,20.28,08025
8,26,364,64,17.58,109,29.95,127,34.89,64,17.58,08026
8,27,507,65,12.82,167,32.94,176,34.71,99,19.53,08027
8,28,440,77,17.5,143,32.5,149,33.86,71,16.14,08028
8,29,506,78,15.42,149,29.45,180,35.57,99,19.57,08029
8,30,430,72,16.74,126,29.3,165,38.37,67,15.58,08030
8,31,319,51,15.99,89,27.9,113,35.42,66,20.69,08031
8,32,297,42,14.14,103,34.68,96,32.32,56,18.86,08032
8,33,373,58,15.55,106,28.42,118,31.64,91,24.4,08033
8,34,430,61,14.19,153,35.58,144,33.49,72,16.74,08034
8,35,540,82,15.19,159,29.44,205,37.96,94,17.41,08035
8,36,422,64,15.17,123,29.15,155,36.73,80,18.96,08036
8,37,418,72,17.22,134,32.06,144,34.45,68,16.27,08037
8,38,269,52,19.33,82,30.48,85,31.6,50,18.59,08038
8,39,411,58,14.11,142,34.55,140,34.06,71,17.27,08039
8,40,325,49,15.08,108,33.23,117,36.0,51,15.69,08040
8,41,381,57,14.96,121,31.76,122,32.02,81,21.26,08041
8,42,511,75,14.68,173,33.86,176,34.44,87,17.03,08042
8,43,164,24,14.63,46,28.05,58,35.37,36,21.95,08043
8,44,253,42,16.6,94,37.15,73,28.85,44,17.39,08044
8,45,300,55,18.33,93,31.0,89,29.67,63,21.0,08045
8,46,314,31,9.87,112,35.67,115,36.62,56,17.83,08046
8,47,345,59,17.1,98,28.41,119,34.49,69,20.0,08047
8,48,349,55,15.76,111,31.81,116,33.24,67,19.2,08048
8,49,396,61,15.4,116,29.29,142,35.86,77,19.44,08049
8,50,468,58,12.39,142,30.34,176,37.61,92,19.66,08050
8,51,529,71,13.42,159,30.06,196,37.05,103,19.47,08051
8,52,652,98,15.03,203,31.13,233,35.74,118,18.1,08052
8,53,237,35,14.77,68,28.69,92,38.82,42,17.72,08053
8,54,244,41,16.8,85,34.84,69,28.28,49,20.08,08054
8,55,359,57,15.88,103,28.69,128,35.65,71,19.78,08055
8,56,488,70,14.34,147,30.12,167,34.22,104,21.31,08056
9,1,387,61,15.76,122,31.52,144,37.21,60,15.5,09001
9,2,331,70,21.15,110,33.23,94,28.4,57,17.22,09002
9,3,205,34,16.59,86,41.95,55,26.83,30,14.63,09003
9,4,284,43,15.14,106,37.32,89,31.34,46,16.2,09004
9,5,400,68,17.0,149,37.25,131,32.75,52,13.0,09005
9,6,374,60,16.04,123,32.89,117,31.28,74,19.79,09006
9,7,263,44,16.73,98,37.26,79,30.04,42,15.97,09007
9,8,333,54,16.22,108,32.43,109,32.73,62,18.62,09008
9,9,474,69,14.56,161,33.97,167,35.23,77,16.24,09009
9,10,274,33,12.04,100,36.5,83,30.29,58,21.17,09010
9,11,255,47,18.43,95,37.25,73,28.63,40,15.69,09011
9,12,513,79,15.4,154,30.02,205,39.96,75,14.62,09012
9,13,513,69,13.45,176,34.31,169,32.94,99,19.3,09013
9,14,509,64,12.57,171,33.6,182,35.76,92,18.07,09014
9,15,175,31,17.71,65,37.14,51,29.14,28,16.0,09015
9,16,344,61,17.73,119,34.59,113,32.85,51,14.83,09016
9,17,217,38,17.51,79,36.41,60,27.65,40,18.43,09017
9,18,276,41,14.86,103,37.32,85,30.8,47,17.03,09018
9,19,372,61,16.4,130,34.95,121,32.53,60,16.13,09019
9,20,431,59,13.69,152,35.27,149,34.57,71,16.47,09020
9,21,327,50,15.29,104,31.8,115,35.17,58,17.74,09021
9,22,413,59,14.29,153,37.05,137,33.17,64,15.5,09022
9,23,507,65,12.82,152,29.98,208,41.03,82,16.17,09023
9,24,422,52,12.32,128,30.33,167,39.57,75,17.77,09024
9,25,407,50,12.29,134,32.92,151,37.1,72,17.69,09025
9,26,250,44,17.6,98,39.2,66,26.4,42,16.8,09026
9,27,341,39,11.44,118,34.6,116,34.02,68,19.94,09027
9,28,190,53,27.89,58,30.53,55,28.95,24,12.63,09028
9,29,278,58,20.86,101,36.33,76,27.34,43,15.47,09029
9,30,287,43,14.98,97,33.8,100,34.84,47,16.38,09030
9,31,247,43,17.41,77,31.17,80,32.39,47,19.03,09031
9,32,385,44,11.43,142,36.88,127,32.99,72,18.7,09032
9,33,253,43,17.0,89,35.18,78,30.83,43,17.0,09033
9,34,270,53,19.63,95,35.19,86,31.85,36,13.33,09034
9,35,453,59,13.02,165,36.42,148,32.67,81,17.88,09035
9,36,322,55,17.08,104,32.3,106,32.92,57,17.7,09036
9,37,545,128,23.49,166,30.46,161,29.54,90,16.51,09037
9,38,292,39,13.36,105,35.96,100,34.25,48,16.44,09038
9,39,448,57,12.72,161,35.94,152,33.93,78,17.41,09039
9,40,492,62,12.6,168,34.15,167,33.94,95,19.31,09040
9,41,311,41,13.18,109,35.05,102,32.8,59,18.97,09041
9,42,485,59,12.16,146,30.1,190,39.18,90,18.56,09042
9,43,281,47,16.73,100,35.59,88,31.32,46,16.37,09043
9,44,349,56,16.05,122,34.96,113,32.38,58,16.62,09044
9,45,272,40,14.71,97,35.66,86,31.62,49,18.01,09045
9,46,391,76,19.44,131,33.5,123,31.46,61,15.6,09046
9,47,538,74,13.75,165,30.67,201,37.36,98,18.22,09047
9,48,444,59,13.29,136,30.63,180,40.54,69,15.54,09048
9,49,421,56,13.3,129,30.64,153,36.34,83,19.71,09049
9,50,708,91,12.85,219,30.93,275,38.84,123,17.37,09050
9,51,449,69,15.37,147,32.74,161,35.86,72,16.04,09051
10,1,249,66,26.51,83,33.33,59,23.69,41,16.47,10001
10,2,304,93,30.59,74,24.34,61,20.07,76,25.0,10002
10,3,246,66,26.83,70,28.46,59,23.98,51,20.73,10003
10,4,199,69,34.67,59,29.65,46,23.12,25,12.56,10004
10,5,183,70,38.25,37,20.22,38,20.77,38,20.77,10005
10,6,187,80,42.78,34,18.18,36,19.25,37,19.79,10006
10,7,163,69,42.33,35,21.47,29,17.79,30,18.4,10007
