ward,precinct,total,Patrick Thomas Stanton,Patrick Thomas Stanton Percent,Michael Hayes,Michael Hayes Percent,Kevin Patrick Cunningham,Kevin Patrick Cunningham Percent,precinct_id
18,15,185,35,18.92,98,52.97,52,28.11,18015
18,16,157,38,24.2,81,51.59,38,24.2,18016
18,17,177,39,22.03,92,51.98,46,25.99,18017
18,18,189,49,25.93,95,50.26,45,23.81,18018
18,19,206,66,32.04,100,48.54,40,19.42,18019
18,21,214,65,30.37,104,48.6,45,21.03,18021
18,22,241,79,32.78,114,47.3,48,19.92,18022
18,23,153,47,30.72,75,49.02,31,20.26,18023
18,24,137,55,40.15,43,31.39,39,28.47,18024
18,25,154,49,31.82,56,36.36,49,31.82,18025
18,26,251,71,28.29,119,47.41,61,24.3,18026
18,27,130,37,28.46,57,43.85,36,27.69,18027
18,28,149,46,30.87,44,29.53,59,39.6,18028
18,29,181,44,24.31,88,48.62,49,27.07,18029
18,30,151,35,23.18,55,36.42,61,40.4,18030
18,31,186,49,26.34,81,43.55,56,30.11,18031
18,32,216,56,25.93,101,46.76,59,27.31,18032
18,33,142,34,23.94,69,48.59,39,27.46,18033
18,34,250,90,36.0,102,40.8,58,23.2,18034
18,35,249,77,30.92,104,41.77,68,27.31,18035
18,36,180,46,25.56,69,38.33,65,36.11,18036
18,37,223,98,43.95,85,38.12,40,17.94,18037
18,39,130,40,30.77,57,43.85,33,25.38,18039
18,40,206,56,27.18,97,47.09,53,25.73,18040
18,41,218,75,34.4,95,43.58,48,22.02,18041
18,42,135,38,28.15,54,40.0,43,31.85,18042
18,43,111,29,26.13,49,44.14,33,29.73,18043
18,44,156,36,23.08,52,33.33,68,43.59,18044
18,45,126,43,34.13,50,39.68,33,26.19,18045
18,46,189,46,24.34,75,39.68,68,35.98,18046
18,47,132,40,30.3,62,46.97,30,22.73,18047
18,48,145,49,33.79,67,46.21,29,20.0,18048
18,49,97,24,24.74,41,42.27,32,32.99,18049
18,50,126,32,25.4,62,49.21,32,25.4,18050
19,1,237,67,28.27,15,6.33,155,65.4,19001
19,2,361,197,54.57,72,19.94,92,25.48,19002
19,3,151,31,20.53,13,8.61,107,70.86,19003
19,4,251,64,25.5,19,7.57,168,66.93,19004
19,5,311,222,71.38,40,12.86,49,15.76,19005
19,6,230,53,23.04,25,10.87,152,66.09,19006
19,7,238,115,48.32,22,9.24,101,42.44,19007
19,8,195,40,20.51,20,10.26,135,69.23,19008
19,9,188,50,26.6,10,5.32,128,68.09,19009
19,10,376,279,74.2,38,10.11,59,15.69,19010
19,11,188,37,19.68,17,9.04,134,71.28,19011
19,12,172,21,12.21,17,9.88,134,77.91,19012
19,13,327,160,48.93,97,29.66,70,21.41,19013
19,14,272,163,59.93,50,18.38,59,21.69,19014
19,15,247,58,23.48,30,12.15,159,64.37,19015
19,16,237,35,14.77,20,8.44,182,76.79,19016
19,17,212,102,48.11,18,8.49,92,43.4,19017
19,18,271,210,77.49,17,6.27,44,16.24,19018
19,19,351,224,63.82,43,12.25,84,23.93,19019
19,20,239,92,38.49,63,26.36,84,35.15,19020
19,21,183,48,26.23,29,15.85,106,57.92,19021
19,22,295,190,64.41,30,10.17,75,25.42,19022
19,23,266,146,54.89,13,4.89,107,40.23,19023
19,24,180,39,21.67,15,8.33,126,70.0,19024
19,25,272,167,61.4,24,8.82,81,29.78,19025
19,26,278,206,74.1,15,5.4,57,20.5,19026
19,27,263,103,39.16,65,24.71,95,36.12,19027
19,28,106,48,45.28,31,29.25,27,25.47,19028
19,29,183,40,21.86,21,11.48,122,66.67,19029
19,30,189,39,20.63,18,9.52,132,69.84,19030
19,31,245,134,54.69,23,9.39,88,35.92,19031
19,32,213,104,48.83,24,11.27,85,39.91,19032
19,33,208,35,16.83,17,8.17,156,75.0,19033
19,34,259,154,59.46,15,5.79,90,34.75,19034
19,35,273,156,57.14,26,9.52,91,33.33,19035
19,36,291,127,43.64,73,25.09,91,31.27,19036
19,37,273,142,52.01,47,17.22,84,30.77,19037
19,38,238,88,36.97,57,23.95,93,39.08,19038
19,39,59,17,28.81,20,33.9,22,37.29,19039
19,40,275,138,50.18,42,15.27,95,34.55,19040
19,41,190,45,23.68,21,11.05,124,65.26,19041
19,42,193,96,49.74,46,23.83,51,26.42,19042
19,43,261,93,35.63,112,42.91,56,21.46,19043
19,44,220,60,27.27,22,10.0,138,62.73,19044
19,45,254,100,39.37,23,9.06,131,51.57,19045
19,46,285,151,52.98,6,2.11,128,44.91,19046
19,47,389,161,41.39,97,24.94,131,33.68,19047
19,48,252,82,32.54,110,43.65,60,23.81,19048
19,49,344,143,41.57,98,28.49,103,29.94,19049
19,50,185,86,46.49,21,11.35,78,42.16,19050
19,51,314,79,25.16,29,9.24,206,65.61,19051
19,52,206,50,24.27,19,9.22,137,66.5,19052
19,53,242,98,40.5,20,8.26,124,51.24,19053
19,54,142,18,12.68,23,16.2,101,71.13,19054
19,55,180,45,25.0,13,7.22,122,67.78,19055
19,56,296,206,69.59,30,10.14,60,20.27,19056
19,57,244,167,68.44,34,13.93,43,17.62,19057
22,1,117,35,29.91,53,45.3,29,24.79,22001
22,2,225,80,35.56,90,40.0,55,24.44,22002
22,8,228,71,31.14,98,42.98,59,25.88,22008
22,23,238,91,38.24,88,36.97,59,24.79,22023
23,1,182,50,27.47,60,32.97,72,39.56,23001
23,2,148,34,22.97,47,31.76,67,45.27,23002
23,3,172,33,19.19,69,40.12,70,40.7,23003
23,4,183,41,22.4,57,31.15,85,46.45,23004
23,5,157,46,29.3,61,38.85,50,31.85,23005
23,6,155,46,29.68,63,40.65,46,29.68,23006
23,7,134,31,23.13,70,52.24,33,24.63,23007
23,8,193,54,27.98,56,29.02,83,43.01,23008
23,9,141,45,31.91,66,46.81,30,21.28,23009
23,10,187,54,28.88,80,42.78,53,28.34,23010
23,11,161,42,26.09,71,44.1,48,29.81,23011
23,12,187,54,28.88,76,40.64,57,30.48,23012
23,13,124,24,19.35,66,53.23,34,27.42,23013
23,14,167,34,20.36,45,26.95,88,52.69,23014
23,15,134,41,30.6,61,45.52,32,23.88,23015
23,16,204,45,22.06,89,43.63,70,34.31,23016
23,17,74,17,22.97,33,44.59,24,32.43,23017
23,18,138,40,28.99,40,28.99,58,42.03,23018
23,19,131,43,32.82,66,50.38,22,16.79,23019
23,20,86,29,33.72,40,46.51,17,19.77,23020
23,21,204,42,20.59,94,46.08,68,33.33,23021
23,22,173,33,19.08,66,38.15,74,42.77,23022
23,23,159,35,22.01,52,32.7,72,45.28,23023
23,24,137,35,25.55,57,41.61,45,32.85,23024
23,25,145,48,33.1,68,46.9,29,20.0,23025
23,26,166,52,31.33,64,38.55,50,30.12,23026
23,27,169,32,18.93,66,39.05,71,42.01,23027
23,28,156,54,34.62,40,25.64,62,39.74,23028
23,29,146,34,23.29,57,39.04,55,37.67,23029
23,30,176,43,24.43,80,45.45,53,30.11,23030
23,31,108,22,20.37,61,56.48,25,23.15,23031
23,32,153,45,29.41,68,44.44,40,26.14,23032
23,33,157,33,21.02,79,50.32,45,28.66,23033
23,34,133,38,28.57,74,55.64,21,15.79,23034
23,35,111,36,32.43,36,32.43,39,35.14,23035
23,36,158,38,24.05,52,32.91,68,43.04,23036
23,37,185,50,27.03,69,37.3,66,35.68,23037
23,38,143,35,24.48,49,34.27,59,41.26,23038
23,39,148,46,31.08,55,37.16,47,31.76,23039
34,17,237,71,29.96,111,46.84,55,23.21,34017
34,19,12,6,50.0,3,25.0,3,25.0,34019
34,49,68,13,19.12,36,52.94,19,27.94,34049
