ward,precinct,total,RENE NORIEGA (BUSH),RENE NORIEGA (BUSH) Percent,JOHN J. CURRY (BUSH),JOHN J. CURRY (BUSH) Percent,precinct_id
16,32,3,2,66.67,1,33.33,16032
16,41,4,1,25.0,3,75.0,16041
16,42,8,5,62.5,3,37.5,16042
22,2,3,3,100.0,0,0.0,22002
22,3,3,1,33.33,2,66.67,22003
22,4,3,1,33.33,2,66.67,22004
22,5,6,3,50.0,3,50.0,22005
22,6,10,7,70.0,3,30.0,22006
22,9,12,9,75.0,3,25.0,22009
22,10,5,4,80.0,1,20.0,22010
22,11,6,4,66.67,2,33.33,22011
22,13,7,4,57.14,3,42.86,22013
22,14,4,2,50.0,2,50.0,22014
22,16,4,3,75.0,1,25.0,22016
22,17,5,2,40.0,3,60.0,22017
22,18,9,6,66.67,3,33.33,22018
22,19,0,0,0.0,0,0.0,22019
22,23,7,5,71.43,2,28.57,22023
22,24,6,3,50.0,3,50.0,22024
22,25,7,4,57.14,3,42.86,22025
22,26,2,1,50.0,1,50.0,22026
22,27,10,5,50.0,5,50.0,22027
22,29,1,1,100.0,0,0.0,22029
24,53,0,0,0.0,0,0.0,24053
25,1,5,2,40.0,3,60.0,25001
25,2,12,7,58.33,5,41.67,25002
25,4,7,3,42.86,4,57.14,25004
25,5,13,8,61.54,5,38.46,25005
25,6,4,3,75.0,1,25.0,25006
25,7,11,5,45.45,6,54.55,25007
25,8,6,2,33.33,4,66.67,25008
25,9,5,3,60.0,2,40.0,25009
25,11,15,11,73.33,4,26.67,25011
25,12,5,2,40.0,3,60.0,25012
25,13,5,4,80.0,1,20.0,25013
25,15,7,3,42.86,4,57.14,25015
25,17,3,2,66.67,1,33.33,25017
25,18,1,1,100.0,0,0.0,25018
25,19,5,2,40.0,3,60.0,25019
25,20,3,3,100.0,0,0.0,25020
25,22,4,3,75.0,1,25.0,25022
25,23,1,1,100.0,0,0.0,25023
26,1,7,4,57.14,3,42.86,26001
26,2,7,4,57.14,3,42.86,26002
26,3,5,3,60.0,2,40.0,26003
26,4,7,4,57.14,3,42.86,26004
26,5,2,1,50.0,1,50.0,26005
26,6,9,5,55.56,4,44.44,26006
26,7,19,12,63.16,7,36.84,26007
26,8,13,6,46.15,7,53.85,26008
26,9,2,1,50.0,1,50.0,26009
26,10,4,2,50.0,2,50.0,26010
26,11,7,3,42.86,4,57.14,26011
26,12,2,1,50.0,1,50.0,26012
26,13,13,7,53.85,6,46.15,26013
26,14,11,6,54.55,5,45.45,26014
26,15,2,1,50.0,1,50.0,26015
26,16,4,2,50.0,2,50.0,26016
26,17,3,1,33.33,2,66.67,26017
26,18,4,2,50.0,2,50.0,26018
26,19,12,6,50.0,6,50.0,26019
26,20,5,2,40.0,3,60.0,26020
26,21,11,7,63.64,4,36.36,26021
26,22,4,3,75.0,1,25.0,26022
26,23,12,5,41.67,7,58.33,26023
26,24,12,5,41.67,7,58.33,26024
26,25,2,1,50.0,1,50.0,26025
26,26,3,1,33.33,2,66.67,26026
26,27,2,2,100.0,0,0.0,26027
26,28,9,4,44.44,5,55.56,26028
26,29,13,8,61.54,5,38.46,26029
26,30,0,0,0.0,0,0.0,26030
26,31,14,7,50.0,7,50.0,26031
26,32,19,10,52.63,9,47.37,26032
26,33,10,5,50.0,5,50.0,26033
26,34,3,1,33.33,2,66.67,26034
26,35,7,4,57.14,3,42.86,26035
26,36,12,5,41.67,7,58.33,26036
26,37,6,3,50.0,3,50.0,26037
27,4,0,0,0.0,0,0.0,27004
27,10,3,1,33.33,2,66.67,27010
27,30,9,5,55.56,4,44.44,27030
27,32,22,12,54.55,10,45.45,27032
27,35,13,7,53.85,6,46.15,27035
27,50,0,0,0.0,0,0.0,27050
27,54,5,2,40.0,3,60.0,27054
27,55,27,9,33.33,18,66.67,27055
28,14,5,3,60.0,2,40.0,28014
28,53,0,0,0.0,0,0.0,28053
29,2,8,5,62.5,3,37.5,29002
29,7,20,10,50.0,10,50.0,29007
29,17,7,3,42.86,4,57.14,29017
29,30,0,0,0.0,0,0.0,29030
29,39,8,4,50.0,4,50.0,29039
29,48,0,0,0.0,0,0.0,29048
29,52,13,6,46.15,7,53.85,29052
29,55,0,0,0.0,0,0.0,29055
30,4,1,0,0.0,1,100.0,30004
30,17,5,2,40.0,3,60.0,30017
30,20,11,6,54.55,5,45.45,30020
30,23,3,1,33.33,2,66.67,30023
30,36,4,2,50.0,2,50.0,30036
30,41,0,0,0.0,0,0.0,30041
31,1,5,3,60.0,2,40.0,31001
31,2,17,8,47.06,9,52.94,31002
31,3,8,5,62.5,3,37.5,31003
31,4,8,6,75.0,2,25.0,31004
31,5,5,3,60.0,2,40.0,31005
31,7,11,6,54.55,5,45.45,31007
31,8,5,3,60.0,2,40.0,31008
31,9,1,1,100.0,0,0.0,31009
31,10,3,1,33.33,2,66.67,31010
31,11,7,3,42.86,4,57.14,31011
31,12,10,3,30.0,7,70.0,31012
31,13,11,7,63.64,4,36.36,31013
31,14,16,8,50.0,8,50.0,31014
31,15,6,4,66.67,2,33.33,31015
31,16,5,2,40.0,3,60.0,31016
31,17,8,5,62.5,3,37.5,31017
31,20,4,1,25.0,3,75.0,31020
31,21,3,2,66.67,1,33.33,31021
31,22,4,2,50.0,2,50.0,31022
31,23,3,2,66.67,1,33.33,31023
31,24,3,2,66.67,1,33.33,31024
31,25,1,0,0.0,1,100.0,31025
31,26,7,1,14.29,6,85.71,31026
31,27,6,3,50.0,3,50.0,31027
31,28,2,1,50.0,1,50.0,31028
31,29,6,3,50.0,3,50.0,31029
31,30,9,6,66.67,3,33.33,31030
31,31,2,1,50.0,1,50.0,31031
31,33,13,7,53.85,6,46.15,31033
31,34,10,7,70.0,3,30.0,31034
31,35,9,6,66.67,3,33.33,31035
31,36,8,4,50.0,4,50.0,31036
31,37,12,7,58.33,5,41.67,31037
31,38,6,2,33.33,4,66.67,31038
31,39,2,1,50.0,1,50.0,31039
31,40,5,2,40.0,3,60.0,31040
31,41,6,3,50.0,3,50.0,31041
31,42,2,1,50.0,1,50.0,31042
31,43,8,4,50.0,4,50.0,31043
31,44,2,1,50.0,1,50.0,31044
31,45,3,2,66.67,1,33.33,31045
32,2,7,4,57.14,3,42.86,32002
32,3,11,4,36.36,7,63.64,32003
32,4,11,5,45.45,6,54.55,32004
32,5,7,2,28.57,5,71.43,32005
32,11,11,5,45.45,6,54.55,32011
32,12,3,1,33.33,2,66.67,32012
32,14,5,2,40.0,3,60.0,32014
32,16,10,4,40.0,6,60.0,32016
32,17,19,6,31.58,13,68.42,32017
32,20,5,3,60.0,2,40.0,32020
32,24,14,6,42.86,8,57.14,32024
32,25,5,3,60.0,2,40.0,32025
32,28,12,6,50.0,6,50.0,32028
32,29,10,4,40.0,6,60.0,32029
32,30,9,4,44.44,5,55.56,32030
32,31,14,6,42.86,8,57.14,32031
32,33,20,8,40.0,12,60.0,32033
32,34,7,1,14.29,6,85.71,32034
32,35,24,11,45.83,13,54.17,32035
32,36,25,9,36.0,16,64.0,32036
32,45,18,9,50.0,9,50.0,32045
32,47,14,6,42.86,8,57.14,32047
33,1,0,0,0.0,0,0.0,33001
33,2,14,7,50.0,7,50.0,33002
33,3,14,7,50.0,7,50.0,33003
33,4,15,9,60.0,6,40.0,33004
33,5,0,0,0.0,0,0.0,33005
33,6,7,5,71.43,2,28.57,33006
33,13,9,5,55.56,4,44.44,33013
33,14,0,0,0.0,0,0.0,33014
33,15,0,0,0.0,0,0.0,33015
33,19,16,7,43.75,9,56.25,33019
33,20,29,13,44.83,16,55.17,33020
33,21,15,7,46.67,8,53.33,33021
33,22,5,3,60.0,2,40.0,33022
33,26,11,5,45.45,6,54.55,33026
33,31,24,12,50.0,12,50.0,33031
33,33,16,9,56.25,7,43.75,33033
33,34,12,6,50.0,6,50.0,33034
33,35,11,3,27.27,8,72.73,33035
33,36,5,2,40.0,3,60.0,33036
35,1,23,8,34.78,15,65.22,35001
35,2,8,4,50.0,4,50.0,35002
35,3,10,3,30.0,7,70.0,35003
35,4,13,6,46.15,7,53.85,35004
35,5,23,12,52.17,11,47.83,35005
35,7,19,9,47.37,10,52.63,35007
35,8,6,2,33.33,4,66.67,35008
35,9,13,8,61.54,5,38.46,35009
35,10,10,5,50.0,5,50.0,35010
35,12,3,2,66.67,1,33.33,35012
35,13,21,8,38.1,13,61.9,35013
35,14,11,5,45.45,6,54.55,35014
35,15,12,6,50.0,6,50.0,35015
35,16,6,3,50.0,3,50.0,35016
35,17,10,5,50.0,5,50.0,35017
35,18,8,4,50.0,4,50.0,35018
35,19,10,5,50.0,5,50.0,35019
35,20,2,1,50.0,1,50.0,35020
35,21,29,16,55.17,13,44.83,35021
35,22,7,4,57.14,3,42.86,35022
35,23,6,3,50.0,3,50.0,35023
35,24,1,0,0.0,1,100.0,35024
35,25,20,11,55.0,9,45.0,35025
35,26,6,3,50.0,3,50.0,35026
35,27,11,6,54.55,5,45.45,35027
35,28,10,6,60.0,4,40.0,35028
35,29,9,6,66.67,3,33.33,35029
35,30,11,6,54.55,5,45.45,35030
35,31,13,8,61.54,5,38.46,35031
35,32,2,0,0.0,2,100.0,35032
35,33,14,7,50.0,7,50.0,35033
35,34,10,4,40.0,6,60.0,35034
35,35,6,3,50.0,3,50.0,35035
36,4,9,5,55.56,4,44.44,36004
36,23,0,0,0.0,0,0.0,36023
36,45,19,8,42.11,11,57.89,36045
37,2,3,2,66.67,1,33.33,37002
37,10,0,0,0.0,0,0.0,37010
37,11,0,0,0.0,0,0.0,37011
37,35,0,0,0.0,0,0.0,37035
37,42,0,0,0.0,0,0.0,37042
39,25,7,4,57.14,3,42.86,39025
39,27,14,9,64.29,5,35.71,39027
39,29,9,5,55.56,4,44.44,39029
