ward,precinct,total,DENNIS J. DRISCOLL,DENNIS J. DRISCOLL Percent,LEONARD R. REINEBACH,LEONARD R. REINEBACH Percent,precinct_id
45,21,18,15,83.33,3,16.67,45021
45,22,13,10,76.92,3,23.08,45022
45,23,20,16,80.0,4,20.0,45023
45,27,17,16,94.12,1,5.88,45027
45,30,29,24,82.76,5,17.24,45030
45,32,25,20,80.0,5,20.0,45032
45,33,34,27,79.41,7,20.59,45033
45,34,15,11,73.33,4,26.67,45034
45,36,16,13,81.25,3,18.75,45036
45,44,14,11,78.57,3,21.43,45044
45,49,25,18,72.0,7,28.0,45049
45,51,15,14,93.33,1,6.67,45051
45,52,27,23,85.19,4,14.81,45052
45,54,27,23,85.19,4,14.81,45054
45,57,21,13,61.9,8,38.1,45057
45,58,9,5,55.56,4,44.44,45058
46,1,39,31,79.49,8,20.51,46001
46,2,7,5,71.43,2,28.57,46002
46,3,11,9,81.82,2,18.18,46003
46,4,9,6,66.67,3,33.33,46004
46,5,18,11,61.11,7,38.89,46005
46,6,9,8,88.89,1,11.11,46006
46,7,21,16,76.19,5,23.81,46007
46,8,6,5,83.33,1,16.67,46008
46,9,11,10,90.91,1,9.09,46009
46,10,12,10,83.33,2,16.67,46010
46,11,10,7,70.0,3,30.0,46011
46,12,14,13,92.86,1,7.14,46012
46,13,18,13,72.22,5,27.78,46013
46,14,3,2,66.67,1,33.33,46014
46,15,19,14,73.68,5,26.32,46015
46,16,25,18,72.0,7,28.0,46016
46,17,16,11,68.75,5,31.25,46017
46,18,17,14,82.35,3,17.65,46018
46,19,21,14,66.67,7,33.33,46019
46,20,9,7,77.78,2,22.22,46020
46,21,2,2,100.0,0,0.0,46021
46,22,24,21,87.5,3,12.5,46022
46,23,7,3,42.86,4,57.14,46023
46,24,13,8,61.54,5,38.46,46024
46,25,7,3,42.86,4,57.14,46025
46,26,6,4,66.67,2,33.33,46026
46,27,14,10,71.43,4,28.57,46027
46,28,41,28,68.29,13,31.71,46028
46,29,18,11,61.11,7,38.89,46029
46,30,17,13,76.47,4,23.53,46030
46,31,21,15,71.43,6,28.57,46031
46,32,10,7,70.0,3,30.0,46032
46,33,24,19,79.17,5,20.83,46033
46,34,7,5,71.43,2,28.57,46034
46,35,11,7,63.64,4,36.36,46035
46,36,35,27,77.14,8,22.86,46036
46,37,13,11,84.62,2,15.38,46037
46,38,10,9,90.0,1,10.0,46038
46,39,19,17,89.47,2,10.53,46039
47,21,1,1,100.0,0,0.0,47021
47,30,10,7,70.0,3,30.0,47030
47,31,6,3,50.0,3,50.0,47031
47,32,12,6,50.0,6,50.0,47032
47,34,13,11,84.62,2,15.38,47034
47,41,11,11,100.0,0,0.0,47041
48,1,11,5,45.45,6,54.55,48001
48,2,19,13,68.42,6,31.58,48002
48,3,14,8,57.14,6,42.86,48003
48,4,17,13,76.47,4,23.53,48004
48,5,28,26,92.86,2,7.14,48005
48,6,12,7,58.33,5,41.67,48006
48,7,10,8,80.0,2,20.0,48007
48,8,9,7,77.78,2,22.22,48008
48,9,22,17,77.27,5,22.73,48009
48,10,11,8,72.73,3,27.27,48010
48,11,7,3,42.86,4,57.14,48011
48,12,6,4,66.67,2,33.33,48012
48,13,11,4,36.36,7,63.64,48013
48,14,18,13,72.22,5,27.78,48014
48,15,2,2,100.0,0,0.0,48015
48,16,14,11,78.57,3,21.43,48016
48,17,9,7,77.78,2,22.22,48017
48,18,12,10,83.33,2,16.67,48018
48,19,15,8,53.33,7,46.67,48019
48,20,8,6,75.0,2,25.0,48020
48,21,7,5,71.43,2,28.57,48021
48,22,31,24,77.42,7,22.58,48022
48,23,29,24,82.76,5,17.24,48023
48,24,14,10,71.43,4,28.57,48024
48,25,12,9,75.0,3,25.0,48025
48,26,19,13,68.42,6,31.58,48026
48,27,9,8,88.89,1,11.11,48027
48,28,15,14,93.33,1,6.67,48028
48,29,7,6,85.71,1,14.29,48029
48,30,10,7,70.0,3,30.0,48030
48,31,7,4,57.14,3,42.86,48031
48,32,13,10,76.92,3,23.08,48032
48,33,12,7,58.33,5,41.67,48033
48,34,6,6,100.0,0,0.0,48034
48,35,7,2,28.57,5,71.43,48035
48,36,19,14,73.68,5,26.32,48036
48,37,16,14,87.5,2,12.5,48037
48,38,5,3,60.0,2,40.0,48038
48,39,17,14,82.35,3,17.65,48039
48,40,23,15,65.22,8,34.78,48040
48,41,8,5,62.5,3,37.5,48041
48,42,8,5,62.5,3,37.5,48042
48,43,6,5,83.33,1,16.67,48043
48,44,10,6,60.0,4,40.0,48044
48,45,14,11,78.57,3,21.43,48045
48,46,5,4,80.0,1,20.0,48046
48,47,8,8,100.0,0,0.0,48047
48,48,12,7,58.33,5,41.67,48048
49,1,3,1,33.33,2,66.67,49001
49,2,8,8,100.0,0,0.0,49002
49,3,1,1,100.0,0,0.0,49003
49,4,5,5,100.0,0,0.0,49004
49,5,8,6,75.0,2,25.0,49005
49,6,7,6,85.71,1,14.29,49006
49,7,8,5,62.5,3,37.5,49007
49,8,7,4,57.14,3,42.86,49008
49,9,8,6,75.0,2,25.0,49009
49,10,12,7,58.33,5,41.67,49010
49,11,10,8,80.0,2,20.0,49011
49,12,13,10,76.92,3,23.08,49012
49,13,2,1,50.0,1,50.0,49013
49,14,8,3,37.5,5,62.5,49014
49,15,10,7,70.0,3,30.0,49015
49,16,12,8,66.67,4,33.33,49016
49,17,9,7,77.78,2,22.22,49017
49,18,8,5,62.5,3,37.5,49018
49,19,6,3,50.0,3,50.0,49019
49,20,27,23,85.19,4,14.81,49020
49,21,7,3,42.86,4,57.14,49021
49,22,15,8,53.33,7,46.67,49022
49,23,12,7,58.33,5,41.67,49023
49,24,4,2,50.0,2,50.0,49024
49,25,4,3,75.0,1,25.0,49025
49,26,19,12,63.16,7,36.84,49026
49,27,7,4,57.14,3,42.86,49027
49,28,6,4,66.67,2,33.33,49028
49,29,3,2,66.67,1,33.33,49029
49,30,2,2,100.0,0,0.0,49030
49,31,9,6,66.67,3,33.33,49031
49,32,8,6,75.0,2,25.0,49032
49,33,8,8,100.0,0,0.0,49033
49,34,6,3,50.0,3,50.0,49034
49,35,11,8,72.73,3,27.27,49035
49,36,6,6,100.0,0,0.0,49036
49,37,9,7,77.78,2,22.22,49037
50,1,8,8,100.0,0,0.0,50001
50,2,16,10,62.5,6,37.5,50002
50,3,14,9,64.29,5,35.71,50003
50,4,14,10,71.43,4,28.57,50004
50,5,7,5,71.43,2,28.57,50005
50,6,15,13,86.67,2,13.33,50006
50,7,11,9,81.82,2,18.18,50007
50,8,14,11,78.57,3,21.43,50008
50,9,19,14,73.68,5,26.32,50009
50,10,4,3,75.0,1,25.0,50010
50,11,7,6,85.71,1,14.29,50011
50,12,3,2,66.67,1,33.33,50012
50,13,9,7,77.78,2,22.22,50013
50,14,3,3,100.0,0,0.0,50014
50,15,14,8,57.14,6,42.86,50015
50,16,2,2,100.0,0,0.0,50016
50,17,14,6,42.86,8,57.14,50017
50,18,8,6,75.0,2,25.0,50018
50,19,17,13,76.47,4,23.53,50019
50,20,17,12,70.59,5,29.41,50020
50,21,13,11,84.62,2,15.38,50021
50,22,15,9,60.0,6,40.0,50022
50,23,8,5,62.5,3,37.5,50023
50,24,8,5,62.5,3,37.5,50024
50,25,10,4,40.0,6,60.0,50025
50,26,9,6,66.67,3,33.33,50026
50,27,4,2,50.0,2,50.0,50027
50,28,16,8,50.0,8,50.0,50028
50,29,18,13,72.22,5,27.78,50029
50,30,4,3,75.0,1,25.0,50030
50,31,0,0,0.0,0,0.0,50031
50,32,11,8,72.73,3,27.27,50032
50,33,10,3,30.0,7,70.0,50033
50,34,16,6,37.5,10,62.5,50034
50,35,15,11,73.33,4,26.67,50035
50,36,18,12,66.67,6,33.33,50036
50,37,17,14,82.35,3,17.65,50037
50,38,5,2,40.0,3,60.0,50038
50,39,10,7,70.0,3,30.0,50039
50,40,6,3,50.0,3,50.0,50040
50,41,7,5,71.43,2,28.57,50041
50,42,12,6,50.0,6,50.0,50042
50,43,7,3,42.86,4,57.14,50043
50,44,5,4,80.0,1,20.0,50044
50,45,13,10,76.92,3,23.08,50045
50,46,6,4,66.67,2,33.33,50046
