ward,precinct,total,GLENN A. GOOD (BUSH),GLENN A. GOOD (BUSH) Percent,LOURDES MON (BUSH),LOURDES MON (BUSH) Percent,STEPHEN B. COOPER (KEYES),STEPHEN B. COOPER (KEYES) Percent,MARY LOUISE MOCKUS (FORBES),MARY LOUISE MOCKUS (FORBES) Percent,KURT JAMES ECKHARDT (FORBES),KURT JAMES ECKHARDT (FORBES) Percent,DARYA ALLEN ATTAR (McCAIN),DARYA ALLEN ATTAR (McCAIN) Percent,DANA GOFF (McCAIN),DANA GOFF (McCAIN) Percent,precinct_id
41,66,54,19,35.19,18,33.33,3,5.56,5,9.26,3,5.56,1,1.85,5,9.26,41066
44,1,56,14,25.0,12,21.43,3,5.36,4,7.14,3,5.36,9,16.07,11,19.64,44001
44,2,38,11,28.95,11,28.95,0,0.0,0,0.0,0,0.0,6,15.79,10,26.32,44002
44,3,40,13,32.5,14,35.0,2,5.0,1,2.5,1,2.5,5,12.5,4,10.0,44003
44,4,60,20,33.33,19,31.67,3,5.0,5,8.33,2,3.33,4,6.67,7,11.67,44004
44,5,31,8,25.81,7,22.58,3,9.68,0,0.0,1,3.23,6,19.35,6,19.35,44005
44,6,20,5,25.0,5,25.0,0,0.0,1,5.0,0,0.0,5,25.0,4,20.0,44006
44,7,65,18,27.69,15,23.08,5,7.69,0,0.0,1,1.54,12,18.46,14,21.54,44007
44,8,40,15,37.5,14,35.0,1,2.5,0,0.0,0,0.0,5,12.5,5,12.5,44008
44,10,38,16,42.11,14,36.84,2,5.26,0,0.0,0,0.0,2,5.26,4,10.53,44010
44,12,31,13,41.94,13,41.94,0,0.0,1,3.23,1,3.23,1,3.23,2,6.45,44012
44,15,42,12,28.57,12,28.57,2,4.76,3,7.14,2,4.76,5,11.9,6,14.29,44015
44,17,30,9,30.0,9,30.0,1,3.33,0,0.0,2,6.67,5,16.67,4,13.33,44017
44,18,7,1,14.29,0,0.0,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,44018
44,19,31,11,35.48,12,38.71,2,6.45,0,0.0,0,0.0,3,9.68,3,9.68,44019
44,21,25,7,28.0,4,16.0,1,4.0,1,4.0,1,4.0,4,16.0,7,28.0,44021
44,22,29,9,31.03,8,27.59,1,3.45,0,0.0,0,0.0,5,17.24,6,20.69,44022
44,23,18,4,22.22,4,22.22,0,0.0,0,0.0,1,5.56,4,22.22,5,27.78,44023
44,24,48,13,27.08,11,22.92,2,4.17,2,4.17,0,0.0,9,18.75,11,22.92,44024
44,26,28,8,28.57,5,17.86,0,0.0,0,0.0,1,3.57,5,17.86,9,32.14,44026
44,28,15,3,20.0,1,6.67,2,13.33,1,6.67,1,6.67,3,20.0,4,26.67,44028
44,30,30,9,30.0,4,13.33,3,10.0,1,3.33,3,10.0,4,13.33,6,20.0,44030
44,31,40,16,40.0,10,25.0,1,2.5,1,2.5,0,0.0,5,12.5,7,17.5,44031
44,32,12,3,25.0,1,8.33,2,16.67,0,0.0,0,0.0,3,25.0,3,25.0,44032
44,33,26,9,34.62,8,30.77,2,7.69,1,3.85,2,7.69,2,7.69,2,7.69,44033
44,34,45,13,28.89,8,17.78,3,6.67,2,4.44,2,4.44,8,17.78,9,20.0,44034
44,35,44,13,29.55,11,25.0,2,4.55,3,6.82,1,2.27,6,13.64,8,18.18,44035
44,36,23,7,30.43,3,13.04,1,4.35,0,0.0,1,4.35,6,26.09,5,21.74,44036
44,37,29,12,41.38,11,37.93,0,0.0,0,0.0,0,0.0,3,10.34,3,10.34,44037
44,41,36,9,25.0,11,30.56,1,2.78,2,5.56,0,0.0,6,16.67,7,19.44,44041
44,42,16,3,18.75,2,12.5,1,6.25,1,6.25,0,0.0,4,25.0,5,31.25,44042
44,44,42,17,40.48,13,30.95,2,4.76,2,4.76,1,2.38,4,9.52,3,7.14,44044
44,45,32,7,21.88,7,21.88,1,3.13,1,3.13,1,3.13,7,21.88,8,25.0,44045
44,46,12,4,33.33,3,25.0,0,0.0,0,0.0,0,0.0,2,16.67,3,25.0,44046
44,48,30,11,36.67,12,40.0,1,3.33,3,10.0,1,3.33,1,3.33,1,3.33,44048
44,49,35,13,37.14,13,37.14,2,5.71,1,2.86,0,0.0,3,8.57,3,8.57,44049
45,1,25,9,36.0,7,28.0,4,16.0,1,4.0,0,0.0,2,8.0,2,8.0,45001
45,2,24,10,41.67,8,33.33,0,0.0,2,8.33,0,0.0,1,4.17,3,12.5,45002
45,3,18,5,27.78,4,22.22,0,0.0,1,5.56,2,11.11,3,16.67,3,16.67,45003
45,4,63,25,39.68,20,31.75,6,9.52,2,3.17,1,1.59,4,6.35,5,7.94,45004
45,5,29,9,31.03,12,41.38,2,6.9,2,6.9,1,3.45,2,6.9,1,3.45,45005
45,6,15,8,53.33,4,26.67,2,13.33,0,0.0,0,0.0,1,6.67,0,0.0,45006
45,9,28,9,32.14,8,28.57,1,3.57,3,10.71,3,10.71,2,7.14,2,7.14,45009
45,11,39,11,28.21,8,20.51,3,7.69,1,2.56,4,10.26,5,12.82,7,17.95,45011
45,13,41,15,36.59,8,19.51,5,12.2,3,7.32,3,7.32,3,7.32,4,9.76,45013
45,15,53,17,32.08,14,26.42,9,16.98,2,3.77,4,7.55,3,5.66,4,7.55,45015
45,17,31,8,25.81,9,29.03,3,9.68,2,6.45,0,0.0,5,16.13,4,12.9,45017
45,19,27,8,29.63,4,14.81,4,14.81,2,7.41,2,7.41,3,11.11,4,14.81,45019
45,21,40,15,37.5,13,32.5,5,12.5,2,5.0,2,5.0,1,2.5,2,5.0,45021
45,22,29,9,31.03,10,34.48,2,6.9,0,0.0,1,3.45,3,10.34,4,13.79,45022
45,23,38,11,28.95,9,23.68,5,13.16,0,0.0,2,5.26,5,13.16,6,15.79,45023
45,27,31,10,32.26,6,19.35,4,12.9,3,9.68,0,0.0,2,6.45,6,19.35,45027
45,30,54,25,46.3,15,27.78,5,9.26,1,1.85,2,3.7,3,5.56,3,5.56,45030
45,32,46,17,36.96,13,28.26,2,4.35,4,8.7,4,8.7,2,4.35,4,8.7,45032
45,33,62,18,29.03,19,30.65,4,6.45,2,3.23,4,6.45,4,6.45,11,17.74,45033
45,34,21,10,47.62,7,33.33,2,9.52,1,4.76,1,4.76,0,0.0,0,0.0,45034
45,36,36,12,33.33,12,33.33,2,5.56,0,0.0,1,2.78,4,11.11,5,13.89,45036
45,44,26,10,38.46,8,30.77,3,11.54,1,3.85,1,3.85,2,7.69,1,3.85,45044
45,49,42,20,47.62,10,23.81,3,7.14,2,4.76,2,4.76,3,7.14,2,4.76,45049
45,51,30,11,36.67,8,26.67,6,20.0,0,0.0,1,3.33,1,3.33,3,10.0,45051
45,52,42,7,16.67,9,21.43,6,14.29,4,9.52,4,9.52,6,14.29,6,14.29,45052
45,54,57,23,40.35,20,35.09,4,7.02,2,3.51,4,7.02,2,3.51,2,3.51,45054
45,57,45,15,33.33,12,26.67,4,8.89,3,6.67,2,4.44,4,8.89,5,11.11,45057
45,58,13,5,38.46,4,30.77,1,7.69,1,7.69,1,7.69,0,0.0,1,7.69,45058
46,1,80,24,30.0,21,26.25,6,7.5,3,3.75,2,2.5,12,15.0,12,15.0,46001
46,2,15,8,53.33,5,33.33,0,0.0,1,6.67,0,0.0,0,0.0,1,6.67,46002
46,3,27,5,18.52,6,22.22,4,14.81,1,3.7,2,7.41,4,14.81,5,18.52,46003
46,4,16,4,25.0,5,31.25,1,6.25,1,6.25,2,12.5,1,6.25,2,12.5,46004
46,5,36,11,30.56,10,27.78,1,2.78,0,0.0,0,0.0,7,19.44,7,19.44,46005
46,6,14,3,21.43,3,21.43,1,7.14,0,0.0,0,0.0,4,28.57,3,21.43,46006
46,7,36,12,33.33,7,19.44,4,11.11,1,2.78,1,2.78,4,11.11,7,19.44,46007
46,8,11,4,36.36,4,36.36,1,9.09,0,0.0,1,9.09,1,9.09,0,0.0,46008
46,9,22,6,27.27,6,27.27,1,4.55,0,0.0,0,0.0,5,22.73,4,18.18,46009
46,10,28,10,35.71,8,28.57,2,7.14,1,3.57,0,0.0,4,14.29,3,10.71,46010
46,11,17,6,35.29,4,23.53,2,11.76,0,0.0,1,5.88,1,5.88,3,17.65,46011
46,12,28,12,42.86,7,25.0,3,10.71,0,0.0,1,3.57,2,7.14,3,10.71,46012
46,13,36,11,30.56,6,16.67,2,5.56,0,0.0,1,2.78,6,16.67,10,27.78,46013
46,14,7,2,28.57,4,57.14,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,46014
46,15,33,10,30.3,10,30.3,3,9.09,1,3.03,1,3.03,4,12.12,4,12.12,46015
46,16,57,16,28.07,15,26.32,4,7.02,3,5.26,2,3.51,7,12.28,10,17.54,46016
46,17,32,9,28.13,5,15.63,0,0.0,3,9.38,2,6.25,7,21.88,6,18.75,46017
46,18,40,15,37.5,17,42.5,1,2.5,1,2.5,2,5.0,1,2.5,3,7.5,46018
46,19,43,12,27.91,10,23.26,4,9.3,7,16.28,1,2.33,2,4.65,7,16.28,46019
46,20,15,8,53.33,7,46.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46020
46,21,6,2,33.33,2,33.33,0,0.0,1,16.67,0,0.0,0,0.0,1,16.67,46021
46,22,47,10,21.28,14,29.79,8,17.02,4,8.51,5,10.64,3,6.38,3,6.38,46022
46,23,10,4,40.0,3,30.0,1,10.0,1,10.0,0,0.0,0,0.0,1,10.0,46023
46,24,27,10,37.04,8,29.63,3,11.11,0,0.0,1,3.7,2,7.41,3,11.11,46024
46,25,11,5,45.45,4,36.36,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,46025
46,26,11,6,54.55,4,36.36,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,46026
46,27,27,7,25.93,9,33.33,0,0.0,0,0.0,0,0.0,4,14.81,7,25.93,46027
46,28,81,27,33.33,23,28.4,3,3.7,1,1.23,5,6.17,8,9.88,14,17.28,46028
46,29,41,8,19.51,8,19.51,6,14.63,4,9.76,4,9.76,5,12.2,6,14.63,46029
46,30,33,12,36.36,11,33.33,2,6.06,0,0.0,1,3.03,4,12.12,3,9.09,46030
46,31,42,11,26.19,11,26.19,2,4.76,2,4.76,0,0.0,8,19.05,8,19.05,46031
46,32,20,6,30.0,5,25.0,2,10.0,3,15.0,1,5.0,2,10.0,1,5.0,46032
46,33,49,17,34.69,16,32.65,1,2.04,0,0.0,1,2.04,6,12.24,8,16.33,46033
46,34,9,1,11.11,3,33.33,0,0.0,1,11.11,0,0.0,1,11.11,3,33.33,46034
46,35,20,0,0.0,2,10.0,1,5.0,1,5.0,3,15.0,7,35.0,6,30.0,46035
46,36,77,26,33.77,21,27.27,4,5.19,7,9.09,1,1.3,8,10.39,10,12.99,46036
46,37,31,11,35.48,11,35.48,2,6.45,0,0.0,1,3.23,1,3.23,5,16.13,46037
46,38,16,6,37.5,5,31.25,3,18.75,0,0.0,1,6.25,0,0.0,1,6.25,46038
46,39,40,11,27.5,12,30.0,4,10.0,4,10.0,2,5.0,4,10.0,3,7.5,46039
47,21,4,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,2,50.0,47021
47,30,16,4,25.0,2,12.5,0,0.0,3,18.75,1,6.25,3,18.75,3,18.75,47030
47,31,13,5,38.46,6,46.15,1,7.69,0,0.0,0,0.0,0,0.0,1,7.69,47031
47,32,26,10,38.46,8,30.77,2,7.69,1,3.85,0,0.0,2,7.69,3,11.54,47032
47,34,23,8,34.78,5,21.74,1,4.35,1,4.35,2,8.7,3,13.04,3,13.04,47034
47,41,23,10,43.48,9,39.13,1,4.35,0,0.0,1,4.35,0,0.0,2,8.7,47041
48,1,17,2,11.76,2,11.76,1,5.88,1,5.88,4,23.53,4,23.53,3,17.65,48001
48,2,37,10,27.03,8,21.62,1,2.7,6,16.22,4,10.81,3,8.11,5,13.51,48002
48,3,30,11,36.67,7,23.33,2,6.67,0,0.0,3,10.0,4,13.33,3,10.0,48003
48,4,45,11,24.44,7,15.56,5,11.11,1,2.22,9,20.0,7,15.56,5,11.11,48004
48,5,48,18,37.5,11,22.92,5,10.42,2,4.17,6,12.5,2,4.17,4,8.33,48005
48,6,19,6,31.58,5,26.32,2,10.53,0,0.0,2,10.53,2,10.53,2,10.53,48006
48,7,17,5,29.41,4,23.53,0,0.0,0,0.0,0,0.0,5,29.41,3,17.65,48007
48,8,16,5,31.25,5,31.25,2,12.5,0,0.0,2,12.5,1,6.25,1,6.25,48008
48,9,38,9,23.68,11,28.95,3,7.89,4,10.53,9,23.68,1,2.63,1,2.63,48009
48,10,19,5,26.32,6,31.58,1,5.26,0,0.0,4,21.05,1,5.26,2,10.53,48010
48,11,15,5,33.33,3,20.0,0,0.0,1,6.67,3,20.0,1,6.67,2,13.33,48011
48,12,15,3,20.0,3,20.0,2,13.33,1,6.67,2,13.33,2,13.33,2,13.33,48012
48,13,21,3,14.29,3,14.29,2,9.52,2,9.52,1,4.76,5,23.81,5,23.81,48013
48,14,31,8,25.81,7,22.58,2,6.45,0,0.0,10,32.26,2,6.45,2,6.45,48014
48,15,5,2,40.0,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,48015
48,16,24,7,29.17,4,16.67,2,8.33,0,0.0,5,20.83,2,8.33,4,16.67,48016
48,17,20,6,30.0,5,25.0,3,15.0,2,10.0,2,10.0,1,5.0,1,5.0,48017
48,18,17,5,29.41,7,41.18,1,5.88,0,0.0,3,17.65,0,0.0,1,5.88,48018
48,19,20,6,30.0,4,20.0,4,20.0,1,5.0,2,10.0,1,5.0,2,10.0,48019
48,20,16,2,12.5,2,12.5,2,12.5,1,6.25,1,6.25,4,25.0,4,25.0,48020
48,21,13,4,30.77,4,30.77,0,0.0,1,7.69,1,7.69,2,15.38,1,7.69,48021
48,22,60,20,33.33,15,25.0,4,6.67,0,0.0,4,6.67,9,15.0,8,13.33,48022
48,23,66,17,25.76,10,15.15,2,3.03,10,15.15,13,19.7,7,10.61,7,10.61,48023
48,24,25,8,32.0,3,12.0,4,16.0,2,8.0,5,20.0,2,8.0,1,4.0,48024
48,25,26,9,34.62,8,30.77,1,3.85,0,0.0,1,3.85,4,15.38,3,11.54,48025
48,26,39,12,30.77,9,23.08,2,5.13,3,7.69,1,2.56,6,15.38,6,15.38,48026
48,27,18,5,27.78,9,50.0,1,5.56,0,0.0,3,16.67,0,0.0,0,0.0,48027
48,28,30,6,20.0,5,16.67,1,3.33,1,3.33,3,10.0,6,20.0,8,26.67,48028
48,29,14,5,35.71,2,14.29,0,0.0,0,0.0,3,21.43,1,7.14,3,21.43,48029
48,30,22,5,22.73,7,31.82,3,13.64,0,0.0,3,13.64,2,9.09,2,9.09,48030
48,31,12,4,33.33,4,33.33,0,0.0,0,0.0,2,16.67,0,0.0,2,16.67,48031
48,32,30,9,30.0,8,26.67,4,13.33,1,3.33,4,13.33,2,6.67,2,6.67,48032
48,33,28,10,35.71,5,17.86,5,17.86,2,7.14,3,10.71,2,7.14,1,3.57,48033
48,34,9,3,33.33,2,22.22,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,48034
48,35,10,4,40.0,1,10.0,1,10.0,1,10.0,2,20.0,1,10.0,0,0.0,48035
48,36,35,7,20.0,8,22.86,6,17.14,3,8.57,4,11.43,4,11.43,3,8.57,48036
48,37,34,12,35.29,9,26.47,6,17.65,1,2.94,1,2.94,4,11.76,1,2.94,48037
48,38,11,3,27.27,2,18.18,2,18.18,1,9.09,0,0.0,1,9.09,2,18.18,48038
48,39,34,12,35.29,11,32.35,0,0.0,0,0.0,2,5.88,4,11.76,5,14.71,48039
48,40,35,9,25.71,8,22.86,4,11.43,2,5.71,4,11.43,3,8.57,5,14.29,48040
48,41,16,6,37.5,3,18.75,1,6.25,1,6.25,2,12.5,1,6.25,2,12.5,48041
48,42,20,3,15.0,2,10.0,6,30.0,0,0.0,1,5.0,4,20.0,4,20.0,48042
48,43,13,6,46.15,6,46.15,0,0.0,0,0.0,1,7.69,0,0.0,0,0.0,48043
48,44,20,8,40.0,7,35.0,0,0.0,1,5.0,2,10.0,1,5.0,1,5.0,48044
48,45,25,4,16.0,5,20.0,1,4.0,2,8.0,1,4.0,6,24.0,6,24.0,48045
48,46,9,4,44.44,3,33.33,1,11.11,0,0.0,0,0.0,1,11.11,0,0.0,48046
48,47,16,3,18.75,1,6.25,2,12.5,1,6.25,2,12.5,3,18.75,4,25.0,48047
48,48,24,5,20.83,6,25.0,1,4.17,0,0.0,4,16.67,3,12.5,5,20.83,48048
49,1,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,49001
49,2,26,9,34.62,9,34.62,2,7.69,0,0.0,0,0.0,4,15.38,2,7.69,49002
49,3,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,49003
49,4,5,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,49004
49,5,14,6,42.86,4,28.57,2,14.29,1,7.14,0,0.0,0,0.0,1,7.14,49005
49,6,17,1,5.88,1,5.88,3,17.65,2,11.76,2,11.76,4,23.53,4,23.53,49006
49,7,16,5,31.25,4,25.0,1,6.25,0,0.0,2,12.5,2,12.5,2,12.5,49007
49,8,11,5,45.45,5,45.45,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,49008
49,9,15,4,26.67,5,33.33,0,0.0,0,0.0,0,0.0,3,20.0,3,20.0,49009
49,10,23,5,21.74,7,30.43,5,21.74,1,4.35,0,0.0,3,13.04,2,8.7,49010
49,11,19,5,26.32,5,26.32,3,15.79,1,5.26,0,0.0,3,15.79,2,10.53,49011
49,12,29,5,17.24,4,13.79,5,17.24,2,6.9,2,6.9,6,20.69,5,17.24,49012
