ward,precinct,total,JOHN BIRCH,JOHN BIRCH Percent,precinct_id
35,2,8,8,100.0,35002
35,3,6,6,100.0,35003
35,4,3,3,100.0,35004
35,5,11,11,100.0,35005
35,7,6,6,100.0,35007
35,8,5,5,100.0,35008
35,9,6,6,100.0,35009
35,10,5,5,100.0,35010
35,12,1,1,100.0,35012
35,13,12,12,100.0,35013
35,14,6,6,100.0,35014
35,15,7,7,100.0,35015
35,16,1,1,100.0,35016
35,17,11,11,100.0,35017
35,18,5,5,100.0,35018
35,19,8,8,100.0,35019
35,20,1,1,100.0,35020
35,21,17,17,100.0,35021
35,22,3,3,100.0,35022
35,23,4,4,100.0,35023
35,24,1,1,100.0,35024
35,25,10,10,100.0,35025
35,26,1,1,100.0,35026
35,27,5,5,100.0,35027
35,28,7,7,100.0,35028
35,29,4,4,100.0,35029
35,30,7,7,100.0,35030
35,31,6,6,100.0,35031
35,32,3,3,100.0,35032
35,33,8,8,100.0,35033
35,34,8,8,100.0,35034
35,35,3,3,100.0,35035
36,4,3,3,100.0,36004
36,23,0,0,0.0,36023
36,45,10,10,100.0,36045
37,2,2,2,100.0,37002
37,10,1,1,100.0,37010
37,11,0,0,0.0,37011
37,35,0,0,0.0,37035
37,42,0,0,0.0,37042
39,25,3,3,100.0,39025
39,27,5,5,100.0,39027
39,29,5,5,100.0,39029
