ward,precinct,total,KARL GROTH,KARL GROTH Percent,RAMIRO GONZALEZ,RAMIRO GONZALEZ Percent,precinct_id
13,60,6,3,50.0,3,50.0,13060
13,61,9,8,88.89,1,11.11,13061
13,62,6,5,83.33,1,16.67,13062
13,63,12,7,58.33,5,41.67,13063
14,1,15,12,80.0,3,20.0,14001
14,2,10,9,90.0,1,10.0,14002
14,3,9,6,66.67,3,33.33,14003
14,4,12,4,33.33,8,66.67,14004
14,9,5,5,100.0,0,0.0,14009
14,11,8,5,62.5,3,37.5,14011
14,13,10,7,70.0,3,30.0,14013
14,16,11,10,90.91,1,9.09,14016
14,27,12,7,58.33,5,41.67,14027
14,28,9,8,88.89,1,11.11,14028
14,34,3,1,33.33,2,66.67,14034
14,35,9,6,66.67,3,33.33,14035
14,39,19,16,84.21,3,15.79,14039
14,40,3,3,100.0,0,0.0,14040
14,43,10,8,80.0,2,20.0,14043
14,44,9,6,66.67,3,33.33,14044
14,45,6,2,33.33,4,66.67,14045
14,47,5,4,80.0,1,20.0,14047
15,12,12,5,41.67,7,58.33,15012
15,45,2,1,50.0,1,50.0,15045
18,1,5,3,60.0,2,40.0,18001
18,2,1,1,100.0,0,0.0,18002
18,7,1,1,100.0,0,0.0,18007
18,10,7,5,71.43,2,28.57,18010
18,11,5,4,80.0,1,20.0,18011
18,13,5,5,100.0,0,0.0,18013
18,17,6,4,66.67,2,33.33,18017
18,21,9,8,88.89,1,11.11,18021
18,23,2,1,50.0,1,50.0,18023
18,29,17,14,82.35,3,17.65,18029
18,31,2,2,100.0,0,0.0,18031
18,36,1,0,0.0,1,100.0,18036
18,49,5,4,80.0,1,20.0,18049
22,1,0,0,0.0,0,0.0,22001
22,15,0,0,0.0,0,0.0,22015
22,22,0,0,0.0,0,0.0,22022
23,1,12,11,91.67,1,8.33,23001
23,2,5,5,100.0,0,0.0,23002
23,3,20,18,90.0,2,10.0,23003
23,4,13,12,92.31,1,7.69,23004
23,5,7,3,42.86,4,57.14,23005
23,6,15,12,80.0,3,20.0,23006
23,7,13,10,76.92,3,23.08,23007
23,8,11,9,81.82,2,18.18,23008
23,9,7,6,85.71,1,14.29,23009
23,10,11,9,81.82,2,18.18,23010
23,11,16,12,75.0,4,25.0,23011
23,12,11,10,90.91,1,9.09,23012
23,13,13,9,69.23,4,30.77,23013
23,14,8,5,62.5,3,37.5,23014
23,15,18,15,83.33,3,16.67,23015
23,16,12,10,83.33,2,16.67,23016
23,17,7,6,85.71,1,14.29,23017
23,18,15,12,80.0,3,20.0,23018
23,19,10,9,90.0,1,10.0,23019
23,20,11,11,100.0,0,0.0,23020
23,21,17,14,82.35,3,17.65,23021
23,22,12,7,58.33,5,41.67,23022
23,23,13,9,69.23,4,30.77,23023
23,24,10,9,90.0,1,10.0,23024
23,25,7,4,57.14,3,42.86,23025
23,26,12,11,91.67,1,8.33,23026
23,27,14,14,100.0,0,0.0,23027
23,28,18,18,100.0,0,0.0,23028
23,29,6,2,33.33,4,66.67,23029
23,30,8,7,87.5,1,12.5,23030
23,31,12,8,66.67,4,33.33,23031
23,32,8,6,75.0,2,25.0,23032
23,33,15,11,73.33,4,26.67,23033
23,34,15,11,73.33,4,26.67,23034
23,35,0,0,0.0,0,0.0,23035
23,36,12,9,75.0,3,25.0,23036
23,37,6,2,33.33,4,66.67,23037
23,38,2,1,50.0,1,50.0,23038
23,39,9,6,66.67,3,33.33,23039
23,40,16,10,62.5,6,37.5,23040
23,41,8,6,75.0,2,25.0,23041
23,42,3,3,100.0,0,0.0,23042
23,43,7,5,71.43,2,28.57,23043
23,44,18,15,83.33,3,16.67,23044
23,45,14,11,78.57,3,21.43,23045
23,46,13,11,84.62,2,15.38,23046
23,47,15,11,73.33,4,26.67,23047
23,48,10,5,50.0,5,50.0,23048
23,49,11,8,72.73,3,27.27,23049
23,50,7,6,85.71,1,14.29,23050
23,51,8,6,75.0,2,25.0,23051
23,52,8,6,75.0,2,25.0,23052
23,53,6,3,50.0,3,50.0,23053
23,54,6,6,100.0,0,0.0,23054
23,55,13,9,69.23,4,30.77,23055
23,56,11,9,81.82,2,18.18,23056
23,57,20,17,85.0,3,15.0,23057
23,58,9,8,88.89,1,11.11,23058
23,59,7,5,71.43,2,28.57,23059
23,60,6,5,83.33,1,16.67,23060
23,61,13,12,92.31,1,7.69,23061
23,62,14,12,85.71,2,14.29,23062
29,22,15,9,60.0,6,40.0,29022
29,34,10,8,80.0,2,20.0,29034
