ward,precinct,total,PAUL THOMAS (BUSH),PAUL THOMAS (BUSH) Percent,PATRICIA M. PAVLICH (BUSH),PATRICIA M. PAVLICH (BUSH) Percent,CONSTANCE R. DAVIES (BUSH),CONSTANCE R. DAVIES (BUSH) Percent,MICHEL THYFAULT (FORBES),MICHEL THYFAULT (FORBES) Percent,THOMAS W. HANNA (McCAIN),THOMAS W. HANNA (McCAIN) Percent,JAMES A. BLAND (McCAIN),JAMES A. BLAND (McCAIN) Percent,precinct_id
13,44,40,11,27.5,11,27.5,8,20.0,2,5.0,3,7.5,3,7.5,13044
13,45,20,3,15.0,6,30.0,3,15.0,3,15.0,2,10.0,2,10.0,13045
13,46,15,4,26.67,6,40.0,1,6.67,1,6.67,1,6.67,2,13.33,13046
13,47,21,5,23.81,5,23.81,4,19.05,0,0.0,1,4.76,5,23.81,13047
13,48,13,4,30.77,3,23.08,3,23.08,1,7.69,1,7.69,0,0.0,13048
13,49,12,1,8.33,3,25.0,2,16.67,1,8.33,1,8.33,3,25.0,13049
13,50,14,3,21.43,5,35.71,3,21.43,0,0.0,1,7.14,2,14.29,13050
13,51,39,9,23.08,12,30.77,9,23.08,1,2.56,4,10.26,2,5.13,13051
13,52,21,5,23.81,6,28.57,3,14.29,1,4.76,2,9.52,4,19.05,13052
13,53,36,10,27.78,10,27.78,9,25.0,1,2.78,2,5.56,3,8.33,13053
13,54,9,2,22.22,1,11.11,2,22.22,0,0.0,2,22.22,1,11.11,13054
13,55,25,4,16.0,8,32.0,6,24.0,1,4.0,3,12.0,3,12.0,13055
13,56,37,11,29.73,12,32.43,10,27.03,0,0.0,3,8.11,1,2.7,13056
13,57,34,10,29.41,8,23.53,7,20.59,1,2.94,3,8.82,4,11.76,13057
13,58,6,2,33.33,1,16.67,2,33.33,0,0.0,0,0.0,1,16.67,13058
13,59,26,9,34.62,9,34.62,7,26.92,0,0.0,0,0.0,1,3.85,13059
13,60,12,2,16.67,4,33.33,3,25.0,1,8.33,0,0.0,1,8.33,13060
13,61,27,9,33.33,9,33.33,9,33.33,0,0.0,0,0.0,0,0.0,13061
13,62,15,4,26.67,5,33.33,5,33.33,0,0.0,0,0.0,1,6.67,13062
13,63,32,5,15.63,7,21.88,6,18.75,4,12.5,3,9.38,3,9.38,13063
14,1,27,9,33.33,8,29.63,6,22.22,1,3.7,2,7.41,0,0.0,14001
14,2,23,6,26.09,7,30.43,6,26.09,0,0.0,1,4.35,2,8.7,14002
14,3,17,6,35.29,3,17.65,4,23.53,1,5.88,0,0.0,2,11.76,14003
14,4,29,8,27.59,6,20.69,5,17.24,1,3.45,3,10.34,4,13.79,14004
14,9,19,6,31.58,3,15.79,4,21.05,1,5.26,3,15.79,1,5.26,14009
14,11,8,3,37.5,3,37.5,1,12.5,0,0.0,0,0.0,1,12.5,14011
14,13,31,7,22.58,9,29.03,8,25.81,1,3.23,2,6.45,3,9.68,14013
14,16,37,10,27.03,10,27.03,9,24.32,3,8.11,2,5.41,2,5.41,14016
14,27,30,8,26.67,9,30.0,6,20.0,3,10.0,1,3.33,1,3.33,14027
14,28,32,8,25.0,10,31.25,8,25.0,1,3.13,0,0.0,4,12.5,14028
14,34,7,3,42.86,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,14034
14,35,24,7,29.17,6,25.0,1,4.17,1,4.17,3,12.5,6,25.0,14035
14,39,46,15,32.61,13,28.26,13,28.26,0,0.0,1,2.17,3,6.52,14039
14,40,11,3,27.27,2,18.18,2,18.18,1,9.09,1,9.09,1,9.09,14040
14,43,32,10,31.25,9,28.13,6,18.75,0,0.0,3,9.38,3,9.38,14043
14,44,24,8,33.33,4,16.67,3,12.5,2,8.33,3,12.5,3,12.5,14044
14,45,10,2,20.0,4,40.0,3,30.0,1,10.0,0,0.0,0,0.0,14045
14,47,10,3,30.0,2,20.0,2,20.0,1,10.0,1,10.0,0,0.0,14047
15,12,26,7,26.92,6,23.08,5,19.23,0,0.0,2,7.69,4,15.38,15012
15,45,4,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,15045
18,1,11,3,27.27,5,45.45,3,27.27,0,0.0,0,0.0,0,0.0,18001
18,2,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,18002
18,7,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,18007
18,10,15,4,26.67,3,20.0,3,20.0,0,0.0,1,6.67,4,26.67,18010
18,11,24,7,29.17,6,25.0,6,25.0,0,0.0,2,8.33,3,12.5,18011
18,13,19,6,31.58,6,31.58,7,36.84,0,0.0,0,0.0,0,0.0,18013
18,17,16,6,37.5,5,31.25,4,25.0,0,0.0,0,0.0,1,6.25,18017
18,21,20,5,25.0,5,25.0,5,25.0,0,0.0,2,10.0,1,5.0,18021
18,23,3,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,18023
18,29,54,13,24.07,12,22.22,12,22.22,2,3.7,7,12.96,5,9.26,18029
18,31,6,2,33.33,2,33.33,1,16.67,0,0.0,0,0.0,1,16.67,18031
18,36,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,18036
18,49,11,4,36.36,4,36.36,2,18.18,0,0.0,1,9.09,0,0.0,18049
22,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22001
22,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22015
22,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22022
23,1,40,9,22.5,12,30.0,6,15.0,1,2.5,3,7.5,8,20.0,23001
23,2,9,3,33.33,2,22.22,1,11.11,1,11.11,1,11.11,0,0.0,23002
23,3,51,15,29.41,15,29.41,8,15.69,1,1.96,4,7.84,6,11.76,23003
23,4,35,6,17.14,7,20.0,5,14.29,2,5.71,7,20.0,5,14.29,23004
23,5,21,7,33.33,6,28.57,5,23.81,0,0.0,2,9.52,1,4.76,23005
23,6,41,12,29.27,10,24.39,10,24.39,3,7.32,0,0.0,6,14.63,23006
23,7,29,5,17.24,9,31.03,2,6.9,2,6.9,3,10.34,5,17.24,23007
23,8,31,7,22.58,8,25.81,7,22.58,2,6.45,2,6.45,2,6.45,23008
23,9,24,8,33.33,9,37.5,7,29.17,0,0.0,0,0.0,0,0.0,23009
23,10,26,7,26.92,7,26.92,4,15.38,2,7.69,2,7.69,4,15.38,23010
23,11,37,7,18.92,11,29.73,7,18.92,2,5.41,4,10.81,5,13.51,23011
23,12,25,6,24.0,7,28.0,6,24.0,1,4.0,3,12.0,1,4.0,23012
23,13,35,9,25.71,10,28.57,7,20.0,1,2.86,2,5.71,5,14.29,23013
23,14,24,6,25.0,4,16.67,6,25.0,2,8.33,1,4.17,2,8.33,23014
23,15,38,11,28.95,13,34.21,8,21.05,0,0.0,3,7.89,2,5.26,23015
23,16,37,13,35.14,11,29.73,9,24.32,0,0.0,2,5.41,2,5.41,23016
23,17,25,8,32.0,6,24.0,7,28.0,1,4.0,1,4.0,1,4.0,23017
23,18,33,11,33.33,9,27.27,9,27.27,1,3.03,2,6.06,1,3.03,23018
23,19,33,9,27.27,10,30.3,9,27.27,0,0.0,1,3.03,3,9.09,23019
23,20,34,9,26.47,11,32.35,9,26.47,0,0.0,1,2.94,2,5.88,23020
23,21,50,12,24.0,14,28.0,14,28.0,2,4.0,3,6.0,4,8.0,23021
23,22,29,4,13.79,7,24.14,6,20.69,3,10.34,5,17.24,2,6.9,23022
23,23,36,12,33.33,10,27.78,10,27.78,1,2.78,1,2.78,2,5.56,23023
23,24,26,8,30.77,8,30.77,4,15.38,1,3.85,1,3.85,3,11.54,23024
23,25,14,3,21.43,4,28.57,2,14.29,0,0.0,2,14.29,2,14.29,23025
23,26,38,11,28.95,7,18.42,9,23.68,2,5.26,5,13.16,3,7.89,23026
23,27,39,7,17.95,13,33.33,8,20.51,3,7.69,2,5.13,5,12.82,23027
23,28,39,12,30.77,10,25.64,8,20.51,1,2.56,2,5.13,5,12.82,23028
23,29,15,5,33.33,4,26.67,2,13.33,0,0.0,1,6.67,2,13.33,23029
23,30,27,7,25.93,6,22.22,6,22.22,2,7.41,1,3.7,5,18.52,23030
23,31,35,8,22.86,9,25.71,6,17.14,4,11.43,5,14.29,2,5.71,23031
23,32,20,5,25.0,5,25.0,4,20.0,1,5.0,2,10.0,2,10.0,23032
23,33,37,11,29.73,10,27.03,6,16.22,0,0.0,4,10.81,4,10.81,23033
23,34,46,13,28.26,14,30.43,10,21.74,2,4.35,2,4.35,5,10.87,23034
23,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23035
23,36,34,10,29.41,8,23.53,6,17.65,2,5.88,2,5.88,6,17.65,23036
23,37,14,3,21.43,1,7.14,1,7.14,1,7.14,3,21.43,3,21.43,23037
23,38,9,3,33.33,3,33.33,2,22.22,0,0.0,1,11.11,0,0.0,23038
23,39,26,5,19.23,5,19.23,4,15.38,3,11.54,4,15.38,3,11.54,23039
23,40,45,9,20.0,15,33.33,9,20.0,3,6.67,3,6.67,3,6.67,23040
23,41,27,7,25.93,6,22.22,4,14.81,1,3.7,3,11.11,5,18.52,23041
23,42,10,2,20.0,3,30.0,1,10.0,2,20.0,0,0.0,2,20.0,23042
23,43,18,3,16.67,6,33.33,4,22.22,0,0.0,2,11.11,3,16.67,23043
23,44,45,14,31.11,13,28.89,7,15.56,1,2.22,2,4.44,7,15.56,23044
23,45,40,11,27.5,11,27.5,11,27.5,1,2.5,2,5.0,3,7.5,23045
23,46,32,8,25.0,8,25.0,8,25.0,1,3.13,4,12.5,2,6.25,23046
23,47,49,14,28.57,11,22.45,14,28.57,3,6.12,3,6.12,4,8.16,23047
23,48,16,5,31.25,1,6.25,3,18.75,0,0.0,2,12.5,2,12.5,23048
23,49,25,7,28.0,7,28.0,6,24.0,1,4.0,0,0.0,4,16.0,23049
23,50,15,3,20.0,3,20.0,5,33.33,1,6.67,1,6.67,1,6.67,23050
23,51,16,4,25.0,4,25.0,3,18.75,1,6.25,2,12.5,2,12.5,23051
23,52,18,5,27.78,5,27.78,2,11.11,0,0.0,2,11.11,3,16.67,23052
23,53,16,5,31.25,5,31.25,6,37.5,0,0.0,0,0.0,0,0.0,23053
23,54,21,4,19.05,3,14.29,5,23.81,1,4.76,4,19.05,3,14.29,23054
23,55,28,8,28.57,9,32.14,6,21.43,0,0.0,1,3.57,3,10.71,23055
23,56,35,10,28.57,9,25.71,8,22.86,0,0.0,2,5.71,3,8.57,23056
23,57,49,17,34.69,13,26.53,11,22.45,1,2.04,1,2.04,5,10.2,23057
23,58,26,9,34.62,7,26.92,5,19.23,1,3.85,0,0.0,3,11.54,23058
23,59,19,6,31.58,6,31.58,6,31.58,0,0.0,1,5.26,0,0.0,23059
23,60,16,5,31.25,5,31.25,4,25.0,1,6.25,0,0.0,1,6.25,23060
23,61,40,9,22.5,11,27.5,10,25.0,3,7.5,1,2.5,5,12.5,23061
23,62,38,10,26.32,10,26.32,9,23.68,3,7.89,2,5.26,3,7.89,23062
29,22,34,12,35.29,9,26.47,10,29.41,1,2.94,0,0.0,2,5.88,29022
29,34,29,6,20.69,7,24.14,7,24.14,1,3.45,2,6.9,5,17.24,29034
