ward,precinct,total,CHARLIE SERRANO (BUSH),CHARLIE SERRANO (BUSH) Percent,CYNTHIA GARCIA (BUSH),CYNTHIA GARCIA (BUSH) Percent,JOE FIGUEROA EDGINGTON (FORBES),JOE FIGUEROA EDGINGTON (FORBES) Percent,"ANTHONY A RODRIGUEZ, JR (FORBES)","ANTHONY A RODRIGUEZ, JR (FORBES) Percent",DARLENE RIVERA (McCAIN),DARLENE RIVERA (McCAIN) Percent,JAMES E. ELLWARD (McCAIN),JAMES E. ELLWARD (McCAIN) Percent,precinct_id
12,23,9,3,33.33,4,44.44,0,0.0,0,0.0,1,11.11,1,11.11,12023
12,25,11,4,36.36,5,45.45,0,0.0,1,9.09,1,9.09,0,0.0,12025
12,26,4,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,1,25.0,12026
12,28,6,1,16.67,1,16.67,0,0.0,1,16.67,1,16.67,2,33.33,12028
12,29,16,5,31.25,9,56.25,0,0.0,1,6.25,0,0.0,1,6.25,12029
12,30,22,8,36.36,8,36.36,1,4.55,2,9.09,1,4.55,2,9.09,12030
14,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14005
14,6,14,5,35.71,6,42.86,0,0.0,1,7.14,0,0.0,2,14.29,14006
14,7,16,6,37.5,7,43.75,1,6.25,1,6.25,0,0.0,1,6.25,14007
14,12,23,6,26.09,9,39.13,1,4.35,2,8.7,3,13.04,2,8.7,14012
14,14,7,3,42.86,4,57.14,0,0.0,0,0.0,0,0.0,0,0.0,14014
14,17,3,0,0.0,2,66.67,0,0.0,0,0.0,1,33.33,0,0.0,14017
14,20,18,8,44.44,7,38.89,0,0.0,1,5.56,2,11.11,0,0.0,14020
14,21,11,2,18.18,5,45.45,1,9.09,1,9.09,1,9.09,1,9.09,14021
14,22,11,5,45.45,2,18.18,0,0.0,1,9.09,1,9.09,2,18.18,14022
14,24,7,2,28.57,3,42.86,0,0.0,1,14.29,0,0.0,1,14.29,14024
14,25,21,7,33.33,9,42.86,1,4.76,2,9.52,0,0.0,2,9.52,14025
14,26,12,2,16.67,2,16.67,0,0.0,0,0.0,3,25.0,5,41.67,14026
14,29,17,6,35.29,6,35.29,0,0.0,0,0.0,3,17.65,2,11.76,14029
14,32,9,2,22.22,6,66.67,0,0.0,0,0.0,1,11.11,0,0.0,14032
14,38,10,1,10.0,1,10.0,0,0.0,1,10.0,4,40.0,3,30.0,14038
14,42,9,2,22.22,3,33.33,0,0.0,0,0.0,1,11.11,3,33.33,14042
14,46,23,8,34.78,9,39.13,3,13.04,1,4.35,1,4.35,1,4.35,14046
15,6,7,3,42.86,3,42.86,0,0.0,0,0.0,0,0.0,1,14.29,15006
15,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15022
15,24,12,4,33.33,6,50.0,0,0.0,0,0.0,0,0.0,2,16.67,15024
15,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15038
16,1,13,6,46.15,6,46.15,0,0.0,1,7.69,0,0.0,0,0.0,16001
16,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16002
16,11,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,16011
16,13,13,3,23.08,3,23.08,2,15.38,2,15.38,2,15.38,1,7.69,16013
16,21,5,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,16021
16,23,19,10,52.63,8,42.11,0,0.0,0,0.0,1,5.26,0,0.0,16023
16,32,4,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,16032
16,41,6,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,2,33.33,16041
16,42,14,4,28.57,5,35.71,0,0.0,1,7.14,2,14.29,2,14.29,16042
22,2,6,2,33.33,4,66.67,0,0.0,0,0.0,0,0.0,0,0.0,22002
22,3,3,0,0.0,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,22003
22,4,4,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,22004
22,5,11,5,45.45,3,27.27,0,0.0,1,9.09,1,9.09,1,9.09,22005
22,6,15,6,40.0,7,46.67,1,6.67,0,0.0,1,6.67,0,0.0,22006
22,9,13,4,30.77,4,30.77,3,23.08,1,7.69,1,7.69,0,0.0,22009
22,10,8,2,25.0,5,62.5,0,0.0,0,0.0,1,12.5,0,0.0,22010
22,11,9,3,33.33,6,66.67,0,0.0,0,0.0,0,0.0,0,0.0,22011
22,13,8,2,25.0,2,25.0,1,12.5,1,12.5,2,25.0,0,0.0,22013
22,14,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,22014
22,16,8,2,25.0,3,37.5,0,0.0,0,0.0,2,25.0,1,12.5,22016
22,17,7,1,14.29,1,14.29,2,28.57,2,28.57,1,14.29,0,0.0,22017
22,18,9,5,55.56,3,33.33,0,0.0,1,11.11,0,0.0,0,0.0,22018
22,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,23,8,2,25.0,3,37.5,0,0.0,1,12.5,2,25.0,0,0.0,22023
22,24,6,2,33.33,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,22024
22,25,11,2,18.18,4,36.36,1,9.09,1,9.09,1,9.09,2,18.18,22025
22,26,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,22026
22,27,13,2,15.38,4,30.77,1,7.69,3,23.08,2,15.38,1,7.69,22027
22,29,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,22029
24,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24053
25,1,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,25001
25,2,13,3,23.08,7,53.85,1,7.69,2,15.38,0,0.0,0,0.0,25002
25,4,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,25004
25,5,17,5,29.41,4,23.53,3,17.65,2,11.76,2,11.76,1,5.88,25005
25,6,4,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,25006
25,7,15,6,40.0,5,33.33,2,13.33,2,13.33,0,0.0,0,0.0,25007
25,8,6,1,16.67,2,33.33,0,0.0,2,33.33,1,16.67,0,0.0,25008
25,9,7,3,42.86,3,42.86,0,0.0,0,0.0,1,14.29,0,0.0,25009
25,11,20,4,20.0,11,55.0,0,0.0,0,0.0,3,15.0,2,10.0,25011
25,12,6,2,33.33,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,25012
25,13,8,2,25.0,4,50.0,1,12.5,1,12.5,0,0.0,0,0.0,25013
25,15,9,4,44.44,4,44.44,0,0.0,1,11.11,0,0.0,0,0.0,25015
25,17,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,25017
25,18,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,25018
25,19,11,2,18.18,2,18.18,0,0.0,1,9.09,2,18.18,4,36.36,25019
25,20,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,25020
25,22,4,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,25022
25,23,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,25023
26,1,12,3,25.0,2,16.67,1,8.33,1,8.33,2,16.67,3,25.0,26001
26,2,9,1,11.11,2,22.22,1,11.11,1,11.11,2,22.22,2,22.22,26002
26,3,5,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,2,40.0,26003
26,4,8,2,25.0,4,50.0,0,0.0,0,0.0,1,12.5,1,12.5,26004
26,5,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,26005
26,6,10,6,60.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0,26006
26,7,27,6,22.22,7,25.93,0,0.0,0,0.0,8,29.63,6,22.22,26007
26,8,19,8,42.11,8,42.11,0,0.0,0,0.0,1,5.26,2,10.53,26008
26,9,3,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,26009
26,10,6,2,33.33,2,33.33,0,0.0,0,0.0,1,16.67,1,16.67,26010
26,11,12,6,50.0,5,41.67,0,0.0,1,8.33,0,0.0,0,0.0,26011
26,12,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,26012
26,13,14,5,35.71,3,21.43,1,7.14,0,0.0,2,14.29,3,21.43,26013
26,14,13,4,30.77,3,23.08,0,0.0,0,0.0,3,23.08,3,23.08,26014
26,15,3,0,0.0,2,66.67,0,0.0,0,0.0,1,33.33,0,0.0,26015
26,16,3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,26016
26,17,6,1,16.67,2,33.33,1,16.67,0,0.0,1,16.67,1,16.67,26017
26,18,6,2,33.33,2,33.33,0,0.0,0,0.0,1,16.67,1,16.67,26018
26,19,21,5,23.81,10,47.62,2,9.52,2,9.52,1,4.76,1,4.76,26019
26,20,12,4,33.33,4,33.33,1,8.33,0,0.0,1,8.33,2,16.67,26020
26,21,12,4,33.33,6,50.0,0,0.0,0,0.0,2,16.67,0,0.0,26021
26,22,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,26022
26,23,14,5,35.71,3,21.43,1,7.14,1,7.14,2,14.29,2,14.29,26023
26,24,19,6,31.58,4,21.05,1,5.26,2,10.53,4,21.05,2,10.53,26024
26,25,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,26025
26,26,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,26026
26,27,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,26027
26,28,10,0,0.0,2,20.0,1,10.0,0,0.0,4,40.0,3,30.0,26028
26,29,15,5,33.33,7,46.67,0,0.0,2,13.33,1,6.67,0,0.0,26029
26,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26030
26,31,13,5,38.46,5,38.46,0,0.0,2,15.38,1,7.69,0,0.0,26031
26,32,23,9,39.13,7,30.43,1,4.35,1,4.35,2,8.7,3,13.04,26032
26,33,20,6,30.0,5,25.0,1,5.0,0,0.0,4,20.0,4,20.0,26033
26,34,7,1,14.29,1,14.29,0,0.0,0,0.0,3,42.86,2,28.57,26034
26,35,11,4,36.36,3,27.27,0,0.0,0,0.0,2,18.18,2,18.18,26035
26,36,14,6,42.86,5,35.71,2,14.29,0,0.0,1,7.14,0,0.0,26036
26,37,8,3,37.5,3,37.5,0,0.0,0,0.0,1,12.5,1,12.5,26037
27,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27004
27,10,8,0,0.0,2,25.0,0,0.0,0,0.0,3,37.5,3,37.5,27010
27,30,11,0,0.0,6,54.55,1,9.09,3,27.27,1,9.09,0,0.0,27030
27,32,25,13,52.0,10,40.0,0,0.0,2,8.0,0,0.0,0,0.0,27032
27,35,18,7,38.89,7,38.89,1,5.56,1,5.56,1,5.56,1,5.56,27035
27,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27050
27,54,5,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,1,20.0,27054
27,55,36,16,44.44,11,30.56,1,2.78,0,0.0,2,5.56,6,16.67,27055
28,14,8,1,12.5,3,37.5,0,0.0,1,12.5,2,25.0,1,12.5,28014
28,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28053
29,2,10,1,10.0,3,30.0,2,20.0,1,10.0,1,10.0,2,20.0,29002
29,7,24,7,29.17,9,37.5,1,4.17,1,4.17,4,16.67,2,8.33,29007
29,17,7,2,28.57,4,57.14,0,0.0,0,0.0,1,14.29,0,0.0,29017
29,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29030
29,39,11,4,36.36,6,54.55,0,0.0,0,0.0,0,0.0,1,9.09,29039
29,48,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29048
29,52,12,5,41.67,4,33.33,0,0.0,0,0.0,2,16.67,1,8.33,29052
29,55,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29055
30,4,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,30004
30,17,6,2,33.33,3,50.0,0,0.0,0,0.0,1,16.67,0,0.0,30017
30,20,14,3,21.43,4,28.57,0,0.0,2,14.29,3,21.43,2,14.29,30020
30,23,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,30023
30,36,6,2,33.33,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,30036
30,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30041
31,1,6,2,33.33,3,50.0,0,0.0,0,0.0,1,16.67,0,0.0,31001
31,2,21,7,33.33,7,33.33,1,4.76,1,4.76,3,14.29,2,9.52,31002
31,3,8,3,37.5,4,50.0,0,0.0,0,0.0,1,12.5,0,0.0,31003
31,4,11,5,45.45,1,9.09,0,0.0,1,9.09,2,18.18,2,18.18,31004
31,5,11,1,9.09,4,36.36,1,9.09,0,0.0,3,27.27,2,18.18,31005
31,7,14,5,35.71,7,50.0,0,0.0,0,0.0,1,7.14,1,7.14,31007
31,8,6,2,33.33,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,31008
31,9,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,31009
31,10,7,1,14.29,2,28.57,0,0.0,1,14.29,1,14.29,2,28.57,31010
31,11,7,2,28.57,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,31011
31,12,13,4,30.77,7,53.85,1,7.69,1,7.69,0,0.0,0,0.0,31012
31,13,13,2,15.38,5,38.46,0,0.0,0,0.0,3,23.08,3,23.08,31013
31,14,20,7,35.0,9,45.0,1,5.0,1,5.0,1,5.0,1,5.0,31014
31,15,9,4,44.44,5,55.56,0,0.0,0,0.0,0,0.0,0,0.0,31015
31,16,13,4,30.77,5,38.46,0,0.0,0,0.0,2,15.38,2,15.38,31016
31,17,12,3,25.0,1,8.33,1,8.33,2,16.67,2,16.67,3,25.0,31017
31,20,8,1,12.5,2,25.0,0,0.0,2,25.0,1,12.5,2,25.0,31020
31,21,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31021
31,22,4,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,31022
31,23,9,2,22.22,2,22.22,0,0.0,1,11.11,2,22.22,2,22.22,31023
31,24,4,1,25.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,31024
31,25,5,1,20.0,2,40.0,0,0.0,1,20.0,0,0.0,1,20.0,31025
31,26,11,4,36.36,3,27.27,0,0.0,2,18.18,1,9.09,1,9.09,31026
31,27,6,2,33.33,1,16.67,1,16.67,0,0.0,1,16.67,1,16.67,31027
31,28,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,31028
31,29,8,3,37.5,2,25.0,0,0.0,0,0.0,2,25.0,1,12.5,31029
31,30,11,5,45.45,3,27.27,0,0.0,1,9.09,1,9.09,1,9.09,31030
31,31,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31031
31,33,14,4,28.57,5,35.71,1,7.14,0,0.0,3,21.43,1,7.14,31033
31,34,8,2,25.0,2,25.0,1,12.5,2,25.0,0,0.0,1,12.5,31034
31,35,11,4,36.36,6,54.55,0,0.0,0,0.0,1,9.09,0,0.0,31035
31,36,9,3,33.33,5,55.56,0,0.0,0,0.0,1,11.11,0,0.0,31036
31,37,8,4,50.0,3,37.5,0,0.0,0,0.0,1,12.5,0,0.0,31037
31,38,5,1,20.0,2,40.0,0,0.0,0,0.0,1,20.0,1,20.0,31038
31,39,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31039
31,40,7,2,28.57,2,28.57,1,14.29,0,0.0,2,28.57,0,0.0,31040
31,41,9,2,22.22,3,33.33,1,11.11,1,11.11,1,11.11,1,11.11,31041
31,42,4,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,31042
31,43,9,2,22.22,1,11.11,1,11.11,2,22.22,2,22.22,1,11.11,31043
31,44,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,31044
31,45,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,31045
32,2,9,2,22.22,3,33.33,0,0.0,0,0.0,2,22.22,2,22.22,32002
32,3,17,8,47.06,4,23.53,1,5.88,0,0.0,3,17.65,1,5.88,32003
32,4,16,5,31.25,6,37.5,1,6.25,1,6.25,2,12.5,1,6.25,32004
32,5,11,1,9.09,2,18.18,0,0.0,1,9.09,2,18.18,5,45.45,32005
32,11,15,3,20.0,5,33.33,0,0.0,0,0.0,4,26.67,3,20.0,32011
32,12,7,1,14.29,1,14.29,0,0.0,0,0.0,3,42.86,2,28.57,32012
32,14,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,32014
32,16,11,3,27.27,4,36.36,0,0.0,0,0.0,2,18.18,2,18.18,32016
32,17,22,6,27.27,3,13.64,2,9.09,1,4.55,3,13.64,7,31.82,32017
32,20,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,32020
32,24,16,6,37.5,6,37.5,0,0.0,0,0.0,2,12.5,2,12.5,32024
32,25,5,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,3,60.0,32025
32,28,13,7,53.85,6,46.15,0,0.0,0,0.0,0,0.0,0,0.0,32028
32,29,14,2,14.29,5,35.71,2,14.29,1,7.14,2,14.29,2,14.29,32029
32,30,16,3,18.75,5,31.25,1,6.25,2,12.5,2,12.5,3,18.75,32030
32,31,14,5,35.71,4,28.57,0,0.0,0,0.0,3,21.43,2,14.29,32031
32,33,21,8,38.1,7,33.33,1,4.76,0,0.0,2,9.52,3,14.29,32033
32,34,16,5,31.25,6,37.5,1,6.25,0,0.0,2,12.5,2,12.5,32034
32,35,27,9,33.33,8,29.63,3,11.11,2,7.41,3,11.11,2,7.41,32035
32,36,26,7,26.92,6,23.08,1,3.85,1,3.85,5,19.23,6,23.08,32036
32,45,21,5,23.81,6,28.57,1,4.76,2,9.52,4,19.05,3,14.29,32045
32,47,14,4,28.57,6,42.86,0,0.0,1,7.14,2,14.29,1,7.14,32047
33,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33001
33,2,17,7,41.18,8,47.06,0,0.0,0,0.0,1,5.88,1,5.88,33002
33,3,15,6,40.0,5,33.33,0,0.0,1,6.67,1,6.67,2,13.33,33003
33,4,15,5,33.33,6,40.0,0,0.0,0,0.0,3,20.0,1,6.67,33004
33,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33005
33,6,11,3,27.27,5,45.45,0,0.0,1,9.09,1,9.09,1,9.09,33006
33,13,15,4,26.67,6,40.0,1,6.67,1,6.67,2,13.33,1,6.67,33013
33,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33014
33,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33015
33,19,22,7,31.82,7,31.82,1,4.55,1,4.55,3,13.64,3,13.64,33019
33,20,30,12,40.0,12,40.0,0,0.0,0,0.0,1,3.33,5,16.67,33020
33,21,14,6,42.86,6,42.86,0,0.0,0,0.0,1,7.14,1,7.14,33021
33,22,6,3,50.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,33022
