ward,precinct,total,Mike Quigley,Mike Quigley Percent,Matt Reichel,Matt Reichel Percent,precinct_id
36,29,67,43,64.18,6,8.96,36029
36,30,79,48,60.76,2,2.53,36030
36,31,68,46,67.65,2,2.94,36031
36,32,34,28,82.35,0,0.0,36032
36,33,17,14,82.35,0,0.0,36033
36,34,56,33,58.93,1,1.79,36034
36,35,63,41,65.08,2,3.17,36035
36,36,51,40,78.43,3,5.88,36036
36,37,40,27,67.5,1,2.5,36037
36,38,26,21,80.77,0,0.0,36038
36,39,63,35,55.56,2,3.17,36039
36,40,67,41,61.19,4,5.97,36040
36,41,71,52,73.24,1,1.41,36041
36,42,43,27,62.79,6,13.95,36042
36,43,58,46,79.31,2,3.45,36043
36,45,46,36,78.26,0,0.0,36045
36,46,66,49,74.24,4,6.06,36046
36,47,50,37,74.0,0,0.0,36047
36,48,60,32,53.33,5,8.33,36048
36,49,109,56,51.38,3,2.75,36049
36,50,55,34,61.82,2,3.64,36050
36,51,47,34,72.34,1,2.13,36051
36,52,58,42,72.41,3,5.17,36052
36,53,39,24,61.54,2,5.13,36053
36,55,73,46,63.01,8,10.96,36055
37,39,1,1,100.0,0,0.0,37039
38,1,67,43,64.18,2,2.99,38001
38,2,48,35,72.92,1,2.08,38002
38,3,39,25,64.1,3,7.69,38003
38,4,24,20,83.33,1,4.17,38004
38,5,110,71,64.55,13,11.82,38005
38,6,53,35,66.04,6,11.32,38006
38,7,64,40,62.5,8,12.5,38007
38,8,51,30,58.82,5,9.8,38008
38,9,68,54,79.41,7,10.29,38009
38,10,81,49,60.49,11,13.58,38010
38,11,49,33,67.35,7,14.29,38011
38,12,79,64,81.01,2,2.53,38012
38,13,47,35,74.47,4,8.51,38013
38,14,54,41,75.93,2,3.7,38014
38,15,34,22,64.71,0,0.0,38015
38,16,63,47,74.6,2,3.17,38016
38,17,50,35,70.0,6,12.0,38017
38,18,71,46,64.79,8,11.27,38018
38,19,86,59,68.6,3,3.49,38019
38,20,103,63,61.17,13,12.62,38020
38,21,51,42,82.35,2,3.92,38021
38,22,72,48,66.67,3,4.17,38022
38,23,43,22,51.16,7,16.28,38023
38,24,34,27,79.41,4,11.76,38024
38,25,37,26,70.27,1,2.7,38025
38,26,27,19,70.37,3,11.11,38026
38,27,30,12,40.0,3,10.0,38027
38,28,36,27,75.0,1,2.78,38028
38,29,56,41,73.21,4,7.14,38029
38,30,45,29,64.44,2,4.44,38030
38,31,52,33,63.46,10,19.23,38031
38,32,79,63,79.75,4,5.06,38032
38,33,56,49,87.5,2,3.57,38033
38,34,28,23,82.14,0,0.0,38034
38,35,86,58,67.44,6,6.98,38035
38,36,54,30,55.56,6,11.11,38036
38,37,41,25,60.98,3,7.32,38037
38,38,76,54,71.05,1,1.32,38038
38,39,50,35,70.0,4,8.0,38039
38,40,42,28,66.67,0,0.0,38040
38,41,97,65,67.01,8,8.25,38041
38,42,76,62,81.58,1,1.32,38042
38,43,60,37,61.67,7,11.67,38043
38,44,73,46,63.01,8,10.96,38044
38,45,63,46,73.02,3,4.76,38045
38,46,52,31,59.62,3,5.77,38046
38,47,58,39,67.24,3,5.17,38047
38,48,60,36,60.0,4,6.67,38048
38,49,62,43,69.35,3,4.84,38049
38,50,77,45,58.44,3,3.9,38050
38,51,48,38,79.17,4,8.33,38051
38,52,65,45,69.23,4,6.15,38052
38,53,5,5,100.0,0,0.0,38053
39,1,91,58,63.74,8,8.79,39001
39,2,175,153,87.43,6,3.43,39002
39,3,85,50,58.82,7,8.24,39003
39,4,70,52,74.29,3,4.29,39004
