ward,precinct,total,John H. Ehrlich,John H. Ehrlich Percent,Helaine ''Lainie'' Berger,Helaine ''Lainie'' Berger Percent,James L. Kaplan,James L. Kaplan Percent,Ellis B. Levin,Ellis B. Levin Percent,precinct_id
32,43,54,30,55.56,9,16.67,4,7.41,2,3.7,32043
32,44,61,11,18.03,10,16.39,15,24.59,14,22.95,32044
32,46,0,0,0.0,0,0.0,0,0.0,0,0.0,32046
32,47,60,23,38.33,7,11.67,19,31.67,6,10.0,32047
32,48,86,32,37.21,18,20.93,14,16.28,8,9.3,32048
32,49,32,18,56.25,5,15.63,3,9.38,2,6.25,32049
32,50,72,41,56.94,10,13.89,15,20.83,2,2.78,32050
32,51,60,32,53.33,6,10.0,6,10.0,7,11.67,32051
40,3,68,24,35.29,15,22.06,12,17.65,4,5.88,40003
40,4,85,36,42.35,9,10.59,23,27.06,5,5.88,40004
40,7,69,27,39.13,18,26.09,13,18.84,6,8.7,40007
40,11,57,21,36.84,9,15.79,14,24.56,4,7.02,40011
40,13,2,0,0.0,0,0.0,1,50.0,0,0.0,40013
40,16,94,23,24.47,17,18.09,27,28.72,11,11.7,40016
40,22,24,12,50.0,3,12.5,3,12.5,2,8.33,40022
40,23,63,29,46.03,13,20.63,11,17.46,3,4.76,40023
40,31,54,26,48.15,12,22.22,4,7.41,0,0.0,40031
40,32,93,20,21.51,23,24.73,16,17.2,11,11.83,40032
40,33,64,25,39.06,15,23.44,10,15.63,5,7.81,40033
40,36,78,23,29.49,15,19.23,13,16.67,11,14.1,40036
40,40,34,14,41.18,1,2.94,12,35.29,2,5.88,40040
40,41,147,71,48.3,19,12.93,25,17.01,8,5.44,40041
42,1,86,36,41.86,15,17.44,14,16.28,9,10.47,42001
42,2,51,14,27.45,14,27.45,6,11.76,9,17.65,42002
42,3,52,17,32.69,9,17.31,11,21.15,8,15.38,42003
42,4,75,33,44.0,13,17.33,10,13.33,9,12.0,42004
42,5,67,34,50.75,13,19.4,6,8.96,4,5.97,42005
42,6,152,43,28.29,37,24.34,27,17.76,22,14.47,42006
42,7,61,18,29.51,14,22.95,10,16.39,13,21.31,42007
42,8,87,39,44.83,13,14.94,27,31.03,5,5.75,42008
42,9,141,53,37.59,35,24.82,24,17.02,12,8.51,42009
42,10,128,62,48.44,27,21.09,20,15.63,7,5.47,42010
42,11,93,36,38.71,22,23.66,16,17.2,5,5.38,42011
42,12,50,14,28.0,12,24.0,8,16.0,7,14.0,42012
42,13,142,51,35.92,29,20.42,31,21.83,16,11.27,42013
42,14,50,23,46.0,11,22.0,8,16.0,4,8.0,42014
42,15,59,24,40.68,11,18.64,11,18.64,3,5.08,42015
42,16,38,22,57.89,4,10.53,8,21.05,3,7.89,42016
42,17,147,31,21.09,31,21.09,31,21.09,21,14.29,42017
42,19,13,6,46.15,2,15.38,1,7.69,2,15.38,42019
42,20,36,6,16.67,10,27.78,6,16.67,9,25.0,42020
42,22,33,16,48.48,7,21.21,5,15.15,2,6.06,42022
42,23,94,40,42.55,19,20.21,10,10.64,12,12.77,42023
42,24,67,32,47.76,7,10.45,10,14.93,8,11.94,42024
42,25,55,23,41.82,15,27.27,8,14.55,2,3.64,42025
42,26,104,14,13.46,19,18.27,24,23.08,26,25.0,42026
42,27,77,19,24.68,18,23.38,16,20.78,11,14.29,42027
42,28,79,28,35.44,25,31.65,11,13.92,7,8.86,42028
42,29,79,34,43.04,15,18.99,17,21.52,10,12.66,42029
42,30,45,18,40.0,9,20.0,5,11.11,7,15.56,42030
42,31,45,22,48.89,14,31.11,3,6.67,4,8.89,42031
42,32,58,24,41.38,11,18.97,10,17.24,8,13.79,42032
42,33,115,63,54.78,14,12.17,15,13.04,13,11.3,42033
42,34,47,21,44.68,13,27.66,5,10.64,5,10.64,42034
42,35,73,32,43.84,9,12.33,17,23.29,6,8.22,42035
42,36,41,17,41.46,9,21.95,6,14.63,1,2.44,42036
42,37,59,22,37.29,13,22.03,12,20.34,6,10.17,42037
42,38,44,24,54.55,7,15.91,8,18.18,2,4.55,42038
42,39,42,9,21.43,9,21.43,13,30.95,2,4.76,42039
42,40,70,28,40.0,14,20.0,8,11.43,14,20.0,42040
42,41,71,24,33.8,22,30.99,10,14.08,11,15.49,42041
42,42,80,21,26.25,22,27.5,18,22.5,12,15.0,42042
42,43,78,31,39.74,12,15.38,14,17.95,9,11.54,42043
42,44,56,25,44.64,12,21.43,6,10.71,3,5.36,42044
42,45,61,31,50.82,9,14.75,12,19.67,6,9.84,42045
42,46,39,14,35.9,5,12.82,11,28.21,0,0.0,42046
42,47,46,23,50.0,7,15.22,8,17.39,3,6.52,42047
42,48,48,16,33.33,16,33.33,8,16.67,4,8.33,42048
42,49,13,2,15.38,3,23.08,2,15.38,4,30.77,42049
42,50,97,45,46.39,22,22.68,12,12.37,8,8.25,42050
42,51,127,44,34.65,24,18.9,23,18.11,13,10.24,42051
42,52,55,15,27.27,17,30.91,9,16.36,3,5.45,42052
42,53,101,23,22.77,31,30.69,22,21.78,10,9.9,42053
42,54,42,10,23.81,11,26.19,10,23.81,5,11.9,42054
42,55,59,16,27.12,14,23.73,7,11.86,7,11.86,42055
42,56,57,27,47.37,12,21.05,7,12.28,5,8.77,42056
42,57,45,12,26.67,10,22.22,10,22.22,3,6.67,42057
42,58,23,8,34.78,5,21.74,3,13.04,3,13.04,42058
42,59,46,18,39.13,11,23.91,9,19.57,3,6.52,42059
42,60,34,9,26.47,9,26.47,4,11.76,4,11.76,42060
42,62,40,11,27.5,11,27.5,11,27.5,4,10.0,42062
42,63,90,29,32.22,21,23.33,21,23.33,5,5.56,42063
42,64,22,5,22.73,7,31.82,2,9.09,3,13.64,42064
42,65,71,32,45.07,17,23.94,6,8.45,8,11.27,42065
42,66,45,9,20.0,11,24.44,12,26.67,7,15.56,42066
42,67,67,21,31.34,22,32.84,8,11.94,8,11.94,42067
43,1,91,33,36.26,20,21.98,23,25.27,5,5.49,43001
43,2,50,31,62.0,8,16.0,8,16.0,3,6.0,43002
43,3,84,51,60.71,13,15.48,10,11.9,1,1.19,43003
43,4,80,33,41.25,23,28.75,8,10.0,10,12.5,43004
43,5,52,26,50.0,6,11.54,14,26.92,5,9.62,43005
43,6,100,42,42.0,14,14.0,11,11.0,12,12.0,43006
43,7,92,35,38.04,15,16.3,16,17.39,15,16.3,43007
43,8,101,45,44.55,12,11.88,22,21.78,12,11.88,43008
43,9,57,27,47.37,4,7.02,5,8.77,11,19.3,43009
43,10,56,28,50.0,13,23.21,7,12.5,1,1.79,43010
43,11,53,34,64.15,10,18.87,3,5.66,2,3.77,43011
43,12,83,38,45.78,16,19.28,8,9.64,11,13.25,43012
43,13,53,13,24.53,12,22.64,9,16.98,7,13.21,43013
43,14,78,51,65.38,6,7.69,12,15.38,7,8.97,43014
43,15,57,27,47.37,10,17.54,6,10.53,4,7.02,43015
43,16,59,32,54.24,11,18.64,6,10.17,4,6.78,43016
43,17,101,59,58.42,17,16.83,13,12.87,4,3.96,43017
43,18,80,32,40.0,14,17.5,17,21.25,9,11.25,43018
43,19,79,19,24.05,15,18.99,22,27.85,13,16.46,43019
43,20,92,42,45.65,16,17.39,17,18.48,6,6.52,43020
43,21,69,48,69.57,4,5.8,7,10.14,2,2.9,43021
43,22,40,19,47.5,6,15.0,7,17.5,5,12.5,43022
43,23,58,36,62.07,9,15.52,6,10.34,3,5.17,43023
43,24,69,26,37.68,19,27.54,8,11.59,6,8.7,43024
43,25,67,29,43.28,10,14.93,7,10.45,11,16.42,43025
43,26,56,28,50.0,9,16.07,11,19.64,5,8.93,43026
43,27,51,22,43.14,9,17.65,9,17.65,5,9.8,43027
43,28,84,33,39.29,15,17.86,23,27.38,8,9.52,43028
43,29,54,29,53.7,4,7.41,13,24.07,4,7.41,43029
43,30,68,33,48.53,11,16.18,9,13.24,8,11.76,43030
43,31,38,15,39.47,8,21.05,5,13.16,4,10.53,43031
43,32,73,42,57.53,14,19.18,3,4.11,6,8.22,43032
43,33,36,16,44.44,4,11.11,6,16.67,5,13.89,43033
43,34,22,7,31.82,6,27.27,4,18.18,2,9.09,43034
43,35,85,41,48.24,7,8.24,23,27.06,6,7.06,43035
43,36,50,23,46.0,12,24.0,5,10.0,3,6.0,43036
43,37,61,15,24.59,15,24.59,10,16.39,9,14.75,43037
43,38,29,11,37.93,4,13.79,8,27.59,2,6.9,43038
43,39,94,39,41.49,18,19.15,19,20.21,9,9.57,43039
43,40,71,28,39.44,13,18.31,14,19.72,7,9.86,43040
43,41,35,26,74.29,5,14.29,1,2.86,0,0.0,43041
43,42,25,12,48.0,1,4.0,5,20.0,3,12.0,43042
43,43,38,16,42.11,5,13.16,10,26.32,0,0.0,43043
43,44,57,24,42.11,12,21.05,6,10.53,7,12.28,43044
43,45,66,26,39.39,8,12.12,8,12.12,14,21.21,43045
43,46,76,36,47.37,10,13.16,12,15.79,9,11.84,43046
43,47,105,43,40.95,24,22.86,16,15.24,9,8.57,43047
43,48,48,16,33.33,15,31.25,7,14.58,5,10.42,43048
43,49,60,29,48.33,7,11.67,14,23.33,4,6.67,43049
43,50,45,16,35.56,10,22.22,8,17.78,4,8.89,43050
43,51,93,24,25.81,17,18.28,15,16.13,12,12.9,43051
44,1,72,23,31.94,15,20.83,9,12.5,15,20.83,44001
44,2,52,20,38.46,11,21.15,2,3.85,6,11.54,44002
44,3,101,47,46.53,10,9.9,15,14.85,15,14.85,44003
44,4,106,36,33.96,14,13.21,25,23.58,18,16.98,44004
44,5,86,39,45.35,13,15.12,13,15.12,7,8.14,44005
44,6,46,22,47.83,4,8.7,4,8.7,5,10.87,44006
44,7,73,31,42.47,16,21.92,15,20.55,7,9.59,44007
44,8,61,29,47.54,9,14.75,6,9.84,6,9.84,44008
44,9,34,17,50.0,3,8.82,11,32.35,3,8.82,44009
44,10,31,11,35.48,5,16.13,8,25.81,3,9.68,44010
44,11,55,21,38.18,11,20.0,6,10.91,5,9.09,44011
44,12,103,42,40.78,8,7.77,14,13.59,13,12.62,44012
44,13,39,18,46.15,5,12.82,6,15.38,3,7.69,44013
44,14,58,28,48.28,7,12.07,5,8.62,11,18.97,44014
44,15,96,44,45.83,11,11.46,11,11.46,13,13.54,44015
44,16,51,25,49.02,11,21.57,3,5.88,6,11.76,44016
44,17,104,64,61.54,7,6.73,11,10.58,9,8.65,44017
44,18,25,12,48.0,5,20.0,3,12.0,3,12.0,44018
44,19,104,48,46.15,7,6.73,13,12.5,10,9.62,44019
44,20,51,23,45.1,14,27.45,4,7.84,2,3.92,44020
44,21,58,21,36.21,14,24.14,7,12.07,7,12.07,44021
44,22,77,33,42.86,14,18.18,7,9.09,7,9.09,44022
44,23,48,21,43.75,8,16.67,6,12.5,8,16.67,44023
44,24,127,56,44.09,24,18.9,19,14.96,17,13.39,44024
44,25,40,15,37.5,10,25.0,5,12.5,4,10.0,44025
44,26,51,16,31.37,8,15.69,7,13.73,3,5.88,44026
44,27,59,27,45.76,7,11.86,10,16.95,5,8.47,44027
44,28,32,17,53.13,5,15.63,1,3.13,3,9.38,44028
44,29,53,16,30.19,11,20.75,8,15.09,12,22.64,44029
44,30,57,23,40.35,4,7.02,10,17.54,10,17.54,44030
44,31,51,26,50.98,9,17.65,5,9.8,6,11.76,44031
44,32,37,21,56.76,5,13.51,6,16.22,1,2.7,44032
44,33,71,24,33.8,11,15.49,5,7.04,6,8.45,44033
44,34,32,15,46.88,6,18.75,1,3.13,3,9.38,44034
44,35,151,65,43.05,18,11.92,24,15.89,20,13.25,44035
44,36,44,13,29.55,6,13.64,12,27.27,2,4.55,44036
44,37,82,41,50.0,8,9.76,6,7.32,9,10.98,44037
44,38,35,10,28.57,6,17.14,7,20.0,1,2.86,44038
44,39,42,13,30.95,11,26.19,6,14.29,5,11.9,44039
44,40,52,28,53.85,4,7.69,7,13.46,8,15.38,44040
44,41,83,18,21.69,20,24.1,17,20.48,10,12.05,44041
44,42,85,26,30.59,9,10.59,16,18.82,10,11.76,44042
44,43,53,25,47.17,9,16.98,9,16.98,4,7.55,44043
44,44,79,24,30.38,12,15.19,10,12.66,17,21.52,44044
44,45,57,19,33.33,11,19.3,13,22.81,6,10.53,44045
44,46,34,14,41.18,6,17.65,5,14.71,3,8.82,44046
44,47,74,27,36.49,19,25.68,7,9.46,10,13.51,44047
46,1,159,50,31.45,30,18.87,34,21.38,10,6.29,46001
46,2,74,33,44.59,12,16.22,17,22.97,6,8.11,46002
46,3,78,15,19.23,16,20.51,27,34.62,11,14.1,46003
46,4,54,15,27.78,12,22.22,12,22.22,4,7.41,46004
46,5,35,15,42.86,3,8.57,9,25.71,2,5.71,46005
46,6,70,13,18.57,11,15.71,22,31.43,9,12.86,46006
46,7,47,29,61.7,4,8.51,6,12.77,2,4.26,46007
46,8,74,12,16.22,6,8.11,32,43.24,4,5.41,46008
46,9,55,22,40.0,13,23.64,9,16.36,2,3.64,46009
46,10,39,10,25.64,4,10.26,12,30.77,6,15.38,46010
46,11,72,20,27.78,15,20.83,14,19.44,13,18.06,46011
46,12,76,27,35.53,15,19.74,17,22.37,9,11.84,46012
46,13,53,14,26.42,12,22.64,13,24.53,5,9.43,46013
46,14,50,23,46.0,12,24.0,8,16.0,1,2.0,46014
46,15,80,28,35.0,10,12.5,20,25.0,9,11.25,46015
46,16,62,24,38.71,19,30.65,14,22.58,3,4.84,46016
46,17,119,51,42.86,16,13.45,18,15.13,14,11.76,46017
46,18,139,52,37.41,20,14.39,22,15.83,14,10.07,46018
46,19,81,41,50.62,15,18.52,11,13.58,6,7.41,46019
46,20,79,14,17.72,9,11.39,30,37.97,6,7.59,46020
46,22,81,12,14.81,11,13.58,44,54.32,6,7.41,46022
46,23,68,6,8.82,14,20.59,25,36.76,8,11.76,46023
46,24,38,15,39.47,1,2.63,9,23.68,5,13.16,46024
46,25,76,18,23.68,15,19.74,26,34.21,8,10.53,46025
46,26,68,12,17.65,19,27.94,16,23.53,9,13.24,46026
46,27,71,10,14.08,19,26.76,23,32.39,7,9.86,46027
46,28,74,24,32.43,17,22.97,8,10.81,14,18.92,46028
46,29,73,30,41.1,10,13.7,16,21.92,5,6.85,46029
46,30,91,28,30.77,14,15.38,21,23.08,10,10.99,46030
46,31,96,40,41.67,15,15.63,17,17.71,8,8.33,46031
46,32,68,10,14.71,9,13.24,28,41.18,7,10.29,46032
46,33,82,29,35.37,10,12.2,17,20.73,10,12.2,46033
46,34,75,19,25.33,12,16.0,30,40.0,5,6.67,46034
46,35,95,30,31.58,20,21.05,24,25.26,7,7.37,46035
46,36,80,28,35.0,14,17.5,16,20.0,8,10.0,46036
46,37,69,15,21.74,13,18.84,24,34.78,10,14.49,46037
46,38,70,9,12.86,8,11.43,28,40.0,15,21.43,46038
46,39,112,45,40.18,20,17.86,21,18.75,12,10.71,46039
46,40,51,2,3.92,9,17.65,20,39.22,4,7.84,46040
46,41,61,12,19.67,11,18.03,18,29.51,10,16.39,46041
46,42,92,14,15.22,19,20.65,27,29.35,12,13.04,46042
46,43,110,45,40.91,11,10.0,27,24.55,14,12.73,46043
46,44,61,16,26.23,12,19.67,14,22.95,7,11.48,46044
46,45,75,25,33.33,9,12.0,16,21.33,5,6.67,46045
47,18,71,27,38.03,15,21.13,10,14.08,6,8.45,47018
47,23,38,17,44.74,8,21.05,5,13.16,1,2.63,47023
47,24,55,26,47.27,12,21.82,7,12.73,5,9.09,47024
47,25,6,4,66.67,0,0.0,1,16.67,0,0.0,47025
47,41,107,43,40.19,18,16.82,17,15.89,8,7.48,47041
47,44,70,21,30.0,11,15.71,10,14.29,12,17.14,47044
47,50,28,11,39.29,1,3.57,7,25.0,2,7.14,47050
48,1,80,30,37.5,16,20.0,11,13.75,12,15.0,48001
48,3,124,26,20.97,25,20.16,32,25.81,16,12.9,48003
48,4,85,22,25.88,22,25.88,22,25.88,9,10.59,48004
48,5,107,46,42.99,11,10.28,14,13.08,17,15.89,48005
48,6,110,18,16.36,28,25.45,33,30.0,13,11.82,48006
48,7,68,26,38.24,12,17.65,19,27.94,6,8.82,48007
48,8,68,19,27.94,16,23.53,15,22.06,10,14.71,48008
48,9,100,32,32.0,16,16.0,21,21.0,17,17.0,48009
48,10,51,25,49.02,11,21.57,5,9.8,6,11.76,48010
48,11,127,57,44.88,20,15.75,24,18.9,17,13.39,48011
48,12,77,24,31.17,16,20.78,11,14.29,8,10.39,48012
48,14,97,9,9.28,19,19.59,38,39.18,8,8.25,48014
48,15,0,0,0.0,0,0.0,0,0.0,0,0.0,48015
48,16,71,13,18.31,12,16.9,10,14.08,14,19.72,48016
48,17,84,41,48.81,18,21.43,9,10.71,10,11.9,48017
48,18,70,15,21.43,16,22.86,17,24.29,9,12.86,48018
48,19,93,52,55.91,14,15.05,12,12.9,7,7.53,48019
48,20,80,45,56.25,10,12.5,13,16.25,7,8.75,48020
48,21,116,25,21.55,15,12.93,29,25.0,16,13.79,48021
48,23,84,15,17.86,15,17.86,22,26.19,18,21.43,48023
48,24,41,6,14.63,11,26.83,9,21.95,12,29.27,48024
48,25,91,24,26.37,17,18.68,19,20.88,8,8.79,48025
48,26,92,37,40.22,15,16.3,13,14.13,10,10.87,48026
48,27,92,25,27.17,12,13.04,15,16.3,16,17.39,48027
48,28,102,34,33.33,22,21.57,23,22.55,12,11.76,48028
48,29,139,22,15.83,35,25.18,59,42.45,12,8.63,48029
48,30,100,38,38.0,18,18.0,18,18.0,7,7.0,48030
48,31,64,14,21.88,12,18.75,12,18.75,12,18.75,48031
48,32,23,3,13.04,6,26.09,8,34.78,3,13.04,48032
48,34,81,30,37.04,10,12.35,17,20.99,8,9.88,48034
48,35,89,23,25.84,14,15.73,22,24.72,17,19.1,48035
48,36,83,28,33.73,15,18.07,17,20.48,10,12.05,48036
48,37,52,18,34.62,12,23.08,7,13.46,6,11.54,48037
48,38,136,56,41.18,32,23.53,29,21.32,7,5.15,48038
48,39,89,18,20.22,23,25.84,21,23.6,10,11.24,48039
48,42,90,33,36.67,17,18.89,16,17.78,7,7.78,48042
48,43,88,41,46.59,10,11.36,15,17.05,6,6.82,48043
48,44,99,42,42.42,18,18.18,23,23.23,8,8.08,48044
48,45,67,25,37.31,9,13.43,10,14.93,8,11.94,48045
48,46,110,28,25.45,13,11.82,24,21.82,15,13.64,48046
48,47,62,7,11.29,18,29.03,17,27.42,5,8.06,48047
48,48,95,39,41.05,19,20.0,9,9.47,11,11.58,48048
48,49,18,6,33.33,3,16.67,6,33.33,1,5.56,48049
48,50,102,42,41.18,14,13.73,20,19.61,11,10.78,48050
48,51,147,65,44.22,28,19.05,16,10.88,18,12.24,48051
48,52,63,15,23.81,14,22.22,15,23.81,7,11.11,48052
49,17,15,5,33.33,3,20.0,3,20.0,1,6.67,49017
