ward,precinct,total,Lisa Ann Marino,Lisa Ann Marino Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,Deborah J. Fortier,Deborah J. Fortier Percent,Jennifer A. Blanc,Jennifer A. Blanc Percent,precinct_id
38,29,74,38,51.35,19,25.68,8,10.81,9,12.16,38029
38,30,56,33,58.93,10,17.86,6,10.71,7,12.5,38030
38,31,94,54,57.45,14,14.89,7,7.45,19,20.21,38031
38,32,74,46,62.16,21,28.38,2,2.7,5,6.76,38032
38,33,62,37,59.68,10,16.13,3,4.84,12,19.35,38033
38,34,101,64,63.37,18,17.82,10,9.9,9,8.91,38034
38,35,108,54,50.0,31,28.7,8,7.41,15,13.89,38035
38,36,75,49,65.33,18,24.0,5,6.67,3,4.0,38036
38,37,79,43,54.43,25,31.65,3,3.8,8,10.13,38037
38,38,60,47,78.33,8,13.33,3,5.0,2,3.33,38038
38,39,78,42,53.85,22,28.21,8,10.26,6,7.69,38039
38,40,47,23,48.94,13,27.66,5,10.64,6,12.77,38040
38,43,55,34,61.82,8,14.55,4,7.27,9,16.36,38043
38,44,56,33,58.93,14,25.0,2,3.57,7,12.5,38044
38,45,71,33,46.48,24,33.8,6,8.45,8,11.27,38045
41,25,22,14,63.64,2,9.09,4,18.18,2,9.09,41025
41,26,27,19,70.37,5,18.52,1,3.7,2,7.41,41026
41,27,16,8,50.0,3,18.75,1,6.25,4,25.0,41027
41,28,52,25,48.08,14,26.92,7,13.46,6,11.54,41028
41,29,22,14,63.64,4,18.18,2,9.09,2,9.09,41029
41,48,39,23,58.97,7,17.95,3,7.69,6,15.38,41048
45,1,101,55,54.46,21,20.79,9,8.91,16,15.84,45001
45,20,10,6,60.0,3,30.0,0,0.0,1,10.0,45020
