ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,Kenny Johnson,Kenny Johnson Percent,precinct_id
7,9,157,73,46.5,84,53.5,07009
7,13,193,72,37.31,121,62.69,07013
7,17,2,2,100.0,0,0.0,07017
7,18,2,2,100.0,0,0.0,07018
7,19,174,72,41.38,102,58.62,07019
7,20,0,0,0.0,0,0.0,07020
7,27,227,110,48.46,117,51.54,07027
7,34,35,16,45.71,19,54.29,07034
7,42,175,81,46.29,94,53.71,07042
7,47,33,15,45.45,18,54.55,07047
7,49,221,103,46.61,118,53.39,07049
8,20,0,0,0.0,0,0.0,08020
8,57,136,67,49.26,69,50.74,08057
8,60,158,62,39.24,96,60.76,08060
10,1,4,1,25.0,3,75.0,10001
10,18,31,24,77.42,7,22.58,10018
10,22,59,30,50.85,29,49.15,10022
10,25,28,14,50.0,14,50.0,10025
10,30,46,28,60.87,18,39.13,10030
10,43,33,19,57.58,14,42.42,10043
20,5,59,33,55.93,26,44.07,20005
20,9,171,85,49.71,86,50.29,20009
20,16,128,54,42.19,74,57.81,20016
20,22,170,83,48.82,87,51.18,20022
20,24,46,25,54.35,21,45.65,20024
20,29,97,42,43.3,55,56.7,20029
20,32,48,29,60.42,19,39.58,20032
20,38,18,11,61.11,7,38.89,20038
42,1,110,77,70.0,33,30.0,42001
42,2,60,41,68.33,19,31.67,42002
42,4,84,51,60.71,33,39.29,42004
42,5,80,59,73.75,21,26.25,42005
42,6,201,106,52.74,95,47.26,42006
42,7,67,40,59.7,27,40.3,42007
42,11,108,70,64.81,38,35.19,42011
42,13,173,109,63.01,64,36.99,42013
42,23,99,69,69.7,30,30.3,42023
42,24,82,46,56.1,36,43.9,42024
42,25,67,49,73.13,18,26.87,42025
42,29,88,60,68.18,28,31.82,42029
42,31,59,40,67.8,19,32.2,42031
42,35,87,55,63.22,32,36.78,42035
42,37,66,48,72.73,18,27.27,42037
42,38,51,37,72.55,14,27.45,42038
42,40,84,58,69.05,26,30.95,42040
42,41,80,39,48.75,41,51.25,42041
42,42,93,57,61.29,36,38.71,42042
42,43,93,65,69.89,28,30.11,42043
42,47,59,48,81.36,11,18.64,42047
42,48,10,6,60.0,4,40.0,42048
42,50,119,73,61.34,46,38.66,42050
42,51,159,91,57.23,68,42.77,42051
42,52,60,27,45.0,33,55.0,42052
42,53,116,57,49.14,59,50.86,42053
42,54,52,30,57.69,22,42.31,42054
42,60,39,24,61.54,15,38.46,42060
42,62,48,34,70.83,14,29.17,42062
42,63,105,68,64.76,37,35.24,42063
42,64,33,16,48.48,17,51.52,42064
42,65,93,54,58.06,39,41.94,42065
42,66,58,37,63.79,21,36.21,42066
43,35,94,74,78.72,20,21.28,43035
