ward,precinct,total,Rodney W. Stewart,Rodney W. Stewart Percent,Celia Louise Gamrath,Celia Louise Gamrath Percent,James A. Shapiro,James A. Shapiro Percent,Thomas N. Osran,Thomas N. Osran Percent,precinct_id
46,19,79,4,5.06,47,59.49,28,35.44,0,0.0,46019
46,20,83,12,14.46,25,30.12,45,54.22,1,1.2,46020
46,22,110,12,10.91,18,16.36,79,71.82,1,0.91,46022
46,23,76,17,22.37,24,31.58,33,43.42,2,2.63,46023
46,24,34,6,17.65,18,52.94,10,29.41,0,0.0,46024
46,25,86,10,11.63,30,34.88,40,46.51,6,6.98,46025
46,26,72,12,16.67,34,47.22,23,31.94,3,4.17,46026
46,27,77,16,20.78,26,33.77,34,44.16,1,1.3,46027
46,28,79,16,20.25,35,44.3,26,32.91,2,2.53,46028
46,29,74,9,12.16,30,40.54,32,43.24,3,4.05,46029
46,30,89,22,24.72,42,47.19,24,26.97,1,1.12,46030
46,31,93,9,9.68,49,52.69,33,35.48,2,2.15,46031
46,32,72,17,23.61,28,38.89,24,33.33,3,4.17,46032
46,33,85,15,17.65,43,50.59,24,28.24,3,3.53,46033
46,34,76,17,22.37,22,28.95,34,44.74,3,3.95,46034
46,35,92,19,20.65,43,46.74,27,29.35,3,3.26,46035
46,36,81,17,20.99,37,45.68,26,32.1,1,1.23,46036
46,37,68,14,20.59,27,39.71,25,36.76,2,2.94,46037
46,38,73,10,13.7,17,23.29,44,60.27,2,2.74,46038
46,39,134,78,58.21,32,23.88,22,16.42,2,1.49,46039
46,40,51,11,21.57,14,27.45,24,47.06,2,3.92,46040
46,41,84,12,14.29,20,23.81,50,59.52,2,2.38,46041
46,42,96,18,18.75,32,33.33,42,43.75,4,4.17,46042
46,43,106,16,15.09,47,44.34,41,38.68,2,1.89,46043
46,44,77,15,19.48,20,25.97,41,53.25,1,1.3,46044
46,45,70,19,27.14,28,40.0,23,32.86,0,0.0,46045
47,18,71,7,9.86,47,66.2,14,19.72,3,4.23,47018
47,23,38,0,0.0,30,78.95,8,21.05,0,0.0,47023
47,24,54,5,9.26,26,48.15,20,37.04,3,5.56,47024
47,25,6,2,33.33,2,33.33,2,33.33,0,0.0,47025
47,41,110,14,12.73,55,50.0,35,31.82,6,5.45,47041
47,44,73,6,8.22,33,45.21,32,43.84,2,2.74,47044
47,50,29,5,17.24,16,55.17,6,20.69,2,6.9,47050
48,1,79,11,13.92,41,51.9,27,34.18,0,0.0,48001
48,3,121,24,19.83,51,42.15,44,36.36,2,1.65,48003
48,4,84,13,15.48,50,59.52,18,21.43,3,3.57,48004
48,5,106,6,5.66,60,56.6,38,35.85,2,1.89,48005
48,6,108,27,25.0,48,44.44,30,27.78,3,2.78,48006
48,7,70,5,7.14,43,61.43,21,30.0,1,1.43,48007
48,8,60,7,11.67,37,61.67,14,23.33,2,3.33,48008
