ward,precinct,total,Patrick J. Sherlock,Patrick J. Sherlock Percent,"P. Scott Neville, Jr.","P. Scott Neville, Jr. Percent",Marguerite Anne Quinn,Marguerite Anne Quinn Percent,precinct_id
6,13,105,24,22.86,55,52.38,26,24.76,06013
6,14,108,19,17.59,54,50.0,35,32.41,06014
6,15,69,20,28.99,33,47.83,16,23.19,06015
6,16,184,34,18.48,120,65.22,30,16.3,06016
6,17,174,19,10.92,122,70.11,33,18.97,06017
6,18,53,10,18.87,28,52.83,15,28.3,06018
6,19,145,32,22.07,91,62.76,22,15.17,06019
6,20,124,21,16.94,77,62.1,26,20.97,06020
6,21,177,26,14.69,118,66.67,33,18.64,06021
6,22,149,29,19.46,93,62.42,27,18.12,06022
6,23,120,31,25.83,64,53.33,25,20.83,06023
6,24,151,27,17.88,89,58.94,35,23.18,06024
6,25,94,14,14.89,61,64.89,19,20.21,06025
6,26,140,30,21.43,81,57.86,29,20.71,06026
6,27,196,42,21.43,105,53.57,49,25.0,06027
6,28,282,38,13.48,180,63.83,64,22.7,06028
6,29,189,30,15.87,116,61.38,43,22.75,06029
6,30,104,13,12.5,66,63.46,25,24.04,06030
6,31,172,28,16.28,112,65.12,32,18.6,06031
6,32,133,21,15.79,85,63.91,27,20.3,06032
6,33,161,26,16.15,99,61.49,36,22.36,06033
6,34,105,16,15.24,58,55.24,31,29.52,06034
6,35,137,24,17.52,92,67.15,21,15.33,06035
6,36,66,23,34.85,24,36.36,19,28.79,06036
6,37,196,25,12.76,134,68.37,37,18.88,06037
6,38,148,25,16.89,87,58.78,36,24.32,06038
6,39,77,15,19.48,49,63.64,13,16.88,06039
6,40,206,38,18.45,132,64.08,36,17.48,06040
6,41,170,28,16.47,105,61.76,37,21.76,06041
6,42,45,7,15.56,28,62.22,10,22.22,06042
6,43,151,25,16.56,89,58.94,37,24.5,06043
6,44,167,26,15.57,111,66.47,30,17.96,06044
6,45,213,37,17.37,127,59.62,49,23.0,06045
6,46,140,27,19.29,79,56.43,34,24.29,06046
6,47,153,26,16.99,97,63.4,30,19.61,06047
6,48,107,20,18.69,62,57.94,25,23.36,06048
6,49,150,32,21.33,79,52.67,39,26.0,06049
6,50,184,28,15.22,120,65.22,36,19.57,06050
6,51,139,26,18.71,86,61.87,27,19.42,06051
6,52,90,18,20.0,48,53.33,24,26.67,06052
6,53,131,25,19.08,72,54.96,34,25.95,06053
6,54,126,20,15.87,61,48.41,45,35.71,06054
6,55,105,13,12.38,79,75.24,13,12.38,06055
6,56,99,23,23.23,56,56.57,20,20.2,06056
6,57,140,19,13.57,90,64.29,31,22.14,06057
6,58,183,27,14.75,128,69.95,28,15.3,06058
6,59,129,21,16.28,84,65.12,24,18.6,06059
7,1,262,38,14.5,158,60.31,66,25.19,07001
7,2,139,21,15.11,83,59.71,35,25.18,07002
7,3,138,23,16.67,72,52.17,43,31.16,07003
7,4,80,23,28.75,32,40.0,25,31.25,07004
7,5,69,16,23.19,35,50.72,18,26.09,07005
7,6,93,20,21.51,44,47.31,29,31.18,07006
7,7,76,21,27.63,33,43.42,22,28.95,07007
7,8,27,10,37.04,6,22.22,11,40.74,07008
7,9,237,30,12.66,146,61.6,61,25.74,07009
7,10,150,28,18.67,81,54.0,41,27.33,07010
7,11,136,18,13.24,90,66.18,28,20.59,07011
7,12,132,28,21.21,76,57.58,28,21.21,07012
7,13,207,35,16.91,100,48.31,72,34.78,07013
7,14,131,19,14.5,82,62.6,30,22.9,07014
7,15,112,13,11.61,72,64.29,27,24.11,07015
7,16,129,20,15.5,64,49.61,45,34.88,07016
7,17,59,13,22.03,34,57.63,12,20.34,07017
7,18,158,36,22.78,64,40.51,58,36.71,07018
7,19,163,25,15.34,93,57.06,45,27.61,07019
7,20,32,11,34.38,14,43.75,7,21.88,07020
7,21,90,20,22.22,43,47.78,27,30.0,07021
7,22,61,18,29.51,24,39.34,19,31.15,07022
7,23,91,16,17.58,48,52.75,27,29.67,07023
7,24,211,44,20.85,118,55.92,49,23.22,07024
7,25,216,36,16.67,116,53.7,64,29.63,07025
7,26,134,22,16.42,82,61.19,30,22.39,07026
7,27,210,33,15.71,108,51.43,69,32.86,07027
7,28,99,18,18.18,38,38.38,43,43.43,07028
7,29,88,10,11.36,57,64.77,21,23.86,07029
7,30,142,29,20.42,70,49.3,43,30.28,07030
7,31,132,24,18.18,77,58.33,31,23.48,07031
7,32,65,17,26.15,30,46.15,18,27.69,07032
7,33,104,21,20.19,56,53.85,27,25.96,07033
7,34,39,20,51.28,8,20.51,11,28.21,07034
7,35,165,21,12.73,102,61.82,42,25.45,07035
7,36,116,22,18.97,46,39.66,48,41.38,07036
7,37,157,29,18.47,77,49.04,51,32.48,07037
7,38,182,35,19.23,100,54.95,47,25.82,07038
7,39,274,46,16.79,162,59.12,66,24.09,07039
7,40,153,33,21.57,74,48.37,46,30.07,07040
7,41,94,22,23.4,49,52.13,23,24.47,07041
7,42,165,28,16.97,88,53.33,49,29.7,07042
7,43,114,17,14.91,62,54.39,35,30.7,07043
7,44,175,28,16.0,92,52.57,55,31.43,07044
7,45,181,27,14.92,115,63.54,39,21.55,07045
7,46,76,23,30.26,27,35.53,26,34.21,07046
7,47,86,16,18.6,41,47.67,29,33.72,07047
7,48,100,23,23.0,38,38.0,39,39.0,07048
7,49,217,40,18.43,137,63.13,40,18.43,07049
8,1,157,29,18.47,110,70.06,18,11.46,08001
8,2,61,12,19.67,31,50.82,18,29.51,08002
8,3,206,37,17.96,142,68.93,27,13.11,08003
8,4,302,37,12.25,218,72.19,47,15.56,08004
8,5,319,51,15.99,220,68.97,48,15.05,08005
8,6,150,25,16.67,86,57.33,39,26.0,08006
8,7,107,15,14.02,68,63.55,24,22.43,08007
8,8,167,26,15.57,98,58.68,43,25.75,08008
8,9,193,26,13.47,129,66.84,38,19.69,08009
8,10,196,27,13.78,139,70.92,30,15.31,08010
8,11,128,31,24.22,68,53.13,29,22.66,08011
8,12,112,29,25.89,66,58.93,17,15.18,08012
8,13,84,20,23.81,48,57.14,16,19.05,08013
8,14,87,17,19.54,50,57.47,20,22.99,08014
8,15,103,18,17.48,62,60.19,23,22.33,08015
8,16,168,25,14.88,121,72.02,22,13.1,08016
8,17,155,29,18.71,87,56.13,39,25.16,08017
8,18,63,10,15.87,38,60.32,15,23.81,08018
8,19,177,29,16.38,114,64.41,34,19.21,08019
8,20,212,40,18.87,125,58.96,47,22.17,08020
8,21,114,19,16.67,83,72.81,12,10.53,08021
8,22,109,14,12.84,72,66.06,23,21.1,08022
8,23,111,20,18.02,69,62.16,22,19.82,08023
8,24,147,21,14.29,96,65.31,30,20.41,08024
8,25,128,14,10.94,97,75.78,17,13.28,08025
8,26,78,7,8.97,51,65.38,20,25.64,08026
8,27,161,35,21.74,102,63.35,24,14.91,08027
8,28,249,31,12.45,162,65.06,56,22.49,08028
8,29,130,24,18.46,85,65.38,21,16.15,08029
8,30,101,11,10.89,58,57.43,32,31.68,08030
8,31,89,16,17.98,54,60.67,19,21.35,08031
8,32,197,35,17.77,106,53.81,56,28.43,08032
8,33,178,46,25.84,92,51.69,40,22.47,08033
8,34,162,29,17.9,94,58.02,39,24.07,08034
8,35,181,39,21.55,107,59.12,35,19.34,08035
8,36,141,26,18.44,79,56.03,36,25.53,08036
8,37,138,30,21.74,80,57.97,28,20.29,08037
8,38,105,25,23.81,54,51.43,26,24.76,08038
8,39,144,21,14.58,83,57.64,40,27.78,08039
8,40,101,19,18.81,55,54.46,27,26.73,08040
8,41,99,16,16.16,65,65.66,18,18.18,08041
8,42,148,24,16.22,92,62.16,32,21.62,08042
8,43,65,11,16.92,42,64.62,12,18.46,08043
8,44,108,24,22.22,55,50.93,29,26.85,08044
8,45,89,15,16.85,54,60.67,20,22.47,08045
8,46,141,17,12.06,98,69.5,26,18.44,08046
8,47,162,39,24.07,91,56.17,32,19.75,08047
8,48,113,20,17.7,69,61.06,24,21.24,08048
8,49,175,22,12.57,110,62.86,43,24.57,08049
8,50,132,20,15.15,86,65.15,26,19.7,08050
8,51,176,21,11.93,117,66.48,38,21.59,08051
8,52,144,18,12.5,101,70.14,25,17.36,08052
8,53,149,19,12.75,98,65.77,32,21.48,08053
8,54,131,19,14.5,89,67.94,23,17.56,08054
8,55,83,18,21.69,50,60.24,15,18.07,08055
8,56,129,18,13.95,79,61.24,32,24.81,08056
8,57,128,21,16.41,75,58.59,32,25.0,08057
8,58,154,21,13.64,113,73.38,20,12.99,08058
8,59,74,6,8.11,58,78.38,10,13.51,08059
8,60,151,28,18.54,85,56.29,38,25.17,08060
8,61,110,27,24.55,58,52.73,25,22.73,08061
8,62,201,43,21.39,108,53.73,50,24.88,08062
8,63,166,23,13.86,110,66.27,33,19.88,08063
8,64,113,33,29.2,59,52.21,21,18.58,08064
9,1,146,22,15.07,87,59.59,37,25.34,09001
9,2,125,35,28.0,52,41.6,38,30.4,09002
9,3,44,9,20.45,22,50.0,13,29.55,09003
9,4,146,30,20.55,86,58.9,30,20.55,09004
9,5,140,28,20.0,85,60.71,27,19.29,09005
9,6,212,29,13.68,142,66.98,41,19.34,09006
9,7,128,36,28.13,60,46.88,32,25.0,09007
9,8,113,28,24.78,53,46.9,32,28.32,09008
9,9,179,33,18.44,105,58.66,41,22.91,09009
9,10,116,25,21.55,57,49.14,34,29.31,09010
9,11,88,21,23.86,43,48.86,24,27.27,09011
9,12,99,23,23.23,58,58.59,18,18.18,09012
9,13,214,32,14.95,120,56.07,62,28.97,09013
9,14,176,34,19.32,97,55.11,45,25.57,09014
9,15,114,32,28.07,56,49.12,26,22.81,09015
9,16,158,39,24.68,83,52.53,36,22.78,09016
9,17,91,27,29.67,42,46.15,22,24.18,09017
9,18,123,28,22.76,60,48.78,35,28.46,09018
9,19,145,27,18.62,84,57.93,34,23.45,09019
9,20,171,38,22.22,91,53.22,42,24.56,09020
9,21,147,35,23.81,68,46.26,44,29.93,09021
9,22,214,43,20.09,113,52.8,58,27.1,09022
9,23,98,28,28.57,45,45.92,25,25.51,09023
9,24,90,19,21.11,53,58.89,18,20.0,09024
9,25,86,24,27.91,21,24.42,41,47.67,09025
9,26,76,12,15.79,43,56.58,21,27.63,09026
9,27,101,25,24.75,43,42.57,33,32.67,09027
9,28,39,11,28.21,12,30.77,16,41.03,09028
9,29,75,21,28.0,37,49.33,17,22.67,09029
9,30,73,11,15.07,42,57.53,20,27.4,09030
9,31,109,27,24.77,60,55.05,22,20.18,09031
9,32,196,39,19.9,106,54.08,51,26.02,09032
9,33,86,19,22.09,43,50.0,24,27.91,09033
9,34,130,41,31.54,62,47.69,27,20.77,09034
9,35,272,48,17.65,166,61.03,58,21.32,09035
9,36,158,36,22.78,85,53.8,37,23.42,09036
9,37,102,21,20.59,43,42.16,38,37.25,09037
9,38,108,32,29.63,53,49.07,23,21.3,09038
9,39,215,35,16.28,129,60.0,51,23.72,09039
9,40,229,44,19.21,134,58.52,51,22.27,09040
9,41,138,34,24.64,71,51.45,33,23.91,09041
9,42,57,7,12.28,31,54.39,19,33.33,09042
9,43,60,16,26.67,33,55.0,11,18.33,09043
9,44,68,24,35.29,33,48.53,11,16.18,09044
9,45,225,52,23.11,118,52.44,55,24.44,09045
9,46,66,11,16.67,30,45.45,25,37.88,09046
9,47,171,28,16.37,101,59.06,42,24.56,09047
10,1,102,21,20.59,52,50.98,29,28.43,10001
10,2,43,21,48.84,9,20.93,13,30.23,10002
10,3,82,22,26.83,15,18.29,45,54.88,10003
10,4,52,13,25.0,16,30.77,23,44.23,10004
10,5,70,17,24.29,20,28.57,33,47.14,10005
10,6,119,23,19.33,58,48.74,38,31.93,10006
10,7,61,16,26.23,16,26.23,29,47.54,10007
10,8,54,13,24.07,17,31.48,24,44.44,10008
10,9,63,22,34.92,19,30.16,22,34.92,10009
10,10,58,13,22.41,19,32.76,26,44.83,10010
10,11,69,24,34.78,14,20.29,31,44.93,10011
10,12,48,18,37.5,8,16.67,22,45.83,10012
10,13,102,25,24.51,33,32.35,44,43.14,10013
10,14,60,18,30.0,14,23.33,28,46.67,10014
10,15,26,8,30.77,4,15.38,14,53.85,10015
10,16,66,23,34.85,21,31.82,22,33.33,10016
10,17,60,13,21.67,18,30.0,29,48.33,10017
10,18,34,14,41.18,8,23.53,12,35.29,10018
10,19,73,23,31.51,15,20.55,35,47.95,10019
10,20,54,9,16.67,9,16.67,36,66.67,10020
10,21,67,25,37.31,17,25.37,25,37.31,10021
10,22,52,16,30.77,15,28.85,21,40.38,10022
10,23,43,16,37.21,9,20.93,18,41.86,10023
10,24,66,18,27.27,14,21.21,34,51.52,10024
10,25,69,14,20.29,24,34.78,31,44.93,10025
10,26,43,11,25.58,10,23.26,22,51.16,10026
10,27,74,19,25.68,23,31.08,32,43.24,10027
10,28,95,30,31.58,43,45.26,22,23.16,10028
10,29,88,17,19.32,50,56.82,21,23.86,10029
10,30,56,13,23.21,21,37.5,22,39.29,10030
10,31,60,15,25.0,13,21.67,32,53.33,10031
10,32,52,14,26.92,16,30.77,22,42.31,10032
10,33,55,10,18.18,11,20.0,34,61.82,10033
10,34,56,11,19.64,16,28.57,29,51.79,10034
10,35,63,12,19.05,15,23.81,36,57.14,10035
10,36,78,14,17.95,31,39.74,33,42.31,10036
10,37,48,14,29.17,15,31.25,19,39.58,10037
10,38,68,19,27.94,14,20.59,35,51.47,10038
10,39,63,21,33.33,13,20.63,29,46.03,10039
