ward,precinct,total,Sum Chu Ma (Obama),Sum Chu Ma (Obama) Percent,George Cardenas (Obama),George Cardenas (Obama) Percent,Antonio Munoz (Obama),Antonio Munoz (Obama) Percent,Raul Raymundo (Obama),Raul Raymundo (Obama) Percent,Suleyma Perez (Obama),Suleyma Perez (Obama) Percent,Celena Roldan (Obama),Celena Roldan (Obama) Percent,precinct_id
14,15,390,56,14.36,74,18.97,82,21.03,62,15.9,59,15.13,57,14.62,14015
14,16,286,48,16.78,47,16.43,58,20.28,43,15.03,46,16.08,44,15.38,14016
14,17,246,40,16.26,45,18.29,47,19.11,38,15.45,38,15.45,38,15.45,14017
14,18,165,25,15.15,32,19.39,36,21.82,25,15.15,25,15.15,22,13.33,14018
14,19,353,50,14.16,62,17.56,76,21.53,53,15.01,59,16.71,53,15.01,14019
14,20,185,25,13.51,36,19.46,41,22.16,27,14.59,27,14.59,29,15.68,14020
14,22,496,78,15.73,95,19.15,104,20.97,73,14.72,76,15.32,70,14.11,14022
14,23,247,35,14.17,44,17.81,57,23.08,33,13.36,41,16.6,37,14.98,14023
14,24,229,36,15.72,37,16.16,54,23.58,33,14.41,34,14.85,35,15.28,14024
14,25,214,33,15.42,35,16.36,45,21.03,35,16.36,33,15.42,33,15.42,14025
14,27,414,62,14.98,74,17.87,83,20.05,67,16.18,66,15.94,62,14.98,14027
14,28,255,39,15.29,44,17.25,49,19.22,39,15.29,42,16.47,42,16.47,14028
14,30,298,44,14.77,54,18.12,69,23.15,44,14.77,42,14.09,45,15.1,14030
14,31,214,30,14.02,38,17.76,48,22.43,32,14.95,34,15.89,32,14.95,14031
22,1,152,20,13.16,36,23.68,31,20.39,25,16.45,22,14.47,18,11.84,22001
22,2,110,12,10.91,24,21.82,24,21.82,17,15.45,15,13.64,18,16.36,22002
22,3,207,24,11.59,46,22.22,45,21.74,34,16.43,32,15.46,26,12.56,22003
22,4,212,29,13.68,43,20.28,42,19.81,35,16.51,32,15.09,31,14.62,22004
22,5,224,27,12.05,48,21.43,49,21.88,38,16.96,33,14.73,29,12.95,22005
22,6,224,29,12.95,46,20.54,41,18.3,34,15.18,41,18.3,33,14.73,22006
22,8,173,23,13.29,39,22.54,35,20.23,23,13.29,29,16.76,24,13.87,22008
22,9,201,24,11.94,47,23.38,39,19.4,30,14.93,32,15.92,29,14.43,22009
22,10,303,35,11.55,64,21.12,64,21.12,46,15.18,50,16.5,44,14.52,22010
22,11,198,20,10.1,48,24.24,45,22.73,31,15.66,34,17.17,20,10.1,22011
22,12,257,33,12.84,48,18.68,52,20.23,44,17.12,42,16.34,38,14.79,22012
22,13,302,39,12.91,67,22.19,66,21.85,42,13.91,52,17.22,36,11.92,22013
22,15,200,24,12.0,43,21.5,45,22.5,30,15.0,33,16.5,25,12.5,22015
22,16,312,38,12.18,63,20.19,70,22.44,44,14.1,52,16.67,45,14.42,22016
22,17,262,36,13.74,52,19.85,62,23.66,42,16.03,37,14.12,33,12.6,22017
22,18,252,34,13.49,39,15.48,53,21.03,41,16.27,44,17.46,41,16.27,22018
22,20,214,27,12.62,48,22.43,41,19.16,34,15.89,33,15.42,31,14.49,22020
22,22,173,20,11.56,36,20.81,40,23.12,27,15.61,30,17.34,20,11.56,22022
22,23,317,46,14.51,53,16.72,66,20.82,51,16.09,54,17.03,47,14.83,22023
22,24,202,28,13.86,49,24.26,39,19.31,28,13.86,30,14.85,28,13.86,22024
22,25,288,35,12.15,65,22.57,57,19.79,41,14.24,46,15.97,44,15.28,22025
22,26,216,30,13.89,41,18.98,41,18.98,34,15.74,35,16.2,35,16.2,22026
22,27,243,34,13.99,48,19.75,53,21.81,33,13.58,42,17.28,33,13.58,22027
22,28,114,13,11.4,27,23.68,32,28.07,11,9.65,19,16.67,12,10.53,22028
23,9,363,54,14.88,70,19.28,70,19.28,55,15.15,58,15.98,56,15.43,23009
23,24,175,25,14.29,31,17.71,39,22.29,26,14.86,27,15.43,27,15.43,23024
23,29,220,33,15.0,39,17.73,40,18.18,37,16.82,35,15.91,36,16.36,23029
24,33,220,23,10.45,51,23.18,57,25.91,32,14.55,33,15.0,24,10.91,24033
25,1,316,47,14.87,55,17.41,72,22.78,44,13.92,51,16.14,47,14.87,25001
25,2,374,55,14.71,64,17.11,81,21.66,55,14.71,65,17.38,54,14.44,25002
25,5,283,36,12.72,51,18.02,76,26.86,40,14.13,41,14.49,39,13.78,25005
25,6,255,39,15.29,47,18.43,55,21.57,37,14.51,40,15.69,37,14.51,25006
25,7,195,30,15.38,33,16.92,40,20.51,34,17.44,31,15.9,27,13.85,25007
25,8,260,32,12.31,51,19.62,58,22.31,39,15.0,44,16.92,36,13.85,25008
25,9,310,38,12.26,56,18.06,75,24.19,46,14.84,50,16.13,45,14.52,25009
25,11,284,36,12.68,51,17.96,64,22.54,47,16.55,44,15.49,42,14.79,25011
25,12,225,32,14.22,39,17.33,49,21.78,35,15.56,33,14.67,37,16.44,25012
25,13,268,45,16.79,50,18.66,62,23.13,37,13.81,37,13.81,37,13.81,25013
25,15,273,45,16.48,46,16.85,65,23.81,38,13.92,42,15.38,37,13.55,25015
25,17,465,71,15.27,80,17.2,101,21.72,75,16.13,69,14.84,69,14.84,25017
25,19,252,33,13.1,43,17.06,64,25.4,40,15.87,37,14.68,35,13.89,25019
25,20,377,52,13.79,65,17.24,88,23.34,61,16.18,57,15.12,54,14.32,25020
25,22,183,28,15.3,30,16.39,41,22.4,28,15.3,31,16.94,25,13.66,25022
25,23,409,62,15.16,65,15.89,94,22.98,61,14.91,68,16.63,59,14.43,25023
25,24,381,51,13.39,72,18.9,82,21.52,58,15.22,63,16.54,55,14.44,25024
25,26,135,17,12.59,26,19.26,32,23.7,20,14.81,20,14.81,20,14.81,25026
25,30,246,36,14.63,40,16.26,67,27.24,36,14.63,35,14.23,32,13.01,25030
26,2,243,35,14.4,41,16.87,47,19.34,41,16.87,40,16.46,39,16.05,26002
26,3,176,26,14.77,30,17.05,37,21.02,28,15.91,28,15.91,27,15.34,26003
26,4,130,22,16.92,23,17.69,22,16.92,22,16.92,21,16.15,20,15.38,26004
26,5,232,36,15.52,39,16.81,41,17.67,37,15.95,40,17.24,39,16.81,26005
26,6,134,24,17.91,19,14.18,31,23.13,20,14.93,21,15.67,19,14.18,26006
26,8,212,35,16.51,36,16.98,40,18.87,33,15.57,34,16.04,34,16.04,26008
26,9,146,24,16.44,25,17.12,27,18.49,23,15.75,26,17.81,21,14.38,26009
26,10,150,26,17.33,23,15.33,27,18.0,23,15.33,25,16.67,26,17.33,26010
26,11,133,18,13.53,26,19.55,26,19.55,21,15.79,23,17.29,19,14.29,26011
26,12,252,36,14.29,40,15.87,45,17.86,42,16.67,48,19.05,41,16.27,26012
26,13,540,82,15.19,86,15.93,104,19.26,85,15.74,92,17.04,91,16.85,26013
26,14,140,19,13.57,26,18.57,30,21.43,24,17.14,21,15.0,20,14.29,26014
26,15,113,16,14.16,19,16.81,22,19.47,21,18.58,18,15.93,17,15.04,26015
26,16,157,26,16.56,24,15.29,30,19.11,26,16.56,24,15.29,27,17.2,26016
26,18,105,14,13.33,19,18.1,23,21.9,17,16.19,15,14.29,17,16.19,26018
26,19,543,88,16.21,96,17.68,95,17.5,87,16.02,89,16.39,88,16.21,26019
26,20,184,28,15.22,29,15.76,43,23.37,27,14.67,28,15.22,29,15.76,26020
26,22,124,22,17.74,20,16.13,21,16.94,22,17.74,20,16.13,19,15.32,26022
26,23,147,25,17.01,27,18.37,24,16.33,23,15.65,23,15.65,25,17.01,26023
26,24,136,20,14.71,23,16.91,28,20.59,23,16.91,23,16.91,19,13.97,26024
26,25,135,17,12.59,21,15.56,26,19.26,24,17.78,22,16.3,25,18.52,26025
26,26,143,24,16.78,22,15.38,25,17.48,27,18.88,23,16.08,22,15.38,26026
26,27,160,23,14.38,29,18.13,30,18.75,25,15.63,27,16.88,26,16.25,26027
26,29,196,26,13.27,33,16.84,40,20.41,32,16.33,30,15.31,35,17.86,26029
26,30,123,18,14.63,21,17.07,22,17.89,21,17.07,22,17.89,19,15.45,26030
26,31,142,18,12.68,22,15.49,34,23.94,21,14.79,25,17.61,22,15.49,26031
26,34,366,62,16.94,61,16.67,63,17.21,62,16.94,59,16.12,59,16.12,26034
26,35,195,26,13.33,33,16.92,38,19.49,34,17.44,31,15.9,33,16.92,26035
26,36,155,24,15.48,26,16.77,28,18.06,29,18.71,25,16.13,23,14.84,26036
26,37,103,14,13.59,18,17.48,21,20.39,14,13.59,18,17.48,18,17.48,26037
26,38,99,16,16.16,15,15.15,16,16.16,17,17.17,19,19.19,16,16.16,26038
26,39,57,7,12.28,10,17.54,11,19.3,10,17.54,9,15.79,10,17.54,26039
26,40,81,14,17.28,16,19.75,13,16.05,15,18.52,12,14.81,11,13.58,26040
26,41,174,27,15.52,29,16.67,36,20.69,25,14.37,31,17.82,26,14.94,26041
26,42,72,10,13.89,12,16.67,13,18.06,10,13.89,15,20.83,12,16.67,26042
26,43,164,25,15.24,26,15.85,30,18.29,28,17.07,27,16.46,28,17.07,26043
26,45,217,33,15.21,38,17.51,40,18.43,36,16.59,34,15.67,36,16.59,26045
26,47,80,12,15.0,13,16.25,13,16.25,12,15.0,15,18.75,15,18.75,26047
26,49,192,26,13.54,33,17.19,40,20.83,30,15.63,35,18.23,28,14.58,26049
26,50,130,22,16.92,21,16.15,25,19.23,24,18.46,19,14.62,19,14.62,26050
26,51,205,27,13.17,34,16.59,42,20.49,33,16.1,36,17.56,33,16.1,26051
26,52,215,31,14.42,32,14.88,46,21.4,39,18.14,33,15.35,34,15.81,26052
26,53,156,21,13.46,26,16.67,32,20.51,25,16.03,27,17.31,25,16.03,26053
28,29,284,36,12.68,51,17.96,68,23.94,43,15.14,45,15.85,41,14.44,28029
28,34,168,26,15.48,35,20.83,34,20.24,26,15.48,25,14.88,22,13.1,28034
29,2,189,28,14.81,33,17.46,40,21.16,30,15.87,28,14.81,30,15.87,29002
29,6,360,57,15.83,63,17.5,58,16.11,58,16.11,66,18.33,58,16.11,29006
29,9,193,30,15.54,32,16.58,39,20.21,29,15.03,32,16.58,31,16.06,29009
29,30,191,33,17.28,32,16.75,36,18.85,32,16.75,29,15.18,29,15.18,29030
29,32,111,16,14.41,19,17.12,21,18.92,20,18.02,17,15.32,18,16.22,29032
29,39,209,31,14.83,38,18.18,42,20.1,34,16.27,34,16.27,30,14.35,29039
30,2,297,44,14.81,50,16.84,54,18.18,46,15.49,54,18.18,49,16.5,30002
30,3,321,55,17.13,57,17.76,53,16.51,53,16.51,50,15.58,53,16.51,30003
30,4,315,52,16.51,53,16.83,58,18.41,49,15.56,54,17.14,49,15.56,30004
30,5,152,21,13.82,29,19.08,35,23.03,22,14.47,25,16.45,20,13.16,30005
30,6,385,63,16.36,63,16.36,69,17.92,63,16.36,64,16.62,63,16.36,30006
30,7,202,35,17.33,33,16.34,36,17.82,31,15.35,34,16.83,33,16.34,30007
30,8,418,71,16.99,75,17.94,74,17.7,66,15.79,67,16.03,65,15.55,30008
30,9,501,78,15.57,86,17.17,102,20.36,77,15.37,73,14.57,85,16.97,30009
30,10,167,23,13.77,33,19.76,35,20.96,24,14.37,28,16.77,24,14.37,30010
30,11,188,28,14.89,35,18.62,39,20.74,28,14.89,28,14.89,30,15.96,30011
30,12,236,38,16.1,46,19.49,42,17.8,37,15.68,38,16.1,35,14.83,30012
30,13,517,79,15.28,87,16.83,96,18.57,83,16.05,84,16.25,88,17.02,30013
30,14,360,60,16.67,65,18.06,60,16.67,61,16.94,60,16.67,54,15.0,30014
30,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30015
30,16,55,6,10.91,12,21.82,10,18.18,11,20.0,9,16.36,7,12.73,30016
30,17,144,23,15.97,24,16.67,26,18.06,23,15.97,24,16.67,24,16.67,30017
30,18,341,52,15.25,63,18.48,71,20.82,51,14.96,49,14.37,55,16.13,30018
30,19,135,21,15.56,23,17.04,25,18.52,24,17.78,21,15.56,21,15.56,30019
30,20,79,9,11.39,13,16.46,15,18.99,11,13.92,15,18.99,16,20.25,30020
30,21,193,29,15.03,34,17.62,40,20.73,29,15.03,32,16.58,29,15.03,30021
30,22,221,36,16.29,37,16.74,44,19.91,33,14.93,36,16.29,35,15.84,30022
30,23,146,20,13.7,30,20.55,31,21.23,24,16.44,21,14.38,20,13.7,30023
30,24,177,24,13.56,31,17.51,36,20.34,29,16.38,32,18.08,25,14.12,30024
30,25,90,16,17.78,18,20.0,18,20.0,12,13.33,14,15.56,12,13.33,30025
30,26,149,21,14.09,30,20.13,26,17.45,21,14.09,26,17.45,25,16.78,30026
30,27,225,33,14.67,42,18.67,45,20.0,33,14.67,39,17.33,33,14.67,30027
30,28,404,68,16.83,67,16.58,73,18.07,65,16.09,65,16.09,66,16.34,30028
30,29,59,9,15.25,11,18.64,12,20.34,8,13.56,9,15.25,10,16.95,30029
30,30,270,50,18.52,42,15.56,47,17.41,42,15.56,44,16.3,45,16.67,30030
30,31,81,10,12.35,16,19.75,13,16.05,13,16.05,15,18.52,14,17.28,30031
31,1,204,30,14.71,35,17.16,47,23.04,28,13.73,31,15.2,33,16.18,31001
31,2,303,45,14.85,57,18.81,62,20.46,43,14.19,47,15.51,49,16.17,31002
31,3,177,27,15.25,30,16.95,32,18.08,27,15.25,30,16.95,31,17.51,31003
31,4,221,39,17.65,33,14.93,43,19.46,33,14.93,36,16.29,37,16.74,31004
31,5,292,42,14.38,54,18.49,57,19.52,50,17.12,46,15.75,43,14.73,31005
31,6,222,33,14.86,38,17.12,43,19.37,36,16.22,35,15.77,37,16.67,31006
31,7,230,35,15.22,39,16.96,42,18.26,37,16.09,39,16.96,38,16.52,31007
31,8,213,35,16.43,36,16.9,42,19.72,34,15.96,35,16.43,31,14.55,31008
31,9,235,35,14.89,45,19.15,43,18.3,37,15.74,37,15.74,38,16.17,31009
31,10,191,30,15.71,36,18.85,35,18.32,28,14.66,33,17.28,29,15.18,31010
31,11,350,54,15.43,61,17.43,63,18.0,56,16.0,59,16.86,57,16.29,31011
31,12,140,20,14.29,23,16.43,29,20.71,22,15.71,24,17.14,22,15.71,31012
31,13,185,30,16.22,33,17.84,36,19.46,32,17.3,30,16.22,24,12.97,31013
31,14,172,22,12.79,31,18.02,34,19.77,27,15.7,30,17.44,28,16.28,31014
31,15,64,9,14.06,12,18.75,11,17.19,11,17.19,10,15.63,11,17.19,31015
31,16,140,22,15.71,25,17.86,24,17.14,22,15.71,23,16.43,24,17.14,31016
31,17,155,21,13.55,27,17.42,29,18.71,26,16.77,28,18.06,24,15.48,31017
31,18,149,22,14.77,25,16.78,30,20.13,22,14.77,25,16.78,25,16.78,31018
31,19,239,33,13.81,45,18.83,47,19.67,43,17.99,35,14.64,36,15.06,31019
31,20,143,22,15.38,24,16.78,27,18.88,24,16.78,26,18.18,20,13.99,31020
31,21,202,32,15.84,34,16.83,41,20.3,33,16.34,33,16.34,29,14.36,31021
31,22,126,22,17.46,18,14.29,23,18.25,21,16.67,21,16.67,21,16.67,31022
31,23,173,27,15.61,33,19.08,31,17.92,29,16.76,28,16.18,25,14.45,31023
31,24,250,36,14.4,49,19.6,51,20.4,37,14.8,41,16.4,36,14.4,31024
31,25,98,16,16.33,18,18.37,18,18.37,14,14.29,14,14.29,18,18.37,31025
31,26,139,23,16.55,24,17.27,28,20.14,22,15.83,21,15.11,21,15.11,31026
31,27,114,12,10.53,20,17.54,24,21.05,20,17.54,20,17.54,18,15.79,31027
31,28,232,38,16.38,38,16.38,48,20.69,36,15.52,38,16.38,34,14.66,31028
31,29,173,30,17.34,30,17.34,29,16.76,28,16.18,28,16.18,28,16.18,31029
31,30,284,43,15.14,51,17.96,59,20.77,46,16.2,44,15.49,41,14.44,31030
31,31,344,52,15.12,65,18.9,67,19.48,56,16.28,53,15.41,51,14.83,31031
31,32,333,44,13.21,57,17.12,77,23.12,52,15.62,51,15.32,52,15.62,31032
31,33,305,45,14.75,50,16.39,60,19.67,51,16.72,50,16.39,49,16.07,31033
31,34,88,11,12.5,16,18.18,19,21.59,16,18.18,13,14.77,13,14.77,31034
31,35,166,25,15.06,27,16.27,31,18.67,24,14.46,30,18.07,29,17.47,31035
31,36,209,30,14.35,40,19.14,43,20.57,31,14.83,31,14.83,34,16.27,31036
31,37,84,11,13.1,16,19.05,19,22.62,11,13.1,15,17.86,12,14.29,31037
31,38,181,30,16.57,27,14.92,34,18.78,26,14.36,35,19.34,29,16.02,31038
31,39,76,10,13.16,12,15.79,18,23.68,11,14.47,15,19.74,10,13.16,31039
31,40,234,37,15.81,39,16.67,42,17.95,39,16.67,37,15.81,40,17.09,31040
31,41,300,42,14.0,55,18.33,54,18.0,48,16.0,52,17.33,49,16.33,31041
31,42,237,35,14.77,41,17.3,42,17.72,41,17.3,39,16.46,39,16.46,31042
31,43,163,24,14.72,26,15.95,27,16.56,32,19.63,25,15.34,29,17.79,31043
31,44,97,15,15.46,15,15.46,18,18.56,16,16.49,15,15.46,18,18.56,31044
31,45,91,10,10.99,19,20.88,19,20.88,14,15.38,13,14.29,16,17.58,31045
31,46,175,28,16.0,31,17.71,33,18.86,24,13.71,29,16.57,30,17.14,31046
31,47,269,40,14.87,47,17.47,51,18.96,46,17.1,43,15.99,42,15.61,31047
33,1,317,51,16.09,54,17.03,60,18.93,52,16.4,52,16.4,48,15.14,33001
33,2,517,83,16.05,93,17.99,92,17.79,86,16.63,82,15.86,81,15.67,33002
33,3,328,57,17.38,53,16.16,56,17.07,51,15.55,57,17.38,54,16.46,33003
33,4,338,56,16.57,55,16.27,63,18.64,53,15.68,56,16.57,55,16.27,33004
33,5,294,46,15.65,51,17.35,50,17.01,47,15.99,49,16.67,51,17.35,33005
33,6,434,64,14.75,71,16.36,82,18.89,70,16.13,73,16.82,74,17.05,33006
33,8,292,49,16.78,49,16.78,49,16.78,48,16.44,49,16.78,48,16.44,33008
33,9,352,58,16.48,65,18.47,63,17.9,55,15.63,56,15.91,55,15.63,33009
33,10,433,70,16.17,74,17.09,81,18.71,69,15.94,72,16.63,67,15.47,33010
33,11,381,64,16.8,62,16.27,74,19.42,60,15.75,62,16.27,59,15.49,33011
33,12,318,52,16.35,56,17.61,56,17.61,56,17.61,49,15.41,49,15.41,33012
33,13,265,39,14.72,51,19.25,50,18.87,42,15.85,43,16.23,40,15.09,33013
33,15,332,49,14.76,60,18.07,61,18.37,55,16.57,54,16.27,53,15.96,33015
33,16,272,48,17.65,44,16.18,46,16.91,43,15.81,44,16.18,47,17.28,33016
33,17,377,65,17.24,65,17.24,64,16.98,62,16.45,61,16.18,60,15.92,33017
33,19,349,59,16.91,58,16.62,59,16.91,54,15.47,60,17.19,59,16.91,33019
33,20,336,52,15.48,56,16.67,64,19.05,55,16.37,54,16.07,55,16.37,33020
33,21,412,62,15.05,73,17.72,74,17.96,64,15.53,70,16.99,69,16.75,33021
33,22,595,97,16.3,107,17.98,102,17.14,99,16.64,95,15.97,95,15.97,33022
33,23,365,64,17.53,61,16.71,59,16.16,62,16.99,58,15.89,61,16.71,33023
33,25,461,77,16.7,79,17.14,79,17.14,76,16.49,75,16.27,75,16.27,33025
33,26,264,42,15.91,45,17.05,48,18.18,45,17.05,43,16.29,41,15.53,33026
33,27,307,47,15.31,55,17.92,53,17.26,49,15.96,52,16.94,51,16.61,33027
35,1,318,46,14.47,55,17.3,58,18.24,53,16.67,53,16.67,53,16.67,35001
35,2,189,31,16.4,31,16.4,39,20.63,30,15.87,29,15.34,29,15.34,35002
35,3,218,34,15.6,37,16.97,41,18.81,34,15.6,35,16.06,37,16.97,35003
35,4,282,47,16.67,47,16.67,51,18.09,45,15.96,45,15.96,47,16.67,35004
35,5,246,38,15.45,39,15.85,46,18.7,40,16.26,43,17.48,40,16.26,35005
35,6,294,50,17.01,50,17.01,49,16.67,48,16.33,47,15.99,50,17.01,35006
35,7,567,95,16.75,93,16.4,94,16.58,96,16.93,93,16.4,96,16.93,35007
35,8,509,82,16.11,88,17.29,86,16.9,79,15.52,85,16.7,89,17.49,35008
35,9,320,50,15.63,55,17.19,61,19.06,52,16.25,51,15.94,51,15.94,35009
35,10,514,81,15.76,92,17.9,92,17.9,80,15.56,86,16.73,83,16.15,35010
35,11,283,43,15.19,49,17.31,56,19.79,43,15.19,48,16.96,44,15.55,35011
35,12,665,112,16.84,110,16.54,115,17.29,105,15.79,108,16.24,115,17.29,35012
35,13,35,6,17.14,8,22.86,5,14.29,5,14.29,6,17.14,5,14.29,35013
35,14,336,56,16.67,56,16.67,64,19.05,54,16.07,53,15.77,53,15.77,35014
35,15,482,75,15.56,85,17.63,84,17.43,76,15.77,80,16.6,82,17.01,35015
35,16,470,77,16.38,76,16.17,88,18.72,74,15.74,79,16.81,76,16.17,35016
35,17,383,61,15.93,62,16.19,72,18.8,60,15.67,65,16.97,63,16.45,35017
35,18,250,40,16.0,41,16.4,52,20.8,40,16.0,39,15.6,38,15.2,35018
35,19,447,77,17.23,73,16.33,81,18.12,70,15.66,73,16.33,73,16.33,35019
35,20,231,35,15.15,40,17.32,44,19.05,37,16.02,35,15.15,40,17.32,35020
35,21,318,47,14.78,52,16.35,64,20.13,52,16.35,52,16.35,51,16.04,35021
35,22,85,15,17.65,15,17.65,15,17.65,13,15.29,14,16.47,13,15.29,35022
35,23,180,27,15.0,29,16.11,32,17.78,31,17.22,32,17.78,29,16.11,35023
35,24,135,21,15.56,23,17.04,24,17.78,21,15.56,22,16.3,24,17.78,35024
35,25,603,106,17.58,98,16.25,103,17.08,99,16.42,101,16.75,96,15.92,35025
35,26,248,38,15.32,42,16.94,46,18.55,39,15.73,40,16.13,43,17.34,35026
35,27,545,93,17.06,88,16.15,99,18.17,86,15.78,86,15.78,93,17.06,35027
35,28,482,79,16.39,80,16.6,88,18.26,79,16.39,79,16.39,77,15.98,35028
35,29,579,96,16.58,95,16.41,97,16.75,94,16.23,97,16.75,100,17.27,35029
35,30,878,146,16.63,146,16.63,158,18.0,143,16.29,139,15.83,146,16.63,35030
35,31,231,39,16.88,38,16.45,43,18.61,36,15.58,38,16.45,37,16.02,35031
35,32,205,33,16.1,33,16.1,41,20.0,32,15.61,32,15.61,34,16.59,35032
35,33,280,47,16.79,47,16.79,47,16.79,48,17.14,45,16.07,46,16.43,35033
35,34,540,88,16.3,93,17.22,91,16.85,94,17.41,88,16.3,86,15.93,35034
35,35,312,50,16.03,49,15.71,58,18.59,49,15.71,54,17.31,52,16.67,35035
35,36,341,60,17.6,60,17.6,60,17.6,55,16.13,54,15.84,52,15.25,35036
