ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Simon Ribeiro,Simon Ribeiro Percent,precinct_id
49,15,94,86,91.49,8,8.51,49015
49,16,117,107,91.45,10,8.55,49016
49,17,20,19,95.0,1,5.0,49017
49,18,76,63,82.89,13,17.11,49018
49,19,165,154,93.33,11,6.67,49019
49,20,163,144,88.34,19,11.66,49020
49,21,96,89,92.71,7,7.29,49021
49,22,128,120,93.75,8,6.25,49022
49,23,88,81,92.05,7,7.95,49023
49,24,209,197,94.26,12,5.74,49024
49,25,124,112,90.32,12,9.68,49025
49,26,126,110,87.3,16,12.7,49026
49,27,125,116,92.8,9,7.2,49027
49,28,74,68,91.89,6,8.11,49028
49,29,120,110,91.67,10,8.33,49029
49,30,140,131,93.57,9,6.43,49030
49,31,115,109,94.78,6,5.22,49031
49,32,112,104,92.86,8,7.14,49032
49,33,96,87,90.63,9,9.38,49033
49,34,120,104,86.67,16,13.33,49034
49,35,125,120,96.0,5,4.0,49035
49,36,149,140,93.96,9,6.04,49036
49,37,146,141,96.58,5,3.42,49037
49,38,93,85,91.4,8,8.6,49038
50,1,89,74,83.15,15,16.85,50001
50,2,96,84,87.5,12,12.5,50002
50,3,79,70,88.61,9,11.39,50003
50,4,81,70,86.42,11,13.58,50004
50,5,66,55,83.33,11,16.67,50005
50,6,97,82,84.54,15,15.46,50006
50,7,110,101,91.82,9,8.18,50007
50,8,37,29,78.38,8,21.62,50008
50,9,72,61,84.72,11,15.28,50009
50,10,47,40,85.11,7,14.89,50010
50,11,60,53,88.33,7,11.67,50011
50,12,70,64,91.43,6,8.57,50012
50,13,76,65,85.53,11,14.47,50013
50,14,47,41,87.23,6,12.77,50014
50,15,116,103,88.79,13,11.21,50015
50,16,56,52,92.86,4,7.14,50016
50,17,41,36,87.8,5,12.2,50017
50,18,72,63,87.5,9,12.5,50018
50,19,58,49,84.48,9,15.52,50019
50,20,84,74,88.1,10,11.9,50020
50,21,84,76,90.48,8,9.52,50021
50,22,58,50,86.21,8,13.79,50022
50,23,46,40,86.96,6,13.04,50023
50,24,64,55,85.94,9,14.06,50024
50,25,37,37,100.0,0,0.0,50025
50,26,40,33,82.5,7,17.5,50026
50,27,43,37,86.05,6,13.95,50027
50,28,93,83,89.25,10,10.75,50028
50,29,70,61,87.14,9,12.86,50029
50,30,67,59,88.06,8,11.94,50030
50,31,21,19,90.48,2,9.52,50031
50,32,71,65,91.55,6,8.45,50032
50,33,42,35,83.33,7,16.67,50033
50,34,69,55,79.71,14,20.29,50034
50,35,124,115,92.74,9,7.26,50035
50,36,78,73,93.59,5,6.41,50036
50,37,91,86,94.51,5,5.49,50037
50,38,77,74,96.1,3,3.9,50038
50,39,40,37,92.5,3,7.5,50039
50,40,53,40,75.47,13,24.53,50040
50,41,87,72,82.76,15,17.24,50041
50,42,82,78,95.12,4,4.88,50042
50,43,62,50,80.65,12,19.35,50043
