ward,precinct,total,Nichole C. Patton,Nichole C. Patton Percent,Kevin W. Horan,Kevin W. Horan Percent,Diann Karen Marsalek,Diann Karen Marsalek Percent,Rodrick F. Wimberly,Rodrick F. Wimberly Percent,precinct_id
4,44,57,21,36.84,14,24.56,17,29.82,5,8.77,04044
4,45,245,81,33.06,21,8.57,88,35.92,55,22.45,04045
4,46,93,35,37.63,14,15.05,24,25.81,20,21.51,04046
4,47,121,32,26.45,22,18.18,50,41.32,17,14.05,04047
4,48,135,33,24.44,37,27.41,48,35.56,17,12.59,04048
4,49,106,49,46.23,12,11.32,31,29.25,14,13.21,04049
4,50,132,64,48.48,24,18.18,33,25.0,11,8.33,04050
4,51,163,67,41.1,21,12.88,39,23.93,36,22.09,04051
4,52,134,57,42.54,21,15.67,33,24.63,23,17.16,04052
5,1,129,52,40.31,13,10.08,24,18.6,40,31.01,05001
5,2,156,70,44.87,21,13.46,34,21.79,31,19.87,05002
5,3,59,10,16.95,8,13.56,31,52.54,10,16.95,05003
5,4,84,33,39.29,8,9.52,14,16.67,29,34.52,05004
5,5,92,48,52.17,9,9.78,20,21.74,15,16.3,05005
5,6,143,76,53.15,23,16.08,18,12.59,26,18.18,05006
5,7,158,65,41.14,22,13.92,34,21.52,37,23.42,05007
5,8,116,11,9.48,37,31.9,62,53.45,6,5.17,05008
5,9,104,55,52.88,10,9.62,15,14.42,24,23.08,05009
5,10,79,37,46.84,10,12.66,14,17.72,18,22.78,05010
5,11,238,56,23.53,67,28.15,78,32.77,37,15.55,05011
5,12,67,28,41.79,11,16.42,14,20.9,14,20.9,05012
5,13,123,62,50.41,11,8.94,17,13.82,33,26.83,05013
5,14,198,83,41.92,18,9.09,32,16.16,65,32.83,05014
5,15,85,30,35.29,10,11.76,23,27.06,22,25.88,05015
5,16,80,42,52.5,13,16.25,7,8.75,18,22.5,05016
5,17,118,50,42.37,20,16.95,29,24.58,19,16.1,05017
5,18,105,37,35.24,12,11.43,36,34.29,20,19.05,05018
5,19,60,26,43.33,7,11.67,12,20.0,15,25.0,05019
5,20,37,12,32.43,6,16.22,8,21.62,11,29.73,05020
5,21,158,57,36.08,23,14.56,40,25.32,38,24.05,05021
5,22,113,56,49.56,14,12.39,21,18.58,22,19.47,05022
5,23,72,35,48.61,11,15.28,16,22.22,10,13.89,05023
5,24,122,29,23.77,21,17.21,46,37.7,26,21.31,05024
5,25,90,41,45.56,8,8.89,14,15.56,27,30.0,05025
5,26,130,56,43.08,17,13.08,30,23.08,27,20.77,05026
5,27,93,14,15.05,34,36.56,38,40.86,7,7.53,05027
5,28,153,62,40.52,16,10.46,28,18.3,47,30.72,05028
5,29,110,35,31.82,15,13.64,20,18.18,40,36.36,05029
5,30,85,9,10.59,29,34.12,46,54.12,1,1.18,05030
5,31,87,42,48.28,7,8.05,15,17.24,23,26.44,05031
5,32,239,105,43.93,27,11.3,63,26.36,44,18.41,05032
5,33,104,47,45.19,12,11.54,28,26.92,17,16.35,05033
5,34,115,54,46.96,15,13.04,17,14.78,29,25.22,05034
5,35,142,29,20.42,39,27.46,55,38.73,19,13.38,05035
5,36,203,91,44.83,37,18.23,41,20.2,34,16.75,05036
5,37,232,45,19.4,73,31.47,90,38.79,24,10.34,05037
5,38,64,37,57.81,10,15.63,8,12.5,9,14.06,05038
5,39,118,37,31.36,20,16.95,29,24.58,32,27.12,05039
5,40,104,44,42.31,16,15.38,23,22.12,21,20.19,05040
5,41,133,14,10.53,69,51.88,46,34.59,4,3.01,05041
5,42,56,27,48.21,10,17.86,4,7.14,15,26.79,05042
5,43,132,61,46.21,19,14.39,22,16.67,30,22.73,05043
5,44,107,50,46.73,14,13.08,19,17.76,24,22.43,05044
5,45,98,49,50.0,14,14.29,18,18.37,17,17.35,05045
5,46,121,19,15.7,32,26.45,50,41.32,20,16.53,05046
5,47,82,41,50.0,9,10.98,14,17.07,18,21.95,05047
5,48,74,25,33.78,21,28.38,24,32.43,4,5.41,05048
6,1,190,68,35.79,16,8.42,28,14.74,78,41.05,06001
6,2,167,64,38.32,18,10.78,23,13.77,62,37.13,06002
6,3,160,52,32.5,10,6.25,24,15.0,74,46.25,06003
6,4,74,34,45.95,10,13.51,16,21.62,14,18.92,06004
6,5,121,31,25.62,13,10.74,11,9.09,66,54.55,06005
6,6,244,75,30.74,34,13.93,25,10.25,110,45.08,06006
6,7,165,72,43.64,21,12.73,28,16.97,44,26.67,06007
6,8,183,68,37.16,19,10.38,22,12.02,74,40.44,06008
6,9,134,48,35.82,15,11.19,33,24.63,38,28.36,06009
6,10,242,91,37.6,32,13.22,43,17.77,76,31.4,06010
6,11,99,36,36.36,8,8.08,13,13.13,42,42.42,06011
6,12,125,52,41.6,20,16.0,26,20.8,27,21.6,06012
6,13,99,44,44.44,14,14.14,18,18.18,23,23.23,06013
6,14,107,49,45.79,7,6.54,18,16.82,33,30.84,06014
6,15,62,28,45.16,7,11.29,9,14.52,18,29.03,06015
6,16,169,53,31.36,13,7.69,20,11.83,83,49.11,06016
6,17,167,58,34.73,10,5.99,25,14.97,74,44.31,06017
6,18,50,24,48.0,6,12.0,9,18.0,11,22.0,06018
6,19,137,47,34.31,17,12.41,18,13.14,55,40.15,06019
6,20,121,47,38.84,13,10.74,16,13.22,45,37.19,06020
6,21,164,71,43.29,13,7.93,18,10.98,62,37.8,06021
6,22,145,65,44.83,14,9.66,16,11.03,50,34.48,06022
6,23,121,55,45.45,14,11.57,17,14.05,35,28.93,06023
6,24,145,57,39.31,16,11.03,19,13.1,53,36.55,06024
6,25,85,31,36.47,8,9.41,11,12.94,35,41.18,06025
6,26,123,47,38.21,9,7.32,18,14.63,49,39.84,06026
6,27,190,81,42.63,21,11.05,29,15.26,59,31.05,06027
6,28,265,107,40.38,32,12.08,31,11.7,95,35.85,06028
6,29,175,73,41.71,16,9.14,21,12.0,65,37.14,06029
6,30,94,43,45.74,15,15.96,7,7.45,29,30.85,06030
6,31,164,58,35.37,10,6.1,27,16.46,69,42.07,06031
6,32,128,38,29.69,15,11.72,21,16.41,54,42.19,06032
6,33,144,66,45.83,21,14.58,14,9.72,43,29.86,06033
6,34,99,36,36.36,10,10.1,25,25.25,28,28.28,06034
6,35,128,48,37.5,16,12.5,15,11.72,49,38.28,06035
6,36,61,30,49.18,6,9.84,13,21.31,12,19.67,06036
6,37,181,59,32.6,16,8.84,14,7.73,92,50.83,06037
6,38,146,62,42.47,17,11.64,23,15.75,44,30.14,06038
6,39,78,33,42.31,8,10.26,14,17.95,23,29.49,06039
6,40,187,67,35.83,16,8.56,29,15.51,75,40.11,06040
6,41,156,66,42.31,16,10.26,23,14.74,51,32.69,06041
6,42,38,17,44.74,2,5.26,6,15.79,13,34.21,06042
6,43,142,62,43.66,13,9.15,18,12.68,49,34.51,06043
6,44,150,59,39.33,13,8.67,29,19.33,49,32.67,06044
6,45,202,77,38.12,14,6.93,39,19.31,72,35.64,06045
6,46,131,50,38.17,9,6.87,24,18.32,48,36.64,06046
6,47,141,67,47.52,9,6.38,17,12.06,48,34.04,06047
6,48,106,47,44.34,12,11.32,21,19.81,26,24.53,06048
6,49,140,57,40.71,18,12.86,17,12.14,48,34.29,06049
6,50,180,62,34.44,8,4.44,25,13.89,85,47.22,06050
6,51,130,67,51.54,15,11.54,18,13.85,30,23.08,06051
6,52,85,37,43.53,10,11.76,14,16.47,24,28.24,06052
6,53,124,52,41.94,14,11.29,11,8.87,47,37.9,06053
6,54,118,47,39.83,17,14.41,21,17.8,33,27.97,06054
6,55,88,33,37.5,12,13.64,12,13.64,31,35.23,06055
6,56,87,38,43.68,5,5.75,15,17.24,29,33.33,06056
6,57,126,39,30.95,12,9.52,25,19.84,50,39.68,06057
6,58,175,52,29.71,18,10.29,25,14.29,80,45.71,06058
6,59,122,47,38.52,9,7.38,24,19.67,42,34.43,06059
7,1,248,95,38.31,27,10.89,70,28.23,56,22.58,07001
7,2,133,49,36.84,23,17.29,39,29.32,22,16.54,07002
7,3,131,42,32.06,12,9.16,52,39.69,25,19.08,07003
7,4,73,23,31.51,12,16.44,15,20.55,23,31.51,07004
7,5,62,29,46.77,11,17.74,13,20.97,9,14.52,07005
7,6,81,32,39.51,9,11.11,24,29.63,16,19.75,07006
7,7,67,28,41.79,10,14.93,15,22.39,14,20.9,07007
7,8,25,12,48.0,7,28.0,2,8.0,4,16.0,07008
7,9,224,81,36.16,34,15.18,62,27.68,47,20.98,07009
7,10,135,55,40.74,20,14.81,28,20.74,32,23.7,07010
7,11,132,45,34.09,10,7.58,41,31.06,36,27.27,07011
7,12,129,63,48.84,19,14.73,29,22.48,18,13.95,07012
7,13,191,80,41.88,17,8.9,62,32.46,32,16.75,07013
7,14,128,57,44.53,15,11.72,31,24.22,25,19.53,07014
7,15,101,42,41.58,10,9.9,24,23.76,25,24.75,07015
7,16,119,40,33.61,17,14.29,35,29.41,27,22.69,07016
7,17,53,23,43.4,14,26.42,4,7.55,12,22.64,07017
7,18,147,56,38.1,24,16.33,44,29.93,23,15.65,07018
7,19,152,70,46.05,27,17.76,21,13.82,34,22.37,07019
7,20,27,9,33.33,5,18.52,11,40.74,2,7.41,07020
7,21,82,37,45.12,13,15.85,23,28.05,9,10.98,07021
7,22,61,35,57.38,7,11.48,8,13.11,11,18.03,07022
7,23,85,28,32.94,14,16.47,28,32.94,15,17.65,07023
7,24,206,80,38.83,27,13.11,65,31.55,34,16.5,07024
7,25,214,85,39.72,26,12.15,60,28.04,43,20.09,07025
7,26,125,48,38.4,21,16.8,37,29.6,19,15.2,07026
7,27,197,95,48.22,21,10.66,34,17.26,47,23.86,07027
7,28,93,37,39.78,11,11.83,24,25.81,21,22.58,07028
7,29,85,32,37.65,10,11.76,21,24.71,22,25.88,07029
7,30,130,58,44.62,15,11.54,37,28.46,20,15.38,07030
7,31,124,60,48.39,17,13.71,27,21.77,20,16.13,07031
7,32,63,29,46.03,7,11.11,20,31.75,7,11.11,07032
7,33,104,42,40.38,15,14.42,21,20.19,26,25.0,07033
7,34,37,18,48.65,5,13.51,11,29.73,3,8.11,07034
7,35,158,51,32.28,21,13.29,47,29.75,39,24.68,07035
7,36,108,43,39.81,14,12.96,39,36.11,12,11.11,07036
7,37,152,57,37.5,23,15.13,34,22.37,38,25.0,07037
7,38,177,76,42.94,21,11.86,35,19.77,45,25.42,07038
7,39,273,94,34.43,33,12.09,93,34.07,53,19.41,07039
7,40,139,55,39.57,19,13.67,43,30.94,22,15.83,07040
7,41,82,46,56.1,10,12.2,12,14.63,14,17.07,07041
7,42,142,67,47.18,28,19.72,26,18.31,21,14.79,07042
7,43,107,51,47.66,12,11.21,22,20.56,22,20.56,07043
7,44,166,70,42.17,16,9.64,46,27.71,34,20.48,07044
7,45,175,65,37.14,24,13.71,55,31.43,31,17.71,07045
7,46,71,24,33.8,11,15.49,22,30.99,14,19.72,07046
7,47,77,34,44.16,9,11.69,21,27.27,13,16.88,07047
7,48,95,43,45.26,12,12.63,28,29.47,12,12.63,07048
7,49,207,89,43.0,25,12.08,52,25.12,41,19.81,07049
8,1,149,53,35.57,20,13.42,35,23.49,41,27.52,08001
8,2,64,33,51.56,6,9.38,16,25.0,9,14.06,08002
8,3,198,93,46.97,20,10.1,39,19.7,46,23.23,08003
8,4,282,106,37.59,30,10.64,93,32.98,53,18.79,08004
8,5,300,131,43.67,21,7.0,44,14.67,104,34.67,08005
8,6,141,55,39.01,26,18.44,37,26.24,23,16.31,08006
8,7,105,38,36.19,14,13.33,26,24.76,27,25.71,08007
8,8,155,64,41.29,18,11.61,33,21.29,40,25.81,08008
8,9,185,90,48.65,19,10.27,28,15.14,48,25.95,08009
8,10,189,81,42.86,12,6.35,42,22.22,54,28.57,08010
8,11,118,44,37.29,14,11.86,40,33.9,20,16.95,08011
8,12,106,40,37.74,11,10.38,37,34.91,18,16.98,08012
8,13,75,39,52.0,8,10.67,16,21.33,12,16.0,08013
8,14,80,29,36.25,11,13.75,29,36.25,11,13.75,08014
8,15,106,31,29.25,10,9.43,36,33.96,29,27.36,08015
8,16,156,69,44.23,16,10.26,38,24.36,33,21.15,08016
8,17,153,77,50.33,11,7.19,31,20.26,34,22.22,08017
8,18,59,19,32.2,5,8.47,28,47.46,7,11.86,08018
8,19,169,86,50.89,15,8.88,35,20.71,33,19.53,08019
8,20,201,91,45.27,28,13.93,50,24.88,32,15.92,08020
8,21,111,37,33.33,12,10.81,49,44.14,13,11.71,08021
8,22,105,48,45.71,9,8.57,31,29.52,17,16.19,08022
8,23,106,34,32.08,11,10.38,41,38.68,20,18.87,08023
8,24,136,73,53.68,14,10.29,24,17.65,25,18.38,08024
8,25,116,35,30.17,11,9.48,51,43.97,19,16.38,08025
8,26,66,27,40.91,6,9.09,23,34.85,10,15.15,08026
8,27,159,71,44.65,27,16.98,32,20.13,29,18.24,08027
8,28,229,109,47.6,22,9.61,72,31.44,26,11.35,08028
8,29,115,35,30.43,11,9.57,57,49.57,12,10.43,08029
8,30,94,51,54.26,10,10.64,15,15.96,18,19.15,08030
8,31,82,34,41.46,10,12.2,16,19.51,22,26.83,08031
8,32,192,115,59.9,22,11.46,27,14.06,28,14.58,08032
8,33,153,67,43.79,18,11.76,34,22.22,34,22.22,08033
8,34,153,50,32.68,21,13.73,44,28.76,38,24.84,08034
8,35,163,67,41.1,17,10.43,42,25.77,37,22.7,08035
8,36,137,53,38.69,17,12.41,41,29.93,26,18.98,08036
8,37,128,55,42.97,12,9.38,37,28.91,24,18.75,08037
8,38,98,49,50.0,16,16.33,15,15.31,18,18.37,08038
8,39,135,74,54.81,12,8.89,26,19.26,23,17.04,08039
8,40,95,31,32.63,9,9.47,32,33.68,23,24.21,08040
8,41,94,42,44.68,11,11.7,21,22.34,20,21.28,08041
8,42,136,50,36.76,16,11.76,40,29.41,30,22.06,08042
8,43,61,25,40.98,6,9.84,20,32.79,10,16.39,08043
8,44,103,47,45.63,11,10.68,17,16.5,28,27.18,08044
8,45,85,37,43.53,8,9.41,31,36.47,9,10.59,08045
8,46,136,44,32.35,17,12.5,33,24.26,42,30.88,08046
8,47,147,55,37.41,22,14.97,45,30.61,25,17.01,08047
8,48,112,34,30.36,14,12.5,35,31.25,29,25.89,08048
8,49,162,56,34.57,19,11.73,64,39.51,23,14.2,08049
8,50,124,34,27.42,10,8.06,57,45.97,23,18.55,08050
8,51,166,67,40.36,22,13.25,47,28.31,30,18.07,08051
8,52,133,63,47.37,21,15.79,34,25.56,15,11.28,08052
8,53,137,71,51.82,11,8.03,25,18.25,30,21.9,08053
8,54,123,50,40.65,10,8.13,35,28.46,28,22.76,08054
8,55,77,32,41.56,8,10.39,28,36.36,9,11.69,08055
8,56,122,41,33.61,10,8.2,55,45.08,16,13.11,08056
8,57,122,45,36.89,12,9.84,43,35.25,22,18.03,08057
