ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Farah Baqai,Farah Baqai Percent,precinct_id
13,4,267,231,86.52,36,13.48,13004
13,5,181,165,91.16,16,8.84,13005
13,6,115,104,90.43,11,9.57,13006
13,7,167,160,95.81,7,4.19,13007
13,8,207,190,91.79,17,8.21,13008
13,9,156,146,93.59,10,6.41,13009
13,10,93,84,90.32,9,9.68,13010
13,11,92,85,92.39,7,7.61,13011
13,12,150,142,94.67,8,5.33,13012
13,13,223,207,92.83,16,7.17,13013
13,14,164,156,95.12,8,4.88,13014
13,15,239,225,94.14,14,5.86,13015
13,16,199,191,95.98,8,4.02,13016
13,17,177,165,93.22,12,6.78,13017
13,18,126,109,86.51,17,13.49,13018
13,20,130,119,91.54,11,8.46,13020
13,21,116,106,91.38,10,8.62,13021
13,22,139,126,90.65,13,9.35,13022
13,23,140,126,90.0,14,10.0,13023
13,24,176,167,94.89,9,5.11,13024
13,25,144,134,93.06,10,6.94,13025
13,26,231,220,95.24,11,4.76,13026
13,27,176,166,94.32,10,5.68,13027
13,28,111,105,94.59,6,5.41,13028
13,29,162,148,91.36,14,8.64,13029
13,30,224,199,88.84,25,11.16,13030
13,31,111,101,90.99,10,9.01,13031
13,32,112,91,81.25,21,18.75,13032
13,33,164,151,92.07,13,7.93,13033
13,34,271,257,94.83,14,5.17,13034
13,35,215,200,93.02,15,6.98,13035
13,36,99,96,96.97,3,3.03,13036
13,37,213,195,91.55,18,8.45,13037
13,38,113,97,85.84,16,14.16,13038
13,39,170,159,93.53,11,6.47,13039
13,40,222,206,92.79,16,7.21,13040
13,41,168,148,88.1,20,11.9,13041
13,42,198,175,88.38,23,11.62,13042
13,43,245,219,89.39,26,10.61,13043
13,44,380,370,97.37,10,2.63,13044
13,45,244,228,93.44,16,6.56,13045
13,46,177,167,94.35,10,5.65,13046
13,47,189,172,91.01,17,8.99,13047
14,1,131,110,83.97,21,16.03,14001
14,21,98,90,91.84,8,8.16,14021
14,26,55,45,81.82,10,18.18,14026
14,29,141,134,95.04,7,4.96,14029
14,32,58,51,87.93,7,12.07,14032
15,10,32,26,81.25,6,18.75,15010
15,16,35,24,68.57,11,31.43,15016
15,28,72,63,87.5,9,12.5,15028
16,7,1,1,100.0,0,0.0,16007
16,11,3,2,66.67,1,33.33,16011
16,13,35,28,80.0,7,20.0,16013
16,17,44,38,86.36,6,13.64,16017
16,21,32,28,87.5,4,12.5,16021
16,22,34,27,79.41,7,20.59,16022
16,23,31,25,80.65,6,19.35,16023
16,32,36,34,94.44,2,5.56,16032
16,35,33,26,78.79,7,21.21,16035
16,39,54,47,87.04,7,12.96,16039
18,28,46,42,91.3,4,8.7,18028
19,1,195,182,93.33,13,6.67,19001
19,3,133,129,96.99,4,3.01,19003
19,4,166,149,89.76,17,10.24,19004
19,6,126,114,90.48,12,9.52,19006
19,7,210,181,86.19,29,13.81,19007
19,8,132,123,93.18,9,6.82,19008
19,9,115,100,86.96,15,13.04,19009
19,10,213,160,75.12,53,24.88,19010
19,11,190,177,93.16,13,6.84,19011
19,12,151,138,91.39,13,8.61,19012
19,15,125,118,94.4,7,5.6,19015
19,16,222,201,90.54,21,9.46,19016
19,17,180,145,80.56,35,19.44,19017
19,18,211,162,76.78,49,23.22,19018
19,19,183,134,73.22,49,26.78,19019
19,21,113,109,96.46,4,3.54,19021
19,22,195,159,81.54,36,18.46,19022
19,23,219,189,86.3,30,13.7,19023
19,24,161,150,93.17,11,6.83,19024
19,25,172,139,80.81,33,19.19,19025
19,26,205,162,79.02,43,20.98,19026
19,29,129,113,87.6,16,12.4,19029
19,30,142,129,90.85,13,9.15,19030
19,32,190,169,88.95,21,11.05,19032
19,33,170,156,91.76,14,8.24,19033
19,34,175,139,79.43,36,20.57,19034
19,35,189,144,76.19,45,23.81,19035
19,41,114,100,87.72,14,12.28,19041
19,44,155,143,92.26,12,7.74,19044
19,45,193,165,85.49,28,14.51,19045
19,46,213,197,92.49,16,7.51,19046
19,51,136,128,94.12,8,5.88,19051
19,52,120,109,90.83,11,9.17,19052
19,53,164,143,87.2,21,12.8,19053
19,54,141,131,92.91,10,7.09,19054
19,55,129,108,83.72,21,16.28,19055
19,56,207,170,82.13,37,17.87,19056
19,57,191,143,74.87,48,25.13,19057
19,58,148,132,89.19,16,10.81,19058
19,59,194,184,94.85,10,5.15,19059
19,61,269,241,89.59,28,10.41,19061
19,62,157,133,84.71,24,15.29,19062
20,4,33,28,84.85,5,15.15,20004
20,8,23,17,73.91,6,26.09,20008
20,21,26,22,84.62,4,15.38,20021
20,41,14,11,78.57,3,21.43,20041
23,1,186,163,87.63,23,12.37,23001
23,2,76,62,81.58,14,18.42,23002
23,3,200,176,88.0,24,12.0,23003
23,4,145,132,91.03,13,8.97,23004
23,5,50,47,94.0,3,6.0,23005
23,6,122,111,90.98,11,9.02,23006
23,7,160,138,86.25,22,13.75,23007
23,8,133,111,83.46,22,16.54,23008
23,9,30,25,83.33,5,16.67,23009
23,10,189,177,93.65,12,6.35,23010
23,11,390,349,89.49,41,10.51,23011
23,12,178,166,93.26,12,6.74,23012
23,13,182,160,87.91,22,12.09,23013
23,14,88,79,89.77,9,10.23,23014
23,15,141,129,91.49,12,8.51,23015
23,16,204,177,86.76,27,13.24,23016
23,17,50,41,82.0,9,18.0,23017
23,18,245,212,86.53,33,13.47,23018
23,19,139,122,87.77,17,12.23,23019
23,20,145,133,91.72,12,8.28,23020
23,21,115,92,80.0,23,20.0,23021
23,22,161,139,86.34,22,13.66,23022
23,23,137,128,93.43,9,6.57,23023
23,25,52,47,90.38,5,9.62,23025
23,26,150,135,90.0,15,10.0,23026
23,27,220,192,87.27,28,12.73,23027
23,28,136,118,86.76,18,13.24,23028
23,29,10,7,70.0,3,30.0,23029
23,30,111,97,87.39,14,12.61,23030
23,31,91,76,83.52,15,16.48,23031
23,32,103,91,88.35,12,11.65,23032
23,33,165,147,89.09,18,10.91,23033
23,34,112,96,85.71,16,14.29,23034
23,35,93,85,91.4,8,8.6,23035
23,36,160,143,89.38,17,10.63,23036
23,37,84,72,85.71,12,14.29,23037
23,38,130,120,92.31,10,7.69,23038
23,39,353,305,86.4,48,13.6,23039
23,40,127,108,85.04,19,14.96,23040
23,41,101,95,94.06,6,5.94,23041
23,42,95,87,91.58,8,8.42,23042
23,43,189,162,85.71,27,14.29,23043
23,44,140,128,91.43,12,8.57,23044
23,45,116,103,88.79,13,11.21,23045
23,46,146,135,92.47,11,7.53,23046
23,47,197,177,89.85,20,10.15,23047
23,48,86,77,89.53,9,10.47,23048
23,49,280,257,91.79,23,8.21,23049
29,24,8,7,87.5,1,12.5,29024
