ward,precinct,total,Pamela E. Hill-Veal,Pamela E. Hill-Veal Percent,Mathias William Delort,Mathias William Delort Percent,Kay Marie Hanlon,Kay Marie Hanlon Percent,James Michael McGing,James Michael McGing Percent,Laura Marie Sullivan,Laura Marie Sullivan Percent,precinct_id
1,24,143,18,12.59,33,23.08,13,9.09,23,16.08,28,19.58,01024
1,25,42,4,9.52,11,26.19,3,7.14,5,11.9,11,26.19,01025
1,26,26,2,7.69,2,7.69,3,11.54,7,26.92,9,34.62,01026
1,27,30,3,10.0,6,20.0,5,16.67,0,0.0,11,36.67,01027
1,28,23,0,0.0,6,26.09,5,21.74,3,13.04,4,17.39,01028
1,29,55,5,9.09,6,10.91,6,10.91,5,9.09,19,34.55,01029
1,30,141,13,9.22,32,22.7,12,8.51,32,22.7,33,23.4,01030
1,31,46,5,10.87,20,43.48,5,10.87,4,8.7,7,15.22,01031
1,32,59,8,13.56,7,11.86,5,8.47,7,11.86,20,33.9,01032
1,33,62,3,4.84,12,19.35,8,12.9,9,14.52,23,37.1,01033
1,34,32,0,0.0,8,25.0,3,9.38,7,21.88,10,31.25,01034
1,35,36,2,5.56,15,41.67,4,11.11,5,13.89,7,19.44,01035
1,36,44,4,9.09,16,36.36,7,15.91,3,6.82,8,18.18,01036
1,37,63,4,6.35,17,26.98,5,7.94,10,15.87,17,26.98,01037
1,38,35,1,2.86,10,28.57,4,11.43,4,11.43,11,31.43,01038
1,39,64,7,10.94,16,25.0,5,7.81,10,15.63,18,28.13,01039
1,40,32,3,9.38,10,31.25,5,15.63,3,9.38,3,9.38,01040
1,41,51,5,9.8,15,29.41,11,21.57,3,5.88,13,25.49,01041
1,42,36,3,8.33,14,38.89,6,16.67,3,8.33,7,19.44,01042
1,43,67,8,11.94,15,22.39,4,5.97,11,16.42,13,19.4,01043
1,44,29,2,6.9,12,41.38,2,6.9,3,10.34,7,24.14,01044
1,45,58,8,13.79,11,18.97,3,5.17,7,12.07,19,32.76,01045
1,46,70,5,7.14,20,28.57,12,17.14,8,11.43,14,20.0,01046
1,47,52,9,17.31,12,23.08,8,15.38,6,11.54,8,15.38,01047
1,48,65,13,20.0,16,24.62,4,6.15,8,12.31,18,27.69,01048
2,1,130,27,20.77,37,28.46,21,16.15,9,6.92,16,12.31,02001
2,2,16,3,18.75,5,31.25,2,12.5,0,0.0,2,12.5,02002
2,3,88,33,37.5,14,15.91,1,1.14,7,7.95,24,27.27,02003
2,4,78,21,26.92,19,24.36,6,7.69,5,6.41,8,10.26,02004
2,5,97,34,35.05,17,17.53,6,6.19,5,5.15,11,11.34,02005
2,6,67,6,8.96,22,32.84,18,26.87,6,8.96,8,11.94,02006
2,7,166,64,38.55,26,15.66,17,10.24,10,6.02,21,12.65,02007
2,8,128,25,19.53,56,43.75,9,7.03,7,5.47,21,16.41,02008
2,9,82,24,29.27,15,18.29,11,13.41,5,6.1,12,14.63,02009
2,10,97,18,18.56,30,30.93,8,8.25,5,5.15,16,16.49,02010
2,11,164,20,12.2,83,50.61,24,14.63,6,3.66,15,9.15,02011
2,12,79,6,7.59,34,43.04,12,15.19,4,5.06,11,13.92,02012
2,13,139,49,35.25,38,27.34,11,7.91,2,1.44,20,14.39,02013
2,14,165,85,51.52,36,21.82,6,3.64,3,1.82,11,6.67,02014
2,15,57,19,33.33,10,17.54,3,5.26,4,7.02,10,17.54,02015
2,16,69,10,14.49,30,43.48,9,13.04,10,14.49,4,5.8,02016
2,17,87,27,31.03,19,21.84,14,16.09,2,2.3,11,12.64,02017
2,18,90,16,17.78,32,35.56,9,10.0,5,5.56,13,14.44,02018
2,19,115,31,26.96,33,28.7,11,9.57,13,11.3,16,13.91,02019
2,20,205,74,36.1,47,22.93,19,9.27,8,3.9,21,10.24,02020
2,21,160,50,31.25,26,16.25,11,6.88,9,5.63,32,20.0,02021
2,22,167,37,22.16,63,37.72,24,14.37,8,4.79,16,9.58,02022
2,23,74,29,39.19,9,12.16,9,12.16,5,6.76,12,16.22,02023
2,24,56,17,30.36,12,21.43,7,12.5,3,5.36,8,14.29,02024
2,25,102,28,27.45,28,27.45,7,6.86,5,4.9,12,11.76,02025
2,26,104,43,41.35,14,13.46,7,6.73,10,9.62,17,16.35,02026
2,27,94,49,52.13,11,11.7,13,13.83,2,2.13,8,8.51,02027
2,28,47,8,17.02,11,23.4,6,12.77,8,17.02,7,14.89,02028
2,29,59,19,32.2,12,20.34,7,11.86,3,5.08,7,11.86,02029
2,30,84,25,29.76,20,23.81,7,8.33,10,11.9,11,13.1,02030
2,31,122,61,50.0,16,13.11,8,6.56,5,4.1,11,9.02,02031
2,32,33,13,39.39,5,15.15,2,6.06,2,6.06,3,9.09,02032
2,33,43,18,41.86,8,18.6,1,2.33,2,4.65,6,13.95,02033
2,34,128,33,25.78,18,14.06,12,9.38,11,8.59,18,14.06,02034
2,35,82,14,17.07,34,41.46,11,13.41,5,6.1,4,4.88,02035
2,36,145,34,23.45,46,31.72,9,6.21,12,8.28,23,15.86,02036
2,37,79,10,12.66,39,49.37,7,8.86,2,2.53,9,11.39,02037
2,38,155,30,19.35,57,36.77,14,9.03,18,11.61,17,10.97,02038
2,39,78,25,32.05,17,21.79,3,3.85,6,7.69,13,16.67,02039
2,40,164,43,26.22,40,24.39,9,5.49,18,10.98,23,14.02,02040
2,41,42,15,35.71,6,14.29,7,16.67,2,4.76,3,7.14,02041
2,42,92,30,32.61,18,19.57,10,10.87,6,6.52,10,10.87,02042
2,43,129,29,22.48,47,36.43,15,11.63,9,6.98,9,6.98,02043
2,44,88,40,45.45,11,12.5,2,2.27,5,5.68,18,20.45,02044
2,45,104,48,46.15,8,7.69,7,6.73,3,2.88,13,12.5,02045
2,46,165,80,48.48,32,19.39,10,6.06,5,3.03,11,6.67,02046
2,47,147,65,44.22,16,10.88,12,8.16,6,4.08,15,10.2,02047
2,48,107,45,42.06,8,7.48,9,8.41,4,3.74,17,15.89,02048
2,49,80,15,18.75,27,33.75,10,12.5,5,6.25,12,15.0,02049
2,50,50,13,26.0,8,16.0,2,4.0,7,14.0,8,16.0,02050
2,51,58,21,36.21,6,10.34,6,10.34,1,1.72,15,25.86,02051
2,52,151,66,43.71,14,9.27,15,9.93,9,5.96,19,12.58,02052
2,53,60,9,15.0,18,30.0,9,15.0,9,15.0,4,6.67,02053
2,54,33,6,18.18,7,21.21,4,12.12,0,0.0,7,21.21,02054
3,1,118,47,39.83,23,19.49,13,11.02,3,2.54,10,8.47,03001
3,2,170,84,49.41,28,16.47,8,4.71,10,5.88,22,12.94,03002
3,3,87,29,33.33,13,14.94,6,6.9,4,4.6,18,20.69,03003
3,4,80,37,46.25,18,22.5,7,8.75,2,2.5,7,8.75,03004
3,5,112,48,42.86,9,8.04,7,6.25,12,10.71,12,10.71,03005
3,6,11,3,27.27,2,18.18,4,36.36,0,0.0,1,9.09,03006
3,7,154,62,40.26,23,14.94,10,6.49,6,3.9,22,14.29,03007
3,8,82,34,41.46,12,14.63,9,10.98,3,3.66,13,15.85,03008
3,9,104,39,37.5,20,19.23,8,7.69,8,7.69,13,12.5,03009
3,10,29,5,17.24,13,44.83,2,6.9,0,0.0,4,13.79,03010
3,11,96,47,48.96,21,21.88,6,6.25,3,3.13,7,7.29,03011
3,12,74,25,33.78,16,21.62,9,12.16,5,6.76,8,10.81,03012
3,13,36,7,19.44,4,11.11,5,13.89,0,0.0,16,44.44,03013
3,14,108,43,39.81,18,16.67,11,10.19,4,3.7,8,7.41,03014
3,15,105,46,43.81,11,10.48,5,4.76,9,8.57,18,17.14,03015
3,16,90,46,51.11,20,22.22,2,2.22,3,3.33,12,13.33,03016
3,17,45,14,31.11,12,26.67,6,13.33,0,0.0,2,4.44,03017
3,18,55,17,30.91,14,25.45,1,1.82,8,14.55,6,10.91,03018
3,19,15,2,13.33,5,33.33,1,6.67,1,6.67,6,40.0,03019
3,20,74,30,40.54,11,14.86,4,5.41,4,5.41,11,14.86,03020
3,21,30,10,33.33,3,10.0,7,23.33,1,3.33,3,10.0,03021
3,22,59,24,40.68,13,22.03,3,5.08,2,3.39,7,11.86,03022
3,23,88,35,39.77,14,15.91,4,4.55,7,7.95,11,12.5,03023
3,24,135,45,33.33,21,15.56,12,8.89,6,4.44,16,11.85,03024
3,25,69,16,23.19,15,21.74,6,8.7,7,10.14,4,5.8,03025
3,26,22,5,22.73,5,22.73,4,18.18,1,4.55,4,18.18,03026
3,27,92,38,41.3,18,19.57,8,8.7,6,6.52,8,8.7,03027
3,28,107,27,25.23,34,31.78,12,11.21,5,4.67,18,16.82,03028
3,29,101,31,30.69,24,23.76,5,4.95,6,5.94,15,14.85,03029
3,30,86,45,52.33,20,23.26,4,4.65,2,2.33,10,11.63,03030
3,31,185,67,36.22,35,18.92,9,4.86,13,7.03,21,11.35,03031
3,32,72,36,50.0,12,16.67,7,9.72,4,5.56,4,5.56,03032
3,33,124,54,43.55,18,14.52,8,6.45,8,6.45,12,9.68,03033
3,34,98,50,51.02,17,17.35,3,3.06,6,6.12,12,12.24,03034
3,35,97,45,46.39,12,12.37,10,10.31,7,7.22,12,12.37,03035
3,36,22,7,31.82,1,4.55,2,9.09,0,0.0,6,27.27,03036
3,37,43,17,39.53,8,18.6,3,6.98,2,4.65,3,6.98,03037
3,38,218,84,38.53,32,14.68,15,6.88,11,5.05,18,8.26,03038
3,39,210,83,39.52,59,28.1,10,4.76,6,2.86,20,9.52,03039
3,40,112,45,40.18,13,11.61,6,5.36,6,5.36,12,10.71,03040
3,41,104,48,46.15,13,12.5,10,9.62,6,5.77,10,9.62,03041
3,42,90,37,41.11,18,20.0,6,6.67,7,7.78,11,12.22,03042
3,43,33,11,33.33,5,15.15,2,6.06,0,0.0,4,12.12,03043
3,44,18,10,55.56,0,0.0,2,11.11,1,5.56,3,16.67,03044
3,45,147,38,25.85,34,23.13,13,8.84,7,4.76,26,17.69,03045
3,46,40,11,27.5,7,17.5,5,12.5,1,2.5,5,12.5,03046
3,47,57,17,29.82,10,17.54,6,10.53,2,3.51,8,14.04,03047
3,48,48,18,37.5,4,8.33,10,20.83,2,4.17,5,10.42,03048
3,49,48,23,47.92,6,12.5,4,8.33,0,0.0,8,16.67,03049
3,50,37,10,27.03,7,18.92,2,5.41,3,8.11,8,21.62,03050
4,1,171,62,36.26,60,35.09,13,7.6,8,4.68,11,6.43,04001
4,2,200,91,45.5,51,25.5,13,6.5,8,4.0,18,9.0,04002
4,3,154,70,45.45,32,20.78,8,5.19,8,5.19,15,9.74,04003
4,4,150,50,33.33,28,18.67,7,4.67,11,7.33,17,11.33,04004
4,5,171,79,46.2,23,13.45,13,7.6,4,2.34,20,11.7,04005
4,6,70,34,48.57,13,18.57,6,8.57,3,4.29,5,7.14,04006
4,7,181,85,46.96,48,26.52,6,3.31,7,3.87,13,7.18,04007
4,8,179,66,36.87,39,21.79,9,5.03,13,7.26,24,13.41,04008
4,9,309,155,50.16,73,23.62,16,5.18,10,3.24,29,9.39,04009
4,10,141,68,48.23,22,15.6,12,8.51,11,7.8,13,9.22,04010
4,11,105,37,35.24,29,27.62,6,5.71,5,4.76,11,10.48,04011
4,12,86,43,50.0,16,18.6,6,6.98,4,4.65,8,9.3,04012
4,13,114,34,29.82,33,28.95,9,7.89,4,3.51,13,11.4,04013
4,14,73,22,30.14,22,30.14,5,6.85,5,6.85,5,6.85,04014
4,15,106,40,37.74,23,21.7,7,6.6,9,8.49,7,6.6,04015
4,16,163,62,38.04,35,21.47,12,7.36,7,4.29,13,7.98,04016
4,17,139,61,43.88,29,20.86,10,7.19,7,5.04,14,10.07,04017
4,18,106,44,41.51,22,20.75,7,6.6,5,4.72,14,13.21,04018
4,19,133,53,39.85,25,18.8,12,9.02,5,3.76,10,7.52,04019
4,20,119,49,41.18,28,23.53,8,6.72,5,4.2,12,10.08,04020
4,21,161,59,36.65,55,34.16,7,4.35,8,4.97,13,8.07,04021
4,22,153,53,34.64,39,25.49,18,11.76,8,5.23,16,10.46,04022
4,23,104,48,46.15,25,24.04,10,9.62,5,4.81,10,9.62,04023
4,24,119,47,39.5,33,27.73,6,5.04,3,2.52,10,8.4,04024
4,25,184,90,48.91,46,25.0,8,4.35,6,3.26,17,9.24,04025
4,26,130,57,43.85,27,20.77,7,5.38,8,6.15,13,10.0,04026
4,27,131,62,47.33,28,21.37,7,5.34,5,3.82,12,9.16,04027
4,28,81,26,32.1,31,38.27,9,11.11,5,6.17,5,6.17,04028
4,29,121,43,35.54,40,33.06,6,4.96,3,2.48,9,7.44,04029
4,30,119,52,43.7,20,16.81,6,5.04,7,5.88,18,15.13,04030
4,31,63,10,15.87,38,60.32,4,6.35,2,3.17,2,3.17,04031
4,32,109,27,24.77,51,46.79,9,8.26,3,2.75,5,4.59,04032
4,33,131,55,41.98,36,27.48,7,5.34,4,3.05,14,10.69,04033
4,34,85,8,9.41,37,43.53,14,16.47,2,2.35,5,5.88,04034
4,35,87,30,34.48,21,24.14,3,3.45,7,8.05,14,16.09,04035
4,36,89,41,46.07,22,24.72,7,7.87,3,3.37,7,7.87,04036
4,37,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,04037
4,38,207,67,32.37,93,44.93,8,3.86,9,4.35,15,7.25,04038
4,39,90,45,50.0,21,23.33,3,3.33,4,4.44,8,8.89,04039
4,40,147,49,33.33,44,29.93,15,10.2,8,5.44,16,10.88,04040
4,41,45,8,17.78,23,51.11,3,6.67,1,2.22,4,8.89,04041
4,42,161,75,46.58,31,19.25,7,4.35,9,5.59,14,8.7,04042
4,43,75,23,30.67,26,34.67,3,4.0,7,9.33,9,12.0,04043
4,44,63,23,36.51,12,19.05,10,15.87,1,1.59,4,6.35,04044
4,45,274,120,43.8,87,31.75,10,3.65,7,2.55,17,6.2,04045
4,46,101,51,50.5,23,22.77,6,5.94,4,3.96,3,2.97,04046
4,47,129,39,30.23,54,41.86,9,6.98,6,4.65,10,7.75,04047
4,48,147,42,28.57,65,44.22,13,8.84,5,3.4,11,7.48,04048
4,49,117,34,29.06,31,26.5,11,9.4,9,7.69,12,10.26,04049
4,50,145,61,42.07,32,22.07,6,4.14,7,4.83,16,11.03,04050
4,51,172,78,45.35,37,21.51,7,4.07,9,5.23,16,9.3,04051
4,52,148,60,40.54,21,14.19,16,10.81,9,6.08,17,11.49,04052
5,1,140,74,52.86,13,9.29,10,7.14,9,6.43,18,12.86,05001
5,2,169,74,43.79,25,14.79,13,7.69,9,5.33,21,12.43,05002
5,3,56,14,25.0,29,51.79,6,10.71,2,3.57,2,3.57,05003
5,4,89,52,58.43,6,6.74,5,5.62,7,7.87,7,7.87,05004
5,5,105,54,51.43,18,17.14,5,4.76,4,3.81,9,8.57,05005
5,6,156,72,46.15,11,7.05,11,7.05,5,3.21,18,11.54,05006
5,7,162,55,33.95,24,14.81,14,8.64,12,7.41,29,17.9,05007
5,8,128,9,7.03,79,61.72,11,8.59,7,5.47,6,4.69,05008
5,9,112,53,47.32,18,16.07,10,8.93,5,4.46,11,9.82,05009
5,10,93,45,48.39,8,8.6,7,7.53,5,5.38,10,10.75,05010
5,11,249,84,33.73,89,35.74,15,6.02,10,4.02,22,8.84,05011
5,12,74,27,36.49,17,22.97,5,6.76,5,6.76,8,10.81,05012
5,13,127,67,52.76,12,9.45,9,7.09,8,6.3,11,8.66,05013
5,14,211,112,53.08,31,14.69,8,3.79,12,5.69,15,7.11,05014
5,15,85,38,44.71,14,16.47,8,9.41,2,2.35,12,14.12,05015
5,16,82,34,41.46,9,10.98,8,9.76,6,7.32,11,13.41,05016
5,17,130,56,43.08,15,11.54,14,10.77,9,6.92,12,9.23,05017
5,18,117,56,47.86,11,9.4,12,10.26,10,8.55,12,10.26,05018
5,19,68,32,47.06,10,14.71,5,7.35,4,5.88,6,8.82,05019
5,20,41,20,48.78,3,7.32,6,14.63,0,0.0,2,4.88,05020
5,21,171,68,39.77,17,9.94,11,6.43,16,9.36,12,7.02,05021
5,22,127,48,37.8,12,9.45,8,6.3,11,8.66,14,11.02,05022
5,23,77,32,41.56,9,11.69,6,7.79,4,5.19,11,14.29,05023
5,24,139,50,35.97,55,39.57,5,3.6,1,0.72,16,11.51,05024
5,25,91,38,41.76,9,9.89,10,10.99,5,5.49,16,17.58,05025
5,26,139,54,38.85,26,18.71,8,5.76,6,4.32,18,12.95,05026
5,27,95,12,12.63,49,51.58,16,16.84,4,4.21,7,7.37,05027
5,28,166,83,50.0,21,12.65,15,9.04,9,5.42,17,10.24,05028
5,29,122,66,54.1,12,9.84,5,4.1,6,4.92,18,14.75,05029
5,30,90,17,18.89,44,48.89,12,13.33,2,2.22,5,5.56,05030
5,31,94,36,38.3,11,11.7,5,5.32,7,7.45,15,15.96,05031
5,32,265,129,48.68,46,17.36,14,5.28,13,4.91,25,9.43,05032
5,33,115,41,35.65,15,13.04,12,10.43,2,1.74,13,11.3,05033
5,34,121,46,38.02,11,9.09,11,9.09,7,5.79,19,15.7,05034
5,35,151,42,27.81,60,39.74,10,6.62,4,2.65,18,11.92,05035
5,36,218,82,37.61,25,11.47,12,5.5,18,8.26,32,14.68,05036
5,37,261,60,22.99,109,41.76,21,8.05,18,6.9,25,9.58,05037
5,38,74,26,35.14,6,8.11,1,1.35,8,10.81,14,18.92,05038
5,39,126,51,40.48,32,25.4,6,4.76,5,3.97,9,7.14,05039
5,40,110,51,46.36,10,9.09,9,8.18,4,3.64,11,10.0,05040
5,41,145,11,7.59,94,64.83,14,9.66,4,2.76,10,6.9,05041
5,42,62,25,40.32,7,11.29,3,4.84,4,6.45,10,16.13,05042
5,43,147,76,51.7,22,14.97,8,5.44,6,4.08,8,5.44,05043
5,44,117,59,50.43,16,13.68,8,6.84,6,5.13,15,12.82,05044
5,45,106,34,32.08,15,14.15,7,6.6,9,8.49,7,6.6,05045
5,46,129,31,24.03,49,37.98,14,10.85,9,6.98,10,7.75,05046
5,47,94,43,45.74,16,17.02,6,6.38,8,8.51,11,11.7,05047
5,48,79,22,27.85,22,27.85,8,10.13,6,7.59,15,18.99,05048
6,1,204,121,59.31,19,9.31,11,5.39,11,5.39,11,5.39,06001
6,2,179,113,63.13,12,6.7,9,5.03,7,3.91,14,7.82,06002
6,3,166,88,53.01,21,12.65,9,5.42,9,5.42,15,9.04,06003
6,4,90,34,37.78,12,13.33,8,8.89,8,8.89,10,11.11,06004
6,5,133,88,66.17,10,7.52,12,9.02,3,2.26,6,4.51,06005
6,6,258,164,63.57,14,5.43,13,5.04,14,5.43,22,8.53,06006
6,7,181,99,54.7,18,9.94,8,4.42,8,4.42,22,12.15,06007
6,8,195,118,60.51,13,6.67,10,5.13,6,3.08,14,7.18,06008
6,9,147,74,50.34,26,17.69,2,1.36,11,7.48,14,9.52,06009
6,10,261,120,45.98,50,19.16,11,4.21,13,4.98,17,6.51,06010
6,11,108,63,58.33,16,14.81,4,3.7,3,2.78,9,8.33,06011
6,12,134,48,35.82,12,8.96,14,10.45,9,6.72,20,14.93,06012
6,13,104,47,45.19,20,19.23,7,6.73,5,4.81,7,6.73,06013
6,14,117,61,52.14,11,9.4,9,7.69,3,2.56,12,10.26,06014
6,15,70,35,50.0,4,5.71,9,12.86,4,5.71,7,10.0,06015
6,16,182,117,64.29,15,8.24,8,4.4,5,2.75,10,5.49,06016
6,17,174,112,64.37,21,12.07,6,3.45,8,4.6,8,4.6,06017
6,18,50,24,48.0,2,4.0,4,8.0,3,6.0,7,14.0,06018
6,19,146,89,60.96,7,4.79,7,4.79,4,2.74,9,6.16,06019
6,20,124,73,58.87,11,8.87,6,4.84,4,3.23,9,7.26,06020
6,21,175,111,63.43,18,10.29,6,3.43,8,4.57,11,6.29,06021
6,22,147,77,52.38,14,9.52,9,6.12,8,5.44,7,4.76,06022
6,23,121,61,50.41,16,13.22,6,4.96,7,5.79,14,11.57,06023
6,24,153,95,62.09,14,9.15,6,3.92,5,3.27,9,5.88,06024
6,25,93,54,58.06,6,6.45,5,5.38,5,5.38,11,11.83,06025
6,26,146,86,58.9,12,8.22,7,4.79,11,7.53,10,6.85,06026
6,27,194,109,56.19,19,9.79,10,5.15,7,3.61,18,9.28,06027
6,28,281,178,63.35,28,9.96,16,5.69,12,4.27,29,10.32,06028
6,29,187,109,58.29,21,11.23,10,5.35,10,5.35,18,9.63,06029
6,30,101,55,54.46,9,8.91,6,5.94,5,4.95,9,8.91,06030
6,31,175,108,61.71,16,9.14,9,5.14,8,4.57,11,6.29,06031
6,32,131,71,54.2,14,10.69,6,4.58,8,6.11,8,6.11,06032
6,33,160,86,53.75,19,11.88,3,1.88,6,3.75,13,8.13,06033
6,34,107,54,50.47,13,12.15,5,4.67,6,5.61,9,8.41,06034
6,35,135,89,65.93,16,11.85,4,2.96,2,1.48,10,7.41,06035
6,36,66,28,42.42,4,6.06,5,7.58,4,6.06,15,22.73,06036
6,37,194,124,63.92,22,11.34,8,4.12,6,3.09,11,5.67,06037
6,38,152,83,54.61,17,11.18,9,5.92,4,2.63,12,7.89,06038
6,39,81,38,46.91,10,12.35,7,8.64,2,2.47,7,8.64,06039
6,40,207,120,57.97,26,12.56,12,5.8,6,2.9,16,7.73,06040
6,41,180,106,58.89,20,11.11,9,5.0,8,4.44,8,4.44,06041
6,42,44,21,47.73,6,13.64,3,6.82,2,4.55,3,6.82,06042
6,43,150,82,54.67,11,7.33,11,7.33,11,7.33,15,10.0,06043
6,44,167,90,53.89,24,14.37,7,4.19,6,3.59,13,7.78,06044
6,45,212,127,59.91,27,12.74,8,3.77,6,2.83,17,8.02,06045
6,46,137,80,58.39,15,10.95,4,2.92,8,5.84,11,8.03,06046
6,47,156,104,66.67,9,5.77,5,3.21,5,3.21,16,10.26,06047
6,48,109,55,50.46,10,9.17,8,7.34,9,8.26,11,10.09,06048
6,49,157,89,56.69,10,6.37,6,3.82,8,5.1,13,8.28,06049
6,50,190,135,71.05,10,5.26,10,5.26,4,2.11,11,5.79,06050
6,51,143,83,58.04,10,6.99,6,4.2,4,2.8,19,13.29,06051
6,52,90,54,60.0,11,12.22,2,2.22,2,2.22,8,8.89,06052
6,53,130,78,60.0,11,8.46,5,3.85,5,3.85,9,6.92,06053
6,54,129,60,46.51,13,10.08,4,3.1,5,3.88,14,10.85,06054
6,55,98,58,59.18,14,14.29,1,1.02,6,6.12,4,4.08,06055
6,56,95,51,53.68,9,9.47,3,3.16,6,6.32,10,10.53,06056
6,57,143,85,59.44,10,6.99,6,4.2,5,3.5,15,10.49,06057
6,58,183,108,59.02,21,11.48,6,3.28,5,2.73,15,8.2,06058
6,59,135,86,63.7,8,5.93,11,8.15,8,5.93,10,7.41,06059
7,1,263,112,42.59,72,27.38,10,3.8,12,4.56,16,6.08,07001
7,2,144,51,35.42,40,27.78,5,3.47,8,5.56,18,12.5,07002
7,3,137,41,29.93,38,27.74,14,10.22,11,8.03,9,6.57,07003
7,4,79,23,29.11,15,18.99,6,7.59,7,8.86,12,15.19,07004
7,5,71,25,35.21,6,8.45,6,8.45,5,7.04,15,21.13,07005
7,6,90,37,41.11,18,20.0,1,1.11,6,6.67,10,11.11,07006
7,7,74,24,32.43,12,16.22,6,8.11,3,4.05,11,14.86,07007
7,8,27,9,33.33,0,0.0,5,18.52,2,7.41,8,29.63,07008
7,9,233,90,38.63,60,25.75,14,6.01,8,3.43,25,10.73,07009
7,10,151,55,36.42,28,18.54,14,9.27,12,7.95,19,12.58,07010
7,11,138,53,38.41,38,27.54,9,6.52,4,2.9,11,7.97,07011
7,12,135,42,31.11,25,18.52,8,5.93,8,5.93,21,15.56,07012
7,13,211,90,42.65,51,24.17,9,4.27,13,6.16,16,7.58,07013
7,14,137,47,34.31,32,23.36,12,8.76,7,5.11,22,16.06,07014
7,15,116,41,35.34,24,20.69,8,6.9,6,5.17,15,12.93,07015
7,16,134,53,39.55,36,26.87,10,7.46,7,5.22,10,7.46,07016
7,17,55,20,36.36,7,12.73,6,10.91,1,1.82,4,7.27,07017
7,18,155,49,31.61,26,16.77,14,9.03,8,5.16,24,15.48,07018
7,19,166,73,43.98,21,12.65,8,4.82,6,3.61,28,16.87,07019
7,20,32,5,15.63,9,28.13,1,3.13,6,18.75,5,15.63,07020
7,21,91,30,32.97,16,17.58,7,7.69,5,5.49,16,17.58,07021
7,22,63,20,31.75,9,14.29,6,9.52,4,6.35,11,17.46,07022
7,23,93,33,35.48,25,26.88,8,8.6,2,2.15,8,8.6,07023
7,24,219,82,37.44,56,25.57,11,5.02,11,5.02,23,10.5,07024
7,25,222,82,36.94,60,27.03,12,5.41,15,6.76,17,7.66,07025
7,26,134,35,26.12,32,23.88,8,5.97,16,11.94,15,11.19,07026
7,27,209,90,43.06,29,13.88,10,4.78,6,2.87,28,13.4,07027
7,28,97,36,37.11,19,19.59,9,9.28,5,5.15,11,11.34,07028
7,29,91,34,37.36,18,19.78,7,7.69,3,3.3,13,14.29,07029
7,30,138,54,39.13,38,27.54,3,2.17,8,5.8,13,9.42,07030
7,31,139,52,37.41,31,22.3,8,5.76,9,6.47,26,18.71,07031
7,32,67,20,29.85,10,14.93,5,7.46,8,11.94,12,17.91,07032
7,33,105,49,46.67,15,14.29,11,10.48,4,3.81,12,11.43,07033
7,34,40,17,42.5,2,5.0,5,12.5,1,2.5,4,10.0,07034
7,35,164,64,39.02,40,24.39,6,3.66,7,4.27,16,9.76,07035
7,36,114,41,35.96,28,24.56,11,9.65,2,1.75,15,13.16,07036
7,37,161,50,31.06,32,19.88,16,9.94,14,8.7,21,13.04,07037
7,38,180,62,34.44,26,14.44,15,8.33,15,8.33,19,10.56,07038
7,39,283,92,32.51,85,30.04,21,7.42,15,5.3,32,11.31,07039
7,40,152,57,37.5,37,24.34,16,10.53,4,2.63,19,12.5,07040
