ward,precinct,total,Laura Liu,Laura Liu Percent,precinct_id
48,18,63,63,100.0,48018
48,19,84,84,100.0,48019
48,20,62,62,100.0,48020
48,21,99,99,100.0,48021
48,23,77,77,100.0,48023
48,24,38,38,100.0,48024
48,25,81,81,100.0,48025
48,26,84,84,100.0,48026
48,27,82,82,100.0,48027
48,28,88,88,100.0,48028
48,29,125,125,100.0,48029
48,30,89,89,100.0,48030
48,31,68,68,100.0,48031
48,32,25,25,100.0,48032
48,34,67,67,100.0,48034
48,35,83,83,100.0,48035
48,36,77,77,100.0,48036
48,37,47,47,100.0,48037
48,38,115,115,100.0,48038
48,39,78,78,100.0,48039
48,42,74,74,100.0,48042
48,43,88,88,100.0,48043
48,44,89,89,100.0,48044
48,45,56,56,100.0,48045
48,46,104,104,100.0,48046
48,47,67,67,100.0,48047
48,48,89,89,100.0,48048
48,49,15,15,100.0,48049
48,50,88,88,100.0,48050
48,51,128,128,100.0,48051
48,52,58,58,100.0,48052
49,17,13,13,100.0,49017
