ward,precinct,total,Kevin Cunningham,Kevin Cunningham Percent,Erica L. Reddick,Erica L. Reddick Percent,precinct_id
8,42,136,62,45.59,74,54.41,08042
8,43,58,27,46.55,31,53.45,08043
8,44,104,51,49.04,53,50.96,08044
8,45,84,37,44.05,47,55.95,08045
8,46,136,65,47.79,71,52.21,08046
8,47,146,90,61.64,56,38.36,08047
8,48,111,51,45.95,60,54.05,08048
8,49,159,59,37.11,100,62.89,08049
8,50,128,45,35.16,83,64.84,08050
8,51,164,69,42.07,95,57.93,08051
8,52,134,60,44.78,74,55.22,08052
8,53,140,76,54.29,64,45.71,08053
8,54,124,44,35.48,80,64.52,08054
8,55,80,31,38.75,49,61.25,08055
8,56,124,42,33.87,82,66.13,08056
8,57,121,55,45.45,66,54.55,08057
8,58,157,56,35.67,101,64.33,08058
8,59,71,20,28.17,51,71.83,08059
8,60,147,79,53.74,68,46.26,08060
8,61,101,51,50.5,50,49.5,08061
8,62,201,112,55.72,89,44.28,08062
8,63,157,68,43.31,89,56.69,08063
8,64,97,53,54.64,44,45.36,08064
9,1,143,62,43.36,81,56.64,09001
9,2,113,63,55.75,50,44.25,09002
9,3,42,14,33.33,28,66.67,09003
9,4,140,78,55.71,62,44.29,09004
9,5,130,63,48.46,67,51.54,09005
9,6,198,99,50.0,99,50.0,09006
9,7,125,79,63.2,46,36.8,09007
9,8,106,50,47.17,56,52.83,09008
9,9,177,80,45.2,97,54.8,09009
9,10,108,46,42.59,62,57.41,09010
9,11,78,44,56.41,34,43.59,09011
9,12,97,53,54.64,44,45.36,09012
9,13,198,93,46.97,105,53.03,09013
9,14,176,82,46.59,94,53.41,09014
9,15,106,52,49.06,54,50.94,09015
9,16,155,80,51.61,75,48.39,09016
9,17,84,48,57.14,36,42.86,09017
9,18,126,71,56.35,55,43.65,09018
9,19,136,62,45.59,74,54.41,09019
9,20,163,79,48.47,84,51.53,09020
9,21,146,54,36.99,92,63.01,09021
9,22,206,122,59.22,84,40.78,09022
9,23,95,50,52.63,45,47.37,09023
9,24,86,43,50.0,43,50.0,09024
9,25,82,41,50.0,41,50.0,09025
9,26,65,29,44.62,36,55.38,09026
9,27,97,53,54.64,44,45.36,09027
9,28,38,21,55.26,17,44.74,09028
9,29,70,35,50.0,35,50.0,09029
9,30,69,33,47.83,36,52.17,09030
9,31,105,51,48.57,54,51.43,09031
9,32,181,83,45.86,98,54.14,09032
9,33,80,42,52.5,38,47.5,09033
9,34,119,71,59.66,48,40.34,09034
9,35,259,128,49.42,131,50.58,09035
9,36,152,78,51.32,74,48.68,09036
9,37,90,38,42.22,52,57.78,09037
9,38,107,58,54.21,49,45.79,09038
9,39,209,90,43.06,119,56.94,09039
9,40,222,119,53.6,103,46.4,09040
9,41,131,63,48.09,68,51.91,09041
9,42,52,23,44.23,29,55.77,09042
9,43,53,33,62.26,20,37.74,09043
9,44,64,41,64.06,23,35.94,09044
9,45,214,105,49.07,109,50.93,09045
9,46,61,25,40.98,36,59.02,09046
9,47,171,75,43.86,96,56.14,09047
10,1,97,34,35.05,63,64.95,10001
10,2,39,19,48.72,20,51.28,10002
10,3,72,34,47.22,38,52.78,10003
10,4,49,22,44.9,27,55.1,10004
10,5,67,27,40.3,40,59.7,10005
10,6,118,56,47.46,62,52.54,10006
10,7,61,25,40.98,36,59.02,10007
10,8,52,25,48.08,27,51.92,10008
10,9,58,27,46.55,31,53.45,10009
10,10,52,25,48.08,27,51.92,10010
10,11,61,39,63.93,22,36.07,10011
10,12,48,18,37.5,30,62.5,10012
10,13,98,36,36.73,62,63.27,10013
10,14,58,25,43.1,33,56.9,10014
10,15,24,16,66.67,8,33.33,10015
10,16,59,28,47.46,31,52.54,10016
10,17,56,26,46.43,30,53.57,10017
10,18,32,11,34.38,21,65.63,10018
10,19,63,28,44.44,35,55.56,10019
10,20,48,26,54.17,22,45.83,10020
10,21,58,31,53.45,27,46.55,10021
10,22,54,24,44.44,30,55.56,10022
10,23,40,20,50.0,20,50.0,10023
10,24,58,30,51.72,28,48.28,10024
10,25,63,25,39.68,38,60.32,10025
10,26,39,15,38.46,24,61.54,10026
10,27,70,32,45.71,38,54.29,10027
10,28,82,37,45.12,45,54.88,10028
10,29,91,46,50.55,45,49.45,10029
10,30,54,29,53.7,25,46.3,10030
10,31,58,25,43.1,33,56.9,10031
10,32,49,28,57.14,21,42.86,10032
10,33,53,25,47.17,28,52.83,10033
10,34,48,25,52.08,23,47.92,10034
10,35,59,25,42.37,34,57.63,10035
10,36,72,33,45.83,39,54.17,10036
10,37,44,24,54.55,20,45.45,10037
10,38,64,33,51.56,31,48.44,10038
10,39,62,35,56.45,27,43.55,10039
10,40,61,32,52.46,29,47.54,10040
10,41,84,51,60.71,33,39.29,10041
10,42,53,25,47.17,28,52.83,10042
10,43,28,19,67.86,9,32.14,10043
10,44,56,23,41.07,33,58.93,10044
10,45,61,28,45.9,33,54.1,10045
10,46,45,22,48.89,23,51.11,10046
11,1,110,42,38.18,68,61.82,11001
11,2,97,51,52.58,46,47.42,11002
11,3,67,20,29.85,47,70.15,11003
11,4,77,40,51.95,37,48.05,11004
11,5,55,18,32.73,37,67.27,11005
11,6,111,43,38.74,68,61.26,11006
11,7,90,37,41.11,53,58.89,11007
11,8,89,37,41.57,52,58.43,11008
11,9,72,24,33.33,48,66.67,11009
11,10,53,29,54.72,24,45.28,11010
11,11,100,35,35.0,65,65.0,11011
11,12,104,39,37.5,65,62.5,11012
11,13,85,33,38.82,52,61.18,11013
11,14,63,24,38.1,39,61.9,11014
11,15,84,40,47.62,44,52.38,11015
11,16,105,41,39.05,64,60.95,11016
11,17,139,55,39.57,84,60.43,11017
11,18,58,31,53.45,27,46.55,11018
11,19,60,25,41.67,35,58.33,11019
11,20,96,33,34.38,63,65.63,11020
11,21,125,49,39.2,76,60.8,11021
11,22,88,36,40.91,52,59.09,11022
11,23,69,26,37.68,43,62.32,11023
11,24,237,65,27.43,172,72.57,11024
11,25,72,13,18.06,59,81.94,11025
11,26,118,45,38.14,73,61.86,11026
11,27,56,18,32.14,38,67.86,11027
11,28,64,30,46.88,34,53.13,11028
11,29,92,49,53.26,43,46.74,11029
11,30,83,28,33.73,55,66.27,11030
11,31,75,18,24.0,57,76.0,11031
11,32,74,31,41.89,43,58.11,11032
11,33,58,29,50.0,29,50.0,11033
11,34,51,25,49.02,26,50.98,11034
11,35,114,49,42.98,65,57.02,11035
11,36,19,10,52.63,9,47.37,11036
11,37,107,26,24.3,81,75.7,11037
11,38,136,31,22.79,105,77.21,11038
11,39,126,45,35.71,81,64.29,11039
11,40,60,19,31.67,41,68.33,11040
11,41,59,14,23.73,45,76.27,11041
11,42,66,38,57.58,28,42.42,11042
11,43,75,34,45.33,41,54.67,11043
11,44,87,27,31.03,60,68.97,11044
11,45,33,14,42.42,19,57.58,11045
11,46,62,29,46.77,33,53.23,11046
11,47,70,23,32.86,47,67.14,11047
11,48,40,22,55.0,18,45.0,11048
11,49,75,36,48.0,39,52.0,11049
11,50,54,25,46.3,29,53.7,11050
12,1,68,27,39.71,41,60.29,12001
12,2,61,36,59.02,25,40.98,12002
12,3,50,23,46.0,27,54.0,12003
12,4,28,11,39.29,17,60.71,12004
12,5,46,21,45.65,25,54.35,12005
12,6,54,26,48.15,28,51.85,12006
12,7,83,47,56.63,36,43.37,12007
12,8,86,36,41.86,50,58.14,12008
12,9,38,15,39.47,23,60.53,12009
12,10,81,35,43.21,46,56.79,12010
12,11,126,52,41.27,74,58.73,12011
12,12,61,34,55.74,27,44.26,12012
12,13,97,56,57.73,41,42.27,12013
12,14,46,23,50.0,23,50.0,12014
12,15,58,26,44.83,32,55.17,12015
12,16,40,15,37.5,25,62.5,12016
12,17,76,36,47.37,40,52.63,12017
12,18,86,38,44.19,48,55.81,12018
12,19,77,27,35.06,50,64.94,12019
12,20,43,14,32.56,29,67.44,12020
12,21,69,36,52.17,33,47.83,12021
12,22,58,24,41.38,34,58.62,12022
12,23,55,28,50.91,27,49.09,12023
12,24,65,28,43.08,37,56.92,12024
13,1,176,52,29.55,124,70.45,13001
13,2,135,45,33.33,90,66.67,13002
13,3,116,44,37.93,72,62.07,13003
13,4,237,117,49.37,120,50.63,13004
13,5,158,60,37.97,98,62.03,13005
13,6,98,53,54.08,45,45.92,13006
13,7,144,54,37.5,90,62.5,13007
13,8,183,66,36.07,117,63.93,13008
13,9,140,58,41.43,82,58.57,13009
13,10,78,39,50.0,39,50.0,13010
13,11,82,56,68.29,26,31.71,13011
13,12,132,56,42.42,76,57.58,13012
13,13,208,57,27.4,151,72.6,13013
13,14,140,49,35.0,91,65.0,13014
13,15,214,65,30.37,149,69.63,13015
13,16,184,66,35.87,118,64.13,13016
13,17,160,58,36.25,102,63.75,13017
13,18,118,49,41.53,69,58.47,13018
13,19,164,46,28.05,118,71.95,13019
13,20,116,46,39.66,70,60.34,13020
13,21,92,39,42.39,53,57.61,13021
13,22,118,51,43.22,67,56.78,13022
13,23,121,35,28.93,86,71.07,13023
13,24,159,49,30.82,110,69.18,13024
13,25,133,41,30.83,92,69.17,13025
13,26,220,61,27.73,159,72.27,13026
13,27,157,69,43.95,88,56.05,13027
13,28,100,40,40.0,60,60.0,13028
13,29,139,41,29.5,98,70.5,13029
13,30,204,52,25.49,152,74.51,13030
13,31,106,40,37.74,66,62.26,13031
13,32,102,46,45.1,56,54.9,13032
13,33,154,34,22.08,120,77.92,13033
13,34,260,33,12.69,227,87.31,13034
13,35,195,45,23.08,150,76.92,13035
13,36,86,35,40.7,51,59.3,13036
13,37,182,65,35.71,117,64.29,13037
13,38,105,44,41.9,61,58.1,13038
13,39,159,47,29.56,112,70.44,13039
13,40,204,57,27.94,147,72.06,13040
13,41,153,37,24.18,116,75.82,13041
13,42,164,63,38.41,101,61.59,13042
13,43,208,85,40.87,123,59.13,13043
13,44,382,28,7.33,354,92.67,13044
13,45,217,69,31.8,148,68.2,13045
13,46,161,65,40.37,96,59.63,13046
13,47,171,66,38.6,105,61.4,13047
14,1,118,44,37.29,74,62.71,14001
14,2,150,65,43.33,85,56.67,14002
14,3,86,29,33.72,57,66.28,14003
14,4,79,31,39.24,48,60.76,14004
14,5,96,42,43.75,54,56.25,14005
14,6,52,22,42.31,30,57.69,14006
14,7,120,31,25.83,89,74.17,14007
14,8,76,32,42.11,44,57.89,14008
14,9,111,40,36.04,71,63.96,14009
14,10,70,16,22.86,54,77.14,14010
14,11,84,12,14.29,72,85.71,14011
14,12,93,27,29.03,66,70.97,14012
14,13,79,31,39.24,48,60.76,14013
14,14,107,30,28.04,77,71.96,14014
14,15,109,36,33.03,73,66.97,14015
14,16,75,35,46.67,40,53.33,14016
14,17,70,21,30.0,49,70.0,14017
14,18,48,14,29.17,34,70.83,14018
14,19,88,34,38.64,54,61.36,14019
14,20,49,15,30.61,34,69.39,14020
14,21,95,20,21.05,75,78.95,14021
14,22,149,52,34.9,97,65.1,14022
