ward,precinct,total,Carl B. Boyd,Carl B. Boyd Percent,Arthur Wesley ''Wes'' Willis,Arthur Wesley ''Wes'' Willis Percent,Alma Learetta Tyson,Alma Learetta Tyson Percent,Chester Slaughter,Chester Slaughter Percent,precinct_id
21,27,145,67,46.21,47,32.41,21,14.48,10,6.9,21027
21,28,76,39,51.32,13,17.11,11,14.47,13,17.11,21028
21,30,78,41,52.56,13,16.67,8,10.26,16,20.51,21030
21,31,167,92,55.09,30,17.96,20,11.98,25,14.97,21031
21,33,107,51,47.66,24,22.43,12,11.21,20,18.69,21033
21,35,107,63,58.88,10,9.35,20,18.69,14,13.08,21035
21,37,0,0,0.0,0,0.0,0,0.0,0,0.0,21037
21,38,131,65,49.62,16,12.21,23,17.56,27,20.61,21038
21,39,39,15,38.46,6,15.38,10,25.64,8,20.51,21039
21,40,143,72,50.35,38,26.57,13,9.09,20,13.99,21040
21,42,128,68,53.13,28,21.88,11,8.59,21,16.41,21042
21,43,87,47,54.02,17,19.54,11,12.64,12,13.79,21043
21,44,115,63,54.78,19,16.52,12,10.43,21,18.26,21044
21,45,101,45,44.55,26,25.74,12,11.88,18,17.82,21045
21,46,67,28,41.79,19,28.36,13,19.4,7,10.45,21046
21,47,162,76,46.91,43,26.54,18,11.11,25,15.43,21047
21,48,120,50,41.67,30,25.0,26,21.67,14,11.67,21048
21,49,150,73,48.67,31,20.67,18,12.0,28,18.67,21049
21,50,117,61,52.14,20,17.09,23,19.66,13,11.11,21050
21,51,123,75,60.98,15,12.2,12,9.76,21,17.07,21051
21,53,168,78,46.43,39,23.21,31,18.45,20,11.9,21053
21,54,147,71,48.3,46,31.29,16,10.88,14,9.52,21054
21,55,91,48,52.75,15,16.48,14,15.38,14,15.38,21055
21,56,85,44,51.76,15,17.65,13,15.29,13,15.29,21056
21,58,44,28,63.64,9,20.45,5,11.36,2,4.55,21058
21,59,140,70,50.0,24,17.14,21,15.0,25,17.86,21059
21,60,132,72,54.55,17,12.88,31,23.48,12,9.09,21060
21,61,110,60,54.55,18,16.36,12,10.91,20,18.18,21061
21,64,55,25,45.45,11,20.0,10,18.18,9,16.36,21064
34,1,246,138,56.1,48,19.51,23,9.35,37,15.04,34001
34,2,134,89,66.42,14,10.45,15,11.19,16,11.94,34002
34,3,122,82,67.21,11,9.02,17,13.93,12,9.84,34003
34,4,142,80,56.34,26,18.31,16,11.27,20,14.08,34004
34,5,98,62,63.27,16,16.33,12,12.24,8,8.16,34005
34,6,269,164,60.97,37,13.75,38,14.13,30,11.15,34006
34,7,183,102,55.74,37,20.22,24,13.11,20,10.93,34007
34,8,220,153,69.55,31,14.09,22,10.0,14,6.36,34008
34,9,62,33,53.23,16,25.81,10,16.13,3,4.84,34009
34,10,136,93,68.38,14,10.29,16,11.76,13,9.56,34010
34,11,77,42,54.55,13,16.88,13,16.88,9,11.69,34011
34,12,161,93,57.76,37,22.98,19,11.8,12,7.45,34012
34,13,168,101,60.12,24,14.29,20,11.9,23,13.69,34013
34,14,79,39,49.37,14,17.72,13,16.46,13,16.46,34014
34,15,87,53,60.92,12,13.79,8,9.2,14,16.09,34015
34,16,71,39,54.93,6,8.45,15,21.13,11,15.49,34016
34,17,102,64,62.75,14,13.73,12,11.76,12,11.76,34017
34,18,130,77,59.23,27,20.77,15,11.54,11,8.46,34018
34,19,115,65,56.52,26,22.61,11,9.57,13,11.3,34019
34,20,212,135,63.68,25,11.79,26,12.26,26,12.26,34020
34,21,128,71,55.47,21,16.41,15,11.72,21,16.41,34021
34,22,173,98,56.65,33,19.08,22,12.72,20,11.56,34022
34,23,114,54,47.37,32,28.07,17,14.91,11,9.65,34023
34,24,127,95,74.8,18,14.17,7,5.51,7,5.51,34024
34,25,161,99,61.49,20,12.42,16,9.94,26,16.15,34025
34,26,145,75,51.72,26,17.93,20,13.79,24,16.55,34026
34,27,104,52,50.0,20,19.23,12,11.54,20,19.23,34027
34,28,66,38,57.58,9,13.64,7,10.61,12,18.18,34028
34,29,138,77,55.8,30,21.74,15,10.87,16,11.59,34029
34,30,192,100,52.08,56,29.17,13,6.77,23,11.98,34030
34,31,66,38,57.58,12,18.18,8,12.12,8,12.12,34031
34,32,302,202,66.89,31,10.26,29,9.6,40,13.25,34032
34,33,134,89,66.42,17,12.69,15,11.19,13,9.7,34033
34,34,172,101,58.72,25,14.53,19,11.05,27,15.7,34034
34,35,109,62,56.88,15,13.76,16,14.68,16,14.68,34035
34,36,167,118,70.66,23,13.77,9,5.39,17,10.18,34036
34,37,120,77,64.17,11,9.17,19,15.83,13,10.83,34037
34,38,73,47,64.38,10,13.7,10,13.7,6,8.22,34038
34,39,78,52,66.67,9,11.54,7,8.97,10,12.82,34039
34,40,140,88,62.86,16,11.43,22,15.71,14,10.0,34040
34,41,70,45,64.29,9,12.86,8,11.43,8,11.43,34041
34,42,177,119,67.23,31,17.51,15,8.47,12,6.78,34042
34,43,215,141,65.58,36,16.74,20,9.3,18,8.37,34043
34,44,146,108,73.97,10,6.85,18,12.33,10,6.85,34044
34,45,121,50,41.32,40,33.06,18,14.88,13,10.74,34045
34,46,118,60,50.85,17,14.41,17,14.41,24,20.34,34046
34,47,101,54,53.47,29,28.71,12,11.88,6,5.94,34047
34,48,174,123,70.69,22,12.64,15,8.62,14,8.05,34048
34,49,209,130,62.2,32,15.31,25,11.96,22,10.53,34049
34,50,136,75,55.15,26,19.12,22,16.18,13,9.56,34050
34,51,192,128,66.67,23,11.98,21,10.94,20,10.42,34051
34,52,76,46,60.53,11,14.47,11,14.47,8,10.53,34052
34,53,69,33,47.83,18,26.09,9,13.04,9,13.04,34053
34,54,76,43,56.58,14,18.42,9,11.84,10,13.16,34054
34,55,136,92,67.65,17,12.5,14,10.29,13,9.56,34055
