ward,precinct,total,Maureen A. Murphy,Maureen A. Murphy Percent,Michael R. Clancy,Michael R. Clancy Percent,Maritza Martinez,Maritza Martinez Percent,Roger Zamparo,Roger Zamparo Percent,precinct_id
36,48,65,25,38.46,23,35.38,7,10.77,10,15.38,36048
36,49,128,63,49.22,36,28.13,16,12.5,13,10.16,36049
36,50,97,23,23.71,41,42.27,22,22.68,11,11.34,36050
36,51,104,26,25.0,47,45.19,24,23.08,7,6.73,36051
37,11,21,5,23.81,0,0.0,11,52.38,5,23.81,37011
37,16,94,50,53.19,24,25.53,17,18.09,3,3.19,37016
37,24,62,37,59.68,14,22.58,11,17.74,0,0.0,37024
37,26,105,56,53.33,19,18.1,25,23.81,5,4.76,37026
37,39,46,15,32.61,5,10.87,23,50.0,3,6.52,37039
38,2,95,27,28.42,21,22.11,37,38.95,10,10.53,38002
38,3,40,16,40.0,11,27.5,10,25.0,3,7.5,38003
38,4,72,25,34.72,14,19.44,29,40.28,4,5.56,38004
38,6,86,26,30.23,17,19.77,37,43.02,6,6.98,38006
38,8,31,10,32.26,11,35.48,8,25.81,2,6.45,38008
38,9,62,32,51.61,9,14.52,16,25.81,5,8.06,38009
38,10,50,19,38.0,11,22.0,18,36.0,2,4.0,38010
38,11,115,29,25.22,35,30.43,47,40.87,4,3.48,38011
38,12,53,24,45.28,12,22.64,11,20.75,6,11.32,38012
38,13,121,44,36.36,32,26.45,38,31.4,7,5.79,38013
38,14,62,28,45.16,19,30.65,12,19.35,3,4.84,38014
38,15,76,30,39.47,26,34.21,16,21.05,4,5.26,38015
38,16,96,36,37.5,17,17.71,33,34.38,10,10.42,38016
38,17,77,28,36.36,19,24.68,23,29.87,7,9.09,38017
38,18,76,38,50.0,15,19.74,13,17.11,10,13.16,38018
38,19,86,33,38.37,28,32.56,21,24.42,4,4.65,38019
38,20,93,30,32.26,29,31.18,27,29.03,7,7.53,38020
38,21,53,21,39.62,18,33.96,10,18.87,4,7.55,38021
38,22,71,28,39.44,19,26.76,20,28.17,4,5.63,38022
38,23,144,56,38.89,36,25.0,40,27.78,12,8.33,38023
38,24,124,32,25.81,29,23.39,57,45.97,6,4.84,38024
38,25,48,27,56.25,8,16.67,10,20.83,3,6.25,38025
38,26,54,29,53.7,11,20.37,9,16.67,5,9.26,38026
38,27,69,24,34.78,14,20.29,21,30.43,10,14.49,38027
38,28,97,34,35.05,24,24.74,34,35.05,5,5.15,38028
38,29,77,33,42.86,15,19.48,21,27.27,8,10.39,38029
38,30,58,26,44.83,16,27.59,11,18.97,5,8.62,38030
38,31,105,25,23.81,22,20.95,49,46.67,9,8.57,38031
38,32,78,37,47.44,18,23.08,10,12.82,13,16.67,38032
38,33,57,25,43.86,17,29.82,15,26.32,0,0.0,38033
38,34,101,34,33.66,28,27.72,31,30.69,8,7.92,38034
38,35,113,42,37.17,26,23.01,39,34.51,6,5.31,38035
38,36,78,25,32.05,19,24.36,29,37.18,5,6.41,38036
38,37,82,18,21.95,22,26.83,36,43.9,6,7.32,38037
38,38,60,24,40.0,17,28.33,12,20.0,7,11.67,38038
38,39,79,30,37.97,14,17.72,31,39.24,4,5.06,38039
38,40,51,25,49.02,10,19.61,11,21.57,5,9.8,38040
38,43,54,18,33.33,12,22.22,19,35.19,5,9.26,38043
38,44,58,21,36.21,8,13.79,26,44.83,3,5.17,38044
38,45,70,34,48.57,15,21.43,16,22.86,5,7.14,38045
41,25,22,11,50.0,4,18.18,6,27.27,1,4.55,41025
41,26,27,11,40.74,8,29.63,1,3.7,7,25.93,41026
41,27,16,7,43.75,4,25.0,3,18.75,2,12.5,41027
41,28,54,24,44.44,13,24.07,11,20.37,6,11.11,41028
41,29,26,10,38.46,5,19.23,6,23.08,5,19.23,41029
41,48,42,20,47.62,10,23.81,7,16.67,5,11.9,41048
45,1,103,38,36.89,19,18.45,29,28.16,17,16.5,45001
45,20,9,5,55.56,2,22.22,1,11.11,1,11.11,45020
