ward,precinct,total,Charles Smith (Obama),Charles Smith (Obama) Percent,Emma Mitts (Obama),Emma Mitts (Obama) Percent,Susan Lee (Obama),Susan Lee (Obama) Percent,Carmen Lonstein (Obama),Carmen Lonstein (Obama) Percent,La Shawn K. Ford (Obama),La Shawn K. Ford (Obama) Percent,Karen A. Yarbrough (Obama),Karen A. Yarbrough (Obama) Percent,Matt Fruth (Obama),Matt Fruth (Obama) Percent,Byron Brazier (Obama),Byron Brazier (Obama) Percent,precinct_id
2,18,809,81,10.01,83,10.26,84,10.38,80,9.89,81,10.01,83,10.26,80,9.89,79,9.77,02018
2,19,1009,103,10.21,104,10.31,101,10.01,96,9.51,106,10.51,106,10.51,94,9.32,99,9.81,02019
2,20,1861,199,10.69,192,10.32,188,10.1,180,9.67,186,9.99,185,9.94,173,9.3,189,10.16,02020
2,21,1433,157,10.96,156,10.89,147,10.26,136,9.49,136,9.49,149,10.4,128,8.93,142,9.91,02021
2,22,1438,145,10.08,144,10.01,144,10.01,142,9.87,144,10.01,147,10.22,137,9.53,146,10.15,02022
2,23,559,57,10.2,58,10.38,53,9.48,51,9.12,60,10.73,59,10.55,52,9.3,57,10.2,02023
2,24,469,46,9.81,50,10.66,46,9.81,43,9.17,50,10.66,47,10.02,45,9.59,48,10.23,02024
2,25,710,79,11.13,77,10.85,74,10.42,64,9.01,72,10.14,77,10.85,63,8.87,69,9.72,02025
2,26,814,86,10.57,85,10.44,82,10.07,77,9.46,84,10.32,86,10.57,77,9.46,85,10.44,02026
2,27,695,75,10.79,81,11.65,68,9.78,64,9.21,75,10.79,71,10.22,59,8.49,67,9.64,02027
2,28,346,33,9.54,37,10.69,39,11.27,34,9.83,35,10.12,37,10.69,31,8.96,33,9.54,02028
2,29,482,54,11.2,57,11.83,50,10.37,44,9.13,43,8.92,51,10.58,44,9.13,46,9.54,02029
2,30,700,68,9.71,69,9.86,73,10.43,67,9.57,71,10.14,77,11.0,66,9.43,72,10.29,02030
2,32,220,25,11.36,22,10.0,24,10.91,21,9.55,23,10.45,23,10.45,20,9.09,21,9.55,02032
2,33,345,39,11.3,37,10.72,33,9.57,31,8.99,41,11.88,34,9.86,32,9.28,31,8.99,02033
2,34,884,100,11.31,96,10.86,89,10.07,87,9.84,88,9.95,85,9.62,80,9.05,86,9.73,02034
2,35,793,78,9.84,79,9.96,80,10.09,81,10.21,79,9.96,82,10.34,76,9.58,79,9.96,02035
2,36,1219,128,10.5,124,10.17,119,9.76,115,9.43,122,10.01,128,10.5,115,9.43,129,10.58,02036
2,37,798,79,9.9,82,10.28,81,10.15,78,9.77,79,9.9,83,10.4,79,9.9,80,10.03,02037
2,38,1361,136,9.99,140,10.29,138,10.14,137,10.07,137,10.07,140,10.29,134,9.85,129,9.48,02038
2,39,529,53,10.02,52,9.83,54,10.21,53,10.02,56,10.59,56,10.59,48,9.07,51,9.64,02039
2,40,1373,146,10.63,148,10.78,141,10.27,131,9.54,132,9.61,138,10.05,128,9.32,138,10.05,02040
2,41,345,37,10.72,37,10.72,33,9.57,30,8.7,37,10.72,36,10.43,30,8.7,34,9.86,02041
2,42,1006,112,11.13,109,10.83,99,9.84,96,9.54,97,9.64,100,9.94,95,9.44,98,9.74,02042
2,43,1149,122,10.62,117,10.18,117,10.18,112,9.75,118,10.27,119,10.36,108,9.4,116,10.1,02043
2,45,762,82,10.76,87,11.42,77,10.1,69,9.06,85,11.15,78,10.24,66,8.66,72,9.45,02045
2,47,1140,131,11.49,123,10.79,110,9.65,103,9.04,125,10.96,118,10.35,100,8.77,113,9.91,02047
2,48,799,85,10.64,97,12.14,74,9.26,73,9.14,85,10.64,85,10.64,69,8.64,82,10.26,02048
2,49,667,66,9.9,68,10.19,69,10.34,68,10.19,69,10.34,71,10.64,63,9.45,64,9.6,02049
2,50,330,40,12.12,37,11.21,34,10.3,30,9.09,33,10.0,34,10.3,27,8.18,33,10.0,02050
2,51,519,54,10.4,59,11.37,51,9.83,49,9.44,55,10.6,52,10.02,48,9.25,53,10.21,02051
2,52,1069,119,11.13,116,10.85,105,9.82,98,9.17,116,10.85,111,10.38,99,9.26,106,9.92,02052
2,53,493,50,10.14,50,10.14,48,9.74,48,9.74,53,10.75,51,10.34,46,9.33,50,10.14,02053
2,54,359,35,9.75,36,10.03,37,10.31,37,10.31,36,10.03,37,10.31,35,9.75,34,9.47,02054
3,1,954,110,11.53,94,9.85,96,10.06,90,9.43,97,10.17,96,10.06,89,9.33,95,9.96,03001
3,2,1588,171,10.77,162,10.2,161,10.14,151,9.51,161,10.14,167,10.52,144,9.07,164,10.33,03002
3,3,840,87,10.36,84,10.0,86,10.24,80,9.52,83,9.88,88,10.48,81,9.64,87,10.36,03003
3,4,730,77,10.55,75,10.27,73,10.0,70,9.59,74,10.14,76,10.41,70,9.59,76,10.41,03004
3,6,106,13,12.26,11,10.38,10,9.43,11,10.38,11,10.38,11,10.38,8,7.55,11,10.38,03006
3,8,636,70,11.01,66,10.38,65,10.22,58,9.12,66,10.38,68,10.69,58,9.12,66,10.38,03008
3,9,918,101,11.0,94,10.24,95,10.35,89,9.69,94,10.24,89,9.69,85,9.26,96,10.46,03009
3,10,253,27,10.67,26,10.28,26,10.28,24,9.49,26,10.28,26,10.28,25,9.88,25,9.88,03010
3,11,926,96,10.37,93,10.04,92,9.94,89,9.61,94,10.15,96,10.37,88,9.5,97,10.48,03011
3,12,655,69,10.53,69,10.53,66,10.08,62,9.47,71,10.84,64,9.77,60,9.16,68,10.38,03012
3,14,876,99,11.3,91,10.39,88,10.05,81,9.25,85,9.7,87,9.93,83,9.47,86,9.82,03014
3,15,993,109,10.98,103,10.37,100,10.07,94,9.47,100,10.07,96,9.67,95,9.57,112,11.28,03015
3,16,754,81,10.74,80,10.61,72,9.55,71,9.42,80,10.61,80,10.61,67,8.89,80,10.61,03016
3,17,338,36,10.65,34,10.06,36,10.65,32,9.47,34,10.06,34,10.06,31,9.17,34,10.06,03017
3,18,477,51,10.69,47,9.85,50,10.48,45,9.43,47,9.85,46,9.64,47,9.85,47,9.85,03018
3,20,612,65,10.62,65,10.62,58,9.48,58,9.48,61,9.97,65,10.62,56,9.15,64,10.46,03020
3,21,223,26,11.66,23,10.31,22,9.87,19,8.52,22,9.87,24,10.76,22,9.87,24,10.76,03021
3,22,443,48,10.84,48,10.84,44,9.93,42,9.48,46,10.38,45,10.16,39,8.8,49,11.06,03022
3,23,651,69,10.6,65,9.98,66,10.14,63,9.68,65,9.98,65,9.98,61,9.37,65,9.98,03023
3,24,1033,114,11.04,106,10.26,109,10.55,93,9.0,102,9.87,106,10.26,93,9.0,111,10.75,03024
3,25,459,58,12.64,46,10.02,45,9.8,40,8.71,41,8.93,48,10.46,42,9.15,47,10.24,03025
3,26,174,19,10.92,17,9.77,16,9.2,17,9.77,17,9.77,17,9.77,16,9.2,20,11.49,03026
3,27,782,83,10.61,81,10.36,83,10.61,77,9.85,77,9.85,80,10.23,72,9.21,80,10.23,03027
3,28,985,98,9.95,101,10.25,99,10.05,98,9.95,103,10.46,104,10.56,94,9.54,96,9.75,03028
3,29,918,98,10.68,96,10.46,90,9.8,88,9.59,89,9.69,95,10.35,82,8.93,93,10.13,03029
3,31,1511,163,10.79,164,10.85,151,9.99,135,8.93,153,10.13,157,10.39,134,8.87,162,10.72,03031
3,32,628,65,10.35,62,9.87,61,9.71,59,9.39,64,10.19,67,10.67,59,9.39,69,10.99,03032
3,33,973,103,10.59,109,11.2,100,10.28,88,9.04,105,10.79,99,10.17,85,8.74,97,9.97,03033
3,35,871,94,10.79,91,10.45,86,9.87,86,9.87,88,10.1,92,10.56,82,9.41,85,9.76,03035
3,36,183,20,10.93,20,10.93,19,10.38,16,8.74,19,10.38,17,9.29,16,8.74,19,10.38,03036
3,37,351,36,10.26,39,11.11,39,11.11,32,9.12,37,10.54,40,11.4,33,9.4,34,9.69,03037
3,39,2022,212,10.48,215,10.63,206,10.19,192,9.5,195,9.64,204,10.09,190,9.4,211,10.44,03039
3,40,983,102,10.38,105,10.68,100,10.17,90,9.16,103,10.48,103,10.48,90,9.16,102,10.38,03040
3,42,701,72,10.27,72,10.27,68,9.7,63,8.99,76,10.84,73,10.41,66,9.42,73,10.41,03042
3,43,282,33,11.7,32,11.35,32,11.35,27,9.57,28,9.93,28,9.93,23,8.16,28,9.93,03043
3,44,136,14,10.29,14,10.29,15,11.03,14,10.29,13,9.56,13,9.56,13,9.56,14,10.29,03044
3,45,1264,132,10.44,131,10.36,126,9.97,117,9.26,127,10.05,129,10.21,122,9.65,132,10.44,03045
3,46,370,41,11.08,41,11.08,36,9.73,33,8.92,39,10.54,39,10.54,33,8.92,36,9.73,03046
3,47,451,50,11.09,45,9.98,48,10.64,43,9.53,45,9.98,42,9.31,44,9.76,44,9.76,03047
3,48,348,42,12.07,37,10.63,32,9.2,33,9.48,37,10.63,37,10.63,31,8.91,36,10.34,03048
3,49,355,37,10.42,36,10.14,36,10.14,33,9.3,38,10.7,38,10.7,34,9.58,37,10.42,03049
3,50,369,43,11.65,38,10.3,38,10.3,34,9.21,34,9.21,35,9.49,35,9.49,38,10.3,03050
4,4,1125,124,11.02,123,10.93,113,10.04,98,8.71,116,10.31,117,10.4,104,9.24,119,10.58,04004
4,5,1514,159,10.5,159,10.5,150,9.91,145,9.58,156,10.3,161,10.63,141,9.31,155,10.24,04005
4,6,699,69,9.87,71,10.16,70,10.01,67,9.59,75,10.73,75,10.73,65,9.3,72,10.3,04006
4,7,1471,160,10.88,151,10.27,139,9.45,139,9.45,155,10.54,159,10.81,135,9.18,152,10.33,04007
4,10,1220,125,10.25,126,10.33,120,9.84,114,9.34,128,10.49,126,10.33,114,9.34,129,10.57,04010
4,11,754,87,11.54,81,10.74,78,10.34,68,9.02,75,9.95,77,10.21,66,8.75,78,10.34,04011
4,14,589,68,11.54,58,9.85,59,10.02,55,9.34,58,9.85,60,10.19,54,9.17,62,10.53,04014
4,15,842,94,11.16,83,9.86,85,10.1,80,9.5,83,9.86,86,10.21,79,9.38,88,10.45,04015
4,25,1805,191,10.58,185,10.25,181,10.03,171,9.47,185,10.25,185,10.25,171,9.47,187,10.36,04025
4,27,1160,124,10.69,119,10.26,120,10.34,109,9.4,121,10.43,117,10.09,108,9.31,120,10.34,04027
4,30,1079,115,10.66,110,10.19,108,10.01,105,9.73,108,10.01,114,10.57,99,9.18,114,10.57,04030
4,35,645,71,11.01,64,9.92,65,10.08,58,8.99,68,10.54,70,10.85,61,9.46,69,10.7,04035
4,36,840,86,10.24,86,10.24,84,10.0,80,9.52,87,10.36,87,10.36,78,9.29,86,10.24,04036
4,42,1491,152,10.19,148,9.93,151,10.13,143,9.59,154,10.33,164,11.0,139,9.32,154,10.33,04042
11,14,433,42,9.7,42,9.7,47,10.85,48,11.09,48,11.09,41,9.47,40,9.24,37,8.55,11014
11,27,409,38,9.29,42,10.27,45,11.0,46,11.25,43,10.51,41,10.02,38,9.29,36,8.8,11027
11,34,378,42,11.11,37,9.79,36,9.52,39,10.32,41,10.85,40,10.58,36,9.52,33,8.73,11034
11,36,114,14,12.28,12,10.53,11,9.65,11,9.65,11,9.65,12,10.53,11,9.65,10,8.77,11036
11,46,399,44,11.03,40,10.03,39,9.77,48,12.03,49,12.28,39,9.77,31,7.77,36,9.02,11046
12,6,351,42,11.97,46,13.11,39,11.11,36,10.26,31,8.83,31,8.83,30,8.55,34,9.69,12006
12,18,570,62,10.88,66,11.58,70,12.28,59,10.35,56,9.82,57,10.0,48,8.42,44,7.72,12018
15,1,934,103,11.03,99,10.6,95,10.17,89,9.53,90,9.64,94,10.06,90,9.64,89,9.53,15001
15,2,362,42,11.6,38,10.5,37,10.22,35,9.67,36,9.94,36,9.94,32,8.84,34,9.39,15002
15,3,353,42,11.9,41,11.61,37,10.48,32,9.07,35,9.92,33,9.35,31,8.78,33,9.35,15003
15,4,873,93,10.65,99,11.34,88,10.08,86,9.85,82,9.39,89,10.19,79,9.05,85,9.74,15004
15,5,260,30,11.54,28,10.77,27,10.38,23,8.85,26,10.0,25,9.62,24,9.23,27,10.38,15005
15,7,509,58,11.39,53,10.41,52,10.22,51,10.02,48,9.43,51,10.02,49,9.63,48,9.43,15007
15,9,364,45,12.36,39,10.71,32,8.79,32,8.79,38,10.44,40,10.99,32,8.79,36,9.89,15009
15,11,471,53,11.25,53,11.25,47,9.98,46,9.77,47,9.98,48,10.19,41,8.7,51,10.83,15011
15,12,294,34,11.56,32,10.88,29,9.86,27,9.18,31,10.54,28,9.52,26,8.84,32,10.88,15012
15,13,391,40,10.23,36,9.21,40,10.23,37,9.46,43,11.0,44,11.25,36,9.21,40,10.23,15013
15,14,425,43,10.12,45,10.59,47,11.06,41,9.65,39,9.18,45,10.59,38,8.94,42,9.88,15014
15,15,223,21,9.42,23,10.31,23,10.31,23,10.31,22,9.87,22,9.87,21,9.42,25,11.21,15015
15,17,533,59,11.07,59,11.07,53,9.94,48,9.01,52,9.76,54,10.13,51,9.57,52,9.76,15017
15,18,896,100,11.16,93,10.38,95,10.6,82,9.15,94,10.49,90,10.04,83,9.26,88,9.82,15018
15,19,504,54,10.71,54,10.71,53,10.52,47,9.33,49,9.72,53,10.52,43,8.53,53,10.52,15019
15,20,333,36,10.81,37,11.11,36,10.81,30,9.01,32,9.61,33,9.91,33,9.91,38,11.41,15020
15,21,526,62,11.79,61,11.6,50,9.51,46,8.75,53,10.08,52,9.89,49,9.32,52,9.89,15021
15,22,742,84,11.32,75,10.11,77,10.38,66,8.89,74,9.97,77,10.38,69,9.3,76,10.24,15022
15,23,788,80,10.15,82,10.41,78,9.9,76,9.64,79,10.03,83,10.53,74,9.39,81,10.28,15023
15,24,367,44,11.99,46,12.53,37,10.08,32,8.72,37,10.08,35,9.54,31,8.45,36,9.81,15024
15,25,302,35,11.59,30,9.93,34,11.26,27,8.94,30,9.93,31,10.26,26,8.61,31,10.26,15025
15,26,851,97,11.4,90,10.58,85,9.99,85,9.99,82,9.64,84,9.87,78,9.17,84,9.87,15026
15,27,368,45,12.23,37,10.05,37,10.05,31,8.42,40,10.87,35,9.51,33,8.97,40,10.87,15027
15,29,129,13,10.08,14,10.85,12,9.3,12,9.3,12,9.3,15,11.63,12,9.3,13,10.08,15029
15,30,320,35,10.94,33,10.31,33,10.31,33,10.31,32,10.0,32,10.0,28,8.75,32,10.0,15030
15,31,758,85,11.21,83,10.95,76,10.03,70,9.23,78,10.29,81,10.69,68,8.97,74,9.76,15031
15,32,274,27,9.85,29,10.58,29,10.58,25,9.12,28,10.22,28,10.22,28,10.22,26,9.49,15032
15,33,333,34,10.21,34,10.21,33,9.91,31,9.31,37,11.11,33,9.91,30,9.01,35,10.51,15033
15,34,415,46,11.08,41,9.88,40,9.64,41,9.88,44,10.6,41,9.88,38,9.16,42,10.12,15034
15,35,490,53,10.82,48,9.8,50,10.2,47,9.59,46,9.39,52,10.61,45,9.18,52,10.61,15035
15,36,603,63,10.45,63,10.45,61,10.12,60,9.95,62,10.28,60,9.95,56,9.29,59,9.78,15036
15,37,376,40,10.64,47,12.5,41,10.9,34,9.04,38,10.11,35,9.31,35,9.31,39,10.37,15037
15,38,615,69,11.22,59,9.59,67,10.89,58,9.43,63,10.24,63,10.24,54,8.78,64,10.41,15038
15,39,264,30,11.36,27,10.23,26,9.85,26,9.85,25,9.47,26,9.85,25,9.47,24,9.09,15039
15,40,243,26,10.7,24,9.88,26,10.7,23,9.47,24,9.88,25,10.29,20,8.23,25,10.29,15040
15,42,832,95,11.42,93,11.18,81,9.74,79,9.5,79,9.5,83,9.98,77,9.25,82,9.86,15042
16,1,212,25,11.79,20,9.43,21,9.91,19,8.96,20,9.43,20,9.43,20,9.43,26,12.26,16001
16,2,341,37,10.85,38,11.14,35,10.26,33,9.68,35,10.26,35,10.26,30,8.8,33,9.68,16002
16,3,571,59,10.33,57,9.98,57,9.98,54,9.46,56,9.81,60,10.51,54,9.46,59,10.33,16003
16,4,200,22,11.0,22,11.0,24,12.0,19,9.5,20,10.0,23,11.5,17,8.5,19,9.5,16004
16,5,407,46,11.3,41,10.07,42,10.32,41,10.07,41,10.07,38,9.34,37,9.09,43,10.57,16005
16,6,181,20,11.05,19,10.5,17,9.39,18,9.94,17,9.39,22,12.15,15,8.29,17,9.39,16006
16,7,450,48,10.67,48,10.67,45,10.0,42,9.33,48,10.67,45,10.0,42,9.33,45,10.0,16007
16,8,339,39,11.5,37,10.91,33,9.73,32,9.44,37,10.91,35,10.32,29,8.55,31,9.14,16008
16,10,634,68,10.73,65,10.25,65,10.25,57,8.99,64,10.09,70,11.04,56,8.83,65,10.25,16010
16,11,395,44,11.14,39,9.87,41,10.38,37,9.37,39,9.87,39,9.87,36,9.11,40,10.13,16011
16,12,646,73,11.3,67,10.37,69,10.68,57,8.82,62,9.6,61,9.44,58,8.98,72,11.15,16012
16,13,30,3,10.0,2,6.67,2,6.67,4,13.33,4,13.33,2,6.67,4,13.33,2,6.67,16013
16,14,370,45,12.16,38,10.27,38,10.27,33,8.92,32,8.65,39,10.54,31,8.38,40,10.81,16014
16,15,514,56,10.89,50,9.73,52,10.12,48,9.34,51,9.92,54,10.51,47,9.14,56,10.89,16015
16,16,1001,111,11.09,103,10.29,102,10.19,94,9.39,99,9.89,101,10.09,92,9.19,102,10.19,16016
16,18,552,58,10.51,57,10.33,58,10.51,54,9.78,56,10.14,55,9.96,52,9.42,54,9.78,16018
16,19,606,63,10.4,61,10.07,61,10.07,56,9.24,60,9.9,63,10.4,60,9.9,61,10.07,16019
16,20,811,85,10.48,87,10.73,79,9.74,77,9.49,83,10.23,85,10.48,75,9.25,83,10.23,16020
16,25,360,45,12.5,42,11.67,34,9.44,33,9.17,35,9.72,35,9.72,31,8.61,36,10.0,16025
16,26,409,49,11.98,46,11.25,39,9.54,33,8.07,43,10.51,41,10.02,32,7.82,47,11.49,16026
16,27,922,102,11.06,100,10.85,93,10.09,82,8.89,95,10.3,92,9.98,85,9.22,96,10.41,16027
16,30,421,44,10.45,46,10.93,42,9.98,41,9.74,41,9.74,44,10.45,39,9.26,43,10.21,16030
16,31,726,78,10.74,73,10.06,72,9.92,70,9.64,72,9.92,76,10.47,69,9.5,71,9.78,16031
16,33,356,42,11.8,35,9.83,36,10.11,33,9.27,34,9.55,38,10.67,30,8.43,36,10.11,16033
16,34,317,34,10.73,31,9.78,33,10.41,31,9.78,36,11.36,32,10.09,28,8.83,32,10.09,16034
16,36,912,93,10.2,91,9.98,90,9.87,89,9.76,94,10.31,92,10.09,89,9.76,93,10.2,16036
16,38,430,48,11.16,45,10.47,44,10.23,41,9.53,45,10.47,39,9.07,40,9.3,45,10.47,16038
16,40,516,56,10.85,57,11.05,54,10.47,48,9.3,51,9.88,53,10.27,50,9.69,49,9.5,16040
17,1,678,77,11.36,70,10.32,66,9.73,66,9.73,66,9.73,69,10.18,63,9.29,64,9.44,17001
17,8,169,22,13.02,17,10.06,16,9.47,16,9.47,19,11.24,17,10.06,14,8.28,17,10.06,17008
17,14,511,57,11.15,52,10.18,49,9.59,49,9.59,54,10.57,51,9.98,47,9.2,53,10.37,17014
17,19,276,32,11.59,27,9.78,27,9.78,26,9.42,26,9.42,28,10.14,27,9.78,28,10.14,17019
17,31,737,79,10.72,75,10.18,76,10.31,71,9.63,74,10.04,78,10.58,66,8.96,77,10.45,17031
17,34,521,56,10.75,54,10.36,50,9.6,51,9.79,55,10.56,52,9.98,47,9.02,55,10.56,17034
17,36,373,39,10.46,38,10.19,38,10.19,35,9.38,40,10.72,35,9.38,34,9.12,41,10.99,17036
17,37,814,92,11.3,86,10.57,81,9.95,75,9.21,83,10.2,81,9.95,74,9.09,86,10.57,17037
17,39,507,62,12.23,51,10.06,53,10.45,43,8.48,48,9.47,55,10.85,45,8.88,53,10.45,17039
17,41,416,46,11.06,42,10.1,40,9.62,43,10.34,42,10.1,43,10.34,39,9.38,41,9.86,17041
17,42,454,53,11.67,46,10.13,47,10.35,41,9.03,47,10.35,47,10.35,39,8.59,44,9.69,17042
17,46,609,66,10.84,67,11.0,59,9.69,59,9.69,62,10.18,61,10.02,56,9.2,61,10.02,17046
20,15,155,16,10.32,15,9.68,21,13.55,16,10.32,13,8.39,15,9.68,16,10.32,16,10.32,20015
20,19,500,59,11.8,58,11.6,51,10.2,46,9.2,52,10.4,47,9.4,45,9.0,51,10.2,20019
20,27,582,62,10.65,55,9.45,58,9.97,56,9.62,57,9.79,60,10.31,55,9.45,61,10.48,20027
20,31,700,75,10.71,74,10.57,73,10.43,64,9.14,72,10.29,69,9.86,65,9.29,70,10.0,20031
20,39,337,38,11.28,35,10.39,35,10.39,31,9.2,36,10.68,33,9.79,28,8.31,33,9.79,20039
20,40,771,90,11.67,76,9.86,79,10.25,73,9.47,80,10.38,76,9.86,71,9.21,72,9.34,20040
20,41,35,3,8.57,3,8.57,3,8.57,3,8.57,4,11.43,4,11.43,4,11.43,4,11.43,20041
20,42,326,35,10.74,36,11.04,35,10.74,31,9.51,30,9.2,32,9.82,29,8.9,31,9.51,20042
20,43,52,5,9.62,5,9.62,5,9.62,5,9.62,6,11.54,6,11.54,5,9.62,5,9.62,20043
20,45,221,23,10.41,25,11.31,22,9.95,22,9.95,21,9.5,21,9.5,20,9.05,23,10.41,20045
22,7,810,90,11.11,88,10.86,79,9.75,75,9.26,83,10.25,86,10.62,74,9.14,78,9.63,22007
22,14,331,35,10.57,36,10.88,38,11.48,35,10.57,30,9.06,35,10.57,28,8.46,29,8.76,22014
22,19,384,43,11.2,41,10.68,38,9.9,37,9.64,43,11.2,39,10.16,32,8.33,36,9.38,22019
22,21,835,87,10.42,91,10.9,82,9.82,79,9.46,89,10.66,81,9.7,75,8.98,84,10.06,22021
24,1,921,100,10.86,102,11.07,91,9.88,81,8.79,105,11.4,97,10.53,81,8.79,90,9.77,24001
24,2,439,47,10.71,51,11.62,43,9.79,39,8.88,46,10.48,46,10.48,38,8.66,45,10.25,24002
24,3,571,62,10.86,62,10.86,52,9.11,54,9.46,62,10.86,64,11.21,51,8.93,56,9.81,24003
24,4,579,64,11.05,63,10.88,60,10.36,54,9.33,63,10.88,57,9.84,53,9.15,57,9.84,24004
24,5,590,66,11.19,66,11.19,54,9.15,54,9.15,66,11.19,67,11.36,50,8.47,54,9.15,24005
24,6,693,79,11.4,79,11.4,69,9.96,59,8.51,76,10.97,70,10.1,62,8.95,74,10.68,24006
24,7,648,66,10.19,72,11.11,59,9.1,58,8.95,78,12.04,68,10.49,59,9.1,66,10.19,24007
24,8,589,63,10.7,67,11.38,61,10.36,53,9.0,65,11.04,64,10.87,50,8.49,57,9.68,24008
24,9,566,62,10.95,59,10.42,59,10.42,50,8.83,60,10.6,60,10.6,50,8.83,54,9.54,24009
24,10,548,63,11.5,58,10.58,55,10.04,52,9.49,55,10.04,55,10.04,52,9.49,55,10.04,24010
24,11,835,89,10.66,95,11.38,86,10.3,71,8.5,94,11.26,87,10.42,69,8.26,77,9.22,24011
24,12,558,59,10.57,58,10.39,58,10.39,54,9.68,59,10.57,62,11.11,50,8.96,54,9.68,24012
24,13,482,57,11.83,52,10.79,50,10.37,42,8.71,50,10.37,51,10.58,42,8.71,48,9.96,24013
24,14,692,76,10.98,78,11.27,69,9.97,61,8.82,79,11.42,75,10.84,60,8.67,63,9.1,24014
24,15,464,52,11.21,53,11.42,45,9.7,40,8.62,49,10.56,50,10.78,42,9.05,45,9.7,24015
24,16,387,34,8.79,54,13.95,38,9.82,29,7.49,58,14.99,39,10.08,31,8.01,33,8.53,24016
24,17,427,47,11.01,47,11.01,40,9.37,39,9.13,46,10.77,48,11.24,38,8.9,43,10.07,24017
24,18,841,97,11.53,96,11.41,82,9.75,76,9.04,91,10.82,87,10.34,74,8.8,77,9.16,24018
24,19,1342,143,10.66,145,10.8,128,9.54,121,9.02,152,11.33,139,10.36,120,8.94,136,10.13,24019
24,20,552,62,11.23,61,11.05,53,9.6,51,9.24,62,11.23,57,10.33,49,8.88,54,9.78,24020
24,21,360,42,11.67,41,11.39,36,10.0,33,9.17,40,11.11,34,9.44,32,8.89,34,9.44,24021
24,22,1164,124,10.65,131,11.25,117,10.05,108,9.28,127,10.91,115,9.88,104,8.93,114,9.79,24022
24,23,809,85,10.51,91,11.25,84,10.38,70,8.65,86,10.63,84,10.38,69,8.53,82,10.14,24023
24,24,1051,114,10.85,125,11.89,101,9.61,96,9.13,113,10.75,113,10.75,92,8.75,98,9.32,24024
24,25,519,58,11.18,62,11.95,51,9.83,45,8.67,61,11.75,51,9.83,43,8.29,46,8.86,24025
24,26,578,66,11.42,61,10.55,55,9.52,51,8.82,65,11.25,62,10.73,47,8.13,58,10.03,24026
24,27,927,103,11.11,112,12.08,94,10.14,79,8.52,95,10.25,96,10.36,78,8.41,95,10.25,24027
24,28,931,101,10.85,97,10.42,89,9.56,86,9.24,95,10.2,95,10.2,89,9.56,91,9.77,24028
