ward,precinct,total,Michael A. Forti,Michael A. Forti Percent,Jessica A. O'Brien,Jessica A. O'Brien Percent,James A. Wright,James A. Wright Percent,precinct_id
2,26,95,18,18.95,36,37.89,41,43.16,02026
2,27,89,29,32.58,20,22.47,40,44.94,02027
2,28,45,13,28.89,17,37.78,15,33.33,02028
2,29,50,14,28.0,22,44.0,14,28.0,02029
2,30,69,19,27.54,32,46.38,18,26.09,02030
2,31,113,29,25.66,27,23.89,57,50.44,02031
2,32,31,7,22.58,12,38.71,12,38.71,02032
2,33,36,10,27.78,10,27.78,16,44.44,02033
2,34,114,31,27.19,35,30.7,48,42.11,02034
2,35,77,33,42.86,30,38.96,14,18.18,02035
2,36,137,46,33.58,56,40.88,35,25.55,02036
2,37,75,27,36.0,35,46.67,13,17.33,02037
2,38,140,42,30.0,66,47.14,32,22.86,02038
2,39,78,27,34.62,32,41.03,19,24.36,02039
2,40,149,34,22.82,77,51.68,38,25.5,02040
2,41,42,17,40.48,13,30.95,12,28.57,02041
2,42,79,26,32.91,26,32.91,27,34.18,02042
2,43,120,47,39.17,43,35.83,30,25.0,02043
2,44,84,12,14.29,29,34.52,43,51.19,02044
2,45,101,29,28.71,31,30.69,41,40.59,02045
2,46,165,38,23.03,44,26.67,83,50.3,02046
2,47,143,36,25.17,48,33.57,59,41.26,02047
2,48,97,24,24.74,23,23.71,50,51.55,02048
2,49,74,17,22.97,42,56.76,15,20.27,02049
2,50,43,11,25.58,20,46.51,12,27.91,02050
2,51,57,9,15.79,19,33.33,29,50.88,02051
2,52,137,34,24.82,45,32.85,58,42.34,02052
2,53,55,15,27.27,25,45.45,15,27.27,02053
2,54,37,11,29.73,16,43.24,10,27.03,02054
3,1,107,18,16.82,23,21.5,66,61.68,03001
3,2,168,24,14.29,53,31.55,91,54.17,03002
3,3,84,20,23.81,30,35.71,34,40.48,03003
3,4,82,8,9.76,21,25.61,53,64.63,03004
3,5,108,21,19.44,25,23.15,62,57.41,03005
3,6,8,1,12.5,2,25.0,5,62.5,03006
3,7,150,34,22.67,38,25.33,78,52.0,03007
3,8,78,13,16.67,31,39.74,34,43.59,03008
3,9,96,15,15.63,35,36.46,46,47.92,03009
3,10,25,0,0.0,9,36.0,16,64.0,03010
3,11,99,14,14.14,24,24.24,61,61.62,03011
3,12,70,8,11.43,22,31.43,40,57.14,03012
3,13,31,7,22.58,23,74.19,1,3.23,03013
3,14,101,32,31.68,29,28.71,40,39.6,03014
3,15,89,17,19.1,26,29.21,46,51.69,03015
3,16,89,12,13.48,19,21.35,58,65.17,03016
3,17,39,5,12.82,11,28.21,23,58.97,03017
3,18,50,11,22.0,22,44.0,17,34.0,03018
3,19,14,6,42.86,6,42.86,2,14.29,03019
3,20,74,10,13.51,29,39.19,35,47.3,03020
3,21,27,2,7.41,15,55.56,10,37.04,03021
3,22,55,12,21.82,13,23.64,30,54.55,03022
3,23,81,14,17.28,27,33.33,40,49.38,03023
3,24,122,22,18.03,44,36.07,56,45.9,03024
3,25,62,12,19.35,23,37.1,27,43.55,03025
3,26,18,2,11.11,6,33.33,10,55.56,03026
3,27,89,14,15.73,29,32.58,46,51.69,03027
3,28,104,26,25.0,40,38.46,38,36.54,03028
3,29,98,17,17.35,33,33.67,48,48.98,03029
3,30,75,15,20.0,19,25.33,41,54.67,03030
3,31,172,26,15.12,51,29.65,95,55.23,03031
3,32,64,11,17.19,15,23.44,38,59.38,03032
3,33,122,19,15.57,37,30.33,66,54.1,03033
3,34,87,17,19.54,16,18.39,54,62.07,03034
3,35,85,14,16.47,21,24.71,50,58.82,03035
3,36,23,4,17.39,8,34.78,11,47.83,03036
3,37,37,7,18.92,16,43.24,14,37.84,03037
3,38,206,56,27.18,57,27.67,93,45.15,03038
3,39,203,47,23.15,44,21.67,112,55.17,03039
3,40,104,19,18.27,33,31.73,52,50.0,03040
3,41,99,32,32.32,34,34.34,33,33.33,03041
3,42,79,9,11.39,26,32.91,44,55.7,03042
3,43,35,11,31.43,18,51.43,6,17.14,03043
3,44,16,4,25.0,8,50.0,4,25.0,03044
3,45,134,30,22.39,46,34.33,58,43.28,03045
3,46,39,12,30.77,11,28.21,16,41.03,03046
3,47,53,12,22.64,17,32.08,24,45.28,03047
3,48,48,10,20.83,22,45.83,16,33.33,03048
3,49,46,14,30.43,18,39.13,14,30.43,03049
3,50,33,9,27.27,10,30.3,14,42.42,03050
4,1,163,54,33.13,47,28.83,62,38.04,04001
4,2,187,66,35.29,41,21.93,80,42.78,04002
4,3,146,43,29.45,28,19.18,75,51.37,04003
4,4,142,36,25.35,52,36.62,54,38.03,04004
4,5,159,38,23.9,40,25.16,81,50.94,04005
4,6,74,18,24.32,16,21.62,40,54.05,04006
4,7,176,51,28.98,45,25.57,80,45.45,04007
4,8,167,56,33.53,51,30.54,60,35.93,04008
4,9,281,67,23.84,65,23.13,149,53.02,04009
4,10,137,31,22.63,27,19.71,79,57.66,04010
4,11,100,33,33.0,33,33.0,34,34.0,04011
4,12,84,16,19.05,22,26.19,46,54.76,04012
4,13,107,43,40.19,24,22.43,40,37.38,04013
4,14,69,20,28.99,21,30.43,28,40.58,04014
4,15,104,27,25.96,15,14.42,62,59.62,04015
4,16,156,35,22.44,45,28.85,76,48.72,04016
4,17,135,30,22.22,48,35.56,57,42.22,04017
4,18,107,26,24.3,36,33.64,45,42.06,04018
4,19,120,25,20.83,37,30.83,58,48.33,04019
4,20,115,35,30.43,39,33.91,41,35.65,04020
4,21,154,60,38.96,35,22.73,59,38.31,04021
4,22,136,43,31.62,45,33.09,48,35.29,04022
4,23,96,29,30.21,36,37.5,31,32.29,04023
4,24,110,26,23.64,30,27.27,54,49.09,04024
4,25,173,44,25.43,37,21.39,92,53.18,04025
4,26,121,31,25.62,28,23.14,62,51.24,04026
4,27,125,39,31.2,38,30.4,48,38.4,04027
4,28,73,18,24.66,27,36.99,28,38.36,04028
4,29,121,41,33.88,50,41.32,30,24.79,04029
4,30,109,28,25.69,20,18.35,61,55.96,04030
4,31,60,18,30.0,30,50.0,12,20.0,04031
4,32,105,46,43.81,31,29.52,28,26.67,04032
4,33,126,33,26.19,28,22.22,65,51.59,04033
4,34,82,26,31.71,39,47.56,17,20.73,04034
4,35,85,26,30.59,26,30.59,33,38.82,04035
4,36,85,23,27.06,16,18.82,46,54.12,04036
4,37,0,0,0.0,0,0.0,0,0.0,04037
4,38,198,75,37.88,49,24.75,74,37.37,04038
4,39,84,30,35.71,18,21.43,36,42.86,04039
4,40,138,43,31.16,41,29.71,54,39.13,04040
4,41,41,13,31.71,23,56.1,5,12.2,04041
4,42,150,31,20.67,48,32.0,71,47.33,04042
4,43,70,24,34.29,27,38.57,19,27.14,04043
4,44,58,18,31.03,21,36.21,19,32.76,04044
4,45,252,96,38.1,52,20.63,104,41.27,04045
4,46,99,38,38.38,27,27.27,34,34.34,04046
4,47,121,51,42.15,36,29.75,34,28.1,04047
4,48,135,47,34.81,42,31.11,46,34.07,04048
4,49,106,30,28.3,27,25.47,49,46.23,04049
4,50,132,36,27.27,43,32.58,53,40.15,04050
4,51,164,46,28.05,45,27.44,73,44.51,04051
4,52,136,37,27.21,47,34.56,52,38.24,04052
5,1,134,25,18.66,40,29.85,69,51.49,05001
5,2,158,38,24.05,47,29.75,73,46.2,05002
5,3,54,29,53.7,14,25.93,11,20.37,05003
5,4,86,21,24.42,22,25.58,43,50.0,05004
5,5,94,29,30.85,32,34.04,33,35.11,05005
5,6,145,25,17.24,44,30.34,76,52.41,05006
5,7,154,27,17.53,48,31.17,79,51.3,05007
5,8,119,52,43.7,50,42.02,17,14.29,05008
5,9,105,23,21.9,20,19.05,62,59.05,05009
5,10,80,11,13.75,27,33.75,42,52.5,05010
5,11,240,63,26.25,95,39.58,82,34.17,05011
5,12,64,13,20.31,28,43.75,23,35.94,05012
5,13,120,23,19.17,37,30.83,60,50.0,05013
5,14,201,39,19.4,47,23.38,115,57.21,05014
5,15,80,17,21.25,27,33.75,36,45.0,05015
5,16,81,9,11.11,33,40.74,39,48.15,05016
5,17,119,22,18.49,41,34.45,56,47.06,05017
5,18,106,25,23.58,37,34.91,44,41.51,05018
5,19,61,17,27.87,16,26.23,28,45.9,05019
5,20,37,8,21.62,13,35.14,16,43.24,05020
5,21,154,27,17.53,47,30.52,80,51.95,05021
5,22,112,29,25.89,36,32.14,47,41.96,05022
5,23,71,21,29.58,21,29.58,29,40.85,05023
5,24,130,34,26.15,47,36.15,49,37.69,05024
5,25,89,19,21.35,27,30.34,43,48.31,05025
5,26,140,26,18.57,53,37.86,61,43.57,05026
5,27,96,39,40.63,41,42.71,16,16.67,05027
5,28,154,29,18.83,39,25.32,86,55.84,05028
5,29,111,16,14.41,31,27.93,64,57.66,05029
5,30,87,44,50.57,38,43.68,5,5.75,05030
5,31,91,21,23.08,25,27.47,45,49.45,05031
5,32,245,62,25.31,68,27.76,115,46.94,05032
5,33,107,25,23.36,39,36.45,43,40.19,05033
5,34,118,16,13.56,31,26.27,71,60.17,05034
5,35,142,45,31.69,62,43.66,35,24.65,05035
5,36,205,38,18.54,76,37.07,91,44.39,05036
5,37,240,76,31.67,116,48.33,48,20.0,05037
5,38,67,16,23.88,18,26.87,33,49.25,05038
5,39,117,31,26.5,24,20.51,62,52.99,05039
5,40,106,14,13.21,31,29.25,61,57.55,05040
5,41,135,55,40.74,70,51.85,10,7.41,05041
5,42,58,9,15.52,14,24.14,35,60.34,05042
5,43,132,27,20.45,37,28.03,68,51.52,05043
5,44,111,25,22.52,30,27.03,56,50.45,05044
5,45,97,20,20.62,38,39.18,39,40.21,05045
5,46,128,35,27.34,48,37.5,45,35.16,05046
5,47,88,24,27.27,22,25.0,42,47.73,05047
5,48,76,20,26.32,34,44.74,22,28.95,05048
6,1,197,21,10.66,58,29.44,118,59.9,06001
6,2,169,27,15.98,64,37.87,78,46.15,06002
6,3,160,35,21.88,65,40.63,60,37.5,06003
6,4,74,10,13.51,35,47.3,29,39.19,06004
6,5,129,17,13.18,82,63.57,30,23.26,06005
6,6,245,29,11.84,108,44.08,108,44.08,06006
6,7,168,35,20.83,63,37.5,70,41.67,06007
6,8,185,20,10.81,73,39.46,92,49.73,06008
6,9,138,29,21.01,44,31.88,65,47.1,06009
6,10,245,58,23.67,64,26.12,123,50.2,06010
6,11,99,12,12.12,58,58.59,29,29.29,06011
6,12,125,12,9.6,56,44.8,57,45.6,06012
6,13,98,24,24.49,31,31.63,43,43.88,06013
6,14,103,17,16.5,36,34.95,50,48.54,06014
6,15,66,9,13.64,26,39.39,31,46.97,06015
6,16,169,16,9.47,87,51.48,66,39.05,06016
6,17,169,27,15.98,61,36.09,81,47.93,06017
6,18,50,8,16.0,18,36.0,24,48.0,06018
6,19,134,21,15.67,59,44.03,54,40.3,06019
6,20,121,15,12.4,55,45.45,51,42.15,06020
6,21,170,21,12.35,63,37.06,86,50.59,06021
6,22,140,19,13.57,45,32.14,76,54.29,06022
6,23,119,24,20.17,49,41.18,46,38.66,06023
6,24,144,35,24.31,56,38.89,53,36.81,06024
6,25,88,10,11.36,43,48.86,35,39.77,06025
6,26,125,23,18.4,47,37.6,55,44.0,06026
6,27,189,39,20.63,56,29.63,94,49.74,06027
6,28,270,41,15.19,85,31.48,144,53.33,06028
6,29,176,31,17.61,58,32.95,87,49.43,06029
6,30,93,10,10.75,45,48.39,38,40.86,06030
6,31,167,22,13.17,67,40.12,78,46.71,06031
6,32,128,19,14.84,65,50.78,44,34.38,06032
6,33,145,23,15.86,58,40.0,64,44.14,06033
6,34,100,13,13.0,41,41.0,46,46.0,06034
6,35,130,18,13.85,57,43.85,55,42.31,06035
6,36,62,9,14.52,24,38.71,29,46.77,06036
6,37,178,24,13.48,67,37.64,87,48.88,06037
6,38,145,18,12.41,57,39.31,70,48.28,06038
6,39,75,14,18.67,27,36.0,34,45.33,06039
6,40,192,23,11.98,68,35.42,101,52.6,06040
6,41,157,20,12.74,53,33.76,84,53.5,06041
6,42,40,5,12.5,18,45.0,17,42.5,06042
6,43,142,25,17.61,59,41.55,58,40.85,06043
6,44,156,31,19.87,67,42.95,58,37.18,06044
6,45,204,32,15.69,90,44.12,82,40.2,06045
6,46,131,20,15.27,57,43.51,54,41.22,06046
6,47,146,20,13.7,47,32.19,79,54.11,06047
6,48,106,17,16.04,48,45.28,41,38.68,06048
6,49,147,21,14.29,66,44.9,60,40.82,06049
6,50,182,29,15.93,75,41.21,78,42.86,06050
6,51,133,20,15.04,58,43.61,55,41.35,06051
6,52,88,14,15.91,35,39.77,39,44.32,06052
6,53,123,12,9.76,56,45.53,55,44.72,06053
6,54,115,18,15.65,46,40.0,51,44.35,06054
6,55,96,16,16.67,40,41.67,40,41.67,06055
6,56,90,15,16.67,36,40.0,39,43.33,06056
6,57,131,18,13.74,56,42.75,57,43.51,06057
6,58,180,23,12.78,76,42.22,81,45.0,06058
6,59,125,21,16.8,41,32.8,63,50.4,06059
7,1,253,84,33.2,57,22.53,112,44.27,07001
7,2,135,40,29.63,27,20.0,68,50.37,07002
7,3,135,39,28.89,33,24.44,63,46.67,07003
7,4,75,12,16.0,26,34.67,37,49.33,07004
7,5,68,7,10.29,30,44.12,31,45.59,07005
7,6,80,21,26.25,21,26.25,38,47.5,07006
7,7,70,15,21.43,19,27.14,36,51.43,07007
7,8,24,2,8.33,11,45.83,11,45.83,07008
7,9,226,78,34.51,46,20.35,102,45.13,07009
7,10,135,38,28.15,33,24.44,64,47.41,07010
7,11,130,43,33.08,27,20.77,60,46.15,07011
7,12,130,38,29.23,36,27.69,56,43.08,07012
7,13,195,56,28.72,54,27.69,85,43.59,07013
7,14,131,33,25.19,38,29.01,60,45.8,07014
7,15,104,24,23.08,25,24.04,55,52.88,07015
7,16,120,37,30.83,36,30.0,47,39.17,07016
7,17,56,6,10.71,19,33.93,31,55.36,07017
7,18,151,37,24.5,55,36.42,59,39.07,07018
7,19,150,21,14.0,35,23.33,94,62.67,07019
7,20,29,10,34.48,10,34.48,9,31.03,07020
7,21,86,22,25.58,31,36.05,33,38.37,07021
7,22,61,9,14.75,16,26.23,36,59.02,07022
7,23,88,28,31.82,22,25.0,38,43.18,07023
7,24,208,71,34.13,48,23.08,89,42.79,07024
7,25,217,62,28.57,50,23.04,105,48.39,07025
7,26,127,34,26.77,27,21.26,66,51.97,07026
7,27,201,32,15.92,49,24.38,120,59.7,07027
7,28,94,23,24.47,30,31.91,41,43.62,07028
7,29,84,21,25.0,23,27.38,40,47.62,07029
7,30,132,33,25.0,27,20.45,72,54.55,07030
7,31,128,32,25.0,28,21.88,68,53.13,07031
7,32,65,17,26.15,20,30.77,28,43.08,07032
7,33,98,30,30.61,32,32.65,36,36.73,07033
7,34,37,6,16.22,15,40.54,16,43.24,07034
7,35,159,51,32.08,42,26.42,66,41.51,07035
7,36,108,36,33.33,41,37.96,31,28.7,07036
7,37,150,33,22.0,40,26.67,77,51.33,07037
7,38,172,37,21.51,50,29.07,85,49.42,07038
7,39,274,95,34.67,57,20.8,122,44.53,07039
7,40,139,44,31.65,52,37.41,43,30.94,07040
7,41,80,14,17.5,23,28.75,43,53.75,07041
7,42,140,27,19.29,52,37.14,61,43.57,07042
7,43,113,25,22.12,39,34.51,49,43.36,07043
7,44,169,41,24.26,53,31.36,75,44.38,07044
7,45,175,44,25.14,53,30.29,78,44.57,07045
7,46,75,15,20.0,25,33.33,35,46.67,07046
7,47,83,23,27.71,27,32.53,33,39.76,07047
7,48,96,25,26.04,36,37.5,35,36.46,07048
7,49,201,59,29.35,45,22.39,97,48.26,07049
8,1,144,49,34.03,26,18.06,69,47.92,08001
8,2,62,15,24.19,15,24.19,32,51.61,08002
8,3,198,53,26.77,34,17.17,111,56.06,08003
8,4,285,111,38.95,54,18.95,120,42.11,08004
8,5,307,54,17.59,55,17.92,198,64.5,08005
8,6,139,42,30.22,29,20.86,68,48.92,08006
8,7,106,39,36.79,23,21.7,44,41.51,08007
8,8,159,45,28.3,28,17.61,86,54.09,08008
8,9,172,32,18.6,39,22.67,101,58.72,08009
8,10,186,47,25.27,35,18.82,104,55.91,08010
8,11,117,42,35.9,29,24.79,46,39.32,08011
8,12,104,39,37.5,30,28.85,35,33.65,08012
8,13,76,11,14.47,22,28.95,43,56.58,08013
8,14,78,31,39.74,21,26.92,26,33.33,08014
8,15,105,29,27.62,32,30.48,44,41.9,08015
8,16,163,57,34.97,27,16.56,79,48.47,08016
8,17,154,45,29.22,42,27.27,67,43.51,08017
8,18,61,23,37.7,16,26.23,22,36.07,08018
8,19,180,37,20.56,46,25.56,97,53.89,08019
8,20,197,62,31.47,43,21.83,92,46.7,08020
8,21,112,49,43.75,21,18.75,42,37.5,08021
8,22,105,32,30.48,22,20.95,51,48.57,08022
8,23,105,37,35.24,22,20.95,46,43.81,08023
8,24,132,33,25.0,36,27.27,63,47.73,08024
8,25,121,57,47.11,21,17.36,43,35.54,08025
8,26,68,23,33.82,25,36.76,20,29.41,08026
8,27,153,23,15.03,49,32.03,81,52.94,08027
8,28,241,82,34.02,61,25.31,98,40.66,08028
8,29,118,55,46.61,25,21.19,38,32.2,08029
8,30,94,18,19.15,25,26.6,51,54.26,08030
8,31,85,26,30.59,21,24.71,38,44.71,08031
8,32,195,54,27.69,61,31.28,80,41.03,08032
8,33,159,34,21.38,48,30.19,77,48.43,08033
8,34,155,43,27.74,35,22.58,77,49.68,08034
8,35,167,48,28.74,36,21.56,83,49.7,08035
8,36,134,40,29.85,38,28.36,56,41.79,08036
8,37,134,47,35.07,41,30.6,46,34.33,08037
8,38,104,21,20.19,33,31.73,50,48.08,08038
8,39,139,39,28.06,36,25.9,64,46.04,08039
8,40,94,37,39.36,22,23.4,35,37.23,08040
8,41,96,27,28.13,18,18.75,51,53.13,08041
8,42,134,38,28.36,33,24.63,63,47.01,08042
8,43,61,19,31.15,19,31.15,23,37.7,08043
8,44,103,13,12.62,35,33.98,55,53.4,08044
8,45,84,32,38.1,23,27.38,29,34.52,08045
8,46,138,39,28.26,26,18.84,73,52.9,08046
8,47,147,38,25.85,59,40.14,50,34.01,08047
8,48,111,45,40.54,26,23.42,40,36.04,08048
8,49,165,64,38.79,39,23.64,62,37.58,08049
8,50,127,58,45.67,24,18.9,45,35.43,08050
8,51,162,59,36.42,33,20.37,70,43.21,08051
8,52,132,35,26.52,36,27.27,61,46.21,08052
8,53,137,30,21.9,41,29.93,66,48.18,08053
8,54,120,40,33.33,29,24.17,51,42.5,08054
8,55,77,32,41.56,15,19.48,30,38.96,08055
8,56,121,56,46.28,22,18.18,43,35.54,08056
8,57,126,36,28.57,30,23.81,60,47.62,08057
8,58,151,52,34.44,31,20.53,68,45.03,08058
8,59,70,35,50.0,11,15.71,24,34.29,08059
8,60,148,39,26.35,47,31.76,62,41.89,08060
8,61,100,21,21.0,27,27.0,52,52.0,08061
8,62,201,42,20.9,66,32.84,93,46.27,08062
8,63,157,48,30.57,34,21.66,75,47.77,08063
8,64,104,30,28.85,32,30.77,42,40.38,08064
9,1,145,25,17.24,36,24.83,84,57.93,09001
9,2,118,29,24.58,45,38.14,44,37.29,09002
9,3,43,7,16.28,16,37.21,20,46.51,09003
9,4,140,22,15.71,38,27.14,80,57.14,09004
9,5,132,26,19.7,48,36.36,58,43.94,09005
9,6,198,35,17.68,50,25.25,113,57.07,09006
9,7,126,19,15.08,45,35.71,62,49.21,09007
9,8,106,20,18.87,35,33.02,51,48.11,09008
9,9,179,40,22.35,51,28.49,88,49.16,09009
9,10,115,25,21.74,26,22.61,64,55.65,09010
9,11,78,18,23.08,28,35.9,32,41.03,09011
9,12,92,14,15.22,29,31.52,49,53.26,09012
9,13,202,60,29.7,56,27.72,86,42.57,09013
9,14,175,37,21.14,44,25.14,94,53.71,09014
9,15,107,28,26.17,40,37.38,39,36.45,09015
9,16,153,33,21.57,44,28.76,76,49.67,09016
9,17,81,19,23.46,27,33.33,35,43.21,09017
9,18,122,21,17.21,35,28.69,66,54.1,09018
9,19,141,40,28.37,40,28.37,61,43.26,09019
9,20,158,35,22.15,46,29.11,77,48.73,09020
9,21,144,30,20.83,49,34.03,65,45.14,09021
9,22,205,39,19.02,62,30.24,104,50.73,09022
9,23,94,24,25.53,28,29.79,42,44.68,09023
9,24,82,11,13.41,31,37.8,40,48.78,09024
9,25,83,19,22.89,41,49.4,23,27.71,09025
9,26,60,12,20.0,26,43.33,22,36.67,09026
9,27,97,16,16.49,40,41.24,41,42.27,09027
9,28,39,9,23.08,20,51.28,10,25.64,09028
9,29,70,15,21.43,22,31.43,33,47.14,09029
9,30,68,11,16.18,21,30.88,36,52.94,09030
9,31,102,27,26.47,25,24.51,50,49.02,09031
9,32,185,41,22.16,50,27.03,94,50.81,09032
9,33,75,8,10.67,29,38.67,38,50.67,09033
9,34,121,25,20.66,47,38.84,49,40.5,09034
9,35,262,67,25.57,75,28.63,120,45.8,09035
9,36,154,43,27.92,41,26.62,70,45.45,09036
9,37,96,26,27.08,42,43.75,28,29.17,09037
9,38,105,15,14.29,43,40.95,47,44.76,09038
9,39,207,37,17.87,65,31.4,105,50.72,09039
9,40,225,60,26.67,40,17.78,125,55.56,09040
9,41,130,20,15.38,40,30.77,70,53.85,09041
9,42,54,11,20.37,19,35.19,24,44.44,09042
9,43,55,15,27.27,15,27.27,25,45.45,09043
9,44,66,16,24.24,20,30.3,30,45.45,09044
9,45,213,51,23.94,62,29.11,100,46.95,09045
9,46,62,4,6.45,38,61.29,20,32.26,09046
9,47,163,33,20.25,48,29.45,82,50.31,09047
10,1,97,35,36.08,36,37.11,26,26.8,10001
10,2,40,11,27.5,26,65.0,3,7.5,10002
10,3,74,21,28.38,42,56.76,11,14.86,10003
10,4,50,11,22.0,26,52.0,13,26.0,10004
10,5,66,17,25.76,38,57.58,11,16.67,10005
10,6,115,30,26.09,38,33.04,47,40.87,10006
10,7,62,15,24.19,32,51.61,15,24.19,10007
10,8,52,18,34.62,31,59.62,3,5.77,10008
10,9,61,16,26.23,39,63.93,6,9.84,10009
10,10,58,18,31.03,30,51.72,10,17.24,10010
10,11,62,22,35.48,33,53.23,7,11.29,10011
10,12,48,14,29.17,29,60.42,5,10.42,10012
10,13,100,39,39.0,51,51.0,10,10.0,10013
10,14,61,20,32.79,32,52.46,9,14.75,10014
10,15,25,7,28.0,13,52.0,5,20.0,10015
10,16,57,14,24.56,37,64.91,6,10.53,10016
10,17,58,22,37.93,33,56.9,3,5.17,10017
10,18,32,17,53.13,10,31.25,5,15.63,10018
10,19,69,13,18.84,45,65.22,11,15.94,10019
10,20,48,9,18.75,30,62.5,9,18.75,10020
10,21,62,20,32.26,34,54.84,8,12.9,10021
10,22,53,9,16.98,25,47.17,19,35.85,10022
10,23,39,10,25.64,22,56.41,7,17.95,10023
10,24,59,15,25.42,33,55.93,11,18.64,10024
10,25,66,22,33.33,34,51.52,10,15.15,10025
10,26,40,12,30.0,23,57.5,5,12.5,10026
10,27,76,23,30.26,45,59.21,8,10.53,10027
10,28,87,37,42.53,25,28.74,25,28.74,10028
10,29,92,35,38.04,18,19.57,39,42.39,10029
10,30,52,12,23.08,22,42.31,18,34.62,10030
10,31,60,14,23.33,40,66.67,6,10.0,10031
10,32,53,14,26.42,29,54.72,10,18.87,10032
10,33,55,17,30.91,31,56.36,7,12.73,10033
10,34,49,12,24.49,31,63.27,6,12.24,10034
10,35,62,15,24.19,34,54.84,13,20.97,10035
10,36,71,18,25.35,30,42.25,23,32.39,10036
10,37,47,10,21.28,24,51.06,13,27.66,10037
10,38,66,19,28.79,39,59.09,8,12.12,10038
10,39,65,16,24.62,41,63.08,8,12.31,10039
10,40,61,14,22.95,32,52.46,15,24.59,10040
10,41,87,19,21.84,59,67.82,9,10.34,10041
