ward,precinct,total,Jamie Manning (Obama),Jamie Manning (Obama) Percent,Lorrie Jones (Obama),Lorrie Jones (Obama) Percent,Mike Jordan (Obama),Mike Jordan (Obama) Percent,Leslie Hairston (Obama),Leslie Hairston (Obama) Percent,William Davis (Obama),William Davis (Obama) Percent,Abraham Carreon (Obama),Abraham Carreon (Obama) Percent,Robin Kelly (Obama),Robin Kelly (Obama) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,precinct_id
7,22,607,58,9.56,61,10.05,57,9.39,57,9.39,58,9.56,46,7.58,57,9.39,58,9.56,45,7.41,62,10.21,07022
7,23,579,60,10.36,50,8.64,53,9.15,62,10.71,54,9.33,38,6.56,56,9.67,54,9.33,36,6.22,69,11.92,07023
7,24,1524,145,9.51,146,9.58,136,8.92,144,9.45,150,9.84,115,7.55,147,9.65,143,9.38,110,7.22,160,10.5,07024
7,25,1703,166,9.75,168,9.86,165,9.69,162,9.51,170,9.98,122,7.16,166,9.75,165,9.69,113,6.64,168,9.86,07025
7,26,1024,96,9.38,93,9.08,93,9.08,98,9.57,97,9.47,81,7.91,101,9.86,100,9.77,84,8.2,93,9.08,07026
7,27,1727,162,9.38,163,9.44,165,9.55,166,9.61,163,9.44,137,7.93,160,9.26,165,9.55,118,6.83,188,10.89,07027
7,28,907,89,9.81,87,9.59,87,9.59,90,9.92,84,9.26,71,7.83,81,8.93,88,9.7,69,7.61,85,9.37,07028
7,29,675,59,8.74,64,9.48,60,8.89,73,10.81,63,9.33,50,7.41,61,9.04,67,9.93,54,8.0,69,10.22,07029
7,30,1167,102,8.74,115,9.85,114,9.77,122,10.45,114,9.77,83,7.11,113,9.68,115,9.85,75,6.43,124,10.63,07030
7,31,1080,101,9.35,102,9.44,103,9.54,105,9.72,105,9.72,84,7.78,109,10.09,104,9.63,77,7.13,102,9.44,07031
7,32,491,47,9.57,47,9.57,45,9.16,48,9.78,46,9.37,39,7.94,48,9.78,47,9.57,38,7.74,42,8.55,07032
7,33,945,88,9.31,91,9.63,91,9.63,91,9.63,89,9.42,75,7.94,87,9.21,97,10.26,74,7.83,87,9.21,07033
7,34,348,34,9.77,35,10.06,35,10.06,34,9.77,35,10.06,25,7.18,35,10.06,31,8.91,25,7.18,28,8.05,07034
7,35,1198,110,9.18,113,9.43,110,9.18,120,10.02,112,9.35,89,7.43,116,9.68,110,9.18,94,7.85,118,9.85,07035
7,36,818,78,9.54,79,9.66,82,10.02,82,10.02,79,9.66,60,7.33,77,9.41,83,10.15,53,6.48,81,9.9,07036
7,37,1360,131,9.63,130,9.56,127,9.34,129,9.49,137,10.07,98,7.21,132,9.71,125,9.19,102,7.5,131,9.63,07037
7,38,1516,150,9.89,149,9.83,147,9.7,141,9.3,150,9.89,120,7.92,150,9.89,140,9.23,109,7.19,134,8.84,07038
7,39,2216,207,9.34,215,9.7,204,9.21,224,10.11,217,9.79,163,7.36,217,9.79,217,9.79,162,7.31,216,9.75,07039
7,40,1077,106,9.84,103,9.56,103,9.56,104,9.66,106,9.84,88,8.17,100,9.29,100,9.29,77,7.15,93,8.64,07040
7,41,779,72,9.24,71,9.11,76,9.76,76,9.76,76,9.76,67,8.6,77,9.88,72,9.24,54,6.93,69,8.86,07041
7,42,1332,120,9.01,132,9.91,119,8.93,139,10.44,130,9.76,100,7.51,128,9.61,126,9.46,96,7.21,135,10.14,07042
7,43,853,81,9.5,87,10.2,79,9.26,81,9.5,79,9.26,63,7.39,78,9.14,86,10.08,56,6.57,91,10.67,07043
7,44,1392,125,8.98,128,9.2,130,9.34,142,10.2,125,8.98,111,7.97,130,9.34,129,9.27,108,7.76,145,10.42,07044
7,45,1568,143,9.12,154,9.82,148,9.44,154,9.82,152,9.69,120,7.65,150,9.57,149,9.5,128,8.16,140,8.93,07045
7,46,551,54,9.8,52,9.44,47,8.53,51,9.26,56,10.16,42,7.62,51,9.26,49,8.89,39,7.08,63,11.43,07046
7,47,731,68,9.3,69,9.44,72,9.85,73,9.99,71,9.71,54,7.39,68,9.3,67,9.17,56,7.66,70,9.58,07047
7,48,851,81,9.52,85,9.99,75,8.81,88,10.34,80,9.4,65,7.64,86,10.11,80,9.4,59,6.93,86,10.11,07048
7,49,1838,170,9.25,183,9.96,165,8.98,184,10.01,180,9.79,137,7.45,182,9.9,171,9.3,128,6.96,194,10.55,07049
8,4,2348,223,9.5,233,9.92,222,9.45,239,10.18,229,9.75,174,7.41,229,9.75,240,10.22,163,6.94,206,8.77,08004
8,7,876,86,9.82,85,9.7,85,9.7,91,10.39,85,9.7,64,7.31,85,9.7,78,8.9,60,6.85,87,9.93,08007
8,15,833,80,9.6,77,9.24,81,9.72,83,9.96,83,9.96,58,6.96,80,9.6,81,9.72,55,6.6,84,10.08,08015
8,21,902,84,9.31,88,9.76,83,9.2,97,10.75,91,10.09,61,6.76,90,9.98,86,9.53,64,7.1,84,9.31,08021
8,25,858,78,9.09,85,9.91,77,8.97,85,9.91,83,9.67,61,7.11,82,9.56,82,9.56,62,7.23,94,10.96,08025
8,27,1438,140,9.74,141,9.81,138,9.6,140,9.74,142,9.87,111,7.72,138,9.6,136,9.46,115,8.0,122,8.48,08027
8,28,1863,175,9.39,183,9.82,170,9.13,201,10.79,183,9.82,140,7.51,178,9.55,179,9.61,133,7.14,174,9.34,08028
8,32,1519,145,9.55,148,9.74,140,9.22,147,9.68,146,9.61,104,6.85,155,10.2,145,9.55,109,7.18,150,9.87,08032
8,36,1037,94,9.06,102,9.84,98,9.45,104,10.03,99,9.55,82,7.91,105,10.13,100,9.64,70,6.75,96,9.26,08036
8,39,1211,120,9.91,121,9.99,115,9.5,119,9.83,120,9.91,96,7.93,118,9.74,115,9.5,87,7.18,112,9.25,08039
8,42,1280,117,9.14,127,9.92,123,9.61,125,9.77,123,9.61,96,7.5,122,9.53,123,9.61,95,7.42,128,10.0,08042
8,44,871,87,9.99,87,9.99,82,9.41,85,9.76,79,9.07,65,7.46,86,9.87,83,9.53,62,7.12,88,10.1,08044
8,46,1066,98,9.19,106,9.94,100,9.38,103,9.66,105,9.85,79,7.41,103,9.66,101,9.47,80,7.5,106,9.94,08046
8,57,901,86,9.54,85,9.43,83,9.21,99,10.99,88,9.77,60,6.66,90,9.99,88,9.77,65,7.21,86,9.54,08057
8,60,1164,113,9.71,111,9.54,109,9.36,129,11.08,104,8.93,87,7.47,112,9.62,104,8.93,83,7.13,119,10.22,08060
8,63,1353,128,9.46,133,9.83,126,9.31,142,10.5,130,9.61,96,7.1,132,9.76,131,9.68,107,7.91,112,8.28,08063
9,1,1312,123,9.38,127,9.68,120,9.15,133,10.14,133,10.14,95,7.24,125,9.53,132,10.06,103,7.85,119,9.07,09001
9,2,914,88,9.63,92,10.07,85,9.3,85,9.3,87,9.52,66,7.22,83,9.08,89,9.74,62,6.78,99,10.83,09002
9,3,193,20,10.36,15,7.77,20,10.36,19,9.84,20,10.36,12,6.22,16,8.29,19,9.84,14,7.25,23,11.92,09003
9,4,1110,109,9.82,105,9.46,106,9.55,105,9.46,120,10.81,72,6.49,103,9.28,113,10.18,86,7.75,104,9.37,09004
9,5,995,94,9.45,99,9.95,89,8.94,94,9.45,96,9.65,80,8.04,90,9.05,103,10.35,67,6.73,103,10.35,09005
9,6,1711,154,9.0,173,10.11,161,9.41,161,9.41,166,9.7,127,7.42,170,9.94,173,10.11,128,7.48,161,9.41,09006
9,7,932,98,10.52,86,9.23,84,9.01,87,9.33,96,10.3,69,7.4,84,9.01,97,10.41,54,5.79,101,10.84,09007
9,8,956,97,10.15,89,9.31,88,9.21,90,9.41,93,9.73,73,7.64,94,9.83,91,9.52,65,6.8,100,10.46,09008
9,9,1483,135,9.1,144,9.71,139,9.37,154,10.38,140,9.44,106,7.15,147,9.91,153,10.32,106,7.15,138,9.31,09009
9,10,849,80,9.42,86,10.13,81,9.54,78,9.19,82,9.66,66,7.77,82,9.66,92,10.84,56,6.6,80,9.42,09010
9,11,524,48,9.16,48,9.16,45,8.59,48,9.16,54,10.31,39,7.44,45,8.59,60,11.45,42,8.02,52,9.92,09011
9,12,814,81,9.95,76,9.34,77,9.46,77,9.46,83,10.2,60,7.37,73,8.97,85,10.44,60,7.37,71,8.72,09012
9,13,1730,163,9.42,173,10.0,165,9.54,164,9.48,166,9.6,123,7.11,162,9.36,174,10.06,132,7.63,170,9.83,09013
9,14,1433,144,10.05,140,9.77,138,9.63,134,9.35,134,9.35,110,7.68,141,9.84,149,10.4,94,6.56,137,9.56,09014
9,15,772,78,10.1,71,9.2,76,9.84,73,9.46,77,9.97,55,7.12,76,9.84,72,9.33,56,7.25,73,9.46,09015
9,16,1239,121,9.77,124,10.01,117,9.44,118,9.52,129,10.41,99,7.99,118,9.52,123,9.93,83,6.7,104,8.39,09016
9,17,610,64,10.49,55,9.02,57,9.34,55,9.02,60,9.84,43,7.05,59,9.67,60,9.84,42,6.89,65,10.66,09017
9,18,961,96,9.99,93,9.68,92,9.57,87,9.05,100,10.41,73,7.6,89,9.26,97,10.09,65,6.76,88,9.16,09018
9,19,1155,115,9.96,113,9.78,112,9.7,110,9.52,114,9.87,79,6.84,109,9.44,120,10.39,68,5.89,116,10.04,09019
9,20,1274,127,9.97,130,10.2,122,9.58,119,9.34,121,9.5,94,7.38,124,9.73,126,9.89,88,6.91,118,9.26,09020
9,21,1137,105,9.23,113,9.94,109,9.59,113,9.94,105,9.23,87,7.65,102,8.97,120,10.55,69,6.07,117,10.29,09021
9,22,1662,154,9.27,166,9.99,158,9.51,158,9.51,162,9.75,122,7.34,163,9.81,168,10.11,114,6.86,154,9.27,09022
9,23,778,73,9.38,72,9.25,76,9.77,74,9.51,76,9.77,58,7.46,68,8.74,79,10.15,51,6.56,82,10.54,09023
9,24,484,50,10.33,50,10.33,46,9.5,40,8.26,56,11.57,30,6.2,51,10.54,42,8.68,30,6.2,53,10.95,09024
9,25,614,58,9.45,57,9.28,56,9.12,61,9.93,54,8.79,49,7.98,58,9.45,61,9.93,51,8.31,49,7.98,09025
9,26,471,47,9.98,44,9.34,41,8.7,44,9.34,50,10.62,34,7.22,40,8.49,49,10.4,32,6.79,47,9.98,09026
9,27,742,79,10.65,75,10.11,72,9.7,71,9.57,69,9.3,58,7.82,74,9.97,80,10.78,49,6.6,61,8.22,09027
9,28,338,37,10.95,31,9.17,28,8.28,31,9.17,31,9.17,25,7.4,30,8.88,34,10.06,26,7.69,32,9.47,09028
9,29,561,57,10.16,58,10.34,56,9.98,51,9.09,59,10.52,38,6.77,52,9.27,57,10.16,37,6.6,53,9.45,09029
9,30,606,59,9.74,63,10.4,58,9.57,61,10.07,57,9.41,41,6.77,57,9.41,59,9.74,44,7.26,53,8.75,09030
9,31,882,83,9.41,83,9.41,88,9.98,85,9.64,88,9.98,65,7.37,81,9.18,88,9.98,70,7.94,79,8.96,09031
9,32,1609,158,9.82,161,10.01,154,9.57,150,9.32,155,9.63,132,8.2,158,9.82,165,10.25,110,6.84,146,9.07,09032
9,33,524,56,10.69,48,9.16,44,8.4,48,9.16,51,9.73,37,7.06,47,8.97,54,10.31,34,6.49,63,12.02,09033
9,34,908,95,10.46,84,9.25,82,9.03,91,10.02,91,10.02,68,7.49,86,9.47,93,10.24,53,5.84,89,9.8,09034
9,35,2575,244,9.48,255,9.9,252,9.79,244,9.48,255,9.9,195,7.57,251,9.75,255,9.9,197,7.65,228,8.85,09035
9,37,733,69,9.41,69,9.41,68,9.28,70,9.55,70,9.55,61,8.32,75,10.23,67,9.14,55,7.5,52,7.09,09037
9,38,779,75,9.63,77,9.88,74,9.5,72,9.24,72,9.24,57,7.32,74,9.5,81,10.4,53,6.8,87,11.17,09038
9,39,1747,170,9.73,170,9.73,165,9.44,163,9.33,177,10.13,134,7.67,171,9.79,175,10.02,141,8.07,153,8.76,09039
9,40,2042,204,9.99,199,9.75,194,9.5,194,9.5,201,9.84,171,8.37,194,9.5,206,10.09,150,7.35,165,8.08,09040
9,41,962,97,10.08,92,9.56,90,9.36,85,8.84,97,10.08,73,7.59,96,9.98,101,10.5,74,7.69,79,8.21,09041
9,42,449,43,9.58,45,10.02,41,9.13,43,9.58,42,9.35,36,8.02,41,9.13,41,9.13,33,7.35,43,9.58,09042
9,43,448,45,10.04,38,8.48,45,10.04,43,9.6,41,9.15,35,7.81,41,9.15,48,10.71,38,8.48,36,8.04,09043
9,44,509,51,10.02,50,9.82,43,8.45,49,9.63,49,9.63,39,7.66,47,9.23,57,11.2,35,6.88,50,9.82,09044
9,45,1679,158,9.41,168,10.01,159,9.47,160,9.53,166,9.89,119,7.09,160,9.53,164,9.77,120,7.15,164,9.77,09045
9,46,500,49,9.8,50,10.0,49,9.8,49,9.8,49,9.8,37,7.4,43,8.6,57,11.4,29,5.8,43,8.6,09046
10,1,714,71,9.94,72,10.08,61,8.54,68,9.52,61,8.54,48,6.72,70,9.8,66,9.24,52,7.28,74,10.36,10001
10,2,286,31,10.84,20,6.99,28,9.79,28,9.79,23,8.04,25,8.74,29,10.14,29,10.14,25,8.74,14,4.9,10002
10,3,494,49,9.92,45,9.11,43,8.7,49,9.92,39,7.89,44,8.91,54,10.93,46,9.31,41,8.3,32,6.48,10003
10,4,396,33,8.33,34,8.59,38,9.6,37,9.34,30,7.58,37,9.34,36,9.09,39,9.85,30,7.58,33,8.33,10004
10,5,427,40,9.37,44,10.3,34,7.96,41,9.6,36,8.43,38,8.9,43,10.07,43,10.07,33,7.73,30,7.03,10005
10,6,975,93,9.54,97,9.95,89,9.13,93,9.54,94,9.64,78,8.0,94,9.64,92,9.44,69,7.08,98,10.05,10006
10,7,468,45,9.62,45,9.62,38,8.12,44,9.4,43,9.19,38,8.12,44,9.4,43,9.19,38,8.12,38,8.12,10007
10,8,338,32,9.47,34,10.06,33,9.76,31,9.17,31,9.17,31,9.17,35,10.36,34,10.06,25,7.4,15,4.44,10008
10,9,401,40,9.98,38,9.48,35,8.73,39,9.73,31,7.73,40,9.98,39,9.73,41,10.22,30,7.48,22,5.49,10009
10,10,353,33,9.35,30,8.5,35,9.92,31,8.78,26,7.37,38,10.76,35,9.92,32,9.07,29,8.22,20,5.67,10010
10,11,445,40,8.99,38,8.54,38,8.54,42,9.44,42,9.44,43,9.66,42,9.44,39,8.76,33,7.42,26,5.84,10011
10,12,339,31,9.14,31,9.14,28,8.26,36,10.62,28,8.26,30,8.85,31,9.14,34,10.03,29,8.55,17,5.01,10012
10,13,635,67,10.55,51,8.03,56,8.82,60,9.45,53,8.35,59,9.29,57,8.98,58,9.13,50,7.87,40,6.3,10013
10,14,392,37,9.44,37,9.44,35,8.93,39,9.95,33,8.42,35,8.93,37,9.44,41,10.46,36,9.18,18,4.59,10014
10,15,140,13,9.29,10,7.14,15,10.71,12,8.57,11,7.86,12,8.57,14,10.0,12,8.57,14,10.0,10,7.14,10015
10,16,447,41,9.17,40,8.95,41,9.17,39,8.72,40,8.95,35,7.83,45,10.07,44,9.84,37,8.28,30,6.71,10016
10,17,401,40,9.98,38,9.48,40,9.98,41,10.22,33,8.23,35,8.73,43,10.72,41,10.22,35,8.73,15,3.74,10017
10,18,226,24,10.62,22,9.73,21,9.29,18,7.96,22,9.73,19,8.41,19,8.41,22,9.73,14,6.19,18,7.96,10018
10,19,460,46,10.0,46,10.0,40,8.7,43,9.35,38,8.26,40,8.7,50,10.87,46,10.0,34,7.39,24,5.22,10019
10,20,341,35,10.26,33,9.68,30,8.8,33,9.68,27,7.92,31,9.09,36,10.56,33,9.68,27,7.92,16,4.69,10020
10,21,389,37,9.51,37,9.51,35,9.0,40,10.28,34,8.74,31,7.97,43,11.05,37,9.51,32,8.23,21,5.4,10021
10,22,417,41,9.83,40,9.59,38,9.11,42,10.07,37,8.87,34,8.15,40,9.59,41,9.83,28,6.71,36,8.63,10022
10,23,310,36,11.61,26,8.39,31,10.0,27,8.71,24,7.74,28,9.03,29,9.35,27,8.71,27,8.71,20,6.45,10023
10,24,455,43,9.45,39,8.57,41,9.01,44,9.67,43,9.45,34,7.47,47,10.33,48,10.55,43,9.45,23,5.05,10024
10,25,475,49,10.32,43,9.05,40,8.42,42,8.84,42,8.84,43,9.05,40,8.42,45,9.47,34,7.16,46,9.68,10025
10,26,322,33,10.25,32,9.94,28,8.7,31,9.63,27,8.39,30,9.32,29,9.01,32,9.94,26,8.07,14,4.35,10026
10,27,537,54,10.06,50,9.31,51,9.5,49,9.12,47,8.75,51,9.5,52,9.68,47,8.75,48,8.94,29,5.4,10027
10,28,672,71,10.57,59,8.78,65,9.67,63,9.38,62,9.23,52,7.74,67,9.97,65,9.67,45,6.7,64,9.52,10028
10,29,780,81,10.38,75,9.62,70,8.97,79,10.13,71,9.1,59,7.56,73,9.36,75,9.62,57,7.31,70,8.97,10029
10,30,360,30,8.33,36,10.0,37,10.28,38,10.56,37,10.28,25,6.94,31,8.61,32,8.89,19,5.28,38,10.56,10030
10,31,392,37,9.44,32,8.16,34,8.67,40,10.2,31,7.91,39,9.95,38,9.69,37,9.44,30,7.65,16,4.08,10031
10,32,365,35,9.59,33,9.04,35,9.59,34,9.32,32,8.77,35,9.59,31,8.49,35,9.59,31,8.49,26,7.12,10032
10,33,330,29,8.79,29,8.79,28,8.48,28,8.48,26,7.88,33,10.0,30,9.09,30,9.09,24,7.27,27,8.18,10033
10,34,340,34,10.0,30,8.82,31,9.12,31,9.12,30,8.82,29,8.53,35,10.29,31,9.12,29,8.53,18,5.29,10034
10,35,481,45,9.36,46,9.56,46,9.56,48,9.98,44,9.15,43,8.94,42,8.73,43,8.94,39,8.11,28,5.82,10035
10,36,589,57,9.68,53,9.0,52,8.83,55,9.34,54,9.17,48,8.15,54,9.17,55,9.34,45,7.64,59,10.02,10036
10,37,268,26,9.7,25,9.33,25,9.33,23,8.58,25,9.33,18,6.72,23,8.58,22,8.21,18,6.72,31,11.57,10037
10,38,470,48,10.21,44,9.36,46,9.79,49,10.43,40,8.51,34,7.23,48,10.21,41,8.72,36,7.66,30,6.38,10038
10,39,455,44,9.67,39,8.57,45,9.89,39,8.57,43,9.45,48,10.55,47,10.33,42,9.23,38,8.35,22,4.84,10039
10,40,367,36,9.81,33,8.99,31,8.45,37,10.08,33,8.99,33,8.99,32,8.72,32,8.72,27,7.36,28,7.63,10040
10,41,493,50,10.14,43,8.72,45,9.13,44,8.92,39,7.91,48,9.74,49,9.94,51,10.34,38,7.71,22,4.46,10041
10,42,389,40,10.28,37,9.51,33,8.48,38,9.77,32,8.23,38,9.77,39,10.03,39,10.03,31,7.97,18,4.63,10042
10,43,222,23,10.36,21,9.46,21,9.46,17,7.66,19,8.56,19,8.56,19,8.56,20,9.01,19,8.56,21,9.46,10043
10,44,471,49,10.4,43,9.13,42,8.92,44,9.34,38,8.07,45,9.55,46,9.77,43,9.13,40,8.49,33,7.01,10044
10,45,451,45,9.98,44,9.76,41,9.09,43,9.53,39,8.65,47,10.42,41,9.09,44,9.76,38,8.43,19,4.21,10045
10,46,392,38,9.69,36,9.18,35,8.93,37,9.44,31,7.91,37,9.44,36,9.18,37,9.44,29,7.4,31,7.91,10046
34,4,1204,119,9.88,112,9.3,116,9.63,111,9.22,117,9.72,105,8.72,112,9.3,123,10.22,85,7.06,107,8.89,34004
34,18,1029,101,9.82,100,9.72,95,9.23,88,8.55,101,9.82,84,8.16,97,9.43,108,10.5,60,5.83,105,10.2,34018
34,20,128,11,8.59,11,8.59,11,8.59,12,9.38,12,9.38,9,7.03,12,9.38,13,10.16,11,8.59,14,10.94,34020
34,22,1499,142,9.47,150,10.01,149,9.94,144,9.61,144,9.61,119,7.94,143,9.54,146,9.74,111,7.4,132,8.81,34022
34,23,913,89,9.75,90,9.86,86,9.42,89,9.75,89,9.75,66,7.23,87,9.53,90,9.86,62,6.79,84,9.2,34023
34,24,885,89,10.06,87,9.83,83,9.38,82,9.27,86,9.72,64,7.23,82,9.27,104,11.75,57,6.44,81,9.15,34024
34,27,642,66,10.28,60,9.35,58,9.03,57,8.88,64,9.97,47,7.32,56,8.72,77,11.99,33,5.14,74,11.53,34027
34,28,555,53,9.55,55,9.91,54,9.73,54,9.73,54,9.73,43,7.75,49,8.83,65,11.71,34,6.13,53,9.55,34028
34,30,1665,158,9.49,159,9.55,165,9.91,163,9.79,156,9.37,129,7.75,155,9.31,177,10.63,121,7.27,141,8.47,34030
34,36,1497,146,9.75,148,9.89,142,9.49,139,9.29,149,9.95,122,8.15,142,9.49,141,9.42,117,7.82,125,8.35,34036
34,37,1145,118,10.31,111,9.69,108,9.43,112,9.78,114,9.96,91,7.95,112,9.78,105,9.17,83,7.25,98,8.56,34037
34,38,707,72,10.18,67,9.48,67,9.48,71,10.04,64,9.05,60,8.49,64,9.05,69,9.76,51,7.21,63,8.91,34038
34,39,725,72,9.93,73,10.07,72,9.93,69,9.52,70,9.66,62,8.55,65,8.97,74,10.21,51,7.03,54,7.45,34039
34,41,483,45,9.32,50,10.35,48,9.94,50,10.35,42,8.7,36,7.45,49,10.14,45,9.32,33,6.83,45,9.32,34041
34,52,650,67,10.31,62,9.54,61,9.38,61,9.38,59,9.08,52,8.0,58,8.92,69,10.62,47,7.23,52,8.0,34052
34,53,568,54,9.51,59,10.39,55,9.68,52,9.15,57,10.04,47,8.27,56,9.86,49,8.63,40,7.04,52,9.15,34053
