ward,precinct,total,Hanah Jubeh (Obama),Hanah Jubeh (Obama) Percent,Juan Salgado (Obama),Juan Salgado (Obama) Percent,Jorge Ramirez (Obama),Jorge Ramirez (Obama) Percent,Maria Pesqueira (Obama),Maria Pesqueira (Obama) Percent,Shirley Madigan (Obama),Shirley Madigan (Obama) Percent,George Brousalis (Obama),George Brousalis (Obama) Percent,John Daley (Obama),John Daley (Obama) Percent,precinct_id
13,33,672,87,12.95,94,13.99,101,15.03,97,14.43,103,15.33,89,13.24,101,15.03,13033
13,34,977,131,13.41,145,14.84,142,14.53,146,14.94,138,14.12,129,13.2,146,14.94,13034
13,35,731,91,12.45,113,15.46,107,14.64,97,13.27,116,15.87,91,12.45,116,15.87,13035
13,36,397,50,12.59,60,15.11,60,15.11,58,14.61,58,14.61,52,13.1,59,14.86,13036
13,37,995,135,13.57,143,14.37,145,14.57,140,14.07,158,15.88,131,13.17,143,14.37,13037
13,38,556,73,13.13,82,14.75,80,14.39,77,13.85,86,15.47,75,13.49,83,14.93,13038
13,39,701,88,12.55,98,13.98,102,14.55,99,14.12,117,16.69,91,12.98,106,15.12,13039
13,40,846,109,12.88,133,15.72,125,14.78,119,14.07,127,15.01,107,12.65,126,14.89,13040
13,41,625,74,11.84,112,17.92,107,17.12,99,15.84,89,14.24,68,10.88,76,12.16,13041
13,42,758,106,13.98,107,14.12,106,13.98,108,14.25,114,15.04,99,13.06,118,15.57,13042
13,43,936,118,12.61,137,14.64,143,15.28,133,14.21,148,15.81,118,12.61,139,14.85,13043
13,44,946,123,13.0,153,16.17,150,15.86,135,14.27,133,14.06,117,12.37,135,14.27,13044
13,45,935,118,12.62,137,14.65,130,13.9,135,14.44,139,14.87,128,13.69,148,15.83,13045
13,46,751,95,12.65,115,15.31,117,15.58,106,14.11,119,15.85,89,11.85,110,14.65,13046
13,47,746,96,12.87,118,15.82,110,14.75,104,13.94,109,14.61,94,12.6,115,15.42,13047
14,1,541,68,12.57,86,15.9,84,15.53,72,13.31,81,14.97,66,12.2,84,15.53,14001
14,21,297,38,12.79,51,17.17,47,15.82,42,14.14,40,13.47,33,11.11,46,15.49,14021
14,26,257,31,12.06,45,17.51,37,14.4,38,14.79,37,14.4,32,12.45,37,14.4,14026
14,29,513,64,12.48,85,16.57,79,15.4,71,13.84,76,14.81,64,12.48,74,14.42,14029
14,32,235,30,12.77,36,15.32,37,15.74,32,13.62,35,14.89,31,13.19,34,14.47,14032
15,10,135,17,12.59,22,16.3,23,17.04,20,14.81,19,14.07,17,12.59,17,12.59,15010
15,16,135,17,12.59,25,18.52,21,15.56,18,13.33,20,14.81,14,10.37,20,14.81,15016
15,28,309,37,11.97,49,15.86,50,16.18,44,14.24,46,14.89,39,12.62,44,14.24,15028
16,7,7,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,16007
16,11,15,2,13.33,2,13.33,2,13.33,2,13.33,3,20.0,2,13.33,2,13.33,16011
16,13,156,18,11.54,28,17.95,26,16.67,25,16.03,24,15.38,17,10.9,18,11.54,16013
16,17,180,24,13.33,26,14.44,26,14.44,25,13.89,27,15.0,23,12.78,29,16.11,16017
16,21,124,15,12.1,24,19.35,24,19.35,17,13.71,17,13.71,14,11.29,13,10.48,16021
16,22,143,17,11.89,26,18.18,21,14.69,22,15.38,21,14.69,17,11.89,19,13.29,16022
16,23,126,14,11.11,21,16.67,19,15.08,18,14.29,19,15.08,15,11.9,20,15.87,16023
16,32,143,19,13.29,25,17.48,20,13.99,20,13.99,22,15.38,16,11.19,21,14.69,16032
16,35,149,19,12.75,23,15.44,22,14.77,21,14.09,24,16.11,22,14.77,18,12.08,16035
16,39,213,26,12.21,32,15.02,31,14.55,29,13.62,31,14.55,30,14.08,34,15.96,16039
18,28,192,26,13.54,27,14.06,29,15.1,26,13.54,30,15.63,25,13.02,29,15.1,18028
19,1,661,86,13.01,87,13.16,87,13.16,86,13.01,103,15.58,82,12.41,130,19.67,19001
19,3,391,49,12.53,47,12.02,50,12.79,50,12.79,63,16.11,53,13.55,79,20.2,19003
19,4,558,74,13.26,70,12.54,73,13.08,74,13.26,85,15.23,72,12.9,110,19.71,19004
19,6,438,55,12.56,57,13.01,62,14.16,58,13.24,69,15.75,54,12.33,83,18.95,19006
19,7,800,109,13.63,104,13.0,110,13.75,103,12.88,120,15.0,103,12.88,151,18.88,19007
19,8,465,60,12.9,63,13.55,66,14.19,65,13.98,72,15.48,55,11.83,84,18.06,19008
19,9,470,62,13.19,65,13.83,64,13.62,61,12.98,74,15.74,65,13.83,79,16.81,19009
19,10,1089,150,13.77,147,13.5,157,14.42,153,14.05,160,14.69,150,13.77,172,15.79,19010
19,11,558,66,11.83,68,12.19,71,12.72,72,12.9,92,16.49,73,13.08,116,20.79,19011
19,12,427,58,13.58,55,12.88,60,14.05,56,13.11,63,14.75,54,12.65,81,18.97,19012
19,15,384,47,12.24,48,12.5,53,13.8,51,13.28,62,16.15,48,12.5,75,19.53,19015
19,16,738,89,12.06,93,12.6,99,13.41,94,12.74,123,16.67,99,13.41,141,19.11,19016
19,17,630,82,13.02,80,12.7,86,13.65,81,12.86,95,15.08,85,13.49,121,19.21,19017
19,18,1055,151,14.31,145,13.74,151,14.31,149,14.12,146,13.84,141,13.36,172,16.3,19018
19,19,907,128,14.11,128,14.11,126,13.89,129,14.22,132,14.55,123,13.56,141,15.55,19019
19,21,386,48,12.44,49,12.69,56,14.51,49,12.69,60,15.54,50,12.95,74,19.17,19021
19,22,984,135,13.72,137,13.92,138,14.02,137,13.92,144,14.63,139,14.13,154,15.65,19022
19,23,833,105,12.61,113,13.57,114,13.69,113,13.57,125,15.01,110,13.21,153,18.37,19023
19,24,534,70,13.11,70,13.11,72,13.48,68,12.73,85,15.92,68,12.73,101,18.91,19024
19,25,843,123,14.59,114,13.52,118,14.0,118,14.0,120,14.23,117,13.88,133,15.78,19025
19,26,1033,139,13.46,146,14.13,145,14.04,146,14.13,151,14.62,141,13.65,165,15.97,19026
19,29,317,37,11.67,42,13.25,45,14.2,43,13.56,45,14.2,41,12.93,64,20.19,19029
19,30,585,80,13.68,79,13.5,79,13.5,82,14.02,88,15.04,80,13.68,97,16.58,19030
19,32,684,93,13.6,91,13.3,91,13.3,95,13.89,105,15.35,90,13.16,119,17.4,19032
19,33,594,73,12.29,76,12.79,78,13.13,77,12.96,96,16.16,80,13.47,114,19.19,19033
19,34,804,108,13.43,109,13.56,111,13.81,107,13.31,122,15.17,108,13.43,139,17.29,19034
19,35,966,129,13.35,132,13.66,140,14.49,134,13.87,140,14.49,132,13.66,159,16.46,19035
19,41,401,51,12.72,53,13.22,54,13.47,55,13.72,63,15.71,48,11.97,77,19.2,19041
19,44,484,62,12.81,65,13.43,70,14.46,61,12.6,78,16.12,59,12.19,89,18.39,19044
19,45,668,89,13.32,82,12.28,83,12.43,87,13.02,111,16.62,85,12.72,131,19.61,19045
19,46,791,105,13.27,103,13.02,109,13.78,103,13.02,123,15.55,105,13.27,143,18.08,19046
19,51,490,59,12.04,60,12.24,63,12.86,63,12.86,83,16.94,66,13.47,96,19.59,19051
19,52,480,68,14.17,66,13.75,65,13.54,67,13.96,70,14.58,64,13.33,80,16.67,19052
19,53,656,84,12.8,81,12.35,88,13.41,86,13.11,101,15.4,91,13.87,125,19.05,19053
19,54,457,58,12.69,57,12.47,56,12.25,59,12.91,71,15.54,58,12.69,98,21.44,19054
19,55,497,66,13.28,68,13.68,66,13.28,70,14.08,74,14.89,67,13.48,86,17.3,19055
19,56,1098,151,13.75,160,14.57,153,13.93,153,13.93,161,14.66,149,13.57,171,15.57,19056
19,57,999,137,13.71,136,13.61,141,14.11,140,14.01,150,15.02,136,13.61,159,15.92,19057
19,58,425,55,12.94,56,13.18,59,13.88,59,13.88,61,14.35,54,12.71,81,19.06,19058
19,59,715,91,12.73,92,12.87,96,13.43,93,13.01,115,16.08,99,13.85,129,18.04,19059
19,61,1088,142,13.05,134,12.32,141,12.96,145,13.33,163,14.98,151,13.88,212,19.49,19061
19,62,594,77,12.96,76,12.79,81,13.64,80,13.47,90,15.15,77,12.96,113,19.02,19062
20,4,136,13,9.56,25,18.38,24,17.65,17,12.5,20,14.71,17,12.5,20,14.71,20004
20,8,127,16,12.6,19,14.96,20,15.75,18,14.17,19,14.96,17,13.39,18,14.17,20008
20,21,92,12,13.04,18,19.57,14,15.22,12,13.04,11,11.96,9,9.78,16,17.39,20021
20,41,50,6,12.0,10,20.0,8,16.0,6,12.0,9,18.0,4,8.0,7,14.0,20041
23,1,619,80,12.92,83,13.41,86,13.89,87,14.05,93,15.02,75,12.12,115,18.58,23001
23,2,333,43,12.91,51,15.32,47,14.11,46,13.81,48,14.41,45,13.51,53,15.92,23002
23,3,687,88,12.81,87,12.66,95,13.83,92,13.39,106,15.43,90,13.1,129,18.78,23003
23,4,540,68,12.59,75,13.89,76,14.07,74,13.7,86,15.93,72,13.33,89,16.48,23004
23,5,207,26,12.56,33,15.94,31,14.98,29,14.01,30,14.49,27,13.04,31,14.98,23005
23,6,445,55,12.36,62,13.93,58,13.03,62,13.93,75,16.85,57,12.81,76,17.08,23006
23,7,482,56,11.62,69,14.32,68,14.11,62,12.86,75,15.56,58,12.03,94,19.5,23007
23,8,510,71,13.92,67,13.14,70,13.73,69,13.53,80,15.69,66,12.94,87,17.06,23008
23,9,132,17,12.88,22,16.67,19,14.39,22,16.67,19,14.39,15,11.36,18,13.64,23009
23,10,625,74,11.84,99,15.84,92,14.72,88,14.08,97,15.52,76,12.16,99,15.84,23010
23,11,1484,197,13.27,201,13.54,211,14.22,205,13.81,219,14.76,200,13.48,251,16.91,23011
23,12,627,81,12.92,84,13.4,81,12.92,87,13.88,99,15.79,83,13.24,112,17.86,23012
23,13,636,81,12.74,88,13.84,84,13.21,86,13.52,102,16.04,78,12.26,117,18.4,23013
23,14,281,38,13.52,38,13.52,37,13.17,36,12.81,41,14.59,34,12.1,57,20.28,23014
23,15,492,60,12.2,70,14.23,70,14.23,63,12.8,78,15.85,62,12.6,89,18.09,23015
23,16,675,83,12.3,81,12.0,94,13.93,87,12.89,118,17.48,80,11.85,132,19.56,23016
23,17,211,27,12.8,33,15.64,28,13.27,32,15.17,30,14.22,28,13.27,33,15.64,23017
23,18,963,121,12.56,142,14.75,142,14.75,137,14.23,146,15.16,123,12.77,152,15.78,23018
23,19,543,76,14.0,74,13.63,78,14.36,73,13.44,81,14.92,75,13.81,86,15.84,23019
23,20,582,73,12.54,78,13.4,80,13.75,77,13.23,89,15.29,80,13.75,105,18.04,23020
23,21,590,84,14.24,74,12.54,78,13.22,84,14.24,98,16.61,80,13.56,92,15.59,23021
23,22,572,72,12.59,69,12.06,77,13.46,76,13.29,94,16.43,74,12.94,110,19.23,23022
23,23,417,55,13.19,57,13.67,58,13.91,56,13.43,63,15.11,52,12.47,76,18.23,23023
23,25,241,28,11.62,40,16.6,38,15.77,34,14.11,36,14.94,29,12.03,36,14.94,23025
23,26,459,54,11.76,64,13.94,66,14.38,59,12.85,72,15.69,58,12.64,86,18.74,23026
23,27,848,112,13.21,113,13.33,111,13.09,117,13.8,135,15.92,114,13.44,146,17.22,23027
23,28,487,63,12.94,69,14.17,66,13.55,65,13.35,80,16.43,61,12.53,83,17.04,23028
23,29,31,3,9.68,7,22.58,4,12.9,4,12.9,6,19.35,4,12.9,3,9.68,23029
23,30,389,51,13.11,49,12.6,50,12.85,52,13.37,63,16.2,49,12.6,75,19.28,23030
23,31,349,42,12.03,51,14.61,56,16.05,49,14.04,54,15.47,40,11.46,57,16.33,23031
23,32,465,63,13.55,69,14.84,66,14.19,66,14.19,68,14.62,62,13.33,71,15.27,23032
23,33,770,94,12.21,117,15.19,115,14.94,107,13.9,111,14.42,99,12.86,127,16.49,23033
23,34,442,56,12.67,61,13.8,66,14.93,60,13.57,70,15.84,59,13.35,70,15.84,23034
23,35,548,78,14.23,78,14.23,77,14.05,78,14.23,81,14.78,74,13.5,82,14.96,23035
23,36,565,71,12.57,75,13.27,77,13.63,75,13.27,87,15.4,75,13.27,105,18.58,23036
23,37,451,65,14.41,61,13.53,62,13.75,63,13.97,71,15.74,61,13.53,68,15.08,23037
23,38,568,75,13.2,77,13.56,81,14.26,75,13.2,90,15.85,72,12.68,98,17.25,23038
23,39,1292,165,12.77,174,13.47,177,13.7,171,13.24,193,14.94,176,13.62,236,18.27,23039
23,40,393,46,11.7,55,13.99,54,13.74,55,13.99,60,15.27,50,12.72,73,18.58,23040
23,41,415,52,12.53,63,15.18,64,15.42,58,13.98,62,14.94,49,11.81,67,16.14,23041
23,42,417,57,13.67,60,14.39,57,13.67,58,13.91,64,15.35,55,13.19,66,15.83,23042
23,43,669,85,12.71,90,13.45,96,14.35,88,13.15,107,15.99,86,12.86,117,17.49,23043
23,44,513,66,12.87,72,14.04,78,15.2,73,14.23,70,13.65,67,13.06,87,16.96,23044
23,45,458,58,12.66,66,14.41,68,14.85,60,13.1,68,14.85,63,13.76,75,16.38,23045
23,46,605,79,13.06,82,13.55,86,14.21,82,13.55,92,15.21,85,14.05,99,16.36,23046
23,47,750,97,12.93,102,13.6,104,13.87,103,13.73,118,15.73,94,12.53,132,17.6,23047
23,48,266,35,13.16,41,15.41,41,15.41,36,13.53,38,14.29,35,13.16,40,15.04,23048
23,49,954,117,12.26,127,13.31,125,13.1,132,13.84,153,16.04,123,12.89,177,18.55,23049
29,24,33,5,15.15,4,12.12,4,12.12,5,15.15,6,18.18,5,15.15,4,12.12,29024
