ward,precinct,total,Tommy Brewer,Tommy Brewer Percent,Roxanne L. Rochester,Roxanne L. Rochester Percent,precinct_id
28,28,51,40,78.43,11,21.57,28028
28,30,45,30,66.67,15,33.33,28030
28,31,64,40,62.5,24,37.5,28031
28,32,61,38,62.3,23,37.7,28032
28,33,91,66,72.53,25,27.47,28033
28,35,55,36,65.45,19,34.55,28035
28,36,114,85,74.56,29,25.44,28036
28,37,114,75,65.79,39,34.21,28037
28,38,70,36,51.43,34,48.57,28038
28,39,61,42,68.85,19,31.15,28039
28,40,106,67,63.21,39,36.79,28040
28,41,49,29,59.18,20,40.82,28041
28,42,57,27,47.37,30,52.63,28042
28,43,99,51,51.52,48,48.48,28043
28,44,92,61,66.3,31,33.7,28044
28,45,71,41,57.75,30,42.25,28045
28,46,55,32,58.18,23,41.82,28046
28,47,54,31,57.41,23,42.59,28047
28,48,60,29,48.33,31,51.67,28048
28,49,65,46,70.77,19,29.23,28049
28,50,49,28,57.14,21,42.86,28050
28,51,61,39,63.93,22,36.07,28051
28,52,46,31,67.39,15,32.61,28052
28,53,69,39,56.52,30,43.48,28053
28,54,56,38,67.86,18,32.14,28054
28,55,38,23,60.53,15,39.47,28055
29,1,181,130,71.82,51,28.18,29001
29,3,151,100,66.23,51,33.77,29003
29,4,138,89,64.49,49,35.51,29004
29,5,99,58,58.59,41,41.41,29005
29,8,60,36,60.0,24,40.0,29008
29,11,109,59,54.13,50,45.87,29011
29,13,70,53,75.71,17,24.29,29013
29,14,141,104,73.76,37,26.24,29014
29,16,209,175,83.73,34,16.27,29016
29,18,112,81,72.32,31,27.68,29018
29,19,156,113,72.44,43,27.56,29019
29,20,127,88,69.29,39,30.71,29020
29,21,78,46,58.97,32,41.03,29021
29,22,85,44,51.76,41,48.24,29022
29,23,100,67,67.0,33,33.0,29023
29,26,108,61,56.48,47,43.52,29026
29,27,64,35,54.69,29,45.31,29027
29,28,116,73,62.93,43,37.07,29028
29,29,174,145,83.33,29,16.67,29029
29,31,80,49,61.25,31,38.75,29031
29,33,113,72,63.72,41,36.28,29033
29,34,69,41,59.42,28,40.58,29034
29,35,99,59,59.6,40,40.4,29035
29,37,96,51,53.13,45,46.88,29037
29,38,108,67,62.04,41,37.96,29038
29,40,157,97,61.78,60,38.22,29040
29,41,120,71,59.17,49,40.83,29041
29,42,147,86,58.5,61,41.5,29042
29,43,143,77,53.85,66,46.15,29043
29,44,109,74,67.89,35,32.11,29044
29,45,79,43,54.43,36,45.57,29045
29,46,79,54,68.35,25,31.65,29046
29,47,164,114,69.51,50,30.49,29047
29,48,84,45,53.57,39,46.43,29048
37,4,89,65,73.03,24,26.97,37004
37,5,123,70,56.91,53,43.09,37005
37,6,124,92,74.19,32,25.81,37006
37,7,111,75,67.57,36,32.43,37007
37,8,36,16,44.44,20,55.56,37008
37,9,82,40,48.78,42,51.22,37009
37,13,82,49,59.76,33,40.24,37013
37,14,141,86,60.99,55,39.01,37014
37,15,88,57,64.77,31,35.23,37015
37,17,69,39,56.52,30,43.48,37017
37,18,129,79,61.24,50,38.76,37018
37,20,81,50,61.73,31,38.27,37020
37,21,98,67,68.37,31,31.63,37021
37,23,80,41,51.25,39,48.75,37023
37,25,100,66,66.0,34,34.0,37025
37,27,103,65,63.11,38,36.89,37027
37,28,97,56,57.73,41,42.27,37028
37,29,84,50,59.52,34,40.48,37029
37,30,62,39,62.9,23,37.1,37030
37,31,100,66,66.0,34,34.0,37031
37,32,91,66,72.53,25,27.47,37032
37,33,58,28,48.28,30,51.72,37033
37,34,89,54,60.67,35,39.33,37034
37,35,117,69,58.97,48,41.03,37035
37,36,79,42,53.16,37,46.84,37036
37,37,93,42,45.16,51,54.84,37037
37,38,91,56,61.54,35,38.46,37038
37,40,89,58,65.17,31,34.83,37040
37,41,98,66,67.35,32,32.65,37041
37,43,85,50,58.82,35,41.18,37043
42,18,101,60,59.41,41,40.59,42018
42,21,25,14,56.0,11,44.0,42021
42,61,36,17,47.22,19,52.78,42061
