ward,precinct,total,Patricia Van Pelt Watkins,Patricia Van Pelt Watkins Percent,Annazette R. Collins,Annazette R. Collins Percent,precinct_id
24,19,174,72,41.38,102,58.62,24019
24,20,72,45,62.5,27,37.5,24020
24,21,51,22,43.14,29,56.86,24021
24,22,172,80,46.51,92,53.49,24022
24,23,139,79,56.83,60,43.17,24023
24,24,163,66,40.49,97,59.51,24024
24,25,101,53,52.48,48,47.52,24025
24,26,106,56,52.83,50,47.17,24026
24,27,157,56,35.67,101,64.33,24027
24,28,122,52,42.62,70,57.38,24028
24,29,138,65,47.1,73,52.9,24029
24,30,82,36,43.9,46,56.1,24030
24,31,102,39,38.24,63,61.76,24031
24,32,112,60,53.57,52,46.43,24032
24,34,85,44,51.76,41,48.24,24034
24,35,147,72,48.98,75,51.02,24035
24,36,132,57,43.18,75,56.82,24036
24,37,112,55,49.11,57,50.89,24037
24,38,123,66,53.66,57,46.34,24038
24,39,94,45,47.87,49,52.13,24039
24,40,125,60,48.0,65,52.0,24040
24,41,53,23,43.4,30,56.6,24041
24,42,82,45,54.88,37,45.12,24042
24,43,120,58,48.33,62,51.67,24043
24,44,170,94,55.29,76,44.71,24044
24,45,65,20,30.77,45,69.23,24045
24,46,26,17,65.38,9,34.62,24046
24,47,81,32,39.51,49,60.49,24047
24,48,122,52,42.62,70,57.38,24048
24,49,213,107,50.23,106,49.77,24049
24,50,178,94,52.81,84,47.19,24050
25,3,50,36,72.0,14,28.0,25003
25,4,109,97,88.99,12,11.01,25004
25,10,48,40,83.33,8,16.67,25010
25,21,92,64,69.57,28,30.43,25021
25,25,69,47,68.12,22,31.88,25025
25,27,59,40,67.8,19,32.2,25027
25,28,112,87,77.68,25,22.32,25028
25,29,178,140,78.65,38,21.35,25029
26,7,1,1,100.0,0,0.0,26007
26,17,45,30,66.67,15,33.33,26017
26,33,0,0,0.0,0,0.0,26033
26,46,35,21,60.0,14,40.0,26046
27,1,65,51,78.46,14,21.54,27001
27,2,80,38,47.5,42,52.5,27002
27,3,130,60,46.15,70,53.85,27003
27,5,31,22,70.97,9,29.03,27005
27,6,38,33,86.84,5,13.16,27006
27,7,69,48,69.57,21,30.43,27007
27,8,86,35,40.7,51,59.3,27008
27,9,152,108,71.05,44,28.95,27009
27,10,205,134,65.37,71,34.63,27010
27,11,48,36,75.0,12,25.0,27011
27,12,62,46,74.19,16,25.81,27012
27,14,146,75,51.37,71,48.63,27014
27,15,158,78,49.37,80,50.63,27015
27,16,34,25,73.53,9,26.47,27016
27,17,52,37,71.15,15,28.85,27017
27,18,47,34,72.34,13,27.66,27018
27,19,157,94,59.87,63,40.13,27019
27,20,107,88,82.24,19,17.76,27020
27,21,110,87,79.09,23,20.91,27021
27,22,170,102,60.0,68,40.0,27022
27,23,98,54,55.1,44,44.9,27023
27,24,156,102,65.38,54,34.62,27024
27,25,55,20,36.36,35,63.64,27025
27,26,116,58,50.0,58,50.0,27026
27,27,85,49,57.65,36,42.35,27027
27,28,89,64,71.91,25,28.09,27028
27,29,50,38,76.0,12,24.0,27029
27,30,46,32,69.57,14,30.43,27030
27,31,79,53,67.09,26,32.91,27031
27,33,68,50,73.53,18,26.47,27033
27,34,200,135,67.5,65,32.5,27034
27,35,71,50,70.42,21,29.58,27035
27,36,102,54,52.94,48,47.06,27036
27,37,148,118,79.73,30,20.27,27037
27,40,61,44,72.13,17,27.87,27040
27,43,46,31,67.39,15,32.61,27043
27,44,177,91,51.41,86,48.59,27044
27,45,24,18,75.0,6,25.0,27045
28,1,54,26,48.15,28,51.85,28001
28,2,117,32,27.35,85,72.65,28002
28,3,60,26,43.33,34,56.67,28003
28,5,82,40,48.78,42,51.22,28005
28,6,56,21,37.5,35,62.5,28006
28,7,58,17,29.31,41,70.69,28007
28,9,83,31,37.35,52,62.65,28009
28,10,27,2,7.41,25,92.59,28010
28,11,49,21,42.86,28,57.14,28011
28,12,0,0,0.0,0,0.0,28012
28,13,52,20,38.46,32,61.54,28013
28,18,131,63,48.09,68,51.91,28018
28,20,128,50,39.06,78,60.94,28020
28,21,107,48,44.86,59,55.14,28021
28,22,85,32,37.65,53,62.35,28022
28,23,148,56,37.84,92,62.16,28023
28,24,51,21,41.18,30,58.82,28024
28,25,80,41,51.25,39,48.75,28025
28,26,78,23,29.49,55,70.51,28026
28,27,90,35,38.89,55,61.11,28027
28,28,59,22,37.29,37,62.71,28028
28,30,13,4,30.77,9,69.23,28030
28,31,80,25,31.25,55,68.75,28031
28,32,83,29,34.94,54,65.06,28032
28,33,116,37,31.9,79,68.1,28033
28,34,63,32,50.79,31,49.21,28034
28,35,69,29,42.03,40,57.97,28035
28,36,145,54,37.24,91,62.76,28036
28,37,164,52,31.71,112,68.29,28037
28,40,129,43,33.33,86,66.67,28040
28,42,38,18,47.37,20,52.63,28042
28,43,132,43,32.58,89,67.42,28043
28,44,122,52,42.62,70,57.38,28044
28,50,60,31,51.67,29,48.33,28050
28,51,73,26,35.62,47,64.38,28051
28,52,58,22,37.93,36,62.07,28052
28,54,67,19,28.36,48,71.64,28054
28,55,50,22,44.0,28,56.0,28055
32,2,87,60,68.97,27,31.03,32002
32,4,103,81,78.64,22,21.36,32004
32,5,48,33,68.75,15,31.25,32005
32,6,75,49,65.33,26,34.67,32006
32,14,55,36,65.45,19,34.55,32014
32,26,60,35,58.33,25,41.67,32026
32,28,38,23,60.53,15,39.47,32028
32,29,52,34,65.38,18,34.62,32029
32,31,80,61,76.25,19,23.75,32031
32,33,45,25,55.56,20,44.44,32033
32,34,48,33,68.75,15,31.25,32034
32,35,68,52,76.47,16,23.53,32035
32,36,73,55,75.34,18,24.66,32036
32,46,23,13,56.52,10,43.48,32046
32,51,72,56,77.78,16,22.22,32051
32,52,32,26,81.25,6,18.75,32052
37,2,0,0,0.0,0,0.0,37002
37,3,47,30,63.83,17,36.17,37003
37,4,100,45,45.0,55,55.0,37004
37,8,60,24,40.0,36,60.0,37008
37,12,65,26,40.0,39,60.0,37012
37,13,96,41,42.71,55,57.29,37013
37,14,28,13,46.43,15,53.57,37014
37,21,3,2,66.67,1,33.33,37021
37,28,124,48,38.71,76,61.29,37028
37,30,71,32,45.07,39,54.93,37030
37,33,19,9,47.37,10,52.63,37033
37,42,3,3,100.0,0,0.0,37042
37,43,93,42,45.16,51,54.84,37043
42,12,59,44,74.58,15,25.42,42012
42,21,0,0,0.0,0,0.0,42021
42,61,41,24,58.54,17,41.46,42061
43,1,107,78,72.9,29,27.1,43001
43,3,85,72,84.71,13,15.29,43003
43,5,59,45,76.27,14,23.73,43005
43,7,40,28,70.0,12,30.0,43007
43,9,63,41,65.08,22,34.92,43009
43,10,66,46,69.7,20,30.3,43010
43,11,59,39,66.1,20,33.9,43011
43,15,66,50,75.76,16,24.24,43015
43,19,96,64,66.67,32,33.33,43019
43,25,77,57,74.03,20,25.97,43025
43,37,80,64,80.0,16,20.0,43037
43,51,120,90,75.0,30,25.0,43051
