ward,precinct,total,Mary Jane Theis,Mary Jane Theis Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,Thomas W. Flannigan,Thomas W. Flannigan Percent,precinct_id
1,37,75,37,49.33,21,28.0,8,10.67,9,12.0,01037
1,38,36,19,52.78,11,30.56,4,11.11,2,5.56,01038
1,39,73,39,53.42,20,27.4,6,8.22,8,10.96,01039
1,40,39,26,66.67,5,12.82,5,12.82,3,7.69,01040
1,41,50,27,54.0,14,28.0,7,14.0,2,4.0,01041
1,42,41,24,58.54,6,14.63,5,12.2,6,14.63,01042
1,43,80,36,45.0,18,22.5,17,21.25,9,11.25,01043
1,44,29,16,55.17,5,17.24,5,17.24,3,10.34,01044
1,45,67,36,53.73,20,29.85,8,11.94,3,4.48,01045
1,46,81,53,65.43,12,14.81,11,13.58,5,6.17,01046
1,47,58,33,56.9,10,17.24,12,20.69,3,5.17,01047
1,48,74,39,52.7,19,25.68,12,16.22,4,5.41,01048
2,1,142,83,58.45,21,14.79,28,19.72,10,7.04,02001
2,2,16,7,43.75,6,37.5,1,6.25,2,12.5,02002
2,3,96,44,45.83,12,12.5,30,31.25,10,10.42,02003
2,4,91,40,43.96,12,13.19,32,35.16,7,7.69,02004
2,5,98,27,27.55,18,18.37,40,40.82,13,13.27,02005
2,6,76,49,64.47,12,15.79,11,14.47,4,5.26,02006
2,7,173,67,38.73,28,16.18,61,35.26,17,9.83,02007
2,8,145,77,53.1,20,13.79,46,31.72,2,1.38,02008
2,9,94,39,41.49,23,24.47,28,29.79,4,4.26,02009
2,10,104,61,58.65,11,10.58,26,25.0,6,5.77,02010
2,11,179,115,64.25,18,10.06,38,21.23,8,4.47,02011
2,12,86,61,70.93,9,10.47,13,15.12,3,3.49,02012
2,13,156,82,52.56,21,13.46,38,24.36,15,9.62,02013
2,14,171,63,36.84,23,13.45,81,47.37,4,2.34,02014
2,15,59,26,44.07,17,28.81,12,20.34,4,6.78,02015
2,16,75,48,64.0,7,9.33,18,24.0,2,2.67,02016
2,17,92,34,36.96,14,15.22,33,35.87,11,11.96,02017
2,18,101,60,59.41,17,16.83,22,21.78,2,1.98,02018
2,19,131,67,51.15,24,18.32,36,27.48,4,3.05,02019
2,20,225,95,42.22,36,16.0,88,39.11,6,2.67,02020
2,21,177,79,44.63,27,15.25,57,32.2,14,7.91,02021
2,22,187,86,45.99,25,13.37,70,37.43,6,3.21,02022
2,23,82,27,32.93,18,21.95,32,39.02,5,6.1,02023
2,24,64,38,59.38,10,15.63,14,21.88,2,3.13,02024
2,25,109,46,42.2,25,22.94,29,26.61,9,8.26,02025
2,26,117,49,41.88,8,6.84,52,44.44,8,6.84,02026
2,27,103,30,29.13,25,24.27,39,37.86,9,8.74,02027
2,28,51,22,43.14,12,23.53,11,21.57,6,11.76,02028
2,29,67,37,55.22,9,13.43,16,23.88,5,7.46,02029
2,30,98,41,41.84,13,13.27,38,38.78,6,6.12,02030
2,31,129,43,33.33,11,8.53,65,50.39,10,7.75,02031
2,32,37,18,48.65,9,24.32,6,16.22,4,10.81,02032
2,33,49,19,38.78,12,24.49,14,28.57,4,8.16,02033
2,34,131,60,45.8,30,22.9,29,22.14,12,9.16,02034
2,35,97,63,64.95,7,7.22,22,22.68,5,5.15,02035
2,36,167,92,55.09,21,12.57,46,27.54,8,4.79,02036
2,37,93,65,69.89,9,9.68,17,18.28,2,2.15,02037
2,38,167,106,63.47,18,10.78,34,20.36,9,5.39,02038
2,39,88,32,36.36,21,23.86,25,28.41,10,11.36,02039
2,40,185,98,52.97,26,14.05,41,22.16,20,10.81,02040
2,41,42,21,50.0,7,16.67,10,23.81,4,9.52,02041
2,42,100,52,52.0,16,16.0,23,23.0,9,9.0,02042
2,43,148,81,54.73,18,12.16,44,29.73,5,3.38,02043
2,44,91,29,31.87,18,19.78,36,39.56,8,8.79,02044
2,45,112,37,33.04,21,18.75,44,39.29,10,8.93,02045
2,46,190,59,31.05,26,13.68,100,52.63,5,2.63,02046
2,47,153,59,38.56,38,24.84,42,27.45,14,9.15,02047
2,48,112,40,35.71,23,20.54,40,35.71,9,8.04,02048
2,49,87,50,57.47,14,16.09,19,21.84,4,4.6,02049
2,50,58,23,39.66,19,32.76,12,20.69,4,6.9,02050
2,51,60,22,36.67,13,21.67,20,33.33,5,8.33,02051
2,52,152,50,32.89,32,21.05,56,36.84,14,9.21,02052
2,53,63,33,52.38,7,11.11,19,30.16,4,6.35,02053
2,54,38,22,57.89,4,10.53,12,31.58,0,0.0,02054
3,1,131,49,37.4,20,15.27,56,42.75,6,4.58,03001
3,2,191,69,36.13,24,12.57,92,48.17,6,3.14,03002
3,3,105,39,37.14,17,16.19,41,39.05,8,7.62,03003
3,4,86,22,25.58,16,18.6,47,54.65,1,1.16,03004
3,5,117,35,29.91,17,14.53,54,46.15,11,9.4,03005
3,6,11,3,27.27,3,27.27,5,45.45,0,0.0,03006
3,7,213,73,34.27,27,12.68,101,47.42,12,5.63,03007
3,8,85,23,27.06,13,15.29,40,47.06,9,10.59,03008
3,9,110,36,32.73,22,20.0,46,41.82,6,5.45,03009
3,10,31,6,19.35,8,25.81,15,48.39,2,6.45,03010
3,11,105,24,22.86,14,13.33,63,60.0,4,3.81,03011
3,12,79,23,29.11,6,7.59,39,49.37,11,13.92,03012
3,13,35,16,45.71,11,31.43,3,8.57,5,14.29,03013
3,14,117,47,40.17,25,21.37,36,30.77,9,7.69,03014
3,15,131,45,34.35,18,13.74,59,45.04,9,6.87,03015
3,16,97,31,31.96,11,11.34,51,52.58,4,4.12,03016
3,17,51,19,37.25,5,9.8,22,43.14,5,9.8,03017
3,18,59,19,32.2,10,16.95,20,33.9,10,16.95,03018
3,19,17,6,35.29,5,29.41,3,17.65,3,17.65,03019
3,20,86,31,36.05,18,20.93,34,39.53,3,3.49,03020
3,21,36,13,36.11,7,19.44,12,33.33,4,11.11,03021
3,22,62,14,22.58,15,24.19,29,46.77,4,6.45,03022
3,23,98,34,34.69,17,17.35,42,42.86,5,5.1,03023
3,24,145,57,39.31,31,21.38,48,33.1,9,6.21,03024
3,25,70,28,40.0,11,15.71,22,31.43,9,12.86,03025
3,26,23,6,26.09,2,8.7,13,56.52,2,8.7,03026
3,27,100,29,29.0,22,22.0,43,43.0,6,6.0,03027
3,28,117,65,55.56,10,8.55,33,28.21,9,7.69,03028
3,29,104,39,37.5,16,15.38,40,38.46,9,8.65,03029
3,30,94,27,28.72,13,13.83,48,51.06,6,6.38,03030
3,31,208,67,32.21,32,15.38,88,42.31,21,10.1,03031
3,32,82,18,21.95,8,9.76,54,65.85,2,2.44,03032
3,33,138,47,34.06,22,15.94,59,42.75,10,7.25,03033
3,34,104,31,29.81,16,15.38,56,53.85,1,0.96,03034
3,35,102,36,35.29,18,17.65,44,43.14,4,3.92,03035
3,36,22,10,45.45,4,18.18,6,27.27,2,9.09,03036
3,37,46,22,47.83,8,17.39,14,30.43,2,4.35,03037
3,38,226,87,38.5,36,15.93,95,42.04,8,3.54,03038
3,39,220,90,40.91,30,13.64,90,40.91,10,4.55,03039
3,40,119,45,37.82,14,11.76,54,45.38,6,5.04,03040
3,41,115,61,53.04,14,12.17,30,26.09,10,8.7,03041
3,42,97,29,29.9,24,24.74,40,41.24,4,4.12,03042
3,43,37,13,35.14,14,37.84,6,16.22,4,10.81,03043
3,44,18,5,27.78,2,11.11,8,44.44,3,16.67,03044
3,45,155,68,43.87,27,17.42,46,29.68,14,9.03,03045
3,46,45,17,37.78,8,17.78,15,33.33,5,11.11,03046
3,47,58,17,29.31,15,25.86,22,37.93,4,6.9,03047
3,48,55,12,21.82,13,23.64,24,43.64,6,10.91,03048
3,49,51,16,31.37,6,11.76,23,45.1,6,11.76,03049
3,50,43,16,37.21,9,20.93,13,30.23,5,11.63,03050
4,1,188,68,36.17,18,9.57,96,51.06,6,3.19,04001
4,2,209,73,34.93,28,13.4,104,49.76,4,1.91,04002
4,3,164,54,32.93,21,12.8,81,49.39,8,4.88,04003
4,4,155,47,30.32,22,14.19,66,42.58,20,12.9,04004
4,5,201,61,30.35,24,11.94,108,53.73,8,3.98,04005
4,6,80,16,20.0,9,11.25,55,68.75,0,0.0,04006
4,7,197,64,32.49,23,11.68,97,49.24,13,6.6,04007
4,8,189,56,29.63,25,13.23,98,51.85,10,5.29,04008
4,9,335,141,42.09,41,12.24,146,43.58,7,2.09,04009
4,10,154,41,26.62,18,11.69,89,57.79,6,3.9,04010
4,11,113,35,30.97,18,15.93,54,47.79,6,5.31,04011
4,12,99,27,27.27,10,10.1,55,55.56,7,7.07,04012
4,13,136,53,38.97,22,16.18,57,41.91,4,2.94,04013
4,14,75,21,28.0,12,16.0,38,50.67,4,5.33,04014
4,15,113,34,30.09,8,7.08,64,56.64,7,6.19,04015
4,16,184,72,39.13,22,11.96,77,41.85,13,7.07,04016
4,17,155,77,49.68,14,9.03,57,36.77,7,4.52,04017
4,18,119,32,26.89,23,19.33,56,47.06,8,6.72,04018
4,19,150,50,33.33,18,12.0,75,50.0,7,4.67,04019
4,20,129,30,23.26,29,22.48,62,48.06,8,6.2,04020
4,21,172,50,29.07,28,16.28,90,52.33,4,2.33,04021
4,22,177,69,38.98,20,11.3,82,46.33,6,3.39,04022
4,23,119,57,47.9,10,8.4,46,38.66,6,5.04,04023
4,24,136,45,33.09,12,8.82,75,55.15,4,2.94,04024
4,25,205,65,31.71,23,11.22,114,55.61,3,1.46,04025
4,26,145,50,34.48,22,15.17,67,46.21,6,4.14,04026
4,27,143,54,37.76,24,16.78,57,39.86,8,5.59,04027
4,28,91,42,46.15,9,9.89,39,42.86,1,1.1,04028
4,29,135,70,51.85,15,11.11,47,34.81,3,2.22,04029
4,30,128,41,32.03,25,19.53,54,42.19,8,6.25,04030
4,31,77,38,49.35,8,10.39,29,37.66,2,2.6,04031
4,32,127,70,55.12,15,11.81,40,31.5,2,1.57,04032
4,33,144,39,27.08,21,14.58,75,52.08,9,6.25,04033
4,34,98,45,45.92,11,11.22,39,39.8,3,3.06,04034
4,35,91,19,20.88,11,12.09,54,59.34,7,7.69,04035
4,36,91,29,31.87,8,8.79,48,52.75,6,6.59,04036
4,37,1,0,0.0,0,0.0,1,100.0,0,0.0,04037
4,38,235,85,36.17,27,11.49,121,51.49,2,0.85,04038
4,39,93,22,23.66,16,17.2,51,54.84,4,4.3,04039
4,40,162,57,35.19,18,11.11,84,51.85,3,1.85,04040
4,41,53,31,58.49,7,13.21,14,26.42,1,1.89,04041
4,42,181,59,32.6,21,11.6,92,50.83,9,4.97,04042
4,43,82,38,46.34,7,8.54,32,39.02,5,6.1,04043
4,44,68,22,32.35,13,19.12,31,45.59,2,2.94,04044
4,45,304,111,36.51,28,9.21,155,50.99,10,3.29,04045
4,46,109,35,32.11,19,17.43,52,47.71,3,2.75,04046
4,47,138,48,34.78,15,10.87,69,50.0,6,4.35,04047
4,48,164,74,45.12,14,8.54,67,40.85,9,5.49,04048
4,49,131,46,35.11,24,18.32,56,42.75,5,3.82,04049
4,50,153,50,32.68,24,15.69,75,49.02,4,2.61,04050
4,51,188,52,27.66,18,9.57,106,56.38,12,6.38,04051
4,52,161,46,28.57,34,21.12,67,41.61,14,8.7,04052
5,1,153,50,32.68,23,15.03,70,45.75,10,6.54,05001
5,2,176,51,28.98,42,23.86,72,40.91,11,6.25,05002
5,3,67,25,37.31,5,7.46,34,50.75,3,4.48,05003
5,4,99,26,26.26,11,11.11,57,57.58,5,5.05,05004
5,5,113,41,36.28,24,21.24,40,35.4,8,7.08,05005
5,6,169,68,40.24,19,11.24,76,44.97,6,3.55,05006
5,7,176,53,30.11,32,18.18,70,39.77,21,11.93,05007
5,8,149,104,69.8,7,4.7,35,23.49,3,2.01,05008
5,9,124,38,30.65,26,20.97,48,38.71,12,9.68,05009
5,10,93,27,29.03,19,20.43,43,46.24,4,4.3,05010
5,11,285,125,43.86,37,12.98,114,40.0,9,3.16,05011
5,12,77,33,42.86,16,20.78,24,31.17,4,5.19,05012
5,13,143,50,34.97,15,10.49,67,46.85,11,7.69,05013
5,14,225,87,38.67,28,12.44,100,44.44,10,4.44,05014
5,15,101,41,40.59,15,14.85,42,41.58,3,2.97,05015
5,16,90,36,40.0,15,16.67,29,32.22,10,11.11,05016
5,17,141,59,41.84,21,14.89,48,34.04,13,9.22,05017
5,18,127,36,28.35,21,16.54,59,46.46,11,8.66,05018
5,19,65,22,33.85,12,18.46,28,43.08,3,4.62,05019
5,20,45,14,31.11,11,24.44,18,40.0,2,4.44,05020
5,21,175,51,29.14,39,22.29,75,42.86,10,5.71,05021
5,22,140,51,36.43,27,19.29,50,35.71,12,8.57,05022
5,23,80,29,36.25,17,21.25,29,36.25,5,6.25,05023
5,24,160,78,48.75,15,9.38,62,38.75,5,3.13,05024
5,25,108,36,33.33,27,25.0,40,37.04,5,4.63,05025
5,26,155,63,40.65,27,17.42,57,36.77,8,5.16,05026
5,27,109,67,61.47,12,11.01,27,24.77,3,2.75,05027
5,28,181,43,23.76,22,12.15,112,61.88,4,2.21,05028
5,29,127,36,28.35,16,12.6,71,55.91,4,3.15,05029
5,30,107,66,61.68,12,11.21,26,24.3,3,2.8,05030
5,31,102,35,34.31,14,13.73,45,44.12,8,7.84,05031
5,32,285,113,39.65,27,9.47,139,48.77,6,2.11,05032
5,33,119,66,55.46,23,19.33,24,20.17,6,5.04,05033
5,34,137,38,27.74,27,19.71,59,43.07,13,9.49,05034
5,35,168,87,51.79,23,13.69,54,32.14,4,2.38,05035
5,36,224,85,37.95,28,12.5,90,40.18,21,9.38,05036
5,37,287,163,56.79,33,11.5,80,27.87,11,3.83,05037
5,38,85,40,47.06,18,21.18,24,28.24,3,3.53,05038
5,39,138,53,38.41,13,9.42,66,47.83,6,4.35,05039
5,40,122,47,38.52,12,9.84,56,45.9,7,5.74,05040
5,41,183,132,72.13,17,9.29,31,16.94,3,1.64,05041
5,42,67,22,32.84,15,22.39,24,35.82,6,8.96,05042
5,43,163,45,27.61,17,10.43,98,60.12,3,1.84,05043
5,44,131,46,35.11,19,14.5,56,42.75,10,7.63,05044
5,45,116,45,38.79,21,18.1,39,33.62,11,9.48,05045
5,46,141,85,60.28,11,7.8,43,30.5,2,1.42,05046
5,47,101,48,47.52,15,14.85,35,34.65,3,2.97,05047
5,48,90,53,58.89,11,12.22,22,24.44,4,4.44,05048
6,1,223,54,24.22,25,11.21,137,61.43,7,3.14,06001
6,2,183,49,26.78,35,19.13,93,50.82,6,3.28,06002
6,3,172,50,29.07,19,11.05,91,52.91,12,6.98,06003
6,4,96,38,39.58,17,17.71,33,34.38,8,8.33,06004
6,5,138,36,26.09,18,13.04,77,55.8,7,5.07,06005
6,6,272,71,26.1,43,15.81,146,53.68,12,4.41,06006
6,7,194,62,31.96,37,19.07,83,42.78,12,6.19,06007
6,8,202,52,25.74,25,12.38,116,57.43,9,4.46,06008
6,9,153,45,29.41,33,21.57,70,45.75,5,3.27,06009
6,10,274,115,41.97,34,12.41,116,42.34,9,3.28,06010
6,11,115,35,30.43,12,10.43,62,53.91,6,5.22,06011
6,12,140,46,32.86,23,16.43,55,39.29,16,11.43,06012
6,13,116,38,32.76,23,19.83,46,39.66,9,7.76,06013
6,14,122,37,30.33,26,21.31,53,43.44,6,4.92,06014
6,15,75,19,25.33,17,22.67,35,46.67,4,5.33,06015
6,16,188,45,23.94,23,12.23,114,60.64,6,3.19,06016
6,17,181,48,26.52,25,13.81,106,58.56,2,1.1,06017
6,18,59,16,27.12,11,18.64,25,42.37,7,11.86,06018
6,19,155,48,30.97,24,15.48,77,49.68,6,3.87,06019
6,20,134,50,37.31,20,14.93,60,44.78,4,2.99,06020
6,21,192,53,27.6,24,12.5,103,53.65,12,6.25,06021
6,22,160,49,30.63,21,13.13,81,50.63,9,5.63,06022
6,23,131,56,42.75,20,15.27,49,37.4,6,4.58,06023
6,24,159,42,26.42,28,17.61,88,55.35,1,0.63,06024
6,25,95,30,31.58,8,8.42,53,55.79,4,4.21,06025
6,26,156,41,26.28,28,17.95,81,51.92,6,3.85,06026
6,27,204,72,35.29,33,16.18,93,45.59,6,2.94,06027
6,28,296,77,26.01,41,13.85,169,57.09,9,3.04,06028
6,29,200,58,29.0,28,14.0,101,50.5,13,6.5,06029
6,30,105,32,30.48,17,16.19,52,49.52,4,3.81,06030
6,31,182,49,26.92,29,15.93,95,52.2,9,4.95,06031
6,32,135,34,25.19,21,15.56,73,54.07,7,5.19,06032
6,33,181,51,28.18,30,16.57,92,50.83,8,4.42,06033
6,34,113,34,30.09,14,12.39,60,53.1,5,4.42,06034
6,35,148,46,31.08,24,16.22,68,45.95,10,6.76,06035
6,36,67,29,43.28,10,14.93,23,34.33,5,7.46,06036
6,37,208,54,25.96,34,16.35,115,55.29,5,2.4,06037
6,38,155,55,35.48,22,14.19,70,45.16,8,5.16,06038
6,39,86,24,27.91,11,12.79,42,48.84,9,10.47,06039
6,40,209,50,23.92,26,12.44,123,58.85,10,4.78,06040
6,41,190,55,28.95,25,13.16,101,53.16,9,4.74,06041
6,42,50,13,26.0,9,18.0,27,54.0,1,2.0,06042
6,43,159,42,26.42,31,19.5,80,50.31,6,3.77,06043
6,44,175,44,25.14,25,14.29,99,56.57,7,4.0,06044
6,45,220,76,34.55,32,14.55,107,48.64,5,2.27,06045
6,46,144,42,29.17,16,11.11,80,55.56,6,4.17,06046
6,47,170,41,24.12,35,20.59,90,52.94,4,2.35,06047
6,48,115,41,35.65,19,16.52,48,41.74,7,6.09,06048
6,49,163,56,34.36,30,18.4,68,41.72,9,5.52,06049
6,50,208,65,31.25,29,13.94,107,51.44,7,3.37,06050
6,51,151,35,23.18,29,19.21,82,54.3,5,3.31,06051
6,52,95,34,35.79,12,12.63,44,46.32,5,5.26,06052
6,53,140,34,24.29,25,17.86,75,53.57,6,4.29,06053
6,54,135,46,34.07,22,16.3,59,43.7,8,5.93,06054
6,55,107,22,20.56,19,17.76,55,51.4,11,10.28,06055
6,56,104,30,28.85,22,21.15,48,46.15,4,3.85,06056
6,57,150,36,24.0,28,18.67,78,52.0,8,5.33,06057
6,58,193,49,25.39,27,13.99,111,57.51,6,3.11,06058
6,59,137,34,24.82,36,26.28,63,45.99,4,2.92,06059
7,1,276,87,31.52,46,16.67,138,50.0,5,1.81,07001
7,2,149,47,31.54,31,20.81,60,40.27,11,7.38,07002
7,3,144,42,29.17,29,20.14,65,45.14,8,5.56,07003
7,4,86,28,32.56,17,19.77,34,39.53,7,8.14,07004
7,5,71,29,40.85,14,19.72,21,29.58,7,9.86,07005
7,6,98,27,27.55,17,17.35,44,44.9,10,10.2,07006
7,7,78,32,41.03,14,17.95,25,32.05,7,8.97,07007
7,8,31,6,19.35,10,32.26,11,35.48,4,12.9,07008
7,9,249,69,27.71,30,12.05,128,51.41,22,8.84,07009
7,10,164,57,34.76,27,16.46,62,37.8,18,10.98,07010
7,11,150,53,35.33,22,14.67,66,44.0,9,6.0,07011
7,12,145,48,33.1,24,16.55,61,42.07,12,8.28,07012
7,13,221,71,32.13,39,17.65,101,45.7,10,4.52,07013
7,14,142,40,28.17,24,16.9,65,45.77,13,9.15,07014
7,15,124,41,33.06,14,11.29,63,50.81,6,4.84,07015
7,16,141,46,32.62,23,16.31,62,43.97,10,7.09,07016
7,17,64,26,40.63,10,15.63,23,35.94,5,7.81,07017
7,18,169,59,34.91,45,26.63,51,30.18,14,8.28,07018
7,19,185,54,29.19,43,23.24,72,38.92,16,8.65,07019
7,20,35,12,34.29,7,20.0,10,28.57,6,17.14,07020
7,21,97,33,34.02,23,23.71,34,35.05,7,7.22,07021
7,22,69,21,30.43,13,18.84,30,43.48,5,7.25,07022
7,23,103,39,37.86,11,10.68,44,42.72,9,8.74,07023
7,24,226,72,31.86,38,16.81,98,43.36,18,7.96,07024
7,25,237,83,35.02,42,17.72,103,43.46,9,3.8,07025
7,26,142,50,35.21,27,19.01,56,39.44,9,6.34,07026
7,27,224,80,35.71,43,19.2,89,39.73,12,5.36,07027
7,28,108,36,33.33,16,14.81,48,44.44,8,7.41,07028
7,29,93,34,36.56,15,16.13,37,39.78,7,7.53,07029
7,30,158,49,31.01,24,15.19,77,48.73,8,5.06,07030
7,31,143,54,37.76,15,10.49,65,45.45,9,6.29,07031
7,32,65,26,40.0,14,21.54,21,32.31,4,6.15,07032
7,33,115,35,30.43,23,20.0,50,43.48,7,6.09,07033
7,34,43,15,34.88,14,32.56,12,27.91,2,4.65,07034
7,35,174,38,21.84,25,14.37,103,59.2,8,4.6,07035
7,36,120,41,34.17,28,23.33,43,35.83,8,6.67,07036
7,37,172,63,36.63,27,15.7,68,39.53,14,8.14,07037
7,38,194,76,39.18,37,19.07,69,35.57,12,6.19,07038
7,39,300,91,30.33,57,19.0,142,47.33,10,3.33,07039
7,40,160,61,38.13,26,16.25,56,35.0,17,10.63,07040
7,41,99,38,38.38,19,19.19,34,34.34,8,8.08,07041
7,42,180,76,42.22,37,20.56,63,35.0,4,2.22,07042
7,43,123,44,35.77,31,25.2,41,33.33,7,5.69,07043
7,44,185,57,30.81,33,17.84,85,45.95,10,5.41,07044
7,45,196,53,27.04,32,16.33,100,51.02,11,5.61,07045
7,46,91,49,53.85,15,16.48,23,25.27,4,4.4,07046
7,47,89,28,31.46,21,23.6,34,38.2,6,6.74,07047
7,48,109,37,33.94,24,22.02,39,35.78,9,8.26,07048
7,49,232,76,32.76,31,13.36,116,50.0,9,3.88,07049
8,1,165,70,42.42,24,14.55,70,42.42,1,0.61,08001
8,2,65,28,43.08,8,12.31,27,41.54,2,3.08,08002
8,3,219,84,38.36,34,15.53,97,44.29,4,1.83,08003
8,4,318,126,39.62,51,16.04,133,41.82,8,2.52,08004
8,5,346,115,33.24,36,10.4,187,54.05,8,2.31,08005
8,6,153,58,37.91,30,19.61,60,39.22,5,3.27,08006
8,7,117,55,47.01,21,17.95,38,32.48,3,2.56,08007
8,8,181,72,39.78,22,12.15,83,45.86,4,2.21,08008
8,9,209,68,32.54,30,14.35,106,50.72,5,2.39,08009
8,10,210,77,36.67,21,10.0,108,51.43,4,1.9,08010
8,11,134,73,54.48,20,14.93,33,24.63,8,5.97,08011
8,12,112,46,41.07,16,14.29,44,39.29,6,5.36,08012
8,13,93,28,30.11,22,23.66,34,36.56,9,9.68,08013
8,14,87,38,43.68,12,13.79,30,34.48,7,8.05,08014
8,15,116,55,47.41,15,12.93,41,35.34,5,4.31,08015
8,16,175,66,37.71,20,11.43,84,48.0,5,2.86,08016
8,17,164,67,40.85,22,13.41,63,38.41,12,7.32,08017
8,18,68,31,45.59,10,14.71,21,30.88,6,8.82,08018
8,19,191,64,33.51,30,15.71,95,49.74,2,1.05,08019
8,20,230,101,43.91,32,13.91,83,36.09,14,6.09,08020
8,21,121,55,45.45,16,13.22,44,36.36,6,4.96,08021
8,22,120,49,40.83,15,12.5,48,40.0,8,6.67,08022
8,23,117,41,35.04,14,11.97,57,48.72,5,4.27,08023
8,24,155,37,23.87,28,18.06,85,54.84,5,3.23,08024
8,25,135,62,45.93,11,8.15,58,42.96,4,2.96,08025
8,26,83,32,38.55,12,14.46,35,42.17,4,4.82,08026
8,27,175,56,32.0,22,12.57,92,52.57,5,2.86,08027
8,28,264,112,42.42,28,10.61,117,44.32,7,2.65,08028
8,29,135,73,54.07,18,13.33,36,26.67,8,5.93,08029
8,30,108,43,39.81,16,14.81,47,43.52,2,1.85,08030
8,31,96,30,31.25,19,19.79,44,45.83,3,3.13,08031
8,32,212,78,36.79,35,16.51,88,41.51,11,5.19,08032
8,33,184,80,43.48,20,10.87,73,39.67,11,5.98,08033
8,34,175,82,46.86,22,12.57,59,33.71,12,6.86,08034
8,35,192,67,34.9,36,18.75,85,44.27,4,2.08,08035
8,36,158,70,44.3,21,13.29,63,39.87,4,2.53,08036
8,37,145,60,41.38,19,13.1,50,34.48,16,11.03,08037
8,38,115,46,40.0,18,15.65,42,36.52,9,7.83,08038
8,39,153,42,27.45,39,25.49,68,44.44,4,2.61,08039
8,40,111,60,54.05,16,14.41,27,24.32,8,7.21,08040
8,41,113,33,29.2,21,18.58,56,49.56,3,2.65,08041
8,42,162,70,43.21,20,12.35,66,40.74,6,3.7,08042
8,43,65,27,41.54,12,18.46,20,30.77,6,9.23,08043
8,44,115,33,28.7,22,19.13,53,46.09,7,6.09,08044
8,45,92,38,41.3,13,14.13,34,36.96,7,7.61,08045
8,46,145,45,31.03,20,13.79,74,51.03,6,4.14,08046
8,47,179,62,34.64,26,14.53,84,46.93,7,3.91,08047
8,48,121,59,48.76,14,11.57,42,34.71,6,4.96,08048
8,49,182,85,46.7,21,11.54,67,36.81,9,4.95,08049
8,50,139,62,44.6,12,8.63,61,43.88,4,2.88,08050
8,51,185,85,45.95,29,15.68,66,35.68,5,2.7,08051
8,52,156,52,33.33,28,17.95,69,44.23,7,4.49,08052
8,53,154,49,31.82,30,19.48,67,43.51,8,5.19,08053
8,54,133,44,33.08,26,19.55,61,45.86,2,1.5,08054
8,55,85,43,50.59,6,7.06,33,38.82,3,3.53,08055
8,56,135,64,47.41,17,12.59,49,36.3,5,3.7,08056
