ward,precinct,total,Beatriz Santiago,Beatriz Santiago Percent,Mark V. Ferrante,Mark V. Ferrante Percent,"Gregory Emmett Ahern, Jr.","Gregory Emmett Ahern, Jr. Percent",Carlos Claudio,Carlos Claudio Percent,Ricardo Lugo,Ricardo Lugo Percent,Unnamed: 13,precinct_id
31,2,68,38,55.88,4,5.88,12,17.65,5,7.35,0,0.0,646,31002
31,4,45,30,66.67,4,8.89,5,11.11,2,4.44,0,0.0,650,31004
31,5,84,38,45.24,5,5.95,19,22.62,18,21.43,0,0.0,654,31005
31,6,58,31,53.45,4,6.9,6,10.34,12,20.69,0,0.0,659,31006
31,7,56,29,51.79,1,1.79,8,14.29,13,23.21,0,0.0,664,31007
31,10,43,19,44.19,8,18.6,5,11.63,4,9.3,0,0.0,671,31010
31,11,73,34,46.58,7,9.59,11,15.07,12,16.44,0,0.0,680,31011
31,12,32,19,59.38,1,3.13,5,15.63,5,15.63,0,0.0,682,31012
31,13,51,31,60.78,0,0.0,4,7.84,11,21.57,0,0.0,687,31013
31,14,53,39,73.58,3,5.66,3,5.66,4,7.55,0,0.0,691,31014
31,17,42,27,64.29,0,0.0,5,11.9,6,14.29,0,0.0,695,31017
31,18,48,28,58.33,1,2.08,4,8.33,6,12.5,0,0.0,704,31018
31,19,72,47,65.28,6,8.33,8,11.11,6,8.33,0,0.0,709,31019
31,20,38,14,36.84,4,10.53,6,15.79,4,10.53,0,0.0,719,31020
31,21,45,24,53.33,1,2.22,9,20.0,6,13.33,0,0.0,724,31021
31,22,36,16,44.44,4,11.11,6,16.67,6,16.67,0,0.0,728,31022
31,23,43,28,65.12,2,4.65,4,9.3,7,16.28,0,0.0,730,31023
31,24,71,46,64.79,3,4.23,3,4.23,2,2.82,0,0.0,747,31024
31,25,28,16,57.14,1,3.57,2,7.14,0,0.0,0,0.0,756,31025
31,27,36,21,58.33,0,0.0,4,11.11,5,13.89,0,0.0,762,31027
31,28,49,28,57.14,2,4.08,9,18.37,6,12.24,0,0.0,766,31028
31,30,76,45,59.21,10,13.16,7,9.21,4,5.26,0,0.0,776,31030
31,31,89,41,46.07,5,5.62,18,20.22,14,15.73,0,0.0,787,31031
31,32,80,39,48.75,8,10.0,12,15.0,10,12.5,0,0.0,798,31032
31,33,73,41,56.16,6,8.22,12,16.44,7,9.59,0,0.0,805,31033
31,34,23,13,56.52,0,0.0,1,4.35,4,17.39,0,0.0,810,31034
31,35,40,28,70.0,2,5.0,4,10.0,0,0.0,0,0.0,816,31035
31,36,56,33,58.93,6,10.71,3,5.36,6,10.71,0,0.0,824,31036
31,37,22,7,31.82,1,4.55,4,18.18,3,13.64,0,0.0,831,31037
31,38,10,6,60.0,0,0.0,3,30.0,1,10.0,0,0.0,831,31038
31,39,24,16,66.67,0,0.0,1,4.17,4,16.67,0,0.0,834,31039
31,40,59,28,47.46,2,3.39,16,27.12,7,11.86,0,0.0,840,31040
31,41,66,35,53.03,3,4.55,10,15.15,9,13.64,0,0.0,849,31041
31,42,55,30,54.55,1,1.82,4,7.27,4,7.27,0,0.0,865,31042
31,44,28,18,64.29,1,3.57,5,17.86,2,7.14,0,0.0,867,31044
31,46,58,39,67.24,2,3.45,6,10.34,5,8.62,0,0.0,873,31046
31,47,52,21,40.38,5,9.62,9,17.31,11,21.15,0,0.0,879,31047
32,1,77,11,14.29,10,12.99,43,55.84,5,6.49,0,0.0,887,32001
32,2,75,15,20.0,20,26.67,27,36.0,7,9.33,0,0.0,893,32002
32,3,43,9,20.93,12,27.91,16,37.21,4,9.3,0,0.0,895,32003
32,4,95,20,21.05,24,25.26,37,38.95,9,9.47,0,0.0,900,32004
32,5,45,10,22.22,4,8.89,19,42.22,8,17.78,0,0.0,904,32005
32,6,57,15,26.32,15,26.32,17,29.82,6,10.53,0,0.0,908,32006
32,9,55,8,14.55,29,52.73,13,23.64,2,3.64,0,0.0,911,32009
32,11,49,17,34.69,6,12.24,25,51.02,1,2.04,0,0.0,911,32011
32,12,42,20,47.62,5,11.9,13,30.95,2,4.76,0,0.0,913,32012
32,14,67,17,25.37,12,17.91,27,40.3,4,5.97,0,0.0,920,32014
32,15,18,4,22.22,4,22.22,7,38.89,1,5.56,0,0.0,922,32015
32,16,57,16,28.07,9,15.79,26,45.61,3,5.26,0,0.0,925,32016
32,17,65,12,18.46,12,18.46,37,56.92,1,1.54,0,0.0,928,32017
32,19,23,7,30.43,1,4.35,8,34.78,6,26.09,0,0.0,929,32019
32,20,22,7,31.82,3,13.64,10,45.45,1,4.55,0,0.0,930,32020
32,24,40,6,15.0,11,27.5,17,42.5,3,7.5,0,0.0,933,32024
32,26,49,15,30.61,6,12.24,24,48.98,2,4.08,0,0.0,935,32026
32,27,3,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,936,32027
32,28,43,14,32.56,8,18.6,18,41.86,2,4.65,0,0.0,937,32028
32,29,51,21,41.18,8,15.69,18,35.29,3,5.88,0,0.0,938,32029
32,30,33,6,18.18,8,24.24,16,48.48,2,6.06,0,0.0,939,32030
32,31,90,18,20.0,10,11.11,49,54.44,9,10.0,0,0.0,943,32031
32,33,61,17,27.87,6,9.84,26,42.62,5,8.2,0,0.0,950,32033
32,34,41,8,19.51,7,17.07,19,46.34,4,9.76,0,0.0,953,32034
32,35,62,16,25.81,11,17.74,28,45.16,4,6.45,0,0.0,956,32035
32,36,55,15,27.27,9,16.36,27,49.09,2,3.64,0,0.0,958,32036
32,40,50,8,16.0,13,26.0,21,42.0,2,4.0,0,0.0,964,32040
32,41,52,12,23.08,10,19.23,27,51.92,1,1.92,0,0.0,966,32041
32,42,63,17,26.98,17,26.98,19,30.16,4,6.35,0,0.0,972,32042
32,45,33,8,24.24,6,18.18,17,51.52,2,6.06,0,0.0,972,32045
32,46,15,4,26.67,3,20.0,4,26.67,3,20.0,0,0.0,973,32046
32,52,28,3,10.71,2,7.14,17,60.71,5,17.86,0,0.0,974,32052
33,1,56,16,28.57,8,14.29,22,39.29,3,5.36,0,0.0,981,33001
33,2,93,23,24.73,21,22.58,32,34.41,3,3.23,0,0.0,995,33002
33,3,58,18,31.03,8,13.79,22,37.93,7,12.07,0,0.0,998,33003
33,4,68,28,41.18,12,17.65,18,26.47,5,7.35,0,0.0,1003,33004
33,6,109,55,50.46,5,4.59,38,34.86,6,5.5,0,0.0,1008,33006
33,7,140,38,27.14,25,17.86,72,51.43,1,0.71,0,0.0,1012,33007
33,8,57,21,36.84,9,15.79,21,36.84,1,1.75,0,0.0,1017,33008
33,10,98,25,25.51,4,4.08,41,41.84,7,7.14,0,0.0,1038,33010
33,11,72,24,33.33,13,18.06,21,29.17,5,6.94,0,0.0,1047,33011
33,12,77,39,50.65,9,11.69,25,32.47,2,2.6,0,0.0,1049,33012
33,13,71,24,33.8,6,8.45,24,33.8,5,7.04,0,0.0,1061,33013
33,15,73,13,17.81,6,8.22,35,47.95,2,2.74,0,0.0,1078,33015
33,16,46,28,60.87,3,6.52,7,15.22,3,6.52,0,0.0,1083,33016
33,17,82,35,42.68,7,8.54,32,39.02,2,2.44,0,0.0,1089,33017
33,19,64,26,40.63,11,17.19,15,23.44,4,6.25,0,0.0,1097,33019
33,20,74,29,39.19,8,10.81,15,20.27,4,5.41,0,0.0,1115,33020
33,21,82,31,37.8,4,4.88,35,42.68,5,6.1,0,0.0,1122,33021
33,22,134,48,35.82,12,8.96,59,44.03,10,7.46,0,0.0,1127,33022
33,23,83,27,32.53,14,16.87,32,38.55,4,4.82,0,0.0,1133,33023
33,24,116,27,23.28,30,25.86,42,36.21,3,2.59,0,0.0,1147,33024
33,25,82,31,37.8,8,9.76,21,25.61,6,7.32,0,0.0,1163,33025
33,26,68,24,35.29,12,17.65,17,25.0,5,7.35,0,0.0,1173,33026
33,27,58,20,34.48,11,18.97,19,32.76,6,10.34,0,0.0,1175,33027
35,1,68,16,23.53,14,20.59,9,13.24,3,4.41,0,0.0,1201,35001
35,2,55,18,32.73,7,12.73,7,12.73,12,21.82,0,0.0,1212,35002
35,3,51,15,29.41,8,15.69,7,13.73,4,7.84,0,0.0,1229,35003
35,4,62,22,35.48,6,9.68,28,45.16,2,3.23,0,0.0,1233,35004
35,5,57,26,45.61,4,7.02,15,26.32,5,8.77,0,0.0,1240,35005
35,6,60,20,33.33,3,5.0,18,30.0,12,20.0,0,0.0,1247,35006
35,7,111,34,30.63,23,20.72,32,28.83,14,12.61,0,0.0,1255,35007
35,8,89,31,34.83,12,13.48,24,26.97,20,22.47,0,0.0,1257,35008
35,9,65,33,50.77,7,10.77,16,24.62,8,12.31,0,0.0,1258,35009
35,10,112,37,33.04,17,15.18,15,13.39,20,17.86,0,0.0,1281,35010
35,11,75,33,44.0,5,6.67,16,21.33,8,10.67,0,0.0,1294,35011
35,12,135,31,22.96,14,10.37,44,32.59,22,16.3,0,0.0,1318,35012
35,14,83,41,49.4,6,7.23,16,19.28,12,14.46,0,0.0,1326,35014
35,15,93,34,36.56,17,18.28,16,17.2,13,13.98,0,0.0,1339,35015
35,16,94,31,32.98,15,15.96,25,26.6,15,15.96,0,0.0,1347,35016
35,17,80,34,42.5,13,16.25,5,6.25,15,18.75,0,0.0,1360,35017
35,18,72,21,29.17,17,23.61,9,12.5,9,12.5,0,0.0,1376,35018
35,19,87,27,31.03,16,18.39,23,26.44,9,10.34,0,0.0,1388,35019
35,20,44,22,50.0,3,6.82,5,11.36,6,13.64,0,0.0,1396,35020
35,21,77,31,40.26,9,11.69,13,16.88,10,12.99,0,0.0,1410,35021
35,23,44,7,15.91,6,13.64,2,4.55,27,61.36,0,0.0,1412,35023
35,24,26,11,42.31,3,11.54,7,26.92,1,3.85,0,0.0,1416,35024
35,25,109,34,31.19,26,23.85,25,22.94,18,16.51,0,0.0,1422,35025
35,26,60,24,40.0,9,15.0,16,26.67,7,11.67,0,0.0,1426,35026
35,27,124,28,22.58,31,25.0,34,27.42,19,15.32,0,0.0,1438,35027
35,28,102,30,29.41,22,21.57,15,14.71,19,18.63,0,0.0,1454,35028
35,29,108,24,22.22,14,12.96,33,30.56,22,20.37,0,0.0,1469,35029
35,30,175,47,26.86,26,14.86,48,27.43,23,13.14,0,0.0,1500,35030
35,31,44,11,25.0,11,25.0,4,9.09,12,27.27,0,0.0,1506,35031
35,32,47,25,53.19,0,0.0,3,6.38,16,34.04,0,0.0,1509,35032
35,34,107,35,32.71,23,21.5,18,16.82,23,21.5,0,0.0,1517,35034
35,35,67,28,41.79,9,13.43,7,10.45,15,22.39,0,0.0,1525,35035
35,36,70,34,48.57,8,11.43,11,15.71,9,12.86,0,0.0,1533,35036
37,1,27,14,51.85,1,3.7,4,14.81,2,7.41,0,0.0,1539,37001
37,2,74,25,33.78,6,8.11,31,41.89,9,12.16,0,0.0,1542,37002
37,3,38,19,50.0,3,7.89,7,18.42,6,15.79,0,0.0,1545,37003
37,10,106,76,71.7,1,0.94,25,23.58,1,0.94,0,0.0,1548,37010
37,12,46,20,43.48,7,15.22,10,21.74,4,8.7,0,0.0,1553,37012
37,19,38,15,39.47,6,15.79,4,10.53,4,10.53,0,0.0,1562,37019
37,22,69,50,72.46,1,1.45,15,21.74,2,2.9,0,0.0,1563,37022
37,39,8,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0,1566,37039
37,42,38,17,44.74,1,2.63,9,23.68,7,18.42,0,0.0,1570,37042
47,15,74,26,35.14,16,21.62,28,37.84,2,2.7,0,0.0,1572,47015
47,21,62,16,25.81,12,19.35,33,53.23,1,1.61,0,0.0,1572,47021
47,40,41,11,26.83,6,14.63,20,48.78,1,2.44,0,0.0,1575,47040
