ward,precinct,total,Jacques A. Conway,Jacques A. Conway Percent,Danny K. Davis,Danny K. Davis Percent,precinct_id
3,35,109,8,7.34,101,92.66,03035
3,36,27,2,7.41,25,92.59,03036
3,37,45,4,8.89,41,91.11,03037
3,39,248,10,4.03,238,95.97,03039
3,40,128,16,12.5,112,87.5,03040
3,42,95,7,7.37,88,92.63,03042
3,43,41,3,7.32,38,92.68,03043
3,44,19,3,15.79,16,84.21,03044
3,45,165,25,15.15,140,84.85,03045
3,46,50,5,10.0,45,90.0,03046
3,47,60,11,18.33,49,81.67,03047
3,48,67,6,8.96,61,91.04,03048
3,49,45,6,13.33,39,86.67,03049
3,50,49,2,4.08,47,95.92,03050
4,4,168,18,10.71,150,89.29,04004
4,5,206,20,9.71,186,90.29,04005
4,6,82,2,2.44,80,97.56,04006
4,7,208,16,7.69,192,92.31,04007
4,10,157,11,7.01,146,92.99,04010
4,11,114,9,7.89,105,92.11,04011
4,14,79,9,11.39,70,88.61,04014
4,15,123,11,8.94,112,91.06,04015
4,25,216,16,7.41,200,92.59,04025
4,27,146,16,10.96,130,89.04,04027
4,30,133,10,7.52,123,92.48,04030
4,35,96,11,11.46,85,88.54,04035
4,36,97,14,14.43,83,85.57,04036
4,42,190,17,8.95,173,91.05,04042
11,14,71,34,47.89,37,52.11,11014
11,27,84,41,48.81,43,51.19,11027
11,34,68,20,29.41,48,70.59,11034
11,36,22,7,31.82,15,68.18,11036
11,46,85,32,37.65,53,62.35,11046
12,6,71,27,38.03,44,61.97,12006
12,18,113,39,34.51,74,65.49,12018
15,1,130,28,21.54,102,78.46,15001
15,2,53,5,9.43,48,90.57,15002
15,3,46,4,8.7,42,91.3,15003
15,4,118,11,9.32,107,90.68,15004
15,5,40,7,17.5,33,82.5,15005
15,7,77,10,12.99,67,87.01,15007
15,9,60,7,11.67,53,88.33,15009
15,11,62,5,8.06,57,91.94,15011
15,12,43,2,4.65,41,95.35,15012
15,13,67,13,19.4,54,80.6,15013
15,14,61,12,19.67,49,80.33,15014
15,15,31,9,29.03,22,70.97,15015
15,17,71,6,8.45,65,91.55,15017
15,18,116,25,21.55,91,78.45,15018
15,19,80,19,23.75,61,76.25,15019
15,20,48,8,16.67,40,83.33,15020
15,21,80,15,18.75,65,81.25,15021
15,22,99,10,10.1,89,89.9,15022
15,23,113,5,4.42,108,95.58,15023
15,24,52,5,9.62,47,90.38,15024
15,25,46,13,28.26,33,71.74,15025
15,26,111,15,13.51,96,86.49,15026
15,27,54,7,12.96,47,87.04,15027
15,29,18,3,16.67,15,83.33,15029
15,30,42,7,16.67,35,83.33,15030
15,31,109,14,12.84,95,87.16,15031
15,32,48,13,27.08,35,72.92,15032
15,33,50,10,20.0,40,80.0,15033
15,34,59,6,10.17,53,89.83,15034
15,35,74,3,4.05,71,95.95,15035
15,36,76,15,19.74,61,80.26,15036
15,37,58,9,15.52,49,84.48,15037
15,38,79,13,16.46,66,83.54,15038
15,39,35,9,25.71,26,74.29,15039
15,40,35,4,11.43,31,88.57,15040
15,42,127,13,10.24,114,89.76,15042
16,1,38,12,31.58,26,68.42,16001
16,2,43,5,11.63,38,88.37,16002
16,3,75,10,13.33,65,86.67,16003
16,4,32,10,31.25,22,68.75,16004
16,5,47,11,23.4,36,76.6,16005
16,6,24,7,29.17,17,70.83,16006
16,7,56,8,14.29,48,85.71,16007
16,8,50,9,18.0,41,82.0,16008
16,10,81,7,8.64,74,91.36,16010
16,11,57,13,22.81,44,77.19,16011
16,12,106,18,16.98,88,83.02,16012
16,13,4,0,0.0,4,100.0,16013
16,14,56,7,12.5,49,87.5,16014
16,15,73,11,15.07,62,84.93,16015
16,16,130,21,16.15,109,83.85,16016
16,18,79,12,15.19,67,84.81,16018
16,19,74,8,10.81,66,89.19,16019
16,20,107,11,10.28,96,89.72,16020
16,25,56,3,5.36,53,94.64,16025
16,26,73,14,19.18,59,80.82,16026
16,27,137,21,15.33,116,84.67,16027
16,30,53,14,26.42,39,73.58,16030
16,31,87,10,11.49,77,88.51,16031
16,33,49,5,10.2,44,89.8,16033
16,34,39,3,7.69,36,92.31,16034
16,36,96,11,11.46,85,88.54,16036
16,38,52,12,23.08,40,76.92,16038
16,40,76,16,21.05,60,78.95,16040
17,1,98,21,21.43,77,78.57,17001
17,8,27,7,25.93,20,74.07,17008
17,14,73,9,12.33,64,87.67,17014
17,19,37,6,16.22,31,83.78,17019
17,31,101,9,8.91,92,91.09,17031
17,34,79,14,17.72,65,82.28,17034
17,36,46,7,15.22,39,84.78,17036
17,37,102,17,16.67,85,83.33,17037
17,39,80,12,15.0,68,85.0,17039
17,41,60,11,18.33,49,81.67,17041
17,42,65,6,9.23,59,90.77,17042
17,46,83,8,9.64,75,90.36,17046
20,15,25,11,44.0,14,56.0,20015
20,19,73,11,15.07,62,84.93,20019
20,27,70,10,14.29,60,85.71,20027
20,31,101,9,8.91,92,91.09,20031
20,39,50,7,14.0,43,86.0,20039
20,40,106,10,9.43,96,90.57,20040
20,41,4,0,0.0,4,100.0,20041
20,42,44,5,11.36,39,88.64,20042
20,43,8,0,0.0,8,100.0,20043
20,45,31,4,12.9,27,87.1,20045
22,7,118,10,8.47,108,91.53,22007
22,14,59,17,28.81,42,71.19,22014
22,19,60,6,10.0,54,90.0,22019
22,21,119,9,7.56,110,92.44,22021
24,1,147,13,8.84,134,91.16,24001
24,2,78,1,1.28,77,98.72,24002
24,3,80,4,5.0,76,95.0,24003
24,4,92,5,5.43,87,94.57,24004
24,5,111,7,6.31,104,93.69,24005
24,6,122,14,11.48,108,88.52,24006
24,7,100,10,10.0,90,90.0,24007
24,8,97,5,5.15,92,94.85,24008
24,9,97,6,6.19,91,93.81,24009
24,10,85,9,10.59,76,89.41,24010
24,11,141,13,9.22,128,90.78,24011
24,12,87,5,5.75,82,94.25,24012
24,13,72,6,8.33,66,91.67,24013
24,14,126,13,10.32,113,89.68,24014
24,15,79,7,8.86,72,91.14,24015
24,16,72,8,11.11,64,88.89,24016
24,17,71,5,7.04,66,92.96,24017
24,18,137,9,6.57,128,93.43,24018
24,19,183,7,3.83,176,96.17,24019
24,20,74,4,5.41,70,94.59,24020
24,21,52,2,3.85,50,96.15,24021
24,22,179,15,8.38,164,91.62,24022
24,23,145,16,11.03,129,88.97,24023
24,24,181,18,9.94,163,90.06,24024
24,25,105,6,5.71,99,94.29,24025
24,26,111,9,8.11,102,91.89,24026
24,27,162,13,8.02,149,91.98,24027
24,28,137,15,10.95,122,89.05,24028
24,29,139,13,9.35,126,90.65,24029
24,30,93,3,3.23,90,96.77,24030
24,31,102,7,6.86,95,93.14,24031
24,32,120,8,6.67,112,93.33,24032
24,34,92,7,7.61,85,92.39,24034
24,35,160,16,10.0,144,90.0,24035
24,36,144,8,5.56,136,94.44,24036
24,37,116,7,6.03,109,93.97,24037
24,38,134,9,6.72,125,93.28,24038
24,39,99,10,10.1,89,89.9,24039
24,40,134,9,6.72,125,93.28,24040
24,41,87,6,6.9,81,93.1,24041
24,42,84,3,3.57,81,96.43,24042
24,43,131,7,5.34,124,94.66,24043
24,44,184,27,14.67,157,85.33,24044
24,45,69,2,2.9,67,97.1,24045
24,46,115,17,14.78,98,85.22,24046
24,47,86,4,4.65,82,95.35,24047
24,48,128,11,8.59,117,91.41,24048
24,49,230,10,4.35,220,95.65,24049
24,50,193,10,5.18,183,94.82,24050
25,3,50,9,18.0,41,82.0,25003
25,4,101,34,33.66,67,66.34,25004
25,10,48,6,12.5,42,87.5,25010
25,14,61,20,32.79,41,67.21,25014
25,16,46,12,26.09,34,73.91,25016
25,18,104,12,11.54,92,88.46,25018
25,21,99,24,24.24,75,75.76,25021
25,25,70,13,18.57,57,81.43,25025
25,27,60,17,28.33,43,71.67,25027
25,28,104,29,27.88,75,72.12,25028
25,29,172,31,18.02,141,81.98,25029
26,1,43,17,39.53,26,60.47,26001
26,10,34,3,8.82,31,91.18,26010
26,17,45,11,24.44,34,75.56,26017
26,21,28,13,46.43,15,53.57,26021
26,27,10,5,50.0,5,50.0,26027
26,28,19,5,26.32,14,73.68,26028
26,33,35,8,22.86,27,77.14,26033
26,44,45,11,24.44,34,75.56,26044
26,46,18,8,44.44,10,55.56,26046
26,48,53,15,28.3,38,71.7,26048
27,1,78,19,24.36,59,75.64,27001
27,2,83,6,7.23,77,92.77,27002
27,3,127,10,7.87,117,92.13,27003
27,4,39,9,23.08,30,76.92,27004
27,5,31,6,19.35,25,80.65,27005
27,6,29,0,0.0,29,100.0,27006
27,7,76,11,14.47,65,85.53,27007
27,8,88,1,1.14,87,98.86,27008
27,9,153,14,9.15,139,90.85,27009
27,10,208,14,6.73,194,93.27,27010
27,11,51,12,23.53,39,76.47,27011
27,12,65,14,21.54,51,78.46,27012
27,14,148,11,7.43,137,92.57,27014
27,15,156,6,3.85,150,96.15,27015
27,16,33,9,27.27,24,72.73,27016
27,17,54,14,25.93,40,74.07,27017
27,18,27,7,25.93,20,74.07,27018
27,19,152,15,9.87,137,90.13,27019
27,20,107,15,14.02,92,85.98,27020
27,21,105,17,16.19,88,83.81,27021
27,22,167,16,9.58,151,90.42,27022
27,23,100,11,11.0,89,89.0,27023
27,24,144,25,17.36,119,82.64,27024
27,25,57,7,12.28,50,87.72,27025
27,26,122,5,4.1,117,95.9,27026
27,27,87,12,13.79,75,86.21,27027
27,28,91,15,16.48,76,83.52,27028
27,29,50,8,16.0,42,84.0,27029
27,30,46,10,21.74,36,78.26,27030
27,31,80,10,12.5,70,87.5,27031
27,33,66,7,10.61,59,89.39,27033
27,34,197,7,3.55,190,96.45,27034
27,35,71,25,35.21,46,64.79,27035
27,36,90,1,1.11,89,98.89,27036
27,37,157,12,7.64,145,92.36,27037
27,40,58,9,15.52,49,84.48,27040
27,43,51,9,17.65,42,82.35,27043
27,44,171,15,8.77,156,91.23,27044
27,45,26,3,11.54,23,88.46,27045
28,1,84,6,7.14,78,92.86,28001
28,2,117,8,6.84,109,93.16,28002
28,3,60,3,5.0,57,95.0,28003
28,4,116,7,6.03,109,93.97,28004
28,5,81,10,12.35,71,87.65,28005
28,6,64,2,3.13,62,96.88,28006
28,7,59,2,3.39,57,96.61,28007
28,8,80,9,11.25,71,88.75,28008
28,9,80,4,5.0,76,95.0,28009
28,10,27,0,0.0,27,100.0,28010
28,11,49,4,8.16,45,91.84,28011
28,12,49,2,4.08,47,95.92,28012
28,13,53,2,3.77,51,96.23,28013
28,14,112,10,8.93,102,91.07,28014
28,15,78,6,7.69,72,92.31,28015
28,16,61,5,8.2,56,91.8,28016
28,17,92,11,11.96,81,88.04,28017
28,18,136,15,11.03,121,88.97,28018
28,19,100,8,8.0,92,92.0,28019
28,20,135,8,5.93,127,94.07,28020
28,21,112,6,5.36,106,94.64,28021
28,22,85,5,5.88,80,94.12,28022
28,23,147,10,6.8,137,93.2,28023
28,24,54,3,5.56,51,94.44,28024
28,25,78,9,11.54,69,88.46,28025
28,26,78,0,0.0,78,100.0,28026
28,27,111,7,6.31,104,93.69,28027
28,28,61,3,4.92,58,95.08,28028
28,30,58,6,10.34,52,89.66,28030
28,31,82,4,4.88,78,95.12,28031
28,32,90,2,2.22,88,97.78,28032
28,33,121,7,5.79,114,94.21,28033
28,34,49,15,30.61,34,69.39,28034
28,35,71,3,4.23,68,95.77,28035
28,36,145,9,6.21,136,93.79,28036
28,37,175,8,4.57,167,95.43,28037
28,38,86,6,6.98,80,93.02,28038
28,39,87,10,11.49,77,88.51,28039
28,40,133,5,3.76,128,96.24,28040
28,41,57,3,5.26,54,94.74,28041
28,42,63,8,12.7,55,87.3,28042
28,43,133,12,9.02,121,90.98,28043
28,44,120,9,7.5,111,92.5,28044
28,45,94,8,8.51,86,91.49,28045
28,46,70,6,8.57,64,91.43,28046
28,47,91,7,7.69,84,92.31,28047
28,48,77,6,7.79,71,92.21,28048
28,49,84,7,8.33,77,91.67,28049
28,50,58,3,5.17,55,94.83,28050
28,51,86,11,12.79,75,87.21,28051
28,52,60,10,16.67,50,83.33,28052
28,53,105,10,9.52,95,90.48,28053
28,54,68,3,4.41,65,95.59,28054
28,55,49,7,14.29,42,85.71,28055
29,1,205,44,21.46,161,78.54,29001
29,3,178,27,15.17,151,84.83,29003
29,4,158,14,8.86,144,91.14,29004
29,5,114,5,4.39,109,95.61,29005
29,7,40,12,30.0,28,70.0,29007
29,8,81,5,6.17,76,93.83,29008
29,10,56,10,17.86,46,82.14,29010
29,11,138,11,7.97,127,92.03,29011
29,12,150,18,12.0,132,88.0,29012
29,13,134,9,6.72,125,93.28,29013
29,14,172,37,21.51,135,78.49,29014
29,15,180,27,15.0,153,85.0,29015
29,16,230,82,35.65,148,64.35,29016
29,17,130,14,10.77,116,89.23,29017
29,18,153,13,8.5,140,91.5,29018
29,19,192,22,11.46,170,88.54,29019
29,20,188,33,17.55,155,82.45,29020
29,21,101,7,6.93,94,93.07,29021
29,22,136,27,19.85,109,80.15,29022
29,23,122,24,19.67,98,80.33,29023
29,24,146,15,10.27,131,89.73,29024
29,25,131,61,46.56,70,53.44,29025
29,26,128,19,14.84,109,85.16,29026
29,27,82,2,2.44,80,97.56,29027
29,28,153,19,12.42,134,87.58,29028
29,29,182,63,34.62,119,65.38,29029
29,31,106,5,4.72,101,95.28,29031
29,33,162,16,9.88,146,90.12,29033
29,34,80,9,11.25,71,88.75,29034
29,35,127,16,12.6,111,87.4,29035
29,36,188,33,17.55,155,82.45,29036
29,37,131,15,11.45,116,88.55,29037
29,38,143,14,9.79,129,90.21,29038
29,40,183,12,6.56,171,93.44,29040
29,41,148,14,9.46,134,90.54,29041
29,42,182,7,3.85,175,96.15,29042
29,43,173,20,11.56,153,88.44,29043
29,44,134,16,11.94,118,88.06,29044
29,45,103,15,14.56,88,85.44,29045
29,46,101,9,8.91,92,91.09,29046
29,47,195,8,4.1,187,95.9,29047
29,48,113,11,9.73,102,90.27,29048
32,1,56,15,26.79,41,73.21,32001
32,6,75,24,32.0,51,68.0,32006
32,12,12,3,25.0,9,75.0,32012
32,17,12,4,33.33,8,66.67,32017
32,26,63,16,25.4,47,74.6,32026
36,16,178,56,31.46,122,68.54,36016
36,23,164,31,18.9,133,81.1,36023
36,24,132,16,12.12,116,87.88,36024
36,33,111,32,28.83,79,71.17,36033
36,44,155,33,21.29,122,78.71,36044
37,2,93,10,10.75,83,89.25,37002
37,3,47,11,23.4,36,76.6,37003
37,4,114,14,12.28,100,87.72,37004
37,5,147,10,6.8,137,93.2,37005
37,6,152,14,9.21,138,90.79,37006
37,7,136,13,9.56,123,90.44,37007
37,8,62,6,9.68,56,90.32,37008
37,9,99,4,4.04,95,95.96,37009
37,10,137,11,8.03,126,91.97,37010
37,12,70,5,7.14,65,92.86,37012
37,13,103,8,7.77,95,92.23,37013
37,14,175,11,6.29,164,93.71,37014
37,15,105,7,6.67,98,93.33,37015
37,16,120,13,10.83,107,89.17,37016
37,17,91,6,6.59,85,93.41,37017
37,18,153,16,10.46,137,89.54,37018
37,20,92,2,2.17,90,97.83,37020
37,21,132,6,4.55,126,95.45,37021
37,22,83,3,3.61,80,96.39,37022
37,23,98,8,8.16,90,91.84,37023
37,24,79,7,8.86,72,91.14,37024
37,25,123,8,6.5,115,93.5,37025
37,26,138,11,7.97,127,92.03,37026
37,27,131,17,12.98,114,87.02,37027
37,28,128,9,7.03,119,92.97,37028
37,29,105,11,10.48,94,89.52,37029
37,30,70,7,10.0,63,90.0,37030
37,31,124,8,6.45,116,93.55,37031
37,32,110,9,8.18,101,91.82,37032
37,33,78,9,11.54,69,88.46,37033
37,34,105,13,12.38,92,87.62,37034
37,35,135,10,7.41,125,92.59,37035
37,36,100,7,7.0,93,93.0,37036
37,37,112,9,8.04,103,91.96,37037
37,38,123,7,5.69,116,94.31,37038
37,40,119,9,7.56,110,92.44,37040
37,41,123,14,11.38,109,88.62,37041
37,42,42,6,14.29,36,85.71,37042
37,43,109,6,5.5,103,94.5,37043
42,1,110,22,20.0,88,80.0,42001
42,2,59,10,16.95,49,83.05,42002
42,3,70,10,14.29,60,85.71,42003
42,4,83,29,34.94,54,65.06,42004
42,5,80,16,20.0,64,80.0,42005
42,6,204,49,24.02,155,75.98,42006
42,7,69,20,28.99,49,71.01,42007
42,9,172,42,24.42,130,75.58,42009
42,11,115,23,20.0,92,80.0,42011
42,12,64,20,31.25,44,68.75,42012
42,13,177,32,18.08,145,81.92,42013
42,14,62,14,22.58,48,77.42,42014
42,15,67,21,31.34,46,68.66,42015
42,16,17,3,17.65,14,82.35,42016
42,17,186,35,18.82,151,81.18,42017
42,18,116,22,18.97,94,81.03,42018
42,19,23,4,17.39,19,82.61,42019
42,20,38,8,21.05,30,78.95,42020
42,21,32,7,21.88,25,78.13,42021
42,22,38,6,15.79,32,84.21,42022
42,23,102,18,17.65,84,82.35,42023
42,24,84,29,34.52,55,65.48,42024
42,25,81,22,27.16,59,72.84,42025
42,26,124,11,8.87,113,91.13,42026
42,27,89,17,19.1,72,80.9,42027
42,29,93,17,18.28,76,81.72,42029
42,30,50,17,34.0,33,66.0,42030
42,31,57,9,15.79,48,84.21,42031
42,32,70,17,24.29,53,75.71,42032
42,35,91,17,18.68,74,81.32,42035
42,36,42,7,16.67,35,83.33,42036
42,37,68,8,11.76,60,88.24,42037
42,38,51,7,13.73,44,86.27,42038
42,39,49,14,28.57,35,71.43,42039
42,40,83,23,27.71,60,72.29,42040
42,41,87,31,35.63,56,64.37,42041
42,42,100,27,27.0,73,73.0,42042
42,43,97,21,21.65,76,78.35,42043
42,44,58,8,13.79,50,86.21,42044
42,45,66,10,15.15,56,84.85,42045
42,46,54,15,27.78,39,72.22,42046
42,47,59,7,11.86,52,88.14,42047
42,48,53,14,26.42,39,73.58,42048
42,49,20,3,15.0,17,85.0,42049
42,50,122,26,21.31,96,78.69,42050
42,51,165,32,19.39,133,80.61,42051
42,52,62,16,25.81,46,74.19,42052
42,53,121,24,19.83,97,80.17,42053
42,54,54,13,24.07,41,75.93,42054
42,55,71,18,25.35,53,74.65,42055
42,56,63,17,26.98,46,73.02,42056
42,57,61,19,31.15,42,68.85,42057
42,58,25,7,28.0,18,72.0,42058
42,59,55,12,21.82,43,78.18,42059
42,60,41,10,24.39,31,75.61,42060
42,61,42,13,30.95,29,69.05,42061
42,62,52,12,23.08,40,76.92,42062
42,63,114,23,20.18,91,79.82,42063
42,64,34,5,14.71,29,85.29,42064
42,65,92,23,25.0,69,75.0,42065
42,66,58,11,18.97,47,81.03,42066
42,67,88,25,28.41,63,71.59,42067
43,1,110,18,16.36,92,83.64,43001
43,15,2,1,50.0,1,50.0,43015
43,19,102,11,10.78,91,89.22,43019
43,25,88,17,19.32,71,80.68,43025
43,30,78,18,23.08,60,76.92,43030
43,35,100,29,29.0,71,71.0,43035
43,37,84,11,13.1,73,86.9,43037
43,39,107,21,19.63,86,80.37,43039
43,47,53,9,16.98,44,83.02,43047
43,51,123,19,15.45,104,84.55,43051
