ward,precinct,total,Maureen Leahy Delehanty,Maureen Leahy Delehanty Percent,Scott Edward Lipinski,Scott Edward Lipinski Percent,precinct_id
17,37,75,57,76.0,18,24.0,17037
17,40,44,35,79.55,9,20.45,17040
17,44,100,66,66.0,34,34.0,17044
17,47,78,57,73.08,21,26.92,17047
17,51,56,37,66.07,19,33.93,17051
18,1,139,107,76.98,32,23.02,18001
18,2,46,24,52.17,22,47.83,18002
18,3,165,108,65.45,57,34.55,18003
18,4,248,193,77.82,55,22.18,18004
18,5,73,49,67.12,24,32.88,18005
18,6,141,88,62.41,53,37.59,18006
18,7,81,55,67.9,26,32.1,18007
18,8,48,39,81.25,9,18.75,18008
18,9,274,209,76.28,65,23.72,18009
18,10,193,155,80.31,38,19.69,18010
18,11,77,54,70.13,23,29.87,18011
18,12,104,82,78.85,22,21.15,18012
18,13,113,86,76.11,27,23.89,18013
18,14,106,86,81.13,20,18.87,18014
18,15,53,32,60.38,21,39.62,18015
18,16,141,105,74.47,36,25.53,18016
18,17,81,54,66.67,27,33.33,18017
18,18,112,82,73.21,30,26.79,18018
18,19,142,102,71.83,40,28.17,18019
18,21,161,126,78.26,35,21.74,18021
18,22,189,147,77.78,42,22.22,18022
18,23,107,76,71.03,31,28.97,18023
18,26,92,72,78.26,20,21.74,18026
18,27,85,62,72.94,23,27.06,18027
18,28,113,61,53.98,52,46.02,18028
18,29,89,67,75.28,22,24.72,18029
18,31,89,62,69.66,27,30.34,18031
18,32,170,132,77.65,38,22.35,18032
18,33,70,57,81.43,13,18.57,18033
18,34,182,140,76.92,42,23.08,18034
18,35,277,218,78.7,59,21.3,18035
18,36,59,37,62.71,22,37.29,18036
18,37,94,67,71.28,27,28.72,18037
18,39,62,47,75.81,15,24.19,18039
18,41,53,36,67.92,17,32.08,18041
18,42,55,38,69.09,17,30.91,18042
18,43,54,36,66.67,18,33.33,18043
18,44,69,55,79.71,14,20.29,18044
18,45,61,40,65.57,21,34.43,18045
18,47,68,53,77.94,15,22.06,18047
18,48,73,51,69.86,22,30.14,18048
18,49,66,52,78.79,14,21.21,18049
18,50,77,53,68.83,24,31.17,18050
19,1,169,136,80.47,33,19.53,19001
19,2,162,122,75.31,40,24.69,19002
19,3,110,80,72.73,30,27.27,19003
19,4,144,93,64.58,51,35.42,19004
19,5,172,135,78.49,37,21.51,19005
19,6,113,87,76.99,26,23.01,19006
19,7,193,165,85.49,28,14.51,19007
19,8,111,77,69.37,34,30.63,19008
19,9,103,77,74.76,26,25.24,19009
19,10,201,160,79.6,41,20.4,19010
19,11,188,122,64.89,66,35.11,19011
19,12,143,105,73.43,38,26.57,19012
19,13,102,73,71.57,29,28.43,19013
19,14,162,117,72.22,45,27.78,19014
19,15,109,64,58.72,45,41.28,19015
19,16,205,153,74.63,52,25.37,19016
19,17,156,131,83.97,25,16.03,19017
19,18,196,169,86.22,27,13.78,19018
19,19,154,121,78.57,33,21.43,19019
19,20,149,108,72.48,41,27.52,19020
19,21,102,73,71.57,29,28.43,19021
19,22,174,139,79.89,35,20.11,19022
19,23,199,164,82.41,35,17.59,19023
19,24,147,103,70.07,44,29.93,19024
19,25,164,133,81.1,31,18.9,19025
19,26,169,139,82.25,30,17.75,19026
19,27,79,66,83.54,13,16.46,19027
19,28,194,154,79.38,40,20.62,19028
19,29,104,75,72.12,29,27.88,19029
19,30,118,77,65.25,41,34.75,19030
19,31,130,105,80.77,25,19.23,19031
19,32,166,132,79.52,34,20.48,19032
19,33,154,112,72.73,42,27.27,19033
19,34,154,123,79.87,31,20.13,19034
19,35,178,139,78.09,39,21.91,19035
19,36,166,118,71.08,48,28.92,19036
19,37,181,138,76.24,43,23.76,19037
19,38,172,129,75.0,43,25.0,19038
19,39,45,31,68.89,14,31.11,19039
19,40,142,101,71.13,41,28.87,19040
19,41,97,78,80.41,19,19.59,19041
19,42,124,85,68.55,39,31.45,19042
19,43,134,104,77.61,30,22.39,19043
19,44,135,99,73.33,36,26.67,19044
19,45,168,113,67.26,55,32.74,19045
19,46,201,164,81.59,37,18.41,19046
19,47,234,174,74.36,60,25.64,19047
19,48,192,142,73.96,50,26.04,19048
19,49,186,138,74.19,48,25.81,19049
19,50,143,102,71.33,41,28.67,19050
19,51,123,74,60.16,49,39.84,19051
19,52,104,74,71.15,30,28.85,19052
19,53,161,118,73.29,43,26.71,19053
19,54,126,87,69.05,39,30.95,19054
19,55,105,78,74.29,27,25.71,19055
19,56,178,135,75.84,43,24.16,19056
19,57,177,138,77.97,39,22.03,19057
19,58,125,94,75.2,31,24.8,19058
19,59,176,123,69.89,53,30.11,19059
19,61,233,180,77.25,53,22.75,19061
19,62,139,113,81.29,26,18.71,19062
19,63,124,78,62.9,46,37.1,19063
21,20,5,3,60.0,2,40.0,21020
23,1,159,96,60.38,63,39.62,23001
23,2,65,41,63.08,24,36.92,23002
23,3,162,89,54.94,73,45.06,23003
23,4,126,78,61.9,48,38.1,23004
23,5,42,20,47.62,22,52.38,23005
23,6,115,55,47.83,60,52.17,23006
23,7,131,74,56.49,57,43.51,23007
23,8,121,58,47.93,63,52.07,23008
23,9,114,55,48.25,59,51.75,23009
23,10,171,102,59.65,69,40.35,23010
23,11,340,209,61.47,131,38.53,23011
23,12,149,87,58.39,62,41.61,23012
23,13,156,95,60.9,61,39.1,23013
23,14,76,41,53.95,35,46.05,23014
23,15,121,62,51.24,59,48.76,23015
23,16,162,90,55.56,72,44.44,23016
23,17,47,28,59.57,19,40.43,23017
23,18,217,133,61.29,84,38.71,23018
23,19,121,78,64.46,43,35.54,23019
23,20,131,69,52.67,62,47.33,23020
23,21,100,70,70.0,30,30.0,23021
23,22,140,88,62.86,52,37.14,23022
23,23,116,65,56.03,51,43.97,23023
23,24,43,24,55.81,19,44.19,23024
23,25,48,19,39.58,29,60.42,23025
23,26,123,69,56.1,54,43.9,23026
23,27,184,91,49.46,93,50.54,23027
23,28,116,73,62.93,43,37.07,23028
23,29,61,34,55.74,27,44.26,23029
23,30,101,62,61.39,39,38.61,23030
23,32,91,57,62.64,34,37.36,23032
23,33,154,83,53.9,71,46.1,23033
23,34,98,51,52.04,47,47.96,23034
23,35,79,59,74.68,20,25.32,23035
23,36,142,87,61.27,55,38.73,23036
23,37,79,56,70.89,23,29.11,23037
23,38,111,68,61.26,43,38.74,23038
23,39,311,216,69.45,95,30.55,23039
23,40,110,66,60.0,44,40.0,23040
23,41,94,53,56.38,41,43.62,23041
23,42,86,51,59.3,35,40.7,23042
23,43,158,101,63.92,57,36.08,23043
23,44,120,77,64.17,43,35.83,23044
23,45,92,51,55.43,41,44.57,23045
23,46,125,64,51.2,61,48.8,23046
23,47,162,87,53.7,75,46.3,23047
23,48,73,46,63.01,27,36.99,23048
23,49,230,120,52.17,110,47.83,23049
34,19,10,7,70.0,3,30.0,34019
