ward,precinct,total,Deborah Jean Gubin,Deborah Jean Gubin Percent,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Nicholas Geanopoulos,Nicholas Geanopoulos Percent,precinct_id
43,48,50,25,50.0,18,36.0,7,14.0,43048
43,49,58,32,55.17,14,24.14,12,20.69,43049
43,50,44,23,52.27,17,38.64,4,9.09,43050
43,51,94,37,39.36,43,45.74,14,14.89,43051
44,1,67,35,52.24,23,34.33,9,13.43,44001
44,2,51,34,66.67,9,17.65,8,15.69,44002
44,3,98,66,67.35,23,23.47,9,9.18,44003
44,4,101,58,57.43,20,19.8,23,22.77,44004
44,5,82,52,63.41,19,23.17,11,13.41,44005
44,6,52,32,61.54,12,23.08,8,15.38,44006
44,7,72,49,68.06,13,18.06,10,13.89,44007
44,8,53,34,64.15,16,30.19,3,5.66,44008
44,9,32,13,40.63,15,46.88,4,12.5,44009
44,10,31,13,41.94,13,41.94,5,16.13,44010
44,11,57,23,40.35,22,38.6,12,21.05,44011
44,12,95,59,62.11,23,24.21,13,13.68,44012
44,13,40,22,55.0,13,32.5,5,12.5,44013
44,14,52,33,63.46,11,21.15,8,15.38,44014
44,15,85,48,56.47,29,34.12,8,9.41,44015
44,16,49,32,65.31,10,20.41,7,14.29,44016
44,17,92,57,61.96,18,19.57,17,18.48,44017
44,18,26,15,57.69,9,34.62,2,7.69,44018
44,19,100,53,53.0,31,31.0,16,16.0,44019
44,20,52,30,57.69,14,26.92,8,15.38,44020
44,21,56,30,53.57,16,28.57,10,17.86,44021
44,22,77,55,71.43,14,18.18,8,10.39,44022
44,23,46,30,65.22,9,19.57,7,15.22,44023
44,24,116,73,62.93,27,23.28,16,13.79,44024
44,25,40,24,60.0,10,25.0,6,15.0,44025
44,26,46,28,60.87,14,30.43,4,8.7,44026
44,27,61,45,73.77,12,19.67,4,6.56,44027
44,28,32,21,65.63,3,9.38,8,25.0,44028
44,29,54,27,50.0,16,29.63,11,20.37,44029
44,30,56,32,57.14,13,23.21,11,19.64,44030
44,31,49,32,65.31,15,30.61,2,4.08,44031
44,32,38,24,63.16,10,26.32,4,10.53,44032
44,33,68,30,44.12,26,38.24,12,17.65,44033
44,34,32,19,59.38,9,28.13,4,12.5,44034
44,35,148,99,66.89,33,22.3,16,10.81,44035
44,36,46,23,50.0,10,21.74,13,28.26,44036
44,37,78,56,71.79,14,17.95,8,10.26,44037
44,38,33,18,54.55,8,24.24,7,21.21,44038
44,39,39,17,43.59,12,30.77,10,25.64,44039
44,40,51,30,58.82,18,35.29,3,5.88,44040
44,41,87,39,44.83,27,31.03,21,24.14,44041
44,42,87,62,71.26,13,14.94,12,13.79,44042
44,43,46,29,63.04,7,15.22,10,21.74,44043
44,44,73,40,54.79,19,26.03,14,19.18,44044
44,45,56,28,50.0,16,28.57,12,21.43,44045
44,46,37,10,27.03,20,54.05,7,18.92,44046
44,47,72,37,51.39,20,27.78,15,20.83,44047
46,1,149,83,55.7,41,27.52,25,16.78,46001
46,2,65,42,64.62,12,18.46,11,16.92,46002
46,3,71,30,42.25,27,38.03,14,19.72,46003
46,4,50,24,48.0,16,32.0,10,20.0,46004
46,5,34,16,47.06,11,32.35,7,20.59,46005
46,6,71,24,33.8,29,40.85,18,25.35,46006
46,7,45,29,64.44,9,20.0,7,15.56,46007
46,8,69,34,49.28,23,33.33,12,17.39,46008
46,9,52,28,53.85,16,30.77,8,15.38,46009
46,10,37,17,45.95,14,37.84,6,16.22,46010
46,11,66,34,51.52,26,39.39,6,9.09,46011
46,12,72,37,51.39,24,33.33,11,15.28,46012
46,13,51,20,39.22,23,45.1,8,15.69,46013
46,14,48,25,52.08,12,25.0,11,22.92,46014
46,15,74,34,45.95,19,25.68,21,28.38,46015
46,16,59,27,45.76,24,40.68,8,13.56,46016
46,17,119,75,63.03,26,21.85,18,15.13,46017
46,18,127,72,56.69,30,23.62,25,19.69,46018
46,19,81,44,54.32,23,28.4,14,17.28,46019
46,20,68,28,41.18,25,36.76,15,22.06,46020
46,22,65,21,32.31,25,38.46,19,29.23,46022
46,23,70,32,45.71,26,37.14,12,17.14,46023
46,24,35,18,51.43,10,28.57,7,20.0,46024
46,25,73,26,35.62,28,38.36,19,26.03,46025
46,26,66,33,50.0,25,37.88,8,12.12,46026
46,27,66,30,45.45,26,39.39,10,15.15,46027
46,28,77,36,46.75,23,29.87,18,23.38,46028
46,29,70,34,48.57,20,28.57,16,22.86,46029
46,30,84,39,46.43,22,26.19,23,27.38,46030
46,31,94,60,63.83,23,24.47,11,11.7,46031
46,32,69,31,44.93,21,30.43,17,24.64,46032
46,33,78,42,53.85,21,26.92,15,19.23,46033
46,34,72,36,50.0,25,34.72,11,15.28,46034
46,35,95,46,48.42,35,36.84,14,14.74,46035
46,36,80,34,42.5,32,40.0,14,17.5,46036
46,37,66,20,30.3,35,53.03,11,16.67,46037
46,38,68,29,42.65,20,29.41,19,27.94,46038
46,39,104,46,44.23,29,27.88,29,27.88,46039
46,40,48,17,35.42,20,41.67,11,22.92,46040
46,41,65,31,47.69,21,32.31,13,20.0,46041
46,42,94,38,40.43,29,30.85,27,28.72,46042
46,43,104,61,58.65,28,26.92,15,14.42,46043
46,44,62,28,45.16,24,38.71,10,16.13,46044
46,45,70,37,52.86,20,28.57,13,18.57,46045
47,18,68,37,54.41,19,27.94,12,17.65,47018
47,23,33,20,60.61,10,30.3,3,9.09,47023
47,24,54,27,50.0,18,33.33,9,16.67,47024
47,25,6,2,33.33,4,66.67,0,0.0,47025
47,41,111,60,54.05,30,27.03,21,18.92,47041
47,44,71,29,40.85,27,38.03,15,21.13,47044
47,50,31,13,41.94,11,35.48,7,22.58,47050
48,1,76,36,47.37,27,35.53,13,17.11,48001
48,3,120,52,43.33,49,40.83,19,15.83,48003
48,4,81,48,59.26,22,27.16,11,13.58,48004
48,5,105,47,44.76,34,32.38,24,22.86,48005
48,6,109,53,48.62,38,34.86,18,16.51,48006
48,7,63,39,61.9,18,28.57,6,9.52,48007
48,8,59,30,50.85,15,25.42,14,23.73,48008
48,9,93,48,51.61,27,29.03,18,19.35,48009
48,10,50,29,58.0,16,32.0,5,10.0,48010
48,11,116,75,64.66,29,25.0,12,10.34,48011
48,12,77,49,63.64,19,24.68,9,11.69,48012
48,14,95,39,41.05,37,38.95,19,20.0,48014
48,15,0,0,0.0,0,0.0,0,0.0,48015
48,16,70,33,47.14,25,35.71,12,17.14,48016
48,17,84,46,54.76,24,28.57,14,16.67,48017
48,18,73,31,42.47,25,34.25,17,23.29,48018
48,19,90,57,63.33,22,24.44,11,12.22,48019
48,20,72,52,72.22,12,16.67,8,11.11,48020
48,21,113,59,52.21,36,31.86,18,15.93,48021
48,23,84,41,48.81,24,28.57,19,22.62,48023
48,24,40,17,42.5,16,40.0,7,17.5,48024
48,25,93,45,48.39,31,33.33,17,18.28,48025
48,26,87,50,57.47,21,24.14,16,18.39,48026
48,27,93,35,37.63,28,30.11,30,32.26,48027
48,28,99,58,58.59,26,26.26,15,15.15,48028
48,29,136,84,61.76,37,27.21,15,11.03,48029
48,30,97,64,65.98,22,22.68,11,11.34,48030
48,31,70,24,34.29,29,41.43,17,24.29,48031
48,32,24,15,62.5,4,16.67,5,20.83,48032
48,34,77,39,50.65,19,24.68,19,24.68,48034
48,35,86,42,48.84,29,33.72,15,17.44,48035
48,36,84,43,51.19,22,26.19,19,22.62,48036
48,37,51,22,43.14,18,35.29,11,21.57,48037
48,38,130,95,73.08,25,19.23,10,7.69,48038
48,39,86,34,39.53,31,36.05,21,24.42,48039
48,42,83,47,56.63,22,26.51,14,16.87,48042
48,43,90,59,65.56,20,22.22,11,12.22,48043
48,44,97,58,59.79,26,26.8,13,13.4,48044
48,45,62,30,48.39,20,32.26,12,19.35,48045
48,46,108,47,43.52,37,34.26,24,22.22,48046
48,47,63,26,41.27,20,31.75,17,26.98,48047
48,48,92,51,55.43,30,32.61,11,11.96,48048
48,49,17,11,64.71,5,29.41,1,5.88,48049
48,50,96,59,61.46,20,20.83,17,17.71,48050
48,51,143,79,55.24,41,28.67,23,16.08,48051
48,52,62,33,53.23,14,22.58,15,24.19,48052
49,17,15,8,53.33,5,33.33,2,13.33,49017
