ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,Robert ''Bob'' Fioretti,Robert ''Bob'' Fioretti Percent,precinct_id
24,22,409,329,80.44,80,19.56,24022
24,23,275,229,83.27,46,16.73,24023
24,24,366,294,80.33,72,19.67,24024
24,25,278,216,77.7,62,22.3,24025
24,26,392,295,75.26,97,24.74,24026
24,27,319,240,75.24,79,24.76,24027
24,28,230,182,79.13,48,20.87,24028
24,29,215,171,79.53,44,20.47,24029
24,30,163,131,80.37,32,19.63,24030
24,31,336,261,77.68,75,22.32,24031
24,32,171,139,81.29,32,18.71,24032
24,33,178,146,82.02,32,17.98,24033
24,34,258,198,76.74,60,23.26,24034
24,35,287,211,73.52,76,26.48,24035
24,36,370,301,81.35,69,18.65,24036
24,37,184,161,87.5,23,12.5,24037
24,38,237,181,76.37,56,23.63,24038
24,39,324,249,76.85,75,23.15,24039
24,40,285,223,78.25,62,21.75,24040
24,41,221,186,84.16,35,15.84,24041
25,3,314,164,52.23,150,47.77,25003
25,4,324,168,51.85,156,48.15,25004
25,10,303,121,39.93,182,60.07,25010
25,16,265,120,45.28,145,54.72,25016
25,20,321,106,33.02,215,66.98,25020
25,25,280,120,42.86,160,57.14,25025
25,27,150,77,51.33,73,48.67,25027
25,29,295,158,53.56,137,46.44,25029
25,31,289,131,45.33,158,54.67,25031
26,4,56,42,75.0,14,25.0,26004
26,17,166,91,54.82,75,45.18,26017
26,19,70,55,78.57,15,21.43,26019
26,28,229,135,58.95,94,41.05,26028
26,46,145,93,64.14,52,35.86,26046
27,1,217,136,62.67,81,37.33,27001
27,2,319,166,52.04,153,47.96,27002
27,3,194,148,76.29,46,23.71,27003
27,4,198,108,54.55,90,45.45,27004
27,5,211,155,73.46,56,26.54,27005
27,6,227,154,67.84,73,32.16,27006
27,8,270,201,74.44,69,25.56,27008
27,9,96,68,70.83,28,29.17,27009
27,10,375,207,55.2,168,44.8,27010
27,11,198,126,63.64,72,36.36,27011
27,13,289,229,79.24,60,20.76,27013
27,14,198,126,63.64,72,36.36,27014
27,15,210,171,81.43,39,18.57,27015
27,16,186,116,62.37,70,37.63,27016
27,17,335,186,55.52,149,44.48,27017
27,18,285,191,67.02,94,32.98,27018
27,19,211,174,82.46,37,17.54,27019
27,20,294,230,78.23,64,21.77,27020
27,21,184,127,69.02,57,30.98,27021
27,22,194,153,78.87,41,21.13,27022
27,23,259,204,78.76,55,21.24,27023
27,24,204,158,77.45,46,22.55,27024
27,25,270,149,55.19,121,44.81,27025
27,26,278,192,69.06,86,30.94,27026
27,27,328,236,71.95,92,28.05,27027
27,28,140,93,66.43,47,33.57,27028
27,29,253,194,76.68,59,23.32,27029
27,30,201,103,51.24,98,48.76,27030
27,31,255,193,75.69,62,24.31,27031
27,32,263,152,57.79,111,42.21,27032
27,33,255,162,63.53,93,36.47,27033
27,34,314,255,81.21,59,18.79,27034
27,35,232,148,63.79,84,36.21,27035
27,36,248,187,75.4,61,24.6,27036
27,37,285,232,81.4,53,18.6,27037
27,38,185,127,68.65,58,31.35,27038
27,39,264,163,61.74,101,38.26,27039
27,40,180,120,66.67,60,33.33,27040
27,41,315,192,60.95,123,39.05,27041
27,42,157,112,71.34,45,28.66,27042
27,43,299,170,56.86,129,43.14,27043
27,44,268,222,82.84,46,17.16,27044
27,45,326,169,51.84,157,48.16,27045
27,47,235,160,68.09,75,31.91,27047
27,48,354,275,77.68,79,22.32,27048
27,49,247,152,61.54,95,38.46,27049
27,50,319,191,59.87,128,40.13,27050
28,1,1,1,100.0,0,0.0,28001
28,2,279,216,77.42,63,22.58,28002
28,3,262,189,72.14,73,27.86,28003
28,4,202,94,46.53,108,53.47,28004
28,5,189,84,44.44,105,55.56,28005
28,6,152,60,39.47,92,60.53,28006
28,7,317,260,82.02,57,17.98,28007
28,8,171,81,47.37,90,52.63,28008
28,9,280,234,83.57,46,16.43,28009
28,10,341,125,36.66,216,63.34,28010
28,11,503,279,55.47,224,44.53,28011
28,13,282,237,84.04,45,15.96,28013
28,15,100,72,72.0,28,28.0,28015
28,16,200,161,80.5,39,19.5,28016
28,17,272,214,78.68,58,21.32,28017
28,18,229,108,47.16,121,52.84,28018
28,19,223,93,41.7,130,58.3,28019
28,20,267,197,73.78,70,26.22,28020
28,21,238,196,82.35,42,17.65,28021
28,22,247,179,72.47,68,27.53,28022
28,23,358,310,86.59,48,13.41,28023
28,24,267,208,77.9,59,22.1,28024
28,25,388,321,82.73,67,17.27,28025
28,26,317,243,76.66,74,23.34,28026
28,27,256,109,42.58,147,57.42,28027
28,28,293,123,41.98,170,58.02,28028
28,29,142,86,60.56,56,39.44,28029
28,30,48,36,75.0,12,25.0,28030
28,32,290,196,67.59,94,32.41,28032
28,33,344,284,82.56,60,17.44,28033
28,34,526,364,69.2,162,30.8,28034
28,35,336,239,71.13,97,28.87,28035
28,36,177,135,76.27,42,23.73,28036
28,37,418,339,81.1,79,18.9,28037
28,38,154,131,85.06,23,14.94,28038
28,40,400,312,78.0,88,22.0,28040
28,42,113,88,77.88,25,22.12,28042
28,44,207,168,81.16,39,18.84,28044
28,45,197,93,47.21,104,52.79,28045
28,46,445,223,50.11,222,49.89,28046
29,6,8,7,87.5,1,12.5,29006
32,2,247,159,64.37,88,35.63,32002
32,4,280,174,62.14,106,37.86,32004
32,5,257,160,62.26,97,37.74,32005
32,6,267,158,59.18,109,40.82,32006
32,29,263,180,68.44,83,31.56,32029
32,31,281,159,56.58,122,43.42,32031
32,32,275,167,60.73,108,39.27,32032
32,33,131,78,59.54,53,40.46,32033
32,34,245,149,60.82,96,39.18,32034
32,35,255,134,52.55,121,47.45,32035
32,36,274,195,71.17,79,28.83,32036
32,37,111,74,66.67,37,33.33,32037
37,2,200,158,79.0,42,21.0,37002
37,3,266,215,80.83,51,19.17,37003
37,4,263,193,73.38,70,26.62,37004
37,7,221,176,79.64,45,20.36,37007
37,8,235,173,73.62,62,26.38,37008
37,11,0,0,0.0,0,0.0,37011
37,12,173,126,72.83,47,27.17,37012
37,13,241,199,82.57,42,17.43,37013
37,14,3,3,100.0,0,0.0,37014
37,19,255,198,77.65,57,22.35,37019
37,20,0,0,0.0,0,0.0,37020
37,21,261,194,74.33,67,25.67,37021
37,22,1,1,100.0,0,0.0,37022
37,27,1,1,100.0,0,0.0,37027
37,28,257,200,77.82,57,22.18,37028
37,30,119,85,71.43,34,28.57,37030
42,3,305,176,57.7,129,42.3,42003
42,9,1,1,100.0,0,0.0,42009
42,12,86,54,62.79,32,37.21,42012
42,16,260,153,58.85,107,41.15,42016
42,18,0,0,0.0,0,0.0,42018
42,21,61,33,54.1,28,45.9,42021
42,36,83,48,57.83,35,42.17,42036
42,41,71,42,59.15,29,40.85,42041
43,1,154,109,70.78,45,29.22,43001
43,3,254,148,58.27,106,41.73,43003
43,5,200,118,59.0,82,41.0,43005
43,7,185,107,57.84,78,42.16,43007
43,10,264,158,59.85,106,40.15,43010
43,11,188,100,53.19,88,46.81,43011
43,23,174,106,60.92,68,39.08,43023
43,45,172,100,58.14,72,41.86,43045
