ward,precinct,total,Angelica Alfaro,Angelica Alfaro Percent,Omar Aquino,Omar Aquino Percent,precinct_id
26,9,246,106,43.09,140,56.91,26009
26,10,270,133,49.26,137,50.74,26010
26,11,267,110,41.2,157,58.8,26011
26,12,274,159,58.03,115,41.97,26012
26,13,195,90,46.15,105,53.85,26013
26,14,210,74,35.24,136,64.76,26014
26,15,150,73,48.67,77,51.33,26015
26,16,165,67,40.61,98,59.39,26016
26,18,242,117,48.35,125,51.65,26018
26,19,96,45,46.88,51,53.13,26019
26,20,239,123,51.46,116,48.54,26020
26,21,330,151,45.76,179,54.24,26021
26,22,168,91,54.17,77,45.83,26022
26,23,182,72,39.56,110,60.44,26023
26,24,236,120,50.85,116,49.15,26024
26,25,225,106,47.11,119,52.89,26025
26,26,172,90,52.33,82,47.67,26026
26,27,291,125,42.96,166,57.04,26027
26,28,31,14,45.16,17,54.84,26028
26,29,159,65,40.88,94,59.12,26029
26,30,205,93,45.37,112,54.63,26030
26,31,137,60,43.8,77,56.2,26031
26,32,258,148,57.36,110,42.64,26032
26,33,260,137,52.69,123,47.31,26033
26,34,21,13,61.9,8,38.1,26034
26,35,221,97,43.89,124,56.11,26035
26,36,243,101,41.56,142,58.44,26036
26,37,289,143,49.48,146,50.52,26037
26,38,145,61,42.07,84,57.93,26038
26,39,245,103,42.04,142,57.96,26039
26,40,163,63,38.65,100,61.35,26040
26,41,280,136,48.57,144,51.43,26041
26,42,201,97,48.26,104,51.74,26042
26,43,160,96,60.0,64,40.0,26043
26,44,163,70,42.94,93,57.06,26044
26,45,129,78,60.47,51,39.53,26045
26,47,170,64,37.65,106,62.35,26047
26,48,238,127,53.36,111,46.64,26048
26,49,173,63,36.42,110,63.58,26049
27,5,14,3,21.43,11,78.57,27005
27,7,351,204,58.12,147,41.88,27007
27,13,146,99,67.81,47,32.19,27013
27,24,35,25,71.43,10,28.57,27024
27,27,26,14,53.85,12,46.15,27027
27,40,123,75,60.98,48,39.02,27040
27,43,4,1,25.0,3,75.0,27043
29,15,41,27,65.85,14,34.15,29015
29,23,45,25,55.56,20,44.44,29023
29,24,46,26,56.52,20,43.48,29024
29,29,22,13,59.09,9,40.91,29029
29,30,303,182,60.07,121,39.93,29030
29,31,122,47,38.52,75,61.48,29031
29,36,236,139,58.9,97,41.1,29036
29,38,264,128,48.48,136,51.52,29038
29,39,264,137,51.89,127,48.11,29039
30,2,287,120,41.81,167,58.19,30002
30,5,242,139,57.44,103,42.56,30005
30,6,265,132,49.81,133,50.19,30006
30,9,90,37,41.11,53,58.89,30009
30,10,354,238,67.23,116,32.77,30010
30,11,297,129,43.43,168,56.57,30011
30,12,262,159,60.69,103,39.31,30012
30,13,254,127,50.0,127,50.0,30013
30,14,224,99,44.2,125,55.8,30014
30,16,160,63,39.38,97,60.63,30016
30,19,250,118,47.2,132,52.8,30019
30,21,198,89,44.95,109,55.05,30021
30,29,194,103,53.09,91,46.91,30029
30,30,140,60,42.86,80,57.14,30030
31,3,200,90,45.0,110,55.0,31003
31,4,314,120,38.22,194,61.78,31004
31,14,39,13,33.33,26,66.67,31014
31,15,171,80,46.78,91,53.22,31015
31,16,276,127,46.01,149,53.99,31016
31,19,181,60,33.15,121,66.85,31019
31,21,26,9,34.62,17,65.38,31021
31,22,191,75,39.27,116,60.73,31022
31,25,189,66,34.92,123,65.08,31025
31,31,219,104,47.49,115,52.51,31031
31,39,231,107,46.32,124,53.68,31039
35,2,333,136,40.84,197,59.16,35002
35,3,350,167,47.71,183,52.29,35003
35,7,381,174,45.67,207,54.33,35007
35,8,368,175,47.55,193,52.45,35008
35,12,255,105,41.18,150,58.82,35012
35,13,247,118,47.77,129,52.23,35013
35,14,304,123,40.46,181,59.54,35014
35,16,256,94,36.72,162,63.28,35016
35,18,310,145,46.77,165,53.23,35018
35,19,227,108,47.58,119,52.42,35019
35,21,325,174,53.54,151,46.46,35021
36,1,312,108,34.62,204,65.38,36001
36,2,290,109,37.59,181,62.41,36002
36,3,264,85,32.2,179,67.8,36003
36,4,325,119,36.62,206,63.38,36004
36,5,323,99,30.65,224,69.35,36005
36,6,258,84,32.56,174,67.44,36006
36,7,297,115,38.72,182,61.28,36007
36,8,267,83,31.09,184,68.91,36008
36,9,277,106,38.27,171,61.73,36009
36,10,315,111,35.24,204,64.76,36010
36,11,236,101,42.8,135,57.2,36011
36,12,229,63,27.51,166,72.49,36012
36,13,226,87,38.5,139,61.5,36013
36,15,303,75,24.75,228,75.25,36015
36,18,60,26,43.33,34,56.67,36018
36,19,344,112,32.56,232,67.44,36019
36,21,297,92,30.98,205,69.02,36021
36,22,260,87,33.46,173,66.54,36022
36,23,282,63,22.34,219,77.66,36023
36,24,267,89,33.33,178,66.67,36024
36,25,331,85,25.68,246,74.32,36025
36,26,206,75,36.41,131,63.59,36026
36,27,257,93,36.19,164,63.81,36027
36,28,227,81,35.68,146,64.32,36028
36,29,312,135,43.27,177,56.73,36029
36,30,279,98,35.13,181,64.87,36030
37,12,79,44,55.7,35,44.3,37012
37,22,221,122,55.2,99,44.8,37022
37,26,47,24,51.06,23,48.94,37026
38,4,235,89,37.87,146,62.13,38004
38,8,222,105,47.3,117,52.7,38008
38,10,226,85,37.61,141,62.39,38010
38,16,223,104,46.64,119,53.36,38016
38,21,7,4,57.14,3,42.86,38021
38,37,276,91,32.97,185,67.03,38037
38,39,223,92,41.26,131,58.74,38039
