ward,precinct,total,Patricia ''Pat'' S. Spratt,Patricia ''Pat'' S. Spratt Percent,Christopher J. Stuart,Christopher J. Stuart Percent,Jennifer Ballard,Jennifer Ballard Percent,Mable Taylor,Mable Taylor Percent,Patrick D. John,Patrick D. John Percent,Rosa Silva,Rosa Silva Percent,precinct_id
24,35,240,64,26.67,16,6.67,68,28.33,46,19.17,20,8.33,26,10.83,24035
24,36,327,78,23.85,18,5.5,108,33.03,54,16.51,25,7.65,44,13.46,24036
24,37,161,39,24.22,8,4.97,52,32.3,31,19.25,10,6.21,21,13.04,24037
24,38,184,31,16.85,13,7.07,63,34.24,34,18.48,15,8.15,28,15.22,24038
24,40,241,68,28.22,19,7.88,46,19.09,35,14.52,54,22.41,19,7.88,24040
24,41,181,47,25.97,8,4.42,75,41.44,28,15.47,13,7.18,10,5.52,24041
25,3,234,69,29.49,18,7.69,42,17.95,9,3.85,10,4.27,86,36.75,25003
25,4,181,55,30.39,11,6.08,36,19.89,33,18.23,12,6.63,34,18.78,25004
25,10,219,70,31.96,10,4.57,36,16.44,13,5.94,8,3.65,82,37.44,25010
25,16,182,48,26.37,14,7.69,36,19.78,20,10.99,7,3.85,57,31.32,25016
25,20,213,56,26.29,20,9.39,29,13.62,53,24.88,11,5.16,44,20.66,25020
25,25,11,4,36.36,1,9.09,2,18.18,1,9.09,1,9.09,2,18.18,25025
25,27,108,41,37.96,3,2.78,20,18.52,11,10.19,4,3.7,29,26.85,25027
25,29,205,56,27.32,15,7.32,52,25.37,22,10.73,10,4.88,50,24.39,25029
25,31,218,76,34.86,16,7.34,39,17.89,14,6.42,9,4.13,64,29.36,25031
26,2,136,28,20.59,6,4.41,16,11.76,7,5.15,6,4.41,73,53.68,26002
26,10,89,15,16.85,5,5.62,15,16.85,6,6.74,2,2.25,46,51.69,26010
26,17,131,47,35.88,4,3.05,22,16.79,10,7.63,0,0.0,48,36.64,26017
26,31,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,26031
26,46,114,30,26.32,6,5.26,21,18.42,5,4.39,4,3.51,48,42.11,26046
27,2,220,86,39.09,15,6.82,25,11.36,26,11.82,12,5.45,56,25.45,27002
27,3,155,44,28.39,11,7.1,43,27.74,22,14.19,15,9.68,20,12.9,27003
27,4,162,51,31.48,7,4.32,38,23.46,32,19.75,9,5.56,25,15.43,27004
27,5,180,45,25.0,7,3.89,36,20.0,42,23.33,13,7.22,37,20.56,27005
27,8,239,78,32.64,14,5.86,61,25.52,48,20.08,13,5.44,25,10.46,27008
27,10,293,85,29.01,14,4.78,53,18.09,73,24.91,21,7.17,47,16.04,27010
27,14,150,38,25.33,16,10.67,39,26.0,30,20.0,11,7.33,16,10.67,27014
27,15,188,71,37.77,13,6.91,42,22.34,22,11.7,18,9.57,22,11.7,27015
27,16,137,36,26.28,9,6.57,25,18.25,12,8.76,6,4.38,49,35.77,27016
27,17,260,73,28.08,17,6.54,74,28.46,46,17.69,12,4.62,38,14.62,27017
27,18,222,72,32.43,19,8.56,47,21.17,40,18.02,12,5.41,32,14.41,27018
27,19,176,54,30.68,12,6.82,31,17.61,29,16.48,13,7.39,37,21.02,27019
27,22,168,61,36.31,8,4.76,40,23.81,21,12.5,9,5.36,29,17.26,27022
27,23,205,59,28.78,19,9.27,51,24.88,34,16.59,12,5.85,30,14.63,27023
27,24,178,59,33.15,3,1.69,33,18.54,20,11.24,13,7.3,50,28.09,27024
27,25,200,40,20.0,19,9.5,48,24.0,49,24.5,9,4.5,35,17.5,27025
27,26,219,76,34.7,17,7.76,43,19.63,32,14.61,8,3.65,43,19.63,27026
27,27,263,66,25.1,23,8.75,77,29.28,42,15.97,15,5.7,40,15.21,27027
27,29,219,66,30.14,8,3.65,63,28.77,25,11.42,21,9.59,36,16.44,27029
27,30,156,45,28.85,14,8.97,41,26.28,27,17.31,8,5.13,21,13.46,27030
27,31,224,64,28.57,10,4.46,60,26.79,33,14.73,21,9.38,36,16.07,27031
27,32,192,39,20.31,9,4.69,34,17.71,46,23.96,12,6.25,52,27.08,27032
27,33,143,39,27.27,7,4.9,34,23.78,23,16.08,7,4.9,33,23.08,27033
27,34,246,84,34.15,16,6.5,64,26.02,39,15.85,15,6.1,28,11.38,27034
27,36,198,51,25.76,10,5.05,66,33.33,16,8.08,10,5.05,45,22.73,27036
27,39,224,56,25.0,15,6.7,80,35.71,38,16.96,14,6.25,21,9.38,27039
27,41,225,63,28.0,12,5.33,61,27.11,58,25.78,10,4.44,21,9.33,27041
27,43,104,30,28.85,6,5.77,23,22.12,21,20.19,6,5.77,18,17.31,27043
27,44,239,63,26.36,14,5.86,81,33.89,40,16.74,17,7.11,24,10.04,27044
27,45,220,66,30.0,15,6.82,41,18.64,24,10.91,6,2.73,68,30.91,27045
27,49,193,59,30.57,13,6.74,45,23.32,48,24.87,14,7.25,14,7.25,27049
27,50,227,62,27.31,19,8.37,51,22.47,52,22.91,18,7.93,25,11.01,27050
28,1,242,102,42.15,7,2.89,59,24.38,37,15.29,14,5.79,23,9.5,28001
28,2,233,56,24.03,18,7.73,79,33.91,26,11.16,21,9.01,33,14.16,28002
28,3,206,51,24.76,14,6.8,50,24.27,39,18.93,24,11.65,28,13.59,28003
28,4,147,31,21.09,7,4.76,32,21.77,10,6.8,5,3.4,62,42.18,28004
28,5,159,41,25.79,6,3.77,54,33.96,24,15.09,11,6.92,23,14.47,28005
28,6,124,36,29.03,3,2.42,26,20.97,16,12.9,8,6.45,35,28.23,28006
28,7,274,60,21.9,16,5.84,136,49.64,28,10.22,12,4.38,22,8.03,28007
28,8,121,29,23.97,7,5.79,28,23.14,10,8.26,4,3.31,43,35.54,28008
28,9,236,54,22.88,16,6.78,98,41.53,38,16.1,15,6.36,15,6.36,28009
28,10,252,49,19.44,11,4.37,49,19.44,34,13.49,9,3.57,100,39.68,28010
28,11,393,85,21.63,21,5.34,84,21.37,31,7.89,17,4.33,155,39.44,28011
28,12,247,58,23.48,21,8.5,98,39.68,33,13.36,19,7.69,18,7.29,28012
28,13,244,72,29.51,13,5.33,88,36.07,31,12.7,10,4.1,30,12.3,28013
28,14,228,41,17.98,11,4.82,95,41.67,41,17.98,25,10.96,15,6.58,28014
28,15,82,23,28.05,5,6.1,30,36.59,8,9.76,5,6.1,11,13.41,28015
28,16,169,35,20.71,11,6.51,78,46.15,22,13.02,10,5.92,13,7.69,28016
28,17,240,52,21.67,12,5.0,100,41.67,32,13.33,18,7.5,26,10.83,28017
28,18,181,38,20.99,13,7.18,60,33.15,31,17.13,7,3.87,32,17.68,28018
28,19,178,35,19.66,7,3.93,38,21.35,16,8.99,7,3.93,75,42.13,28019
28,20,215,54,25.12,8,3.72,71,33.02,33,15.35,18,8.37,31,14.42,28020
28,21,205,51,24.88,13,6.34,80,39.02,32,15.61,14,6.83,15,7.32,28021
28,22,200,41,20.5,15,7.5,58,29.0,42,21.0,9,4.5,35,17.5,28022
28,23,294,67,22.79,14,4.76,124,42.18,35,11.9,26,8.84,28,9.52,28023
28,24,226,50,22.12,14,6.19,75,33.19,50,22.12,22,9.73,15,6.64,28024
28,25,345,56,16.23,14,4.06,180,52.17,47,13.62,17,4.93,31,8.99,28025
28,26,266,58,21.8,15,5.64,123,46.24,39,14.66,14,5.26,17,6.39,28026
28,27,205,51,24.88,11,5.37,35,17.07,18,8.78,6,2.93,84,40.98,28027
28,28,241,64,26.56,11,4.56,34,14.11,10,4.15,10,4.15,112,46.47,28028
28,29,111,19,17.12,8,7.21,37,33.33,24,21.62,12,10.81,11,9.91,28029
28,30,39,7,17.95,0,0.0,23,58.97,1,2.56,4,10.26,4,10.26,28030
28,31,304,89,29.28,14,4.61,95,31.25,57,18.75,20,6.58,29,9.54,28031
28,32,244,81,33.2,21,8.61,54,22.13,47,19.26,22,9.02,19,7.79,28032
28,33,279,58,20.79,21,7.53,105,37.63,54,19.35,22,7.89,19,6.81,28033
28,34,456,90,19.74,21,4.61,196,42.98,52,11.4,32,7.02,65,14.25,28034
28,35,264,51,19.32,18,6.82,120,45.45,39,14.77,10,3.79,26,9.85,28035
28,36,151,31,20.53,6,3.97,76,50.33,19,12.58,7,4.64,12,7.95,28036
28,37,347,120,34.58,20,5.76,125,36.02,37,10.66,11,3.17,34,9.8,28037
28,38,127,27,21.26,12,9.45,43,33.86,22,17.32,10,7.87,13,10.24,28038
28,39,190,59,31.05,15,7.89,59,31.05,26,13.68,11,5.79,20,10.53,28039
28,40,333,75,22.52,12,3.6,105,31.53,59,17.72,42,12.61,40,12.01,28040
28,41,193,54,27.98,5,2.59,72,37.31,29,15.03,11,5.7,22,11.4,28041
28,42,287,71,24.74,11,3.83,115,40.07,40,13.94,23,8.01,27,9.41,28042
28,43,337,95,28.19,33,9.79,112,33.23,50,14.84,18,5.34,29,8.61,28043
28,44,173,48,27.75,12,6.94,64,36.99,24,13.87,7,4.05,18,10.4,28044
28,45,159,40,25.16,14,8.81,36,22.64,15,9.43,4,2.52,50,31.45,28045
28,46,362,78,21.55,15,4.14,55,15.19,30,8.29,11,3.04,173,47.79,28046
29,2,443,133,30.02,30,6.77,107,24.15,96,21.67,26,5.87,51,11.51,29002
29,3,328,126,38.41,36,10.98,67,20.43,52,15.85,23,7.01,24,7.32,29003
29,4,339,94,27.73,22,6.49,69,20.35,82,24.19,30,8.85,42,12.39,29004
29,5,260,61,23.46,28,10.77,59,22.69,63,24.23,21,8.08,28,10.77,29005
29,6,284,131,46.13,14,4.93,50,17.61,46,16.2,15,5.28,28,9.86,29006
29,8,263,92,34.98,6,2.28,51,19.39,43,16.35,43,16.35,28,10.65,29008
29,11,185,58,31.35,12,6.49,39,21.08,44,23.78,13,7.03,19,10.27,29011
29,13,280,92,32.86,16,5.71,70,25.0,55,19.64,17,6.07,30,10.71,29013
29,14,283,110,38.87,20,7.07,75,26.5,51,18.02,10,3.53,17,6.01,29014
29,16,355,84,23.66,15,4.23,62,17.46,49,13.8,121,34.08,24,6.76,29016
29,18,316,145,45.89,29,9.18,68,21.52,40,12.66,13,4.11,21,6.65,29018
29,19,336,133,39.58,23,6.85,56,16.67,64,19.05,36,10.71,24,7.14,29019
29,20,337,121,35.91,23,6.82,78,23.15,60,17.8,21,6.23,34,10.09,29020
29,21,390,128,32.82,31,7.95,87,22.31,64,16.41,34,8.72,46,11.79,29021
29,22,233,54,23.18,16,6.87,52,22.32,42,18.03,26,11.16,43,18.45,29022
29,25,312,117,37.5,17,5.45,63,20.19,63,20.19,18,5.77,34,10.9,29025
29,26,276,101,36.59,20,7.25,58,21.01,59,21.38,12,4.35,26,9.42,29026
29,27,236,66,27.97,20,8.47,63,26.69,55,23.31,15,6.36,17,7.2,29027
29,28,372,126,33.87,24,6.45,70,18.82,85,22.85,40,10.75,27,7.26,29028
29,33,213,77,36.15,11,5.16,50,23.47,39,18.31,11,5.16,25,11.74,29033
29,34,153,36,23.53,15,9.8,28,18.3,22,14.38,15,9.8,37,24.18,29034
29,35,234,76,32.48,24,10.26,44,18.8,47,20.09,12,5.13,31,13.25,29035
29,37,286,112,39.16,13,4.55,57,19.93,57,19.93,15,5.24,32,11.19,29037
29,40,336,110,32.74,16,4.76,75,22.32,69,20.54,24,7.14,42,12.5,29040
29,41,251,71,28.29,17,6.77,58,23.11,61,24.3,19,7.57,25,9.96,29041
29,42,337,131,38.87,33,9.79,62,18.4,59,17.51,21,6.23,31,9.2,29042
29,44,395,188,47.59,20,5.06,74,18.73,59,14.94,16,4.05,38,9.62,29044
37,1,213,65,30.52,21,9.86,54,25.35,38,17.84,14,6.57,21,9.86,37001
37,3,223,69,30.94,10,4.48,65,29.15,31,13.9,22,9.87,26,11.66,37003
37,4,233,50,21.46,7,3.0,50,21.46,22,9.44,18,7.73,86,36.91,37004
37,5,286,83,29.02,21,7.34,66,23.08,71,24.83,17,5.94,28,9.79,37005
37,6,263,83,31.56,23,8.75,64,24.33,49,18.63,13,4.94,31,11.79,37006
37,7,196,39,19.9,6,3.06,36,18.37,23,11.73,11,5.61,81,41.33,37007
37,8,200,37,18.5,11,5.5,43,21.5,20,10.0,10,5.0,79,39.5,37008
37,9,274,67,24.45,28,10.22,72,26.28,52,18.98,18,6.57,37,13.5,37009
37,11,195,60,30.77,8,4.1,54,27.69,36,18.46,11,5.64,26,13.33,37011
37,13,207,63,30.43,10,4.83,41,19.81,34,16.43,20,9.66,39,18.84,37013
37,14,253,80,31.62,21,8.3,53,20.95,47,18.58,19,7.51,33,13.04,37014
37,15,292,98,33.56,21,7.19,71,24.32,43,14.73,18,6.16,41,14.04,37015
37,17,247,59,23.89,10,4.05,82,33.2,45,18.22,23,9.31,28,11.34,37017
37,18,255,58,22.75,22,8.63,60,23.53,64,25.1,23,9.02,28,10.98,37018
37,19,208,60,28.85,17,8.17,41,19.71,32,15.38,9,4.33,49,23.56,37019
37,20,234,66,28.21,12,5.13,57,24.36,48,20.51,20,8.55,31,13.25,37020
37,21,213,71,33.33,9,4.23,37,17.37,27,12.68,14,6.57,55,25.82,37021
37,22,29,7,24.14,0,0.0,8,27.59,3,10.34,0,0.0,11,37.93,37022
37,23,290,91,31.38,17,5.86,75,25.86,52,17.93,20,6.9,35,12.07,37023
37,24,113,26,23.01,11,9.73,25,22.12,23,20.35,8,7.08,20,17.7,37024
37,25,246,72,29.27,16,6.5,64,26.02,44,17.89,25,10.16,25,10.16,37025
37,27,223,48,21.52,22,9.87,50,22.42,57,25.56,17,7.62,29,13.0,37027
37,28,228,56,24.56,11,4.82,44,19.3,27,11.84,15,6.58,75,32.89,37028
37,29,258,69,26.74,15,5.81,72,27.91,62,24.03,12,4.65,28,10.85,37029
37,30,273,66,24.18,12,4.4,80,29.3,56,20.51,14,5.13,45,16.48,37030
37,31,304,67,22.04,16,5.26,127,41.78,40,13.16,12,3.95,42,13.82,37031
37,32,231,65,28.14,13,5.63,52,22.51,54,23.38,19,8.23,28,12.12,37032
37,33,273,70,25.64,21,7.69,87,31.87,49,17.95,25,9.16,21,7.69,37033
37,34,259,69,26.64,18,6.95,64,24.71,53,20.46,23,8.88,32,12.36,37034
37,35,253,70,27.67,15,5.93,61,24.11,62,24.51,19,7.51,26,10.28,37035
37,36,249,72,28.92,19,7.63,54,21.69,39,15.66,32,12.85,33,13.25,37036
37,37,288,90,31.25,20,6.94,66,22.92,44,15.28,28,9.72,40,13.89,37037
37,38,306,84,27.45,28,9.15,76,24.84,58,18.95,18,5.88,42,13.73,37038
37,39,238,74,31.09,16,6.72,69,28.99,37,15.55,10,4.2,32,13.45,37039
37,40,290,76,26.21,14,4.83,90,31.03,53,18.28,23,7.93,34,11.72,37040
37,41,187,52,27.81,10,5.35,40,21.39,39,20.86,18,9.63,28,14.97,37041
42,3,230,56,24.35,19,8.26,36,15.65,26,11.3,8,3.48,85,36.96,42003
42,12,68,23,33.82,2,2.94,15,22.06,8,11.76,3,4.41,17,25.0,42012
42,16,180,60,33.33,13,7.22,39,21.67,12,6.67,8,4.44,48,26.67,42016
42,18,161,53,32.92,17,10.56,39,24.22,7,4.35,4,2.48,41,25.47,42018
42,21,149,47,31.54,24,16.11,27,18.12,9,6.04,7,4.7,35,23.49,42021
42,36,205,64,31.22,8,3.9,51,24.88,19,9.27,9,4.39,54,26.34,42036
42,41,181,51,28.18,15,8.29,40,22.1,11,6.08,6,3.31,58,32.04,42041
