ward,precinct,total,Darryl D. Smith,Darryl D. Smith Percent,Kenyatta Nicole Vaughn,Kenyatta Nicole Vaughn Percent,Genita C. Robinson,Genita C. Robinson Percent,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
20,2,153,49,32.03,36,23.53,38,24.84,30,19.61,20002
20,4,158,53,33.54,32,20.25,25,15.82,48,30.38,20004
20,6,188,44,23.4,39,20.74,67,35.64,38,20.21,20006
20,13,368,108,29.35,127,34.51,58,15.76,75,20.38,20013
20,15,299,71,23.75,46,15.38,70,23.41,112,37.46,20015
20,17,180,52,28.89,39,21.67,50,27.78,39,21.67,20017
20,20,247,60,24.29,38,15.38,47,19.03,102,41.3,20020
20,21,276,78,28.26,51,18.48,51,18.48,96,34.78,20021
20,25,278,68,24.46,60,21.58,66,23.74,84,30.22,20025
20,27,209,79,37.8,60,28.71,28,13.4,42,20.1,20027
20,29,374,106,28.34,127,33.96,54,14.44,87,23.26,20029
20,32,340,111,32.65,60,17.65,56,16.47,113,33.24,20032
20,36,125,29,23.2,39,31.2,11,8.8,46,36.8,20036
20,38,139,58,41.73,28,20.14,22,15.83,31,22.3,20038
20,39,44,23,52.27,11,25.0,3,6.82,7,15.91,20039
25,14,3,2,66.67,0,0.0,0,0.0,1,33.33,25014
25,21,378,58,15.34,74,19.58,129,34.13,117,30.95,25021
25,27,93,22,23.66,20,21.51,26,27.96,25,26.88,25027
42,5,143,19,13.29,17,11.89,44,30.77,63,44.06,42005
42,9,257,53,20.62,40,15.56,59,22.96,105,40.86,42009
42,10,68,22,32.35,7,10.29,16,23.53,23,33.82,42010
42,12,75,11,14.67,8,10.67,33,44.0,23,30.67,42012
42,14,51,6,11.76,4,7.84,27,52.94,14,27.45,42014
42,15,94,13,13.83,8,8.51,30,31.91,43,45.74,42015
42,17,216,41,18.98,23,10.65,76,35.19,76,35.19,42017
42,18,205,44,21.46,34,16.59,71,34.63,56,27.32,42018
42,21,128,22,17.19,11,8.59,52,40.63,43,33.59,42021
42,33,0,0,0.0,0,0.0,0,0.0,0,0.0,42033
42,36,187,24,12.83,28,14.97,62,33.16,73,39.04,42036
42,37,127,26,20.47,13,10.24,37,29.13,51,40.16,42037
42,38,169,28,16.57,16,9.47,60,35.5,65,38.46,42038
42,41,133,18,13.53,14,10.53,37,27.82,64,48.12,42041
