ward,precinct,total,Marc Martin,Marc Martin Percent,James DiChristofano,James DiChristofano Percent,precinct_id
36,20,206,97,47.09,44,21.36,36020
36,21,39,16,41.03,11,28.21,36021
36,23,35,12,34.29,11,31.43,36023
36,24,207,81,39.13,62,29.95,36024
36,26,170,62,36.47,57,33.53,36026
36,27,207,88,42.51,51,24.64,36027
36,28,178,53,29.78,50,28.09,36028
36,29,268,87,32.46,101,37.69,36029
36,30,218,59,27.06,74,33.94,36030
37,16,112,52,46.43,18,16.07,37016
37,24,139,46,33.09,25,17.99,37024
37,26,277,125,45.13,59,21.3,37026
38,2,189,100,52.91,56,29.63,38002
38,3,210,70,33.33,56,26.67,38003
38,4,192,72,37.5,59,30.73,38004
38,5,167,56,33.53,58,34.73,38005
38,6,191,68,35.6,56,29.32,38006
38,7,196,80,40.82,70,35.71,38007
38,8,185,72,38.92,48,25.95,38008
38,9,229,116,50.66,52,22.71,38009
38,10,192,71,36.98,47,24.48,38010
38,11,203,90,44.33,28,13.79,38011
38,12,163,65,39.88,58,35.58,38012
38,13,200,78,39.0,63,31.5,38013
38,14,230,87,37.83,58,25.22,38014
38,15,195,54,27.69,40,20.51,38015
38,16,198,85,42.93,51,25.76,38016
38,17,216,93,43.06,71,32.87,38017
38,18,177,82,46.33,50,28.25,38018
38,19,205,79,38.54,38,18.54,38019
38,20,200,95,47.5,66,33.0,38020
38,21,191,82,42.93,37,19.37,38021
38,22,206,63,30.58,57,27.67,38022
38,23,231,82,35.5,60,25.97,38023
38,24,206,94,45.63,64,31.07,38024
38,25,161,55,34.16,51,31.68,38025
38,26,208,88,42.31,50,24.04,38026
38,27,201,84,41.79,57,28.36,38027
38,28,228,93,40.79,68,29.82,38028
38,29,238,77,32.35,84,35.29,38029
38,30,176,65,36.93,64,36.36,38030
38,33,189,71,37.57,41,21.69,38033
38,34,194,77,39.69,35,18.04,38034
38,35,231,81,35.06,49,21.21,38035
38,36,194,71,36.6,43,22.16,38036
38,37,218,87,39.91,55,25.23,38037
38,38,172,69,40.12,37,21.51,38038
38,39,247,113,45.75,51,20.65,38039
38,40,215,78,36.28,49,22.79,38040
41,25,138,49,35.51,32,23.19,41025
41,27,146,49,33.56,43,29.45,41027
41,28,180,72,40.0,41,22.78,41028
41,29,130,46,35.38,35,26.92,41029
45,4,43,16,37.21,5,11.63,45004
45,5,182,68,37.36,22,12.09,45005
45,6,277,107,38.63,47,16.97,45006
45,7,65,22,33.85,11,16.92,45007
45,8,11,4,36.36,0,0.0,45008
45,9,157,52,33.12,36,22.93,45009
45,10,106,41,38.68,23,21.7,45010
