ward,precinct,total,Mary Kathleen McHugh,Mary Kathleen McHugh Percent,Devlin J. Schoop,Devlin J. Schoop Percent,Brian J O'Hara,Brian J O'Hara Percent,precinct_id
8,50,300,108,36.0,168,56.0,24,8.0,08050
8,51,337,114,33.83,195,57.86,28,8.31,08051
8,52,383,144,37.6,202,52.74,37,9.66,08052
8,53,165,81,49.09,66,40.0,18,10.91,08053
8,54,281,129,45.91,120,42.7,32,11.39,08054
8,55,236,100,42.37,113,47.88,23,9.75,08055
8,56,288,136,47.22,127,44.1,25,8.68,08056
9,1,305,156,51.15,107,35.08,42,13.77,09001
9,2,268,129,48.13,106,39.55,33,12.31,09002
9,3,227,109,48.02,85,37.44,33,14.54,09003
9,4,232,93,40.09,100,43.1,39,16.81,09004
9,5,247,119,48.18,106,42.91,22,8.91,09005
9,6,274,112,40.88,119,43.43,43,15.69,09006
9,7,192,100,52.08,69,35.94,23,11.98,09007
9,8,280,147,52.5,93,33.21,40,14.29,09008
9,9,306,142,46.41,124,40.52,40,13.07,09009
9,10,260,111,42.69,113,43.46,36,13.85,09010
9,11,216,100,46.3,95,43.98,21,9.72,09011
9,12,299,125,41.81,141,47.16,33,11.04,09012
9,13,305,133,43.61,136,44.59,36,11.8,09013
9,14,365,165,45.21,165,45.21,35,9.59,09014
9,15,278,127,45.68,99,35.61,52,18.71,09015
9,16,274,124,45.26,118,43.07,32,11.68,09016
9,17,229,111,48.47,76,33.19,42,18.34,09017
9,18,203,96,47.29,76,37.44,31,15.27,09018
9,19,290,130,44.83,125,43.1,35,12.07,09019
9,20,325,159,48.92,127,39.08,39,12.0,09020
9,21,243,110,45.27,99,40.74,34,13.99,09021
9,22,303,139,45.87,134,44.22,30,9.9,09022
9,23,315,143,45.4,142,45.08,30,9.52,09023
9,24,302,132,43.71,128,42.38,42,13.91,09024
9,25,292,138,47.26,127,43.49,27,9.25,09025
9,26,270,120,44.44,103,38.15,47,17.41,09026
9,27,258,124,48.06,90,34.88,44,17.05,09027
9,28,183,86,46.99,53,28.96,44,24.04,09028
9,29,235,120,51.06,76,32.34,39,16.6,09029
9,30,252,93,36.9,131,51.98,28,11.11,09030
9,31,214,108,50.47,75,35.05,31,14.49,09031
9,32,241,91,37.76,114,47.3,36,14.94,09032
9,33,218,103,47.25,87,39.91,28,12.84,09033
9,34,233,102,43.78,91,39.06,40,17.17,09034
9,35,275,110,40.0,136,49.45,29,10.55,09035
9,36,248,126,50.81,96,38.71,26,10.48,09036
9,37,300,141,47.0,105,35.0,54,18.0,09037
9,38,260,118,45.38,109,41.92,33,12.69,09038
9,39,318,102,32.08,170,53.46,46,14.47,09039
9,40,309,134,43.37,141,45.63,34,11.0,09040
9,41,231,97,41.99,102,44.16,32,13.85,09041
9,42,301,117,38.87,159,52.82,25,8.31,09042
9,43,234,118,50.43,80,34.19,36,15.38,09043
9,44,254,108,42.52,104,40.94,42,16.54,09044
9,45,228,113,49.56,93,40.79,22,9.65,09045
9,46,281,132,46.98,124,44.13,25,8.9,09046
9,47,309,125,40.45,159,51.46,25,8.09,09047
9,48,311,152,48.87,129,41.48,30,9.65,09048
9,49,313,108,34.5,171,54.63,34,10.86,09049
9,50,353,138,39.09,188,53.26,27,7.65,09050
9,51,296,112,37.84,143,48.31,41,13.85,09051
10,1,226,99,43.81,68,30.09,59,26.11,10001
10,2,168,68,40.48,42,25.0,58,34.52,10002
10,3,183,77,42.08,39,21.31,67,36.61,10003
10,4,203,100,49.26,48,23.65,55,27.09,10004
10,5,138,58,42.03,30,21.74,50,36.23,10005
10,6,194,92,47.42,38,19.59,64,32.99,10006
10,7,163,67,41.1,43,26.38,53,32.52,10007
10,8,185,76,41.08,63,34.05,46,24.86,10008
10,9,180,70,38.89,36,20.0,74,41.11,10009
10,10,236,96,40.68,43,18.22,97,41.1,10010
10,11,277,107,38.63,53,19.13,117,42.24,10011
10,12,166,65,39.16,37,22.29,64,38.55,10012
10,13,283,125,44.17,62,21.91,96,33.92,10013
10,14,293,110,37.54,63,21.5,120,40.96,10014
10,15,529,225,42.53,242,45.75,62,11.72,10015
10,16,169,65,38.46,45,26.63,59,34.91,10016
10,17,237,94,39.66,51,21.52,92,38.82,10017
10,18,166,68,40.96,51,30.72,47,28.31,10018
10,19,209,97,46.41,40,19.14,72,34.45,10019
10,20,232,93,40.09,45,19.4,94,40.52,10020
10,21,257,109,42.41,54,21.01,94,36.58,10021
10,22,144,64,44.44,35,24.31,45,31.25,10022
10,23,230,102,44.35,43,18.7,85,36.96,10023
10,24,177,73,41.24,27,15.25,77,43.5,10024
10,25,77,41,53.25,19,24.68,17,22.08,10025
10,26,198,85,42.93,39,19.7,74,37.37,10026
10,27,233,127,54.51,53,22.75,53,22.75,10027
10,28,278,112,40.29,62,22.3,104,37.41,10028
10,29,227,89,39.21,55,24.23,83,36.56,10029
10,30,230,87,37.83,55,23.91,88,38.26,10030
10,31,206,81,39.32,46,22.33,79,38.35,10031
10,32,222,94,42.34,36,16.22,92,41.44,10032
10,33,150,72,48.0,28,18.67,50,33.33,10033
10,34,170,74,43.53,46,27.06,50,29.41,10034
10,35,209,98,46.89,39,18.66,72,34.45,10035
10,36,52,24,46.15,18,34.62,10,19.23,10036
11,1,249,118,47.39,84,33.73,47,18.88,11001
11,2,40,15,37.5,13,32.5,12,30.0,11002
11,3,237,124,52.32,71,29.96,42,17.72,11003
11,4,234,128,54.7,58,24.79,48,20.51,11004
11,5,339,175,51.62,102,30.09,62,18.29,11005
11,6,277,159,57.4,78,28.16,40,14.44,11006
11,7,411,206,50.12,129,31.39,76,18.49,11007
11,8,261,116,44.44,85,32.57,60,22.99,11008
11,9,229,113,49.34,66,28.82,50,21.83,11009
11,10,221,103,46.61,69,31.22,49,22.17,11010
11,11,238,111,46.64,76,31.93,51,21.43,11011
11,12,388,178,45.88,149,38.4,61,15.72,11012
11,13,330,139,42.12,130,39.39,61,18.48,11013
11,14,103,54,52.43,28,27.18,21,20.39,11014
11,15,95,40,42.11,33,34.74,22,23.16,11015
11,16,161,68,42.24,70,43.48,23,14.29,11016
11,17,321,152,47.35,109,33.96,60,18.69,11017
11,18,229,89,38.86,96,41.92,44,19.21,11018
11,19,337,165,48.96,101,29.97,71,21.07,11019
11,20,187,71,37.97,85,45.45,31,16.58,11020
11,21,395,141,35.7,180,45.57,74,18.73,11021
11,22,339,145,42.77,136,40.12,58,17.11,11022
11,23,151,63,41.72,56,37.09,32,21.19,11023
11,24,385,125,32.47,219,56.88,41,10.65,11024
11,25,297,110,37.04,127,42.76,60,20.2,11025
11,26,323,130,40.25,135,41.8,58,17.96,11026
11,27,90,43,47.78,33,36.67,14,15.56,11027
11,28,144,63,43.75,56,38.89,25,17.36,11028
11,29,292,119,40.75,139,47.6,34,11.64,11029
11,30,119,51,42.86,41,34.45,27,22.69,11030
11,31,245,123,50.2,64,26.12,58,23.67,11031
11,32,129,45,34.88,68,52.71,16,12.4,11032
11,33,224,133,59.38,56,25.0,35,15.63,11033
11,34,68,20,29.41,37,54.41,11,16.18,11034
11,35,53,19,35.85,27,50.94,7,13.21,11035
11,36,99,56,56.57,30,30.3,13,13.13,11036
11,37,68,32,47.06,15,22.06,21,30.88,11037
11,38,134,67,50.0,41,30.6,26,19.4,11038
12,1,281,128,45.55,74,26.33,79,28.11,12001
12,2,233,99,42.49,48,20.6,86,36.91,12002
12,3,321,156,48.6,97,30.22,68,21.18,12003
12,4,297,139,46.8,58,19.53,100,33.67,12004
12,5,235,131,55.74,46,19.57,58,24.68,12005
12,6,251,125,49.8,55,21.91,71,28.29,12006
12,7,265,110,41.51,76,28.68,79,29.81,12007
12,8,291,163,56.01,48,16.49,80,27.49,12008
12,9,227,116,51.1,48,21.15,63,27.75,12009
12,10,334,135,40.42,94,28.14,105,31.44,12010
12,11,290,116,40.0,68,23.45,106,36.55,12011
12,12,259,125,48.26,46,17.76,88,33.98,12012
12,13,288,121,42.01,72,25.0,95,32.99,12013
12,14,256,100,39.06,49,19.14,107,41.8,12014
12,15,208,91,43.75,47,22.6,70,33.65,12015
12,16,256,97,37.89,70,27.34,89,34.77,12016
12,17,284,134,47.18,54,19.01,96,33.8,12017
12,18,245,109,44.49,56,22.86,80,32.65,12018
12,19,274,117,42.7,57,20.8,100,36.5,12019
12,20,343,156,45.48,68,19.83,119,34.69,12020
12,21,286,143,50.0,66,23.08,77,26.92,12021
12,22,297,136,45.79,68,22.9,93,31.31,12022
12,23,273,133,48.72,63,23.08,77,28.21,12023
13,1,226,94,41.59,90,39.82,42,18.58,13001
13,2,234,84,35.9,111,47.44,39,16.67,13002
13,3,207,93,44.93,54,26.09,60,28.99,13003
