ward,precinct,total,Patrick Joseph Powers,Patrick Joseph Powers Percent,Fredrick H. Bates,Fredrick H. Bates Percent,precinct_id
6,7,302,137,45.36,165,54.64,06007
6,8,322,118,36.65,204,63.35,06008
6,9,287,134,46.69,153,53.31,06009
6,10,219,99,45.21,120,54.79,06010
6,11,299,153,51.17,146,48.83,06011
6,12,239,123,51.46,116,48.54,06012
6,13,229,104,45.41,125,54.59,06013
6,14,262,126,48.09,136,51.91,06014
6,15,242,115,47.52,127,52.48,06015
6,16,303,104,34.32,199,65.68,06016
6,17,203,101,49.75,102,50.25,06017
6,18,176,95,53.98,81,46.02,06018
6,19,262,100,38.17,162,61.83,06019
6,20,172,82,47.67,90,52.33,06020
6,21,171,106,61.99,65,38.01,06021
6,22,186,103,55.38,83,44.62,06022
6,23,162,68,41.98,94,58.02,06023
6,24,189,97,51.32,92,48.68,06024
6,25,184,81,44.02,103,55.98,06025
6,26,231,113,48.92,118,51.08,06026
6,27,185,105,56.76,80,43.24,06027
6,28,145,69,47.59,76,52.41,06028
6,29,312,83,26.6,229,73.4,06029
6,30,258,114,44.19,144,55.81,06030
6,31,326,80,24.54,246,75.46,06031
6,32,260,106,40.77,154,59.23,06032
6,33,297,129,43.43,168,56.57,06033
6,34,299,120,40.13,179,59.87,06034
6,35,280,117,41.79,163,58.21,06035
6,36,335,124,37.01,211,62.99,06036
6,37,327,87,26.61,240,73.39,06037
6,38,326,122,37.42,204,62.58,06038
6,39,277,125,45.13,152,54.87,06039
6,40,255,83,32.55,172,67.45,06040
6,41,331,122,36.86,209,63.14,06041
6,42,312,114,36.54,198,63.46,06042
6,43,249,79,31.73,170,68.27,06043
6,44,283,133,47.0,150,53.0,06044
6,45,324,123,37.96,201,62.04,06045
6,46,200,85,42.5,115,57.5,06046
6,47,229,128,55.9,101,44.1,06047
6,48,298,131,43.96,167,56.04,06048
7,1,258,112,43.41,146,56.59,07001
7,2,260,111,42.69,149,57.31,07002
7,3,262,126,48.09,136,51.91,07003
7,4,285,118,41.4,167,58.6,07004
7,5,193,90,46.63,103,53.37,07005
7,6,334,135,40.42,199,59.58,07006
7,7,242,117,48.35,125,51.65,07007
7,8,210,98,46.67,112,53.33,07008
7,9,398,137,34.42,261,65.58,07009
7,10,311,131,42.12,180,57.88,07010
7,11,322,144,44.72,178,55.28,07011
7,12,237,110,46.41,127,53.59,07012
7,13,157,68,43.31,89,56.69,07013
7,14,283,110,38.87,173,61.13,07014
7,15,280,103,36.79,177,63.21,07015
7,16,246,109,44.31,137,55.69,07016
7,17,246,120,48.78,126,51.22,07017
7,18,215,88,40.93,127,59.07,07018
7,19,281,132,46.98,149,53.02,07019
7,20,202,89,44.06,113,55.94,07020
7,21,201,89,44.28,112,55.72,07021
7,22,211,112,53.08,99,46.92,07022
7,23,300,127,42.33,173,57.67,07023
7,24,240,119,49.58,121,50.42,07024
7,25,249,140,56.22,109,43.78,07025
7,26,254,114,44.88,140,55.12,07026
7,27,228,91,39.91,137,60.09,07027
7,28,183,101,55.19,82,44.81,07028
7,29,243,111,45.68,132,54.32,07029
7,30,200,114,57.0,86,43.0,07030
7,31,165,88,53.33,77,46.67,07031
7,32,395,138,34.94,257,65.06,07032
7,33,354,151,42.66,203,57.34,07033
7,34,316,115,36.39,201,63.61,07034
7,35,253,126,49.8,127,50.2,07035
7,36,358,147,41.06,211,58.94,07036
7,37,296,136,45.95,160,54.05,07037
7,38,250,105,42.0,145,58.0,07038
7,39,260,124,47.69,136,52.31,07039
7,40,248,103,41.53,145,58.47,07040
7,41,271,110,40.59,161,59.41,07041
7,42,276,101,36.59,175,63.41,07042
7,43,234,104,44.44,130,55.56,07043
7,44,263,121,46.01,142,53.99,07044
7,45,272,133,48.9,139,51.1,07045
7,46,114,68,59.65,46,40.35,07046
8,1,228,94,41.23,134,58.77,08001
8,2,317,124,39.12,193,60.88,08002
8,3,324,95,29.32,229,70.68,08003
8,4,344,108,31.4,236,68.6,08004
8,5,325,113,34.77,212,65.23,08005
8,6,326,120,36.81,206,63.19,08006
8,7,339,110,32.45,229,67.55,08007
8,8,292,81,27.74,211,72.26,08008
8,9,210,76,36.19,134,63.81,08009
8,10,369,137,37.13,232,62.87,08010
8,11,270,104,38.52,166,61.48,08011
8,12,276,110,39.86,166,60.14,08012
8,13,329,168,51.06,161,48.94,08013
8,14,244,112,45.9,132,54.1,08014
8,15,278,102,36.69,176,63.31,08015
8,16,124,63,50.81,61,49.19,08016
8,17,263,86,32.7,177,67.3,08017
8,18,279,113,40.5,166,59.5,08018
8,19,361,129,35.73,232,64.27,08019
8,20,331,120,36.25,211,63.75,08020
8,21,374,133,35.56,241,64.44,08021
8,22,272,111,40.81,161,59.19,08022
8,23,252,100,39.68,152,60.32,08023
8,24,176,60,34.09,116,65.91,08024
8,25,286,112,39.16,174,60.84,08025
8,26,291,125,42.96,166,57.04,08026
8,27,328,98,29.88,230,70.12,08027
8,28,305,113,37.05,192,62.95,08028
8,29,357,134,37.54,223,62.46,08029
8,30,321,123,38.32,198,61.68,08030
8,31,233,100,42.92,133,57.08,08031
8,32,226,96,42.48,130,57.52,08032
8,33,285,134,47.02,151,52.98,08033
8,34,272,117,43.01,155,56.99,08034
8,35,304,129,42.43,175,57.57,08035
8,36,303,108,35.64,195,64.36,08036
8,37,267,92,34.46,175,65.54,08037
8,38,190,72,37.89,118,62.11,08038
8,39,287,119,41.46,168,58.54,08039
8,40,238,92,38.66,146,61.34,08040
8,41,289,104,35.99,185,64.01,08041
8,42,368,144,39.13,224,60.87,08042
8,43,145,62,42.76,83,57.24,08043
8,44,202,88,43.56,114,56.44,08044
8,45,295,132,44.75,163,55.25,08045
8,46,230,70,30.43,160,69.57,08046
8,47,232,102,43.97,130,56.03,08047
8,48,289,129,44.64,160,55.36,08048
8,49,289,101,34.95,188,65.05,08049
8,50,300,98,32.67,202,67.33,08050
8,51,324,101,31.17,223,68.83,08051
8,52,374,120,32.09,254,67.91,08052
8,53,162,60,37.04,102,62.96,08053
8,54,274,100,36.5,174,63.5,08054
8,55,240,91,37.92,149,62.08,08055
8,56,287,105,36.59,182,63.41,08056
9,1,317,153,48.26,164,51.74,09001
9,2,271,137,50.55,134,49.45,09002
9,3,225,106,47.11,119,52.89,09003
9,4,229,98,42.79,131,57.21,09004
9,5,254,108,42.52,146,57.48,09005
9,6,264,103,39.02,161,60.98,09006
9,7,184,79,42.93,105,57.07,09007
9,8,296,160,54.05,136,45.95,09008
9,9,306,114,37.25,192,62.75,09009
9,10,262,111,42.37,151,57.63,09010
9,11,211,90,42.65,121,57.35,09011
9,12,300,104,34.67,196,65.33,09012
9,13,305,121,39.67,184,60.33,09013
9,14,370,162,43.78,208,56.22,09014
9,15,270,118,43.7,152,56.3,09015
9,16,270,112,41.48,158,58.52,09016
9,17,226,115,50.88,111,49.12,09017
9,18,204,90,44.12,114,55.88,09018
9,19,282,130,46.1,152,53.9,09019
9,20,313,141,45.05,172,54.95,09020
9,21,244,104,42.62,140,57.38,09021
9,22,303,132,43.56,171,56.44,09022
9,23,316,113,35.76,203,64.24,09023
9,24,298,107,35.91,191,64.09,09024
9,25,283,109,38.52,174,61.48,09025
9,26,261,109,41.76,152,58.24,09026
9,27,254,112,44.09,142,55.91,09027
9,28,177,97,54.8,80,45.2,09028
9,29,232,112,48.28,120,51.72,09029
9,30,251,114,45.42,137,54.58,09030
9,31,206,97,47.09,109,52.91,09031
9,32,247,107,43.32,140,56.68,09032
9,33,222,97,43.69,125,56.31,09033
9,34,227,105,46.26,122,53.74,09034
9,35,273,115,42.12,158,57.88,09035
9,36,250,112,44.8,138,55.2,09036
9,37,296,138,46.62,158,53.38,09037
9,38,268,115,42.91,153,57.09,09038
9,39,315,119,37.78,196,62.22,09039
9,40,310,112,36.13,198,63.87,09040
9,41,232,96,41.38,136,58.62,09041
9,42,307,88,28.66,219,71.34,09042
9,43,243,120,49.38,123,50.62,09043
9,44,257,90,35.02,167,64.98,09044
9,45,224,112,50.0,112,50.0,09045
9,46,272,123,45.22,149,54.78,09046
9,47,312,118,37.82,194,62.18,09047
9,48,313,116,37.06,197,62.94,09048
9,49,326,116,35.58,210,64.42,09049
9,50,365,121,33.15,244,66.85,09050
9,51,292,99,33.9,193,66.1,09051
10,1,217,102,47.0,115,53.0,10001
10,2,161,100,62.11,61,37.89,10002
10,3,179,122,68.16,57,31.84,10003
10,4,197,108,54.82,89,45.18,10004
10,5,135,95,70.37,40,29.63,10005
10,6,186,119,63.98,67,36.02,10006
10,7,167,102,61.08,65,38.92,10007
10,8,178,88,49.44,90,50.56,10008
10,9,169,114,67.46,55,32.54,10009
10,10,224,156,69.64,68,30.36,10010
10,11,270,175,64.81,95,35.19,10011
10,12,165,103,62.42,62,37.58,10012
10,13,270,154,57.04,116,42.96,10013
10,14,285,178,62.46,107,37.54,10014
10,15,520,222,42.69,298,57.31,10015
10,16,164,118,71.95,46,28.05,10016
10,17,223,141,63.23,82,36.77,10017
10,18,160,92,57.5,68,42.5,10018
10,19,205,136,66.34,69,33.66,10019
10,20,221,151,68.33,70,31.67,10020
10,21,250,163,65.2,87,34.8,10021
10,22,141,89,63.12,52,36.88,10022
10,23,223,137,61.43,86,38.57,10023
10,24,174,119,68.39,55,31.61,10024
10,25,76,38,50.0,38,50.0,10025
10,26,194,127,65.46,67,34.54,10026
10,27,231,124,53.68,107,46.32,10027
10,28,268,159,59.33,109,40.67,10028
10,29,216,136,62.96,80,37.04,10029
10,30,223,140,62.78,83,37.22,10030
10,31,196,121,61.73,75,38.27,10031
10,32,217,142,65.44,75,34.56,10032
10,33,149,97,65.1,52,34.9,10033
10,34,160,85,53.13,75,46.88,10034
10,35,198,124,62.63,74,37.37,10035
10,36,48,24,50.0,24,50.0,10036
11,1,248,134,54.03,114,45.97,11001
11,2,37,21,56.76,16,43.24,11002
11,3,219,129,58.9,90,41.1,11003
11,4,227,134,59.03,93,40.97,11004
11,5,333,197,59.16,136,40.84,11005
11,6,265,150,56.6,115,43.4,11006
11,7,407,207,50.86,200,49.14,11007
11,8,255,143,56.08,112,43.92,11008
11,9,229,136,59.39,93,40.61,11009
11,10,220,136,61.82,84,38.18,11010
11,11,242,142,58.68,100,41.32,11011
11,12,386,243,62.95,143,37.05,11012
11,13,333,187,56.16,146,43.84,11013
11,14,95,58,61.05,37,38.95,11014
11,15,86,45,52.33,41,47.67,11015
11,16,159,86,54.09,73,45.91,11016
11,17,313,180,57.51,133,42.49,11017
11,18,223,124,55.61,99,44.39,11018
11,19,328,190,57.93,138,42.07,11019
11,20,180,97,53.89,83,46.11,11020
11,21,389,181,46.53,208,53.47,11021
11,22,325,146,44.92,179,55.08,11022
11,23,148,76,51.35,72,48.65,11023
11,24,387,159,41.09,228,58.91,11024
11,25,292,144,49.32,148,50.68,11025
11,26,317,155,48.9,162,51.1,11026
11,27,89,49,55.06,40,44.94,11027
11,28,148,76,51.35,72,48.65,11028
11,29,283,150,53.0,133,47.0,11029
11,30,118,63,53.39,55,46.61,11030
11,31,250,167,66.8,83,33.2,11031
11,32,124,52,41.94,72,58.06,11032
11,33,215,108,50.23,107,49.77,11033
11,34,71,38,53.52,33,46.48,11034
11,35,55,26,47.27,29,52.73,11035
11,36,96,59,61.46,37,38.54,11036
11,37,68,37,54.41,31,45.59,11037
11,38,130,62,47.69,68,52.31,11038
12,1,282,169,59.93,113,40.07,12001
12,2,227,143,63.0,84,37.0,12002
12,3,313,190,60.7,123,39.3,12003
12,4,291,196,67.35,95,32.65,12004
12,5,235,154,65.53,81,34.47,12005
12,6,252,170,67.46,82,32.54,12006
12,7,264,148,56.06,116,43.94,12007
12,8,282,184,65.25,98,34.75,12008
12,9,234,149,63.68,85,36.32,12009
12,10,325,192,59.08,133,40.92,12010
12,11,287,181,63.07,106,36.93,12011
12,12,265,177,66.79,88,33.21,12012
12,13,280,172,61.43,108,38.57,12013
12,14,249,140,56.22,109,43.78,12014
12,15,211,123,58.29,88,41.71,12015
12,16,255,156,61.18,99,38.82,12016
12,17,285,187,65.61,98,34.39,12017
12,18,234,130,55.56,104,44.44,12018
12,19,274,170,62.04,104,37.96,12019
12,20,339,215,63.42,124,36.58,12020
12,21,283,160,56.54,123,43.46,12021
12,22,294,177,60.2,117,39.8,12022
12,23,270,159,58.89,111,41.11,12023
13,1,224,124,55.36,100,44.64,13001
13,2,232,115,49.57,117,50.43,13002
13,3,205,142,69.27,63,30.73,13003
13,4,250,166,66.4,84,33.6,13004
13,5,308,175,56.82,133,43.18,13005
13,6,247,134,54.25,113,45.75,13006
13,7,227,115,50.66,112,49.34,13007
13,8,189,106,56.08,83,43.92,13008
13,9,233,148,63.52,85,36.48,13009
13,10,173,114,65.9,59,34.1,13010
13,11,282,133,47.16,149,52.84,13011
13,12,248,143,57.66,105,42.34,13012
13,13,289,136,47.06,153,52.94,13013
13,14,238,135,56.72,103,43.28,13014
13,15,463,279,60.26,184,39.74,13015
13,16,209,115,55.02,94,44.98,13016
13,17,239,122,51.05,117,48.95,13017
13,18,172,113,65.7,59,34.3,13018
13,19,335,180,53.73,155,46.27,13019
13,20,138,94,68.12,44,31.88,13020
13,21,248,162,65.32,86,34.68,13021
13,22,260,162,62.31,98,37.69,13022
13,23,216,117,54.17,99,45.83,13023
13,24,246,120,48.78,126,51.22,13024
13,25,276,137,49.64,139,50.36,13025
13,26,315,133,42.22,182,57.78,13026
13,27,255,161,63.14,94,36.86,13027
13,28,224,116,51.79,108,48.21,13028
13,29,200,118,59.0,82,41.0,13029
13,30,222,108,48.65,114,51.35,13030
13,31,262,158,60.31,104,39.69,13031
13,32,200,131,65.5,69,34.5,13032
13,33,222,143,64.41,79,35.59,13033
13,34,394,126,31.98,268,68.02,13034
13,35,258,117,45.35,141,54.65,13035
13,36,169,90,53.25,79,46.75,13036
13,37,294,131,44.56,163,55.44,13037
13,38,190,111,58.42,79,41.58,13038
13,39,277,122,44.04,155,55.96,13039
13,40,230,112,48.7,118,51.3,13040
13,41,298,159,53.36,139,46.64,13041
13,42,200,126,63.0,74,37.0,13042
13,43,285,131,45.96,154,54.04,13043
13,44,402,99,24.63,303,75.37,13044
13,45,329,173,52.58,156,47.42,13045
13,46,312,166,53.21,146,46.79,13046
13,47,286,155,54.2,131,45.8,13047
13,48,237,129,54.43,108,45.57,13048
14,1,238,143,60.08,95,39.92,14001
14,2,369,222,60.16,147,39.84,14002
14,3,332,174,52.41,158,47.59,14003
14,4,182,113,62.09,69,37.91,14004
14,5,395,160,40.51,235,59.49,14005
14,6,147,61,41.5,86,58.5,14006
14,7,291,161,55.33,130,44.67,14007
14,8,285,168,58.95,117,41.05,14008
14,9,267,156,58.43,111,41.57,14009
14,10,194,99,51.03,95,48.97,14010
14,11,210,81,38.57,129,61.43,14011
14,12,253,150,59.29,103,40.71,14012
14,13,234,126,53.85,108,46.15,14013
14,14,281,156,55.52,125,44.48,14014
14,15,352,172,48.86,180,51.14,14015
14,16,192,114,59.38,78,40.63,14016
14,17,220,108,49.09,112,50.91,14017
14,18,98,57,58.16,41,41.84,14018
14,19,304,194,63.82,110,36.18,14019
14,20,175,107,61.14,68,38.86,14020
14,21,250,111,44.4,139,55.6,14021
14,22,290,183,63.1,107,36.9,14022
14,23,193,114,59.07,79,40.93,14023
14,24,259,150,57.92,109,42.08,14024
14,25,174,83,47.7,91,52.3,14025
14,26,198,96,48.48,102,51.52,14026
14,27,246,118,47.97,128,52.03,14027
14,28,180,107,59.44,73,40.56,14028
14,29,235,109,46.38,126,53.62,14029
14,30,169,92,54.44,77,45.56,14030
14,31,176,109,61.93,67,38.07,14031
15,1,232,141,60.78,91,39.22,15001
15,2,178,77,43.26,101,56.74,15002
15,3,176,93,52.84,83,47.16,15003
15,4,250,153,61.2,97,38.8,15004
15,5,273,169,61.9,104,38.1,15005
15,6,235,143,60.85,92,39.15,15006
15,7,197,103,52.28,94,47.72,15007
15,8,243,152,62.55,91,37.45,15008
15,9,317,209,65.93,108,34.07,15009
15,10,341,204,59.82,137,40.18,15010
15,11,333,186,55.86,147,44.14,15011
15,12,301,190,63.12,111,36.88,15012
15,13,246,149,60.57,97,39.43,15013
15,14,231,128,55.41,103,44.59,15014
15,15,219,128,58.45,91,41.55,15015
15,16,241,139,57.68,102,42.32,15016
15,17,150,80,53.33,70,46.67,15017
15,18,191,91,47.64,100,52.36,15018
15,19,190,107,56.32,83,43.68,15019
15,20,148,63,42.57,85,57.43,15020
15,21,201,93,46.27,108,53.73,15021
15,22,169,85,50.3,84,49.7,15022
15,23,206,109,52.91,97,47.09,15023
15,24,178,89,50.0,89,50.0,15024
16,1,273,164,60.07,109,39.93,16001
16,2,247,131,53.04,116,46.96,16002
16,3,204,116,56.86,88,43.14,16003
16,4,175,82,46.86,93,53.14,16004
16,5,219,117,53.42,102,46.58,16005
16,6,237,105,44.3,132,55.7,16006
16,7,215,124,57.67,91,42.33,16007
16,8,163,87,53.37,76,46.63,16008
16,9,285,142,49.82,143,50.18,16009
16,10,200,118,59.0,82,41.0,16010
16,11,234,124,52.99,110,47.01,16011
16,12,199,102,51.26,97,48.74,16012
16,13,247,131,53.04,116,46.96,16013
16,14,182,89,48.9,93,51.1,16014
16,15,243,112,46.09,131,53.91,16015
16,16,211,104,49.29,107,50.71,16016
16,17,237,125,52.74,112,47.26,16017
16,18,220,117,53.18,103,46.82,16018
16,19,222,124,55.86,98,44.14,16019
16,20,185,78,42.16,107,57.84,16020
16,21,179,97,54.19,82,45.81,16021
16,22,211,116,54.98,95,45.02,16022
16,23,221,119,53.85,102,46.15,16023
16,24,143,77,53.85,66,46.15,16024
16,25,240,118,49.17,122,50.83,16025
16,26,169,73,43.2,96,56.8,16026
16,27,174,94,54.02,80,45.98,16027
16,28,193,85,44.04,108,55.96,16028
16,29,190,95,50.0,95,50.0,16029
16,30,184,108,58.7,76,41.3,16030
16,31,228,86,37.72,142,62.28,16031
16,32,258,155,60.08,103,39.92,16032
16,33,200,112,56.0,88,44.0,16033
16,34,221,118,53.39,103,46.61,16034
16,35,244,138,56.56,106,43.44,16035
16,36,160,78,48.75,82,51.25,16036
17,1,223,123,55.16,100,44.84,17001
17,2,216,104,48.15,112,51.85,17002
17,3,242,111,45.87,131,54.13,17003
17,4,333,162,48.65,171,51.35,17004
17,5,224,121,54.02,103,45.98,17005
17,6,238,118,49.58,120,50.42,17006
17,7,264,139,52.65,125,47.35,17007
17,8,244,118,48.36,126,51.64,17008
17,9,256,119,46.48,137,53.52,17009
17,10,257,113,43.97,144,56.03,17010
17,11,209,115,55.02,94,44.98,17011
17,12,335,172,51.34,163,48.66,17012
17,13,202,100,49.5,102,50.5,17013
