ward,precinct,total,Michael I. O'Malley,Michael I. O'Malley Percent,Alison C. Conlon,Alison C. Conlon Percent,precinct_id
3,29,354,167,47.18,187,52.82,03029
3,30,302,113,37.42,189,62.58,03030
3,31,402,180,44.78,222,55.22,03031
3,32,264,84,31.82,180,68.18,03032
3,33,284,74,26.06,210,73.94,03033
3,34,307,110,35.83,197,64.17,03034
3,35,151,67,44.37,84,55.63,03035
3,36,188,95,50.53,93,49.47,03036
3,37,281,131,46.62,150,53.38,03037
3,38,275,126,45.82,149,54.18,03038
3,39,271,90,33.21,181,66.79,03039
3,40,314,127,40.45,187,59.55,03040
3,41,245,90,36.73,155,63.27,03041
4,1,370,91,24.59,279,75.41,04001
4,2,274,67,24.45,207,75.55,04002
4,3,313,140,44.73,173,55.27,04003
4,4,466,214,45.92,252,54.08,04004
4,5,324,115,35.49,209,64.51,04005
4,6,402,160,39.8,242,60.2,04006
4,7,396,167,42.17,229,57.83,04007
4,8,401,147,36.66,254,63.34,04008
4,9,405,133,32.84,272,67.16,04009
4,10,405,149,36.79,256,63.21,04010
4,11,359,171,47.63,188,52.37,04011
4,12,396,157,39.65,239,60.35,04012
4,13,227,71,31.28,156,68.72,04013
4,14,334,135,40.42,199,59.58,04014
4,15,424,162,38.21,262,61.79,04015
4,16,335,104,31.04,231,68.96,04016
4,17,319,77,24.14,242,75.86,04017
4,18,308,152,49.35,156,50.65,04018
4,19,318,174,54.72,144,45.28,04019
4,20,252,75,29.76,177,70.24,04020
4,21,338,95,28.11,243,71.89,04021
4,22,326,99,30.37,227,69.63,04022
4,23,423,103,24.35,320,75.65,04023
4,24,299,106,35.45,193,64.55,04024
4,25,281,77,27.4,204,72.6,04025
4,26,336,146,43.45,190,56.55,04026
4,27,378,111,29.37,267,70.63,04027
4,28,321,131,40.81,190,59.19,04028
4,29,333,141,42.34,192,57.66,04029
4,30,456,236,51.75,220,48.25,04030
4,31,343,109,31.78,234,68.22,04031
4,32,362,164,45.3,198,54.7,04032
4,33,370,135,36.49,235,63.51,04033
4,34,297,114,38.38,183,61.62,04034
4,35,423,168,39.72,255,60.28,04035
4,36,376,127,33.78,249,66.22,04036
4,37,307,80,26.06,227,73.94,04037
4,38,382,123,32.2,259,67.8,04038
5,1,277,131,47.29,146,52.71,05001
5,2,298,150,50.34,148,49.66,05002
5,3,306,62,20.26,244,79.74,05003
5,4,358,118,32.96,240,67.04,05004
5,5,287,150,52.26,137,47.74,05005
5,6,284,138,48.59,146,51.41,05006
5,7,316,120,37.97,196,62.03,05007
5,8,300,51,17.0,249,83.0,05008
5,9,369,99,26.83,270,73.17,05009
5,10,276,117,42.39,159,57.61,05010
5,11,314,85,27.07,229,72.93,05011
5,12,253,141,55.73,112,44.27,05012
5,13,279,139,49.82,140,50.18,05013
5,14,292,89,30.48,203,69.52,05014
5,15,306,97,31.7,209,68.3,05015
5,16,312,135,43.27,177,56.73,05016
5,17,283,170,60.07,113,39.93,05017
5,18,288,72,25.0,216,75.0,05018
5,19,281,60,21.35,221,78.65,05019
5,20,323,78,24.15,245,75.85,05020
5,21,301,70,23.26,231,76.74,05021
5,22,335,81,24.18,254,75.82,05022
5,23,476,107,22.48,369,77.52,05023
5,24,334,97,29.04,237,70.96,05024
5,25,294,121,41.16,173,58.84,05025
5,26,323,143,44.27,180,55.73,05026
5,27,229,30,13.1,199,86.9,05027
5,28,343,142,41.4,201,58.6,05028
5,29,372,149,40.05,223,59.95,05029
5,30,244,125,51.23,119,48.77,05030
5,31,265,130,49.06,135,50.94,05031
5,32,364,126,34.62,238,65.38,05032
5,33,342,176,51.46,166,48.54,05033
5,34,314,55,17.52,259,82.48,05034
5,35,323,58,17.96,265,82.04,05035
5,36,239,126,52.72,113,47.28,05036
5,37,292,79,27.05,213,72.95,05037
5,38,342,168,49.12,174,50.88,05038
5,39,234,43,18.38,191,81.62,05039
5,40,247,94,38.06,153,61.94,05040
5,41,155,33,21.29,122,78.71,05041
6,1,319,144,45.14,175,54.86,06001
6,2,305,140,45.9,165,54.1,06002
6,3,307,137,44.63,170,55.37,06003
6,4,217,112,51.61,105,48.39,06004
6,5,205,114,55.61,91,44.39,06005
6,6,280,108,38.57,172,61.43,06006
6,7,307,137,44.63,170,55.37,06007
6,8,324,145,44.75,179,55.25,06008
6,9,298,147,49.33,151,50.67,06009
6,10,224,110,49.11,114,50.89,06010
6,11,297,151,50.84,146,49.16,06011
6,12,238,117,49.16,121,50.84,06012
6,13,227,94,41.41,133,58.59,06013
6,14,268,132,49.25,136,50.75,06014
6,15,240,130,54.17,110,45.83,06015
6,16,300,129,43.0,171,57.0,06016
6,17,207,111,53.62,96,46.38,06017
6,18,178,106,59.55,72,40.45,06018
6,19,273,115,42.12,158,57.88,06019
6,20,173,86,49.71,87,50.29,06020
6,21,180,101,56.11,79,43.89,06021
6,22,193,109,56.48,84,43.52,06022
6,23,163,95,58.28,68,41.72,06023
6,24,189,100,52.91,89,47.09,06024
6,25,183,89,48.63,94,51.37,06025
6,26,240,130,54.17,110,45.83,06026
6,27,182,86,47.25,96,52.75,06027
6,28,145,84,57.93,61,42.07,06028
6,29,290,90,31.03,200,68.97,06029
6,30,253,123,48.62,130,51.38,06030
6,31,293,113,38.57,180,61.43,06031
6,32,262,118,45.04,144,54.96,06032
6,33,301,148,49.17,153,50.83,06033
6,34,310,144,46.45,166,53.55,06034
6,35,277,124,44.77,153,55.23,06035
6,36,332,142,42.77,190,57.23,06036
6,37,309,112,36.25,197,63.75,06037
6,38,318,116,36.48,202,63.52,06038
6,39,284,145,51.06,139,48.94,06039
6,40,263,107,40.68,156,59.32,06040
6,41,336,146,43.45,190,56.55,06041
6,42,306,139,45.42,167,54.58,06042
6,43,234,110,47.01,124,52.99,06043
6,44,290,139,47.93,151,52.07,06044
6,45,322,115,35.71,207,64.29,06045
6,46,194,94,48.45,100,51.55,06046
6,47,231,127,54.98,104,45.02,06047
6,48,295,136,46.1,159,53.9,06048
7,1,266,138,51.88,128,48.12,07001
7,2,257,121,47.08,136,52.92,07002
7,3,267,118,44.19,149,55.81,07003
7,4,297,105,35.35,192,64.65,07004
7,5,204,96,47.06,108,52.94,07005
7,6,339,123,36.28,216,63.72,07006
7,7,244,119,48.77,125,51.23,07007
7,8,208,104,50.0,104,50.0,07008
7,9,392,139,35.46,253,64.54,07009
7,10,318,155,48.74,163,51.26,07010
7,11,328,156,47.56,172,52.44,07011
7,12,249,129,51.81,120,48.19,07012
7,13,153,68,44.44,85,55.56,07013
7,14,281,131,46.62,150,53.38,07014
7,15,285,118,41.4,167,58.6,07015
7,16,248,115,46.37,133,53.63,07016
7,17,248,133,53.63,115,46.37,07017
7,18,218,103,47.25,115,52.75,07018
7,19,272,119,43.75,153,56.25,07019
7,20,204,102,50.0,102,50.0,07020
7,21,202,100,49.5,102,50.5,07021
7,22,211,107,50.71,104,49.29,07022
7,23,295,127,43.05,168,56.95,07023
7,24,255,125,49.02,130,50.98,07024
7,25,259,144,55.6,115,44.4,07025
7,26,246,106,43.09,140,56.91,07026
7,27,229,100,43.67,129,56.33,07027
7,28,190,95,50.0,95,50.0,07028
7,29,240,109,45.42,131,54.58,07029
7,30,206,112,54.37,94,45.63,07030
7,31,175,105,60.0,70,40.0,07031
7,32,398,138,34.67,260,65.33,07032
7,33,361,146,40.44,215,59.56,07033
7,34,325,139,42.77,186,57.23,07034
7,35,260,123,47.31,137,52.69,07035
7,36,361,134,37.12,227,62.88,07036
7,37,297,129,43.43,168,56.57,07037
7,38,255,129,50.59,126,49.41,07038
7,39,265,146,55.09,119,44.91,07039
7,40,247,116,46.96,131,53.04,07040
7,41,266,127,47.74,139,52.26,07041
7,42,271,126,46.49,145,53.51,07042
7,43,243,125,51.44,118,48.56,07043
7,44,263,132,50.19,131,49.81,07044
7,45,293,172,58.7,121,41.3,07045
7,46,119,66,55.46,53,44.54,07046
8,1,225,127,56.44,98,43.56,08001
8,2,322,142,44.1,180,55.9,08002
8,3,333,120,36.04,213,63.96,08003
8,4,337,102,30.27,235,69.73,08004
8,5,327,130,39.76,197,60.24,08005
8,6,322,132,40.99,190,59.01,08006
8,7,343,124,36.15,219,63.85,08007
8,8,291,100,34.36,191,65.64,08008
8,9,213,62,29.11,151,70.89,08009
8,10,369,128,34.69,241,65.31,08010
8,11,273,119,43.59,154,56.41,08011
8,12,272,102,37.5,170,62.5,08012
8,13,341,170,49.85,171,50.15,08013
8,14,245,110,44.9,135,55.1,08014
8,15,280,121,43.21,159,56.79,08015
8,16,125,63,50.4,62,49.6,08016
8,17,261,95,36.4,166,63.6,08017
8,18,286,135,47.2,151,52.8,08018
8,19,356,140,39.33,216,60.67,08019
8,20,338,129,38.17,209,61.83,08020
8,21,369,134,36.31,235,63.69,08021
8,22,263,115,43.73,148,56.27,08022
8,23,255,131,51.37,124,48.63,08023
8,24,177,75,42.37,102,57.63,08024
8,25,298,124,41.61,174,58.39,08025
8,26,305,147,48.2,158,51.8,08026
8,27,339,107,31.56,232,68.44,08027
8,28,304,122,40.13,182,59.87,08028
8,29,360,144,40.0,216,60.0,08029
8,30,335,158,47.16,177,52.84,08030
8,31,236,106,44.92,130,55.08,08031
8,32,234,93,39.74,141,60.26,08032
8,33,294,159,54.08,135,45.92,08033
8,34,281,129,45.91,152,54.09,08034
8,35,303,134,44.22,169,55.78,08035
8,36,314,119,37.9,195,62.1,08036
8,37,259,83,32.05,176,67.95,08037
8,38,195,81,41.54,114,58.46,08038
8,39,299,126,42.14,173,57.86,08039
8,40,243,98,40.33,145,59.67,08040
8,41,295,116,39.32,179,60.68,08041
8,42,377,145,38.46,232,61.54,08042
8,43,153,76,49.67,77,50.33,08043
8,44,213,97,45.54,116,54.46,08044
8,45,302,158,52.32,144,47.68,08045
8,46,226,81,35.84,145,64.16,08046
8,47,232,123,53.02,109,46.98,08047
8,48,292,132,45.21,160,54.79,08048
8,49,282,111,39.36,171,60.64,08049
8,50,295,97,32.88,198,67.12,08050
8,51,331,106,32.02,225,67.98,08051
8,52,385,146,37.92,239,62.08,08052
8,53,161,65,40.37,96,59.63,08053
8,54,276,128,46.38,148,53.62,08054
8,55,237,102,43.04,135,56.96,08055
8,56,287,115,40.07,172,59.93,08056
9,1,305,132,43.28,173,56.72,09001
9,2,268,132,49.25,136,50.75,09002
9,3,229,140,61.14,89,38.86,09003
9,4,233,104,44.64,129,55.36,09004
9,5,257,107,41.63,150,58.37,09005
9,6,273,122,44.69,151,55.31,09006
9,7,193,99,51.3,94,48.7,09007
9,8,289,150,51.9,139,48.1,09008
9,9,310,139,44.84,171,55.16,09009
9,10,266,130,48.87,136,51.13,09010
9,11,209,88,42.11,121,57.89,09011
9,12,301,148,49.17,153,50.83,09012
9,13,302,127,42.05,175,57.95,09013
9,14,378,168,44.44,210,55.56,09014
9,15,281,160,56.94,121,43.06,09015
9,16,275,131,47.64,144,52.36,09016
9,17,232,115,49.57,117,50.43,09017
9,18,202,95,47.03,107,52.97,09018
9,19,288,139,48.26,149,51.74,09019
9,20,323,157,48.61,166,51.39,09020
9,21,243,115,47.33,128,52.67,09021
9,22,307,118,38.44,189,61.56,09022
9,23,309,124,40.13,185,59.87,09023
9,24,293,131,44.71,162,55.29,09024
9,25,297,137,46.13,160,53.87,09025
9,26,263,138,52.47,125,47.53,09026
9,27,253,120,47.43,133,52.57,09027
9,28,178,95,53.37,83,46.63,09028
9,29,234,113,48.29,121,51.71,09029
9,30,248,119,47.98,129,52.02,09030
9,31,221,117,52.94,104,47.06,09031
9,32,246,106,43.09,140,56.91,09032
9,33,227,136,59.91,91,40.09,09033
9,34,223,110,49.33,113,50.67,09034
9,35,278,112,40.29,166,59.71,09035
9,36,254,136,53.54,118,46.46,09036
9,37,300,114,38.0,186,62.0,09037
9,38,266,133,50.0,133,50.0,09038
9,39,307,117,38.11,190,61.89,09039
9,40,309,138,44.66,171,55.34,09040
9,41,236,92,38.98,144,61.02,09041
9,42,300,110,36.67,190,63.33,09042
9,43,244,123,50.41,121,49.59,09043
9,44,257,119,46.3,138,53.7,09044
9,45,234,120,51.28,114,48.72,09045
9,46,283,129,45.58,154,54.42,09046
9,47,317,121,38.17,196,61.83,09047
9,48,309,140,45.31,169,54.69,09048
9,49,308,130,42.21,178,57.79,09049
9,50,362,134,37.02,228,62.98,09050
9,51,290,111,38.28,179,61.72,09051
10,1,232,116,50.0,116,50.0,10001
10,2,165,103,62.42,62,37.58,10002
10,3,187,119,63.64,68,36.36,10003
10,4,211,103,48.82,108,51.18,10004
10,5,141,86,60.99,55,39.01,10005
10,6,194,107,55.15,87,44.85,10006
10,7,167,85,50.9,82,49.1,10007
10,8,184,107,58.15,77,41.85,10008
10,9,182,108,59.34,74,40.66,10009
10,10,242,130,53.72,112,46.28,10010
10,11,289,163,56.4,126,43.6,10011
10,12,168,96,57.14,72,42.86,10012
10,13,290,170,58.62,120,41.38,10013
10,14,291,161,55.33,130,44.67,10014
10,15,515,248,48.16,267,51.84,10015
10,16,169,104,61.54,65,38.46,10016
10,17,240,137,57.08,103,42.92,10017
10,18,168,89,52.98,79,47.02,10018
10,19,213,124,58.22,89,41.78,10019
10,20,235,150,63.83,85,36.17,10020
10,21,253,159,62.85,94,37.15,10021
10,22,144,73,50.69,71,49.31,10022
10,23,229,142,62.01,87,37.99,10023
10,24,187,111,59.36,76,40.64,10024
10,25,83,53,63.86,30,36.14,10025
10,26,200,121,60.5,79,39.5,10026
10,27,233,126,54.08,107,45.92,10027
10,28,284,162,57.04,122,42.96,10028
10,29,228,134,58.77,94,41.23,10029
10,30,236,133,56.36,103,43.64,10030
10,31,199,106,53.27,93,46.73,10031
10,32,234,128,54.7,106,45.3,10032
10,33,154,95,61.69,59,38.31,10033
10,34,177,108,61.02,69,38.98,10034
10,35,209,115,55.02,94,44.98,10035
10,36,52,27,51.92,25,48.08,10036
11,1,262,115,43.89,147,56.11,11001
11,2,43,31,72.09,12,27.91,11002
11,3,247,95,38.46,152,61.54,11003
11,4,240,131,54.58,109,45.42,11004
11,5,350,150,42.86,200,57.14,11005
11,6,279,97,34.77,182,65.23,11006
11,7,423,187,44.21,236,55.79,11007
11,8,268,126,47.01,142,52.99,11008
11,9,238,138,57.98,100,42.02,11009
11,10,233,128,54.94,105,45.06,11010
11,11,241,109,45.23,132,54.77,11011
11,12,385,198,51.43,187,48.57,11012
11,13,338,146,43.2,192,56.8,11013
11,14,103,56,54.37,47,45.63,11014
11,15,96,53,55.21,43,44.79,11015
11,16,164,74,45.12,90,54.88,11016
11,17,323,150,46.44,173,53.56,11017
11,18,234,110,47.01,124,52.99,11018
11,19,352,158,44.89,194,55.11,11019
11,20,184,89,48.37,95,51.63,11020
11,21,402,185,46.02,217,53.98,11021
11,22,341,146,42.82,195,57.18,11022
11,23,160,77,48.13,83,51.88,11023
11,24,396,140,35.35,256,64.65,11024
11,25,303,133,43.89,170,56.11,11025
11,26,328,139,42.38,189,57.62,11026
11,27,91,46,50.55,45,49.45,11027
11,28,143,72,50.35,71,49.65,11028
11,29,304,146,48.03,158,51.97,11029
11,30,121,58,47.93,63,52.07,11030
11,31,250,143,57.2,107,42.8,11031
11,32,133,50,37.59,83,62.41,11032
11,33,230,89,38.7,141,61.3,11033
11,34,73,38,52.05,35,47.95,11034
11,35,63,37,58.73,26,41.27,11035
11,36,95,47,49.47,48,50.53,11036
11,37,69,36,52.17,33,47.83,11037
11,38,139,51,36.69,88,63.31,11038
12,1,284,162,57.04,122,42.96,12001
12,2,237,146,61.6,91,38.4,12002
12,3,321,163,50.78,158,49.22,12003
12,4,300,178,59.33,122,40.67,12004
12,5,235,155,65.96,80,34.04,12005
12,6,256,144,56.25,112,43.75,12006
12,7,269,133,49.44,136,50.56,12007
12,8,296,181,61.15,115,38.85,12008
12,9,230,125,54.35,105,45.65,12009
12,10,348,180,51.72,168,48.28,12010
12,11,287,175,60.98,112,39.02,12011
12,12,262,166,63.36,96,36.64,12012
12,13,287,151,52.61,136,47.39,12013
12,14,263,129,49.05,134,50.95,12014
12,15,215,124,57.67,91,42.33,12015
12,16,259,151,58.3,108,41.7,12016
12,17,286,163,56.99,123,43.01,12017
12,18,241,129,53.53,112,46.47,12018
12,19,278,152,54.68,126,45.32,12019
12,20,334,209,62.57,125,37.43,12020
12,21,288,156,54.17,132,45.83,12021
12,22,299,143,47.83,156,52.17,12022
12,23,277,153,55.23,124,44.77,12023
13,1,230,121,52.61,109,47.39,13001
13,2,239,115,48.12,124,51.88,13002
13,3,213,127,59.62,86,40.38,13003
13,4,253,154,60.87,99,39.13,13004
13,5,328,208,63.41,120,36.59,13005
13,6,261,136,52.11,125,47.89,13006
13,7,233,110,47.21,123,52.79,13007
13,8,199,109,54.77,90,45.23,13008
13,9,243,141,58.02,102,41.98,13009
13,10,184,109,59.24,75,40.76,13010
13,11,283,139,49.12,144,50.88,13011
13,12,254,152,59.84,102,40.16,13012
13,13,300,155,51.67,145,48.33,13013
13,14,248,140,56.45,108,43.55,13014
13,15,477,257,53.88,220,46.12,13015
13,16,213,125,58.69,88,41.31,13016
13,17,257,131,50.97,126,49.03,13017
13,18,177,117,66.1,60,33.9,13018
13,19,347,188,54.18,159,45.82,13019
13,20,142,91,64.08,51,35.92,13020
13,21,268,170,63.43,98,36.57,13021
13,22,270,152,56.3,118,43.7,13022
13,23,219,127,57.99,92,42.01,13023
13,24,258,147,56.98,111,43.02,13024
13,25,285,155,54.39,130,45.61,13025
13,26,323,125,38.7,198,61.3,13026
13,27,273,174,63.74,99,36.26,13027
13,28,234,127,54.27,107,45.73,13028
13,29,212,136,64.15,76,35.85,13029
13,30,229,127,55.46,102,44.54,13030
13,31,273,161,58.97,112,41.03,13031
13,32,213,138,64.79,75,35.21,13032
13,33,224,137,61.16,87,38.84,13033
13,34,401,129,32.17,272,67.83,13034
13,35,259,129,49.81,130,50.19,13035
13,36,176,111,63.07,65,36.93,13036
13,37,298,139,46.64,159,53.36,13037
13,38,196,123,62.76,73,37.24,13038
13,39,282,137,48.58,145,51.42,13039
13,40,227,110,48.46,117,51.54,13040
13,41,303,175,57.76,128,42.24,13041
13,42,208,128,61.54,80,38.46,13042
13,43,288,145,50.35,143,49.65,13043
13,44,405,102,25.19,303,74.81,13044
13,45,339,185,54.57,154,45.43,13045
13,46,324,177,54.63,147,45.37,13046
13,47,295,169,57.29,126,42.71,13047
13,48,243,131,53.91,112,46.09,13048
14,1,257,148,57.59,109,42.41,14001
14,2,376,195,51.86,181,48.14,14002
14,3,331,170,51.36,161,48.64,14003
14,4,203,107,52.71,96,47.29,14004
14,5,416,162,38.94,254,61.06,14005
14,6,146,65,44.52,81,55.48,14006
14,7,300,176,58.67,124,41.33,14007
14,8,294,161,54.76,133,45.24,14008
14,9,271,154,56.83,117,43.17,14009
14,10,204,109,53.43,95,46.57,14010
14,11,209,98,46.89,111,53.11,14011
14,12,252,125,49.6,127,50.4,14012
14,13,237,121,51.05,116,48.95,14013
14,14,281,148,52.67,133,47.33,14014
14,15,364,188,51.65,176,48.35,14015
14,16,196,102,52.04,94,47.96,14016
14,17,224,111,49.55,113,50.45,14017
14,18,102,56,54.9,46,45.1,14018
14,19,307,179,58.31,128,41.69,14019
14,20,183,109,59.56,74,40.44,14020
14,21,252,118,46.83,134,53.17,14021
14,22,300,180,60.0,120,40.0,14022
14,23,190,104,54.74,86,45.26,14023
14,24,277,111,40.07,166,59.93,14024
14,25,177,91,51.41,86,48.59,14025
14,26,206,107,51.94,99,48.06,14026
14,27,251,140,55.78,111,44.22,14027
14,28,183,103,56.28,80,43.72,14028
14,29,241,95,39.42,146,60.58,14029
14,30,169,89,52.66,80,47.34,14030
14,31,175,97,55.43,78,44.57,14031
15,1,235,125,53.19,110,46.81,15001
15,2,183,102,55.74,81,44.26,15002
15,3,176,107,60.8,69,39.2,15003
15,4,258,155,60.08,103,39.92,15004
15,5,281,167,59.43,114,40.57,15005
15,6,246,145,58.94,101,41.06,15006
15,7,201,120,59.7,81,40.3,15007
15,8,248,136,54.84,112,45.16,15008
15,9,322,188,58.39,134,41.61,15009
15,10,343,187,54.52,156,45.48,15010
15,11,333,182,54.65,151,45.35,15011
15,12,306,182,59.48,124,40.52,15012
15,13,243,141,58.02,102,41.98,15013
15,14,237,121,51.05,116,48.95,15014
15,15,234,133,56.84,101,43.16,15015
15,16,250,142,56.8,108,43.2,15016
15,17,166,98,59.04,68,40.96,15017
15,18,195,118,60.51,77,39.49,15018
15,19,189,103,54.5,86,45.5,15019
15,20,153,88,57.52,65,42.48,15020
15,21,210,111,52.86,99,47.14,15021
15,22,170,95,55.88,75,44.12,15022
15,23,206,118,57.28,88,42.72,15023
15,24,180,96,53.33,84,46.67,15024
16,1,278,155,55.76,123,44.24,16001
16,2,259,137,52.9,122,47.1,16002
16,3,203,118,58.13,85,41.87,16003
16,4,177,80,45.2,97,54.8,16004
16,5,226,132,58.41,94,41.59,16005
16,6,242,128,52.89,114,47.11,16006
16,7,223,115,51.57,108,48.43,16007
16,8,169,90,53.25,79,46.75,16008
16,9,285,155,54.39,130,45.61,16009
16,10,203,113,55.67,90,44.33,16010
16,11,238,125,52.52,113,47.48,16011
16,12,214,134,62.62,80,37.38,16012
16,13,251,132,52.59,119,47.41,16013
16,14,187,107,57.22,80,42.78,16014
16,15,250,127,50.8,123,49.2,16015
16,16,210,120,57.14,90,42.86,16016
16,17,236,125,52.97,111,47.03,16017
16,18,222,125,56.31,97,43.69,16018
16,19,225,143,63.56,82,36.44,16019
16,20,194,104,53.61,90,46.39,16020
16,21,181,104,57.46,77,42.54,16021
16,22,213,123,57.75,90,42.25,16022
16,23,227,117,51.54,110,48.46,16023
16,24,144,93,64.58,51,35.42,16024
16,25,242,135,55.79,107,44.21,16025
16,26,173,90,52.02,83,47.98,16026
16,27,173,88,50.87,85,49.13,16027
16,28,214,120,56.07,94,43.93,16028
16,29,198,105,53.03,93,46.97,16029
16,30,184,96,52.17,88,47.83,16030
16,31,206,95,46.12,111,53.88,16031
16,32,265,149,56.23,116,43.77,16032
16,33,205,110,53.66,95,46.34,16033
16,34,221,124,56.11,97,43.89,16034
16,35,253,142,56.13,111,43.87,16035
16,36,165,83,50.3,82,49.7,16036
17,1,235,118,50.21,117,49.79,17001
17,2,235,124,52.77,111,47.23,17002
17,3,263,152,57.79,111,42.21,17003
17,4,340,179,52.65,161,47.35,17004
17,5,223,128,57.4,95,42.6,17005
17,6,250,132,52.8,118,47.2,17006
17,7,263,137,52.09,126,47.91,17007
17,8,241,131,54.36,110,45.64,17008
17,9,265,119,44.91,146,55.09,17009
17,10,265,124,46.79,141,53.21,17010
17,11,204,111,54.41,93,45.59,17011
17,12,345,179,51.88,166,48.12,17012
17,13,213,124,58.22,89,41.78,17013
