ward,precinct,total,Timothy ''Tim'' Bradford (Clinton),Timothy ''Tim'' Bradford (Clinton) Percent,Lisa Dugan (Clinton),Lisa Dugan (Clinton) Percent,Jaylin Davon McClinton (Clinton),Jaylin Davon McClinton (Clinton) Percent,Leslie Hairston (Clinton),Leslie Hairston (Clinton) Percent,Al Riley (Clinton),Al Riley (Clinton) Percent,Toi W. Hutchinson (Clinton),Toi W. Hutchinson (Clinton) Percent,Frank M. Zuccarelli (Clinton),Frank M. Zuccarelli (Clinton) Percent,Donna Miller (Clinton),Donna Miller (Clinton) Percent,Michael Holmes (O'Malley),Michael Holmes (O'Malley) Percent,James Patton (O'Malley),James Patton (O'Malley) Percent,Gregory Washington (O'Malley),Gregory Washington (O'Malley) Percent,Kenneth Franklin (Sanders),Kenneth Franklin (Sanders) Percent,Linda Jennings (Sanders),Linda Jennings (Sanders) Percent,Tanya Watkins (Sanders),Tanya Watkins (Sanders) Percent,John A. Willard (Sanders),John A. Willard (Sanders) Percent,Carl Camacho (Sanders),Carl Camacho (Sanders) Percent,Laura M. Ortega (Sanders),Laura M. Ortega (Sanders) Percent,Susan Sadlowski Garza (Sanders),Susan Sadlowski Garza (Sanders) Percent,precinct_id
7,1,994,74,7.44,81,8.15,62,6.24,90,9.05,69,6.94,77,7.75,66,6.64,76,7.65,16,1.61,5,0.5,8,0.8,51,5.13,50,5.03,59,5.94,46,4.63,42,4.23,40,4.02,41,4.12,07001
7,2,1699,124,7.3,132,7.77,104,6.12,168,9.89,112,6.59,120,7.06,109,6.42,132,7.77,20,1.18,12,0.71,14,0.82,94,5.53,89,5.24,102,6.0,83,4.89,70,4.12,82,4.83,60,3.53,07002
7,3,2072,168,8.11,167,8.06,145,7.0,202,9.75,152,7.34,158,7.63,137,6.61,169,8.16,19,0.92,12,0.58,13,0.63,103,4.97,111,5.36,111,5.36,91,4.39,82,3.96,83,4.01,69,3.33,07003
7,4,2352,198,8.42,200,8.5,179,7.61,227,9.65,176,7.48,197,8.38,161,6.85,206,8.76,20,0.85,11,0.47,18,0.77,101,4.29,99,4.21,130,5.53,89,3.78,82,3.49,92,3.91,77,3.27,07004
7,5,1554,117,7.53,122,7.85,110,7.08,144,9.27,103,6.63,115,7.4,96,6.18,118,7.59,18,1.16,9,0.58,12,0.77,81,5.21,80,5.15,97,6.24,71,4.57,72,4.63,67,4.31,55,3.54,07005
7,6,2505,191,7.62,205,8.18,167,6.67,212,8.46,171,6.83,186,7.43,158,6.31,190,7.58,17,0.68,12,0.48,17,0.68,137,5.47,129,5.15,146,5.83,118,4.71,110,4.39,114,4.55,108,4.31,07006
7,7,1550,129,8.32,127,8.19,103,6.65,144,9.29,107,6.9,111,7.16,91,5.87,126,8.13,20,1.29,11,0.71,17,1.1,80,5.16,83,5.35,98,6.32,64,4.13,53,3.42,65,4.19,57,3.68,07007
7,8,1588,133,8.38,138,8.69,123,7.75,137,8.63,118,7.43,117,7.37,107,6.74,134,8.44,19,1.2,17,1.07,19,1.2,73,4.6,71,4.47,87,5.48,63,3.97,58,3.65,60,3.78,54,3.4,07008
7,9,3121,254,8.14,261,8.36,238,7.63,294,9.42,229,7.34,256,8.2,206,6.6,263,8.43,27,0.87,25,0.8,25,0.8,140,4.49,145,4.65,165,5.29,120,3.84,118,3.78,124,3.97,97,3.11,07009
7,10,2211,195,8.82,193,8.73,197,8.91,214,9.68,185,8.37,193,8.73,172,7.78,205,9.27,26,1.18,15,0.68,14,0.63,82,3.71,82,3.71,99,4.48,67,3.03,67,3.03,67,3.03,65,2.94,07010
7,11,2302,180,7.82,203,8.82,145,6.3,196,8.51,162,7.04,166,7.21,146,6.34,183,7.95,28,1.22,21,0.91,25,1.09,118,5.13,116,5.04,140,6.08,102,4.43,94,4.08,98,4.26,86,3.74,07011
7,12,1878,154,8.2,163,8.68,143,7.61,176,9.37,145,7.72,158,8.41,141,7.51,165,8.79,18,0.96,10,0.53,13,0.69,85,4.53,84,4.47,95,5.06,66,3.51,66,3.51,66,3.51,58,3.09,07012
7,13,1204,109,9.05,107,8.89,102,8.47,126,10.47,105,8.72,104,8.64,91,7.56,107,8.89,20,1.66,21,1.74,18,1.5,46,3.82,45,3.74,42,3.49,41,3.41,32,2.66,35,2.91,27,2.24,07013
7,14,2006,163,8.13,152,7.58,136,6.78,162,8.08,136,6.78,137,6.83,131,6.53,155,7.73,22,1.1,8,0.4,14,0.7,109,5.43,106,5.28,130,6.48,97,4.84,88,4.39,89,4.44,82,4.09,07014
7,15,2068,180,8.7,185,8.95,162,7.83,196,9.48,173,8.37,172,8.32,151,7.3,178,8.61,14,0.68,10,0.48,11,0.53,89,4.3,89,4.3,97,4.69,82,3.97,65,3.14,73,3.53,64,3.09,07015
7,16,1734,148,8.54,136,7.84,127,7.32,139,8.02,125,7.21,133,7.67,113,6.52,133,7.67,15,0.87,9,0.52,15,0.87,87,5.02,91,5.25,104,6.0,76,4.38,70,4.04,73,4.21,65,3.75,07016
7,17,1688,139,8.23,142,8.41,122,7.23,153,9.06,133,7.88,127,7.52,123,7.29,144,8.53,17,1.01,16,0.95,19,1.13,73,4.32,75,4.44,85,5.04,70,4.15,62,3.67,68,4.03,58,3.44,07017
7,18,1658,133,8.02,134,8.08,113,6.82,130,7.84,118,7.12,117,7.06,110,6.63,123,7.42,16,0.97,12,0.72,13,0.78,82,4.95,91,5.49,104,6.27,73,4.4,71,4.28,77,4.64,62,3.74,07018
7,19,1915,151,7.89,151,7.89,122,6.37,167,8.72,131,6.84,151,7.89,125,6.53,152,7.94,17,0.89,18,0.94,13,0.68,96,5.01,100,5.22,113,5.9,86,4.49,75,3.92,85,4.44,70,3.66,07019
7,20,1422,121,8.51,122,8.58,102,7.17,121,8.51,104,7.31,106,7.45,97,6.82,115,8.09,16,1.13,13,0.91,7,0.49,65,4.57,71,4.99,75,5.27,66,4.64,55,3.87,57,4.01,51,3.59,07020
7,21,1440,124,8.61,130,9.03,102,7.08,137,9.51,122,8.47,108,7.5,97,6.74,123,8.54,14,0.97,5,0.35,18,1.25,64,4.44,59,4.1,73,5.07,51,3.54,54,3.75,59,4.1,49,3.4,07021
7,22,1455,120,8.25,123,8.45,109,7.49,121,8.32,109,7.49,115,7.9,108,7.42,119,8.18,11,0.76,11,0.76,11,0.76,65,4.47,69,4.74,71,4.88,60,4.12,57,3.92,56,3.85,61,4.19,07022
7,23,2171,186,8.57,188,8.66,179,8.25,194,8.94,178,8.2,176,8.11,161,7.42,185,8.52,21,0.97,11,0.51,18,0.83,108,4.97,94,4.33,105,4.84,80,3.68,70,3.22,74,3.41,62,2.86,07023
7,24,1766,159,9.0,157,8.89,139,7.87,164,9.29,142,8.04,148,8.38,125,7.08,160,9.06,16,0.91,11,0.62,19,1.08,65,3.68,83,4.7,80,4.53,71,4.02,59,3.34,65,3.68,50,2.83,07024
7,25,1808,140,7.74,145,8.02,126,6.97,148,8.19,138,7.63,139,7.69,125,6.91,136,7.52,13,0.72,13,0.72,8,0.44,94,5.2,86,4.76,97,5.37,78,4.31,79,4.37,85,4.7,82,4.54,07025
7,26,1752,146,8.33,158,9.02,142,8.11,165,9.42,141,8.05,155,8.85,128,7.31,156,8.9,16,0.91,12,0.68,13,0.74,73,4.17,73,4.17,94,5.37,62,3.54,53,3.03,59,3.37,48,2.74,07026
7,27,1625,144,8.86,146,8.98,119,7.32,155,9.54,130,8.0,131,8.06,115,7.08,157,9.66,13,0.8,7,0.43,13,0.8,64,3.94,79,4.86,82,5.05,59,3.63,48,2.95,60,3.69,48,2.95,07027
7,28,1372,103,7.51,119,8.67,90,6.56,105,7.65,105,7.65,91,6.63,88,6.41,113,8.24,14,1.02,11,0.8,12,0.87,65,4.74,71,5.17,76,5.54,64,4.66,64,4.66,63,4.59,58,4.23,07028
7,29,1767,143,8.09,139,7.87,119,6.73,152,8.6,123,6.96,145,8.21,116,6.56,150,8.49,22,1.25,12,0.68,14,0.79,89,5.04,85,4.81,87,4.92,81,4.58,69,3.9,82,4.64,64,3.62,07029
7,30,1477,130,8.8,136,9.21,107,7.24,128,8.67,116,7.85,130,8.8,103,6.97,130,8.8,17,1.15,17,1.15,9,0.61,60,4.06,63,4.27,64,4.33,52,3.52,52,3.52,61,4.13,54,3.66,07030
7,31,1237,87,7.03,100,8.08,87,7.03,91,7.36,88,7.11,80,6.47,78,6.31,80,6.47,12,0.97,10,0.81,14,1.13,60,4.85,69,5.58,75,6.06,54,4.37,61,4.93,67,5.42,62,5.01,07031
7,32,2984,259,8.68,257,8.61,233,7.81,274,9.18,234,7.84,252,8.45,222,7.44,272,9.12,34,1.14,27,0.9,15,0.5,133,4.46,127,4.26,146,4.89,109,3.65,99,3.32,95,3.18,92,3.08,07032
7,33,2740,236,8.61,257,9.38,231,8.43,262,9.56,225,8.21,246,8.98,207,7.55,260,9.49,25,0.91,12,0.44,15,0.55,105,3.83,113,4.12,119,4.34,89,3.25,78,2.85,86,3.14,81,2.96,07033
7,34,2437,204,8.37,203,8.33,183,7.51,216,8.86,180,7.39,193,7.92,167,6.85,204,8.37,25,1.03,23,0.94,20,0.82,104,4.27,110,4.51,127,5.21,97,3.98,91,3.73,97,3.98,96,3.94,07034
7,35,1916,151,7.88,163,8.51,137,7.15,167,8.72,141,7.36,138,7.2,126,6.58,157,8.19,24,1.25,23,1.2,14,0.73,90,4.7,92,4.8,101,5.27,73,3.81,75,3.91,81,4.23,81,4.23,07035
7,36,2710,234,8.63,231,8.52,210,7.75,245,9.04,222,8.19,237,8.75,202,7.45,238,8.78,26,0.96,14,0.52,16,0.59,119,4.39,110,4.06,121,4.46,105,3.87,93,3.43,100,3.69,86,3.17,07036
7,37,2447,202,8.26,206,8.42,181,7.4,221,9.03,187,7.64,200,8.17,178,7.27,209,8.54,22,0.9,21,0.86,22,0.9,103,4.21,120,4.9,122,4.99,98,4.0,89,3.64,92,3.76,78,3.19,07037
7,38,1703,144,8.46,146,8.57,114,6.69,141,8.28,136,7.99,129,7.57,115,6.75,148,8.69,28,1.64,16,0.94,23,1.35,82,4.82,75,4.4,89,5.23,65,3.82,64,3.76,65,3.82,57,3.35,07038
7,39,1995,192,9.62,199,9.97,173,8.67,205,10.28,175,8.77,185,9.27,166,8.32,199,9.97,23,1.15,16,0.8,16,0.8,53,2.66,74,3.71,74,3.71,58,2.91,46,2.31,52,2.61,46,2.31,07039
7,40,1892,175,9.25,169,8.93,146,7.72,167,8.83,156,8.25,160,8.46,139,7.35,171,9.04,27,1.43,19,1.0,21,1.11,74,3.91,79,4.18,86,4.55,62,3.28,61,3.22,65,3.44,54,2.85,07040
7,41,2022,170,8.41,181,8.95,149,7.37,180,8.9,159,7.86,162,8.01,142,7.02,176,8.7,15,0.74,10,0.49,18,0.89,90,4.45,89,4.4,99,4.9,84,4.15,73,3.61,80,3.96,77,3.81,07041
7,42,2003,182,9.09,165,8.24,161,8.04,181,9.04,167,8.34,162,8.09,147,7.34,170,8.49,17,0.85,19,0.95,13,0.65,85,4.24,82,4.09,91,4.54,74,3.69,69,3.44,72,3.59,69,3.44,07042
7,43,1873,162,8.65,173,9.24,151,8.06,177,9.45,153,8.17,147,7.85,130,6.94,163,8.7,27,1.44,13,0.69,18,0.96,74,3.95,77,4.11,95,5.07,65,3.47,60,3.2,73,3.9,58,3.1,07043
7,44,1893,159,8.4,164,8.66,138,7.29,163,8.61,150,7.92,158,8.35,133,7.03,174,9.19,10,0.53,12,0.63,13,0.69,87,4.6,87,4.6,91,4.81,74,3.91,70,3.7,74,3.91,72,3.8,07044
7,45,1781,145,8.14,161,9.04,129,7.24,143,8.03,135,7.58,131,7.36,126,7.07,146,8.2,25,1.4,17,0.95,23,1.29,81,4.55,86,4.83,95,5.33,64,3.59,67,3.76,70,3.93,71,3.99,07045
7,46,874,91,10.41,93,10.64,77,8.81,89,10.18,86,9.84,80,9.15,77,8.81,91,10.41,10,1.14,7,0.8,8,0.92,21,2.4,29,3.32,27,3.09,19,2.17,15,1.72,21,2.4,17,1.95,07046
8,4,1170,100,8.55,103,8.8,93,7.95,113,9.66,96,8.21,99,8.46,93,7.95,101,8.63,6,0.51,4,0.34,2,0.17,51,4.36,49,4.19,56,4.79,37,3.16,37,3.16,44,3.76,40,3.42,08004
8,5,45,6,13.33,4,8.89,4,8.89,6,13.33,5,11.11,4,8.89,4,8.89,5,11.11,0,0.0,0,0.0,1,2.22,0,0.0,1,2.22,0,0.0,1,2.22,1,2.22,1,2.22,2,4.44,08005
8,7,2675,215,8.04,232,8.67,194,7.25,232,8.67,214,8.0,208,7.78,194,7.25,221,8.26,24,0.9,19,0.71,18,0.67,119,4.45,128,4.79,137,5.12,110,4.11,103,3.85,106,3.96,91,3.4,08007
8,9,1529,121,7.91,127,8.31,115,7.52,139,9.09,117,7.65,116,7.59,107,7.0,129,8.44,7,0.46,6,0.39,5,0.33,74,4.84,78,5.1,83,5.43,63,4.12,57,3.73,66,4.32,57,3.73,08009
8,17,1941,171,8.81,178,9.17,159,8.19,194,9.99,161,8.29,177,9.12,149,7.68,177,9.12,11,0.57,15,0.77,11,0.57,74,3.81,77,3.97,85,4.38,72,3.71,61,3.14,59,3.04,55,2.83,08017
8,27,1846,141,7.64,155,8.4,131,7.1,163,8.83,128,6.93,150,8.13,118,6.39,158,8.56,21,1.14,14,0.76,12,0.65,92,4.98,91,4.93,101,5.47,80,4.33,67,3.63,77,4.17,67,3.63,08027
8,28,2303,177,7.69,194,8.42,161,6.99,223,9.68,171,7.43,186,8.08,153,6.64,189,8.21,18,0.78,14,0.61,12,0.52,108,4.69,107,4.65,126,5.47,89,3.86,91,3.95,92,3.99,98,4.26,08028
8,32,1516,114,7.52,125,8.25,95,6.27,123,8.11,102,6.73,106,6.99,100,6.6,122,8.05,12,0.79,9,0.59,9,0.59,79,5.21,86,5.67,98,6.46,71,4.68,69,4.55,68,4.49,61,4.02,08032
8,36,2282,180,7.89,191,8.37,165,7.23,202,8.85,167,7.32,185,8.11,159,6.97,186,8.15,25,1.1,8,0.35,11,0.48,105,4.6,111,4.86,133,5.83,95,4.16,87,3.81,98,4.29,88,3.86,08036
8,39,2171,176,8.11,207,9.53,171,7.88,193,8.89,172,7.92,176,8.11,158,7.28,192,8.84,20,0.92,11,0.51,9,0.41,96,4.42,102,4.7,112,5.16,81,3.73,76,3.5,80,3.68,59,2.72,08039
8,42,2660,217,8.16,229,8.61,197,7.41,261,9.81,198,7.44,207,7.78,186,6.99,229,8.61,22,0.83,13,0.49,12,0.45,115,4.32,130,4.89,141,5.3,115,4.32,93,3.5,100,3.76,91,3.42,08042
8,46,1579,132,8.36,140,8.87,104,6.59,147,9.31,112,7.09,132,8.36,110,6.97,138,8.74,13,0.82,8,0.51,8,0.51,79,5.0,82,5.19,88,5.57,63,3.99,57,3.61,62,3.93,44,2.79,08046
8,49,129,13,10.08,14,10.85,14,10.85,15,11.63,14,10.85,14,10.85,13,10.08,14,10.85,1,0.78,1,0.78,0,0.0,2,1.55,3,2.33,3,2.33,1,0.78,1,0.78,3,2.33,2,1.55,08049
8,50,699,55,7.87,51,7.3,52,7.44,62,8.87,49,7.01,56,8.01,46,6.58,52,7.44,6,0.86,5,0.72,8,1.14,33,4.72,36,5.15,42,6.01,31,4.43,26,3.72,29,4.15,29,4.15,08050
8,53,1161,114,9.82,103,8.87,95,8.18,114,9.82,90,7.75,96,8.27,87,7.49,104,8.96,14,1.21,8,0.69,9,0.78,47,4.05,48,4.13,53,4.57,40,3.45,33,2.84,37,3.19,26,2.24,08053
9,1,2224,187,8.41,186,8.36,164,7.37,209,9.4,163,7.33,191,8.59,160,7.19,190,8.54,23,1.03,20,0.9,14,0.63,92,4.14,97,4.36,125,5.62,86,3.87,77,3.46,84,3.78,69,3.1,09001
9,2,1771,165,9.32,155,8.75,132,7.45,149,8.41,153,8.64,143,8.07,127,7.17,161,9.09,22,1.24,17,0.96,15,0.85,69,3.9,79,4.46,86,4.86,62,3.5,65,3.67,64,3.61,45,2.54,09002
9,3,1401,127,9.06,128,9.14,94,6.71,112,7.99,96,6.85,97,6.92,103,7.35,114,8.14,10,0.71,11,0.79,13,0.93,77,5.5,65,4.64,83,5.92,59,4.21,54,3.85,59,4.21,47,3.35,09003
9,4,1745,157,9.0,157,9.0,132,7.56,158,9.05,142,8.14,147,8.42,139,7.97,148,8.48,15,0.86,15,0.86,16,0.92,80,4.58,74,4.24,90,5.16,62,3.55,58,3.32,56,3.21,48,2.75,09004
9,5,1841,169,9.18,174,9.45,148,8.04,168,9.13,147,7.98,158,8.58,129,7.01,172,9.34,17,0.92,13,0.71,16,0.87,75,4.07,77,4.18,95,5.16,66,3.59,55,2.99,60,3.26,46,2.5,09005
9,6,1924,180,9.36,163,8.47,151,7.85,176,9.15,155,8.06,147,7.64,130,6.76,164,8.52,17,0.88,13,0.68,12,0.62,92,4.78,96,4.99,110,5.72,70,3.64,65,3.38,68,3.53,50,2.6,09006
9,7,1513,130,8.59,143,9.45,115,7.6,146,9.65,123,8.13,134,8.86,120,7.93,146,9.65,12,0.79,11,0.73,14,0.93,54,3.57,65,4.3,66,4.36,52,3.44,48,3.17,48,3.17,39,2.58,09007
9,8,2043,167,8.17,147,7.2,124,6.07,151,7.39,132,6.46,144,7.05,119,5.82,148,7.24,16,0.78,19,0.93,15,0.73,109,5.34,121,5.92,143,7.0,109,5.34,95,4.65,101,4.94,84,4.11,09008
9,9,2329,211,9.06,210,9.02,195,8.37,223,9.57,202,8.67,219,9.4,179,7.69,215,9.23,20,0.86,16,0.69,13,0.56,86,3.69,91,3.91,109,4.68,76,3.26,65,2.79,70,3.01,62,2.66,09009
9,10,1898,177,9.33,171,9.01,152,8.01,176,9.27,150,7.9,154,8.11,142,7.48,169,8.9,18,0.95,19,1.0,14,0.74,73,3.85,78,4.11,80,4.21,76,4.0,58,3.06,66,3.48,62,3.27,09010
9,11,1421,138,9.71,136,9.57,114,8.02,129,9.08,131,9.22,133,9.36,108,7.6,134,9.43,14,0.99,14,0.99,15,1.06,59,4.15,51,3.59,60,4.22,40,2.81,34,2.39,36,2.53,36,2.53,09011
9,13,2373,204,8.6,206,8.68,177,7.46,208,8.77,186,7.84,194,8.18,167,7.04,205,8.64,23,0.97,24,1.01,18,0.76,104,4.38,104,4.38,120,5.06,94,3.96,84,3.54,94,3.96,73,3.08,09013
9,14,2540,232,9.13,239,9.41,202,7.95,245,9.65,201,7.91,222,8.74,182,7.17,241,9.49,26,1.02,20,0.79,14,0.55,106,4.17,104,4.09,121,4.76,80,3.15,67,2.64,85,3.35,69,2.72,09014
9,15,1645,146,8.88,155,9.42,110,6.69,141,8.57,121,7.36,125,7.6,122,7.42,143,8.69,15,0.91,14,0.85,10,0.61,80,4.86,73,4.44,99,6.02,64,3.89,59,3.59,61,3.71,50,3.04,09015
9,16,1960,170,8.67,172,8.78,150,7.65,169,8.62,150,7.65,156,7.96,127,6.48,176,8.98,22,1.12,11,0.56,15,0.77,85,4.34,91,4.64,101,5.15,81,4.13,69,3.52,81,4.13,62,3.16,09016
9,17,1428,125,8.75,140,9.8,101,7.07,116,8.12,101,7.07,113,7.91,104,7.28,120,8.4,23,1.61,19,1.33,11,0.77,62,4.34,69,4.83,72,5.04,53,3.71,51,3.57,49,3.43,48,3.36,09017
9,18,1407,116,8.24,120,8.53,95,6.75,120,8.53,103,7.32,108,7.68,88,6.25,113,8.03,19,1.35,13,0.92,15,1.07,72,5.12,79,5.61,84,5.97,63,4.48,47,3.34,53,3.77,43,3.06,09018
9,19,1968,165,8.38,181,9.2,152,7.72,180,9.15,157,7.98,170,8.64,150,7.62,174,8.84,22,1.12,15,0.76,13,0.66,90,4.57,78,3.96,95,4.83,75,3.81,62,3.15,63,3.2,59,3.0,09019
9,20,2203,198,8.99,206,9.35,156,7.08,200,9.08,177,8.03,172,7.81,160,7.26,192,8.72,33,1.5,16,0.73,30,1.36,95,4.31,97,4.4,108,4.9,77,3.5,69,3.13,81,3.68,67,3.04,09020
9,21,1642,147,8.95,148,9.01,129,7.86,151,9.2,138,8.4,135,8.22,121,7.37,154,9.38,17,1.04,14,0.85,10,0.61,68,4.14,68,4.14,82,4.99,54,3.29,56,3.41,58,3.53,40,2.44,09021
9,22,2171,183,8.43,180,8.29,155,7.14,186,8.57,169,7.78,168,7.74,148,6.82,171,7.88,26,1.2,11,0.51,8,0.37,107,4.93,111,5.11,117,5.39,94,4.33,91,4.19,86,3.96,67,3.09,09022
9,26,1634,137,8.38,157,9.61,122,7.47,127,7.77,124,7.59,127,7.77,129,7.89,148,9.06,9,0.55,12,0.73,14,0.86,72,4.41,80,4.9,91,5.57,66,4.04,58,3.55,59,3.61,49,3.0,09026
9,27,1908,166,8.7,169,8.86,143,7.49,169,8.86,147,7.7,147,7.7,133,6.97,165,8.65,14,0.73,17,0.89,19,1.0,80,4.19,82,4.3,94,4.93,80,4.19,65,3.41,78,4.09,70,3.67,09027
9,28,1246,101,8.11,104,8.35,86,6.9,91,7.3,89,7.14,85,6.82,81,6.5,100,8.03,20,1.61,13,1.04,11,0.88,57,4.57,64,5.14,66,5.3,53,4.25,58,4.65,64,5.14,53,4.25,09028
9,29,1545,145,9.39,150,9.71,119,7.7,134,8.67,136,8.8,129,8.35,116,7.51,143,9.26,23,1.49,20,1.29,11,0.71,58,3.75,62,4.01,72,4.66,53,3.43,42,2.72,54,3.5,39,2.52,09029
9,30,1749,164,9.38,165,9.43,137,7.83,160,9.15,151,8.63,159,9.09,136,7.78,160,9.15,18,1.03,14,0.8,15,0.86,61,3.49,59,3.37,81,4.63,55,3.14,55,3.14,54,3.09,49,2.8,09030
9,31,1466,125,8.53,127,8.66,107,7.3,122,8.32,115,7.84,108,7.37,102,6.96,127,8.66,17,1.16,23,1.57,10,0.68,66,4.5,74,5.05,78,5.32,60,4.09,57,3.89,50,3.41,48,3.27,09031
9,32,1876,171,9.12,156,8.32,148,7.89,165,8.8,150,8.0,160,8.53,136,7.25,161,8.58,11,0.59,20,1.07,17,0.91,80,4.26,81,4.32,86,4.58,68,3.62,67,3.57,73,3.89,64,3.41,09032
