ward,precinct,total,Celeste K. Jones,Celeste K. Jones Percent,Chelsey R. Robinson,Chelsey R. Robinson Percent,D. Renee Jackson,D. Renee Jackson Percent,Travis Richardson,Travis Richardson Percent,precinct_id
9,35,23,9,39.13,5,21.74,7,30.43,2,8.7,09035
9,37,297,80,26.94,81,27.27,63,21.21,73,24.58,09037
9,38,272,57,20.96,75,27.57,92,33.82,48,17.65,09038
9,39,325,57,17.54,81,24.92,103,31.69,84,25.85,09039
9,40,328,81,24.7,77,23.48,112,34.15,58,17.68,09040
9,41,238,66,27.73,57,23.95,74,31.09,41,17.23,09041
9,43,251,54,21.51,63,25.1,71,28.29,63,25.1,09043
9,44,268,63,23.51,67,25.0,86,32.09,52,19.4,09044
9,45,242,63,26.03,51,21.07,97,40.08,31,12.81,09045
9,46,286,57,19.93,89,31.12,76,26.57,64,22.38,09046
19,28,245,82,33.47,41,16.73,76,31.02,46,18.78,19028
19,43,148,29,19.59,26,17.57,53,35.81,40,27.03,19043
21,1,309,96,31.07,58,18.77,110,35.6,45,14.56,21001
21,2,131,24,18.32,27,20.61,61,46.56,19,14.5,21002
21,3,339,71,20.94,74,21.83,148,43.66,46,13.57,21003
21,5,331,70,21.15,87,26.28,116,35.05,58,17.52,21005
21,6,271,79,29.15,58,21.4,74,27.31,60,22.14,21006
21,7,324,83,25.62,68,20.99,105,32.41,68,20.99,21007
21,8,314,77,24.52,67,21.34,112,35.67,58,18.47,21008
21,9,334,92,27.54,62,18.56,113,33.83,67,20.06,21009
21,10,275,68,24.73,45,16.36,99,36.0,63,22.91,21010
21,11,286,77,26.92,46,16.08,111,38.81,52,18.18,21011
21,12,281,65,23.13,68,24.2,100,35.59,48,17.08,21012
21,13,161,33,20.5,43,26.71,57,35.4,28,17.39,21013
21,14,361,80,22.16,113,31.3,126,34.9,42,11.63,21014
21,16,281,69,24.56,63,22.42,104,37.01,45,16.01,21016
21,17,148,29,19.59,42,28.38,50,33.78,27,18.24,21017
21,18,350,80,22.86,63,18.0,148,42.29,59,16.86,21018
21,19,304,75,24.67,63,20.72,111,36.51,55,18.09,21019
21,20,22,5,22.73,6,27.27,6,27.27,5,22.73,21020
21,21,275,81,29.45,57,20.73,91,33.09,46,16.73,21021
21,22,266,68,25.56,60,22.56,90,33.83,48,18.05,21022
21,23,265,65,24.53,65,24.53,99,37.36,36,13.58,21023
21,24,280,70,25.0,51,18.21,117,41.79,42,15.0,21024
21,25,265,75,28.3,62,23.4,94,35.47,34,12.83,21025
21,27,287,85,29.62,55,19.16,105,36.59,42,14.63,21027
21,29,310,71,22.9,67,21.61,118,38.06,54,17.42,21029
21,32,278,58,20.86,75,26.98,92,33.09,53,19.06,21032
21,33,150,30,20.0,30,20.0,66,44.0,24,16.0,21033
21,34,128,34,26.56,22,17.19,52,40.63,20,15.63,21034
21,35,320,105,32.81,47,14.69,111,34.69,57,17.81,21035
21,36,314,77,24.52,67,21.34,112,35.67,58,18.47,21036
21,37,227,59,25.99,50,22.03,82,36.12,36,15.86,21037
21,38,316,95,30.06,64,20.25,99,31.33,58,18.35,21038
21,39,237,64,27.0,46,19.41,87,36.71,40,16.88,21039
21,40,263,90,34.22,42,15.97,103,39.16,28,10.65,21040
21,41,294,65,22.11,73,24.83,100,34.01,56,19.05,21041
21,42,312,75,24.04,70,22.44,104,33.33,63,20.19,21042
21,44,191,36,18.85,45,23.56,76,39.79,34,17.8,21044
21,45,268,61,22.76,65,24.25,93,34.7,49,18.28,21045
21,46,304,82,26.97,57,18.75,114,37.5,51,16.78,21046
21,48,132,24,18.18,34,25.76,45,34.09,29,21.97,21048
21,49,311,70,22.51,55,17.68,136,43.73,50,16.08,21049
21,50,257,82,31.91,52,20.23,85,33.07,38,14.79,21050
21,52,34,11,32.35,7,20.59,13,38.24,3,8.82,21052
34,1,363,87,23.97,86,23.69,138,38.02,52,14.33,34001
34,2,236,84,35.59,36,15.25,78,33.05,38,16.1,34002
34,3,315,63,20.0,70,22.22,119,37.78,63,20.0,34003
34,4,247,50,20.24,60,24.29,98,39.68,39,15.79,34004
34,5,267,72,26.97,73,27.34,85,31.84,37,13.86,34005
34,6,362,76,20.99,84,23.2,127,35.08,75,20.72,34006
34,7,327,90,27.52,63,19.27,114,34.86,60,18.35,34007
34,8,258,68,26.36,57,22.09,98,37.98,35,13.57,34008
34,9,243,59,24.28,52,21.4,95,39.09,37,15.23,34009
34,10,301,68,22.59,72,23.92,110,36.54,51,16.94,34010
34,11,253,63,24.9,46,18.18,88,34.78,56,22.13,34011
34,12,343,72,20.99,67,19.53,124,36.15,80,23.32,34012
34,13,309,98,31.72,56,18.12,113,36.57,42,13.59,34013
34,14,242,54,22.31,55,22.73,104,42.98,29,11.98,34014
34,15,253,66,26.09,65,25.69,91,35.97,31,12.25,34015
34,16,255,66,25.88,55,21.57,88,34.51,46,18.04,34016
34,18,240,66,27.5,76,31.67,74,30.83,24,10.0,34018
34,19,246,44,17.89,50,20.33,86,34.96,66,26.83,34019
34,20,362,87,24.03,85,23.48,106,29.28,84,23.2,34020
34,21,393,104,26.46,84,21.37,109,27.74,96,24.43,34021
34,22,286,73,25.52,49,17.13,110,38.46,54,18.88,34022
34,23,229,53,23.14,65,28.38,69,30.13,42,18.34,34023
34,24,306,66,21.57,74,24.18,85,27.78,81,26.47,34024
34,25,341,73,21.41,87,25.51,119,34.9,62,18.18,34025
34,26,336,86,25.6,68,20.24,136,40.48,46,13.69,34026
34,27,252,63,25.0,70,27.78,86,34.13,33,13.1,34027
34,28,229,57,24.89,48,20.96,54,23.58,70,30.57,34028
34,29,239,50,20.92,63,26.36,78,32.64,48,20.08,34029
34,30,292,53,18.15,49,16.78,110,37.67,80,27.4,34030
34,31,255,60,23.53,59,23.14,81,31.76,55,21.57,34031
34,32,301,70,23.26,57,18.94,115,38.21,59,19.6,34032
34,33,248,55,22.18,54,21.77,97,39.11,42,16.94,34033
34,34,336,84,25.0,75,22.32,117,34.82,60,17.86,34034
34,35,343,84,24.49,67,19.53,128,37.32,64,18.66,34035
34,36,270,64,23.7,67,24.81,89,32.96,50,18.52,34036
34,37,214,48,22.43,48,22.43,65,30.37,53,24.77,34037
34,38,170,31,18.24,41,24.12,52,30.59,46,27.06,34038
34,39,247,42,17.0,48,19.43,69,27.94,88,35.63,34039
34,40,341,73,21.41,75,21.99,114,33.43,79,23.17,34040
34,41,223,43,19.28,47,21.08,77,34.53,56,25.11,34041
34,42,301,65,21.59,78,25.91,128,42.52,30,9.97,34042
34,43,303,48,15.84,67,22.11,143,47.19,45,14.85,34043
34,44,316,71,22.47,63,19.94,127,40.19,55,17.41,34044
34,45,333,77,23.12,67,20.12,136,40.84,53,15.92,34045
34,46,203,30,14.78,46,22.66,88,43.35,39,19.21,34046
34,47,287,56,19.51,72,25.09,99,34.49,60,20.91,34047
34,48,326,57,17.48,87,26.69,101,30.98,81,24.85,34048
34,49,328,69,21.04,81,24.7,108,32.93,70,21.34,34049
34,50,258,50,19.38,50,19.38,109,42.25,49,18.99,34050
34,51,313,71,22.68,83,26.52,103,32.91,56,17.89,34051
34,52,260,74,28.46,45,17.31,67,25.77,74,28.46,34052
34,53,237,40,16.88,60,25.32,70,29.54,67,28.27,34053
