ward,precinct,total,Anthony E. Simpkins,Anthony E. Simpkins Percent,Rhonda Crawford,Rhonda Crawford Percent,Lisa A. Copland,Lisa A. Copland Percent,precinct_id
8,34,282,89,31.56,143,50.71,50,17.73,08034
8,35,315,115,36.51,131,41.59,69,21.9,08035
8,36,311,96,30.87,157,50.48,58,18.65,08036
8,37,266,80,30.08,122,45.86,64,24.06,08037
8,38,189,54,28.57,94,49.74,41,21.69,08038
8,39,302,80,26.49,108,35.76,114,37.75,08039
8,40,239,69,28.87,117,48.95,53,22.18,08040
8,41,302,91,30.13,96,31.79,115,38.08,08041
8,43,143,37,25.87,74,51.75,32,22.38,08043
8,44,214,56,26.17,105,49.07,53,24.77,08044
8,45,302,76,25.17,151,50.0,75,24.83,08045
8,46,228,70,30.7,107,46.93,51,22.37,08046
8,47,239,86,35.98,103,43.1,50,20.92,08047
8,48,305,78,25.57,136,44.59,91,29.84,08048
8,49,280,96,34.29,125,44.64,59,21.07,08049
8,50,307,127,41.37,120,39.09,60,19.54,08050
8,51,344,155,45.06,128,37.21,61,17.73,08051
8,52,390,149,38.21,163,41.79,78,20.0,08052
8,53,167,49,29.34,83,49.7,35,20.96,08053
8,54,276,86,31.16,142,51.45,48,17.39,08054
8,55,235,78,33.19,107,45.53,50,21.28,08055
8,56,285,98,34.39,126,44.21,61,21.4,08056
9,12,317,94,29.65,146,46.06,77,24.29,09012
9,13,293,81,27.65,151,51.54,61,20.82,09013
9,14,322,88,27.33,174,54.04,60,18.63,09014
9,23,322,76,23.6,139,43.17,107,33.23,09023
9,24,309,108,34.95,140,45.31,61,19.74,09024
9,25,290,86,29.66,123,42.41,81,27.93,09025
9,35,256,81,31.64,130,50.78,45,17.58,09035
9,36,259,80,30.89,118,45.56,61,23.55,09036
9,42,317,130,41.01,120,37.85,67,21.14,09042
9,47,325,106,32.62,130,40.0,89,27.38,09047
9,48,323,96,29.72,126,39.01,101,31.27,09048
9,49,331,114,34.44,148,44.71,69,20.85,09049
9,50,391,138,35.29,126,32.23,127,32.48,09050
9,51,301,114,37.87,123,40.86,64,21.26,09051
10,1,230,48,20.87,114,49.57,68,29.57,10001
10,2,163,45,27.61,51,31.29,67,41.1,10002
10,3,185,54,29.19,50,27.03,81,43.78,10003
10,4,202,37,18.32,85,42.08,80,39.6,10004
10,5,137,33,24.09,39,28.47,65,47.45,10005
10,6,191,37,19.37,69,36.13,85,44.5,10006
10,7,161,36,22.36,57,35.4,68,42.24,10007
10,8,180,26,14.44,106,58.89,48,26.67,10008
10,9,170,45,26.47,54,31.76,71,41.76,10009
10,10,228,56,24.56,65,28.51,107,46.93,10010
10,11,274,66,24.09,92,33.58,116,42.34,10011
10,12,164,41,25.0,48,29.27,75,45.73,10012
10,13,280,81,28.93,102,36.43,97,34.64,10013
10,14,285,68,23.86,89,31.23,128,44.91,10014
10,15,531,142,26.74,262,49.34,127,23.92,10015
10,16,163,40,24.54,58,35.58,65,39.88,10016
10,17,228,66,28.95,54,23.68,108,47.37,10017
10,18,167,41,24.55,71,42.51,55,32.93,10018
10,19,207,42,20.29,68,32.85,97,46.86,10019
10,20,226,58,25.66,78,34.51,90,39.82,10020
10,21,244,60,24.59,91,37.3,93,38.11,10021
10,22,144,32,22.22,47,32.64,65,45.14,10022
10,23,228,52,22.81,81,35.53,95,41.67,10023
10,24,170,35,20.59,59,34.71,76,44.71,10024
10,25,77,20,25.97,27,35.06,30,38.96,10025
10,26,199,40,20.1,77,38.69,82,41.21,10026
10,27,236,61,25.85,112,47.46,63,26.69,10027
10,28,272,62,22.79,92,33.82,118,43.38,10028
10,29,227,56,24.67,89,39.21,82,36.12,10029
10,30,224,43,19.2,91,40.63,90,40.18,10030
10,31,206,62,30.1,67,32.52,77,37.38,10031
10,32,219,61,27.85,73,33.33,85,38.81,10032
10,33,151,34,22.52,55,36.42,62,41.06,10033
10,34,165,34,20.61,68,41.21,63,38.18,10034
10,35,199,44,22.11,57,28.64,98,49.25,10035
10,36,52,7,13.46,22,42.31,23,44.23,10036
17,2,231,57,24.68,123,53.25,51,22.08,17002
17,4,348,107,30.75,153,43.97,88,25.29,17004
17,5,229,58,25.33,117,51.09,54,23.58,17005
17,9,257,76,29.57,134,52.14,47,18.29,17009
17,10,266,59,22.18,141,53.01,66,24.81,17010
17,15,290,94,32.41,135,46.55,61,21.03,17015
17,18,309,101,32.69,152,49.19,56,18.12,17018
17,20,369,131,35.5,178,48.24,60,16.26,17020
17,21,333,123,36.94,147,44.14,63,18.92,17021
17,22,239,71,29.71,118,49.37,50,20.92,17022
17,23,181,62,34.25,73,40.33,46,25.41,17023
17,24,284,73,25.7,133,46.83,78,27.46,17024
17,26,318,99,31.13,141,44.34,78,24.53,17026
17,27,260,90,34.62,119,45.77,51,19.62,17027
17,28,237,75,31.65,110,46.41,52,21.94,17028
17,29,249,68,27.31,125,50.2,56,22.49,17029
17,35,206,38,18.45,119,57.77,49,23.79,17035
17,38,263,75,28.52,129,49.05,59,22.43,17038
17,39,260,61,23.46,133,51.15,66,25.38,17039
17,40,292,90,30.82,135,46.23,67,22.95,17040
17,41,308,87,28.25,160,51.95,61,19.81,17041
18,20,239,70,29.29,117,48.95,52,21.76,18020
18,38,263,66,25.1,127,48.29,70,26.62,18038
21,2,77,18,23.38,44,57.14,15,19.48,21002
21,4,295,81,27.46,156,52.88,58,19.66,21004
21,13,108,21,19.44,58,53.7,29,26.85,21013
21,15,258,64,24.81,131,50.78,63,24.42,21015
21,17,131,37,28.24,67,51.15,27,20.61,21017
21,20,215,45,20.93,114,53.02,56,26.05,21020
21,26,286,65,22.73,164,57.34,57,19.93,21026
21,28,335,99,29.55,166,49.55,70,20.9,21028
21,30,229,48,20.96,128,55.9,53,23.14,21030
21,31,212,50,23.58,102,48.11,60,28.3,21031
21,33,150,46,30.67,74,49.33,30,20.0,21033
21,34,156,38,24.36,84,53.85,34,21.79,21034
21,43,315,90,28.57,160,50.79,65,20.63,21043
21,44,81,25,30.86,36,44.44,20,24.69,21044
21,47,266,65,24.44,141,53.01,60,22.56,21047
21,48,127,30,23.62,65,51.18,32,25.2,21048
21,51,287,99,34.49,127,44.25,61,21.25,21051
21,52,268,71,26.49,152,56.72,45,16.79,21052
21,53,224,62,27.68,108,48.21,54,24.11,21053
21,54,246,74,30.08,116,47.15,56,22.76,21054
