ward,precinct,total,Jesse Outlaw,Jesse Outlaw Percent,Maryam Ahmad,Maryam Ahmad Percent,precinct_id
10,11,277,153,55.23,124,44.77,10011
10,12,165,97,58.79,68,41.21,10012
10,13,273,150,54.95,123,45.05,10013
10,14,289,153,52.94,136,47.06,10014
10,15,528,276,52.27,252,47.73,10015
10,16,160,90,56.25,70,43.75,10016
10,17,223,101,45.29,122,54.71,10017
10,18,168,96,57.14,72,42.86,10018
10,19,212,108,50.94,104,49.06,10019
10,20,219,128,58.45,91,41.55,10020
10,21,243,127,52.26,116,47.74,10021
10,22,148,89,60.14,59,39.86,10022
10,23,233,127,54.51,106,45.49,10023
10,24,171,98,57.31,73,42.69,10024
10,25,80,45,56.25,35,43.75,10025
10,26,190,98,51.58,92,48.42,10026
10,27,238,138,57.98,100,42.02,10027
10,28,275,147,53.45,128,46.55,10028
10,29,226,132,58.41,94,41.59,10029
10,30,224,130,58.04,94,41.96,10030
10,31,199,123,61.81,76,38.19,10031
10,32,223,134,60.09,89,39.91,10032
10,33,151,87,57.62,64,42.38,10033
10,34,162,85,52.47,77,47.53,10034
10,35,197,105,53.3,92,46.7,10035
10,36,52,19,36.54,33,63.46,10036
17,2,220,119,54.09,101,45.91,17002
17,4,332,199,59.94,133,40.06,17004
17,5,226,128,56.64,98,43.36,17005
17,9,264,137,51.89,127,48.11,17009
17,10,267,150,56.18,117,43.82,17010
17,15,275,159,57.82,116,42.18,17015
17,18,310,158,50.97,152,49.03,17018
17,20,373,194,52.01,179,47.99,17020
17,21,332,175,52.71,157,47.29,17021
17,22,238,140,58.82,98,41.18,17022
17,23,171,102,59.65,69,40.35,17023
17,24,275,131,47.64,144,52.36,17024
17,26,306,182,59.48,124,40.52,17026
17,27,249,144,57.83,105,42.17,17027
17,28,217,116,53.46,101,46.54,17028
17,29,241,123,51.04,118,48.96,17029
17,35,198,117,59.09,81,40.91,17035
17,38,263,124,47.15,139,52.85,17038
17,39,258,144,55.81,114,44.19,17039
17,40,296,162,54.73,134,45.27,17040
17,41,308,164,53.25,144,46.75,17041
18,20,233,122,52.36,111,47.64,18020
18,38,264,140,53.03,124,46.97,18038
21,2,81,49,60.49,32,39.51,21002
21,4,301,176,58.47,125,41.53,21004
21,13,109,59,54.13,50,45.87,21013
21,15,249,150,60.24,99,39.76,21015
21,17,130,74,56.92,56,43.08,21017
21,20,217,114,52.53,103,47.47,21020
21,26,284,161,56.69,123,43.31,21026
21,28,333,171,51.35,162,48.65,21028
21,30,219,119,54.34,100,45.66,21030
21,31,215,116,53.95,99,46.05,21031
21,33,152,84,55.26,68,44.74,21033
21,34,156,92,58.97,64,41.03,21034
21,43,318,164,51.57,154,48.43,21043
21,44,76,41,53.95,35,46.05,21044
21,47,259,154,59.46,105,40.54,21047
21,48,124,83,66.94,41,33.06,21048
21,51,292,152,52.05,140,47.95,21051
21,52,267,159,59.55,108,40.45,21052
21,53,223,117,52.47,106,47.53,21053
21,54,252,129,51.19,123,48.81,21054
