ward,precinct,total,Raymond A. Lopez (Clinton),Raymond A. Lopez (Clinton) Percent,Milly Santiago (Clinton),Milly Santiago (Clinton) Percent,"Vicente ''Vince'' Sanchez, Jr. (Clinto","Vicente ''Vince'' Sanchez, Jr. (Clinto Percent",Emanuel ''Chris'' Welch (Clinton),Emanuel ''Chris'' Welch (Clinton) Percent,Barbara P. Guttmann (O'Malley),Barbara P. Guttmann (O'Malley) Percent,Richard Gutierrez (O'Malley),Richard Gutierrez (O'Malley) Percent,Will Guzzardi (Sanders),Will Guzzardi (Sanders) Percent,Andrea Perkins (Sanders),Andrea Perkins (Sanders) Percent,Carlos Ramirez-Rosa (Sanders),Carlos Ramirez-Rosa (Sanders) Percent,Shana East (Sanders),Shana East (Sanders) Percent,Ãlvaro R. ObregÃ³n (Sanders),Ãlvaro R. ObregÃ³n (Sanders) Percent,Melissa Rubio (Sanders),Melissa Rubio (Sanders) Percent,precinct_id
14,10,898,83,9.24,74,8.24,65,7.24,61,6.79,22,2.45,17,1.89,68,7.57,98,10.91,95,10.58,65,7.24,68,7.57,91,10.13,14010
14,11,721,52,7.21,61,8.46,46,6.38,35,4.85,7,0.97,12,1.66,56,7.77,74,10.26,86,11.93,63,8.74,71,9.85,90,12.48,14011
14,13,989,99,10.01,83,8.39,72,7.28,54,5.46,17,1.72,32,3.24,64,6.47,89,9.0,104,10.52,66,6.67,94,9.5,110,11.12,14013
14,14,1211,112,9.25,100,8.26,88,7.27,67,5.53,15,1.24,30,2.48,82,6.77,124,10.24,135,11.15,93,7.68,112,9.25,128,10.57,14014
14,15,1393,111,7.97,119,8.54,88,6.32,79,5.67,24,1.72,33,2.37,105,7.54,144,10.34,167,11.99,99,7.11,119,8.54,153,10.98,14015
14,16,885,67,7.57,75,8.47,56,6.33,45,5.08,14,1.58,21,2.37,75,8.47,99,11.19,95,10.73,82,9.27,78,8.81,103,11.64,14016
14,17,906,85,9.38,75,8.28,70,7.73,41,4.53,11,1.21,16,1.77,62,6.84,93,10.26,94,10.38,65,7.17,86,9.49,103,11.37,14017
14,19,1462,120,8.21,123,8.41,95,6.5,76,5.2,16,1.09,37,2.53,97,6.63,162,11.08,177,12.11,127,8.69,142,9.71,155,10.6,14019
14,20,813,71,8.73,64,7.87,54,6.64,42,5.17,12,1.48,22,2.71,68,8.36,87,10.7,101,12.42,60,7.38,69,8.49,100,12.3,14020
14,25,715,65,9.09,60,8.39,44,6.15,39,5.45,7,0.98,16,2.24,55,7.69,74,10.35,84,11.75,46,6.43,63,8.81,87,12.17,14025
14,27,1094,104,9.51,98,8.96,91,8.32,66,6.03,16,1.46,26,2.38,69,6.31,105,9.6,121,11.06,76,6.95,94,8.59,110,10.05,14027
14,28,865,82,9.48,84,9.71,72,8.32,66,7.63,13,1.5,16,1.85,63,7.28,79,9.13,82,9.48,61,7.05,74,8.55,76,8.79,14028
14,30,690,56,8.12,60,8.7,44,6.38,29,4.2,15,2.17,25,3.62,51,7.39,72,10.43,86,12.46,58,8.41,71,10.29,68,9.86,14030
14,31,755,78,10.33,64,8.48,50,6.62,45,5.96,8,1.06,15,1.99,48,6.36,73,9.67,91,12.05,51,6.75,68,9.01,91,12.05,14031
15,1,26,3,11.54,2,7.69,3,11.54,2,7.69,0,0.0,1,3.85,1,3.85,2,7.69,3,11.54,2,7.69,2,7.69,3,11.54,15001
15,4,1061,140,13.2,68,6.41,45,4.24,43,4.05,5,0.47,19,1.79,77,7.26,117,11.03,148,13.95,80,7.54,118,11.12,124,11.69,15004
15,5,888,118,13.29,70,7.88,54,6.08,44,4.95,13,1.46,23,2.59,60,6.76,88,9.91,101,11.37,59,6.64,77,8.67,104,11.71,15005
15,6,1045,133,12.73,70,6.7,71,6.79,48,4.59,8,0.77,31,2.97,75,7.18,94,9.0,138,13.21,69,6.6,111,10.62,105,10.05,15006
15,8,612,77,12.58,33,5.39,31,5.07,24,3.92,6,0.98,19,3.1,45,7.35,70,11.44,80,13.07,47,7.68,64,10.46,74,12.09,15008
15,9,1221,188,15.4,78,6.39,58,4.75,38,3.11,16,1.31,26,2.13,86,7.04,126,10.32,146,11.96,84,6.88,113,9.25,169,13.84,15009
15,10,1550,191,12.32,94,6.06,84,5.42,78,5.03,31,2.0,33,2.13,114,7.35,167,10.77,189,12.19,130,8.39,144,9.29,180,11.61,15010
15,11,1372,177,12.9,113,8.24,105,7.65,82,5.98,19,1.38,39,2.84,85,6.2,129,9.4,153,11.15,86,6.27,115,8.38,141,10.28,15011
15,12,1371,173,12.62,100,7.29,92,6.71,67,4.89,17,1.24,32,2.33,104,7.59,134,9.77,154,11.23,95,6.93,130,9.48,161,11.74,15012
15,15,76,10,13.16,9,11.84,6,7.89,4,5.26,0,0.0,0,0.0,5,6.58,7,9.21,7,9.21,6,7.89,8,10.53,7,9.21,15015
16,1,102,11,10.78,12,11.76,10,9.8,13,12.75,0,0.0,2,1.96,7,6.86,8,7.84,10,9.8,6,5.88,7,6.86,6,5.88,16001
22,3,1533,121,7.89,129,8.41,96,6.26,61,3.98,18,1.17,44,2.87,100,6.52,150,9.78,205,13.37,111,7.24,172,11.22,183,11.94,22003
22,4,950,66,6.95,68,7.16,53,5.58,37,3.89,9,0.95,33,3.47,74,7.79,103,10.84,128,13.47,75,7.89,99,10.42,112,11.79,22004
22,5,1086,79,7.27,79,7.27,73,6.72,45,4.14,12,1.1,32,2.95,81,7.46,115,10.59,144,13.26,80,7.37,127,11.69,123,11.33,22005
22,6,1002,73,7.29,89,8.88,63,6.29,48,4.79,14,1.4,13,1.3,69,6.89,106,10.58,121,12.08,72,7.19,114,11.38,128,12.77,22006
22,7,806,68,8.44,68,8.44,56,6.95,38,4.71,8,0.99,19,2.36,57,7.07,80,9.93,98,12.16,56,6.95,85,10.55,92,11.41,22007
22,9,972,65,6.69,74,7.61,63,6.48,37,3.81,9,0.93,25,2.57,57,5.86,105,10.8,130,13.37,78,8.02,124,12.76,125,12.86,22009
22,10,1483,109,7.35,124,8.36,110,7.42,76,5.12,12,0.81,38,2.56,92,6.2,149,10.05,193,13.01,101,6.81,163,10.99,173,11.67,22010
22,11,841,56,6.66,79,9.39,55,6.54,37,4.4,10,1.19,31,3.69,55,6.54,72,8.56,108,12.84,55,6.54,89,10.58,109,12.96,22011
22,13,1177,93,7.9,102,8.67,79,6.71,50,4.25,12,1.02,35,2.97,90,7.65,108,9.18,151,12.83,69,5.86,133,11.3,147,12.49,22013
22,14,597,32,5.36,32,5.36,30,5.03,20,3.35,14,2.35,16,2.68,50,8.38,80,13.4,84,14.07,55,9.21,66,11.06,79,13.23,22014
22,15,985,78,7.92,93,9.44,63,6.4,45,4.57,7,0.71,35,3.55,66,6.7,92,9.34,121,12.28,63,6.4,109,11.07,120,12.18,22015
22,16,1081,79,7.31,86,7.96,76,7.03,47,4.35,7,0.65,29,2.68,74,6.85,115,10.64,131,12.12,84,7.77,114,10.55,131,12.12,22016
22,17,1156,79,6.83,90,7.79,67,5.8,52,4.5,19,1.64,34,2.94,86,7.44,119,10.29,157,13.58,95,8.22,121,10.47,132,11.42,22017
22,18,1025,91,8.88,102,9.95,87,8.49,63,6.15,10,0.98,27,2.63,63,6.15,93,9.07,111,10.83,64,6.24,89,8.68,112,10.93,22018
22,19,10,2,20.0,2,20.0,1,10.0,1,10.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,20,1119,84,7.51,84,7.51,66,5.9,39,3.49,14,1.25,27,2.41,82,7.33,110,9.83,162,14.48,77,6.88,136,12.15,141,12.6,22020
22,22,1021,78,7.64,74,7.25,55,5.39,34,3.33,12,1.18,26,2.55,83,8.13,113,11.07,126,12.34,84,8.23,113,11.07,130,12.73,22022
22,24,1430,112,7.83,121,8.46,99,6.92,75,5.24,15,1.05,33,2.31,100,6.99,155,10.84,169,11.82,110,7.69,153,10.7,143,10.0,22024
22,25,1202,117,9.73,110,9.15,99,8.24,80,6.66,14,1.16,34,2.83,70,5.82,98,8.15,135,11.23,66,5.49,121,10.07,128,10.65,22025
23,9,586,57,9.73,52,8.87,39,6.66,28,4.78,6,1.02,14,2.39,40,6.83,57,9.73,65,11.09,40,6.83,54,9.22,75,12.8,23009
23,13,955,90,9.42,90,9.42,78,8.17,54,5.65,13,1.36,15,1.57,67,7.02,83,8.69,119,12.46,61,6.39,92,9.63,98,10.26,23013
23,15,57,5,8.77,7,12.28,6,10.53,5,8.77,1,1.75,1,1.75,4,7.02,3,5.26,7,12.28,3,5.26,5,8.77,4,7.02,23015
23,24,1004,98,9.76,94,9.36,73,7.27,61,6.08,18,1.79,28,2.79,65,6.47,88,8.76,107,10.66,65,6.47,90,8.96,107,10.66,23024
23,26,102,12,11.76,11,10.78,8,7.84,8,7.84,2,1.96,2,1.96,6,5.88,9,8.82,10,9.8,7,6.86,8,7.84,6,5.88,23026
23,34,438,41,9.36,36,8.22,27,6.16,22,5.02,6,1.37,8,1.83,33,7.53,46,10.5,52,11.87,37,8.45,40,9.13,50,11.42,23034
23,39,685,69,10.07,64,9.34,55,8.03,45,6.57,7,1.02,12,1.75,46,6.72,53,7.74,72,10.51,48,7.01,57,8.32,80,11.68,23039
24,16,394,35,8.88,24,6.09,23,5.84,17,4.31,5,1.27,5,1.27,31,7.87,43,10.91,52,13.2,41,10.41,39,9.9,52,13.2,24016
25,1,1234,101,8.18,97,7.86,97,7.86,64,5.19,11,0.89,24,1.94,90,7.29,130,10.53,144,11.67,105,8.51,123,9.97,134,10.86,25001
25,2,1552,91,5.86,95,6.12,79,5.09,53,3.41,8,0.52,23,1.48,147,9.47,193,12.44,206,13.27,174,11.21,181,11.66,193,12.44,25002
25,5,1407,79,5.61,88,6.25,84,5.97,51,3.62,5,0.36,24,1.71,148,10.52,177,12.58,182,12.94,147,10.45,164,11.66,162,11.51,25005
25,7,1446,85,5.88,85,5.88,73,5.05,56,3.87,10,0.69,18,1.24,135,9.34,194,13.42,186,12.86,151,10.44,179,12.38,172,11.89,25007
25,8,1605,102,6.36,108,6.73,109,6.79,70,4.36,11,0.69,27,1.68,145,9.03,181,11.28,205,12.77,158,9.84,184,11.46,188,11.71,25008
25,9,1429,94,6.58,108,7.56,96,6.72,62,4.34,13,0.91,28,1.96,119,8.33,161,11.27,183,12.81,124,8.68,144,10.08,156,10.92,25009
25,11,1551,97,6.25,98,6.32,95,6.13,60,3.87,11,0.71,21,1.35,132,8.51,201,12.96,201,12.96,166,10.7,177,11.41,183,11.8,25011
25,12,1331,90,6.76,88,6.61,90,6.76,58,4.36,14,1.05,18,1.35,110,8.26,162,12.17,163,12.25,141,10.59,141,10.59,155,11.65,25012
25,13,1440,106,7.36,103,7.15,101,7.01,67,4.65,9,0.63,18,1.25,106,7.36,173,12.01,184,12.78,137,9.51,159,11.04,156,10.83,25013
25,14,115,6,5.22,7,6.09,5,4.35,3,2.61,1,0.87,3,2.61,11,9.57,17,14.78,16,13.91,14,12.17,13,11.3,11,9.57,25014
25,15,1269,98,7.72,92,7.25,143,11.27,56,4.41,5,0.39,16,1.26,93,7.33,138,10.87,148,11.66,110,8.67,132,10.4,133,10.48,25015
25,17,1435,117,8.15,117,8.15,105,7.32,74,5.16,13,0.91,21,1.46,123,8.57,154,10.73,173,12.06,122,8.5,137,9.55,144,10.03,25017
25,19,1514,77,5.09,73,4.82,67,4.43,51,3.37,11,0.73,25,1.65,153,10.11,202,13.34,206,13.61,160,10.57,194,12.81,186,12.29,25019
25,22,1418,81,5.71,95,6.7,72,5.08,52,3.67,17,1.2,16,1.13,127,8.96,178,12.55,195,13.75,144,10.16,163,11.5,182,12.83,25022
25,23,1713,119,6.95,129,7.53,106,6.19,81,4.73,16,0.93,26,1.52,122,7.12,195,11.38,221,12.9,165,9.63,180,10.51,208,12.14,25023
25,24,1425,90,6.32,95,6.67,89,6.25,60,4.21,11,0.77,16,1.12,125,8.77,172,12.07,195,13.68,140,9.82,156,10.95,159,11.16,25024
25,26,1415,98,6.93,95,6.71,91,6.43,58,4.1,11,0.78,23,1.63,114,8.06,173,12.23,178,12.58,125,8.83,157,11.1,178,12.58,25026
25,27,89,5,5.62,7,7.87,6,6.74,5,5.62,1,1.12,0,0.0,9,10.11,9,10.11,13,14.61,10,11.24,8,8.99,12,13.48,25027
25,28,1526,72,4.72,85,5.57,83,5.44,49,3.21,12,0.79,15,0.98,132,8.65,206,13.5,218,14.29,175,11.47,187,12.25,192,12.58,25028
25,30,1358,71,5.23,71,5.23,86,6.33,47,3.46,10,0.74,16,1.18,123,9.06,178,13.11,195,14.36,144,10.6,168,12.37,167,12.3,25030
25,32,1068,71,6.65,69,6.46,85,7.96,45,4.21,11,1.03,17,1.59,97,9.08,121,11.33,128,11.99,105,9.83,110,10.3,127,11.89,25032
26,1,645,45,6.98,48,7.44,28,4.34,26,4.03,1,0.16,5,0.78,77,11.94,90,13.95,75,11.63,78,12.09,62,9.61,63,9.77,26001
26,2,895,68,7.6,86,9.61,68,7.6,51,5.7,10,1.12,10,1.12,75,8.38,90,10.06,96,10.73,82,9.16,80,8.94,87,9.72,26002
26,5,1148,86,7.49,98,8.54,70,6.1,61,5.31,7,0.61,15,1.31,97,8.45,140,12.2,124,10.8,120,10.45,94,8.19,135,11.76,26005
26,6,863,56,6.49,81,9.39,53,6.14,33,3.82,15,1.74,19,2.2,75,8.69,95,11.01,92,10.66,77,8.92,68,7.88,102,11.82,26006
26,7,1067,50,4.69,50,4.69,39,3.66,32,3.0,7,0.66,8,0.75,157,14.71,158,14.81,136,12.75,139,13.03,111,10.4,117,10.97,26007
26,8,536,43,8.02,62,11.57,40,7.46,27,5.04,6,1.12,12,2.24,39,7.28,54,10.07,64,11.94,39,7.28,43,8.02,56,10.45,26008
26,9,890,72,8.09,87,9.78,64,7.19,54,6.07,5,0.56,19,2.13,67,7.53,83,9.33,97,10.9,76,8.54,78,8.76,94,10.56,26009
26,10,273,16,5.86,17,6.23,15,5.49,15,5.49,3,1.1,6,2.2,32,11.72,36,13.19,32,11.72,31,11.36,25,9.16,27,9.89,26010
26,11,946,78,8.25,90,9.51,64,6.77,42,4.44,8,0.85,15,1.59,85,8.99,109,11.52,106,11.21,87,9.2,73,7.72,104,10.99,26011
26,12,1155,67,5.8,90,7.79,58,5.02,54,4.68,12,1.04,13,1.13,119,10.3,146,12.64,146,12.64,121,10.48,103,8.92,135,11.69,26012
26,13,604,63,10.43,78,12.91,44,7.28,39,6.46,5,0.83,12,1.99,34,5.63,52,8.61,64,10.6,39,6.46,39,6.46,63,10.43,26013
26,14,812,62,7.64,64,7.88,43,5.3,35,4.31,7,0.86,13,1.6,60,7.39,95,11.7,112,13.79,84,10.34,79,9.73,87,10.71,26014
26,15,526,52,9.89,68,12.93,35,6.65,36,6.84,10,1.9,16,3.04,33,6.27,48,9.13,56,10.65,20,3.8,35,6.65,50,9.51,26015
26,16,537,54,10.06,58,10.8,37,6.89,35,6.52,8,1.49,13,2.42,34,6.33,45,8.38,55,10.24,36,6.7,45,8.38,59,10.99,26016
26,18,803,67,8.34,88,10.96,52,6.48,40,4.98,5,0.62,11,1.37,70,8.72,89,11.08,89,11.08,72,8.97,65,8.09,69,8.59,26018
26,20,958,72,7.52,80,8.35,52,5.43,52,5.43,11,1.15,16,1.67,87,9.08,116,12.11,107,11.17,107,11.17,89,9.29,89,9.29,26020
26,22,574,40,6.97,54,9.41,33,5.75,27,4.7,9,1.57,7,1.22,57,9.93,70,12.2,72,12.54,39,6.79,41,7.14,73,12.72,26022
26,23,650,51,7.85,65,10.0,31,4.77,33,5.08,7,1.08,12,1.85,57,8.77,68,10.46,85,13.08,53,8.15,53,8.15,74,11.38,26023
26,24,814,61,7.49,79,9.71,43,5.28,41,5.04,8,0.98,21,2.58,74,9.09,85,10.44,96,11.79,72,8.85,60,7.37,85,10.44,26024
26,25,879,70,7.96,89,10.13,48,5.46,52,5.92,12,1.37,14,1.59,76,8.65,95,10.81,97,11.04,86,9.78,67,7.62,90,10.24,26025
26,26,713,47,6.59,51,7.15,41,5.75,38,5.33,5,0.7,2,0.28,69,9.68,95,13.32,82,11.5,84,11.78,70,9.82,70,9.82,26026
26,27,822,63,7.66,81,9.85,48,5.84,46,5.6,8,0.97,8,0.97,69,8.39,92,11.19,94,11.44,84,10.22,71,8.64,88,10.71,26027
26,29,600,48,8.0,47,7.83,35,5.83,30,5.0,7,1.17,12,2.0,52,8.67,64,10.67,71,11.83,56,9.33,56,9.33,66,11.0,26029
26,30,832,62,7.45,77,9.25,46,5.53,45,5.41,9,1.08,10,1.2,72,8.65,104,12.5,94,11.3,88,10.58,70,8.41,85,10.22,26030
26,31,482,39,8.09,41,8.51,30,6.22,28,5.81,4,0.83,7,1.45,43,8.92,55,11.41,55,11.41,42,8.71,45,9.34,52,10.79,26031
26,33,263,20,7.6,23,8.75,13,4.94,14,5.32,0,0.0,1,0.38,24,9.13,35,13.31,30,11.41,29,11.03,26,9.89,29,11.03,26033
26,34,1255,79,6.29,97,7.73,58,4.62,58,4.62,15,1.2,21,1.67,153,12.19,159,12.67,148,11.79,134,10.68,110,8.76,134,10.68,26034
26,35,840,45,5.36,86,10.24,37,4.4,29,3.45,9,1.07,11,1.31,81,9.64,104,12.38,107,12.74,92,10.95,80,9.52,93,11.07,26035
26,36,222,11,4.95,13,5.86,11,4.95,10,4.5,1,0.45,2,0.9,26,11.71,31,13.96,25,11.26,29,13.06,20,9.01,30,13.51,26036
26,37,1136,82,7.22,95,8.36,63,5.55,48,4.23,4,0.35,7,0.62,123,10.83,147,12.94,133,11.71,131,11.53,104,9.15,105,9.24,26037
26,38,411,37,9.0,49,11.92,30,7.3,25,6.08,6,1.46,7,1.7,29,7.06,39,9.49,38,9.25,30,7.3,25,6.08,46,11.19,26038
26,39,522,37,7.09,45,8.62,24,4.6,22,4.21,7,1.34,10,1.92,48,9.2,70,13.41,50,9.58,63,12.07,46,8.81,59,11.3,26039
26,40,612,43,7.03,52,8.5,32,5.23,31,5.07,6,0.98,8,1.31,69,11.27,67,10.95,68,11.11,54,8.82,62,10.13,63,10.29,26040
26,41,1072,81,7.56,95,8.86,69,6.44,62,5.78,10,0.93,13,1.21,96,8.96,127,11.85,113,10.54,116,10.82,83,7.74,105,9.79,26041
26,42,745,37,4.97,51,6.85,23,3.09,27,3.62,8,1.07,10,1.34,85,11.41,108,14.5,95,12.75,94,12.62,71,9.53,90,12.08,26042
