ward,precinct,total,Anna Loftus,Anna Loftus Percent,Edward J. Underhill,Edward J. Underhill Percent,Carlos Claudio,Carlos Claudio Percent,precinct_id
35,2,314,135,42.99,71,22.61,108,34.39,35002
35,3,296,110,37.16,53,17.91,133,44.93,35003
35,4,269,117,43.49,50,18.59,102,37.92,35004
35,5,263,100,38.02,53,20.15,110,41.83,35005
35,6,254,120,47.24,40,15.75,94,37.01,35006
35,7,305,135,44.26,40,13.11,130,42.62,35007
35,8,312,113,36.22,53,16.99,146,46.79,35008
35,10,378,186,49.21,84,22.22,108,28.57,35010
35,11,283,121,42.76,48,16.96,114,40.28,35011
35,12,197,48,24.37,17,8.63,132,67.01,35012
35,13,200,53,26.5,23,11.5,124,62.0,35013
35,14,250,50,20.0,34,13.6,166,66.4,35014
35,15,331,88,26.59,116,35.05,127,38.37,35015
35,16,198,32,16.16,20,10.1,146,73.74,35016
35,17,257,132,51.36,47,18.29,78,30.35,35017
35,18,256,53,20.7,29,11.33,174,67.97,35018
35,19,180,44,24.44,20,11.11,116,64.44,35019
35,20,254,109,42.91,41,16.14,104,40.94,35020
35,21,277,91,32.85,51,18.41,135,48.74,35021
35,23,169,58,34.32,36,21.3,75,44.38,35023
35,24,275,110,40.0,53,19.27,112,40.73,35024
35,25,311,182,58.52,60,19.29,69,22.19,35025
35,26,234,102,43.59,47,20.09,85,36.32,35026
35,27,259,108,41.7,52,20.08,99,38.22,35027
35,28,256,93,36.33,80,31.25,83,32.42,35028
36,6,185,41,22.16,25,13.51,119,64.32,36006
36,8,232,45,19.4,27,11.64,160,68.97,36008
36,9,229,57,24.89,29,12.66,143,62.45,36009
36,11,195,35,17.95,27,13.85,133,68.21,36011
36,12,184,25,13.59,21,11.41,138,75.0,36012
36,13,183,35,19.13,21,11.48,127,69.4,36013
36,21,199,47,23.62,36,18.09,116,58.29,36021
36,22,204,32,15.69,12,5.88,160,78.43,36022
36,23,199,39,19.6,26,13.07,134,67.34,36023
36,25,273,50,18.32,22,8.06,201,73.63,36025
37,2,164,66,40.24,47,28.66,51,31.1,37002
37,10,266,100,37.59,83,31.2,83,31.2,37010
37,12,210,100,47.62,46,21.9,64,30.48,37012
37,16,137,67,48.91,49,35.77,21,15.33,37016
37,22,206,81,39.32,55,26.7,70,33.98,37022
37,26,43,25,58.14,6,13.95,12,27.91,37026
37,41,55,24,43.64,16,29.09,15,27.27,37041
40,8,372,247,66.4,75,20.16,50,13.44,40008
40,38,154,114,74.03,25,16.23,15,9.74,40038
47,9,125,83,66.4,24,19.2,18,14.4,47009
47,13,72,48,66.67,11,15.28,13,18.06,47013
47,40,154,117,75.97,23,14.94,14,9.09,47040
47,42,189,150,79.37,20,10.58,19,10.05,47042
