ward,precinct,total,Gregory Raymond LaPapa,Gregory Raymond LaPapa Percent,Sean S. Chaudhuri,Sean S. Chaudhuri Percent,Mark A. Lyon,Mark A. Lyon Percent,Carolyn J. Gallagher,Carolyn J. Gallagher Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,precinct_id
3,15,311,35,11.25,26,8.36,62,19.94,116,37.3,72,23.15,03015
3,16,323,38,11.76,36,11.15,69,21.36,125,38.7,55,17.03,03016
3,17,289,26,9.0,50,17.3,52,17.99,116,40.14,45,15.57,03017
3,18,476,51,10.71,61,12.82,96,20.17,167,35.08,101,21.22,03018
3,19,245,7,2.86,44,17.96,64,26.12,82,33.47,48,19.59,03019
3,20,352,30,8.52,40,11.36,79,22.44,120,34.09,83,23.58,03020
3,21,253,22,8.7,32,12.65,43,17.0,106,41.9,50,19.76,03021
3,22,298,33,11.07,55,18.46,57,19.13,111,37.25,42,14.09,03022
3,23,302,42,13.91,29,9.6,68,22.52,106,35.1,57,18.87,03023
3,24,281,31,11.03,29,10.32,58,20.64,109,38.79,54,19.22,03024
3,25,302,19,6.29,45,14.9,71,23.51,115,38.08,52,17.22,03025
3,26,319,17,5.33,45,14.11,96,30.09,81,25.39,80,25.08,03026
3,27,240,15,6.25,38,15.83,49,20.42,99,41.25,39,16.25,03027
3,28,218,29,13.3,23,10.55,41,18.81,75,34.4,50,22.94,03028
3,29,337,40,11.87,39,11.57,74,21.96,122,36.2,62,18.4,03029
3,30,294,29,9.86,37,12.59,64,21.77,106,36.05,58,19.73,03030
3,31,398,45,11.31,53,13.32,95,23.87,125,31.41,80,20.1,03031
3,32,257,18,7.0,39,15.18,64,24.9,97,37.74,39,15.18,03032
3,33,279,12,4.3,39,13.98,68,24.37,114,40.86,46,16.49,03033
3,34,297,28,9.43,37,12.46,62,20.88,113,38.05,57,19.19,03034
3,35,151,13,8.61,20,13.25,33,21.85,60,39.74,25,16.56,03035
3,36,186,20,10.75,17,9.14,45,24.19,71,38.17,33,17.74,03036
3,37,268,18,6.72,24,8.96,63,23.51,103,38.43,60,22.39,03037
3,38,281,30,10.68,33,11.74,46,16.37,117,41.64,55,19.57,03038
3,39,265,21,7.92,36,13.58,62,23.4,106,40.0,40,15.09,03039
3,40,312,33,10.58,39,12.5,49,15.71,141,45.19,50,16.03,03040
3,41,233,24,10.3,28,12.02,47,20.17,88,37.77,46,19.74,03041
4,1,375,15,4.0,93,24.8,97,25.87,120,32.0,50,13.33,04001
4,2,267,13,4.87,39,14.61,74,27.72,93,34.83,48,17.98,04002
4,3,314,24,7.64,51,16.24,69,21.97,102,32.48,68,21.66,04003
4,4,450,46,10.22,77,17.11,115,25.56,115,25.56,97,21.56,04004
4,5,327,20,6.12,60,18.35,97,29.66,95,29.05,55,16.82,04005
4,6,408,38,9.31,66,16.18,69,16.91,137,33.58,98,24.02,04006
4,7,387,37,9.56,68,17.57,94,24.29,123,31.78,65,16.8,04007
4,8,389,34,8.74,103,26.48,65,16.71,115,29.56,72,18.51,04008
4,9,402,29,7.21,76,18.91,87,21.64,125,31.09,85,21.14,04009
4,10,396,35,8.84,70,17.68,96,24.24,118,29.8,77,19.44,04010
4,11,357,42,11.76,62,17.37,70,19.61,118,33.05,65,18.21,04011
4,12,399,37,9.27,74,18.55,72,18.05,137,34.34,79,19.8,04012
4,13,223,17,7.62,22,9.87,49,21.97,94,42.15,41,18.39,04013
4,14,327,30,9.17,57,17.43,59,18.04,123,37.61,58,17.74,04014
4,15,429,37,8.62,63,14.69,93,21.68,128,29.84,108,25.17,04015
4,16,329,21,6.38,48,14.59,83,25.23,116,35.26,61,18.54,04016
4,17,321,20,6.23,43,13.4,70,21.81,127,39.56,61,19.0,04017
4,18,300,35,11.67,47,15.67,62,20.67,102,34.0,54,18.0,04018
4,19,311,37,11.9,46,14.79,71,22.83,91,29.26,66,21.22,04019
4,20,242,13,5.37,35,14.46,50,20.66,83,34.3,61,25.21,04020
4,21,322,29,9.01,46,14.29,58,18.01,117,36.34,72,22.36,04021
4,22,325,20,6.15,55,16.92,96,29.54,98,30.15,56,17.23,04022
4,23,414,18,4.35,94,22.71,103,24.88,139,33.57,60,14.49,04023
4,24,302,19,6.29,59,19.54,77,25.5,96,31.79,51,16.89,04024
4,25,275,11,4.0,49,17.82,74,26.91,92,33.45,49,17.82,04025
4,26,336,27,8.04,64,19.05,77,22.92,86,25.6,82,24.4,04026
4,27,361,26,7.2,64,17.73,80,22.16,123,34.07,68,18.84,04027
4,28,314,21,6.69,56,17.83,63,20.06,110,35.03,64,20.38,04028
4,29,332,30,9.04,49,14.76,67,20.18,113,34.04,73,21.99,04029
4,30,450,35,7.78,80,17.78,102,22.67,140,31.11,93,20.67,04030
4,31,343,25,7.29,87,25.36,58,16.91,100,29.15,73,21.28,04031
4,32,360,30,8.33,74,20.56,77,21.39,111,30.83,68,18.89,04032
4,33,356,21,5.9,77,21.63,83,23.31,111,31.18,64,17.98,04033
4,34,289,29,10.03,61,21.11,51,17.65,81,28.03,67,23.18,04034
4,35,417,35,8.39,84,20.14,98,23.5,122,29.26,78,18.71,04035
4,36,374,30,8.02,74,19.79,65,17.38,125,33.42,80,21.39,04036
4,37,304,16,5.26,42,13.82,89,29.28,92,30.26,65,21.38,04037
4,38,377,31,8.22,80,21.22,74,19.63,117,31.03,75,19.89,04038
5,1,278,34,12.23,30,10.79,58,20.86,105,37.77,51,18.35,05001
5,2,300,36,12.0,31,10.33,76,25.33,96,32.0,61,20.33,05002
5,3,306,13,4.25,79,25.82,69,22.55,102,33.33,43,14.05,05003
5,4,358,30,8.38,84,23.46,60,16.76,128,35.75,56,15.64,05004
5,5,291,37,12.71,40,13.75,48,16.49,100,34.36,66,22.68,05005
5,6,278,29,10.43,35,12.59,79,28.42,80,28.78,55,19.78,05006
5,7,315,36,11.43,57,18.1,69,21.9,98,31.11,55,17.46,05007
5,8,289,10,3.46,58,20.07,93,32.18,99,34.26,29,10.03,05008
5,9,360,30,8.33,68,18.89,80,22.22,116,32.22,66,18.33,05009
5,10,270,31,11.48,34,12.59,67,24.81,82,30.37,56,20.74,05010
5,11,298,16,5.37,54,18.12,74,24.83,114,38.26,40,13.42,05011
5,12,249,29,11.65,33,13.25,51,20.48,83,33.33,53,21.29,05012
5,13,279,28,10.04,37,13.26,55,19.71,95,34.05,64,22.94,05013
5,14,295,28,9.49,40,13.56,68,23.05,100,33.9,59,20.0,05014
5,15,297,23,7.74,45,15.15,74,24.92,105,35.35,50,16.84,05015
5,16,306,28,9.15,46,15.03,64,20.92,107,34.97,61,19.93,05016
5,17,288,30,10.42,44,15.28,70,24.31,95,32.99,49,17.01,05017
5,18,280,27,9.64,55,19.64,60,21.43,89,31.79,49,17.5,05018
5,19,272,11,4.04,36,13.24,91,33.46,99,36.4,35,12.87,05019
5,20,318,25,7.86,59,18.55,71,22.33,107,33.65,56,17.61,05020
5,21,296,26,8.78,54,18.24,80,27.03,94,31.76,42,14.19,05021
5,22,323,23,7.12,62,19.2,91,28.17,92,28.48,55,17.03,05022
5,23,464,22,4.74,84,18.1,123,26.51,159,34.27,76,16.38,05023
5,24,320,22,6.88,45,14.06,87,27.19,122,38.13,44,13.75,05024
5,25,295,33,11.19,53,17.97,63,21.36,86,29.15,60,20.34,05025
5,26,320,28,8.75,48,15.0,65,20.31,105,32.81,74,23.13,05026
5,27,223,3,1.35,42,18.83,70,31.39,82,36.77,26,11.66,05027
5,28,337,27,8.01,56,16.62,75,22.26,109,32.34,70,20.77,05028
5,29,368,35,9.51,49,13.32,83,22.55,123,33.42,78,21.2,05029
5,30,238,33,13.87,28,11.76,66,27.73,70,29.41,41,17.23,05030
5,31,274,38,13.87,39,14.23,59,21.53,77,28.1,61,22.26,05031
5,32,354,23,6.5,73,20.62,63,17.8,132,37.29,63,17.8,05032
5,33,335,36,10.75,49,14.63,76,22.69,108,32.24,66,19.7,05033
5,34,296,7,2.36,62,20.95,94,31.76,93,31.42,40,13.51,05034
5,35,308,14,4.55,70,22.73,75,24.35,112,36.36,37,12.01,05035
5,36,240,25,10.42,28,11.67,63,26.25,70,29.17,54,22.5,05036
5,37,284,9,3.17,54,19.01,66,23.24,113,39.79,42,14.79,05037
5,38,335,42,12.54,34,10.15,74,22.09,108,32.24,77,22.99,05038
5,39,230,5,2.17,51,22.17,53,23.04,87,37.83,34,14.78,05039
5,40,247,26,10.53,34,13.77,55,22.27,76,30.77,56,22.67,05040
5,41,151,11,7.28,40,26.49,36,23.84,36,23.84,28,18.54,05041
6,1,314,22,7.01,48,15.29,72,22.93,101,32.17,71,22.61,06001
6,2,308,15,4.87,57,18.51,62,20.13,100,32.47,74,24.03,06002
6,3,301,30,9.97,56,18.6,62,20.6,101,33.55,52,17.28,06003
6,4,215,18,8.37,30,13.95,45,20.93,58,26.98,64,29.77,06004
6,5,204,19,9.31,29,14.22,45,22.06,66,32.35,45,22.06,06005
6,6,278,24,8.63,63,22.66,52,18.71,79,28.42,60,21.58,06006
6,7,305,26,8.52,59,19.34,69,22.62,86,28.2,65,21.31,06007
6,8,324,34,10.49,59,18.21,76,23.46,106,32.72,49,15.12,06008
6,9,289,27,9.34,36,12.46,61,21.11,107,37.02,58,20.07,06009
6,10,221,21,9.5,28,12.67,56,25.34,64,28.96,52,23.53,06010
6,11,307,58,18.89,39,12.7,75,24.43,81,26.38,54,17.59,06011
6,12,242,23,9.5,34,14.05,62,25.62,82,33.88,41,16.94,06012
6,13,235,46,19.57,28,11.91,50,21.28,66,28.09,45,19.15,06013
6,14,265,39,14.72,28,10.57,47,17.74,97,36.6,54,20.38,06014
6,15,236,22,9.32,33,13.98,54,22.88,74,31.36,53,22.46,06015
6,16,305,22,7.21,71,23.28,57,18.69,105,34.43,50,16.39,06016
6,17,202,20,9.9,32,15.84,44,21.78,60,29.7,46,22.77,06017
6,18,183,26,14.21,24,13.11,47,25.68,54,29.51,32,17.49,06018
6,19,260,29,11.15,43,16.54,60,23.08,74,28.46,54,20.77,06019
6,20,176,17,9.66,30,17.05,48,27.27,48,27.27,33,18.75,06020
6,21,175,21,12.0,18,10.29,44,25.14,49,28.0,43,24.57,06021
6,22,187,21,11.23,22,11.76,42,22.46,65,34.76,37,19.79,06022
6,23,161,18,11.18,24,14.91,37,22.98,56,34.78,26,16.15,06023
6,24,188,23,12.23,29,15.43,51,27.13,52,27.66,33,17.55,06024
6,25,180,16,8.89,29,16.11,42,23.33,53,29.44,40,22.22,06025
6,26,243,30,12.35,23,9.47,57,23.46,82,33.74,51,20.99,06026
6,27,186,21,11.29,35,18.82,38,20.43,63,33.87,29,15.59,06027
6,28,143,20,13.99,15,10.49,32,22.38,44,30.77,32,22.38,06028
6,29,294,17,5.78,68,23.13,78,26.53,77,26.19,54,18.37,06029
6,30,249,24,9.64,38,15.26,51,20.48,85,34.14,51,20.48,06030
6,31,293,38,12.97,59,20.14,68,23.21,69,23.55,59,20.14,06031
6,32,263,24,9.13,53,20.15,61,23.19,74,28.14,51,19.39,06032
6,33,292,32,10.96,41,14.04,75,25.68,88,30.14,56,19.18,06033
6,34,307,35,11.4,65,21.17,50,16.29,98,31.92,59,19.22,06034
6,35,278,22,7.91,48,17.27,74,26.62,84,30.22,50,17.99,06035
6,36,330,36,10.91,67,20.3,66,20.0,100,30.3,61,18.48,06036
6,37,302,23,7.62,57,18.87,71,23.51,94,31.13,57,18.87,06037
6,38,309,36,11.65,53,17.15,64,20.71,84,27.18,72,23.3,06038
6,39,274,37,13.5,43,15.69,55,20.07,89,32.48,50,18.25,06039
6,40,257,20,7.78,50,19.46,58,22.57,96,37.35,33,12.84,06040
6,41,323,23,7.12,40,12.38,72,22.29,106,32.82,82,25.39,06041
6,42,307,22,7.17,55,17.92,75,24.43,93,30.29,62,20.2,06042
6,43,241,16,6.64,38,15.77,60,24.9,74,30.71,53,21.99,06043
6,44,282,27,9.57,40,14.18,68,24.11,75,26.6,72,25.53,06044
6,45,323,30,9.29,63,19.5,72,22.29,101,31.27,57,17.65,06045
6,46,198,26,13.13,34,17.17,34,17.17,57,28.79,47,23.74,06046
6,47,228,30,13.16,25,10.96,38,16.67,64,28.07,71,31.14,06047
6,48,297,23,7.74,50,16.84,76,25.59,91,30.64,57,19.19,06048
7,1,263,33,12.55,28,10.65,70,26.62,70,26.62,62,23.57,07001
7,2,263,28,10.65,57,21.67,61,23.19,77,29.28,40,15.21,07002
7,3,266,37,13.91,38,14.29,63,23.68,80,30.08,48,18.05,07003
7,4,292,27,9.25,50,17.12,69,23.63,86,29.45,60,20.55,07004
7,5,202,22,10.89,38,18.81,48,23.76,53,26.24,41,20.3,07005
7,6,331,48,14.5,62,18.73,60,18.13,88,26.59,73,22.05,07006
7,7,243,30,12.35,33,13.58,51,20.99,76,31.28,53,21.81,07007
7,8,209,42,20.1,35,16.75,42,20.1,56,26.79,34,16.27,07008
7,9,406,55,13.55,78,19.21,79,19.46,109,26.85,85,20.94,07009
7,10,314,43,13.69,46,14.65,66,21.02,95,30.25,64,20.38,07010
7,11,321,44,13.71,40,12.46,74,23.05,101,31.46,62,19.31,07011
7,12,246,34,13.82,31,12.6,51,20.73,71,28.86,59,23.98,07012
7,13,154,28,18.18,20,12.99,45,29.22,31,20.13,30,19.48,07013
7,14,286,54,18.88,37,12.94,63,22.03,69,24.13,63,22.03,07014
7,15,279,26,9.32,63,22.58,63,22.58,73,26.16,54,19.35,07015
7,16,248,25,10.08,22,8.87,55,22.18,74,29.84,72,29.03,07016
7,17,238,40,16.81,29,12.18,53,22.27,71,29.83,45,18.91,07017
7,18,215,33,15.35,23,10.7,46,21.4,71,33.02,42,19.53,07018
7,19,276,33,11.96,29,10.51,75,27.17,78,28.26,61,22.1,07019
7,20,196,32,16.33,27,13.78,44,22.45,57,29.08,36,18.37,07020
7,21,199,52,26.13,29,14.57,35,17.59,46,23.12,37,18.59,07021
7,22,217,51,23.5,19,8.76,42,19.35,61,28.11,44,20.28,07022
7,23,293,38,12.97,39,13.31,77,26.28,84,28.67,55,18.77,07023
7,24,241,42,17.43,24,9.96,52,21.58,74,30.71,49,20.33,07024
7,25,258,67,25.97,21,8.14,53,20.54,64,24.81,53,20.54,07025
7,26,247,13,5.26,39,15.79,53,21.46,82,33.2,60,24.29,07026
7,27,236,34,14.41,42,17.8,50,21.19,62,26.27,48,20.34,07027
7,28,191,37,19.37,20,10.47,36,18.85,58,30.37,40,20.94,07028
7,29,243,20,8.23,48,19.75,44,18.11,85,34.98,46,18.93,07029
7,30,207,39,18.84,20,9.66,43,20.77,66,31.88,39,18.84,07030
7,31,170,24,14.12,12,7.06,43,25.29,60,35.29,31,18.24,07031
7,32,396,35,8.84,81,20.45,74,18.69,127,32.07,79,19.95,07032
7,33,360,36,10.0,76,21.11,85,23.61,87,24.17,76,21.11,07033
7,34,321,41,12.77,52,16.2,67,20.87,92,28.66,69,21.5,07034
7,35,253,31,12.25,38,15.02,61,24.11,72,28.46,51,20.16,07035
7,36,355,27,7.61,72,20.28,74,20.85,111,31.27,71,20.0,07036
7,37,305,25,8.2,41,13.44,76,24.92,110,36.07,53,17.38,07037
7,38,248,29,11.69,25,10.08,69,27.82,75,30.24,50,20.16,07038
7,39,259,31,11.97,35,13.51,50,19.31,97,37.45,46,17.76,07039
7,40,250,41,16.4,31,12.4,47,18.8,79,31.6,52,20.8,07040
7,41,271,34,12.55,30,11.07,64,23.62,92,33.95,51,18.82,07041
7,42,262,26,9.92,32,12.21,83,31.68,69,26.34,52,19.85,07042
7,43,235,26,11.06,31,13.19,49,20.85,82,34.89,47,20.0,07043
7,44,265,23,8.68,29,10.94,61,23.02,91,34.34,61,23.02,07044
7,45,280,46,16.43,29,10.36,60,21.43,77,27.5,68,24.29,07045
7,46,114,28,24.56,12,10.53,11,9.65,39,34.21,24,21.05,07046
8,1,220,29,13.18,36,16.36,51,23.18,68,30.91,36,16.36,08001
8,2,320,34,10.63,68,21.25,75,23.44,87,27.19,56,17.5,08002
8,3,328,30,9.15,95,28.96,78,23.78,81,24.7,44,13.41,08003
8,4,336,30,8.93,111,33.04,43,12.8,89,26.49,63,18.75,08004
8,5,321,25,7.79,74,23.05,75,23.36,92,28.66,55,17.13,08005
8,6,327,27,8.26,104,31.8,50,15.29,89,27.22,57,17.43,08006
8,7,343,35,10.2,89,25.95,75,21.87,87,25.36,57,16.62,08007
8,8,290,24,8.28,78,26.9,50,17.24,82,28.28,56,19.31,08008
8,9,209,11,5.26,55,26.32,41,19.62,62,29.67,40,19.14,08009
8,10,372,36,9.68,86,23.12,83,22.31,98,26.34,69,18.55,08010
8,11,272,26,9.56,92,33.82,53,19.49,56,20.59,45,16.54,08011
8,12,270,14,5.19,73,27.04,63,23.33,76,28.15,44,16.3,08012
8,13,335,33,9.85,42,12.54,79,23.58,114,34.03,67,20.0,08013
8,14,252,24,9.52,58,23.02,49,19.44,77,30.56,44,17.46,08014
8,15,277,30,10.83,80,28.88,52,18.77,64,23.1,51,18.41,08015
8,16,123,20,16.26,11,8.94,34,27.64,34,27.64,24,19.51,08016
8,17,260,23,8.85,84,32.31,46,17.69,56,21.54,51,19.62,08017
8,18,286,29,10.14,78,27.27,46,16.08,82,28.67,51,17.83,08018
8,19,363,33,9.09,77,21.21,72,19.83,96,26.45,85,23.42,08019
8,20,339,34,10.03,94,27.73,60,17.7,94,27.73,57,16.81,08020
8,21,367,29,7.9,115,31.34,73,19.89,99,26.98,51,13.9,08021
8,22,270,31,11.48,51,18.89,54,20.0,84,31.11,50,18.52,08022
8,23,245,21,8.57,52,21.22,46,18.78,78,31.84,48,19.59,08023
8,24,179,12,6.7,54,30.17,36,20.11,46,25.7,31,17.32,08024
8,25,289,39,13.49,64,22.15,62,21.45,78,26.99,46,15.92,08025
8,26,292,28,9.59,54,18.49,72,24.66,85,29.11,53,18.15,08026
8,27,333,25,7.51,100,30.03,74,22.22,77,23.12,57,17.12,08027
8,28,308,26,8.44,60,19.48,61,19.81,92,29.87,69,22.4,08028
8,29,365,37,10.14,106,29.04,77,21.1,93,25.48,52,14.25,08029
8,30,314,35,11.15,52,16.56,65,20.7,102,32.48,60,19.11,08030
8,31,240,26,10.83,50,20.83,52,21.67,65,27.08,47,19.58,08031
8,32,229,17,7.42,40,17.47,45,19.65,66,28.82,61,26.64,08032
8,33,283,28,9.89,39,13.78,63,22.26,96,33.92,57,20.14,08033
8,34,273,28,10.26,46,16.85,65,23.81,86,31.5,48,17.58,08034
8,35,305,32,10.49,62,20.33,69,22.62,86,28.2,56,18.36,08035
8,36,313,21,6.71,70,22.36,79,25.24,82,26.2,61,19.49,08036
8,37,263,30,11.41,68,25.86,64,24.33,62,23.57,39,14.83,08037
8,38,194,22,11.34,46,23.71,35,18.04,57,29.38,34,17.53,08038
8,39,297,24,8.08,62,20.88,64,21.55,93,31.31,54,18.18,08039
8,40,236,24,10.17,59,25.0,53,22.46,59,25.0,41,17.37,08040
8,41,286,25,8.74,68,23.78,67,23.43,76,26.57,50,17.48,08041
8,42,370,31,8.38,81,21.89,84,22.7,108,29.19,66,17.84,08042
8,43,143,11,7.69,27,18.88,24,16.78,41,28.67,40,27.97,08043
8,44,212,14,6.6,51,24.06,41,19.34,73,34.43,33,15.57,08044
8,45,300,37,12.33,35,11.67,67,22.33,107,35.67,54,18.0,08045
8,46,224,22,9.82,45,20.09,60,26.79,57,25.45,40,17.86,08046
