ward,precinct,total,Kevin McDevitt,Kevin McDevitt Percent,Barbara McGowan,Barbara McGowan Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Josina Morita,Josina Morita Percent,R. Cary Capparelli,R. Cary Capparelli Percent,Joseph Daniel Cook,Joseph Daniel Cook Percent,precinct_id
1,33,586,66,11.26,128,21.84,153,26.11,128,21.84,34,5.8,77,13.14,01033
1,34,535,61,11.4,105,19.63,127,23.74,128,23.93,37,6.92,77,14.39,01034
1,35,706,82,11.61,153,21.67,154,21.81,157,22.24,68,9.63,92,13.03,01035
1,36,535,56,10.47,121,22.62,142,26.54,116,21.68,47,8.79,53,9.91,01036
1,37,602,81,13.46,131,21.76,143,23.75,130,21.59,50,8.31,67,11.13,01037
1,38,571,71,12.43,119,20.84,133,23.29,135,23.64,50,8.76,63,11.03,01038
1,39,479,52,10.86,95,19.83,109,22.76,126,26.3,30,6.26,67,13.99,01039
1,40,569,82,14.41,131,23.02,118,20.74,121,21.27,35,6.15,82,14.41,01040
1,41,434,49,11.29,94,21.66,113,26.04,105,24.19,21,4.84,52,11.98,01041
1,42,202,23,11.39,29,14.36,54,26.73,46,22.77,20,9.9,30,14.85,01042
1,43,478,45,9.41,95,19.87,124,25.94,113,23.64,35,7.32,66,13.81,01043
1,44,580,54,9.31,131,22.59,150,25.86,140,24.14,46,7.93,59,10.17,01044
2,1,542,49,9.04,122,22.51,137,25.28,136,25.09,43,7.93,55,10.15,02001
2,2,356,35,9.83,71,19.94,96,26.97,79,22.19,38,10.67,37,10.39,02002
2,3,592,62,10.47,124,20.95,145,24.49,135,22.8,56,9.46,70,11.82,02003
2,4,471,49,10.4,102,21.66,119,25.27,117,24.84,37,7.86,47,9.98,02004
2,5,601,53,8.82,139,23.13,150,24.96,152,25.29,51,8.49,56,9.32,02005
2,6,678,80,11.8,164,24.19,160,23.6,143,21.09,61,9.0,70,10.32,02006
2,7,485,66,13.61,114,23.51,112,23.09,102,21.03,41,8.45,50,10.31,02007
2,8,569,48,8.44,124,21.79,152,26.71,127,22.32,53,9.31,65,11.42,02008
2,9,340,54,15.88,76,22.35,83,24.41,53,15.59,29,8.53,45,13.24,02009
2,10,409,43,10.51,94,22.98,95,23.23,96,23.47,44,10.76,37,9.05,02010
2,11,415,38,9.16,83,20.0,105,25.3,93,22.41,51,12.29,45,10.84,02011
2,12,578,71,12.28,134,23.18,131,22.66,106,18.34,58,10.03,78,13.49,02012
2,13,550,50,9.09,114,20.73,143,26.0,130,23.64,76,13.82,37,6.73,02013
2,14,641,69,10.76,140,21.84,170,26.52,143,22.31,58,9.05,61,9.52,02014
2,15,553,48,8.68,120,21.7,148,26.76,125,22.6,52,9.4,60,10.85,02015
2,16,496,65,13.1,90,18.15,117,23.59,112,22.58,43,8.67,69,13.91,02016
2,17,706,61,8.64,153,21.67,204,28.9,169,23.94,57,8.07,62,8.78,02017
2,18,533,53,9.94,127,23.83,125,23.45,114,21.39,55,10.32,59,11.07,02018
2,19,350,23,6.57,71,20.29,95,27.14,88,25.14,46,13.14,27,7.71,02019
2,20,456,57,12.5,103,22.59,125,27.41,98,21.49,39,8.55,34,7.46,02020
2,21,614,65,10.59,142,23.13,154,25.08,143,23.29,53,8.63,57,9.28,02021
2,22,472,36,7.63,106,22.46,128,27.12,112,23.73,48,10.17,42,8.9,02022
2,23,332,35,10.54,73,21.99,88,26.51,73,21.99,41,12.35,22,6.63,02023
2,24,445,46,10.34,93,20.9,112,25.17,97,21.8,46,10.34,51,11.46,02024
2,25,554,53,9.57,118,21.3,135,24.37,129,23.29,53,9.57,66,11.91,02025
2,26,413,47,11.38,90,21.79,86,20.82,94,22.76,33,7.99,63,15.25,02026
2,27,404,44,10.89,82,20.3,100,24.75,86,21.29,57,14.11,35,8.66,02027
2,28,501,52,10.38,113,22.55,125,24.95,114,22.75,44,8.78,53,10.58,02028
2,29,455,60,13.19,88,19.34,117,25.71,85,18.68,51,11.21,54,11.87,02029
2,30,444,57,12.84,100,22.52,107,24.1,90,20.27,41,9.23,49,11.04,02030
2,31,588,59,10.03,127,21.6,156,26.53,122,20.75,60,10.2,64,10.88,02031
2,32,381,44,11.55,91,23.88,94,24.67,79,20.73,28,7.35,45,11.81,02032
2,33,755,77,10.2,176,23.31,194,25.7,168,22.25,87,11.52,53,7.02,02033
2,34,437,45,10.3,83,18.99,123,28.15,94,21.51,51,11.67,41,9.38,02034
2,35,436,45,10.32,96,22.02,109,25.0,90,20.64,46,10.55,50,11.47,02035
2,36,376,47,12.5,77,20.48,105,27.93,81,21.54,34,9.04,32,8.51,02036
2,37,544,61,11.21,121,22.24,146,26.84,118,21.69,46,8.46,52,9.56,02037
2,38,435,47,10.8,104,23.91,114,26.21,89,20.46,40,9.2,41,9.43,02038
2,39,310,56,18.06,69,22.26,61,19.68,54,17.42,33,10.65,37,11.94,02039
2,40,398,46,11.56,95,23.87,86,21.61,79,19.85,35,8.79,57,14.32,02040
2,41,330,47,14.24,72,21.82,73,22.12,67,20.3,27,8.18,44,13.33,02041
2,42,445,53,11.91,107,24.04,103,23.15,96,21.57,42,9.44,44,9.89,02042
2,43,559,57,10.2,117,20.93,154,27.55,129,23.08,56,10.02,46,8.23,02043
2,44,287,29,10.1,58,20.21,81,28.22,69,24.04,25,8.71,25,8.71,02044
2,45,595,87,14.62,140,23.53,128,21.51,112,18.82,48,8.07,80,13.45,02045
2,46,266,28,10.53,61,22.93,65,24.44,53,19.92,33,12.41,26,9.77,02046
3,1,927,163,17.58,280,30.2,151,16.29,128,13.81,47,5.07,158,17.04,03001
3,2,1058,168,15.88,335,31.66,167,15.78,155,14.65,51,4.82,182,17.2,03002
3,3,571,106,18.56,151,26.44,98,17.16,84,14.71,38,6.65,94,16.46,03003
3,4,886,120,13.54,279,31.49,159,17.95,146,16.48,39,4.4,143,16.14,03004
3,5,562,117,20.82,162,28.83,66,11.74,70,12.46,24,4.27,123,21.89,03005
3,6,632,77,12.18,154,24.37,167,26.42,119,18.83,48,7.59,67,10.6,03006
3,7,644,92,14.29,215,33.39,130,20.19,107,16.61,21,3.26,79,12.27,03007
3,8,736,141,19.16,226,30.71,111,15.08,86,11.68,30,4.08,142,19.29,03008
3,9,796,134,16.83,239,30.03,129,16.21,124,15.58,33,4.15,137,17.21,03009
3,10,394,71,18.02,116,29.44,65,16.5,51,12.94,15,3.81,76,19.29,03010
3,11,830,138,16.63,256,30.84,139,16.75,108,13.01,32,3.86,157,18.92,03011
3,12,896,149,16.63,264,29.46,148,16.52,141,15.74,34,3.79,160,17.86,03012
3,13,743,102,13.73,179,24.09,172,23.15,146,19.65,55,7.4,89,11.98,03013
3,14,691,96,13.89,184,26.63,156,22.58,128,18.52,52,7.53,75,10.85,03014
3,15,750,139,18.53,224,29.87,109,14.53,86,11.47,32,4.27,160,21.33,03015
3,16,755,135,17.88,234,30.99,116,15.36,91,12.05,34,4.5,145,19.21,03016
3,17,700,100,14.29,181,25.86,142,20.29,132,18.86,41,5.86,104,14.86,03017
3,18,1145,188,16.42,336,29.34,186,16.24,168,14.67,44,3.84,223,19.48,03018
3,19,647,83,12.83,156,24.11,160,24.73,130,20.09,46,7.11,72,11.13,03019
3,20,834,154,18.47,259,31.06,116,13.91,104,12.47,43,5.16,158,18.94,03020
3,21,674,86,12.76,181,26.85,136,20.18,120,17.8,61,9.05,90,13.35,03021
3,22,751,84,11.19,176,23.44,198,26.36,157,20.91,57,7.59,79,10.52,03022
3,23,687,128,18.63,221,32.17,104,15.14,77,11.21,31,4.51,126,18.34,03023
3,24,686,138,20.12,205,29.88,113,16.47,88,12.83,36,5.25,106,15.45,03024
3,25,855,93,10.88,222,25.96,206,24.09,189,22.11,63,7.37,82,9.59,03025
3,26,848,87,10.26,198,23.35,211,24.88,200,23.58,71,8.37,81,9.55,03026
3,27,626,73,11.66,153,24.44,158,25.24,132,21.09,34,5.43,76,12.14,03027
3,28,566,106,18.73,168,29.68,86,15.19,77,13.6,28,4.95,101,17.84,03028
3,29,740,145,19.59,211,28.51,115,15.54,99,13.38,37,5.0,133,17.97,03029
3,30,727,106,14.58,215,29.57,121,16.64,116,15.96,31,4.26,138,18.98,03030
3,31,984,169,17.17,302,30.69,139,14.13,146,14.84,33,3.35,195,19.82,03031
3,32,685,81,11.82,165,24.09,155,22.63,142,20.73,65,9.49,77,11.24,03032
3,33,712,84,11.8,167,23.46,176,24.72,156,21.91,53,7.44,76,10.67,03033
3,34,808,113,13.99,213,26.36,173,21.41,146,18.07,54,6.68,109,13.49,03034
3,35,364,53,14.56,122,33.52,59,16.21,45,12.36,14,3.85,71,19.51,03035
3,36,440,82,18.64,125,28.41,62,14.09,54,12.27,33,7.5,84,19.09,03036
3,37,632,115,18.2,208,32.91,91,14.4,83,13.13,19,3.01,116,18.35,03037
3,38,650,128,19.69,197,30.31,96,14.77,80,12.31,28,4.31,121,18.62,03038
3,39,706,76,10.76,152,21.53,170,24.08,154,21.81,64,9.07,90,12.75,03039
3,40,791,136,17.19,213,26.93,144,18.2,127,16.06,40,5.06,131,16.56,03040
3,41,663,94,14.18,190,28.66,115,17.35,133,20.06,40,6.03,91,13.73,03041
4,1,1013,95,9.38,278,27.44,259,25.57,239,23.59,56,5.53,86,8.49,04001
4,2,742,78,10.51,171,23.05,185,24.93,170,22.91,68,9.16,70,9.43,04002
4,3,759,127,16.73,238,31.36,112,14.76,116,15.28,29,3.82,137,18.05,04003
4,4,1097,183,16.68,315,28.71,178,16.23,172,15.68,46,4.19,203,18.51,04004
4,5,801,108,13.48,234,29.21,143,17.85,147,18.35,39,4.87,130,16.23,04005
4,6,1045,183,17.51,304,29.09,177,16.94,165,15.79,46,4.4,170,16.27,04006
4,7,1007,164,16.29,296,29.39,166,16.48,156,15.49,47,4.67,178,17.68,04007
4,8,1035,149,14.4,312,30.14,186,17.97,182,17.58,45,4.35,161,15.56,04008
4,9,1060,152,14.34,322,30.38,184,17.36,179,16.89,36,3.4,187,17.64,04009
4,10,1036,144,13.9,307,29.63,180,17.37,177,17.08,54,5.21,174,16.8,04010
4,11,855,137,16.02,263,30.76,129,15.09,134,15.67,31,3.63,161,18.83,04011
4,12,995,164,16.48,285,28.64,174,17.49,160,16.08,44,4.42,168,16.88,04012
4,13,544,47,8.64,126,23.16,140,25.74,134,24.63,45,8.27,52,9.56,04013
4,14,873,135,15.46,253,28.98,148,16.95,142,16.27,36,4.12,159,18.21,04014
4,15,1052,168,15.97,313,29.75,165,15.68,173,16.44,41,3.9,192,18.25,04015
4,16,856,84,9.81,198,23.13,218,25.47,198,23.13,78,9.11,80,9.35,04016
4,17,744,56,7.53,179,24.06,201,27.02,194,26.08,55,7.39,59,7.93,04017
4,18,733,143,19.51,215,29.33,115,15.69,90,12.28,31,4.23,139,18.96,04018
4,19,731,123,16.83,234,32.01,108,14.77,100,13.68,34,4.65,132,18.06,04019
4,20,677,70,10.34,177,26.14,170,25.11,149,22.01,60,8.86,51,7.53,04020
4,21,803,79,9.84,208,25.9,182,22.67,179,22.29,66,8.22,89,11.08,04021
4,22,827,74,8.95,227,27.45,179,21.64,201,24.3,55,6.65,91,11.0,04022
4,23,1061,80,7.54,290,27.33,258,24.32,274,25.82,57,5.37,102,9.61,04023
4,24,802,108,13.47,217,27.06,154,19.2,163,20.32,51,6.36,109,13.59,04024
4,25,725,73,10.07,173,23.86,186,25.66,159,21.93,54,7.45,80,11.03,04025
4,26,861,153,17.77,257,29.85,139,16.14,123,14.29,40,4.65,149,17.31,04026
4,27,963,102,10.59,247,25.65,215,22.33,232,24.09,53,5.5,114,11.84,04027
4,28,855,128,14.97,247,28.89,149,17.43,155,18.13,29,3.39,147,17.19,04028
4,29,818,151,18.46,228,27.87,128,15.65,117,14.3,38,4.65,156,19.07,04029
4,30,1066,187,17.54,322,30.21,165,15.48,152,14.26,41,3.85,199,18.67,04030
4,31,968,111,11.47,295,30.48,191,19.73,206,21.28,35,3.62,130,13.43,04031
4,32,852,142,16.67,245,28.76,128,15.02,133,15.61,41,4.81,163,19.13,04032
4,33,901,119,13.21,260,28.86,184,20.42,179,19.87,29,3.22,130,14.43,04033
4,34,716,121,16.9,201,28.07,114,15.92,121,16.9,33,4.61,126,17.6,04034
4,35,1112,179,16.1,333,29.95,185,16.64,181,16.28,45,4.05,189,17.0,04035
4,36,963,145,15.06,284,29.49,170,17.65,175,18.17,36,3.74,153,15.89,04036
4,37,798,78,9.77,171,21.43,193,24.19,195,24.44,83,10.4,78,9.77,04037
4,38,997,132,13.24,279,27.98,190,19.06,203,20.36,41,4.11,152,15.25,04038
5,1,650,144,22.15,183,28.15,79,12.15,96,14.77,28,4.31,120,18.46,05001
5,2,691,138,19.97,207,29.96,104,15.05,83,12.01,27,3.91,132,19.1,05002
5,3,810,68,8.4,194,23.95,211,26.05,205,25.31,60,7.41,72,8.89,05003
5,4,879,106,12.06,249,28.33,172,19.57,183,20.82,46,5.23,123,13.99,05004
5,5,729,120,16.46,211,28.94,112,15.36,113,15.5,30,4.12,143,19.62,05005
5,6,676,128,18.93,192,28.4,107,15.83,94,13.91,31,4.59,124,18.34,05006
5,7,801,101,12.61,226,28.21,170,21.22,145,18.1,44,5.49,115,14.36,05007
5,8,817,51,6.24,209,25.58,223,27.29,227,27.78,62,7.59,45,5.51,05008
5,9,895,117,13.07,250,27.93,189,21.12,188,21.01,42,4.69,109,12.18,05009
5,10,612,105,17.16,180,29.41,81,13.24,107,17.48,18,2.94,121,19.77,05010
5,11,820,82,10.0,217,26.46,195,23.78,190,23.17,52,6.34,84,10.24,05011
5,12,544,120,22.06,151,27.76,67,12.32,62,11.4,24,4.41,120,22.06,05012
5,13,668,125,18.71,202,30.24,93,13.92,91,13.62,31,4.64,126,18.86,05013
5,14,748,97,12.97,235,31.42,127,16.98,136,18.18,30,4.01,123,16.44,05014
5,15,767,98,12.78,211,27.51,135,17.6,164,21.38,36,4.69,123,16.04,05015
5,16,727,130,17.88,202,27.79,115,15.82,91,12.52,40,5.5,149,20.5,05016
5,17,641,120,18.72,185,28.86,83,12.95,91,14.2,30,4.68,132,20.59,05017
5,18,715,79,11.05,186,26.01,170,23.78,160,22.38,42,5.87,78,10.91,05018
5,19,765,54,7.06,201,26.27,200,26.14,198,25.88,50,6.54,62,8.1,05019
5,20,894,115,12.86,244,27.29,182,20.36,204,22.82,45,5.03,104,11.63,05020
5,21,800,80,10.0,204,25.5,204,25.5,188,23.5,51,6.38,73,9.13,05021
5,22,901,95,10.54,231,25.64,216,23.97,221,24.53,51,5.66,87,9.66,05022
5,23,1232,100,8.12,324,26.3,306,24.84,307,24.92,78,6.33,117,9.5,05023
5,24,887,102,11.5,239,26.94,214,24.13,183,20.63,56,6.31,93,10.48,05024
5,25,731,108,14.77,224,30.64,114,15.6,130,17.78,34,4.65,121,16.55,05025
5,26,762,129,16.93,226,29.66,126,16.54,104,13.65,41,5.38,136,17.85,05026
5,27,660,44,6.67,161,24.39,182,27.58,175,26.52,54,8.18,44,6.67,05027
5,28,877,135,15.39,267,30.44,132,15.05,152,17.33,41,4.68,150,17.1,05028
5,29,942,142,15.07,282,29.94,137,14.54,179,19.0,47,4.99,155,16.45,05029
5,30,618,126,20.39,176,28.48,89,14.4,75,12.14,29,4.69,123,19.9,05030
5,31,623,106,17.01,186,29.86,90,14.45,90,14.45,29,4.65,122,19.58,05031
5,32,925,118,12.76,280,30.27,164,17.73,176,19.03,41,4.43,146,15.78,05032
5,33,802,137,17.08,253,31.55,117,14.59,107,13.34,39,4.86,149,18.58,05033
5,34,872,52,5.96,208,23.85,254,29.13,237,27.18,62,7.11,59,6.77,05034
5,35,874,71,8.12,222,25.4,232,26.54,227,25.97,59,6.75,63,7.21,05035
5,36,553,97,17.54,156,28.21,62,11.21,82,14.83,28,5.06,128,23.15,05036
5,37,802,90,11.22,207,25.81,203,25.31,173,21.57,51,6.36,78,9.73,05037
5,38,746,128,17.16,222,29.76,98,13.14,101,13.54,38,5.09,159,21.31,05038
5,39,603,54,8.96,153,25.37,150,24.88,153,25.37,34,5.64,59,9.78,05039
5,40,609,96,15.76,189,31.03,85,13.96,101,16.58,34,5.58,104,17.08,05040
5,41,462,49,10.61,136,29.44,99,21.43,107,23.16,23,4.98,48,10.39,05041
6,1,778,129,16.58,237,30.46,125,16.07,117,15.04,29,3.73,141,18.12,06001
6,2,783,132,16.86,232,29.63,120,15.33,124,15.84,28,3.58,147,18.77,06002
6,3,797,135,16.94,236,29.61,125,15.68,128,16.06,31,3.89,142,17.82,06003
6,4,517,100,19.34,149,28.82,74,14.31,63,12.19,28,5.42,103,19.92,06004
6,5,500,82,16.4,147,29.4,72,14.4,68,13.6,34,6.8,97,19.4,06005
6,6,736,118,16.03,218,29.62,144,19.57,106,14.4,25,3.4,125,16.98,06006
6,7,747,129,17.27,207,27.71,126,16.87,104,13.92,34,4.55,147,19.68,06007
6,8,791,143,18.08,224,28.32,136,17.19,131,16.56,25,3.16,132,16.69,06008
6,9,706,138,19.55,206,29.18,92,13.03,96,13.6,40,5.67,134,18.98,06009
6,10,500,90,18.0,136,27.2,85,17.0,61,12.2,26,5.2,102,20.4,06010
6,11,733,134,18.28,207,28.24,108,14.73,100,13.64,49,6.68,135,18.42,06011
6,12,564,106,18.79,154,27.3,86,15.25,69,12.23,35,6.21,114,20.21,06012
6,13,585,90,15.38,168,28.72,89,15.21,96,16.41,31,5.3,111,18.97,06013
6,14,621,105,16.91,176,28.34,93,14.98,87,14.01,32,5.15,128,20.61,06014
6,15,549,85,15.48,172,31.33,86,15.66,76,13.84,25,4.55,105,19.13,06015
6,16,792,102,12.88,237,29.92,157,19.82,136,17.17,33,4.17,127,16.04,06016
6,17,565,100,17.7,149,26.37,83,14.69,85,15.04,17,3.01,131,23.19,06017
6,18,441,88,19.95,115,26.08,65,14.74,54,12.24,28,6.35,91,20.63,06018
6,19,675,113,16.74,188,27.85,113,16.74,107,15.85,26,3.85,128,18.96,06019
6,20,417,72,17.27,118,28.3,64,15.35,65,15.59,22,5.28,76,18.23,06020
6,21,408,70,17.16,112,27.45,56,13.73,61,14.95,23,5.64,86,21.08,06021
6,22,445,85,19.1,137,30.79,64,14.38,52,11.69,20,4.49,87,19.55,06022
6,23,387,71,18.35,105,27.13,60,15.5,55,14.21,27,6.98,69,17.83,06023
6,24,445,80,17.98,115,25.84,70,15.73,66,14.83,24,5.39,90,20.22,06024
6,25,432,69,15.97,123,28.47,77,17.82,66,15.28,13,3.01,84,19.44,06025
6,26,541,91,16.82,149,27.54,88,16.27,67,12.38,27,4.99,119,22.0,06026
6,27,435,71,16.32,133,30.57,64,14.71,67,15.4,21,4.83,79,18.16,06027
6,28,327,65,19.88,100,30.58,51,15.6,40,12.23,12,3.67,59,18.04,06028
6,29,805,108,13.42,242,30.06,142,17.64,130,16.15,28,3.48,155,19.25,06029
6,30,606,99,16.34,177,29.21,94,15.51,89,14.69,33,5.45,114,18.81,06030
6,31,782,128,16.37,229,29.28,136,17.39,136,17.39,29,3.71,124,15.86,06031
6,32,641,93,14.51,190,29.64,109,17.0,114,17.78,24,3.74,111,17.32,06032
6,33,719,124,17.25,211,29.35,112,15.58,98,13.63,37,5.15,137,19.05,06033
6,34,746,110,14.75,239,32.04,112,15.01,129,17.29,26,3.49,130,17.43,06034
6,35,692,133,19.22,197,28.47,110,15.9,94,13.58,31,4.48,127,18.35,06035
6,36,819,130,15.87,255,31.14,128,15.63,129,15.75,31,3.79,146,17.83,06036
6,37,819,113,13.8,249,30.4,144,17.58,148,18.07,21,2.56,144,17.58,06037
6,38,811,116,14.3,248,30.58,136,16.77,131,16.15,42,5.18,138,17.02,06038
6,39,643,97,15.09,195,30.33,106,16.49,89,13.84,37,5.75,119,18.51,06039
6,40,639,107,16.74,193,30.2,109,17.06,102,15.96,25,3.91,103,16.12,06040
6,41,784,140,17.86,217,27.68,123,15.69,107,13.65,37,4.72,160,20.41,06041
6,42,750,126,16.8,213,28.4,114,15.2,114,15.2,34,4.53,149,19.87,06042
6,43,614,102,16.61,196,31.92,94,15.31,79,12.87,22,3.58,121,19.71,06043
6,44,719,132,18.36,218,30.32,94,13.07,95,13.21,27,3.76,153,21.28,06044
6,45,811,126,15.54,244,30.09,144,17.76,118,14.55,32,3.95,147,18.13,06045
6,46,501,80,15.97,161,32.14,73,14.57,80,15.97,27,5.39,80,15.97,06046
6,47,536,97,18.1,158,29.48,82,15.3,69,12.87,25,4.66,105,19.59,06047
6,48,743,120,16.15,234,31.49,114,15.34,102,13.73,38,5.11,135,18.17,06048
7,1,641,108,16.85,195,30.42,88,13.73,78,12.17,31,4.84,141,22.0,07001
7,2,635,104,16.38,199,31.34,91,14.33,94,14.8,23,3.62,124,19.53,07002
7,3,686,113,16.47,215,31.34,109,15.89,100,14.58,23,3.35,126,18.37,07003
7,4,740,123,16.62,227,30.68,120,16.22,108,14.59,32,4.32,130,17.57,07004
7,5,481,78,16.22,148,30.77,63,13.1,75,15.59,20,4.16,97,20.17,07005
7,6,826,121,14.65,252,30.51,142,17.19,142,17.19,38,4.6,131,15.86,07006
7,7,562,107,19.04,177,31.49,66,11.74,77,13.7,29,5.16,106,18.86,07007
7,8,506,91,17.98,150,29.64,84,16.6,66,13.04,33,6.52,82,16.21,07008
7,9,987,144,14.59,300,30.4,170,17.22,172,17.43,39,3.95,162,16.41,07009
7,10,770,120,15.58,230,29.87,135,17.53,120,15.58,36,4.68,129,16.75,07010
7,11,789,127,16.1,227,28.77,120,15.21,112,14.2,37,4.69,166,21.04,07011
7,12,621,104,16.75,186,29.95,90,14.49,89,14.33,37,5.96,115,18.52,07012
7,13,412,72,17.48,120,29.13,55,13.35,65,15.78,18,4.37,82,19.9,07013
7,14,634,108,17.03,172,27.13,112,17.67,86,13.56,35,5.52,121,19.09,07014
7,15,714,112,15.69,221,30.95,126,17.65,119,16.67,23,3.22,113,15.83,07015
7,16,615,94,15.28,197,32.03,94,15.28,98,15.93,24,3.9,108,17.56,07016
7,17,604,103,17.05,173,28.64,98,16.23,110,18.21,22,3.64,98,16.23,07017
7,18,502,92,18.33,139,27.69,67,13.35,74,14.74,19,3.78,111,22.11,07018
7,19,659,118,17.91,179,27.16,100,15.17,99,15.02,28,4.25,135,20.49,07019
7,20,511,86,16.83,147,28.77,85,16.63,78,15.26,25,4.89,90,17.61,07020
7,21,505,75,14.85,160,31.68,78,15.45,82,16.24,26,5.15,84,16.63,07021
7,22,506,77,15.22,148,29.25,84,16.6,89,17.59,22,4.35,86,17.0,07022
7,23,726,107,14.74,219,30.17,112,15.43,108,14.88,33,4.55,147,20.25,07023
7,24,602,113,18.77,160,26.58,93,15.45,88,14.62,25,4.15,123,20.43,07024
7,25,629,105,16.69,168,26.71,110,17.49,99,15.74,34,5.41,113,17.97,07025
7,26,625,105,16.8,189,30.24,94,15.04,100,16.0,24,3.84,113,18.08,07026
7,27,598,91,15.22,173,28.93,114,19.06,78,13.04,26,4.35,116,19.4,07027
7,28,473,77,16.28,127,26.85,72,15.22,82,17.34,28,5.92,87,18.39,07028
7,29,599,93,15.53,172,28.71,107,17.86,96,16.03,33,5.51,98,16.36,07029
7,30,526,96,18.25,144,27.38,83,15.78,82,15.59,36,6.84,85,16.16,07030
7,31,400,82,20.5,97,24.25,64,16.0,49,12.25,26,6.5,82,20.5,07031
7,32,1029,161,15.65,299,29.06,172,16.72,179,17.4,29,2.82,189,18.37,07032
7,33,950,162,17.05,273,28.74,150,15.79,149,15.68,48,5.05,168,17.68,07033
7,34,823,128,15.55,242,29.4,111,13.49,128,15.55,39,4.74,175,21.26,07034
7,35,647,104,16.07,185,28.59,104,16.07,107,16.54,36,5.56,111,17.16,07035
7,36,931,139,14.93,277,29.75,159,17.08,153,16.43,34,3.65,169,18.15,07036
7,37,833,141,16.93,226,27.13,147,17.65,129,15.49,33,3.96,157,18.85,07037
7,38,582,113,19.42,170,29.21,88,15.12,58,9.97,32,5.5,121,20.79,07038
7,39,624,96,15.38,188,30.13,103,16.51,90,14.42,26,4.17,121,19.39,07039
7,40,629,115,18.28,186,29.57,91,14.47,82,13.04,25,3.97,130,20.67,07040
7,41,651,121,18.59,197,30.26,99,15.21,103,15.82,19,2.92,112,17.2,07041
7,42,659,107,16.24,186,28.22,104,15.78,93,14.11,35,5.31,134,20.33,07042
7,43,585,92,15.73,177,30.26,93,15.9,78,13.33,33,5.64,112,19.15,07043
7,44,643,109,16.95,186,28.93,90,14.0,86,13.37,39,6.07,133,20.68,07044
7,45,619,123,19.87,168,27.14,89,14.38,78,12.6,27,4.36,134,21.65,07045
