ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,O. Patrick Brutus,O. Patrick Brutus Percent,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
16,6,2,1,50.0,1,50.0,0,0.0,16006
16,9,303,252,83.17,11,3.63,40,13.2,16009
16,27,14,12,85.71,1,7.14,1,7.14,16027
16,28,289,238,82.35,11,3.81,40,13.84,16028
16,30,247,205,83.0,7,2.83,35,14.17,16030
16,31,67,57,85.07,1,1.49,9,13.43,16031
16,34,67,51,76.12,6,8.96,10,14.93,16034
17,1,297,195,65.66,52,17.51,50,16.84,17001
17,2,317,261,82.33,9,2.84,47,14.83,17002
17,3,333,287,86.19,10,3.0,36,10.81,17003
17,4,468,387,82.69,21,4.49,60,12.82,17004
17,5,305,253,82.95,11,3.61,41,13.44,17005
17,6,161,126,78.26,13,8.07,22,13.66,17006
17,8,352,301,85.51,11,3.13,40,11.36,17008
17,9,353,297,84.14,8,2.27,48,13.6,17009
17,10,373,285,76.41,17,4.56,71,19.03,17010
17,11,289,241,83.39,11,3.81,37,12.8,17011
17,12,147,103,70.07,22,14.97,22,14.97,17012
17,13,2,2,100.0,0,0.0,0,0.0,17013
17,15,382,311,81.41,16,4.19,55,14.4,17015
17,16,135,90,66.67,14,10.37,31,22.96,17016
17,17,324,267,82.41,12,3.7,45,13.89,17017
17,18,380,311,81.84,7,1.84,62,16.32,17018
17,20,437,359,82.15,7,1.6,71,16.25,17020
17,21,431,309,71.69,16,3.71,106,24.59,17021
17,22,307,247,80.46,12,3.91,48,15.64,17022
17,23,226,187,82.74,5,2.21,34,15.04,17023
17,24,402,335,83.33,7,1.74,60,14.93,17024
17,25,278,226,81.29,13,4.68,39,14.03,17025
17,26,396,332,83.84,13,3.28,51,12.88,17026
17,27,362,297,82.04,8,2.21,57,15.75,17027
17,28,301,262,87.04,7,2.33,32,10.63,17028
17,29,342,295,86.26,12,3.51,35,10.23,17029
17,30,264,163,61.74,50,18.94,51,19.32,17030
17,32,307,259,84.36,11,3.58,37,12.05,17032
17,33,85,70,82.35,4,4.71,11,12.94,17033
17,34,262,222,84.73,10,3.82,30,11.45,17034
17,35,250,213,85.2,5,2.0,32,12.8,17035
17,36,334,291,87.13,12,3.59,31,9.28,17036
17,37,318,278,87.42,10,3.14,30,9.43,17037
17,38,361,306,84.76,8,2.22,47,13.02,17038
17,39,339,263,77.58,8,2.36,68,20.06,17039
17,40,374,306,81.82,10,2.67,58,15.51,17040
17,41,400,337,84.25,9,2.25,54,13.5,17041
18,1,319,249,78.06,22,6.9,48,15.05,18001
18,2,287,188,65.51,58,20.21,41,14.29,18002
18,3,226,125,55.31,54,23.89,47,20.8,18003
18,4,370,282,76.22,10,2.7,78,21.08,18004
18,5,238,200,84.03,7,2.94,31,13.03,18005
18,6,231,139,60.17,37,16.02,55,23.81,18006
18,7,325,246,75.69,28,8.62,51,15.69,18007
18,8,359,270,75.21,17,4.74,72,20.06,18008
18,9,334,253,75.75,15,4.49,66,19.76,18009
18,10,466,342,73.39,22,4.72,102,21.89,18010
18,11,275,193,70.18,28,10.18,54,19.64,18011
18,12,327,259,79.2,12,3.67,56,17.13,18012
18,13,369,269,72.9,21,5.69,79,21.41,18013
18,14,370,292,78.92,11,2.97,67,18.11,18014
18,15,51,28,54.9,6,11.76,17,33.33,18015
18,16,349,275,78.8,14,4.01,60,17.19,18016
18,17,337,232,68.84,31,9.2,74,21.96,18017
18,18,310,229,73.87,12,3.87,69,22.26,18018
18,19,344,262,76.16,13,3.78,69,20.06,18019
18,20,293,229,78.16,9,3.07,55,18.77,18020
18,21,432,319,73.84,20,4.63,93,21.53,18021
18,22,431,333,77.26,9,2.09,89,20.65,18022
18,23,330,257,77.88,15,4.55,58,17.58,18023
18,26,439,329,74.94,18,4.1,92,20.96,18026
18,27,263,215,81.75,8,3.04,40,15.21,18027
18,28,252,141,55.95,43,17.06,68,26.98,18028
18,29,331,249,75.23,29,8.76,53,16.01,18029
18,31,361,271,75.07,32,8.86,58,16.07,18031
18,32,375,287,76.53,11,2.93,77,20.53,18032
18,33,313,254,81.15,8,2.56,51,16.29,18033
18,34,437,336,76.89,19,4.35,82,18.76,18034
18,35,404,314,77.72,13,3.22,77,19.06,18035
18,36,336,220,65.48,41,12.2,75,22.32,18036
18,37,389,276,70.95,18,4.63,95,24.42,18037
18,38,340,280,82.35,6,1.76,54,15.88,18038
18,39,258,182,70.54,25,9.69,51,19.77,18039
18,41,399,288,72.18,11,2.76,100,25.06,18041
18,42,282,219,77.66,17,6.03,46,16.31,18042
18,44,238,129,54.2,53,22.27,56,23.53,18044
18,45,290,173,59.66,50,17.24,67,23.1,18045
18,47,257,210,81.71,13,5.06,34,13.23,18047
18,48,293,241,82.25,12,4.1,40,13.65,18048
18,49,244,189,77.46,17,6.97,38,15.57,18049
18,50,270,218,80.74,15,5.56,37,13.7,18050
19,2,446,265,59.42,31,6.95,150,33.63,19002
19,5,256,136,53.13,27,10.55,93,36.33,19005
19,10,48,22,45.83,8,16.67,18,37.5,19010
19,11,47,10,21.28,20,42.55,17,36.17,19011
19,13,462,313,67.75,23,4.98,126,27.27,19013
19,14,356,208,58.43,35,9.83,113,31.74,19014
19,20,320,207,64.69,35,10.94,78,24.38,19020
19,25,74,37,50.0,9,12.16,28,37.84,19025
19,27,362,228,62.98,44,12.15,90,24.86,19027
19,28,432,310,71.76,22,5.09,100,23.15,19028
19,31,263,108,41.06,50,19.01,105,39.92,19031
19,36,463,300,64.79,34,7.34,129,27.86,19036
19,37,348,202,58.05,39,11.21,107,30.75,19037
19,38,329,207,62.92,16,4.86,106,32.22,19038
19,39,156,127,81.41,5,3.21,24,15.38,19039
19,40,346,189,54.62,53,15.32,104,30.06,19040
19,42,262,158,60.31,24,9.16,80,30.53,19042
19,43,526,366,69.58,25,4.75,135,25.67,19043
19,47,536,347,64.74,47,8.77,142,26.49,19047
19,48,464,351,75.65,15,3.23,98,21.12,19048
19,49,460,300,65.22,31,6.74,129,28.04,19049
19,57,102,53,51.96,8,7.84,41,40.2,19057
20,1,335,280,83.58,9,2.69,46,13.73,20001
20,3,303,265,87.46,7,2.31,31,10.23,20003
20,5,362,301,83.15,16,4.42,45,12.43,20005
20,7,360,296,82.22,22,6.11,42,11.67,20007
20,8,346,299,86.42,7,2.02,40,11.56,20008
20,9,423,343,81.09,15,3.55,65,15.37,20009
20,10,292,247,84.59,12,4.11,33,11.3,20010
20,11,228,192,84.21,6,2.63,30,13.16,20011
20,12,247,210,85.02,7,2.83,30,12.15,20012
20,13,408,360,88.24,14,3.43,34,8.33,20013
20,14,215,192,89.3,8,3.72,15,6.98,20014
20,16,376,308,81.91,18,4.79,50,13.3,20016
20,18,281,227,80.78,17,6.05,37,13.17,20018
20,19,392,338,86.22,15,3.83,39,9.95,20019
20,22,447,347,77.63,17,3.8,83,18.57,20022
20,23,375,305,81.33,15,4.0,55,14.67,20023
20,24,320,245,76.56,16,5.0,59,18.44,20024
20,26,373,273,73.19,27,7.24,73,19.57,20026
20,27,38,32,84.21,2,5.26,4,10.53,20027
20,28,251,200,79.68,16,6.37,35,13.94,20028
20,29,400,312,78.0,17,4.25,71,17.75,20029
20,30,60,49,81.67,3,5.0,8,13.33,20030
20,31,238,198,83.19,13,5.46,27,11.34,20031
20,33,216,180,83.33,12,5.56,24,11.11,20033
20,34,449,319,71.05,44,9.8,86,19.15,20034
20,35,337,280,83.09,23,6.82,34,10.09,20035
20,37,141,126,89.36,2,1.42,13,9.22,20037
21,1,393,254,64.63,13,3.31,126,32.06,21001
21,2,281,211,75.09,4,1.42,66,23.49,21002
21,3,397,281,70.78,14,3.53,102,25.69,21003
21,4,393,272,69.21,14,3.56,107,27.23,21004
21,5,411,290,70.56,26,6.33,95,23.11,21005
21,6,328,249,75.91,8,2.44,71,21.65,21006
21,7,391,289,73.91,13,3.32,89,22.76,21007
21,8,372,246,66.13,16,4.3,110,29.57,21008
21,9,396,264,66.67,17,4.29,115,29.04,21009
21,10,336,215,63.99,29,8.63,92,27.38,21010
21,11,377,261,69.23,22,5.84,94,24.93,21011
21,12,358,243,67.88,12,3.35,103,28.77,21012
21,13,336,251,74.7,8,2.38,77,22.92,21013
21,14,446,267,59.87,18,4.04,161,36.1,21014
21,15,344,241,70.06,20,5.81,83,24.13,21015
21,16,365,259,70.96,22,6.03,84,23.01,21016
21,17,347,249,71.76,12,3.46,86,24.78,21017
21,18,438,272,62.1,13,2.97,153,34.93,21018
21,19,380,229,60.26,14,3.68,137,36.05,21019
21,20,339,239,70.5,7,2.06,93,27.43,21020
21,21,334,244,73.05,18,5.39,72,21.56,21021
21,22,345,230,66.67,24,6.96,91,26.38,21022
21,23,333,224,67.27,15,4.5,94,28.23,21023
21,24,340,231,67.94,5,1.47,104,30.59,21024
21,25,332,237,71.39,8,2.41,87,26.2,21025
21,26,360,262,72.78,13,3.61,85,23.61,21026
21,27,364,256,70.33,19,5.22,89,24.45,21027
21,28,433,327,75.52,19,4.39,87,20.09,21028
21,29,395,289,73.16,11,2.78,95,24.05,21029
21,30,309,239,77.35,14,4.53,56,18.12,21030
21,31,265,172,64.91,16,6.04,77,29.06,21031
21,32,350,245,70.0,17,4.86,88,25.14,21032
21,33,377,278,73.74,12,3.18,87,23.08,21033
21,34,365,271,74.25,15,4.11,79,21.64,21034
21,35,386,289,74.87,11,2.85,86,22.28,21035
21,36,388,262,67.53,21,5.41,105,27.06,21036
21,37,305,212,69.51,7,2.3,86,28.2,21037
21,38,372,283,76.08,10,2.69,79,21.24,21038
21,39,294,210,71.43,9,3.06,75,25.51,21039
21,40,317,220,69.4,7,2.21,90,28.39,21040
21,41,371,241,64.96,14,3.77,116,31.27,21041
21,42,392,261,66.58,21,5.36,110,28.06,21042
21,43,400,276,69.0,13,3.25,111,27.75,21043
21,44,342,221,64.62,15,4.39,106,30.99,21044
21,45,350,245,70.0,13,3.71,92,26.29,21045
21,46,381,255,66.93,16,4.2,110,28.87,21046
21,47,340,245,72.06,18,5.29,77,22.65,21047
21,48,325,214,65.85,22,6.77,89,27.38,21048
21,49,392,261,66.58,8,2.04,123,31.38,21049
21,50,324,237,73.15,16,4.94,71,21.91,21050
21,51,364,269,73.9,9,2.47,86,23.63,21051
21,52,387,266,68.73,14,3.62,107,27.65,21052
21,53,282,177,62.77,10,3.55,95,33.69,21053
21,54,342,249,72.81,8,2.34,85,24.85,21054
34,1,408,322,78.92,6,1.47,80,19.61,34001
34,2,261,211,80.84,9,3.45,41,15.71,34002
34,3,387,306,79.07,14,3.62,67,17.31,34003
34,5,312,253,81.09,3,0.96,56,17.95,34005
34,6,422,323,76.54,6,1.42,93,22.04,34006
34,7,393,288,73.28,17,4.33,88,22.39,34007
34,8,323,261,80.8,14,4.33,48,14.86,34008
34,9,301,242,80.4,14,4.65,45,14.95,34009
34,10,362,281,77.62,12,3.31,69,19.06,34010
34,11,313,255,81.47,9,2.88,49,15.65,34011
34,12,400,311,77.75,15,3.75,74,18.5,34012
34,13,371,285,76.82,8,2.16,78,21.02,34013
34,14,309,251,81.23,11,3.56,47,15.21,34014
34,15,315,253,80.32,13,4.13,49,15.56,34015
34,16,300,239,79.67,14,4.67,47,15.67,34016
34,17,443,308,69.53,10,2.26,125,28.22,34017
34,19,437,339,77.57,17,3.89,81,18.54,34019
34,20,429,310,72.26,10,2.33,109,25.41,34020
34,21,447,320,71.59,13,2.91,114,25.5,34021
34,22,88,68,77.27,4,4.55,16,18.18,34022
34,25,405,297,73.33,14,3.46,94,23.21,34025
34,26,391,297,75.96,12,3.07,82,20.97,34026
34,29,305,236,77.38,10,3.28,59,19.34,34029
34,30,131,101,77.1,3,2.29,27,20.61,34030
34,31,326,275,84.36,16,4.91,35,10.74,34031
34,32,363,281,77.41,12,3.31,70,19.28,34032
34,33,309,243,78.64,11,3.56,55,17.8,34033
34,34,411,307,74.7,17,4.14,87,21.17,34034
34,35,401,309,77.06,23,5.74,69,17.21,34035
34,40,410,318,77.56,8,1.95,84,20.49,34040
34,41,39,25,64.1,2,5.13,12,30.77,34041
34,42,359,275,76.6,14,3.9,70,19.5,34042
34,43,343,258,75.22,8,2.33,77,22.45,34043
34,44,378,286,75.66,14,3.7,78,20.63,34044
34,45,397,299,75.31,13,3.27,85,21.41,34045
34,46,246,175,71.14,7,2.85,64,26.02,34046
34,47,349,253,72.49,15,4.3,81,23.21,34047
34,48,398,308,77.39,4,1.01,86,21.61,34048
34,49,439,286,65.15,19,4.33,134,30.52,34049
34,50,309,247,79.94,12,3.88,50,16.18,34050
34,51,374,279,74.6,15,4.01,80,21.39,34051
34,52,302,200,66.23,11,3.64,91,30.13,34052
