ward,precinct,total,Colleen Patricia Burns (Clinton),Colleen Patricia Burns (Clinton) Percent,Michael E. Hastings (Clinton),Michael E. Hastings (Clinton) Percent,Clarisol Duque (Clinton),Clarisol Duque (Clinton) Percent,Jorge Ramirez (Clinton),Jorge Ramirez (Clinton) Percent,Shirley Madigan (Clinton),Shirley Madigan (Clinton) Percent,Josephine Singler (O'Malley),Josephine Singler (O'Malley) Percent,Nancy Heskin Jados (O'Malley),Nancy Heskin Jados (O'Malley) Percent,Edward D. Maloney (O'Malley),Edward D. Maloney (O'Malley) Percent,Matthew Lafond (O'Malley),Matthew Lafond (O'Malley) Percent,Nathaniel Harris (Sanders),Nathaniel Harris (Sanders) Percent,Rebecca Davies (Sanders),Rebecca Davies (Sanders) Percent,Daniel Buys (Sanders),Daniel Buys (Sanders) Percent,Myriam Calvache (Sanders),Myriam Calvache (Sanders) Percent,Maureen Sullivan (Sanders),Maureen Sullivan (Sanders) Percent,precinct_id
13,22,1287,128,9.95,123,9.56,117,9.09,132,10.26,128,9.95,17,1.32,15,1.17,37,2.87,15,1.17,106,8.24,116,9.01,108,8.39,107,8.31,120,9.32,13022
13,23,998,83,8.32,75,7.52,77,7.72,112,11.22,88,8.82,9,0.9,10,1.0,8,0.8,2,0.2,105,10.52,110,11.02,95,9.52,107,10.72,105,10.52,13023
13,24,1176,120,10.2,119,10.12,115,9.78,134,11.39,128,10.88,19,1.62,20,1.7,19,1.62,14,1.19,90,7.65,106,9.01,91,7.74,90,7.65,93,7.91,13024
13,25,1345,136,10.11,122,9.07,117,8.7,149,11.08,130,9.67,10,0.74,13,0.97,16,1.19,12,0.89,126,9.37,133,9.89,122,9.07,125,9.29,123,9.14,13025
13,26,1495,195,13.04,175,11.71,179,11.97,185,12.37,192,12.84,18,1.2,11,0.74,20,1.34,12,0.8,102,6.82,107,7.16,89,5.95,94,6.29,105,7.02,13026
13,27,1270,118,9.29,117,9.21,114,8.98,129,10.16,136,10.71,17,1.34,12,0.94,21,1.65,13,1.02,115,9.06,123,9.69,106,8.35,114,8.98,115,9.06,13027
13,28,1119,103,9.2,91,8.13,94,8.4,131,11.71,118,10.55,12,1.07,18,1.61,14,1.25,13,1.16,101,9.03,114,10.19,96,8.58,104,9.29,96,8.58,13028
13,29,1004,94,9.36,91,9.06,87,8.67,122,12.15,108,10.76,5,0.5,11,1.1,18,1.79,13,1.29,89,8.86,88,8.76,86,8.57,90,8.96,96,9.56,13029
13,30,1063,129,12.14,117,11.01,129,12.14,151,14.21,131,12.32,9,0.85,7,0.66,13,1.22,8,0.75,77,7.24,81,7.62,67,6.3,71,6.68,65,6.11,13030
13,31,1264,134,10.6,125,9.89,124,9.81,129,10.21,137,10.84,19,1.5,16,1.27,28,2.22,22,1.74,102,8.07,109,8.62,96,7.59,101,7.99,103,8.15,13031
13,32,1065,102,9.58,94,8.83,93,8.73,104,9.77,113,10.61,14,1.31,15,1.41,26,2.44,15,1.41,95,8.92,100,9.39,88,8.26,86,8.08,97,9.11,13032
13,33,1115,105,9.42,96,8.61,96,8.61,111,9.96,103,9.24,17,1.52,13,1.17,23,2.06,12,1.08,101,9.06,110,9.87,102,9.15,107,9.6,104,9.33,13033
13,34,1878,235,12.51,225,11.98,228,12.14,265,14.11,242,12.89,18,0.96,17,0.91,20,1.06,12,0.64,125,6.66,125,6.66,112,5.96,119,6.34,119,6.34,13034
13,35,1210,144,11.9,130,10.74,132,10.91,170,14.05,156,12.89,10,0.83,14,1.16,14,1.16,5,0.41,83,6.86,85,7.02,77,6.36,89,7.36,84,6.94,13035
13,36,782,80,10.23,78,9.97,73,9.34,88,11.25,87,11.13,10,1.28,10,1.28,9,1.15,9,1.15,70,8.95,70,8.95,61,7.8,66,8.44,61,7.8,13036
13,37,1462,188,12.86,176,12.04,177,12.11,196,13.41,190,13.0,15,1.03,13,0.89,17,1.16,11,0.75,90,6.16,96,6.57,87,5.95,96,6.57,97,6.63,13037
13,38,888,81,9.12,75,8.45,77,8.67,89,10.02,89,10.02,23,2.59,17,1.91,34,3.83,14,1.58,72,8.11,79,8.9,70,7.88,69,7.77,83,9.35,13038
13,39,1330,154,11.58,144,10.83,145,10.9,166,12.48,165,12.41,14,1.05,6,0.45,12,0.9,6,0.45,104,7.82,111,8.35,91,6.84,99,7.44,99,7.44,13039
13,40,1136,120,10.56,115,10.12,107,9.42,134,11.8,119,10.48,9,0.79,7,0.62,13,1.14,9,0.79,101,8.89,99,8.71,97,8.54,98,8.63,97,8.54,13040
13,41,1138,114,10.02,98,8.61,106,9.31,149,13.09,123,10.81,8,0.7,8,0.7,12,1.05,11,0.97,98,8.61,117,10.28,91,8.0,97,8.52,94,8.26,13041
13,42,1021,91,8.91,82,8.03,76,7.44,96,9.4,98,9.6,15,1.47,12,1.18,20,1.96,13,1.27,96,9.4,101,9.89,97,9.5,90,8.81,109,10.68,13042
13,43,1370,162,11.82,149,10.88,155,11.31,172,12.55,157,11.46,15,1.09,8,0.58,13,0.95,11,0.8,100,7.3,110,8.03,97,7.08,104,7.59,102,7.45,13043
13,44,1953,284,14.54,269,13.77,266,13.62,292,14.95,275,14.08,10,0.51,11,0.56,10,0.51,9,0.46,102,5.22,109,5.58,102,5.22,104,5.33,98,5.02,13044
13,45,1594,173,10.85,157,9.85,155,9.72,174,10.92,170,10.66,17,1.07,20,1.25,26,1.63,14,0.88,131,8.22,139,8.72,127,7.97,133,8.34,137,8.59,13045
13,46,1585,165,10.41,148,9.34,134,8.45,197,12.43,163,10.28,16,1.01,19,1.2,29,1.83,25,1.58,127,8.01,151,9.53,122,7.7,132,8.33,133,8.39,13046
13,47,1404,162,11.54,153,10.9,146,10.4,193,13.75,165,11.75,9,0.64,12,0.85,13,0.93,5,0.36,109,7.76,117,8.33,99,7.05,103,7.34,104,7.41,13047
13,48,1109,125,11.27,119,10.73,124,11.18,130,11.72,132,11.9,22,1.98,18,1.62,31,2.8,14,1.26,76,6.85,79,7.12,70,6.31,69,6.22,81,7.3,13048
14,1,1179,94,7.97,77,6.53,87,7.38,104,8.82,98,8.31,21,1.78,18,1.53,24,2.04,17,1.44,118,10.01,122,10.35,123,10.43,120,10.18,137,11.62,14001
14,4,923,72,7.8,61,6.61,63,6.83,81,8.78,75,8.13,16,1.73,16,1.73,27,2.93,16,1.73,92,9.97,97,10.51,88,9.53,98,10.62,103,11.16,14004
14,5,307,25,8.14,20,6.51,26,8.47,43,14.01,27,8.79,5,1.63,4,1.3,3,0.98,2,0.65,33,10.75,27,8.79,33,10.75,26,8.47,28,9.12,14005
14,7,1370,98,7.15,69,5.04,86,6.28,149,10.88,97,7.08,9,0.66,16,1.17,15,1.09,11,0.8,156,11.39,175,12.77,155,11.31,157,11.46,158,11.53,14007
14,8,1325,93,7.02,71,5.36,84,6.34,150,11.32,88,6.64,16,1.21,9,0.68,17,1.28,10,0.75,152,11.47,168,12.68,140,10.57,161,12.15,150,11.32,14008
14,9,1315,97,7.38,90,6.84,87,6.62,108,8.21,98,7.45,24,1.83,20,1.52,24,1.83,18,1.37,140,10.65,155,11.79,132,10.04,142,10.8,155,11.79,14009
14,12,1213,102,8.41,80,6.6,86,7.09,128,10.55,100,8.24,18,1.48,16,1.32,24,1.98,8,0.66,125,10.31,140,11.54,124,10.22,116,9.56,124,10.22,14012
14,18,498,34,6.83,29,5.82,29,5.82,48,9.64,34,6.83,7,1.41,9,1.81,10,2.01,5,1.0,58,11.65,62,12.45,53,10.64,56,11.24,58,11.65,14018
14,21,1108,72,6.5,56,5.05,58,5.23,117,10.56,68,6.14,9,0.81,8,0.72,11,0.99,9,0.81,141,12.73,142,12.82,136,12.27,141,12.73,130,11.73,14021
14,22,1427,120,8.41,106,7.43,116,8.13,158,11.07,129,9.04,11,0.77,9,0.63,18,1.26,8,0.56,143,10.02,160,11.21,141,9.88,138,9.67,151,10.58,14022
14,23,829,72,8.69,63,7.6,66,7.96,89,10.74,66,7.96,14,1.69,16,1.93,12,1.45,8,0.97,79,9.53,82,9.89,80,9.65,85,10.25,80,9.65,14023
14,24,1200,84,7.0,76,6.33,74,6.17,96,8.0,87,7.25,22,1.83,14,1.17,29,2.42,17,1.42,135,11.25,138,11.5,130,10.83,125,10.42,148,12.33,14024
14,25,13,0,0.0,0,0.0,0,0.0,2,15.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.38,2,15.38,2,15.38,3,23.08,2,15.38,14025
14,26,892,76,8.52,54,6.05,64,7.17,100,11.21,72,8.07,13,1.46,11,1.23,12,1.35,7,0.78,96,10.76,105,11.77,96,10.76,91,10.2,82,9.19,14026
14,29,1045,66,6.32,56,5.36,72,6.89,114,10.91,79,7.56,6,0.57,7,0.67,14,1.34,8,0.77,129,12.34,134,12.82,111,10.62,120,11.48,118,11.29,14029
15,1,1051,75,7.14,73,6.95,81,7.71,153,14.56,89,8.47,11,1.05,21,2.0,12,1.14,8,0.76,109,10.37,118,11.23,94,8.94,101,9.61,94,8.94,15001
15,5,240,20,8.33,15,6.25,19,7.92,28,11.67,17,7.08,1,0.42,3,1.25,3,1.25,1,0.42,27,11.25,32,13.33,26,10.83,22,9.17,23,9.58,15005
15,8,391,20,5.12,20,5.12,23,5.88,43,11.0,23,5.88,3,0.77,3,0.77,5,1.28,1,0.26,50,12.79,60,15.35,45,11.51,48,12.28,44,11.25,15008
15,13,591,53,8.97,44,7.45,49,8.29,70,11.84,53,8.97,1,0.17,5,0.85,6,1.02,0,0.0,59,9.98,69,11.68,58,9.81,59,9.98,58,9.81,15013
15,14,899,52,5.78,42,4.67,50,5.56,100,11.12,57,6.34,6,0.67,12,1.33,15,1.67,8,0.89,106,11.79,127,14.13,100,11.12,113,12.57,102,11.35,15014
15,15,966,76,7.87,63,6.52,62,6.42,121,12.53,64,6.63,11,1.14,13,1.35,8,0.83,6,0.62,110,11.39,115,11.9,98,10.14,108,11.18,94,9.73,15015
15,16,1046,99,9.46,74,7.07,87,8.32,136,13.0,93,8.89,7,0.67,10,0.96,9,0.86,5,0.48,108,10.33,122,11.66,93,8.89,105,10.04,93,8.89,15016
15,19,920,90,9.78,80,8.7,79,8.59,121,13.15,101,10.98,10,1.09,9,0.98,7,0.76,2,0.22,89,9.67,91,9.89,75,8.15,76,8.26,81,8.8,15019
16,1,1214,82,6.75,62,5.11,73,6.01,131,10.79,83,6.84,9,0.74,18,1.48,13,1.07,11,0.91,139,11.45,154,12.69,141,11.61,144,11.86,140,11.53,16001
16,7,39,1,2.56,2,5.13,1,2.56,4,10.26,3,7.69,0,0.0,2,5.13,0,0.0,0,0.0,7,17.95,4,10.26,5,12.82,4,10.26,5,12.82,16007
16,23,1000,103,10.3,81,8.1,91,9.1,139,13.9,103,10.3,11,1.1,8,0.8,10,1.0,3,0.3,84,8.4,103,10.3,78,7.8,94,9.4,87,8.7,16023
16,32,1098,85,7.74,82,7.47,83,7.56,136,12.39,86,7.83,8,0.73,13,1.18,9,0.82,11,1.0,112,10.2,131,11.93,115,10.47,115,10.47,104,9.47,16032
16,35,333,31,9.31,32,9.61,25,7.51,40,12.01,28,8.41,2,0.6,3,0.9,5,1.5,2,0.6,33,9.91,33,9.91,30,9.01,32,9.61,34,10.21,16035
18,15,1350,143,10.59,118,8.74,130,9.63,163,12.07,154,11.41,13,0.96,10,0.74,14,1.04,7,0.52,119,8.81,131,9.7,107,7.93,113,8.37,112,8.3,18015
18,24,1130,103,9.12,82,7.26,89,7.88,124,10.97,98,8.67,14,1.24,7,0.62,12,1.06,8,0.71,114,10.09,129,11.42,115,10.18,111,9.82,114,10.09,18024
18,25,1047,89,8.5,71,6.78,84,8.02,116,11.08,92,8.79,9,0.86,7,0.67,11,1.05,9,0.86,110,10.51,116,11.08,100,9.55,111,10.6,113,10.79,18025
18,30,1293,111,8.58,93,7.19,106,8.2,150,11.6,117,9.05,15,1.16,12,0.93,15,1.16,12,0.93,127,9.82,142,10.98,118,9.13,127,9.82,127,9.82,18030
18,40,1465,125,8.53,106,7.24,128,8.74,157,10.72,141,9.62,14,0.96,15,1.02,25,1.71,15,1.02,144,9.83,159,10.85,132,9.01,137,9.35,143,9.76,18040
18,43,983,83,8.44,63,6.41,74,7.53,105,10.68,84,8.55,12,1.22,11,1.12,20,2.03,8,0.81,106,10.78,108,10.99,96,9.77,102,10.38,98,9.97,18043
18,46,1309,115,8.79,102,7.79,94,7.18,127,9.7,131,10.01,16,1.22,16,1.22,16,1.22,18,1.38,135,10.31,144,11.0,119,9.09,126,9.63,133,10.16,18046
19,1,1071,103,9.62,91,8.5,81,7.56,85,7.94,92,8.59,27,2.52,19,1.77,65,6.07,21,1.96,86,8.03,88,8.22,83,7.75,83,7.75,116,10.83,19001
19,2,78,12,15.38,10,12.82,8,10.26,10,12.82,9,11.54,0,0.0,0,0.0,0,0.0,0,0.0,8,10.26,6,7.69,7,8.97,4,5.13,4,5.13,19002
19,3,678,59,8.7,50,7.37,48,7.08,53,7.82,58,8.55,17,2.51,12,1.77,30,4.42,12,1.77,61,9.0,65,9.59,60,8.85,58,8.55,78,11.5,19003
19,4,1105,80,7.24,71,6.43,60,5.43,76,6.88,78,7.06,32,2.9,28,2.53,61,5.52,34,3.08,100,9.05,101,9.14,108,9.77,103,9.32,131,11.86,19004
19,5,494,57,11.54,50,10.12,47,9.51,49,9.92,49,9.92,10,2.02,5,1.01,15,3.04,7,1.42,40,8.1,37,7.49,35,7.09,39,7.89,46,9.31,19005
19,6,992,97,9.78,89,8.97,85,8.57,89,8.97,94,9.48,16,1.61,15,1.51,50,5.04,16,1.61,79,7.96,84,8.47,80,8.06,78,7.86,94,9.48,19006
19,7,1143,129,11.29,110,9.62,91,7.96,95,8.31,111,9.71,25,2.19,22,1.92,51,4.46,13,1.14,91,7.96,97,8.49,96,8.4,81,7.09,109,9.54,19007
19,8,1053,82,7.79,72,6.84,75,7.12,74,7.03,76,7.22,21,1.99,19,1.8,41,3.89,13,1.23,103,9.78,108,10.26,108,10.26,104,9.88,124,11.78,19008
19,9,820,93,11.34,77,9.39,79,9.63,84,10.24,87,10.61,24,2.93,16,1.95,39,4.76,20,2.44,54,6.59,56,6.83,48,5.85,46,5.61,72,8.78,19009
19,10,1525,164,10.75,140,9.18,142,9.31,152,9.97,150,9.84,21,1.38,14,0.92,22,1.44,12,0.79,145,9.51,143,9.38,130,8.52,130,8.52,149,9.77,19010
19,11,661,52,7.87,41,6.2,41,6.2,39,5.9,49,7.41,22,3.33,21,3.18,37,5.6,28,4.24,59,8.93,63,9.53,56,8.47,56,8.47,70,10.59,19011
19,12,785,59,7.52,51,6.5,47,5.99,50,6.37,55,7.01,17,2.17,12,1.53,35,4.46,19,2.42,77,9.81,76,9.68,87,11.08,74,9.43,98,12.48,19012
19,15,1122,82,7.31,79,7.04,73,6.51,77,6.86,84,7.49,28,2.5,20,1.78,35,3.12,16,1.43,119,10.61,127,11.32,112,9.98,110,9.8,139,12.39,19015
19,16,1072,83,7.74,73,6.81,60,5.6,70,6.53,87,8.12,34,3.17,27,2.52,63,5.88,37,3.45,88,8.21,100,9.33,90,8.4,87,8.12,131,12.22,19016
19,17,1014,78,7.69,66,6.51,65,6.41,75,7.4,80,7.89,24,2.37,20,1.97,46,4.54,11,1.08,101,9.96,109,10.75,98,9.66,101,9.96,120,11.83,19017
19,18,1314,121,9.21,108,8.22,102,7.76,117,8.9,113,8.6,22,1.67,8,0.61,21,1.6,9,0.68,139,10.58,137,10.43,126,9.59,132,10.05,148,11.26,19018
19,19,1836,180,9.8,160,8.71,161,8.77,172,9.37,178,9.69,19,1.03,11,0.6,32,1.74,21,1.14,176,9.59,184,10.02,169,9.2,165,8.99,188,10.24,19019
19,21,844,63,7.46,46,5.45,52,6.16,55,6.52,59,6.99,18,2.13,12,1.42,29,3.44,16,1.9,86,10.19,98,11.61,91,10.78,84,9.95,111,13.15,19021
19,22,1280,128,10.0,117,9.14,109,8.52,122,9.53,111,8.67,12,0.94,8,0.63,26,2.03,9,0.7,127,9.92,136,10.63,117,9.14,114,8.91,133,10.39,19022
19,23,1122,90,8.02,83,7.4,79,7.04,78,6.95,87,7.75,26,2.32,18,1.6,41,3.65,24,2.14,111,9.89,112,9.98,109,9.71,106,9.45,131,11.68,19023
19,24,747,66,8.84,61,8.17,54,7.23,56,7.5,67,8.97,18,2.41,13,1.74,34,4.55,17,2.28,68,9.1,64,8.57,67,8.97,60,8.03,78,10.44,19024
