ward,precinct,total,Scott Edward Lipinski,Scott Edward Lipinski Percent,Rossana Patricia Fernandez,Rossana Patricia Fernandez Percent,precinct_id
4,20,239,60,25.1,179,74.9,04020
4,21,329,72,21.88,257,78.12,04021
4,22,325,63,19.38,262,80.62,04022
4,23,421,72,17.1,349,82.9,04023
4,24,310,76,24.52,234,75.48,04024
4,25,281,69,24.56,212,75.44,04025
4,26,338,112,33.14,226,66.86,04026
4,27,369,75,20.33,294,79.67,04027
4,28,315,81,25.71,234,74.29,04028
4,29,326,95,29.14,231,70.86,04029
4,30,441,148,33.56,293,66.44,04030
4,31,346,86,24.86,260,75.14,04031
4,32,355,98,27.61,257,72.39,04032
4,33,366,91,24.86,275,75.14,04033
4,34,292,87,29.79,205,70.21,04034
4,35,420,136,32.38,284,67.62,04035
4,36,373,83,22.25,290,77.75,04036
4,37,310,77,24.84,233,75.16,04037
4,38,384,83,21.61,301,78.39,04038
5,1,268,93,34.7,175,65.3,05001
5,2,293,96,32.76,197,67.24,05002
5,3,309,43,13.92,266,86.08,05003
5,4,369,87,23.58,282,76.42,05004
5,5,286,86,30.07,200,69.93,05005
5,6,277,94,33.94,183,66.06,05006
5,7,311,87,27.97,224,72.03,05007
5,8,297,35,11.78,262,88.22,05008
5,9,363,62,17.08,301,82.92,05009
5,10,263,73,27.76,190,72.24,05010
5,11,301,69,22.92,232,77.08,05011
5,12,244,82,33.61,162,66.39,05012
5,13,275,86,31.27,189,68.73,05013
5,14,293,87,29.69,206,70.31,05014
5,15,304,60,19.74,244,80.26,05015
5,16,310,95,30.65,215,69.35,05016
5,17,276,98,35.51,178,64.49,05017
5,18,281,59,21.0,222,79.0,05018
5,19,279,41,14.7,238,85.3,05019
5,20,320,61,19.06,259,80.94,05020
5,21,302,57,18.87,245,81.13,05021
5,22,339,72,21.24,267,78.76,05022
5,23,468,79,16.88,389,83.12,05023
5,24,343,75,21.87,268,78.13,05024
5,25,289,85,29.41,204,70.59,05025
5,26,318,98,30.82,220,69.18,05026
5,27,238,31,13.03,207,86.97,05027
5,28,330,90,27.27,240,72.73,05028
5,29,366,89,24.32,277,75.68,05029
5,30,235,86,36.6,149,63.4,05030
5,31,267,89,33.33,178,66.67,05031
5,32,351,93,26.5,258,73.5,05032
5,33,324,99,30.56,225,69.44,05033
5,34,312,56,17.95,256,82.05,05034
5,35,320,47,14.69,273,85.31,05035
5,36,233,91,39.06,142,60.94,05036
5,37,293,60,20.48,233,79.52,05037
5,38,318,108,33.96,210,66.04,05038
5,39,234,37,15.81,197,84.19,05039
5,40,239,68,28.45,171,71.55,05040
5,41,155,31,20.0,124,80.0,05041
6,1,307,88,28.66,219,71.34,06001
6,2,290,82,28.28,208,71.72,06002
6,3,305,94,30.82,211,69.18,06003
6,4,207,74,35.75,133,64.25,06004
6,5,191,58,30.37,133,69.63,06005
6,6,277,79,28.52,198,71.48,06006
6,7,307,90,29.32,217,70.68,06007
6,8,321,101,31.46,220,68.54,06008
6,9,282,97,34.4,185,65.6,06009
6,10,224,73,32.59,151,67.41,06010
6,11,285,90,31.58,195,68.42,06011
6,12,238,72,30.25,166,69.75,06012
6,13,231,70,30.3,161,69.7,06013
6,14,259,88,33.98,171,66.02,06014
6,15,225,79,35.11,146,64.89,06015
6,16,297,75,25.25,222,74.75,06016
6,17,193,64,33.16,129,66.84,06017
6,18,179,63,35.2,116,64.8,06018
6,19,256,81,31.64,175,68.36,06019
6,20,168,53,31.55,115,68.45,06020
6,21,167,57,34.13,110,65.87,06021
6,22,189,56,29.63,133,70.37,06022
6,23,161,57,35.4,104,64.6,06023
6,24,192,72,37.5,120,62.5,06024
6,25,177,59,33.33,118,66.67,06025
6,26,233,78,33.48,155,66.52,06026
6,27,178,58,32.58,120,67.42,06027
6,28,140,48,34.29,92,65.71,06028
6,29,281,76,27.05,205,72.95,06029
6,30,242,75,30.99,167,69.01,06030
6,31,297,68,22.9,229,77.1,06031
6,32,250,91,36.4,159,63.6,06032
6,33,294,91,30.95,203,69.05,06033
6,34,305,89,29.18,216,70.82,06034
6,35,264,85,32.2,179,67.8,06035
6,36,325,86,26.46,239,73.54,06036
6,37,292,82,28.08,210,71.92,06037
6,38,310,92,29.68,218,70.32,06038
6,39,257,79,30.74,178,69.26,06039
6,40,243,72,29.63,171,70.37,06040
6,41,322,85,26.4,237,73.6,06041
6,42,305,86,28.2,219,71.8,06042
6,43,228,62,27.19,166,72.81,06043
6,44,274,93,33.94,181,66.06,06044
6,45,317,81,25.55,236,74.45,06045
6,46,194,68,35.05,126,64.95,06046
6,47,226,71,31.42,155,68.58,06047
6,48,291,91,31.27,200,68.73,06048
7,1,253,77,30.43,176,69.57,07001
7,2,249,77,30.92,172,69.08,07002
7,3,264,86,32.58,178,67.42,07003
7,4,280,70,25.0,210,75.0,07004
7,5,196,59,30.1,137,69.9,07005
7,6,323,85,26.32,238,73.68,07006
7,7,237,73,30.8,164,69.2,07007
7,8,205,65,31.71,140,68.29,07008
7,9,394,112,28.43,282,71.57,07009
7,10,308,90,29.22,218,70.78,07010
7,11,326,84,25.77,242,74.23,07011
7,12,240,69,28.75,171,71.25,07012
7,13,139,53,38.13,86,61.87,07013
7,14,275,90,32.73,185,67.27,07014
7,15,280,68,24.29,212,75.71,07015
7,16,244,66,27.05,178,72.95,07016
7,17,248,82,33.06,166,66.94,07017
7,18,209,63,30.14,146,69.86,07018
7,19,270,76,28.15,194,71.85,07019
7,20,198,68,34.34,130,65.66,07020
7,21,193,58,30.05,135,69.95,07021
7,22,206,53,25.73,153,74.27,07022
7,23,285,88,30.88,197,69.12,07023
7,24,238,67,28.15,171,71.85,07024
7,25,256,81,31.64,175,68.36,07025
7,26,243,67,27.57,176,72.43,07026
7,27,223,60,26.91,163,73.09,07027
7,28,192,57,29.69,135,70.31,07028
7,29,235,66,28.09,169,71.91,07029
7,30,210,73,34.76,137,65.24,07030
7,31,169,50,29.59,119,70.41,07031
7,32,385,107,27.79,278,72.21,07032
7,33,356,122,34.27,234,65.73,07033
7,34,310,85,27.42,225,72.58,07034
7,35,252,70,27.78,182,72.22,07035
7,36,356,96,26.97,260,73.03,07036
7,37,294,88,29.93,206,70.07,07037
7,38,241,91,37.76,150,62.24,07038
7,39,249,71,28.51,178,71.49,07039
7,40,239,89,37.24,150,62.76,07040
7,41,257,89,34.63,168,65.37,07041
7,42,264,84,31.82,180,68.18,07042
7,43,233,85,36.48,148,63.52,07043
7,44,258,76,29.46,182,70.54,07044
7,45,269,94,34.94,175,65.06,07045
7,46,114,47,41.23,67,58.77,07046
8,1,218,75,34.4,143,65.6,08001
8,2,312,80,25.64,232,74.36,08002
8,3,323,71,21.98,252,78.02,08003
8,4,326,78,23.93,248,76.07,08004
8,5,316,86,27.22,230,72.78,08005
8,6,322,89,27.64,233,72.36,08006
8,7,340,99,29.12,241,70.88,08007
8,8,281,70,24.91,211,75.09,08008
8,9,213,51,23.94,162,76.06,08009
8,10,367,83,22.62,284,77.38,08010
8,11,262,78,29.77,184,70.23,08011
8,12,262,58,22.14,204,77.86,08012
8,13,329,103,31.31,226,68.69,08013
8,14,246,71,28.86,175,71.14,08014
8,15,277,75,27.08,202,72.92,08015
8,16,125,48,38.4,77,61.6,08016
8,17,245,67,27.35,178,72.65,08017
8,18,282,80,28.37,202,71.63,08018
8,19,350,99,28.29,251,71.71,08019
8,20,341,86,25.22,255,74.78,08020
8,21,360,76,21.11,284,78.89,08021
8,22,252,85,33.73,167,66.27,08022
8,23,242,70,28.93,172,71.07,08023
8,24,181,41,22.65,140,77.35,08024
8,25,285,76,26.67,209,73.33,08025
8,26,287,95,33.1,192,66.9,08026
8,27,333,85,25.53,248,74.47,08027
8,28,304,76,25.0,228,75.0,08028
8,29,348,94,27.01,254,72.99,08029
8,30,314,100,31.85,214,68.15,08030
8,31,225,71,31.56,154,68.44,08031
8,32,229,67,29.26,162,70.74,08032
8,33,279,91,32.62,188,67.38,08033
8,34,270,86,31.85,184,68.15,08034
8,35,298,92,30.87,206,69.13,08035
8,36,305,79,25.9,226,74.1,08036
8,37,261,61,23.37,200,76.63,08037
8,38,186,62,33.33,124,66.67,08038
8,39,292,89,30.48,203,69.52,08039
8,40,241,59,24.48,182,75.52,08040
8,41,288,81,28.13,207,71.88,08041
8,42,365,107,29.32,258,70.68,08042
8,43,143,39,27.27,104,72.73,08043
8,44,207,56,27.05,151,72.95,08044
8,45,292,102,34.93,190,65.07,08045
8,46,217,60,27.65,157,72.35,08046
8,47,233,76,32.62,157,67.38,08047
8,48,287,91,31.71,196,68.29,08048
8,49,270,63,23.33,207,76.67,08049
8,50,298,67,22.48,231,77.52,08050
8,51,335,66,19.7,269,80.3,08051
8,52,369,92,24.93,277,75.07,08052
8,53,162,50,30.86,112,69.14,08053
8,54,279,87,31.18,192,68.82,08054
8,55,226,63,27.88,163,72.12,08055
8,56,281,71,25.27,210,74.73,08056
9,1,297,91,30.64,206,69.36,09001
9,2,264,79,29.92,185,70.08,09002
9,3,219,80,36.53,139,63.47,09003
9,4,228,72,31.58,156,68.42,09004
9,5,254,74,29.13,180,70.87,09005
9,6,257,90,35.02,167,64.98,09006
9,7,180,61,33.89,119,66.11,09007
9,8,280,87,31.07,193,68.93,09008
9,9,301,105,34.88,196,65.12,09009
9,10,261,91,34.87,170,65.13,09010
9,11,205,67,32.68,138,67.32,09011
9,12,295,94,31.86,201,68.14,09012
9,13,302,101,33.44,201,66.56,09013
9,14,366,111,30.33,255,69.67,09014
9,15,272,96,35.29,176,64.71,09015
9,16,274,85,31.02,189,68.98,09016
9,17,226,76,33.63,150,66.37,09017
9,18,196,66,33.67,130,66.33,09018
9,19,279,105,37.63,174,62.37,09019
9,20,312,94,30.13,218,69.87,09020
9,21,234,64,27.35,170,72.65,09021
9,22,299,90,30.1,209,69.9,09022
9,23,304,91,29.93,213,70.07,09023
9,24,282,80,28.37,202,71.63,09024
9,25,288,95,32.99,193,67.01,09025
9,26,262,85,32.44,177,67.56,09026
9,27,254,93,36.61,161,63.39,09027
9,28,185,40,21.62,145,78.38,09028
9,29,225,94,41.78,131,58.22,09029
9,30,241,67,27.8,174,72.2,09030
9,31,208,71,34.13,137,65.87,09031
9,32,244,68,27.87,176,72.13,09032
9,33,220,70,31.82,150,68.18,09033
9,34,221,77,34.84,144,65.16,09034
9,35,269,77,28.62,192,71.38,09035
9,36,249,81,32.53,168,67.47,09036
9,37,307,76,24.76,231,75.24,09037
9,38,265,88,33.21,177,66.79,09038
9,39,308,97,31.49,211,68.51,09039
9,40,300,100,33.33,200,66.67,09040
9,41,236,63,26.69,173,73.31,09041
9,42,291,78,26.8,213,73.2,09042
9,43,239,83,34.73,156,65.27,09043
9,44,254,83,32.68,171,67.32,09044
9,45,226,85,37.61,141,62.39,09045
9,46,279,90,32.26,189,67.74,09046
9,47,302,94,31.13,208,68.87,09047
9,48,302,93,30.79,209,69.21,09048
9,49,297,77,25.93,220,74.07,09049
9,50,362,96,26.52,266,73.48,09050
9,51,282,92,32.62,190,67.38,09051
10,1,226,57,25.22,169,74.78,10001
10,2,184,67,36.41,117,63.59,10002
10,3,200,89,44.5,111,55.5,10003
10,4,211,27,12.8,184,87.2,10004
10,5,145,56,38.62,89,61.38,10005
10,6,211,35,16.59,176,83.41,10006
10,7,171,32,18.71,139,81.29,10007
10,8,185,48,25.95,137,74.05,10008
10,9,189,68,35.98,121,64.02,10009
10,10,263,65,24.71,198,75.29,10010
10,11,297,45,15.15,252,84.85,10011
10,12,180,39,21.67,141,78.33,10012
10,13,288,42,14.58,246,85.42,10013
10,14,322,47,14.6,275,85.4,10014
10,15,498,178,35.74,320,64.26,10015
10,16,176,64,36.36,112,63.64,10016
10,17,243,91,37.45,152,62.55,10017
10,18,169,22,13.02,147,86.98,10018
10,19,230,64,27.83,166,72.17,10019
10,20,251,73,29.08,178,70.92,10020
10,21,264,46,17.42,218,82.58,10021
10,22,157,30,19.11,127,80.89,10022
10,23,251,59,23.51,192,76.49,10023
10,24,195,76,38.97,119,61.03,10024
10,25,86,24,27.91,62,72.09,10025
10,26,206,39,18.93,167,81.07,10026
10,27,237,72,30.38,165,69.62,10027
10,28,283,58,20.49,225,79.51,10028
10,29,242,49,20.25,193,79.75,10029
10,30,253,34,13.44,219,86.56,10030
10,31,208,37,17.79,171,82.21,10031
10,32,249,64,25.7,185,74.3,10032
10,33,164,28,17.07,136,82.93,10033
10,34,179,37,20.67,142,79.33,10034
10,35,233,57,24.46,176,75.54,10035
10,36,57,15,26.32,42,73.68,10036
11,1,260,99,38.08,161,61.92,11001
11,2,42,22,52.38,20,47.62,11002
11,3,250,45,18.0,205,82.0,11003
11,4,245,109,44.49,136,55.51,11004
11,5,359,120,33.43,239,66.57,11005
11,6,286,75,26.22,211,73.78,11006
11,7,420,126,30.0,294,70.0,11007
11,8,279,102,36.56,177,63.44,11008
11,9,244,112,45.9,132,54.1,11009
11,10,232,110,47.41,122,52.59,11010
11,11,254,94,37.01,160,62.99,11011
11,12,384,196,51.04,188,48.96,11012
11,13,332,129,38.86,203,61.14,11013
11,14,111,57,51.35,54,48.65,11014
11,15,98,47,47.96,51,52.04,11015
11,16,170,66,38.82,104,61.18,11016
11,17,332,122,36.75,210,63.25,11017
11,18,240,103,42.92,137,57.08,11018
11,19,357,111,31.09,246,68.91,11019
11,20,179,74,41.34,105,58.66,11020
11,21,399,160,40.1,239,59.9,11021
11,22,341,118,34.6,223,65.4,11022
11,23,164,76,46.34,88,53.66,11023
11,24,392,119,30.36,273,69.64,11024
11,25,309,109,35.28,200,64.72,11025
11,26,337,125,37.09,212,62.91,11026
11,27,98,31,31.63,67,68.37,11027
11,28,148,60,40.54,88,59.46,11028
11,29,297,125,42.09,172,57.91,11029
11,30,128,54,42.19,74,57.81,11030
11,31,245,129,52.65,116,47.35,11031
11,32,134,44,32.84,90,67.16,11032
11,33,235,63,26.81,172,73.19,11033
11,34,72,32,44.44,40,55.56,11034
11,35,59,25,42.37,34,57.63,11035
11,36,98,38,38.78,60,61.22,11036
11,37,66,31,46.97,35,53.03,11037
11,38,148,27,18.24,121,81.76,11038
12,1,301,90,29.9,211,70.1,12001
12,2,246,61,24.8,185,75.2,12002
12,3,338,98,28.99,240,71.01,12003
12,4,327,87,26.61,240,73.39,12004
12,5,245,93,37.96,152,62.04,12005
12,6,263,67,25.48,196,74.52,12006
12,7,283,40,14.13,243,85.87,12007
12,8,308,103,33.44,205,66.56,12008
12,9,236,77,32.63,159,67.37,12009
12,10,357,45,12.61,312,87.39,12010
12,11,305,59,19.34,246,80.66,12011
12,12,277,73,26.35,204,73.65,12012
12,13,310,86,27.74,224,72.26,12013
12,14,263,37,14.07,226,85.93,12014
12,15,219,32,14.61,187,85.39,12015
12,16,282,31,10.99,251,89.01,12016
12,17,302,60,19.87,242,80.13,12017
12,18,249,31,12.45,218,87.55,12018
12,19,290,72,24.83,218,75.17,12019
12,20,346,67,19.36,279,80.64,12020
12,21,288,71,24.65,217,75.35,12021
12,22,317,51,16.09,266,83.91,12022
12,23,291,83,28.52,208,71.48,12023
13,1,235,107,45.53,128,54.47,13001
13,2,235,100,42.55,135,57.45,13002
13,3,229,73,31.88,156,68.12,13003
13,4,255,129,50.59,126,49.41,13004
13,5,333,120,36.04,213,63.96,13005
13,6,267,125,46.82,142,53.18,13006
13,7,243,81,33.33,162,66.67,13007
13,8,204,102,50.0,102,50.0,13008
13,9,253,80,31.62,173,68.38,13009
13,10,190,109,57.37,81,42.63,13010
13,11,296,122,41.22,174,58.78,13011
13,12,261,111,42.53,150,57.47,13012
13,13,307,89,28.99,218,71.01,13013
13,14,258,90,34.88,168,65.12,13014
13,15,485,154,31.75,331,68.25,13015
13,16,229,81,35.37,148,64.63,13016
13,17,261,92,35.25,169,64.75,13017
13,18,185,106,57.3,79,42.7,13018
13,19,359,78,21.73,281,78.27,13019
13,20,147,83,56.46,64,43.54,13020
13,21,276,165,59.78,111,40.22,13021
13,22,279,156,55.91,123,44.09,13022
13,23,232,61,26.29,171,73.71,13023
13,24,263,109,41.44,154,58.56,13024
13,25,300,108,36.0,192,64.0,13025
13,26,335,95,28.36,240,71.64,13026
13,27,270,138,51.11,132,48.89,13027
13,28,243,71,29.22,172,70.78,13028
13,29,219,83,37.9,136,62.1,13029
13,30,229,63,27.51,166,72.49,13030
13,31,282,147,52.13,135,47.87,13031
13,32,211,126,59.72,85,40.28,13032
13,33,226,111,49.12,115,50.88,13033
13,34,408,75,18.38,333,81.62,13034
13,35,266,60,22.56,206,77.44,13035
13,36,181,56,30.94,125,69.06,13036
13,37,300,103,34.33,197,65.67,13037
13,38,198,113,57.07,85,42.93,13038
13,39,295,77,26.1,218,73.9,13039
13,40,246,75,30.49,171,69.51,13040
13,41,315,85,26.98,230,73.02,13041
13,42,218,122,55.96,96,44.04,13042
13,43,298,95,31.88,203,68.12,13043
13,44,417,63,15.11,354,84.89,13044
13,45,337,154,45.7,183,54.3,13045
13,46,338,91,26.92,247,73.08,13046
13,47,302,86,28.48,216,71.52,13047
13,48,252,124,49.21,128,50.79,13048
14,1,269,146,54.28,123,45.72,14001
14,2,388,125,32.22,263,67.78,14002
14,3,345,67,19.42,278,80.58,14003
14,4,198,91,45.96,107,54.04,14004
14,5,419,46,10.98,373,89.02,14005
14,6,155,23,14.84,132,85.16,14006
14,7,306,94,30.72,212,69.28,14007
14,8,307,73,23.78,234,76.22,14008
14,9,293,147,50.17,146,49.83,14009
14,10,206,55,26.7,151,73.3,14010
14,11,214,33,15.42,181,84.58,14011
14,12,270,93,34.44,177,65.56,14012
14,13,244,55,22.54,189,77.46,14013
14,14,290,44,15.17,246,84.83,14014
14,15,370,84,22.7,286,77.3,14015
14,16,205,57,27.8,148,72.2,14016
14,17,240,40,16.67,200,83.33,14017
14,18,114,45,39.47,69,60.53,14018
14,19,323,74,22.91,249,77.09,14019
14,20,194,56,28.87,138,71.13,14020
14,21,265,47,17.74,218,82.26,14021
14,22,318,139,43.71,179,56.29,14022
14,23,203,78,38.42,125,61.58,14023
14,24,274,119,43.43,155,56.57,14024
14,25,178,32,17.98,146,82.02,14025
14,26,213,51,23.94,162,76.06,14026
14,27,261,78,29.89,183,70.11,14027
14,28,191,59,30.89,132,69.11,14028
14,29,252,52,20.63,200,79.37,14029
14,30,173,39,22.54,134,77.46,14030
14,31,181,42,23.2,139,76.8,14031
15,1,244,41,16.8,203,83.2,15001
15,2,174,79,45.4,95,54.6,15002
15,3,173,60,34.68,113,65.32,15003
15,4,272,38,13.97,234,86.03,15004
15,5,284,53,18.66,231,81.34,15005
15,6,259,48,18.53,211,81.47,15006
15,7,198,96,48.48,102,51.52,15007
15,8,261,54,20.69,207,79.31,15008
15,9,334,51,15.27,283,84.73,15009
15,10,364,76,20.88,288,79.12,15010
15,11,346,59,17.05,287,82.95,15011
15,12,317,70,22.08,247,77.92,15012
15,13,248,29,11.69,219,88.31,15013
15,14,250,35,14.0,215,86.0,15014
15,15,254,44,17.32,210,82.68,15015
15,16,259,60,23.17,199,76.83,15016
15,17,149,60,40.27,89,59.73,15017
15,18,180,62,34.44,118,65.56,15018
15,19,197,57,28.93,140,71.07,15019
15,20,148,53,35.81,95,64.19,15020
15,21,202,72,35.64,130,64.36,15021
15,22,169,63,37.28,106,62.72,15022
15,23,202,90,44.55,112,55.45,15023
15,24,172,63,36.63,109,63.37,15024
16,1,286,66,23.08,220,76.92,16001
16,2,259,96,37.07,163,62.93,16002
16,3,193,77,39.9,116,60.1,16003
16,4,177,56,31.64,121,68.36,16004
16,5,219,77,35.16,142,64.84,16005
16,6,233,78,33.48,155,66.52,16006
16,7,213,72,33.8,141,66.2,16007
16,8,167,47,28.14,120,71.86,16008
16,9,279,104,37.28,175,62.72,16009
16,10,198,76,38.38,122,61.62,16010
16,11,232,81,34.91,151,65.09,16011
16,12,207,86,41.55,121,58.45,16012
16,13,254,54,21.26,200,78.74,16013
16,14,174,62,35.63,112,64.37,16014
16,15,241,80,33.2,161,66.8,16015
16,16,208,83,39.9,125,60.1,16016
16,17,240,56,23.33,184,76.67,16017
16,18,222,68,30.63,154,69.37,16018
16,19,223,75,33.63,148,66.37,16019
16,20,193,65,33.68,128,66.32,16020
16,21,173,73,42.2,100,57.8,16021
16,22,210,86,40.95,124,59.05,16022
16,23,229,49,21.4,180,78.6,16023
16,24,136,43,31.62,93,68.38,16024
16,25,231,85,36.8,146,63.2,16025
16,26,165,64,38.79,101,61.21,16026
16,27,164,60,36.59,104,63.41,16027
16,28,195,72,36.92,123,63.08,16028
16,29,191,80,41.88,111,58.12,16029
16,30,183,65,35.52,118,64.48,16030
16,31,199,68,34.17,131,65.83,16031
16,32,270,69,25.56,201,74.44,16032
16,33,202,68,33.66,134,66.34,16033
16,34,211,70,33.18,141,66.82,16034
16,35,252,62,24.6,190,75.4,16035
16,36,157,64,40.76,93,59.24,16036
17,1,234,52,22.22,182,77.78,17001
17,2,216,75,34.72,141,65.28,17002
17,3,248,101,40.73,147,59.27,17003
17,4,323,119,36.84,204,63.16,17004
17,5,218,71,32.57,147,67.43,17005
17,6,242,88,36.36,154,63.64,17006
17,7,264,70,26.52,194,73.48,17007
17,8,234,88,37.61,146,62.39,17008
17,9,247,74,29.96,173,70.04,17009
17,10,262,100,38.17,162,61.83,17010
17,11,213,77,36.15,136,63.85,17011
17,12,352,95,26.99,257,73.01,17012
