ward,precinct,total,Aleksandra ''Alex'' Gillespie,Aleksandra ''Alex'' Gillespie Percent,Thomas Maloney Cushing,Thomas Maloney Cushing Percent,precinct_id
7,4,280,197,70.36,83,29.64,07004
7,5,191,116,60.73,75,39.27,07005
7,6,327,221,67.58,106,32.42,07006
7,7,242,151,62.4,91,37.6,07007
7,8,205,138,67.32,67,32.68,07008
7,9,391,265,67.77,126,32.23,07009
7,10,308,211,68.51,97,31.49,07010
7,11,316,209,66.14,107,33.86,07011
7,12,238,140,58.82,98,41.18,07012
7,13,149,107,71.81,42,28.19,07013
7,14,276,187,67.75,89,32.25,07014
7,15,279,191,68.46,88,31.54,07015
7,16,248,168,67.74,80,32.26,07016
7,17,236,150,63.56,86,36.44,07017
7,18,207,125,60.39,82,39.61,07018
7,19,262,158,60.31,104,39.69,07019
7,20,191,128,67.02,63,32.98,07020
7,21,198,132,66.67,66,33.33,07021
7,22,202,136,67.33,66,32.67,07022
7,23,289,185,64.01,104,35.99,07023
7,24,245,147,60.0,98,40.0,07024
7,25,255,171,67.06,84,32.94,07025
7,26,237,153,64.56,84,35.44,07026
7,27,227,150,66.08,77,33.92,07027
7,28,184,107,58.15,77,41.85,07028
7,29,237,156,65.82,81,34.18,07029
7,30,204,125,61.27,79,38.73,07030
7,31,165,96,58.18,69,41.82,07031
7,32,385,276,71.69,109,28.31,07032
7,33,353,250,70.82,103,29.18,07033
7,34,318,214,67.3,104,32.7,07034
7,35,244,175,71.72,69,28.28,07035
7,36,348,239,68.68,109,31.32,07036
7,37,295,190,64.41,105,35.59,07037
7,38,248,156,62.9,92,37.1,07038
7,39,251,154,61.35,97,38.65,07039
7,40,237,154,64.98,83,35.02,07040
7,41,256,159,62.11,97,37.89,07041
7,42,260,176,67.69,84,32.31,07042
7,43,225,142,63.11,83,36.89,07043
7,44,253,166,65.61,87,34.39,07044
7,45,271,164,60.52,107,39.48,07045
7,46,116,77,66.38,39,33.62,07046
8,1,220,145,65.91,75,34.09,08001
8,2,312,209,66.99,103,33.01,08002
8,3,321,238,74.14,83,25.86,08003
8,4,333,246,73.87,87,26.13,08004
8,5,312,212,67.95,100,32.05,08005
8,6,319,238,74.61,81,25.39,08006
8,7,337,238,70.62,99,29.38,08007
8,8,279,204,73.12,75,26.88,08008
8,9,207,151,72.95,56,27.05,08009
8,10,360,259,71.94,101,28.06,08010
8,11,263,192,73.0,71,27.0,08011
8,12,268,196,73.13,72,26.87,08012
8,13,327,209,63.91,118,36.09,08013
8,14,245,175,71.43,70,28.57,08014
8,15,271,196,72.32,75,27.68,08015
8,16,121,81,66.94,40,33.06,08016
8,17,252,181,71.83,71,28.17,08017
8,18,285,190,66.67,95,33.33,08018
8,19,343,251,73.18,92,26.82,08019
8,20,333,239,71.77,94,28.23,08020
8,21,365,254,69.59,111,30.41,08021
8,22,261,175,67.05,86,32.95,08022
8,23,242,160,66.12,82,33.88,08023
8,24,174,125,71.84,49,28.16,08024
8,25,288,195,67.71,93,32.29,08025
8,26,287,190,66.2,97,33.8,08026
8,27,329,234,71.12,95,28.88,08027
8,28,292,200,68.49,92,31.51,08028
8,29,355,274,77.18,81,22.82,08029
8,30,308,195,63.31,113,36.69,08030
8,31,236,164,69.49,72,30.51,08031
8,32,222,156,70.27,66,29.73,08032
8,33,279,175,62.72,104,37.28,08033
8,34,272,185,68.01,87,31.99,08034
8,35,293,202,68.94,91,31.06,08035
8,36,305,224,73.44,81,26.56,08036
8,37,254,192,75.59,62,24.41,08037
8,38,184,120,65.22,64,34.78,08038
8,39,281,202,71.89,79,28.11,08039
8,40,234,176,75.21,58,24.79,08040
8,41,279,186,66.67,93,33.33,08041
8,42,361,258,71.47,103,28.53,08042
8,43,144,98,68.06,46,31.94,08043
8,44,207,147,71.01,60,28.99,08044
8,45,295,184,62.37,111,37.63,08045
8,46,217,140,64.52,77,35.48,08046
8,47,229,160,69.87,69,30.13,08047
8,48,289,195,67.47,94,32.53,08048
8,49,279,204,73.12,75,26.88,08049
8,50,291,214,73.54,77,26.46,08050
8,51,322,231,71.74,91,28.26,08051
8,52,361,282,78.12,79,21.88,08052
8,53,164,119,72.56,45,27.44,08053
8,54,281,189,67.26,92,32.74,08054
8,55,226,163,72.12,63,27.88,08055
8,56,274,190,69.34,84,30.66,08056
9,1,309,192,62.14,117,37.86,09001
9,2,264,174,65.91,90,34.09,09002
9,3,220,138,62.73,82,37.27,09003
9,4,227,146,64.32,81,35.68,09004
9,5,247,181,73.28,66,26.72,09005
9,6,255,167,65.49,88,34.51,09006
9,7,185,108,58.38,77,41.62,09007
9,8,290,177,61.03,113,38.97,09008
9,9,299,190,63.55,109,36.45,09009
9,10,257,178,69.26,79,30.74,09010
9,11,205,128,62.44,77,37.56,09011
9,12,284,195,68.66,89,31.34,09012
9,13,295,207,70.17,88,29.83,09013
9,14,364,250,68.68,114,31.32,09014
9,15,268,148,55.22,120,44.78,09015
9,16,268,173,64.55,95,35.45,09016
9,17,221,153,69.23,68,30.77,09017
9,18,197,122,61.93,75,38.07,09018
9,19,282,200,70.92,82,29.08,09019
9,20,319,207,64.89,112,35.11,09020
9,21,232,158,68.1,74,31.9,09021
9,22,302,205,67.88,97,32.12,09022
9,23,305,227,74.43,78,25.57,09023
9,24,303,206,67.99,97,32.01,09024
9,25,280,185,66.07,95,33.93,09025
9,26,264,176,66.67,88,33.33,09026
9,27,252,166,65.87,86,34.13,09027
9,28,173,112,64.74,61,35.26,09028
9,29,221,135,61.09,86,38.91,09029
9,30,242,179,73.97,63,26.03,09030
9,31,200,135,67.5,65,32.5,09031
9,32,242,175,72.31,67,27.69,09032
9,33,219,161,73.52,58,26.48,09033
9,34,218,147,67.43,71,32.57,09034
9,35,270,198,73.33,72,26.67,09035
9,36,254,196,77.17,58,22.83,09036
9,37,292,196,67.12,96,32.88,09037
9,38,255,170,66.67,85,33.33,09038
9,39,311,211,67.85,100,32.15,09039
9,40,306,211,68.95,95,31.05,09040
9,41,230,146,63.48,84,36.52,09041
9,42,295,233,78.98,62,21.02,09042
9,43,239,157,65.69,82,34.31,09043
9,44,245,169,68.98,76,31.02,09044
9,45,228,143,62.72,85,37.28,09045
9,46,277,195,70.4,82,29.6,09046
9,47,308,241,78.25,67,21.75,09047
9,48,299,207,69.23,92,30.77,09048
9,49,291,218,74.91,73,25.09,09049
9,50,363,293,80.72,70,19.28,09050
9,51,278,195,70.14,83,29.86,09051
10,1,214,138,64.49,76,35.51,10001
10,2,160,106,66.25,54,33.75,10002
10,3,182,127,69.78,55,30.22,10003
10,4,203,134,66.01,69,33.99,10004
10,5,136,90,66.18,46,33.82,10005
10,6,189,135,71.43,54,28.57,10006
10,7,167,116,69.46,51,30.54,10007
10,8,179,99,55.31,80,44.69,10008
10,9,179,118,65.92,61,34.08,10009
10,10,234,170,72.65,64,27.35,10010
10,11,285,194,68.07,91,31.93,10011
10,12,164,119,72.56,45,27.44,10012
10,13,268,195,72.76,73,27.24,10013
10,14,292,216,73.97,76,26.03,10014
10,15,500,326,65.2,174,34.8,10015
10,16,168,110,65.48,58,34.52,10016
10,17,236,150,63.56,86,36.44,10017
10,18,167,108,64.67,59,35.33,10018
10,19,210,161,76.67,49,23.33,10019
10,20,225,153,68.0,72,32.0,10020
10,21,252,185,73.41,67,26.59,10021
10,22,141,92,65.25,49,34.75,10022
10,23,227,156,68.72,71,31.28,10023
10,24,181,127,70.17,54,29.83,10024
10,25,80,54,67.5,26,32.5,10025
10,26,191,130,68.06,61,31.94,10026
10,27,227,150,66.08,77,33.92,10027
10,28,271,201,74.17,70,25.83,10028
10,29,230,159,69.13,71,30.87,10029
10,30,231,172,74.46,59,25.54,10030
10,31,201,137,68.16,64,31.84,10031
10,32,219,164,74.89,55,25.11,10032
10,33,151,112,74.17,39,25.83,10033
10,34,165,117,70.91,48,29.09,10034
10,35,203,135,66.5,68,33.5,10035
10,36,55,41,74.55,14,25.45,10036
11,1,251,176,70.12,75,29.88,11001
11,2,42,25,59.52,17,40.48,11002
11,3,235,161,68.51,74,31.49,11003
11,4,230,152,66.09,78,33.91,11004
11,5,339,227,66.96,112,33.04,11005
11,6,272,194,71.32,78,28.68,11006
11,7,410,286,69.76,124,30.24,11007
11,8,256,172,67.19,84,32.81,11008
11,9,225,153,68.0,72,32.0,11009
11,10,236,168,71.19,68,28.81,11010
11,11,238,173,72.69,65,27.31,11011
11,12,367,247,67.3,120,32.7,11012
11,13,320,233,72.81,87,27.19,11013
11,14,108,67,62.04,41,37.96,11014
11,15,92,62,67.39,30,32.61,11015
11,16,158,119,75.32,39,24.68,11016
11,17,316,221,69.94,95,30.06,11017
11,18,224,175,78.13,49,21.88,11018
11,19,340,234,68.82,106,31.18,11019
11,20,188,151,80.32,37,19.68,11020
11,21,392,286,72.96,106,27.04,11021
11,22,331,232,70.09,99,29.91,11022
11,23,149,105,70.47,44,29.53,11023
11,24,388,303,78.09,85,21.91,11024
11,25,302,207,68.54,95,31.46,11025
11,26,328,240,73.17,88,26.83,11026
11,27,86,59,68.6,27,31.4,11027
11,28,135,80,59.26,55,40.74,11028
11,29,296,217,73.31,79,26.69,11029
11,30,123,78,63.41,45,36.59,11030
11,31,244,153,62.7,91,37.3,11031
11,32,132,102,77.27,30,22.73,11032
11,33,224,154,68.75,70,31.25,11033
11,34,74,54,72.97,20,27.03,11034
11,35,63,39,61.9,24,38.1,11035
11,36,94,55,58.51,39,41.49,11036
11,37,68,46,67.65,22,32.35,11037
11,38,138,89,64.49,49,35.51,11038
12,1,278,181,65.11,97,34.89,12001
12,2,228,138,60.53,90,39.47,12002
12,3,315,215,68.25,100,31.75,12003
12,4,293,196,66.89,97,33.11,12004
12,5,229,149,65.07,80,34.93,12005
12,6,246,158,64.23,88,35.77,12006
12,7,265,167,63.02,98,36.98,12007
12,8,288,196,68.06,92,31.94,12008
12,9,224,157,70.09,67,29.91,12009
12,10,335,237,70.75,98,29.25,12010
12,11,282,188,66.67,94,33.33,12011
12,12,256,182,71.09,74,28.91,12012
12,13,281,210,74.73,71,25.27,12013
12,14,255,179,70.2,76,29.8,12014
12,15,205,129,62.93,76,37.07,12015
12,16,250,161,64.4,89,35.6,12016
12,17,283,188,66.43,95,33.57,12017
12,18,231,147,63.64,84,36.36,12018
12,19,269,176,65.43,93,34.57,12019
12,20,332,238,71.69,94,28.31,12020
12,21,281,195,69.4,86,30.6,12021
12,22,294,221,75.17,73,24.83,12022
12,23,267,175,65.54,92,34.46,12023
13,1,219,171,78.08,48,21.92,13001
13,2,228,164,71.93,64,28.07,13002
13,3,206,145,70.39,61,29.61,13003
13,4,244,174,71.31,70,28.69,13004
13,5,314,238,75.8,76,24.2,13005
13,6,245,168,68.57,77,31.43,13006
13,7,227,180,79.3,47,20.7,13007
13,8,196,127,64.8,69,35.2,13008
13,9,236,164,69.49,72,30.51,13009
13,10,172,100,58.14,72,41.86,13010
13,11,279,208,74.55,71,25.45,13011
13,12,248,162,65.32,86,34.68,13012
13,13,291,220,75.6,71,24.4,13013
13,14,242,173,71.49,69,28.51,13014
13,15,464,351,75.65,113,24.35,13015
13,16,208,145,69.71,63,30.29,13016
13,17,241,175,72.61,66,27.39,13017
13,18,171,119,69.59,52,30.41,13018
13,19,342,263,76.9,79,23.1,13019
13,20,136,99,72.79,37,27.21,13020
13,21,257,170,66.15,87,33.85,13021
13,22,260,174,66.92,86,33.08,13022
13,23,221,158,71.49,63,28.51,13023
13,24,255,175,68.63,80,31.37,13024
13,25,286,214,74.83,72,25.17,13025
13,26,320,257,80.31,63,19.69,13026
13,27,259,176,67.95,83,32.05,13027
13,28,230,164,71.3,66,28.7,13028
13,29,200,137,68.5,63,31.5,13029
13,30,220,169,76.82,51,23.18,13030
13,31,259,166,64.09,93,35.91,13031
13,32,196,124,63.27,72,36.73,13032
13,33,230,156,67.83,74,32.17,13033
13,34,400,335,83.75,65,16.25,13034
13,35,254,204,80.31,50,19.69,13035
13,36,172,125,72.67,47,27.33,13036
13,37,294,211,71.77,83,28.23,13037
13,38,184,125,67.93,59,32.07,13038
13,39,281,223,79.36,58,20.64,13039
13,40,223,168,75.34,55,24.66,13040
13,41,306,218,71.24,88,28.76,13041
13,42,205,137,66.83,68,33.17,13042
13,43,285,218,76.49,67,23.51,13043
13,44,401,358,89.28,43,10.72,13044
13,45,324,230,70.99,94,29.01,13045
13,46,320,233,72.81,87,27.19,13046
13,47,285,201,70.53,84,29.47,13047
13,48,236,172,72.88,64,27.12,13048
14,1,238,176,73.95,62,26.05,14001
14,2,370,260,70.27,110,29.73,14002
14,3,328,248,75.61,80,24.39,14003
14,4,193,134,69.43,59,30.57,14004
14,5,407,314,77.15,93,22.85,14005
14,6,146,115,78.77,31,21.23,14006
14,7,299,205,68.56,94,31.44,14007
14,8,293,221,75.43,72,24.57,14008
14,9,271,197,72.69,74,27.31,14009
14,10,195,141,72.31,54,27.69,14010
14,11,210,173,82.38,37,17.62,14011
14,12,252,193,76.59,59,23.41,14012
14,13,232,168,72.41,64,27.59,14013
14,14,279,215,77.06,64,22.94,14014
14,15,361,277,76.73,84,23.27,14015
14,16,192,132,68.75,60,31.25,14016
14,17,225,174,77.33,51,22.67,14017
14,18,101,71,70.3,30,29.7,14018
14,19,303,216,71.29,87,28.71,14019
14,20,182,129,70.88,53,29.12,14020
14,21,250,185,74.0,65,26.0,14021
14,22,293,204,69.62,89,30.38,14022
14,23,201,134,66.67,67,33.33,14023
14,24,269,195,72.49,74,27.51,14024
14,25,171,127,74.27,44,25.73,14025
14,26,199,136,68.34,63,31.66,14026
14,27,243,182,74.9,61,25.1,14027
14,28,178,128,71.91,50,28.09,14028
14,29,237,182,76.79,55,23.21,14029
14,30,163,120,73.62,43,26.38,14030
14,31,177,136,76.84,41,23.16,14031
15,1,228,172,75.44,56,24.56,15001
15,2,176,96,54.55,80,45.45,15002
15,3,169,105,62.13,64,37.87,15003
15,4,258,181,70.16,77,29.84,15004
15,5,281,206,73.31,75,26.69,15005
15,6,241,166,68.88,75,31.12,15006
15,7,205,124,60.49,81,39.51,15007
15,8,246,169,68.7,77,31.3,15008
15,9,319,214,67.08,105,32.92,15009
15,10,348,249,71.55,99,28.45,15010
15,11,340,238,70.0,102,30.0,15011
15,12,301,195,64.78,106,35.22,15012
15,13,243,163,67.08,80,32.92,15013
15,14,234,159,67.95,75,32.05,15014
15,15,228,166,72.81,62,27.19,15015
15,16,243,162,66.67,81,33.33,15016
15,17,152,92,60.53,60,39.47,15017
15,18,186,102,54.84,84,45.16,15018
15,19,182,115,63.19,67,36.81,15019
15,20,142,91,64.08,51,35.92,15020
15,21,198,117,59.09,81,40.91,15021
15,22,175,107,61.14,68,38.86,15022
15,23,203,119,58.62,84,41.38,15023
15,24,179,104,58.1,75,41.9,15024
16,1,270,184,68.15,86,31.85,16001
16,2,250,142,56.8,108,43.2,16002
16,3,200,114,57.0,86,43.0,16003
16,4,174,118,67.82,56,32.18,16004
16,5,216,110,50.93,106,49.07,16005
16,6,239,121,50.63,118,49.37,16006
16,7,212,138,65.09,74,34.91,16007
16,8,165,100,60.61,65,39.39,16008
16,9,284,167,58.8,117,41.2,16009
16,10,199,118,59.3,81,40.7,16010
16,11,232,138,59.48,94,40.52,16011
16,12,206,112,54.37,94,45.63,16012
16,13,249,152,61.04,97,38.96,16013
16,14,169,105,62.13,64,37.87,16014
16,15,241,132,54.77,109,45.23,16015
16,16,208,113,54.33,95,45.67,16016
16,17,227,151,66.52,76,33.48,16017
16,18,220,129,58.64,91,41.36,16018
16,19,219,138,63.01,81,36.99,16019
16,20,179,107,59.78,72,40.22,16020
16,21,175,108,61.71,67,38.29,16021
16,22,210,119,56.67,91,43.33,16022
16,23,221,156,70.59,65,29.41,16023
16,24,138,85,61.59,53,38.41,16024
16,25,237,137,57.81,100,42.19,16025
16,26,165,102,61.82,63,38.18,16026
16,27,168,117,69.64,51,30.36,16027
16,28,197,114,57.87,83,42.13,16028
16,29,190,113,59.47,77,40.53,16029
16,30,179,116,64.8,63,35.2,16030
16,31,195,116,59.49,79,40.51,16031
16,32,258,168,65.12,90,34.88,16032
16,33,195,130,66.67,65,33.33,16033
16,34,221,145,65.61,76,34.39,16034
16,35,245,163,66.53,82,33.47,16035
16,36,157,104,66.24,53,33.76,16036
17,1,228,156,68.42,72,31.58,17001
17,2,217,141,64.98,76,35.02,17002
17,3,248,156,62.9,92,37.1,17003
17,4,329,192,58.36,137,41.64,17004
17,5,221,130,58.82,91,41.18,17005
17,6,236,145,61.44,91,38.56,17006
17,7,260,175,67.31,85,32.69,17007
17,8,234,152,64.96,82,35.04,17008
17,9,253,163,64.43,90,35.57,17009
17,10,263,159,60.46,104,39.54,17010
17,11,205,118,57.56,87,42.44,17011
