ward,precinct,total,Pat Heneghan,Pat Heneghan Percent,Susana L. Ortiz,Susana L. Ortiz Percent,precinct_id
8,8,285,118,41.4,108,37.89,08008
8,9,205,83,40.49,81,39.51,08009
8,10,369,138,37.4,139,37.67,08010
8,11,272,127,46.69,96,35.29,08011
8,12,273,118,43.22,113,41.39,08012
8,13,337,83,24.63,170,50.45,08013
8,14,250,88,35.2,109,43.6,08014
8,15,280,116,41.43,120,42.86,08015
8,16,124,31,25.0,66,53.23,08016
8,17,257,117,45.53,100,38.91,08017
8,18,291,137,47.08,104,35.74,08018
8,19,356,131,36.8,147,41.29,08019
8,20,331,118,35.65,146,44.11,08020
8,21,363,152,41.87,138,38.02,08021
8,22,266,88,33.08,117,43.98,08022
8,23,246,95,38.62,104,42.28,08023
8,24,175,60,34.29,72,41.14,08024
8,25,291,124,42.61,113,38.83,08025
8,26,289,95,32.87,123,42.56,08026
8,27,330,125,37.88,124,37.58,08027
8,28,303,97,32.01,128,42.24,08028
8,29,358,152,42.46,137,38.27,08029
8,30,316,105,33.23,138,43.67,08030
8,31,232,76,32.76,108,46.55,08031
8,32,235,80,34.04,101,42.98,08032
8,33,291,86,29.55,131,45.02,08033
8,34,267,95,35.58,103,38.58,08034
8,35,302,100,33.11,131,43.38,08035
8,36,303,106,34.98,125,41.25,08036
8,37,258,88,34.11,98,37.98,08037
8,38,193,70,36.27,77,39.9,08038
8,39,288,90,31.25,131,45.49,08039
8,40,238,88,36.97,106,44.54,08040
8,41,295,112,37.97,112,37.97,08041
8,42,368,136,36.96,154,41.85,08042
8,43,144,46,31.94,65,45.14,08043
8,44,209,73,34.93,96,45.93,08044
8,45,298,88,29.53,137,45.97,08045
8,46,232,81,34.91,99,42.67,08046
8,47,236,86,36.44,105,44.49,08047
8,48,294,93,31.63,142,48.3,08048
8,49,284,133,46.83,85,29.93,08049
8,50,299,135,45.15,108,36.12,08050
8,51,329,132,40.12,115,34.95,08051
8,52,371,143,38.54,154,41.51,08052
8,53,165,56,33.94,67,40.61,08053
8,54,280,119,42.5,111,39.64,08054
8,55,238,93,39.08,104,43.7,08055
8,56,279,110,39.43,108,38.71,08056
9,1,308,84,27.27,131,42.53,09001
9,2,269,84,31.23,126,46.84,09002
9,3,233,65,27.9,116,49.79,09003
9,4,230,76,33.04,102,44.35,09004
9,5,257,82,31.91,117,45.53,09005
9,6,271,100,36.9,109,40.22,09006
9,7,185,57,30.81,93,50.27,09007
9,8,285,72,25.26,140,49.12,09008
9,9,302,95,31.46,121,40.07,09009
9,10,268,83,30.97,115,42.91,09010
9,11,209,90,43.06,75,35.89,09011
9,12,292,94,32.19,141,48.29,09012
9,13,308,95,30.84,143,46.43,09013
9,14,360,123,34.17,151,41.94,09014
9,15,282,82,29.08,131,46.45,09015
9,16,281,82,29.18,124,44.13,09016
9,17,229,84,36.68,97,42.36,09017
9,18,199,57,28.64,84,42.21,09018
9,19,289,101,34.95,123,42.56,09019
9,20,318,103,32.39,125,39.31,09020
9,21,243,76,31.28,98,40.33,09021
9,22,304,106,34.87,130,42.76,09022
9,23,309,99,32.04,136,44.01,09023
9,24,295,80,27.12,130,44.07,09024
9,25,294,85,28.91,138,46.94,09025
9,26,269,78,29.0,140,52.04,09026
9,27,257,87,33.85,106,41.25,09027
9,28,185,38,20.54,112,60.54,09028
9,29,235,74,31.49,110,46.81,09029
9,30,253,75,29.64,119,47.04,09030
9,31,215,57,26.51,108,50.23,09031
9,32,242,84,34.71,93,38.43,09032
9,33,223,77,34.53,94,42.15,09033
9,34,228,78,34.21,106,46.49,09034
9,35,273,101,37.0,106,38.83,09035
9,36,245,77,31.43,118,48.16,09036
9,37,302,92,30.46,164,54.3,09037
9,38,267,85,31.84,119,44.57,09038
9,39,302,106,35.1,134,44.37,09039
9,40,304,93,30.59,141,46.38,09040
9,41,236,74,31.36,104,44.07,09041
9,42,300,93,31.0,140,46.67,09042
9,43,244,64,26.23,126,51.64,09043
9,44,255,94,36.86,107,41.96,09044
9,45,228,79,34.65,92,40.35,09045
9,46,278,83,29.86,133,47.84,09046
9,47,308,98,31.82,128,41.56,09047
9,48,311,83,26.69,135,43.41,09048
9,49,304,107,35.2,125,41.12,09049
9,50,355,109,30.7,166,46.76,09050
9,51,285,86,30.18,121,42.46,09051
10,1,229,43,18.78,139,60.7,10001
10,2,172,50,29.07,113,65.7,10002
10,3,189,53,28.04,115,60.85,10003
10,4,215,34,15.81,166,77.21,10004
10,5,150,30,20.0,109,72.67,10005
10,6,210,21,10.0,177,84.29,10006
10,7,172,15,8.72,147,85.47,10007
10,8,184,31,16.85,114,61.96,10008
10,9,185,51,27.57,120,64.86,10009
10,10,252,39,15.48,203,80.56,10010
10,11,310,38,12.26,260,83.87,10011
10,12,177,29,16.38,141,79.66,10012
10,13,290,36,12.41,225,77.59,10013
10,14,309,36,11.65,265,85.76,10014
10,15,525,137,26.1,243,46.29,10015
10,16,168,36,21.43,117,69.64,10016
10,17,240,67,27.92,155,64.58,10017
10,18,169,19,11.24,126,74.56,10018
10,19,224,34,15.18,178,79.46,10019
10,20,247,34,13.77,200,80.97,10020
10,21,270,29,10.74,230,85.19,10021
10,22,155,15,9.68,132,85.16,10022
10,23,251,37,14.74,203,80.88,10023
10,24,186,42,22.58,129,69.35,10024
10,25,82,12,14.63,57,69.51,10025
10,26,205,24,11.71,172,83.9,10026
10,27,241,56,23.24,151,62.66,10027
10,28,289,28,9.69,246,85.12,10028
10,29,241,30,12.45,203,84.23,10029
10,30,251,26,10.36,217,86.45,10030
10,31,207,31,14.98,170,82.13,10031
10,32,242,46,19.01,186,76.86,10032
10,33,165,15,9.09,143,86.67,10033
10,34,175,29,16.57,128,73.14,10034
10,35,218,43,19.72,165,75.69,10035
10,36,58,11,18.97,41,70.69,10036
11,1,252,107,42.46,111,44.05,11001
11,2,42,17,40.48,17,40.48,11002
11,3,247,58,23.48,158,63.97,11003
11,4,235,79,33.62,133,56.6,11004
11,5,354,117,33.05,193,54.52,11005
11,6,280,87,31.07,153,54.64,11006
11,7,409,101,24.69,235,57.46,11007
11,8,267,89,33.33,153,57.3,11008
11,9,230,108,46.96,100,43.48,11009
11,10,230,113,49.13,96,41.74,11010
11,11,247,87,35.22,132,53.44,11011
11,12,377,282,74.8,81,21.49,11012
11,13,324,206,63.58,90,27.78,11013
11,14,100,45,45.0,43,43.0,11014
11,15,95,40,42.11,40,42.11,11015
11,16,159,88,55.35,63,39.62,11016
11,17,331,123,37.16,174,52.57,11017
11,18,230,129,56.09,90,39.13,11018
11,19,350,110,31.43,208,59.43,11019
11,20,185,97,52.43,69,37.3,11020
11,21,399,274,68.67,101,25.31,11021
11,22,341,155,45.45,154,45.16,11022
11,23,152,80,52.63,56,36.84,11023
11,24,383,288,75.2,79,20.63,11024
11,25,301,150,49.83,124,41.2,11025
11,26,324,186,57.41,112,34.57,11026
11,27,92,39,42.39,46,50.0,11027
11,28,147,89,60.54,50,34.01,11028
11,29,288,192,66.67,79,27.43,11029
11,30,121,50,41.32,60,49.59,11030
11,31,248,147,59.27,86,34.68,11031
11,32,129,83,64.34,35,27.13,11032
11,33,228,57,25.0,126,55.26,11033
11,34,73,39,53.42,29,39.73,11034
11,35,58,28,48.28,25,43.1,11035
11,36,105,46,43.81,53,50.48,11036
11,37,68,16,23.53,38,55.88,11037
11,38,143,32,22.38,92,64.34,11038
12,1,291,69,23.71,210,72.16,12001
12,2,245,42,17.14,184,75.1,12002
12,3,338,80,23.67,236,69.82,12003
12,4,318,68,21.38,230,72.33,12004
12,5,237,67,28.27,158,66.67,12005
12,6,268,56,20.9,200,74.63,12006
12,7,284,38,13.38,228,80.28,12007
12,8,299,78,26.09,206,68.9,12008
12,9,236,43,18.22,175,74.15,12009
12,10,356,31,8.71,305,85.67,12010
12,11,300,31,10.33,252,84.0,12011
12,12,279,51,18.28,213,76.34,12012
12,13,301,48,15.95,232,77.08,12013
12,14,261,25,9.58,222,85.06,12014
12,15,225,28,12.44,184,81.78,12015
12,16,276,24,8.7,237,85.87,12016
12,17,300,43,14.33,239,79.67,12017
12,18,250,28,11.2,205,82.0,12018
12,19,288,57,19.79,210,72.92,12019
12,20,348,52,14.94,284,81.61,12020
12,21,294,45,15.31,232,78.91,12021
12,22,316,35,11.08,264,83.54,12022
12,23,293,57,19.45,218,74.4,12023
13,1,228,119,52.19,87,38.16,13001
13,2,234,149,63.68,73,31.2,13002
13,3,222,49,22.07,160,72.07,13003
13,4,250,120,48.0,110,44.0,13004
13,5,334,102,30.54,217,64.97,13005
13,6,260,153,58.85,89,34.23,13006
13,7,233,101,43.35,122,52.36,13007
13,8,201,114,56.72,75,37.31,13008
13,9,243,72,29.63,159,65.43,13009
13,10,183,105,57.38,63,34.43,13010
13,11,286,176,61.54,93,32.52,13011
13,12,257,110,42.8,133,51.75,13012
13,13,302,131,43.38,153,50.66,13013
13,14,254,89,35.04,154,60.63,13014
13,15,482,171,35.48,285,59.13,13015
13,16,226,85,37.61,132,58.41,13016
13,17,246,125,50.81,116,47.15,13017
13,18,174,83,47.7,80,45.98,13018
13,19,352,92,26.14,235,66.76,13019
13,20,137,78,56.93,44,32.12,13020
13,21,260,155,59.62,90,34.62,13021
13,22,269,150,55.76,98,36.43,13022
13,23,232,64,27.59,157,67.67,13023
13,24,261,111,42.53,137,52.49,13024
13,25,294,129,43.88,147,50.0,13025
13,26,324,195,60.19,115,35.49,13026
13,27,266,116,43.61,125,46.99,13027
13,28,237,76,32.07,148,62.45,13028
13,29,209,77,36.84,119,56.94,13029
13,30,229,89,38.86,131,57.21,13030
13,31,270,163,60.37,86,31.85,13031
13,32,205,109,53.17,84,40.98,13032
13,33,232,120,51.72,91,39.22,13033
13,34,405,230,56.79,158,39.01,13034
13,35,261,111,42.53,143,54.79,13035
13,36,176,64,36.36,108,61.36,13036
13,37,299,134,44.82,138,46.15,13037
13,38,196,118,60.2,65,33.16,13038
13,39,286,129,45.1,149,52.1,13039
13,40,231,102,44.16,118,51.08,13040
13,41,310,86,27.74,200,64.52,13041
13,42,206,111,53.88,81,39.32,13042
13,43,295,143,48.47,134,45.42,13043
13,44,419,288,68.74,123,29.36,13044
13,45,335,173,51.64,135,40.3,13045
13,46,336,113,33.63,213,63.39,13046
13,47,302,91,30.13,194,64.24,13047
13,48,237,135,56.96,85,35.86,13048
14,1,253,126,49.8,105,41.5,14001
14,2,379,106,27.97,251,66.23,14002
14,3,344,82,23.84,246,71.51,14003
14,4,187,84,44.92,88,47.06,14004
14,5,412,142,34.47,255,61.89,14005
14,6,154,48,31.17,101,65.58,14006
14,7,311,47,15.11,244,78.46,14007
14,8,300,41,13.67,245,81.67,14008
14,9,278,109,39.21,144,51.8,14009
14,10,203,47,23.15,143,70.44,14010
14,11,211,81,38.39,117,55.45,14011
14,12,261,67,25.67,171,65.52,14012
14,13,250,60,24.0,176,70.4,14013
14,14,288,71,24.65,208,72.22,14014
14,15,374,113,30.21,244,65.24,14015
14,16,196,56,28.57,125,63.78,14016
14,17,243,46,18.93,185,76.13,14017
14,18,111,36,32.43,68,61.26,14018
14,19,311,55,17.68,242,77.81,14019
14,20,192,37,19.27,145,75.52,14020
14,21,265,61,23.02,192,72.45,14021
14,22,304,72,23.68,214,70.39,14022
14,23,202,76,37.62,107,52.97,14023
14,24,267,127,47.57,118,44.19,14024
14,25,184,64,34.78,115,62.5,14025
14,26,206,42,20.39,145,70.39,14026
14,27,261,81,31.03,166,63.6,14027
14,28,182,42,23.08,124,68.13,14028
14,29,253,82,32.41,156,61.66,14029
14,30,173,42,24.28,129,74.57,14030
14,31,179,25,13.97,141,78.77,14031
15,1,250,25,10.0,210,84.0,15001
15,2,178,49,27.53,86,48.31,15002
15,3,179,48,26.82,86,48.04,15003
15,4,269,29,10.78,228,84.76,15004
15,5,288,32,11.11,238,82.64,15005
15,6,256,31,12.11,213,83.2,15006
15,7,201,60,29.85,93,46.27,15007
15,8,258,30,11.63,212,82.17,15008
15,9,338,38,11.24,285,84.32,15009
15,10,370,72,19.46,277,74.86,15010
15,11,341,43,12.61,285,83.58,15011
15,12,321,49,15.26,255,79.44,15012
15,13,257,19,7.39,225,87.55,15013
15,14,253,25,9.88,208,82.21,15014
15,15,262,21,8.02,223,85.11,15015
15,16,257,30,11.67,208,80.93,15016
15,17,149,47,31.54,77,51.68,15017
15,18,194,66,34.02,94,48.45,15018
15,19,205,38,18.54,146,71.22,15019
15,20,156,50,32.05,73,46.79,15020
15,21,204,57,27.94,100,49.02,15021
15,22,174,52,29.89,81,46.55,15022
15,23,210,48,22.86,109,51.9,15023
15,24,181,47,25.97,86,47.51,15024
16,1,295,43,14.58,234,79.32,16001
16,2,256,48,18.75,156,60.94,16002
16,3,198,63,31.82,92,46.46,16003
16,4,176,43,24.43,93,52.84,16004
16,5,222,56,25.23,104,46.85,16005
16,6,239,63,26.36,123,51.46,16006
16,7,221,60,27.15,127,57.47,16007
16,8,169,39,23.08,104,61.54,16008
16,9,280,71,25.36,117,41.79,16009
16,10,200,63,31.5,94,47.0,16010
16,11,239,47,19.67,136,56.9,16011
16,12,205,68,33.17,100,48.78,16012
16,13,259,30,11.58,199,76.83,16013
16,14,179,61,34.08,80,44.69,16014
16,15,241,58,24.07,121,50.21,16015
16,16,213,57,26.76,108,50.7,16016
16,17,241,52,21.58,162,67.22,16017
16,18,219,42,19.18,135,61.64,16018
16,19,222,63,28.38,110,49.55,16019
16,20,190,47,24.74,99,52.11,16020
16,21,178,49,27.53,91,51.12,16021
16,22,210,64,30.48,109,51.9,16022
16,23,236,29,12.29,181,76.69,16023
16,24,141,43,30.5,70,49.65,16024
16,25,241,63,26.14,115,47.72,16025
16,26,178,42,23.6,102,57.3,16026
16,27,172,52,30.23,74,43.02,16027
16,28,190,52,27.37,101,53.16,16028
16,29,195,43,22.05,92,47.18,16029
16,30,178,60,33.71,81,45.51,16030
16,31,203,69,33.99,85,41.87,16031
16,32,270,43,15.93,206,76.3,16032
16,33,202,49,24.26,97,48.02,16033
16,34,220,71,32.27,100,45.45,16034
16,35,255,40,15.69,180,70.59,16035
16,36,159,41,25.79,80,50.31,16036
17,1,233,33,14.16,164,70.39,17001
17,2,219,64,29.22,101,46.12,17002
17,3,256,84,32.81,113,44.14,17003
17,4,328,111,33.84,141,42.99,17004
17,5,220,51,23.18,115,52.27,17005
17,6,241,70,29.05,132,54.77,17006
17,7,266,37,13.91,183,68.8,17007
17,8,250,63,25.2,131,52.4,17008
17,9,257,82,31.91,123,47.86,17009
17,10,257,75,29.18,117,45.53,17010
17,11,214,65,30.37,113,52.8,17011
17,12,360,65,18.06,244,67.78,17012
17,13,207,64,30.92,97,46.86,17013
