ward,precinct,total,Colleen Reardon Daly,Colleen Reardon Daly Percent,Eve Marie Reilly,Eve Marie Reilly Percent,Michael John Malatesta,Michael John Malatesta Percent,Richard ''Rick'' Cenar,Richard ''Rick'' Cenar Percent,precinct_id
40,14,220,70,31.82,93,42.27,22,10.0,35,15.91,40014
40,15,223,57,25.56,100,44.84,25,11.21,41,18.39,40015
40,16,335,90,26.87,146,43.58,24,7.16,75,22.39,40016
40,17,224,64,28.57,112,50.0,18,8.04,30,13.39,40017
40,18,15,3,20.0,9,60.0,1,6.67,2,13.33,40018
40,19,330,60,18.18,173,52.42,24,7.27,73,22.12,40019
40,20,241,57,23.65,116,48.13,31,12.86,37,15.35,40020
40,21,218,56,25.69,103,47.25,25,11.47,34,15.6,40021
40,24,202,49,24.26,94,46.53,26,12.87,33,16.34,40024
40,25,332,96,28.92,131,39.46,20,6.02,85,25.6,40025
40,29,243,106,43.62,82,33.74,18,7.41,37,15.23,40029
40,30,246,94,38.21,89,36.18,13,5.28,50,20.33,40030
40,34,222,77,34.68,91,40.99,26,11.71,28,12.61,40034
40,38,181,47,25.97,86,47.51,16,8.84,32,17.68,40038
40,39,74,18,24.32,33,44.59,11,14.86,12,16.22,40039
41,1,215,63,29.3,81,37.67,46,21.4,25,11.63,41001
41,2,267,72,26.97,89,33.33,63,23.6,43,16.1,41002
41,3,205,57,27.8,88,42.93,41,20.0,19,9.27,41003
41,4,287,55,19.16,142,49.48,47,16.38,43,14.98,41004
41,5,279,60,21.51,143,51.25,50,17.92,26,9.32,41005
41,6,223,72,32.29,34,15.25,14,6.28,103,46.19,41006
41,7,255,76,29.8,86,33.73,65,25.49,28,10.98,41007
41,8,213,67,31.46,69,32.39,46,21.6,31,14.55,41008
41,10,281,79,28.11,131,46.62,42,14.95,29,10.32,41010
41,11,258,62,24.03,115,44.57,49,18.99,32,12.4,41011
41,12,234,40,17.09,106,45.3,46,19.66,42,17.95,41012
41,13,232,55,23.71,69,29.74,70,30.17,38,16.38,41013
41,14,230,77,33.48,38,16.52,11,4.78,104,45.22,41014
41,15,312,70,22.44,157,50.32,59,18.91,26,8.33,41015
41,16,192,51,26.56,78,40.63,51,26.56,12,6.25,41016
41,17,213,47,22.07,80,37.56,50,23.47,36,16.9,41017
41,18,215,56,26.05,73,33.95,71,33.02,15,6.98,41018
41,20,168,43,25.6,71,42.26,28,16.67,26,15.48,41020
41,21,225,76,33.78,79,35.11,51,22.67,19,8.44,41021
41,22,241,74,30.71,99,41.08,40,16.6,28,11.62,41022
41,23,206,36,17.48,55,26.7,103,50.0,12,5.83,41023
41,24,196,52,26.53,53,27.04,54,27.55,37,18.88,41024
41,26,262,77,29.39,85,32.44,64,24.43,36,13.74,41026
41,30,245,50,20.41,88,35.92,68,27.76,39,15.92,41030
41,31,241,67,27.8,111,46.06,44,18.26,19,7.88,41031
41,32,203,71,34.98,64,31.53,40,19.7,28,13.79,41032
41,33,210,48,22.86,81,38.57,44,20.95,37,17.62,41033
41,34,185,35,18.92,76,41.08,47,25.41,27,14.59,41034
41,35,282,82,29.08,98,34.75,67,23.76,35,12.41,41035
41,36,211,49,23.22,79,37.44,49,23.22,34,16.11,41036
41,37,261,57,21.84,124,47.51,59,22.61,21,8.05,41037
41,38,201,60,29.85,56,27.86,57,28.36,28,13.93,41038
41,39,283,94,33.22,77,27.21,30,10.6,82,28.98,41039
41,40,241,71,29.46,103,42.74,40,16.6,27,11.2,41040
41,41,226,36,15.93,83,36.73,95,42.04,12,5.31,41041
41,42,221,61,27.6,86,38.91,41,18.55,33,14.93,41042
41,43,257,50,19.46,72,28.02,115,44.75,20,7.78,41043
41,44,243,70,28.81,95,39.09,53,21.81,25,10.29,41044
41,45,204,44,21.57,89,43.63,49,24.02,22,10.78,41045
41,46,264,71,26.89,89,33.71,60,22.73,44,16.67,41046
41,47,138,53,38.41,31,22.46,9,6.52,45,32.61,41047
45,1,213,58,27.23,87,40.85,25,11.74,43,20.19,45001
45,2,257,62,24.12,124,48.25,21,8.17,50,19.46,45002
45,3,247,67,27.13,111,44.94,26,10.53,43,17.41,45003
45,4,257,71,27.63,122,47.47,22,8.56,42,16.34,45004
45,5,57,19,33.33,26,45.61,6,10.53,6,10.53,45005
45,7,281,56,19.93,165,58.72,32,11.39,28,9.96,45007
45,8,231,44,19.05,115,49.78,33,14.29,39,16.88,45008
45,9,109,31,28.44,46,42.2,14,12.84,18,16.51,45009
45,10,161,42,26.09,59,36.65,20,12.42,40,24.84,45010
45,11,201,41,20.4,104,51.74,25,12.44,31,15.42,45011
45,12,233,60,25.75,119,51.07,28,12.02,26,11.16,45012
45,13,234,39,16.67,140,59.83,20,8.55,35,14.96,45013
45,14,340,102,30.0,129,37.94,45,13.24,64,18.82,45014
45,15,338,115,34.02,142,42.01,30,8.88,51,15.09,45015
45,16,224,69,30.8,83,37.05,26,11.61,46,20.54,45016
45,17,248,75,30.24,96,38.71,30,12.1,47,18.95,45017
45,18,241,71,29.46,89,36.93,35,14.52,46,19.09,45018
45,19,122,27,22.13,65,53.28,19,15.57,11,9.02,45019
45,20,160,45,28.13,71,44.38,25,15.63,19,11.88,45020
45,21,207,53,25.6,64,30.92,22,10.63,68,32.85,45021
45,22,226,62,27.43,74,32.74,26,11.5,64,28.32,45022
45,23,214,61,28.5,81,37.85,31,14.49,41,19.16,45023
45,24,181,70,38.67,62,34.25,18,9.94,31,17.13,45024
45,25,150,60,40.0,62,41.33,15,10.0,13,8.67,45025
45,26,123,51,41.46,39,31.71,17,13.82,16,13.01,45026
45,27,208,55,26.44,96,46.15,30,14.42,27,12.98,45027
45,28,189,49,25.93,57,30.16,19,10.05,64,33.86,45028
45,29,123,30,24.39,46,37.4,18,14.63,29,23.58,45029
45,30,216,58,26.85,93,43.06,32,14.81,33,15.28,45030
45,31,191,45,23.56,90,47.12,24,12.57,32,16.75,45031
45,32,189,48,25.4,105,55.56,14,7.41,22,11.64,45032
45,33,171,51,29.82,72,42.11,20,11.7,28,16.37,45033
45,34,263,74,28.14,117,44.49,29,11.03,43,16.35,45034
45,35,245,78,31.84,94,38.37,30,12.24,43,17.55,45035
45,36,252,100,39.68,86,34.13,22,8.73,44,17.46,45036
45,37,221,55,24.89,69,31.22,25,11.31,72,32.58,45037
45,38,208,75,36.06,82,39.42,11,5.29,40,19.23,45038
45,39,212,55,25.94,73,34.43,28,13.21,56,26.42,45039
45,40,225,68,30.22,93,41.33,34,15.11,30,13.33,45040
45,41,203,59,29.06,78,38.42,32,15.76,34,16.75,45041
45,42,231,75,32.47,85,36.8,40,17.32,31,13.42,45042
45,43,211,77,36.49,61,28.91,36,17.06,37,17.54,45043
45,44,222,81,36.49,66,29.73,30,13.51,45,20.27,45044
45,45,120,27,22.5,47,39.17,22,18.33,24,20.0,45045
45,46,138,30,21.74,62,44.93,23,16.67,23,16.67,45046
45,47,159,40,25.16,73,45.91,24,15.09,22,13.84,45047
45,48,121,26,21.49,54,44.63,20,16.53,21,17.36,45048
47,1,150,43,28.67,68,45.33,11,7.33,28,18.67,47001
47,2,287,91,31.71,134,46.69,9,3.14,53,18.47,47002
47,3,314,79,25.16,166,52.87,25,7.96,44,14.01,47003
47,4,274,65,23.72,141,51.46,14,5.11,54,19.71,47004
47,5,311,73,23.47,162,52.09,24,7.72,52,16.72,47005
47,6,286,85,29.72,133,46.5,18,6.29,50,17.48,47006
47,7,271,93,34.32,124,45.76,18,6.64,36,13.28,47007
47,8,290,77,26.55,158,54.48,13,4.48,42,14.48,47008
47,9,10,1,10.0,4,40.0,2,20.0,3,30.0,47009
47,10,374,94,25.13,203,54.28,24,6.42,53,14.17,47010
47,12,274,97,35.4,109,39.78,19,6.93,49,17.88,47012
47,13,232,77,33.19,97,41.81,11,4.74,47,20.26,47013
47,14,249,89,35.74,101,40.56,9,3.61,50,20.08,47014
47,16,299,101,33.78,134,44.82,23,7.69,41,13.71,47016
47,17,290,76,26.21,126,43.45,25,8.62,63,21.72,47017
47,20,291,86,29.55,124,42.61,21,7.22,60,20.62,47020
47,21,275,95,34.55,112,40.73,18,6.55,50,18.18,47021
47,22,339,100,29.5,155,45.72,20,5.9,64,18.88,47022
47,25,305,104,34.1,125,40.98,21,6.89,55,18.03,47025
47,26,359,110,30.64,155,43.18,18,5.01,76,21.17,47026
47,27,240,50,20.83,128,53.33,15,6.25,47,19.58,47027
47,28,296,82,27.7,156,52.7,16,5.41,42,14.19,47028
47,29,295,92,31.19,137,46.44,14,4.75,52,17.63,47029
47,30,350,74,21.14,179,51.14,23,6.57,74,21.14,47030
47,31,292,85,29.11,133,45.55,21,7.19,53,18.15,47031
47,32,367,110,29.97,155,42.23,24,6.54,78,21.25,47032
47,33,167,47,28.14,77,46.11,13,7.78,30,17.96,47033
47,34,331,84,25.38,153,46.22,26,7.85,68,20.54,47034
47,35,265,77,29.06,122,46.04,18,6.79,48,18.11,47035
47,36,340,114,33.53,142,41.76,18,5.29,66,19.41,47036
47,37,313,77,24.6,156,49.84,22,7.03,58,18.53,47037
47,38,289,83,28.72,128,44.29,14,4.84,64,22.15,47038
47,39,293,90,30.72,135,46.08,14,4.78,54,18.43,47039
47,40,136,51,37.5,43,31.62,4,2.94,38,27.94,47040
47,42,108,39,36.11,48,44.44,4,3.7,17,15.74,47042
47,43,246,63,25.61,113,45.93,13,5.28,57,23.17,47043
47,45,308,79,25.65,156,50.65,17,5.52,56,18.18,47045
47,46,250,77,30.8,112,44.8,12,4.8,49,19.6,47046
47,47,307,109,35.5,122,39.74,25,8.14,51,16.61,47047
47,48,36,11,30.56,18,50.0,1,2.78,6,16.67,47048
50,23,109,28,25.69,52,47.71,18,16.51,11,10.09,50023
50,24,20,6,30.0,9,45.0,3,15.0,2,10.0,50024
50,26,10,3,30.0,4,40.0,3,30.0,0,0.0,50026
50,30,33,6,18.18,11,33.33,7,21.21,9,27.27,50030
50,31,43,13,30.23,20,46.51,4,9.3,6,13.95,50031
