ward,precinct,total,Andrew Seo,Andrew Seo Percent,Tom Greenhaw,Tom Greenhaw Percent,Martin J. Durkan,Martin J. Durkan Percent,precinct_id
6,8,336,71,21.13,133,39.58,132,39.29,06008
6,9,325,74,22.77,104,32.0,147,45.23,06009
6,10,220,52,23.64,77,35.0,91,41.36,06010
6,11,330,125,37.88,93,28.18,112,33.94,06011
6,12,260,56,21.54,96,36.92,108,41.54,06012
6,13,232,65,28.02,76,32.76,91,39.22,06013
6,14,285,92,32.28,77,27.02,116,40.7,06014
6,15,269,64,23.79,93,34.57,112,41.64,06015
6,16,316,81,25.63,122,38.61,113,35.76,06016
6,17,239,41,17.15,84,35.15,114,47.7,06017
6,18,206,52,25.24,51,24.76,103,50.0,06018
6,19,292,62,21.23,93,31.85,137,46.92,06019
6,20,197,41,20.81,50,25.38,106,53.81,06020
6,21,198,55,27.78,50,25.25,93,46.97,06021
6,22,204,44,21.57,69,33.82,91,44.61,06022
6,23,180,43,23.89,55,30.56,82,45.56,06023
6,24,204,55,26.96,67,32.84,82,40.2,06024
6,25,201,54,26.87,73,36.32,74,36.82,06025
6,26,249,55,22.09,76,30.52,118,47.39,06026
6,27,207,43,20.77,77,37.2,87,42.03,06027
6,28,162,38,23.46,63,38.89,61,37.65,06028
6,29,316,60,18.99,134,42.41,122,38.61,06029
6,30,261,51,19.54,90,34.48,120,45.98,06030
6,31,311,101,32.48,117,37.62,93,29.9,06031
6,32,270,65,24.07,102,37.78,103,38.15,06032
6,33,325,98,30.15,103,31.69,124,38.15,06033
6,34,315,86,27.3,110,34.92,119,37.78,06034
6,35,294,72,24.49,88,29.93,134,45.58,06035
6,36,349,92,26.36,115,32.95,142,40.69,06036
6,37,318,74,23.27,113,35.53,131,41.19,06037
6,38,322,88,27.33,109,33.85,125,38.82,06038
6,39,294,88,29.93,85,28.91,121,41.16,06039
6,40,272,64,23.53,94,34.56,114,41.91,06040
6,41,335,86,25.67,95,28.36,154,45.97,06041
6,42,325,65,20.0,118,36.31,142,43.69,06042
6,43,242,61,25.21,79,32.64,102,42.15,06043
6,44,300,68,22.67,74,24.67,158,52.67,06044
6,45,332,80,24.1,106,31.93,146,43.98,06045
6,46,213,62,29.11,61,28.64,90,42.25,06046
6,47,249,64,25.7,77,30.92,108,43.37,06047
6,48,318,90,28.3,98,30.82,130,40.88,06048
7,1,280,58,20.71,78,27.86,144,51.43,07001
7,2,287,73,25.44,75,26.13,139,48.43,07002
7,3,278,83,29.86,83,29.86,112,40.29,07003
7,4,304,77,25.33,91,29.93,136,44.74,07004
7,5,211,46,21.8,65,30.81,100,47.39,07005
7,6,351,111,31.62,117,33.33,123,35.04,07006
7,7,270,62,22.96,88,32.59,120,44.44,07007
7,8,241,67,27.8,82,34.02,92,38.17,07008
7,9,411,104,25.3,145,35.28,162,39.42,07009
7,10,324,69,21.3,120,37.04,135,41.67,07010
7,11,344,80,23.26,115,33.43,149,43.31,07011
7,12,275,68,24.73,84,30.55,123,44.73,07012
7,13,175,44,25.14,54,30.86,77,44.0,07013
7,14,303,70,23.1,83,27.39,150,49.5,07014
7,15,299,64,21.4,100,33.44,135,45.15,07015
7,16,258,62,24.03,86,33.33,110,42.64,07016
7,17,246,67,27.24,85,34.55,94,38.21,07017
7,18,220,62,28.18,62,28.18,96,43.64,07018
7,19,299,68,22.74,90,30.1,141,47.16,07019
7,20,216,42,19.44,60,27.78,114,52.78,07020
7,21,226,55,24.34,84,37.17,87,38.5,07021
7,22,223,74,33.18,55,24.66,94,42.15,07022
7,23,310,62,20.0,109,35.16,139,44.84,07023
7,24,267,67,25.09,87,32.58,113,42.32,07024
7,25,291,76,26.12,90,30.93,125,42.96,07025
7,26,261,61,23.37,82,31.42,118,45.21,07026
7,27,252,32,12.7,95,37.7,125,49.6,07027
7,28,199,42,21.11,65,32.66,92,46.23,07028
7,29,238,48,20.17,72,30.25,118,49.58,07029
7,30,220,52,23.64,73,33.18,95,43.18,07030
7,31,179,43,24.02,50,27.93,86,48.04,07031
7,32,395,101,25.57,146,36.96,148,37.47,07032
7,33,386,76,19.69,172,44.56,138,35.75,07033
7,34,326,74,22.7,113,34.66,139,42.64,07034
7,35,270,54,20.0,95,35.19,121,44.81,07035
7,36,370,82,22.16,116,31.35,172,46.49,07036
7,37,332,70,21.08,103,31.02,159,47.89,07037
7,38,268,55,20.52,81,30.22,132,49.25,07038
7,39,261,41,15.71,87,33.33,133,50.96,07039
7,40,254,55,21.65,84,33.07,115,45.28,07040
7,41,280,67,23.93,74,26.43,139,49.64,07041
7,42,272,55,20.22,93,34.19,124,45.59,07042
7,43,247,59,23.89,91,36.84,97,39.27,07043
7,44,266,56,21.05,90,33.83,120,45.11,07044
7,45,294,76,25.85,73,24.83,145,49.32,07045
7,46,136,38,27.94,43,31.62,55,40.44,07046
8,1,241,59,24.48,72,29.88,110,45.64,08001
8,2,330,73,22.12,88,26.67,169,51.21,08002
8,3,350,70,20.0,99,28.29,181,51.71,08003
8,4,350,66,18.86,107,30.57,177,50.57,08004
8,5,332,84,25.3,96,28.92,152,45.78,08005
8,6,339,61,17.99,82,24.19,196,57.82,08006
8,7,354,84,23.73,98,27.68,172,48.59,08007
8,8,305,65,21.31,82,26.89,158,51.8,08008
8,9,221,53,23.98,68,30.77,100,45.25,08009
8,10,371,97,26.15,108,29.11,166,44.74,08010
8,11,296,58,19.59,71,23.99,167,56.42,08011
8,12,284,59,20.77,77,27.11,148,52.11,08012
8,13,352,82,23.3,124,35.23,146,41.48,08013
8,14,266,56,21.05,65,24.44,145,54.51,08014
8,15,304,75,24.67,76,25.0,153,50.33,08015
8,16,140,32,22.86,44,31.43,64,45.71,08016
8,17,262,45,17.18,102,38.93,115,43.89,08017
8,18,295,53,17.97,71,24.07,171,57.97,08018
8,19,369,80,21.68,117,31.71,172,46.61,08019
8,20,349,89,25.5,116,33.24,144,41.26,08020
8,21,401,86,21.45,113,28.18,202,50.37,08021
8,22,265,58,21.89,77,29.06,130,49.06,08022
8,23,250,52,20.8,79,31.6,119,47.6,08023
8,24,189,47,24.87,48,25.4,94,49.74,08024
8,25,317,73,23.03,87,27.44,157,49.53,08025
8,26,316,63,19.94,97,30.7,156,49.37,08026
8,27,340,78,22.94,101,29.71,161,47.35,08027
8,28,311,72,23.15,90,28.94,149,47.91,08028
8,29,369,99,26.83,88,23.85,182,49.32,08029
8,30,340,73,21.47,106,31.18,161,47.35,08030
8,31,256,83,32.42,71,27.73,102,39.84,08031
8,32,243,51,20.99,71,29.22,121,49.79,08032
8,33,310,64,20.65,90,29.03,156,50.32,08033
8,34,281,56,19.93,78,27.76,147,52.31,08034
8,35,323,79,24.46,98,30.34,146,45.2,08035
8,36,335,62,18.51,113,33.73,160,47.76,08036
8,37,274,64,23.36,74,27.01,136,49.64,08037
8,38,205,39,19.02,55,26.83,111,54.15,08038
8,39,304,69,22.7,95,31.25,140,46.05,08039
8,40,248,65,26.21,68,27.42,115,46.37,08040
8,41,311,66,21.22,86,27.65,159,51.13,08041
8,42,385,82,21.3,104,27.01,199,51.69,08042
8,43,154,35,22.73,49,31.82,70,45.45,08043
8,44,219,34,15.53,72,32.88,113,51.6,08044
8,45,314,70,22.29,81,25.8,163,51.91,08045
8,46,235,67,28.51,66,28.09,102,43.4,08046
8,47,248,46,18.55,68,27.42,134,54.03,08047
8,48,308,58,18.83,73,23.7,177,57.47,08048
8,49,298,69,23.15,81,27.18,148,49.66,08049
8,50,309,55,17.8,91,29.45,163,52.75,08050
8,51,349,65,18.62,99,28.37,185,53.01,08051
8,52,385,86,22.34,106,27.53,193,50.13,08052
8,53,179,36,20.11,59,32.96,84,46.93,08053
8,54,292,71,24.32,78,26.71,143,48.97,08054
8,55,249,65,26.1,72,28.92,112,44.98,08055
8,56,307,82,26.71,91,29.64,134,43.65,08056
9,1,339,95,28.02,119,35.1,125,36.87,09001
9,2,290,51,17.59,118,40.69,121,41.72,09002
9,3,254,43,16.93,98,38.58,113,44.49,09003
9,4,244,51,20.9,89,36.48,104,42.62,09004
9,5,267,67,25.09,96,35.96,104,38.95,09005
9,6,286,67,23.43,105,36.71,114,39.86,09006
9,7,213,41,19.25,87,40.85,85,39.91,09007
9,8,301,73,24.25,87,28.9,141,46.84,09008
9,9,316,75,23.73,117,37.03,124,39.24,09009
9,10,278,58,20.86,95,34.17,125,44.96,09010
9,11,229,48,20.96,95,41.48,86,37.55,09011
9,12,301,89,29.57,93,30.9,119,39.53,09012
9,13,326,84,25.77,115,35.28,127,38.96,09013
9,14,387,84,21.71,150,38.76,153,39.53,09014
9,15,322,61,18.94,106,32.92,155,48.14,09015
9,16,287,47,16.38,121,42.16,119,41.46,09016
9,17,254,49,19.29,92,36.22,113,44.49,09017
9,18,221,50,22.62,68,30.77,103,46.61,09018
9,19,309,68,22.01,116,37.54,125,40.45,09019
9,20,334,78,23.35,129,38.62,127,38.02,09020
9,21,249,53,21.29,104,41.77,92,36.95,09021
9,22,315,77,24.44,127,40.32,111,35.24,09022
9,23,317,75,23.66,112,35.33,130,41.01,09023
9,24,310,74,23.87,95,30.65,141,45.48,09024
9,25,291,80,27.49,103,35.4,108,37.11,09025
9,26,300,54,18.0,109,36.33,137,45.67,09026
9,27,289,69,23.88,110,38.06,110,38.06,09027
9,28,201,50,24.88,63,31.34,88,43.78,09028
9,29,248,54,21.77,82,33.06,112,45.16,09029
9,30,270,60,22.22,104,38.52,106,39.26,09030
9,31,226,61,26.99,84,37.17,81,35.84,09031
9,32,259,56,21.62,107,41.31,96,37.07,09032
9,33,238,56,23.53,84,35.29,98,41.18,09033
9,34,254,50,19.69,89,35.04,115,45.28,09034
9,35,298,63,21.14,139,46.64,96,32.21,09035
9,36,276,68,24.64,94,34.06,114,41.3,09036
9,37,322,89,27.64,130,40.37,103,31.99,09037
9,38,292,73,25.0,102,34.93,117,40.07,09038
9,39,321,59,18.38,140,43.61,122,38.01,09039
9,40,325,76,23.38,118,36.31,131,40.31,09040
9,41,254,49,19.29,104,40.94,101,39.76,09041
9,42,320,82,25.63,107,33.44,131,40.94,09042
9,43,264,62,23.48,78,29.55,124,46.97,09043
9,44,281,61,21.71,109,38.79,111,39.5,09044
9,45,256,46,17.97,104,40.63,106,41.41,09045
9,46,291,78,26.8,105,36.08,108,37.11,09046
9,47,313,69,22.04,130,41.53,114,36.42,09047
9,48,329,81,24.62,96,29.18,152,46.2,09048
9,49,324,67,20.68,124,38.27,133,41.05,09049
9,50,369,94,25.47,134,36.31,141,38.21,09050
9,51,300,55,18.33,107,35.67,138,46.0,09051
10,1,237,55,23.21,71,29.96,111,46.84,10001
10,2,193,55,28.5,52,26.94,86,44.56,10002
10,3,193,47,24.35,55,28.5,91,47.15,10003
10,4,220,59,26.82,56,25.45,105,47.73,10004
10,5,169,42,24.85,49,28.99,78,46.15,10005
10,6,211,74,35.07,54,25.59,83,39.34,10006
10,7,178,65,36.52,42,23.6,71,39.89,10007
10,8,212,55,25.94,60,28.3,97,45.75,10008
10,9,199,62,31.16,52,26.13,85,42.71,10009
10,10,256,79,30.86,65,25.39,112,43.75,10010
10,11,298,86,28.86,82,27.52,130,43.62,10011
10,12,176,51,28.98,43,24.43,82,46.59,10012
10,13,296,93,31.42,73,24.66,130,43.92,10013
10,14,310,101,32.58,68,21.94,141,45.48,10014
10,15,536,131,24.44,167,31.16,238,44.4,10015
10,16,197,71,36.04,49,24.87,77,39.09,10016
10,17,274,84,30.66,83,30.29,107,39.05,10017
10,18,181,51,28.18,45,24.86,85,46.96,10018
10,19,225,64,28.44,61,27.11,100,44.44,10019
10,20,245,66,26.94,66,26.94,113,46.12,10020
10,21,279,107,38.35,64,22.94,108,38.71,10021
10,22,166,56,33.73,36,21.69,74,44.58,10022
10,23,249,88,35.34,41,16.47,120,48.19,10023
10,24,208,66,31.73,47,22.6,95,45.67,10024
10,25,85,27,31.76,24,28.24,34,40.0,10025
10,26,215,61,28.37,56,26.05,98,45.58,10026
10,27,264,82,31.06,71,26.89,111,42.05,10027
10,28,291,98,33.68,74,25.43,119,40.89,10028
10,29,245,69,28.16,52,21.22,124,50.61,10029
10,30,244,84,34.43,60,24.59,100,40.98,10030
10,31,217,72,33.18,44,20.28,101,46.54,10031
10,32,245,70,28.57,65,26.53,110,44.9,10032
10,33,188,71,37.77,43,22.87,74,39.36,10033
10,34,189,43,22.75,56,29.63,90,47.62,10034
10,35,250,70,28.0,59,23.6,121,48.4,10035
10,36,59,16,27.12,15,25.42,28,47.46,10036
11,1,271,98,36.16,92,33.95,81,29.89,11001
11,2,43,14,32.56,13,30.23,16,37.21,11002
11,3,246,103,41.87,72,29.27,71,28.86,11003
11,4,271,90,33.21,99,36.53,82,30.26,11004
11,5,371,127,34.23,113,30.46,131,35.31,11005
11,6,281,113,40.21,89,31.67,79,28.11,11006
11,7,442,178,40.27,148,33.48,116,26.24,11007
11,8,289,101,34.95,94,32.53,94,32.53,11008
11,9,253,92,36.36,86,33.99,75,29.64,11009
11,10,244,74,30.33,80,32.79,90,36.89,11010
11,11,260,93,35.77,91,35.0,76,29.23,11011
11,12,406,72,17.73,147,36.21,187,46.06,11012
11,13,345,52,15.07,151,43.77,142,41.16,11013
11,14,122,52,42.62,30,24.59,40,32.79,11014
11,15,114,37,32.46,40,35.09,37,32.46,11015
11,16,183,54,29.51,68,37.16,61,33.33,11016
11,17,346,136,39.31,114,32.95,96,27.75,11017
11,18,246,67,27.24,102,41.46,77,31.3,11018
11,19,345,122,35.36,123,35.65,100,28.99,11019
11,20,202,67,33.17,71,35.15,64,31.68,11020
11,21,414,60,14.49,195,47.1,159,38.41,11021
11,22,354,122,34.46,132,37.29,100,28.25,11022
11,23,175,56,32.0,63,36.0,56,32.0,11023
11,24,411,54,13.14,229,55.72,128,31.14,11024
11,25,317,95,29.97,137,43.22,85,26.81,11025
11,26,342,80,23.39,167,48.83,95,27.78,11026
11,27,104,49,47.12,28,26.92,27,25.96,11027
11,28,153,20,13.07,65,42.48,68,44.44,11028
11,29,316,62,19.62,137,43.35,117,37.03,11029
11,30,145,67,46.21,40,27.59,38,26.21,11030
11,31,261,47,18.01,74,28.35,140,53.64,11031
11,32,135,28,20.74,66,48.89,41,30.37,11032
11,33,237,100,42.19,81,34.18,56,23.63,11033
11,34,83,20,24.1,37,44.58,26,31.33,11034
11,35,63,16,25.4,28,44.44,19,30.16,11035
11,36,113,46,40.71,37,32.74,30,26.55,11036
11,37,89,51,57.3,18,20.22,20,22.47,11037
11,38,143,53,37.06,43,30.07,47,32.87,11038
12,1,303,86,28.38,77,25.41,140,46.2,12001
12,2,254,75,29.53,59,23.23,120,47.24,12002
12,3,338,121,35.8,100,29.59,117,34.62,12003
12,4,308,103,33.44,89,28.9,116,37.66,12004
12,5,256,93,36.33,68,26.56,95,37.11,12005
12,6,267,82,30.71,67,25.09,118,44.19,12006
12,7,271,85,31.37,81,29.89,105,38.75,12007
12,8,322,102,31.68,91,28.26,129,40.06,12008
12,9,245,74,30.2,70,28.57,101,41.22,12009
12,10,358,125,34.92,89,24.86,144,40.22,12010
12,11,313,95,30.35,69,22.04,149,47.6,12011
12,12,293,71,24.23,78,26.62,144,49.15,12012
12,13,312,103,33.01,74,23.72,135,43.27,12013
12,14,287,80,27.87,79,27.53,128,44.6,12014
12,15,239,70,29.29,56,23.43,113,47.28,12015
12,16,275,93,33.82,73,26.55,109,39.64,12016
12,17,324,106,32.72,85,26.23,133,41.05,12017
12,18,241,68,28.22,65,26.97,108,44.81,12018
12,19,302,101,33.44,70,23.18,131,43.38,12019
12,20,360,102,28.33,94,26.11,164,45.56,12020
12,21,288,99,34.38,77,26.74,112,38.89,12021
12,22,304,113,37.17,72,23.68,119,39.14,12022
12,23,288,86,29.86,76,26.39,126,43.75,12023
13,1,229,41,17.9,33,14.41,155,67.69,13001
13,2,247,26,10.53,36,14.57,185,74.9,13002
13,3,223,66,29.6,46,20.63,111,49.78,13003
13,4,264,57,21.59,46,17.42,161,60.98,13004
