ward,precinct,total,Jacob Meister,Jacob Meister Percent,Dorothy A. Brown,Dorothy A. Brown Percent,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
6,2,389,12,3.08,241,61.95,136,34.96,06002
6,3,393,21,5.34,216,54.96,156,39.69,06003
6,4,286,10,3.5,199,69.58,77,26.92,06004
6,5,257,8,3.11,184,71.6,65,25.29,06005
6,6,372,13,3.49,221,59.41,138,37.1,06006
6,7,369,16,4.34,231,62.6,122,33.06,06007
6,8,408,19,4.66,244,59.8,145,35.54,06008
6,9,381,15,3.94,269,70.6,97,25.46,06009
6,10,270,7,2.59,185,68.52,78,28.89,06010
6,11,389,15,3.86,268,68.89,106,27.25,06011
6,12,316,14,4.43,227,71.84,75,23.73,06012
6,13,291,9,3.09,182,62.54,100,34.36,06013
6,14,341,17,4.99,228,66.86,96,28.15,06014
6,15,351,9,2.56,260,74.07,82,23.36,06015
6,16,398,15,3.77,241,60.55,142,35.68,06016
6,17,298,13,4.36,189,63.42,96,32.21,06017
6,18,254,6,2.36,164,64.57,84,33.07,06018
6,19,348,13,3.74,215,61.78,120,34.48,06019
6,20,234,7,2.99,164,70.09,63,26.92,06020
6,21,245,9,3.67,174,71.02,62,25.31,06021
6,22,258,13,5.04,180,69.77,65,25.19,06022
6,23,237,9,3.8,178,75.11,50,21.1,06023
6,24,265,12,4.53,200,75.47,53,20.0,06024
6,25,240,13,5.42,169,70.42,58,24.17,06025
6,26,300,5,1.67,203,67.67,92,30.67,06026
6,27,237,5,2.11,187,78.9,45,18.99,06027
6,28,210,5,2.38,147,70.0,58,27.62,06028
6,29,383,19,4.96,211,55.09,153,39.95,06029
6,30,332,14,4.22,209,62.95,109,32.83,06030
6,31,372,16,4.3,207,55.65,149,40.05,06031
6,32,346,14,4.05,209,60.4,123,35.55,06032
6,33,391,17,4.35,251,64.19,123,31.46,06033
6,34,380,10,2.63,231,60.79,139,36.58,06034
6,35,348,11,3.16,218,62.64,119,34.2,06035
6,36,414,6,1.45,249,60.14,159,38.41,06036
6,37,380,17,4.47,220,57.89,143,37.63,06037
6,38,396,22,5.56,227,57.32,147,37.12,06038
6,39,360,15,4.17,232,64.44,113,31.39,06039
6,40,331,9,2.72,204,61.63,118,35.65,06040
6,41,401,10,2.49,258,64.34,133,33.17,06041
6,42,391,11,2.81,243,62.15,137,35.04,06042
6,43,323,7,2.17,233,72.14,83,25.7,06043
6,44,385,14,3.64,260,67.53,111,28.83,06044
6,45,411,9,2.19,251,61.07,151,36.74,06045
6,46,251,7,2.79,157,62.55,87,34.66,06046
6,47,292,12,4.11,217,74.32,63,21.58,06047
6,48,387,15,3.88,240,62.02,132,34.11,06048
7,1,330,16,4.85,195,59.09,119,36.06,07001
7,2,348,22,6.32,200,57.47,126,36.21,07002
7,3,343,9,2.62,200,58.31,134,39.07,07003
7,4,371,9,2.43,248,66.85,114,30.73,07004
7,5,283,14,4.95,174,61.48,95,33.57,07005
7,6,426,26,6.1,255,59.86,145,34.04,07006
7,7,342,15,4.39,238,69.59,89,26.02,07007
7,8,279,20,7.17,164,58.78,95,34.05,07008
7,9,517,20,3.87,299,57.83,198,38.3,07009
7,10,377,14,3.71,213,56.5,150,39.79,07010
7,11,412,16,3.88,258,62.62,138,33.5,07011
7,12,354,14,3.95,232,65.54,108,30.51,07012
7,13,212,9,4.25,127,59.91,76,35.85,07013
7,14,366,20,5.46,228,62.3,118,32.24,07014
7,15,365,18,4.93,204,55.89,143,39.18,07015
7,16,315,9,2.86,200,63.49,106,33.65,07016
7,17,302,18,5.96,191,63.25,93,30.79,07017
7,18,271,20,7.38,167,61.62,84,31.0,07018
7,19,358,17,4.75,229,63.97,112,31.28,07019
7,20,267,16,5.99,172,64.42,79,29.59,07020
7,21,275,11,4.0,180,65.45,84,30.55,07021
7,22,261,17,6.51,162,62.07,82,31.42,07022
7,23,365,17,4.66,209,57.26,139,38.08,07023
7,24,320,10,3.13,196,61.25,114,35.63,07024
7,25,332,19,5.72,221,66.57,92,27.71,07025
7,26,314,9,2.87,158,50.32,147,46.82,07026
7,27,289,7,2.42,172,59.52,110,38.06,07027
7,28,243,11,4.53,144,59.26,88,36.21,07028
7,29,291,8,2.75,173,59.45,110,37.8,07029
7,30,260,27,10.38,156,60.0,77,29.62,07030
7,31,223,20,8.97,138,61.88,65,29.15,07031
7,32,478,24,5.02,260,54.39,194,40.59,07032
7,33,445,25,5.62,242,54.38,178,40.0,07033
7,34,401,11,2.74,244,60.85,146,36.41,07034
7,35,334,16,4.79,206,61.68,112,33.53,07035
7,36,421,13,3.09,218,51.78,190,45.13,07036
7,37,395,17,4.3,224,56.71,154,38.99,07037
7,38,301,11,3.65,201,66.78,89,29.57,07038
7,39,327,9,2.75,202,61.77,116,35.47,07039
7,40,308,12,3.9,173,56.17,123,39.94,07040
7,41,340,7,2.06,210,61.76,123,36.18,07041
7,42,331,6,1.81,201,60.73,124,37.46,07042
7,43,320,14,4.38,194,60.63,112,35.0,07043
7,44,326,16,4.91,217,66.56,93,28.53,07044
7,45,355,19,5.35,258,72.68,78,21.97,07045
7,46,160,9,5.63,103,64.38,48,30.0,07046
8,1,284,9,3.17,182,64.08,93,32.75,08001
8,2,379,18,4.75,209,55.15,152,40.11,08002
8,3,413,16,3.87,174,42.13,223,54.0,08003
8,4,410,18,4.39,169,41.22,223,54.39,08004
8,5,399,19,4.76,183,45.86,197,49.37,08005
8,6,393,20,5.09,193,49.11,180,45.8,08006
8,7,427,21,4.92,204,47.78,202,47.31,08007
8,8,366,21,5.74,167,45.63,178,48.63,08008
8,9,261,11,4.21,139,53.26,111,42.53,08009
8,10,450,31,6.89,226,50.22,193,42.89,08010
8,11,333,19,5.71,138,41.44,176,52.85,08011
8,12,333,11,3.3,150,45.05,172,51.65,08012
8,13,425,23,5.41,249,58.59,153,36.0,08013
8,14,318,17,5.35,180,56.6,121,38.05,08014
8,15,346,14,4.05,168,48.55,164,47.4,08015
8,16,150,5,3.33,100,66.67,45,30.0,08016
8,17,327,14,4.28,115,35.17,198,60.55,08017
8,18,355,16,4.51,190,53.52,149,41.97,08018
8,19,427,21,4.92,211,49.41,195,45.67,08019
8,20,409,20,4.89,196,47.92,193,47.19,08020
8,21,479,17,3.55,241,50.31,221,46.14,08021
8,22,332,14,4.22,173,52.11,145,43.67,08022
8,23,309,10,3.24,165,53.4,134,43.37,08023
8,24,220,11,5.0,97,44.09,112,50.91,08024
8,25,378,16,4.23,175,46.3,187,49.47,08025
8,26,383,16,4.18,213,55.61,154,40.21,08026
8,27,406,22,5.42,178,43.84,206,50.74,08027
8,28,382,24,6.28,186,48.69,172,45.03,08028
8,29,445,26,5.84,214,48.09,205,46.07,08029
8,30,421,19,4.51,204,48.46,198,47.03,08030
8,31,298,13,4.36,179,60.07,106,35.57,08031
8,32,294,12,4.08,133,45.24,149,50.68,08032
8,33,370,29,7.84,188,50.81,153,41.35,08033
8,34,333,19,5.71,160,48.05,154,46.25,08034
8,35,405,33,8.15,177,43.7,195,48.15,08035
8,36,393,17,4.33,180,45.8,196,49.87,08036
8,37,322,30,9.32,137,42.55,155,48.14,08037
8,38,255,10,3.92,117,45.88,128,50.2,08038
8,39,388,22,5.67,181,46.65,185,47.68,08039
8,40,304,13,4.28,141,46.38,150,49.34,08040
8,41,366,19,5.19,207,56.56,140,38.25,08041
8,42,459,19,4.14,214,46.62,226,49.24,08042
8,43,199,4,2.01,116,58.29,79,39.7,08043
8,44,254,9,3.54,110,43.31,135,53.15,08044
8,45,389,16,4.11,239,61.44,134,34.45,08045
8,46,288,7,2.43,142,49.31,139,48.26,08046
8,47,305,19,6.23,139,45.57,147,48.2,08047
8,48,365,14,3.84,204,55.89,147,40.27,08048
8,49,342,15,4.39,158,46.2,169,49.42,08049
8,50,394,13,3.3,185,46.95,196,49.75,08050
8,51,403,25,6.2,194,48.14,184,45.66,08051
8,52,475,27,5.68,210,44.21,238,50.11,08052
8,53,208,14,6.73,110,52.88,84,40.38,08053
8,54,336,15,4.46,181,53.87,140,41.67,08054
8,55,292,9,3.08,106,36.3,177,60.62,08055
8,56,380,12,3.16,172,45.26,196,51.58,08056
9,1,384,10,2.6,245,63.8,129,33.59,09001
9,2,336,12,3.57,242,72.02,82,24.4,09002
9,3,311,9,2.89,231,74.28,71,22.83,09003
9,4,308,10,3.25,209,67.86,89,28.9,09004
9,5,326,12,3.68,215,65.95,99,30.37,09005
9,6,344,8,2.33,246,71.51,90,26.16,09006
9,7,264,6,2.27,171,64.77,87,32.95,09007
9,8,364,18,4.95,259,71.15,87,23.9,09008
9,9,391,3,0.77,238,60.87,150,38.36,09009
9,10,308,12,3.9,213,69.16,83,26.95,09010
9,11,263,13,4.94,167,63.5,83,31.56,09011
9,12,375,17,4.53,236,62.93,122,32.53,09012
9,13,382,14,3.66,236,61.78,132,34.55,09013
9,14,444,13,2.93,297,66.89,134,30.18,09014
9,15,376,9,2.39,267,71.01,100,26.6,09015
9,16,332,15,4.52,218,65.66,99,29.82,09016
9,17,300,13,4.33,218,72.67,69,23.0,09017
9,18,260,13,5.0,175,67.31,72,27.69,09018
9,19,365,12,3.29,239,65.48,114,31.23,09019
9,20,392,9,2.3,252,64.29,131,33.42,09020
9,21,292,6,2.05,189,64.73,97,33.22,09021
9,22,374,9,2.41,234,62.57,131,35.03,09022
9,23,392,12,3.06,229,58.42,151,38.52,09023
9,24,374,11,2.94,232,62.03,131,35.03,09024
9,25,341,6,1.76,218,63.93,117,34.31,09025
9,26,353,14,3.97,243,68.84,96,27.2,09026
9,27,336,18,5.36,234,69.64,84,25.0,09027
9,28,223,24,10.76,141,63.23,58,26.01,09028
9,29,304,7,2.3,221,72.7,76,25.0,09029
9,30,318,4,1.26,207,65.09,107,33.65,09030
9,31,285,12,4.21,193,67.72,80,28.07,09031
9,32,321,11,3.43,203,63.24,107,33.33,09032
9,33,277,13,4.69,188,67.87,76,27.44,09033
9,34,308,9,2.92,229,74.35,70,22.73,09034
9,35,345,12,3.48,205,59.42,128,37.1,09035
9,36,325,9,2.77,224,68.92,92,28.31,09036
9,37,367,69,18.8,176,47.96,122,33.24,09037
9,38,344,11,3.2,228,66.28,105,30.52,09038
9,39,363,10,2.75,218,60.06,135,37.19,09039
9,40,389,9,2.31,274,70.44,106,27.25,09040
9,41,297,10,3.37,189,63.64,98,33.0,09041
9,42,371,16,4.31,215,57.95,140,37.74,09042
9,43,324,7,2.16,234,72.22,83,25.62,09043
9,44,317,7,2.21,206,64.98,104,32.81,09044
9,45,292,11,3.77,187,64.04,94,32.19,09045
9,46,346,31,8.96,222,64.16,93,26.88,09046
9,47,375,13,3.47,208,55.47,154,41.07,09047
9,48,380,13,3.42,234,61.58,133,35.0,09048
9,49,385,19,4.94,228,59.22,138,35.84,09049
9,50,474,17,3.59,281,59.28,176,37.13,09050
9,51,356,15,4.21,204,57.3,137,38.48,09051
10,1,303,34,11.22,184,60.73,85,28.05,10001
10,2,210,63,30.0,84,40.0,63,30.0,10002
10,3,232,74,31.9,83,35.78,75,32.33,10003
10,4,269,50,18.59,151,56.13,68,25.28,10004
10,5,184,50,27.17,84,45.65,50,27.17,10005
10,6,230,63,27.39,104,45.22,63,27.39,10006
10,7,195,39,20.0,93,47.69,63,32.31,10007
10,8,254,12,4.72,185,72.83,57,22.44,10008
10,9,223,74,33.18,81,36.32,68,30.49,10009
10,10,279,68,24.37,125,44.8,86,30.82,10010
10,11,332,74,22.29,141,42.47,117,35.24,10011
10,12,192,62,32.29,76,39.58,54,28.13,10012
10,13,339,71,20.94,165,48.67,103,30.38,10013
10,14,344,98,28.49,139,40.41,107,31.1,10014
10,15,658,21,3.19,425,64.59,212,32.22,10015
10,16,209,62,29.67,85,40.67,62,29.67,10016
10,17,292,75,25.68,103,35.27,114,39.04,10017
10,18,207,24,11.59,116,56.04,67,32.37,10018
10,19,249,62,24.9,105,42.17,82,32.93,10019
10,20,286,90,31.47,115,40.21,81,28.32,10020
10,21,308,65,21.1,144,46.75,99,32.14,10021
10,22,182,52,28.57,84,46.15,46,25.27,10022
10,23,280,83,29.64,102,36.43,95,33.93,10023
10,24,230,48,20.87,113,49.13,69,30.0,10024
10,25,101,15,14.85,56,55.45,30,29.7,10025
10,26,238,42,17.65,119,50.0,77,32.35,10026
10,27,303,26,8.58,185,61.06,92,30.36,10027
10,28,333,89,26.73,140,42.04,104,31.23,10028
10,29,269,51,18.96,120,44.61,98,36.43,10029
10,30,282,61,21.63,117,41.49,104,36.88,10030
10,31,228,56,24.56,94,41.23,78,34.21,10031
10,32,276,81,29.35,100,36.23,95,34.42,10032
10,33,201,44,21.89,104,51.74,53,26.37,10033
10,34,220,31,14.09,131,59.55,58,26.36,10034
10,35,269,89,33.09,108,40.15,72,26.77,10035
10,36,71,11,15.49,43,60.56,17,23.94,10036
11,1,292,71,24.32,106,36.3,115,39.38,11001
11,2,51,6,11.76,32,62.75,13,25.49,11002
11,3,279,89,31.9,113,40.5,77,27.6,11003
11,4,281,90,32.03,80,28.47,111,39.5,11004
11,5,395,107,27.09,148,37.47,140,35.44,11005
11,6,325,92,28.31,131,40.31,102,31.38,11006
11,7,485,91,18.76,226,46.6,168,34.64,11007
11,8,302,86,28.48,98,32.45,118,39.07,11008
11,9,263,60,22.81,98,37.26,105,39.92,11009
11,10,261,67,25.67,86,32.95,108,41.38,11010
11,11,293,80,27.3,103,35.15,110,37.54,11011
11,12,429,121,28.21,103,24.01,205,47.79,11012
11,13,366,74,20.22,98,26.78,194,53.01,11013
11,14,133,41,30.83,42,31.58,50,37.59,11014
11,15,125,35,28.0,43,34.4,47,37.6,11015
11,16,200,44,22.0,74,37.0,82,41.0,11016
11,17,370,118,31.89,128,34.59,124,33.51,11017
11,18,263,68,25.86,73,27.76,122,46.39,11018
11,19,385,105,27.27,142,36.88,138,35.84,11019
11,20,215,49,22.79,53,24.65,113,52.56,11020
11,21,430,99,23.02,105,24.42,226,52.56,11021
11,22,378,103,27.25,124,32.8,151,39.95,11022
11,23,185,57,30.81,62,33.51,66,35.68,11023
11,24,429,95,22.14,83,19.35,251,58.51,11024
11,25,334,94,28.14,95,28.44,145,43.41,11025
11,26,364,96,26.37,102,28.02,166,45.6,11026
11,27,107,22,20.56,43,40.19,42,39.25,11027
11,28,155,25,16.13,50,32.26,80,51.61,11028
11,29,336,82,24.4,90,26.79,164,48.81,11029
11,30,151,46,30.46,53,35.1,52,34.44,11030
11,31,267,71,26.59,88,32.96,108,40.45,11031
11,32,149,39,26.17,39,26.17,71,47.65,11032
11,33,271,78,28.78,107,39.48,86,31.73,11033
11,34,87,18,20.69,29,33.33,40,45.98,11034
11,35,77,10,12.99,35,45.45,32,41.56,11035
11,36,116,39,33.62,38,32.76,39,33.62,11036
11,37,85,18,21.18,38,44.71,29,34.12,11037
11,38,163,41,25.15,76,46.63,46,28.22,11038
12,1,325,102,31.38,131,40.31,92,28.31,12001
12,2,279,71,25.45,137,49.1,71,25.45,12002
12,3,372,135,36.29,149,40.05,88,23.66,12003
12,4,348,102,29.31,141,40.52,105,30.17,12004
12,5,269,87,32.34,107,39.78,75,27.88,12005
12,6,293,68,23.21,143,48.81,82,27.99,12006
12,7,296,92,31.08,136,45.95,68,22.97,12007
12,8,351,117,33.33,137,39.03,97,27.64,12008
12,9,259,92,35.52,100,38.61,67,25.87,12009
12,10,398,112,28.14,191,47.99,95,23.87,12010
12,11,326,97,29.75,143,43.87,86,26.38,12011
12,12,313,86,27.48,151,48.24,76,24.28,12012
12,13,336,76,22.62,162,48.21,98,29.17,12013
12,14,298,48,16.11,156,52.35,94,31.54,12014
12,15,262,76,29.01,120,45.8,66,25.19,12015
12,16,305,68,22.3,162,53.11,75,24.59,12016
12,17,345,102,29.57,164,47.54,79,22.9,12017
12,18,277,79,28.52,131,47.29,67,24.19,12018
12,19,318,106,33.33,112,35.22,100,31.45,12019
12,20,390,94,24.1,187,47.95,109,27.95,12020
12,21,327,82,25.08,151,46.18,94,28.75,12021
12,22,342,70,20.47,183,53.51,89,26.02,12022
12,23,314,95,30.25,139,44.27,80,25.48,12023
13,1,246,62,25.2,84,34.15,100,40.65,13001
13,2,261,62,23.75,61,23.37,138,52.87,13002
13,3,236,59,25.0,106,44.92,71,30.08,13003
13,4,268,82,30.6,85,31.72,101,37.69,13004
