ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Jason Gonzales,Jason Gonzales Percent,Joe G. Barboza,Joe G. Barboza Percent,Grasiela Rodriguez,Grasiela Rodriguez Percent,precinct_id
23,4,337,226,67.06,88,26.11,10,2.97,13,3.86,23004
23,5,343,185,53.94,121,35.28,8,2.33,29,8.45,23005
23,6,275,149,54.18,87,31.64,10,3.64,29,10.55,23006
23,7,313,180,57.51,100,31.95,9,2.88,24,7.67,23007
23,8,340,190,55.88,118,34.71,8,2.35,24,7.06,23008
23,9,296,176,59.46,76,25.68,8,2.7,36,12.16,23009
23,10,392,234,59.69,125,31.89,2,0.51,31,7.91,23010
23,11,409,270,66.01,113,27.63,7,1.71,19,4.65,23011
23,13,268,127,47.39,102,38.06,8,2.99,31,11.57,23013
23,14,9,8,88.89,1,11.11,0,0.0,0,0.0,23014
23,15,296,141,47.64,109,36.82,12,4.05,34,11.49,23015
23,17,94,36,38.3,42,44.68,3,3.19,13,13.83,23017
23,18,249,152,61.04,77,30.92,8,3.21,12,4.82,23018
23,20,223,91,40.81,101,45.29,7,3.14,24,10.76,23020
23,22,198,98,49.49,73,36.87,11,5.56,16,8.08,23022
23,23,290,168,57.93,113,38.97,4,1.38,5,1.72,23023
23,24,108,59,54.63,35,32.41,5,4.63,9,8.33,23024
23,25,51,26,50.98,17,33.33,0,0.0,8,15.69,23025
23,26,238,130,54.62,80,33.61,7,2.94,21,8.82,23026
23,28,287,164,57.14,102,35.54,3,1.05,18,6.27,23028
23,29,234,148,63.25,68,29.06,5,2.14,13,5.56,23029
23,30,389,197,50.64,148,38.05,14,3.6,30,7.71,23030
23,32,364,201,55.22,132,36.26,5,1.37,26,7.14,23032
23,33,354,189,53.39,125,35.31,4,1.13,36,10.17,23033
23,34,315,172,54.6,93,29.52,10,3.17,40,12.7,23034
23,35,185,85,45.95,85,45.95,5,2.7,10,5.41,23035
23,38,240,143,59.58,84,35.0,7,2.92,6,2.5,23038
23,39,320,154,48.13,135,42.19,5,1.56,26,8.13,23039
