ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Javier Salas,Javier Salas Percent,precinct_id
32,26,393,290,73.79,103,26.21,32026
32,28,389,289,74.29,100,25.71,32028
32,43,351,261,74.36,90,25.64,32043
33,1,422,345,81.75,77,18.25,33001
33,3,451,341,75.61,110,24.39,33003
33,4,486,389,80.04,97,19.96,33004
33,6,391,312,79.8,79,20.2,33006
33,7,149,120,80.54,29,19.46,33007
33,8,195,143,73.33,52,26.67,33008
33,9,395,300,75.95,95,24.05,33009
33,10,293,221,75.43,72,24.57,33010
33,11,428,318,74.3,110,25.7,33011
33,12,418,322,77.03,96,22.97,33012
33,13,437,325,74.37,112,25.63,33013
33,14,206,153,74.27,53,25.73,33014
33,15,478,382,79.92,96,20.08,33015
33,16,558,414,74.19,144,25.81,33016
33,17,436,324,74.31,112,25.69,33017
33,19,204,147,72.06,57,27.94,33019
33,20,472,360,76.27,112,23.73,33020
33,21,418,324,77.51,94,22.49,33021
33,22,431,326,75.64,105,24.36,33022
33,23,390,300,76.92,90,23.08,33023
33,25,463,351,75.81,112,24.19,33025
33,26,325,245,75.38,80,24.62,33026
33,27,368,271,73.64,97,26.36,33027
33,28,380,301,79.21,79,20.79,33028
35,1,319,246,77.12,73,22.88,35001
35,2,367,272,74.11,95,25.89,35002
35,3,359,275,76.6,84,23.4,35003
35,4,332,230,69.28,102,30.72,35004
35,5,313,234,74.76,79,25.24,35005
35,6,316,237,75.0,79,25.0,35006
35,7,389,323,83.03,66,16.97,35007
35,8,379,284,74.93,95,25.07,35008
35,9,315,242,76.83,73,23.17,35009
35,10,481,381,79.21,100,20.79,35010
35,11,359,267,74.37,92,25.63,35011
35,12,274,219,79.93,55,20.07,35012
35,13,266,207,77.82,59,22.18,35013
35,14,319,243,76.18,76,23.82,35014
35,15,397,305,76.83,92,23.17,35015
35,16,277,213,76.9,64,23.1,35016
35,17,352,272,77.27,80,22.73,35017
35,18,328,268,81.71,60,18.29,35018
35,19,230,175,76.09,55,23.91,35019
35,20,311,225,72.35,86,27.65,35020
35,21,336,245,72.92,91,27.08,35021
35,22,371,285,76.82,86,23.18,35022
35,23,360,253,70.28,107,29.72,35023
35,24,335,252,75.22,83,24.78,35024
35,25,400,322,80.5,78,19.5,35025
35,26,290,195,67.24,95,32.76,35026
35,27,311,234,75.24,77,24.76,35027
35,28,336,257,76.49,79,23.51,35028
35,29,292,235,80.48,57,19.52,35029
35,30,358,276,77.09,82,22.91,35030
35,31,362,265,73.2,97,26.8,35031
36,1,318,253,79.56,65,20.44,36001
36,2,299,235,78.6,64,21.4,36002
36,3,264,203,76.89,61,23.11,36003
36,4,321,249,77.57,72,22.43,36004
36,6,265,215,81.13,50,18.87,36006
36,8,267,202,75.66,65,24.34,36008
36,9,292,213,72.95,79,27.05,36009
36,10,312,240,76.92,72,23.08,36010
36,11,244,193,79.1,51,20.9,36011
36,12,222,178,80.18,44,19.82,36012
36,13,235,178,75.74,57,24.26,36013
36,16,49,37,75.51,12,24.49,36016
36,19,341,255,74.78,86,25.22,36019
36,20,141,112,79.43,29,20.57,36020
36,21,212,163,76.89,49,23.11,36021
36,22,263,211,80.23,52,19.77,36022
36,23,294,237,80.61,57,19.39,36023
36,24,42,33,78.57,9,21.43,36024
36,25,331,259,78.25,72,21.75,36025
36,27,252,196,77.78,56,22.22,36027
36,29,287,204,71.08,83,28.92,36029
37,26,52,45,86.54,7,13.46,37026
38,1,239,173,72.38,66,27.62,38001
38,35,175,128,73.14,47,26.86,38035
38,41,265,195,73.58,70,26.42,38041
39,6,2,2,100.0,0,0.0,39006
39,12,110,78,70.91,32,29.09,39012
39,25,2,1,50.0,1,50.0,39025
39,28,204,144,70.59,60,29.41,39028
39,31,285,202,70.88,83,29.12,39031
45,1,269,189,70.26,80,29.74,45001
45,2,318,225,70.75,93,29.25,45002
45,8,282,207,73.4,75,26.6,45008
45,9,326,262,80.37,64,19.63,45009
45,10,317,232,73.19,85,26.81,45010
