ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
36,31,6,0,0.0,1,16.67,1,16.67,0,0.0,36031
36,32,3,0,0.0,0,0.0,0,0.0,1,33.33,36032
36,33,3,1,33.33,1,33.33,1,33.33,0,0.0,36033
36,34,8,2,25.0,2,25.0,1,12.5,0,0.0,36034
36,35,1,0,0.0,0,0.0,0,0.0,0,0.0,36035
36,36,1,0,0.0,0,0.0,0,0.0,0,0.0,36036
36,37,5,0,0.0,0,0.0,1,20.0,0,0.0,36037
36,38,1,0,0.0,0,0.0,1,100.0,0,0.0,36038
36,39,5,1,20.0,0,0.0,1,20.0,1,20.0,36039
36,40,3,1,33.33,0,0.0,0,0.0,0,0.0,36040
36,41,4,2,50.0,0,0.0,0,0.0,1,25.0,36041
36,42,5,0,0.0,1,20.0,0,0.0,2,40.0,36042
36,43,2,1,50.0,0,0.0,1,50.0,0,0.0,36043
36,45,2,0,0.0,0,0.0,0,0.0,0,0.0,36045
36,46,6,1,16.67,2,33.33,0,0.0,1,16.67,36046
36,47,4,0,0.0,0,0.0,2,50.0,1,25.0,36047
36,48,3,1,33.33,0,0.0,0,0.0,0,0.0,36048
36,49,6,2,33.33,1,16.67,1,16.67,0,0.0,36049
36,50,7,1,14.29,0,0.0,0,0.0,2,28.57,36050
36,51,3,1,33.33,0,0.0,0,0.0,1,33.33,36051
36,52,3,1,33.33,0,0.0,0,0.0,1,33.33,36052
36,53,1,0,0.0,0,0.0,0,0.0,1,100.0,36053
36,55,5,1,20.0,0,0.0,2,40.0,0,0.0,36055
37,39,0,0,0.0,0,0.0,0,0.0,0,0.0,37039
38,1,7,1,14.29,1,14.29,0,0.0,1,14.29,38001
38,2,7,1,14.29,0,0.0,2,28.57,1,14.29,38002
38,3,3,0,0.0,0,0.0,0,0.0,0,0.0,38003
38,4,2,1,50.0,0,0.0,0,0.0,0,0.0,38004
38,5,13,0,0.0,0,0.0,1,7.69,0,0.0,38005
38,6,5,1,20.0,0,0.0,0,0.0,1,20.0,38006
38,7,8,3,37.5,0,0.0,1,12.5,1,12.5,38007
38,8,8,0,0.0,1,12.5,4,50.0,2,25.0,38008
38,9,10,1,10.0,0,0.0,1,10.0,0,0.0,38009
38,10,8,2,25.0,3,37.5,0,0.0,0,0.0,38010
38,11,5,1,20.0,1,20.0,0,0.0,0,0.0,38011
38,12,5,2,40.0,0,0.0,1,20.0,1,20.0,38012
38,13,8,4,50.0,3,37.5,0,0.0,0,0.0,38013
38,14,5,3,60.0,0,0.0,1,20.0,0,0.0,38014
38,15,6,2,33.33,1,16.67,0,0.0,0,0.0,38015
38,16,5,1,20.0,1,20.0,0,0.0,1,20.0,38016
38,17,2,1,50.0,0,0.0,0,0.0,0,0.0,38017
38,18,6,1,16.67,2,33.33,1,16.67,0,0.0,38018
38,19,7,1,14.29,1,14.29,2,28.57,1,14.29,38019
38,20,19,5,26.32,1,5.26,2,10.53,1,5.26,38020
38,21,5,2,40.0,1,20.0,0,0.0,0,0.0,38021
38,22,10,3,30.0,0,0.0,0,0.0,1,10.0,38022
