ward,precinct,total,TODD H. STROGER,TODD H. STROGER Percent,JOHN DAVIS,JOHN DAVIS Percent,JAMES L. DANIELS,JAMES L. DANIELS Percent,DERRICK T. PRINCE,DERRICK T. PRINCE Percent,SHANNON WASHINGTON,SHANNON WASHINGTON Percent,precinct_id
8,41,187,147,78.61,20,10.7,1,0.53,14,7.49,5,2.67,08041
8,42,199,123,61.81,46,23.12,7,3.52,15,7.54,8,4.02,08042
8,43,189,139,73.54,19,10.05,10,5.29,7,3.7,14,7.41,08043
8,44,144,102,70.83,30,20.83,4,2.78,7,4.86,1,0.69,08044
8,45,153,118,77.12,19,12.42,3,1.96,9,5.88,4,2.61,08045
8,46,162,132,81.48,17,10.49,4,2.47,3,1.85,6,3.7,08046
8,47,232,167,71.98,32,13.79,4,1.72,27,11.64,2,0.86,08047
8,48,163,133,81.6,13,7.98,3,1.84,12,7.36,2,1.23,08048
8,49,237,140,59.07,57,24.05,6,2.53,32,13.5,2,0.84,08049
8,50,212,130,61.32,53,25.0,2,0.94,24,11.32,3,1.42,08050
8,51,227,138,60.79,51,22.47,5,2.2,29,12.78,4,1.76,08051
8,52,217,159,73.27,29,13.36,7,3.23,21,9.68,1,0.46,08052
8,53,264,209,79.17,22,8.33,4,1.52,27,10.23,2,0.76,08053
8,54,186,120,64.52,39,20.97,10,5.38,15,8.06,2,1.08,08054
8,55,153,130,84.97,10,6.54,3,1.96,5,3.27,5,3.27,08055
8,56,217,164,75.58,28,12.9,4,1.84,16,7.37,5,2.3,08056
8,57,180,148,82.22,18,10.0,1,0.56,5,2.78,8,4.44,08057
8,58,231,155,67.1,30,12.99,11,4.76,29,12.55,6,2.6,08058
8,59,132,103,78.03,23,17.42,2,1.52,1,0.76,3,2.27,08059
8,60,139,77,55.4,20,14.39,1,0.72,24,17.27,17,12.23,08060
8,61,170,125,73.53,30,17.65,3,1.76,6,3.53,6,3.53,08061
8,62,200,102,51.0,58,29.0,3,1.5,34,17.0,3,1.5,08062
8,63,205,153,74.63,25,12.2,3,1.46,12,5.85,12,5.85,08063
8,64,154,120,77.92,16,10.39,0,0.0,10,6.49,8,5.19,08064
8,65,145,80,55.17,20,13.79,0,0.0,24,16.55,21,14.48,08065
8,66,256,149,58.2,59,23.05,2,0.78,41,16.02,5,1.95,08066
8,67,105,97,92.38,5,4.76,2,1.9,1,0.95,0,0.0,08067
8,68,115,100,86.96,4,3.48,1,0.87,8,6.96,2,1.74,08068
8,69,126,98,77.78,9,7.14,1,0.79,1,0.79,17,13.49,08069
8,70,214,172,80.37,19,8.88,0,0.0,7,3.27,16,7.48,08070
